geo,liver_cancer_new_cases_per_100000_men,time
nzl,4.06,1993
nzl,3.82,1994
nzl,3.29,1995
nzl,3.68,1996
nzl,4.23,1997
nzl,4.6,2002
nic,6.0,2002
ner,16.6,2002
nga,10.6,2002
nor,0.64,1953
nor,0.72,1954
nor,0.77,1955
nor,0.55,1956
nor,1.01,1957
nor,0.76,1958
nor,0.85,1959
nor,1.0,1960
nor,1.24,1961
nor,0.9,1962
nor,0.78,1963
nor,1.02,1964
nor,0.76,1965
nor,1.12,1966
nor,1.7,1967
nor,1.33,1968
nor,0.85,1969
nor,1.54,1970
nor,2.21,1971
nor,2.06,1972
nor,1.52,1973
nor,1.71,1974
nor,2.17,1975
nor,1.72,1976
nor,1.49,1977
nor,1.86,1978
nor,1.43,1979
nor,1.74,1980
nor,1.58,1981
nor,2.34,1982
nor,1.79,1983
nor,2.11,1984
nor,2.52,1985
nor,2.07,1986
nor,1.93,1987
nor,1.73,1988
nor,1.36,1989
nor,1.77,1990
nor,2.38,1991
nor,1.66,1992
nor,2.0,1993
nor,1.18,1994
nor,1.6,1995
nor,1.81,1996
nor,1.63,1997
nor,2.5,2002
omn,7.0,2002
pak,5.6,2002
pan,2.8,2002
png,19.4,2002
pry,3.3,2002
per,6.2,2002
phl,20.3,2002
pol,3.6,2002
prt,5.6,2002
pri,5.6,2002
qat,13.1,2002
rou,10.0,2002
rus,4.6,2002
rwa,45.4,2002
wsm,12.3,2002
sau,14.5,2002
sen,30.8,2002
scg,5.0,2002
sle,15.3,2002
sgp,18.4,2002
svk,6.54,1968
svk,6.55,1969
svk,6.56,1970
svk,6.36,1971
svk,6.85,1972
svk,5.8,1973
svk,5.92,1974
svk,5.24,1975
svk,6.53,1976
svk,5.94,1977
svk,5.86,1978
svk,5.38,1979
svk,6.41,1980
svk,6.06,1981
svk,6.36,1982
svk,6.55,1983
svk,7.11,1984
svk,7.07,1985
svk,6.21,1986
svk,6.45,1987
svk,7.36,1988
svk,7.1,1989
svk,7.2,1990
svk,7.01,1991
svk,7.03,1992
svk,6.25,1993
svk,7.8,1994
svk,6.75,1995
svk,7.57,1996
svk,6.49,1997
svk,6.5,2002
svn,1.33,1963
svn,2.54,1964
svn,3.13,1965
svn,4.37,1966
svn,3.41,1967
svn,3.51,1968
svn,3.3,1969
svn,3.57,1970
svn,3.38,1971
svn,3.36,1972
svn,3.45,1973
svn,2.71,1974
svn,4.47,1975
svn,4.27,1976
svn,4.16,1977
svn,3.33,1978
svn,3.15,1979
svn,2.51,1980
svn,2.49,1981
svn,3.1,1982
svn,3.49,1983
svn,2.87,1984
svn,3.49,1985
svn,4.24,1986
svn,3.31,1987
svn,4.28,1988
svn,3.72,1989
svn,4.11,1990
svn,3.77,1991
svn,4.76,1992
svn,4.62,1993
svn,4.87,1994
svn,5.32,1995
svn,4.3,1996
svn,5.4,1997
svn,5.3,2002
slb,18.5,2002
som,21.1,2002
zaf,6.1,2002
esp,9.2,2002
lka,1.1,2002
sdn,6.7,2002
sur,0.9,2002
swz,20.6,2002
swe,2.25,1958
swe,2.4,1959
swe,2.45,1960
swe,2.38,1961
swe,2.25,1962
swe,2.57,1963
swe,3.37,1964
swe,3.18,1965
swe,3.4,1966
swe,3.47,1967
swe,3.68,1968
swe,3.88,1969
swe,3.88,1970
swe,4.34,1971
swe,4.22,1972
swe,4.45,1973
swe,4.25,1974
swe,4.42,1975
swe,4.66,1976
swe,4.28,1977
swe,4.45,1978
swe,4.73,1979
swe,4.51,1980
swe,4.93,1981
swe,4.92,1982
swe,4.85,1983
swe,4.56,1984
swe,4.68,1985
swe,4.71,1986
swe,4.33,1987
swe,4.57,1988
swe,4.65,1989
swe,4.77,1990
swe,4.75,1991
swe,3.81,1992
swe,4.31,1993
swe,4.42,1994
swe,3.87,1995
swe,4.02,1996
swe,3.77,1997
swe,3.7,2002
che,6.2,2002
syr,0.9,2002
tjk,4.0,2002
tza,8.8,2002
tha,38.6,2002
tgo,15.3,2002
tto,1.5,2002
tun,2.5,2002
tur,2.6,2002
tkm,5.5,2002
uga,6.2,2002
ukr,4.2,2002
are,5.5,2002
gbr,3.3,2002
usa,5.5,2002
ury,1.6,2002
uzb,4.1,2002
vut,21.3,2002
ven,3.5,2002
vnm,23.7,2002
yem,12.9,2002
zmb,18.9,2002
zwe,25.7,2002
