improved_sanitation_rural_access_percent,geo,time
100,isl,2004
100,isl,2005
100,isl,2006
100,isl,2007
100,isl,2008
100,isl,2009
100,isl,2010
7,ind,1990
7,ind,1991
8,ind,1992
8,ind,1993
9,ind,1994
10,ind,1995
11,ind,1996
12,ind,1997
13,ind,1998
14,ind,1999
14,ind,2000
15,ind,2001
16,ind,2002
17,ind,2003
18,ind,2004
19,ind,2005
20,ind,2006
20,ind,2007
21,ind,2008
22,ind,2009
23,ind,2010
21,idn,1990
22,idn,1991
23,idn,1992
24,idn,1993
25,idn,1994
26,idn,1995
27,idn,1996
28,idn,1997
29,idn,1998
30,idn,1999
30,idn,2000
31,idn,2001
32,idn,2002
33,idn,2003
34,idn,2004
35,idn,2005
36,idn,2006
37,idn,2007
38,idn,2008
39,idn,2009
39,idn,2010
74,irn,1990
74,irn,1991
74,irn,1992
74,irn,1993
76,irn,1994
77,irn,1995
79,irn,1996
81,irn,1997
82,irn,1998
84,irn,1999
86,irn,2000
88,irn,2001
89,irn,2002
91,irn,2003
93,irn,2004
95,irn,2005
96,irn,2006
98,irn,2007
100,irn,2008
100,irn,2009
100,irn,2010
46,irq,1991
46,irq,1992
46,irq,1993
46,irq,1994
46,irq,1995
48,irq,1996
49,irq,1997
51,irq,1998
52,irq,1999
54,irq,2000
55,irq,2001
57,irq,2002
58,irq,2003
60,irq,2004
61,irq,2005
63,irq,2006
64,irq,2007
66,irq,2008
67,irq,2009
67,irq,2010
98,irl,1990
98,irl,1991
98,irl,1992
98,irl,1993
98,irl,1994
98,irl,1995
98,irl,1996
98,irl,1997
98,irl,1998
98,irl,1999
98,irl,2000
98,irl,2001
98,irl,2002
98,irl,2003
98,irl,2004
98,irl,2005
98,irl,2006
98,irl,2007
98,irl,2008
98,irl,2009
98,irl,2010
100,isr,1990
100,isr,1991
100,isr,1992
100,isr,1993
100,isr,1994
100,isr,1995
100,isr,1996
100,isr,1997
100,isr,1998
100,isr,1999
100,isr,2000
100,isr,2001
100,isr,2002
100,isr,2003
100,isr,2004
100,isr,2005
100,isr,2006
100,isr,2007
100,isr,2008
100,isr,2009
100,isr,2010
