geo,alternative_gdppercapita_ppp_inflation_adjusted_from_pwt,time
bhr,17050.0,1998
bhr,18050.0,1999
bhr,18650.0,2000
bhr,19090.0,2001
bhr,18880.0,2002
bhr,19560.0,2003
bgd,1289.0,1972
bgd,1325.0,1973
bgd,1233.0,1974
bgd,1331.0,1975
bgd,1294.0,1976
bgd,1350.0,1977
bgd,1374.0,1978
bgd,1351.0,1979
bgd,1347.0,1980
bgd,1332.0,1981
bgd,1335.0,1982
bgd,1385.0,1983
bgd,1402.0,1984
bgd,1387.0,1985
bgd,1421.0,1986
bgd,1442.0,1987
bgd,1506.0,1988
bgd,1549.0,1989
bgd,1581.0,1990
bgd,1609.0,1991
bgd,1613.0,1992
bgd,1679.0,1993
bgd,1658.0,1994
bgd,1615.0,1995
bgd,1713.0,1996
bgd,1767.0,1997
bgd,1771.0,1998
bgd,1800.0,1999
bgd,1851.0,2000
bgd,1983.0,2001
bgd,2049.0,2002
bgd,2155.0,2003
brb,6961.0,1960
brb,7328.0,1961
brb,7778.0,1962
brb,7467.0,1963
brb,7624.0,1964
brb,8093.0,1965
brb,8287.0,1966
brb,9163.0,1967
brb,9377.0,1968
brb,10600.0,1969
brb,11620.0,1970
brb,12030.0,1971
brb,12280.0,1972
brb,12120.0,1973
brb,12400.0,1974
brb,11530.0,1975
brb,11300.0,1976
brb,11770.0,1977
brb,12410.0,1978
brb,13400.0,1979
brb,13480.0,1980
brb,12890.0,1981
brb,12660.0,1982
brb,12860.0,1983
brb,13580.0,1984
brb,13450.0,1985
brb,14360.0,1986
brb,14820.0,1987
brb,15030.0,1988
brb,15170.0,1989
brb,14580.0,1990
brb,14330.0,1991
brb,13740.0,1992
brb,13270.0,1993
brb,13590.0,1994
brb,14020.0,1995
brb,14240.0,1996
brb,14540.0,1997
brb,15050.0,1998
brb,15540.0,1999
brb,16090.0,2000
brb,15500.0,2001
brb,15450.0,2002
brb,15710.0,2003
brb,15940.0,2004
blr,7047.0,1995
blr,7100.0,1996
blr,8080.0,1997
blr,8551.0,1998
blr,9317.0,1999
blr,10010.0,2000
blr,10960.0,2001
blr,11770.0,2002
blr,12560.0,2003
bel,6290.0,1950
bel,6504.0,1951
bel,6622.0,1952
bel,6795.0,1953
bel,7065.0,1954
bel,7298.0,1955
bel,7482.0,1956
bel,7582.0,1957
bel,7469.0,1958
bel,7671.0,1959
bel,8051.0,1960
bel,8404.0,1961
bel,8817.0,1962
bel,9198.0,1963
bel,9781.0,1964
bel,10040.0,1965
bel,10310.0,1966
bel,10670.0,1967
bel,11090.0,1968
bel,11770.0,1969
bel,12470.0,1970
bel,12880.0,1971
bel,13510.0,1972
bel,14330.0,1973
bel,14910.0,1974
bel,14650.0,1975
bel,15460.0,1976
bel,15550.0,1977
bel,16000.0,1978
bel,16370.0,1979
bel,17060.0,1980
bel,16930.0,1981
bel,17020.0,1982
bel,17040.0,1983
bel,17490.0,1984
bel,17760.0,1985
bel,18070.0,1986
bel,18480.0,1987
bel,19380.0,1988
bel,20040.0,1989
bel,20640.0,1990
bel,20930.0,1991
bel,21180.0,1992
bel,20890.0,1993
bel,21490.0,1994
bel,21940.0,1995
bel,22090.0,1996
bel,22790.0,1997
bel,23160.0,1998
bel,23790.0,1999
bel,24660.0,2000
bel,24820.0,2001
bel,25110.0,2002
bel,25260.0,2003
bel,25880.0,2004
blz,3441.0,1970
blz,3627.0,1971
blz,3735.0,1972
blz,3857.0,1973
blz,3967.0,1974
blz,4030.0,1975
blz,3930.0,1976
blz,4068.0,1977
blz,4880.0,1978
blz,5142.0,1979
blz,5897.0,1980
blz,5234.0,1981
blz,5465.0,1982
blz,5154.0,1983
blz,4665.0,1984
blz,3927.0,1985
blz,4187.0,1986
blz,4342.0,1987
blz,4455.0,1988
blz,4758.0,1989
blz,5169.0,1990
blz,5029.0,1991
blz,5416.0,1992
blz,5659.0,1993
blz,5925.0,1994
blz,6036.0,1995
blz,5933.0,1996
blz,5889.0,1997
blz,5929.0,1998
blz,5950.0,1999
blz,6014.0,2000
blz,6289.0,2001
blz,6831.0,2002
blz,7147.0,2003
blz,6822.0,2004
ben,896.7,1959
ben,958.0,1960
ben,947.8,1961
ben,883.5,1962
ben,911.6,1963
ben,967.7,1964
ben,1018.0,1965
ben,1044.0,1966
ben,1044.0,1967
ben,1066.0,1968
ben,1100.0,1969
ben,1102.0,1970
ben,1108.0,1971
ben,1241.0,1972
ben,1230.0,1973
ben,1252.0,1974
ben,1159.0,1975
ben,1183.0,1976
ben,1022.0,1977
ben,988.2,1978
ben,1070.0,1979
ben,1124.0,1980
ben,1090.0,1981
ben,1169.0,1982
ben,1079.0,1983
ben,1140.0,1984
ben,1192.0,1985
ben,1177.0,1986
ben,1124.0,1987
ben,1123.0,1988
ben,1077.0,1989
ben,1086.0,1990
ben,1113.0,1991
ben,1125.0,1992
ben,1126.0,1993
ben,1124.0,1994
ben,1130.0,1995
ben,1168.0,1996
ben,1188.0,1997
ben,1209.0,1998
ben,1222.0,1999
ben,1251.0,2000
ben,1274.0,2001
ben,1312.0,2002
ben,1345.0,2003
bmu,21620.0,1970
bmu,22200.0,1971
bmu,22500.0,1972
bmu,22710.0,1973
bmu,22840.0,1974
bmu,24690.0,1975
bmu,26240.0,1976
bmu,26480.0,1977
bmu,27070.0,1978
bmu,28950.0,1979
bmu,29970.0,1980
bmu,28520.0,1981
bmu,29170.0,1982
bmu,29340.0,1983
bmu,29240.0,1984
bmu,30390.0,1985
bmu,31150.0,1986
bmu,32390.0,1987
bmu,32870.0,1988
bmu,32680.0,1989
bmu,31620.0,1990
bmu,31120.0,1991
bmu,30170.0,1992
bmu,30970.0,1993
bmu,31270.0,1994
bmu,32160.0,1995
bmu,33010.0,1996
bmu,33670.0,1997
bmu,34200.0,1998
bmu,36490.0,1999
bmu,34030.0,2000
bmu,33600.0,2001
bmu,33960.0,2002
bmu,35750.0,2003
btn,229.7,1970
btn,235.5,1971
btn,237.7,1972
btn,252.9,1973
btn,255.9,1974
btn,266.6,1975
btn,274.6,1976
btn,288.2,1977
btn,277.4,1978
btn,334.3,1979
btn,403.9,1980
btn,410.7,1981
btn,417.3,1982
btn,448.9,1983
btn,477.4,1984
btn,457.6,1985
btn,498.1,1986
btn,588.6,1987
btn,558.1,1988
btn,589.4,1989
btn,586.2,1990
btn,598.0,1991
btn,592.6,1992
btn,598.5,1993
btn,616.4,1994
btn,659.6,1995
btn,686.6,1996
btn,787.4,1997
btn,789.3,1998
btn,813.6,1999
btn,828.2,2000
btn,830.8,2001
btn,846.5,2002
btn,933.5,2003
bol,2856.0,1950
bol,2995.0,1951
bol,2965.0,1952
bol,2556.0,1953
bol,2508.0,1954
bol,2584.0,1955
bol,2424.0,1956
bol,2401.0,1957
bol,2384.0,1958
bol,2385.0,1959
bol,2406.0,1960
bol,2456.0,1961
bol,2424.0,1962
bol,2565.0,1963
bol,2616.0,1964
bol,2753.0,1965
bol,2861.0,1966
bol,3004.0,1967
bol,2563.0,1968
bol,2589.0,1969
bol,2539.0,1970
bol,2580.0,1971
bol,2654.0,1972
bol,2784.0,1973
bol,2848.0,1974
bol,2952.0,1975
bol,3107.0,1976
bol,3193.0,1977
bol,3131.0,1978
bol,3138.0,1979
bol,3078.0,1980
bol,3050.0,1981
bol,2915.0,1982
bol,2680.0,1983
bol,2636.0,1984
bol,2562.0,1985
bol,2445.0,1986
bol,2503.0,1987
bol,2525.0,1988
bol,2557.0,1989
bol,2582.0,1990
bol,2618.0,1991
bol,2602.0,1992
bol,2651.0,1993
bol,2714.0,1994
bol,2764.0,1995
bol,2798.0,1996
bol,2846.0,1997
bol,2879.0,1998
bol,2915.0,1999
bol,2929.0,2000
bol,2956.0,2001
bol,2971.0,2002
bol,3006.0,2003
bih,1640.0,1990
bih,1444.0,1991
bih,1077.0,1992
bih,848.7,1993
bih,993.7,1994
bih,1661.0,1995
bih,2210.0,1996
bih,2796.0,1997
bih,2958.0,1998
bih,3062.0,1999
bih,3037.0,2000
bih,3365.0,2001
bih,3491.0,2002
bih,3492.0,2003
bwa,1184.0,1970
bwa,1358.0,1971
bwa,1553.0,1972
bwa,1684.0,1973
bwa,1876.0,1974
bwa,2168.0,1975
bwa,2235.0,1976
bwa,2451.0,1977
bwa,2573.0,1978
bwa,2726.0,1979
bwa,2764.0,1980
bwa,2620.0,1981
bwa,3074.0,1982
bwa,3384.0,1983
bwa,3384.0,1984
bwa,3825.0,1985
bwa,3918.0,1986
bwa,4295.0,1987
bwa,4457.0,1988
bwa,5222.0,1989
bwa,5395.0,1990
bwa,5714.0,1991
bwa,5967.0,1992
bwa,5829.0,1993
bwa,5903.0,1994
bwa,5928.0,1995
bwa,6106.0,1996
bwa,6513.0,1997
bwa,6608.0,1998
bwa,6319.0,1999
bwa,7256.0,2000
bwa,7788.0,2001
bwa,7726.0,2002
bwa,8054.0,2003
bwa,9050.0,2004
bra,1803.0,1950
bra,1827.0,1951
bra,1943.0,1952
bra,2036.0,1953
bra,2100.0,1954
bra,2180.0,1955
bra,2214.0,1956
bra,2350.0,1957
bra,2428.0,1958
bra,2534.0,1959
bra,2670.0,1960
bra,2943.0,1961
bra,2996.0,1962
bra,3100.0,1963
bra,3117.0,1964
bra,3198.0,1965
bra,3225.0,1966
bra,3321.0,1967
bra,3569.0,1968
bra,3709.0,1969
bra,3976.0,1970
bra,4250.0,1971
bra,4604.0,1972
bra,5069.0,1973
bra,5277.0,1974
bra,5482.0,1975
bra,5903.0,1976
bra,5976.0,1977
bra,6038.0,1978
bra,6326.0,1979
bra,6669.0,1980
bra,6293.0,1981
bra,6270.0,1982
bra,5965.0,1983
bra,6056.0,1984
bra,6515.0,1985
bra,6919.0,1986
bra,7215.0,1987
bra,7079.0,1988
bra,7337.0,1989
bra,6834.0,1990
bra,6788.0,1991
bra,6665.0,1992
bra,6774.0,1993
bra,6977.0,1994
bra,6895.0,1995
bra,6954.0,1996
bra,7030.0,1997
bra,6964.0,1998
bra,7018.0,1999
bra,7194.0,2000
bra,7108.0,2001
bra,6950.0,2002
bra,7204.0,2003
brn,30940.0,1970
brn,31190.0,1971
brn,32530.0,1972
brn,34240.0,1973
brn,35590.0,1974
brn,34680.0,1975
brn,40130.0,1976
brn,43230.0,1977
brn,44750.0,1978
brn,52920.0,1979
brn,47120.0,1980
brn,36020.0,1981
brn,35270.0,1982
brn,34920.0,1983
brn,34000.0,1984
brn,32390.0,1985
brn,30480.0,1986
brn,30080.0,1987
brn,29450.0,1988
brn,28260.0,1989
brn,28170.0,1990
brn,28460.0,1991
brn,27340.0,1992
brn,26700.0,1993
brn,26440.0,1994
brn,26250.0,1995
brn,26760.0,1996
brn,26860.0,1997
brn,26750.0,1998
brn,24970.0,1999
brn,25110.0,2000
brn,25320.0,2001
brn,25590.0,2002
brn,26240.0,2003
bgr,8215.0,1991
bgr,7922.0,1992
bgr,7591.0,1993
bgr,7126.0,1994
bgr,7573.0,1995
bgr,6792.0,1996
bgr,6562.0,1997
bgr,6681.0,1998
bgr,6766.0,1999
bgr,7258.0,2000
bgr,7454.0,2001
bgr,7905.0,2002
bgr,8207.0,2003
bgr,8619.0,2004
bfa,777.7,1959
bfa,775.4,1960
bfa,661.7,1961
bfa,684.5,1962
bfa,664.7,1963
bfa,665.9,1964
bfa,643.6,1965
bfa,632.1,1966
bfa,676.8,1967
bfa,695.5,1968
bfa,691.3,1969
bfa,691.2,1970
bfa,669.4,1971
bfa,713.6,1972
bfa,691.8,1973
bfa,701.0,1974
bfa,693.7,1975
bfa,693.7,1976
bfa,727.3,1977
bfa,703.2,1978
bfa,716.9,1979
bfa,748.5,1980
bfa,794.1,1981
bfa,804.8,1982
bfa,767.2,1983
bfa,741.4,1984
bfa,785.7,1985
bfa,812.2,1986
bfa,865.1,1987
bfa,886.6,1988
bfa,876.4,1989
bfa,829.4,1990
bfa,867.0,1991
bfa,856.8,1992
bfa,831.5,1993
bfa,854.5,1994
bfa,825.1,1995
bfa,820.2,1996
bfa,843.8,1997
bfa,837.5,1998
bfa,910.2,1999
bfa,933.2,2000
bfa,945.4,2001
bfa,987.6,2002
bfa,1073.0,2003
bfa,1075.0,2004
bdi,663.6,1960
bdi,556.9,1961
bdi,596.0,1962
bdi,637.0,1963
bdi,610.6,1964
bdi,638.0,1965
bdi,630.0,1966
bdi,689.9,1967
bdi,680.7,1968
bdi,639.8,1969
bdi,805.9,1970
bdi,805.7,1971
bdi,782.2,1972
bdi,825.7,1973
bdi,794.3,1974
bdi,800.8,1975
bdi,852.5,1976
bdi,922.0,1977
bdi,914.1,1978
bdi,911.4,1979
bdi,894.7,1980
bdi,933.2,1981
bdi,905.6,1982
bdi,881.3,1983
bdi,857.6,1984
bdi,924.2,1985
bdi,936.7,1986
bdi,939.6,1987
bdi,1053.0,1988
bdi,975.7,1989
bdi,1066.0,1990
bdi,1101.0,1991
bdi,1104.0,1992
bdi,922.7,1993
bdi,848.2,1994
bdi,850.0,1995
bdi,767.7,1996
bdi,759.2,1997
bdi,780.1,1998
bdi,823.6,1999
bdi,698.8,2000
bdi,715.3,2001
bdi,760.5,2002
bdi,763.7,2003
khm,1087.0,1970
khm,1020.0,1971
khm,953.0,1972
khm,763.1,1973
khm,713.2,1974
khm,693.4,1975
khm,684.3,1976
khm,577.0,1977
khm,571.3,1978
khm,493.1,1979
khm,458.2,1980
khm,456.6,1981
khm,434.5,1982
khm,413.6,1983
khm,399.5,1984
khm,379.6,1985
khm,356.0,1986
khm,346.8,1987
khm,397.8,1988
khm,389.7,1989
khm,388.4,1990
khm,413.0,1991
khm,435.8,1992
khm,447.4,1993
khm,468.6,1994
khm,444.5,1995
khm,462.9,1996
khm,477.4,1997
khm,471.6,1998
khm,476.7,1999
khm,513.9,2000
khm,544.3,2001
khm,561.5,2002
khm,580.0,2003
cmr,1933.0,1960
cmr,1918.0,1961
cmr,1927.0,1962
cmr,1946.0,1963
cmr,1984.0,1964
cmr,1981.0,1965
cmr,2003.0,1966
cmr,1798.0,1967
cmr,1853.0,1968
cmr,1966.0,1969
cmr,1949.0,1970
cmr,1895.0,1971
cmr,1897.0,1972
cmr,1942.0,1973
cmr,2010.0,1974
cmr,1989.0,1975
cmr,2009.0,1976
cmr,2056.0,1977
cmr,2068.0,1978
cmr,2216.0,1979
cmr,2372.0,1980
cmr,2603.0,1981
cmr,3088.0,1982
cmr,3274.0,1983
cmr,3302.0,1984
cmr,3537.0,1985
cmr,3506.0,1986
cmr,3104.0,1987
cmr,2975.0,1988
cmr,2702.0,1989
cmr,2696.0,1990
cmr,2538.0,1991
cmr,2393.0,1992
cmr,2286.0,1993
cmr,2151.0,1994
cmr,2128.0,1995
cmr,2150.0,1996
cmr,2281.0,1997
cmr,2353.0,1998
cmr,2396.0,1999
cmr,2472.0,2000
cmr,2516.0,2001
cmr,2618.0,2002
cmr,2713.0,2003
can,9216.0,1950
can,9505.0,1951
can,9993.0,1952
can,10140.0,1953
can,9680.0,1954
can,10140.0,1955
can,10720.0,1956
can,10570.0,1957
can,10490.0,1958
can,10610.0,1959
can,10580.0,1960
can,10620.0,1961
can,11150.0,1962
can,11550.0,1963
can,12160.0,1964
can,12690.0,1965
can,13230.0,1966
can,13240.0,1967
can,13630.0,1968
can,14110.0,1969
can,14170.0,1970
can,14760.0,1971
can,15270.0,1972
can,16090.0,1973
can,16370.0,1974
can,16560.0,1975
can,17210.0,1976
can,17670.0,1977
can,18110.0,1978
can,18570.0,1979
can,18690.0,1980
can,19000.0,1981
can,18210.0,1982
can,18640.0,1983
can,19540.0,1984
can,20230.0,1985
can,20510.0,1986
can,21160.0,1987
can,21790.0,1988
can,22090.0,1989
can,21770.0,1990
can,20930.0,1991
can,20900.0,1992
can,21240.0,1993
can,22160.0,1994
can,22610.0,1995
can,22780.0,1996
can,23710.0,1997
can,24450.0,1998
can,25670.0,1999
can,26820.0,2000
can,26950.0,2001
can,27510.0,2002
can,27840.0,2003
can,28400.0,2004
cpv,1373.0,1960
cpv,1496.0,1961
cpv,1404.0,1962
cpv,1326.0,1963
cpv,1434.0,1964
cpv,1374.0,1965
cpv,1641.0,1966
cpv,1962.0,1967
cpv,2056.0,1968
cpv,1959.0,1969
cpv,2098.0,1970
cpv,2091.0,1971
cpv,2156.0,1972
cpv,1997.0,1973
cpv,2080.0,1974
cpv,1849.0,1975
cpv,1889.0,1976
cpv,1899.0,1977
cpv,1899.0,1978
cpv,1922.0,1979
cpv,1930.0,1980
cpv,2055.0,1981
cpv,2108.0,1982
cpv,2372.0,1983
cpv,2493.0,1984
cpv,2720.0,1985
cpv,2765.0,1986
cpv,2751.0,1987
cpv,2933.0,1988
cpv,2966.0,1989
cpv,2861.0,1990
cpv,2944.0,1991
cpv,2966.0,1992
cpv,3174.0,1993
cpv,3111.0,1994
cpv,3490.0,1995
cpv,3523.0,1996
cpv,3890.0,1997
cpv,4176.0,1998
cpv,4487.0,1999
cpv,4983.0,2000
cpv,4810.0,2001
cpv,4939.0,2002
cpv,5120.0,2003
caf,1118.0,1970
caf,980.4,1971
caf,941.9,1972
caf,962.2,1973
caf,981.7,1974
caf,991.4,1975
caf,1021.0,1976
caf,1089.0,1977
caf,1219.0,1978
caf,1153.0,1979
caf,1071.0,1980
caf,1061.0,1981
caf,1062.0,1982
caf,963.8,1983
caf,1026.0,1984
caf,1022.0,1985
caf,1033.0,1986
caf,989.7,1987
caf,1011.0,1988
caf,1020.0,1989
caf,1006.0,1990
caf,975.7,1991
caf,786.8,1992
caf,766.0,1993
caf,781.2,1994
caf,811.0,1995
caf,770.7,1996
caf,799.9,1997
caf,823.2,1998
caf,925.5,1999
caf,945.1,2000
caf,954.7,2001
caf,917.8,2002
caf,887.7,2003
tcd,1126.0,1960
tcd,1142.0,1961
tcd,1284.0,1962
tcd,1152.0,1963
tcd,1139.0,1964
tcd,1165.0,1965
tcd,1069.0,1966
tcd,990.3,1967
tcd,967.7,1968
tcd,956.0,1969
tcd,991.2,1970
tcd,990.4,1971
tcd,900.0,1972
tcd,832.3,1973
tcd,900.4,1974
tcd,992.3,1975
tcd,955.3,1976
tcd,874.5,1977
tcd,854.5,1978
tcd,664.6,1979
tcd,624.8,1980
tcd,616.8,1981
tcd,619.3,1982
tcd,688.7,1983
tcd,718.4,1984
tcd,867.2,1985
tcd,834.6,1986
tcd,787.2,1987
tcd,880.9,1988
tcd,899.2,1989
tcd,833.6,1990
tcd,874.0,1991
tcd,901.9,1992
tcd,876.6,1993
tcd,859.5,1994
tcd,899.2,1995
tcd,849.3,1996
tcd,831.1,1997
tcd,873.7,1998
tcd,881.3,1999
tcd,829.5,2000
tcd,755.7,2001
tcd,717.0,2002
tcd,883.5,2003
chl,4291.0,1951
chl,4436.0,1952
chl,4836.0,1953
chl,4432.0,1954
chl,4583.0,1955
chl,4509.0,1956
chl,4728.0,1957
chl,4863.0,1958
chl,4666.0,1959
chl,5022.0,1960
chl,5063.0,1961
chl,5188.0,1962
chl,5330.0,1963
chl,5349.0,1964
chl,5294.0,1965
chl,5768.0,1966
chl,5795.0,1967
chl,5940.0,1968
chl,6099.0,1969
chl,6165.0,1970
chl,6634.0,1971
chl,6526.0,1972
chl,6119.0,1973
chl,6129.0,1974
chl,5213.0,1975
chl,5247.0,1976
chl,5649.0,1977
chl,6018.0,1978
chl,6443.0,1979
chl,6675.0,1980
chl,6936.0,1981
chl,5901.0,1982
chl,5616.0,1983
