total_gni_ppp_current_international,geo,time
6816000000,cri,1980
6802000000,cri,1981
6340000000,cri,1982
7350000000,cri,1983
8260000000,cri,1984
8664000000,cri,1985
9458000000,cri,1986
10400000000,cri,1987
11110000000,cri,1988
12080000000,cri,1989
13360000000,cri,1990
14300000000,cri,1991
15940000000,cri,1992
17500000000,cri,1993
18930000000,cri,1994
20010000000,cri,1995
20620000000,cri,1996
22100000000,cri,1997
23950000000,cri,1998
24060000000,cri,1999
26070000000,cri,2000
28020000000,cri,2001
29480000000,cri,2002
31870000000,cri,2003
34130000000,cri,2004
37440000000,cri,2005
42350000000,cri,2006
47210000000,cri,2007
49730000000,cri,2008
49490000000,cri,2009
52580000000,cri,2010
56490000000,cri,2011
10120000000,civ,1980
11290000000,civ,1981
11880000000,civ,1982
11500000000,civ,1983
11980000000,civ,1984
12540000000,civ,1985
13570000000,civ,1986
13720000000,civ,1987
14290000000,civ,1988
14440000000,civ,1989
14730000000,civ,1990
15530000000,civ,1991
16000000000,civ,1992
16260000000,civ,1993
17320000000,civ,1994
19050000000,civ,1995
21220000000,civ,1996
23210000000,civ,1997
24700000000,civ,1998
25320000000,civ,1999
24840000000,civ,2000
25600000000,civ,2001
25670000000,civ,2002
25980000000,civ,2003
27370000000,civ,2004
28700000000,civ,2005
29810000000,civ,2006
31200000000,civ,2007
32730000000,civ,2008
34260000000,civ,2009
35500000000,civ,2010
34770000000,civ,2011
45400000000,hrv,1990
37130000000,hrv,1991
33100000000,hrv,1992
31190000000,hrv,1993
33760000000,hrv,1994
37290000000,hrv,1995
40380000000,hrv,1996
44020000000,hrv,1997
45120000000,hrv,1998
44440000000,hrv,1999
47430000000,hrv,2000
50830000000,hrv,2001
54930000000,hrv,2002
57610000000,hrv,2003
63050000000,hrv,2004
66330000000,hrv,2005
72500000000,hrv,2006
80950000000,hrv,2007
87130000000,hrv,2008
84320000000,hrv,2009
82550000000,hrv,2010
85200000000,hrv,2011
2624000000,cyp,1980
2935000000,cyp,1981
3297000000,cyp,1982
3575000000,cyp,1983
4043000000,cyp,1984
4377000000,cyp,1985
4633000000,cyp,1986
5165000000,cyp,1987
5805000000,cyp,1988
6519000000,cyp,1989
7271000000,cyp,1990
7577000000,cyp,1991
8429000000,cyp,1992
8691000000,cyp,1993
9362000000,cyp,1994
9821000000,cyp,1995
10230000000,cyp,1996
10610000000,cyp,1997
