geo,females_aged_25_54_labour_force_participation_rate_percent,time
ago,78.6,2002
ago,78.4,2003
ago,79.0,2004
ago,79.7,2005
ago,80.8,2006
ago,81.3,2007
arg,33.5,1980
arg,32.5,1981
arg,31.7,1982
arg,31.2,1983
arg,33.1,1984
arg,35.0,1985
arg,35.2,1986
arg,35.4,1987
arg,36.0,1988
arg,36.5,1989
arg,36.9,1990
arg,52.2,1991
arg,52.7,1992
arg,53.1,1993
arg,53.6,1994
arg,54.0,1995
arg,55.3,1996
arg,56.5,1997
arg,57.8,1998
arg,59.0,1999
arg,60.2,2000
arg,61.5,2001
arg,62.7,2002
arg,63.8,2003
arg,65.0,2004
arg,66.1,2005
arg,67.3,2006
arg,67.5,2007
arm,88.7,1980
arm,88.6,1981
arm,88.7,1982
arm,88.8,1983
arm,88.8,1984
arm,88.7,1985
arm,88.9,1986
arm,89.0,1987
arm,88.7,1988
arm,88.9,1989
arm,89.2,1990
arm,78.8,1991
arm,77.2,1992
arm,76.4,1993
arm,76.6,1994
arm,77.6,1995
arm,78.1,1996
arm,78.3,1997
arm,79.0,1998
arm,79.2,1999
arm,79.5,2000
arm,79.9,2001
arm,80.3,2002
arm,80.6,2003
arm,80.8,2004
arm,81.0,2005
arm,81.1,2006
arm,81.6,2007
aus,53.0,1980
aus,53.7,1981
aus,54.0,1982
aus,53.9,1983
aus,55.3,1984
aus,57.2,1985
aus,60.4,1986
aus,61.5,1987
aus,63.3,1988
aus,65.2,1989
aus,66.8,1990
aus,67.1,1991
aus,67.3,1992
aus,67.3,1993
aus,67.7,1994
aus,69.1,1995
aus,69.0,1996
aus,69.4,1997
aus,69.5,1998
aus,69.5,1999
aus,70.6,2000
aus,71.2,2001
aus,71.6,2002
aus,72.5,2003
aus,72.0,2004
aus,73.8,2005
aus,74.4,2006
aus,74.4,2007
aut,56.1,1980
aut,56.7,1981
aut,57.2,1982
aut,57.3,1983
aut,58.6,1984
aut,59.1,1985
aut,59.8,1986
aut,60.6,1987
aut,61.5,1988
aut,62.3,1989
aut,64.0,1990
aut,65.0,1991
aut,67.1,1992
aut,69.0,1993
aut,71.8,1994
aut,73.1,1995
aut,73.1,1996
aut,74.0,1997
aut,74.4,1998
aut,75.6,1999
aut,76.3,2000
aut,77.1,2001
aut,79.0,2002
aut,80.0,2003
aut,79.6,2004
aut,79.9,2005
aut,80.9,2006
aut,81.9,2007
aze,88.3,1980
aze,88.1,1981
aze,88.1,1982
aze,87.9,1983
aze,87.8,1984
aze,87.6,1985
aze,87.8,1986
aze,88.0,1987
aze,87.7,1988
aze,88.0,1989
aze,88.3,1990
aze,79.5,1991
aze,78.9,1992
aze,78.5,1993
aze,77.4,1994
aze,76.7,1995
aze,77.0,1996
aze,77.5,1997
aze,78.3,1998
aze,78.9,1999
aze,79.8,2000
aze,80.3,2001
aze,80.7,2002
aze,81.0,2003
aze,81.3,2004
aze,81.9,2005
aze,82.2,2006
aze,82.7,2007
bhs,70.2,1980
bhs,71.1,1981
bhs,72.0,1982
bhs,72.9,1983
bhs,73.8,1984
bhs,74.6,1985
bhs,75.5,1986
bhs,76.3,1987
bhs,77.1,1988
bhs,77.8,1989
bhs,78.6,1990
bhs,78.3,1991
bhs,77.5,1992
bhs,77.8,1993
bhs,77.2,1994
bhs,77.2,1995
bhs,78.4,1996
bhs,78.9,1997
bhs,79.7,1998
bhs,80.4,1999
bhs,81.4,2000
bhs,80.9,2001
bhs,81.0,2002
bhs,81.7,2003
bhs,81.9,2004
bhs,82.5,2005
bhs,83.1,2006
bhs,83.2,2007
bhr,19.3,1980
bhr,20.6,1981
bhr,22.0,1982
bhr,23.5,1983
bhr,25.0,1984
bhr,26.5,1985
bhr,28.1,1986
bhr,29.6,1987
bhr,31.1,1988
bhr,32.7,1989
bhr,34.3,1990
bhr,36.0,1991
bhr,36.8,1992
bhr,37.6,1993
bhr,38.4,1994
bhr,39.2,1995
bhr,39.9,1996
bhr,40.7,1997
bhr,41.4,1998
bhr,42.1,1999
bhr,42.8,2000
bhr,43.4,2001
bhr,42.9,2002
bhr,42.6,2003
bhr,42.2,2004
bhr,42.1,2005
bhr,41.7,2006
bhr,42.4,2007
bgd,58.7,1980
bgd,59.5,1981
bgd,60.1,1982
bgd,60.8,1983
bgd,61.4,1984
bgd,62.0,1985
bgd,62.7,1986
bgd,63.4,1987
bgd,64.2,1988
bgd,64.8,1989
bgd,65.5,1990
bgd,66.0,1991
bgd,65.0,1992
bgd,63.9,1993
bgd,62.8,1994
bgd,61.7,1995
bgd,60.5,1996
bgd,60.9,1997
bgd,61.4,1998
bgd,61.8,1999
bgd,62.2,2000
bgd,63.0,2001
bgd,63.6,2002
bgd,64.2,2003
bgd,64.7,2004
bgd,65.2,2005
bgd,65.7,2006
bgd,66.4,2007
brb,69.8,1980
brb,71.8,1981
brb,73.7,1982
brb,75.5,1983
brb,76.6,1984
brb,77.6,1985
brb,78.5,1986
brb,81.3,1987
brb,84.8,1988
brb,84.8,1989
brb,83.4,1990
brb,81.2,1991
brb,83.1,1992
brb,84.2,1993
brb,85.3,1994
brb,86.3,1995
brb,86.0,1996
brb,85.7,1997
brb,85.8,1998
brb,86.0,1999
brb,86.1,2000
brb,86.3,2001
brb,86.4,2002
brb,86.6,2003
brb,87.1,2004
brb,87.4,2005
brb,87.9,2006
brb,87.5,2007
blr,94.1,1980
blr,94.1,1981
blr,94.1,1982
blr,94.1,1983
blr,94.1,1984
blr,94.1,1985
blr,94.1,1986
blr,94.1,1987
blr,94.1,1988
blr,94.1,1989
blr,93.7,1990
blr,93.2,1991
blr,92.8,1992
blr,92.3,1993
blr,91.8,1994
blr,91.1,1995
blr,90.4,1996
blr,89.5,1997
blr,88.5,1998
blr,87.5,1999
blr,87.5,2000
blr,87.6,2001
blr,87.6,2002
blr,87.6,2003
blr,87.7,2004
blr,87.7,2005
blr,87.7,2006
blr,86.9,2007
bel,52.0,1980
bel,53.1,1981
bel,54.2,1982
bel,54.4,1983
bel,56.7,1984
bel,57.4,1985
bel,58.2,1986
bel,58.6,1987
bel,59.1,1988
bel,60.3,1989
bel,60.8,1990
bel,63.1,1991
bel,64.3,1992
bel,66.4,1993
bel,67.2,1994
bel,68.1,1995
bel,68.8,1996
bel,69.6,1997
bel,70.4,1998
bel,72.8,1999
bel,73.0,2000
bel,70.7,2001
bel,71.9,2002
bel,73.0,2003
bel,74.2,2004
bel,76.8,2005
bel,77.0,2006
bel,77.6,2007
blz,22.1,1980
blz,21.9,1981
blz,21.8,1982
blz,21.1,1983
blz,21.3,1984
blz,21.2,1985
blz,21.1,1986
blz,22.8,1987
blz,24.2,1988
blz,26.5,1989
blz,27.7,1990
blz,29.6,1991
blz,33.5,1992
blz,37.5,1993
blz,41.8,1994
blz,42.4,1995
blz,43.0,1996
blz,44.3,1997
blz,45.6,1998
blz,46.8,1999
blz,48.1,2000
blz,49.4,2001
blz,50.7,2002
blz,52.0,2003
blz,53.3,2004
blz,54.5,2005
blz,55.8,2006
blz,55.5,2007
ben,43.2,1980
ben,43.6,1981
ben,43.3,1982
ben,42.4,1983
ben,42.8,1984
ben,42.9,1985
ben,42.7,1986
ben,45.8,1987
ben,49.0,1988
ben,52.2,1989
ben,55.4,1990
ben,58.6,1991
ben,61.6,1992
ben,61.6,1993
ben,62.0,1994
ben,62.3,1995
ben,62.7,1996
ben,63.2,1997
ben,63.5,1998
ben,64.0,1999
ben,64.5,2000
ben,65.1,2001
ben,65.5,2002
ben,65.9,2003
ben,66.1,2004
ben,66.4,2005
ben,66.7,2006
ben,67.3,2007
btn,37.8,1980
btn,36.8,1981
btn,35.6,1982
btn,34.4,1983
btn,33.4,1984
btn,32.5,1985
btn,31.8,1986
btn,31.4,1987
btn,30.9,1988
btn,30.3,1989
btn,29.2,1990
btn,27.8,1991
btn,26.1,1992
btn,24.2,1993
btn,22.6,1994
btn,21.5,1995
btn,21.0,1996
btn,20.9,1997
btn,21.5,1998
btn,22.7,1999
btn,24.5,2000
btn,27.2,2001
btn,30.7,2002
btn,34.6,2003
btn,38.7,2004
btn,42.4,2005
btn,45.7,2006
btn,49.8,2007
bol,43.2,1980
bol,43.4,1981
bol,44.1,1982
bol,45.1,1983
bol,46.0,1984
bol,47.0,1985
bol,47.9,1986
bol,48.7,1987
bol,49.4,1988
bol,50.2,1989
bol,50.9,1990
bol,54.1,1991
bol,57.2,1992
bol,60.3,1993
bol,63.2,1994
bol,66.1,1995
bol,68.0,1996
bol,69.5,1997
bol,70.1,1998
bol,70.7,1999
bol,71.4,2000
bol,72.4,2001
bol,73.5,2002
bol,74.9,2003
bol,76.4,2004
bol,78.0,2005
bol,79.8,2006
bol,79.6,2007
bih,88.3,1980
bih,88.4,1981
bih,88.4,1982
bih,88.5,1983
bih,88.6,1984
bih,88.7,1985
bih,88.8,1986
bih,88.9,1987
bih,89.0,1988
bih,89.0,1989
bih,89.1,1990
bih,76.4,1991
bih,76.0,1992
bih,76.1,1993
bih,76.4,1994
bih,78.1,1995
bih,80.9,1996
bih,81.5,1997
bih,81.4,1998
bih,81.5,1999
bih,81.5,2000
bih,81.5,2001
bih,81.6,2002
bih,81.6,2003
bih,81.7,2004
bih,81.8,2005
bih,81.9,2006
bih,82.1,2007
bwa,46.7,1980
bwa,46.4,1981
bwa,47.0,1982
bwa,47.5,1983
bwa,48.1,1984
bwa,48.6,1985
bwa,49.1,1986
bwa,49.7,1987
bwa,50.2,1988
bwa,50.8,1989
bwa,51.3,1990
bwa,51.9,1991
bwa,54.2,1992
bwa,56.6,1993
bwa,59.0,1994
bwa,61.3,1995
bwa,63.5,1996
bwa,63.6,1997
bwa,63.7,1998
bwa,63.1,1999
bwa,62.5,2000
bwa,61.1,2001
bwa,63.1,2002
bwa,63.0,2003
bwa,63.8,2004
bwa,64.7,2005
bwa,65.2,2006
bwa,64.3,2007
bra,36.0,1980
bra,36.6,1981
bra,37.1,1982
bra,37.3,1983
bra,37.6,1984
bra,38.1,1985
bra,38.4,1986
bra,39.3,1987
bra,40.1,1988
bra,41.1,1989
bra,41.9,1990
bra,44.2,1991
bra,46.6,1992
bra,48.5,1993
bra,50.8,1994
bra,53.2,1995
bra,55.2,1996
bra,57.6,1997
bra,60.0,1998
bra,62.1,1999
bra,63.8,2000
bra,65.3,2001
bra,67.0,2002
bra,67.8,2003
bra,69.1,2004
bra,69.7,2005
bra,70.1,2006
bra,71.7,2007
brn,33.4,1980
brn,34.3,1981
brn,36.4,1982
brn,38.4,1983
brn,40.4,1984
brn,42.6,1985
brn,44.9,1986
brn,47.2,1987
brn,49.6,1988
brn,52.0,1989
brn,54.3,1990
brn,56.7,1991
brn,58.0,1992
brn,59.3,1993
brn,60.5,1994
brn,61.7,1995
brn,62.8,1996
brn,63.9,1997
brn,64.9,1998
brn,65.9,1999
brn,66.9,2000
brn,67.9,2001
brn,68.3,2002
brn,68.7,2003
brn,69.3,2004
brn,70.0,2005
brn,70.8,2006
brn,71.6,2007
bgr,93.3,1980
bgr,93.4,1981
bgr,93.4,1982
bgr,93.4,1983
bgr,93.3,1984
bgr,93.3,1985
bgr,93.0,1986
bgr,92.8,1987
bgr,92.5,1988
bgr,92.4,1989
bgr,92.3,1990
bgr,91.1,1991
bgr,90.9,1992
bgr,89.8,1993
bgr,88.5,1994
bgr,87.0,1995
bgr,85.3,1996
bgr,83.3,1997
bgr,81.1,1998
bgr,78.7,1999
bgr,76.1,2000
bgr,79.8,2001
bgr,78.9,2002
bgr,76.1,2003
bgr,76.4,2004
bgr,76.6,2005
bgr,78.8,2006
bgr,76.0,2007
bfa,80.8,1980
bfa,80.8,1981
bfa,81.2,1982
bfa,81.0,1983
bfa,80.7,1984
bfa,81.0,1985
bfa,81.6,1986
bfa,82.2,1987
bfa,82.8,1988
bfa,83.3,1989
bfa,83.8,1990
bfa,84.2,1991
bfa,84.1,1992
bfa,84.2,1993
bfa,84.1,1994
bfa,84.2,1995
bfa,84.4,1996
bfa,84.6,1997
bfa,84.5,1998
bfa,84.8,1999
bfa,84.7,2000
bfa,85.0,2001
bfa,85.1,2002
bfa,85.4,2003
bfa,85.6,2004
bfa,85.8,2005
bfa,86.1,2006
bfa,86.1,2007
bdi,95.0,1980
bdi,95.2,1981
bdi,95.2,1982
bdi,95.3,1983
bdi,95.3,1984
bdi,95.4,1985
bdi,95.4,1986
bdi,95.8,1987
bdi,96.1,1988
bdi,96.3,1989
bdi,96.4,1990
bdi,96.4,1991
bdi,96.3,1992
bdi,96.1,1993
bdi,96.0,1994
bdi,95.8,1995
bdi,95.5,1996
bdi,95.4,1997
bdi,95.4,1998
bdi,95.4,1999
bdi,95.3,2000
bdi,95.4,2001
bdi,95.6,2002
bdi,95.6,2003
bdi,95.7,2004
bdi,95.7,2005
bdi,95.8,2006
bdi,95.8,2007
khm,83.7,1980
khm,83.8,1981
khm,83.9,1982
khm,84.1,1983
khm,84.2,1984
khm,84.1,1985
khm,84.2,1986
khm,84.3,1987
khm,84.5,1988
khm,84.8,1989
khm,85.0,1990
khm,85.2,1991
khm,85.4,1992
khm,85.5,1993
khm,85.8,1994
khm,85.9,1995
khm,86.0,1996
khm,85.5,1997
khm,85.0,1998
khm,84.5,1999
khm,83.9,2000
khm,83.4,2001
khm,82.8,2002
khm,82.1,2003
khm,81.5,2004
khm,81.6,2005
khm,81.8,2006
khm,80.5,2007
cmr,67.0,1980
cmr,65.6,1981
cmr,63.9,1982
cmr,64.7,1983
cmr,65.3,1984
cmr,66.1,1985
cmr,66.2,1986
cmr,65.7,1987
cmr,64.4,1988
cmr,64.1,1989
cmr,63.4,1990
cmr,62.9,1991
cmr,62.3,1992
cmr,61.8,1993
cmr,61.5,1994
cmr,61.8,1995
cmr,62.2,1996
cmr,62.8,1997
cmr,63.2,1998
cmr,63.7,1999
cmr,64.2,2000
cmr,64.7,2001
cmr,65.0,2002
cmr,65.1,2003
cmr,65.3,2004
cmr,65.5,2005
cmr,65.9,2006
cmr,66.3,2007
can,60.0,1980
can,62.6,1981
can,63.5,1982
can,65.1,1983
can,66.7,1984
can,68.6,1985
can,70.2,1986
can,71.5,1987
can,73.2,1988
can,74.4,1989
can,75.5,1990
can,75.9,1991
can,75.3,1992
can,75.7,1993
can,75.4,1994
can,75.7,1995
can,76.0,1996
can,76.8,1997
can,77.6,1998
can,78.2,1999
can,78.5,2000
can,79.1,2001
can,80.4,2002
can,81.1,2003
can,81.5,2004
can,81.1,2005
can,81.3,2006
can,82.5,2007
cpv,46.4,1980
cpv,46.4,1981
cpv,46.5,1982
cpv,46.4,1983
cpv,46.2,1984
cpv,46.3,1985
cpv,46.4,1986
cpv,46.2,1987
cpv,46.4,1988
cpv,46.6,1989
cpv,46.4,1990
cpv,46.5,1991
cpv,46.9,1992
cpv,47.9,1993
cpv,48.8,1994
cpv,49.9,1995
cpv,50.6,1996
cpv,51.5,1997
cpv,52.6,1998
cpv,53.9,1999
cpv,55.0,2000
cpv,55.6,2001
cpv,56.4,2002
cpv,57.2,2003
cpv,57.6,2004
cpv,59.3,2005
cpv,60.2,2006
cpv,62.4,2007
caf,76.7,1980
caf,76.2,1981
caf,76.7,1982
caf,75.8,1983
caf,76.2,1984
caf,76.2,1985
caf,76.2,1986
caf,75.5,1987
caf,75.3,1988
caf,75.2,1989
caf,74.6,1990
caf,74.3,1991
caf,73.5,1992
caf,73.4,1993
caf,73.8,1994
caf,74.2,1995
caf,73.6,1996
caf,73.9,1997
caf,74.2,1998
caf,74.3,1999
caf,74.4,2000
caf,74.3,2001
caf,74.1,2002
caf,73.2,2003
caf,73.2,2004
caf,73.3,2005
caf,73.5,2006
caf,73.1,2007
tcd,27.4,1980
tcd,30.2,1981
tcd,33.3,1982
tcd,36.5,1983
tcd,39.8,1984
tcd,43.2,1985
tcd,46.7,1986
tcd,50.2,1987
tcd,53.7,1988
tcd,57.1,1989
tcd,60.5,1990
tcd,63.8,1991
tcd,66.9,1992
tcd,69.9,1993
tcd,71.4,1994
tcd,70.6,1995
tcd,70.5,1996
tcd,71.1,1997
tcd,71.5,1998
tcd,70.8,1999
tcd,70.3,2000
tcd,71.5,2001
tcd,72.6,2002
tcd,77.2,2003
tcd,80.9,2004
tcd,81.9,2005
tcd,81.4,2006
tcd,81.4,2007
chl,36.5,1980
chl,37.0,1981
chl,37.6,1982
chl,39.7,1983
chl,39.7,1984
chl,38.9,1985
chl,39.2,1986
chl,40.0,1987
chl,40.9,1988
chl,41.8,1989
chl,41.8,1990
chl,41.8,1991
chl,43.9,1992
chl,45.4,1993
chl,45.4,1994
chl,44.2,1995
chl,45.4,1996
chl,46.6,1997
chl,48.1,1998
chl,48.9,1999
chl,47.9,2000
chl,48.1,2001
chl,48.5,2002
chl,49.9,2003
chl,53.2,2004
chl,52.4,2005
chl,54.7,2006
chl,54.0,2007
chn,80.9,1980
chn,81.1,1981
chn,81.3,1982
chn,82.0,1983
chn,82.7,1984
chn,83.3,1985
chn,84.0,1986
chn,84.7,1987
chn,85.3,1988
chn,85.9,1989
chn,86.5,1990
chn,86.8,1991
chn,87.1,1992
chn,87.5,1993
chn,87.7,1994
chn,88.0,1995
chn,88.1,1996
chn,88.2,1997
chn,88.2,1998
chn,88.2,1999
chn,88.2,2000
chn,88.2,2001
chn,88.2,2002
chn,88.2,2003
chn,88.2,2004
chn,88.2,2005
chn,88.4,2006
chn,88.4,2007
col,45.3,1980
col,47.5,1981
col,49.7,1982
col,51.7,1983
col,53.5,1984
col,55.0,1985
col,56.0,1986
col,57.9,1987
col,58.2,1988
col,58.4,1989
col,57.5,1990
col,61.5,1991
col,64.1,1992
col,64.8,1993
col,63.6,1994
col,64.1,1995
col,64.6,1996
col,67.6,1997
col,69.1,1998
col,73.7,1999
col,74.9,2000
col,76.0,2001
col,77.1,2002
col,78.3,2003
col,79.7,2004
col,81.1,2005
col,82.7,2006
col,82.8,2007
com,71.4,1980
com,71.5,1981
com,71.8,1982
com,72.0,1983
com,72.1,1984
com,72.2,1985
com,72.2,1986
com,72.1,1987
com,72.4,1988
com,71.8,1989
com,72.3,1990
com,71.7,1991
com,72.3,1992
com,72.7,1993
com,72.3,1994
com,72.6,1995
com,72.6,1996
com,73.1,1997
com,73.3,1998
com,73.6,1999
com,73.8,2000
com,74.0,2001
com,74.3,2002
com,74.4,2003
com,74.5,2004
com,74.7,2005
com,74.7,2006
com,75.4,2007
cog,59.5,1980
cog,60.5,1981
cog,62.7,1982
cog,63.2,1983
cog,63.4,1984
cog,63.0,1985
cog,61.0,1986
cog,60.7,1987
cog,62.6,1988
cog,62.8,1989
cog,63.0,1990
cog,62.9,1991
cog,62.5,1992
cog,62.3,1993
cog,61.5,1994
cog,66.2,1995
cog,66.6,1996
cog,63.9,1997
cog,63.4,1998
cog,63.7,1999
cog,64.2,2000
cog,64.4,2001
cog,64.1,2002
cog,63.5,2003
cog,63.6,2004
cog,63.9,2005
cog,64.4,2006
cog,63.6,2007
cod,68.0,1980
cod,67.9,1981
cod,67.5,1982
cod,67.2,1983
cod,67.6,1984
cod,67.6,1985
cod,67.7,1986
cod,67.7,1987
cod,67.4,1988
cod,66.8,1989
cod,65.8,1990
cod,64.4,1991
cod,61.7,1992
cod,60.4,1993
cod,60.2,1994
cod,60.1,1995
cod,58.8,1996
cod,57.9,1997
cod,57.4,1998
cod,56.9,1999
cod,55.9,2000
cod,55.3,2001
cod,54.9,2002
cod,54.9,2003
cod,55.4,2004
cod,55.9,2005
cod,56.0,2006
cod,55.0,2007
cri,38.4,1980
cri,39.0,1981
cri,37.8,1982
cri,36.6,1983
cri,37.6,1984
cri,37.2,1985
cri,38.1,1986
cri,39.4,1987
cri,40.9,1988
cri,42.3,1989
cri,42.7,1990
cri,41.6,1991
cri,44.1,1992
cri,46.0,1993
cri,46.5,1994
cri,48.3,1995
cri,47.4,1996
cri,48.7,1997
cri,50.3,1998
cri,53.7,1999
cri,52.0,2000
cri,52.4,2001
cri,52.4,2002
cri,52.5,2003
cri,51.6,2004
cri,53.0,2005
cri,55.0,2006
cri,55.0,2007
civ,50.8,1980
civ,50.7,1981
civ,50.1,1982
civ,49.3,1983
civ,47.9,1984
civ,48.1,1985
civ,47.6,1986
civ,47.3,1987
civ,47.0,1988
civ,47.6,1989
civ,47.2,1990
civ,46.6,1991
civ,46.2,1992
civ,46.0,1993
civ,45.5,1994
civ,46.2,1995
civ,46.9,1996
civ,47.4,1997
civ,48.0,1998
civ,48.4,1999
civ,48.0,2000
civ,48.0,2001
civ,47.8,2002
civ,47.5,2003
civ,47.7,2004
civ,47.7,2005
civ,47.9,2006
civ,47.7,2007
hrv,77.2,1980
hrv,77.3,1981
hrv,77.3,1982
hrv,77.4,1983
hrv,77.5,1984
hrv,77.6,1985
hrv,77.7,1986
hrv,77.9,1987
hrv,78.1,1988
hrv,78.2,1989
hrv,78.3,1990
hrv,72.1,1991
hrv,72.5,1992
hrv,72.9,1993
hrv,73.3,1994
hrv,73.5,1995
hrv,73.6,1996
hrv,73.7,1997
hrv,73.7,1998
hrv,73.7,1999
hrv,73.7,2000
hrv,73.9,2001
hrv,73.8,2002
hrv,73.7,2003
hrv,73.6,2004
hrv,73.6,2005
hrv,73.5,2006
hrv,74.1,2007
cub,47.9,1980
cub,47.3,1981
cub,46.0,1982
cub,45.4,1983
cub,46.0,1984
cub,45.8,1985
cub,46.8,1986
cub,47.8,1987
cub,49.0,1988
cub,50.2,1989
cub,51.3,1990
cub,52.5,1991
cub,53.3,1992
cub,54.4,1993
cub,55.6,1994
cub,57.0,1995
cub,58.6,1996
cub,60.3,1997
cub,62.1,1998
cub,63.5,1999
cub,64.6,2000
cub,65.1,2001
cub,65.5,2002
cub,66.0,2003
cub,65.9,2004
cub,66.6,2005
cub,68.0,2006
cub,68.3,2007
cyp,41.6,1980
cyp,43.0,1981
cyp,46.0,1982
cyp,48.4,1983
cyp,51.2,1984
cyp,53.7,1985
cyp,55.7,1986
cyp,56.4,1987
cyp,59.0,1988
cyp,60.9,1989
cyp,61.7,1990
cyp,61.7,1991
cyp,64.2,1992
cyp,64.0,1993
cyp,63.8,1994
cyp,63.5,1995
cyp,64.6,1996
cyp,65.7,1997
cyp,66.7,1998
cyp,67.7,1999
cyp,68.6,2000
cyp,72.2,2001
cyp,74.8,2002
cyp,76.7,2003
cyp,77.4,2004
cyp,76.5,2005
cyp,77.3,2006
cyp,79.2,2007
cze,87.3,1980
cze,87.5,1981
cze,87.7,1982
cze,87.9,1983
cze,88.2,1984
cze,88.4,1985
cze,88.7,1986
cze,88.9,1987
cze,89.1,1988
cze,89.3,1989
cze,89.4,1990
cze,83.4,1991
cze,83.5,1992
cze,83.5,1993
cze,83.3,1994
cze,83.0,1995
cze,82.0,1996
cze,82.0,1997
cze,81.8,1998
cze,82.0,1999
cze,81.8,2000
cze,81.9,2001
cze,81.5,2002
cze,81.0,2003
cze,80.9,2004
cze,81.6,2005
cze,81.3,2006
cze,83.2,2007
dnk,83.2,1980
dnk,83.0,1981
dnk,83.5,1982
dnk,84.0,1983
dnk,82.7,1984
dnk,84.5,1985
dnk,85.9,1986
dnk,85.7,1987
dnk,86.4,1988
dnk,86.5,1989
dnk,87.7,1990
dnk,87.5,1991
dnk,87.4,1992
dnk,86.7,1993
dnk,82.6,1994
dnk,82.1,1995
dnk,82.1,1996
dnk,81.9,1997
dnk,82.9,1998
dnk,83.6,1999
dnk,84.4,2000
dnk,83.6,2001
dnk,84.4,2002
dnk,83.5,2003
dnk,84.9,2004
dnk,84.1,2005
dnk,85.1,2006
dnk,85.4,2007
dji,70.3,1980
dji,70.0,1981
dji,69.5,1982
dji,69.7,1983
dji,69.8,1984
dji,69.6,1985
dji,68.9,1986
dji,69.1,1987
dji,69.0,1988
dji,69.1,1989
dji,69.9,1990
dji,70.5,1991
dji,71.1,1992
dji,71.4,1993
dji,71.7,1994
dji,72.0,1995
dji,71.7,1996
dji,71.7,1997
dji,71.7,1998
dji,71.8,1999
dji,71.9,2000
dji,72.3,2001
dji,72.6,2002
dji,72.6,2003
dji,72.9,2004
dji,73.4,2005
dji,74.0,2006
dji,73.8,2007
dom,34.0,1980
dom,34.7,1981
dom,34.2,1982
dom,33.8,1983
dom,33.3,1984
dom,32.9,1985
dom,32.5,1986
dom,32.1,1987
dom,31.7,1988
dom,31.3,1989
dom,30.9,1990
dom,30.5,1991
dom,30.1,1992
dom,29.7,1993
dom,33.3,1994
dom,37.2,1995
dom,41.2,1996
dom,45.4,1997
dom,49.7,1998
dom,53.9,1999
dom,58.2,2000
dom,62.3,2001
dom,66.3,2002
dom,66.7,2003
dom,66.2,2004
dom,67.2,2005
dom,70.7,2006
dom,71.7,2007
tls,58.9,1980
tls,58.6,1981
tls,58.2,1982
tls,58.0,1983
tls,57.7,1984
tls,57.3,1985
tls,57.0,1986
tls,56.6,1987
tls,56.2,1988
tls,56.0,1989
tls,55.9,1990
tls,55.9,1991
tls,56.0,1992
tls,56.3,1993
tls,56.8,1994
tls,57.6,1995
tls,58.7,1996
tls,60.1,1997
tls,61.6,1998
tls,63.0,1999
tls,63.9,2000
tls,64.2,2001
tls,64.0,2002
tls,63.6,2003
tls,63.3,2004
tls,63.1,2005
tls,63.1,2006
tls,64.6,2007
ecu,26.3,1980
ecu,26.7,1981
ecu,22.5,1982
ecu,24.5,1983
ecu,26.7,1984
ecu,28.9,1985
ecu,31.3,1986
ecu,33.7,1987
ecu,36.3,1988
ecu,36.3,1989
ecu,36.2,1990
ecu,38.0,1991
ecu,39.8,1992
ecu,41.6,1993
ecu,43.5,1994
ecu,45.3,1995
ecu,46.9,1996
ecu,48.5,1997
ecu,49.9,1998
ecu,51.2,1999
