geo,electricity_generation_per_person,time
hun,3455.0,1997
hun,3642.0,1998
hun,3652.0,1999
hun,3471.0,2000
hun,3602.0,2001
hun,3586.0,2002
hun,3395.0,2003
hun,3360.0,2004
hun,3573.0,2005
hun,3593.0,2006
hun,4014.0,2007
hun,4028.0,2008
isl,17710.0,1990
isl,17500.0,1991
isl,17550.0,1992
isl,18090.0,1993
isl,17960.0,1994
isl,18600.0,1995
isl,19010.0,1996
isl,20580.0,1997
isl,22900.0,1998
isl,25910.0,1999
isl,27320.0,2000
isl,28190.0,2001
isl,29200.0,2002
isl,29190.0,2003
isl,29320.0,2004
isl,29250.0,2005
isl,31890.0,2006
isl,39660.0,2007
isl,54100.0,2008
ind,352.8,1990
ind,373.7,1991
ind,388.3,1992
ind,408.1,1993
ind,433.6,1994
ind,456.0,1995
ind,470.8,1996
ind,493.8,1997
ind,519.8,1998
ind,547.1,1999
ind,561.1,2000
ind,570.0,2001
ind,585.7,2002
ind,611.1,2003
ind,632.6,2004
ind,656.0,2005
ind,693.6,2006
ind,728.4,2007
ind,741.3,2008
idn,186.8,1990
idn,207.4,1991
idn,221.9,1992
idn,236.2,1993
idn,270.2,1994
idn,302.4,1995
idn,338.7,1996
idn,383.8,1997
idn,383.3,1998
idn,413.3,1999
idn,449.1,2000
idn,487.2,2001
idn,512.7,2002
idn,526.5,2003
idn,556.4,2004
idn,583.0,2005
idn,602.3,2006
idn,637.1,2007
idn,668.4,2008
irn,1011.0,1990
irn,1063.0,1991
irn,1112.0,1992
irn,1230.0,1993
irn,1331.0,1994
irn,1369.0,1995
irn,1421.0,1996
irn,1531.0,1997
irn,1596.0,1998
irn,1696.0,1999
irn,1818.0,2000
irn,1929.0,2001
irn,2066.0,2002
irn,2169.0,2003
irn,2317.0,2004
irn,2494.0,2005
irn,2683.0,2006
irn,2823.0,2007
irn,2937.0,2008
irl,4137.0,1990
irl,4290.0,1991
irl,4500.0,1992
irl,4582.0,1993
irl,4763.0,1994
irl,4947.0,1995
irl,5275.0,1996
irl,5442.0,1997
irl,5685.0,1998
irl,5877.0,1999
irl,6324.0,2000
irl,6601.0,2001
irl,6350.0,2002
irl,6448.0,2003
irl,6441.0,2004
irl,6467.0,2005
irl,6656.0,2006
irl,6869.0,2007
irl,7158.0,2008
ita,3822.0,1990
ita,3913.0,1991
ita,3980.0,1992
ita,3907.0,1993
ita,4054.0,1994
ita,4216.0,1995
ita,4262.0,1996
ita,4375.0,1997
ita,4514.0,1998
ita,4612.0,1999
ita,4793.0,2000
ita,4823.0,2001
ita,4910.0,2002
ita,5067.0,2003
ita,5224.0,2004
ita,5226.0,2005
ita,5403.0,2006
ita,5398.0,2007
ita,5467.0,2008
jpn,6808.0,1990
jpn,7026.0,1991
jpn,7049.0,1992
jpn,7117.0,1993
jpn,7549.0,1994
jpn,7728.0,1995
jpn,7874.0,1996
jpn,8055.0,1997
jpn,8078.0,1998
jpn,8196.0,1999
jpn,8350.0,2000
jpn,8194.0,2001
jpn,8329.0,2002
jpn,8510.0,2003
jpn,8700.0,2004
jpn,8897.0,2005
jpn,8942.0,2006
jpn,9101.0,2007
jpn,9059.0,2008
kaz,5329.0,1990
kaz,5210.0,1991
kaz,5028.0,1992
kaz,4734.0,1993
kaz,4127.0,1994
kaz,4203.0,1995
kaz,3743.0,1996
kaz,3358.0,1997
kaz,3266.0,1998
kaz,3136.0,1999
kaz,3435.0,2000
kaz,3694.0,2001
kaz,3893.0,2002
kaz,4227.0,2003
kaz,4420.0,2004
kaz,4473.0,2005
kaz,4705.0,2006
kaz,5013.0,2007
kaz,5214.0,2008
kor,2770.0,1990
kor,3052.0,1991
kor,3375.0,1992
kor,3690.0,1993
kor,4130.0,1994
kor,4531.0,1995
kor,4976.0,1996
kor,5385.0,1997
kor,5164.0,1998
kor,5680.0,1999
kor,6233.0,2000
kor,6582.0,2001
kor,7009.0,2002
kor,7310.0,2003
kor,7685.0,2004
kor,8154.0,2005
kor,8515.0,2006
kor,8971.0,2007
kor,9402.0,2008
kwt,8626.0,1990
kwt,11300.0,1991
kwt,11910.0,1992
kwt,13600.0,1993
kwt,14700.0,1994
kwt,14640.0,1995
kwt,15050.0,1996
kwt,15140.0,1997
kwt,16330.0,1998
kwt,16570.0,1999
kwt,16650.0,2000
kwt,17060.0,2001
kwt,17470.0,2002
kwt,18230.0,2003
kwt,18270.0,2004
kwt,18720.0,2005
kwt,19690.0,2006
kwt,19680.0,2007
kwt,20040.0,2008
ltu,7688.0,1990
ltu,7931.0,1991
ltu,5056.0,1992
ltu,3824.0,1993
ltu,2717.0,1994
ltu,3767.0,1995
ltu,4577.0,1996
ltu,4056.0,1997
ltu,4815.0,1998
ltu,3700.0,1999
ltu,3126.0,2000
ltu,4042.0,2001
ltu,4877.0,2002
ltu,5383.0,2003
ltu,5342.0,2004
ltu,4111.0,2005
ltu,3481.0,2006
ltu,3918.0,2007
ltu,3930.0,2008
mys,1443.0,1990
mys,1582.0,1991
mys,1741.0,1992
mys,1898.0,1993
mys,2088.0,1994
mys,2378.0,1995
mys,2635.0,1996
mys,2865.0,1997
mys,2892.0,1998
mys,2929.0,1999
mys,3060.0,2000
mys,3252.0,2001
mys,3324.0,2002
mys,3638.0,2003
mys,3854.0,2004
mys,4017.0,2005
mys,4135.0,2006
mys,4228.0,2007
mys,4211.0,2008
mex,1442.0,1990
mex,1466.0,1991
mex,1477.0,1992
mex,1504.0,1993
mex,1598.0,1994
mex,1642.0,1995
mex,1722.0,1996
mex,1826.0,1997
mex,1868.0,1998
mex,1950.0,1999
mex,2045.0,2000
mex,2071.0,2001
mex,2089.0,2002
mex,2092.0,2003
mex,2115.0,2004
mex,2195.0,2005
mex,2279.0,2006
mex,2334.0,2007
mex,2335.0,2008
nld,4807.0,1990
nld,4928.0,1991
nld,5088.0,1992
nld,5040.0,1993
nld,5178.0,1994
nld,5243.0,1995
nld,5477.0,1996
nld,5548.0,1997
nld,5786.0,1998
nld,5485.0,1999
nld,5624.0,2000
nld,5851.0,2001
nld,5972.0,2002
nld,5961.0,2003
nld,6278.0,2004
nld,6121.0,2005
nld,5993.0,2006
nld,6346.0,2007
nld,6464.0,2008
nzl,9569.0,1990
nzl,9818.0,1991
nzl,9520.0,1992
nzl,9810.0,1993
nzl,9929.0,1994
nzl,10090.0,1995
nzl,10050.0,1996
nzl,10110.0,1997
nzl,10020.0,1998
nzl,10020.0,1999
nzl,10280.0,2000
nzl,10270.0,2001
nzl,10400.0,2002
nzl,10330.0,2003
nzl,10640.0,2004
nzl,10650.0,2005
nzl,10700.0,2006
nzl,10630.0,2007
nzl,10530.0,2008
nor,28720.0,1990
nor,26050.0,1991
nor,27410.0,1992
nor,27850.0,1993
nor,26170.0,1994
nor,28260.0,1995
nor,23910.0,1996
nor,25340.0,1997
nor,26390.0,1998
nor,27480.0,1999
nor,31830.0,2000
nor,27000.0,2001
nor,28790.0,2002
nor,23550.0,2003
nor,24180.0,2004
nor,30060.0,2005
nor,26390.0,2006
nor,29760.0,2007
nor,30720.0,2008
pak,401.3,1990
pak,426.8,1991
pak,446.2,1992
pak,465.5,1993
pak,461.6,1994
pak,495.4,1995
pak,511.3,1996
pak,460.9,1997
pak,477.6,1998
pak,458.4,1999
pak,441.8,2000
pak,499.7,2001
pak,532.2,2002
pak,541.1,2003
pak,556.9,2004
pak,536.3,2005
pak,580.4,2006
pak,583.6,2007
pak,550.6,2008
per,641.9,1990
per,659.3,1991
per,585.0,1992
per,646.6,1993
per,678.8,1994
per,677.0,1995
per,711.0,1996
per,725.4,1997
per,738.2,1998
per,744.7,1999
per,766.8,2000
per,788.0,2001
per,821.2,2002
per,844.0,2003
per,881.0,2004
per,913.5,2005
per,967.0,2006
per,1044.0,2007
per,1123.0,2008
phl,409.3,1990
phl,389.9,1991
phl,385.1,1992
phl,387.4,1993
phl,434.4,1994
phl,467.9,1995
phl,500.2,1996
phl,530.5,1997
phl,543.0,1998
phl,530.3,1999
phl,568.0,2000
phl,578.2,2001
phl,584.0,2002
phl,625.6,2003
phl,648.8,2004
phl,643.9,2005
phl,634.7,2006
phl,654.5,2007
phl,643.2,2008
pol,3577.0,1990
pol,3522.0,1991
pol,3459.0,1992
pol,3480.0,1993
pol,3511.0,1994
pol,3601.0,1995
pol,3706.0,1996
pol,3693.0,1997
pol,3692.0,1998
pol,3676.0,1999
pol,3756.0,2000
pol,3769.0,2001
pol,3731.0,2002
pol,3928.0,2003
pol,3996.0,2004
pol,4070.0,2005
pol,4197.0,2006
pol,4137.0,2007
pol,4016.0,2008
prt,2872.0,1990
prt,3011.0,1991
prt,3031.0,1992
prt,3131.0,1993
prt,3129.0,1994
prt,3305.0,1995
prt,3418.0,1996
prt,3368.0,1997
prt,3813.0,1998
prt,4209.0,1999
prt,4234.0,2000
prt,4478.0,2001
prt,4419.0,2002
prt,4471.0,2003
prt,4286.0,2004
prt,4409.0,2005
prt,4624.0,2006
prt,4458.0,2007
prt,4319.0,2008
qat,10060.0,1990
qat,9254.0,1991
qat,9790.0,1992
qat,9982.0,1993
qat,9994.0,1994
qat,9807.0,1995
qat,10330.0,1996
qat,10350.0,1997
qat,11770.0,1998
qat,12430.0,1999
qat,12270.0,2000
qat,12940.0,2001
qat,13790.0,2002
qat,14700.0,2003
qat,15750.0,2004
qat,16680.0,2005
qat,17310.0,2006
qat,19290.0,2007
qat,21220.0,2008
rou,2789.0,1990
rou,2493.0,1991
rou,2377.0,1992
rou,2437.0,1993
rou,2425.0,1994
rou,2612.0,1995
rou,2711.0,1996
rou,2533.0,1997
rou,2376.0,1998
rou,2256.0,1999
rou,2313.0,2000
rou,2402.0,2001
rou,2452.0,2002
rou,2531.0,2003
rou,2527.0,2004
rou,2661.0,2005
rou,2811.0,2006
rou,2769.0,2007
rou,2905.0,2008
rus,7313.0,1990
rus,7202.0,1991
rus,6792.0,1992
rus,6442.0,1993
rus,5904.0,1994
rus,5806.0,1995
rus,5711.0,1996
rus,5632.0,1997
rus,5588.0,1998
rus,5742.0,1999
rus,5982.0,2000
rus,6104.0,2001
rus,6135.0,2002
rus,6308.0,2003
rus,6473.0,2004
rus,6646.0,2005
rus,6970.0,2006
rus,7125.0,2007
rus,7305.0,2008
sau,4366.0,1990
sau,4573.0,1991
sau,4699.0,1992
sau,4869.0,1993
sau,5071.0,1994
sau,5001.0,1995
sau,5012.0,1996
sau,5054.0,1997
sau,5159.0,1998
sau,5337.0,1999
sau,5450.0,2000
sau,5609.0,2001
sau,5785.0,2002
sau,6082.0,2003
sau,6180.0,2004
sau,6623.0,2005
sau,6654.0,2006
sau,6735.0,2007
sau,6878.0,2008
sgp,5126.0,1990
sgp,5278.0,1991
sgp,5421.0,1992
sgp,5697.0,1993
sgp,6032.0,1994
sgp,6226.0,1995
sgp,6388.0,1996
sgp,6887.0,1997
sgp,7244.0,1998
sgp,7440.0,1999
sgp,7844.0,2000
sgp,8031.0,2001
sgp,8258.0,2002
sgp,8261.0,2003
sgp,8455.0,2004
sgp,8634.0,2005
sgp,8780.0,2006
sgp,9035.0,2007
sgp,9053.0,2008
svk,4564.0,1990
svk,4304.0,1991
svk,4197.0,1992
svk,4589.0,1993
svk,4628.0,1994
svk,4832.0,1995
svk,4701.0,1996
svk,4505.0,1997
svk,4638.0,1998
svk,5142.0,1999
svk,5682.0,2000
svk,5929.0,2001
svk,5994.0,2002
svk,5756.0,2003
svk,5636.0,2004
svk,5791.0,2005
svk,5776.0,2006
svk,5150.0,2007
svk,5405.0,2008
zaf,4308.0,1990
zaf,4296.0,1991
zaf,4199.0,1992
zaf,4296.0,1993
zaf,4427.0,1994
zaf,4503.0,1995
zaf,4729.0,1996
zaf,4911.0,1997
zaf,4739.0,1998
zaf,4643.0,1999
zaf,4781.0,2000
zaf,4743.0,2001
zaf,4900.0,2002
zaf,5266.0,2003
zaf,5503.0,2004
zaf,5523.0,2005
zaf,5744.0,2006
zaf,6051.0,2007
zaf,6251.0,2008
esp,3856.0,1990
esp,4039.0,1991
esp,4074.0,1992
esp,4060.0,1993
esp,4144.0,1994
esp,4249.0,1995
esp,4434.0,1996
esp,4614.0,1997
esp,4913.0,1998
esp,5229.0,1999
esp,5617.0,2000
esp,5923.0,2001
esp,6131.0,2002
esp,6575.0,2003
esp,6951.0,2004
esp,7290.0,2005
esp,7502.0,2006
esp,7575.0,2007
esp,7658.0,2008
swe,17030.0,1990
swe,17000.0,1991
swe,16800.0,1992
swe,16650.0,1993
swe,16180.0,1994
swe,16630.0,1995
swe,15710.0,1996
swe,16790.0,1997
