geo,maternal_deaths_lifetime_risk_per_1000,time
cod,33.33,2010
cog,45.45,2005
cog,25.64,2008
cog,25.64,2010
cri,0.7143,2005
cri,0.9091,2008
cri,0.7692,2010
civ,37.04,2005
civ,22.73,2008
civ,18.87,2010
hrv,0.09524,2005
hrv,0.1923,2008
hrv,0.2439,2010
cub,0.7143,2005
cub,0.7143,2008
cub,1.0,2010
cyp,0.1562,2005
cyp,0.1515,2008
cyp,0.1587,2010
cze,0.05525,2005
cze,0.1176,2008
cze,0.08264,2010
dnk,0.05618,2005
dnk,0.09174,2008
dnk,0.2222,2010
dji,28.57,2005
dji,10.75,2008
dji,7.143,2010
dom,4.348,2005
dom,3.125,2008
dom,4.167,2010
ecu,5.882,2005
ecu,3.704,2008
ecu,2.857,2010
egy,4.348,2005
egy,2.632,2008
egy,2.041,2010
slv,5.263,2005
slv,2.857,2008
slv,2.041,2010
gnq,35.71,2005
gnq,13.7,2008
gnq,11.36,2010
eri,22.73,2005
eri,13.89,2008
eri,11.63,2010
est,0.3448,2005
est,0.1887,2008
est,0.03984,2010
eth,37.04,2005
eth,25.0,2008
eth,14.93,2010
fji,6.25,2005
fji,0.7692,2008
fji,0.7143,2010
fin,0.1176,2005
fin,0.1316,2008
fin,0.08197,2010
fra,0.1449,2005
fra,0.1515,2008
fra,0.1613,2010
gab,18.87,2005
gab,9.091,2008
gab,7.692,2010
gmb,31.25,2005
gmb,20.41,2008
gmb,17.86,2010
geo,0.9091,2005
geo,0.7692,2008
geo,1.042,2010
deu,0.05208,2005
deu,0.09009,2008
deu,0.09434,2010
gha,22.22,2005
gha,15.15,2008
gha,14.71,2010
grc,0.03861,2005
grc,0.03145,2008
grc,0.03922,2010
grd,0.5882,2010
gtm,14.08,2005
gtm,4.762,2008
gtm,5.263,2010
gin,52.63,2005
gin,38.46,2008
gin,33.33,2010
gnb,76.92,2005
gnb,55.56,2008
gnb,40.0,2010
guy,11.11,2005
guy,6.667,2008
guy,6.667,2010
hti,22.73,2005
hti,10.75,2008
hti,12.05,2010
hnd,10.75,2005
hnd,4.167,2008
hnd,3.704,2010
hun,0.07519,2005
hun,0.1818,2008
hun,0.303,2010
isl,0.07874,2005
isl,0.1064,2008
isl,0.1124,2010
ind,14.29,2005
ind,7.143,2008
ind,5.882,2010
idn,10.31,2005
idn,5.263,2008
idn,4.762,2010
irn,3.333,2005
irn,0.6667,2008
irn,0.4167,2010
irq,13.89,2005
irq,3.333,2008
irq,3.226,2010
irl,0.02101,2005
irl,0.05618,2008
irl,0.1235,2010
isr,0.1282,2005
isr,0.1961,2008
isr,0.1961,2010
ita,0.03759,2005
ita,0.06579,2008
ita,0.04926,2010
jam,4.167,2005
jam,2.222,2008
jam,2.703,2010
jpn,0.08621,2005
jpn,0.08197,2008
jpn,0.07634,2010
jor,2.222,2005
jor,1.961,2008
jor,2.128,2010
kaz,2.778,2005
kaz,1.053,2008
kaz,1.299,2010
ken,25.64,2005
ken,26.32,2008
ken,18.18,2010
prk,7.143,2005
prk,4.348,2008
prk,1.493,2010
kor,0.1639,2005
kor,0.2128,2008
kor,0.2083,2010
kwt,0.1042,2005
kwt,0.2222,2008
kwt,0.3448,2010
kgz,4.167,2005
kgz,2.222,2008
kgz,2.083,2010
lao,30.3,2005
lao,20.41,2008
lao,13.51,2010
lva,0.1176,2005
lva,0.2778,2008
lva,0.5,2010
lbn,3.448,2005
lbn,0.5,2008
lbn,0.4762,2010
lso,22.22,2005
lso,16.13,2008
lso,18.87,2010
lbr,83.33,2005
lbr,50.0,2008
lbr,41.67,2010
lby,2.857,2005
lby,1.852,2008
lby,1.613,2010
ltu,0.1282,2005
ltu,0.1724,2008
ltu,0.1064,2010
lux,0.2,2005
lux,0.2632,2008
lux,0.3125,2010
mkd,0.1538,2005
mkd,0.137,2008
mkd,0.1587,2010
mdg,26.32,2005
mdg,22.22,2008
mdg,12.35,2010
mwi,55.56,2005
mwi,27.78,2008
mwi,27.78,2010
mys,1.786,2005
mys,0.8333,2008
mys,0.7692,2010
mdv,5.0,2005
mdv,0.8333,2008
mdv,1.149,2010
mli,66.67,2005
mli,45.45,2008
mli,35.71,2010
mlt,0.1205,2005
mlt,0.1087,2008
mlt,0.1124,2010
mrt,45.45,2005
mrt,24.39,2008
mrt,22.73,2010
mus,0.303,2005
mus,0.625,2008
mus,1.0,2010
mex,1.493,2005
mex,2.0,2008
mex,1.266,2010
fsm,3.448,2010
mda,0.2703,2005
mda,0.5,2008
mda,0.6667,2010
mng,1.19,2005
mng,1.37,2008
mng,1.667,2010
mne,0.25,2008
mne,0.1351,2010
mar,6.667,2005
mar,2.778,2008
mar,2.5,2010
moz,22.22,2005
moz,27.03,2008
moz,23.26,2010
mmr,9.091,2005
mmr,5.556,2008
mmr,4.0,2010
nam,5.882,2005
nam,6.25,2008
nam,6.25,2010
npl,32.26,2005
npl,12.5,2008
npl,5.263,2010
nld,0.09804,2005
nld,0.1408,2008
nld,0.09524,2010
nzl,0.1695,2005
nzl,0.2632,2008
nzl,0.303,2010
nic,6.667,2005
nic,3.333,2008
nic,2.857,2010
ner,142.9,2005
ner,62.5,2008
ner,43.48,2010
nga,55.56,2005
nga,43.48,2008
nga,34.48,2010
nor,0.1299,2005
nor,0.1316,2008
nor,0.1266,2010
omn,2.381,2005
omn,0.625,2008
omn,0.8333,2010
pak,13.51,2005
pak,10.75,2008
pak,9.091,2010
pan,3.704,2005
pan,1.923,2008
pan,2.439,2010
png,18.18,2005
png,10.64,2008
png,9.091,2010
pry,5.882,2005
pry,3.226,2008
pry,3.226,2010
per,7.143,2005
per,2.703,2008
per,1.754,2010
phl,7.143,2005
phl,3.125,2008
phl,3.333,2010
pol,0.09434,2005
pol,0.07519,2008
pol,0.06944,2010
prt,0.1562,2005
prt,0.102,2008
prt,0.1087,2010
pri,0.3571,2010
qat,0.3704,2005
qat,0.2273,2008
qat,0.1852,2010
rou,0.3125,2005
rou,0.3704,2008
rou,0.3846,2010
rus,0.3704,2005
rus,0.5263,2008
rus,0.5,2010
rwa,62.5,2005
rwa,28.57,2008
rwa,18.52,2010
lca,0.7143,2010
vct,1.064,2010
wsm,3.846,2010
stp,3.03,2010
sau,0.7143,2005
sau,0.7692,2008
sau,0.7143,2010
sen,47.62,2005
sen,21.74,2008
sen,18.52,2010
srb,0.1333,2008
srb,0.2041,2010
sle,125.0,2005
sle,47.62,2008
sle,43.48,2010
sgp,0.1613,2005
sgp,0.1,2008
sgp,0.03953,2010
svk,0.07246,2005
svk,0.07519,2008
svk,0.08197,2010
svn,0.07042,2005
svn,0.2439,2008
svn,0.1695,2010
slb,10.0,2005
slb,4.348,2008
slb,4.167,2010
som,83.33,2005
som,71.43,2008
som,62.5,2010
zaf,9.091,2005
zaf,10.0,2008
zaf,7.143,2010
esp,0.06098,2005
esp,0.08772,2008
esp,0.08333,2010
lka,1.176,2005
lka,0.9091,2008
lka,0.8333,2010
sdn,18.87,2005
sdn,31.25,2008
sdn,32.26,2010
sur,1.887,2005
sur,2.5,2008
sur,3.125,2010
swz,8.333,2005
swz,13.33,2008
swz,10.53,2010
swe,0.05747,2005
swe,0.08772,2008
swe,0.07092,2010
che,0.07246,2005
che,0.1316,2008
che,0.1053,2010
syr,4.762,2005
syr,1.639,2008
syr,2.174,2010
tjk,6.25,2005
tjk,2.326,2008
tjk,2.326,2010
tza,41.67,2005
tza,43.48,2008
tza,26.32,2010
tha,2.0,2005
tha,0.8333,2008
tha,0.7143,2010
tls,28.57,2005
tls,22.73,2008
tls,18.18,2010
tgo,26.32,2005
tgo,14.93,2008
tgo,12.5,2010
ton,4.348,2010
tto,0.7143,2005
tto,0.9091,2008
tto,0.7692,2010
tun,2.0,2005
tun,1.163,2008
tun,1.163,2010
tur,1.136,2005
tur,0.5263,2008
tur,0.4545,2010
tkm,3.448,2005
tkm,2.0,2008
tkm,1.695,2010
uga,40.0,2005
uga,28.57,2008
uga,20.41,2010
ukr,0.1923,2005
ukr,0.3333,2008
ukr,0.4545,2010
are,1.0,2005
are,0.2381,2008
are,0.25,2010
gbr,0.122,2005
gbr,0.2128,2008
gbr,0.2174,2010
usa,0.2083,2005
usa,0.4762,2008
usa,0.4167,2010
ury,0.4762,2005
ury,0.5882,2008
ury,0.625,2010
uzb,0.7143,2005
uzb,0.7143,2008
uzb,0.7143,2010
vut,4.348,2010
ven,1.639,2005
ven,1.852,2008
ven,2.439,2010
pse,3.03,2010
vnm,3.571,2005
vnm,1.176,2008
vnm,1.149,2010
yem,25.64,2005
yem,10.99,2008
yem,11.11,2010
zmb,37.04,2005
zmb,26.32,2008
zmb,27.03,2010
zwe,23.26,2005
zwe,23.81,2008
zwe,19.23,2010
