primary_completion_rate_total_percent_of_relevant_age_group,geo,time
103.2,syr,2008
103.5,syr,2009
103.6,syr,2010
100.4,tjk,1995
75.23,tjk,1997
92.49,tjk,1999
93.13,tjk,2000
97.77,tjk,2001
98.46,tjk,2002
96.33,tjk,2003
93.05,tjk,2004
102.7,tjk,2005
106.3,tjk,2006
94.92,tjk,2007
97.76,tjk,2008
101.3,tjk,2009
104.0,tjk,2010
103.9,tjk,2011
19.91,tza,1971
24.64,tza,1972
27.9,tza,1973
31.54,tza,1974
35.34,tza,1975
38.88,tza,1976
77.17,tza,1981
87.99,tza,1982
94.21,tza,1983
123.4,tza,1984
80.38,tza,1985
71.8,tza,1986
68.88,tza,1987
62.84,tza,1988
47.56,tza,1989
55.05,tza,1992
57.96,tza,1993
58.44,tza,1997
48.49,tza,1998
57.42,tza,1999
54.99,tza,2001
59.18,tza,2002
58.24,tza,2004
55.34,tza,2005
72.66,tza,2006
83.24,tza,2007
103.0,tza,2009
89.89,tza,2010
37.29,tha,1975
39.29,tha,1976
39.6,tha,1977
40.64,tha,1978
70.86,tha,1981
87.62,tha,1999
79.01,tls,2008
67.98,tls,2009
65.47,tls,2010
25.69,tgo,1971
31.09,tgo,1972
43.46,tgo,1976
53.27,tgo,1978
52.87,tgo,1979
54.64,tgo,1980
51.29,tgo,1981
48.82,tgo,1982
47.79,tgo,1983
41.3,tgo,1984
34.83,tgo,1985
34.64,tgo,1986
33.24,tgo,1987
38.65,tgo,1988
31.29,tgo,1989
37.57,tgo,1990
37.72,tgo,1991
38.74,tgo,1992
30.21,tgo,1994
43.26,tgo,1995
50.54,tgo,1996
59.89,tgo,1999
68.96,tgo,2000
75.46,tgo,2001
74.78,tgo,2003
76.39,tgo,2004
75.6,tgo,2005
75.47,tgo,2006
68.48,tgo,2008
68.19,tgo,2009
73.67,tgo,2010
76.64,tgo,2011
81.95,ton,1977
92.83,ton,1978
111.5,ton,1979
129.6,ton,1981
117.8,ton,1982
116.8,ton,1984
96.07,ton,1985
102.0,ton,1986
127.8,ton,1990
97.09,ton,1991
111.1,ton,1993
107.8,ton,1998
107.4,ton,1999
106.5,ton,2001
106.7,ton,2002
109.1,ton,2005
104.0,ton,2006
108.8,tto,1982
94.2,tto,1985
98.3,tto,1988
101.9,tto,1991
100.8,tto,1992
98.23,tto,1993
86.81,tto,1996
87.0,tto,1997
93.89,tto,1999
86.63,tto,2000
80.73,tto,2001
85.14,tto,2003
91.94,tto,2004
90.21,tto,2005
93.1,tto,2007
90.21,tto,2008
91.96,tto,2009
91.03,tto,2010
55.26,tun,1971
52.77,tun,1972
59.34,tun,1973
60.92,tun,1974
67.52,tun,1975
66.35,tun,1976
67.79,tun,1977
70.47,tun,1978
58.66,tun,1979
60.32,tun,1980
80.19,tun,1981
61.86,tun,1982
62.51,tun,1983
66.18,tun,1984
66.8,tun,1985
69.77,tun,1986
71.04,tun,1987
70.68,tun,1988
75.32,tun,1989
80.14,tun,1990
74.3,tun,1991
69.28,tun,1992
74.09,tun,1993
81.15,tun,1994
91.62,tun,1995
89.05,tun,1996
91.17,tun,1997
89.22,tun,1999
88.18,tun,2000
89.04,tun,2001
93.71,tun,2002
96.88,tun,2003
99.56,tun,2004
101.9,tun,2005
103.1,tun,2007
93.66,tun,2008
91.15,tun,2009
88.67,tur,1984
90.49,tur,1985
95.24,tur,1986
94.56,tur,1987
106.5,tur,1988
91.89,tur,1989
92.11,tur,1990
93.55,tur,1991
98.54,tur,1992
91.7,tur,1993
91.4,tur,1994
89.91,tur,1995
94.19,tur,2004
98.78,tur,2005
96.44,tur,2006
95.89,tur,2007
98.12,tur,2008
99.16,tur,2009
100.4,tur,2010
84.36,tca,2003
96.29,tca,2004
91.75,tca,2005
109.9,tuv,2000
101.7,tuv,2001
92.0,tuv,2002
96.09,tuv,2003
100.0,tuv,2004
106.3,tuv,2005
99.17,tuv,2006
40.11,uga,1975
40.19,uga,1976
42.04,uga,1979
42.18,uga,1982
37.51,uga,1986
59.98,uga,2001
62.25,uga,2002
62.11,uga,2003
58.63,uga,2004
57.5,uga,2005
53.56,uga,2007
58.39,uga,2008
58.51,uga,2009
57.18,uga,2010
54.94,uga,2011
101.7,ukr,1971
100.7,ukr,1972
98.63,ukr,1973
94.38,ukr,1974
92.85,ukr,1976
90.75,ukr,1977
95.96,ukr,1978
97.77,ukr,1979
99.38,ukr,1980
99.84,ukr,1982
99.37,ukr,1983
99.99,ukr,1984
96.29,ukr,1985
98.65,ukr,1988
94.74,ukr,1990
92.23,ukr,1991
93.93,ukr,1992
99.09,ukr,1993
95.12,ukr,1994
96.59,ukr,1998
94.17,ukr,1999
91.2,ukr,2000
95.2,ukr,2001
97.52,ukr,2002
117.0,ukr,2005
104.9,ukr,2006
102.1,ukr,2007
100.2,ukr,2008
97.04,ukr,2009
97.62,ukr,2010
96.62,ukr,2011
40.78,are,1974
43.43,are,1975
51.35,are,1976
58.14,are,1977
61.63,are,1978
66.3,are,1979
68.42,are,1980
72.45,are,1981
82.18,are,1982
82.07,are,1983
79.67,are,1984
76.17,are,1985
77.9,are,1986
77.65,are,1987
75.5,are,1988
82.71,are,1989
91.46,are,1990
98.05,are,1991
96.46,are,1992
93.91,are,1993
92.5,are,1994
90.44,are,1995
86.89,are,1996
90.55,are,1997
89.18,are,1998
88.71,are,1999
86.06,are,2000
82.93,are,2001
87.26,are,2002
90.95,are,2003
96.01,are,2004
99.51,are,2005
99.63,are,2006
100.4,usa,1998
99.3,usa,1999
99.07,usa,2000
101.2,usa,2001
101.1,usa,2002
101.5,usa,2003
100.4,usa,2004
99.27,usa,2005
98.19,usa,2006
100.2,usa,2007
100.6,usa,2008
102.5,usa,2009
103.6,usa,2010
66.4,ury,1970
69.58,ury,1971
68.93,ury,1972
71.54,ury,1973
68.17,ury,1974
69.42,ury,1976
70.32,ury,1977
69.32,ury,1978
70.59,ury,1979
72.75,ury,1980
87.1,ury,1985
88.13,ury,1986
91.92,ury,1987
92.27,ury,1988
93.04,ury,1989
94.66,ury,1990
95.0,ury,1991
92.84,ury,1992
94.56,ury,1993
94.84,ury,1994
94.41,ury,1995
94.46,ury,1996
95.94,ury,1998
96.34,ury,1999
97.44,ury,2000
95.54,ury,2001
95.08,ury,2002
92.0,ury,2003
92.44,ury,2004
95.6,ury,2005
99.72,ury,2006
104.3,ury,2007
106.5,ury,2008
105.9,ury,2009
104.4,ury,2010
98.56,uzb,1995
95.59,uzb,1999
95.12,uzb,2000
100.5,uzb,2001
102.2,uzb,2002
96.82,uzb,2003
95.32,uzb,2004
97.3,uzb,2005
99.31,uzb,2006
97.42,uzb,2007
96.15,uzb,2008
93.22,uzb,2009
92.68,uzb,2010
92.85,uzb,2011
83.72,vut,1992
91.2,vut,1999
92.11,vut,2000
105.8,vut,2001
103.3,vut,2002
97.01,vut,2003
90.64,vut,2004
81.74,vut,2007
80.17,vut,2008
84.62,vut,2009
67.27,ven,1971
69.42,ven,1972
71.22,ven,1973
71.0,ven,1974
71.55,ven,1975
69.86,ven,1976
69.78,ven,1977
70.3,ven,1978
70.18,ven,1979
73.73,ven,1980
76.13,ven,1981
80.1,ven,1982
80.52,ven,1983
79.69,ven,1984
81.25,ven,1985
81.98,ven,1986
80.22,ven,1987
79.53,ven,1988
79.17,ven,1989
78.57,ven,1990
81.03,ven,1991
84.7,ven,1992
84.03,ven,1993
80.9,ven,1996
80.85,ven,1997
81.43,ven,1999
83.3,ven,2000
84.86,ven,2001
91.77,ven,2002
89.75,ven,2003
90.02,ven,2004
91.94,ven,2005
95.85,ven,2006
97.75,ven,2007
95.34,ven,2008
95.2,ven,2009
93.85,ven,2010
95.1,ven,2011
89.36,pse,1995
90.43,pse,1996
90.81,pse,1997
99.57,pse,1999
97.85,pse,2000
97.84,pse,2001
93.73,pse,2002
97.34,pse,2003
90.06,pse,2004
92.91,pse,2005
86.72,pse,2007
88.56,pse,2008
90.44,pse,2009
94.96,pse,2010
90.95,pse,2011
80.79,vnm,1979
98.18,vnm,1999
98.38,vnm,2000
103.7,vnm,2001
101.2,vnm,2002
99.55,vnm,2003
93.11,vnm,2005
97.66,vnm,2006
54.05,yem,1999
55.77,yem,2000
58.2,yem,2001
57.85,yem,2002
61.36,yem,2003
60.74,yem,2004
60.64,yem,2005
62.61,yem,2008
63.22,yem,2010
62.94,yem,2011
71.14,zmb,1972
73.11,zmb,1973
77.16,zmb,1974
78.97,zmb,1975
79.26,zmb,1976
81.01,zmb,1977
85.31,zmb,1978
83.83,zmb,1979
83.91,zmb,1980
84.43,zmb,1981
86.66,zmb,1982
89.33,zmb,1983
95.2,zmb,1984
94.0,zmb,1986
67.58,zmb,1998
65.2,zmb,1999
62.65,zmb,2000
62.48,zmb,2002
74.59,zmb,2004
87.05,zmb,2005
88.7,zmb,2006
92.67,zmb,2007
96.58,zmb,2008
90.15,zmb,2009
103.3,zmb,2010
84.8,zwe,1984
