geo,male_family_workers_percent_of_male_labour_force,time
chl,1.6,2004
chl,1.4,2005
chl,1.3,2006
chl,0.9,2007
col,0.8,1992
col,0.7,1993
col,0.6,1994
col,0.4,1995
col,0.4,1996
col,0.8,1997
col,0.4,1998
col,1.0,1999
col,0.6,2000
col,5.1,2001
col,4.2,2002
col,4.3,2003
col,3.8,2004
col,3.4,2005
col,3.0,2006
col,3.2,2007
cri,6.3,1987
cri,4.9,1988
cri,4.9,1989
cri,4.7,1990
cri,4.1,1991
cri,3.5,1992
cri,3.3,1993
cri,3.3,1994
cri,3.2,1995
cri,2.9,1996
cri,2.6,1997
cri,3.0,1998
cri,2.4,1999
cri,2.2,2000
cri,2.5,2001
cri,2.1,2003
cri,1.8,2004
cri,1.7,2005
cri,1.7,2006
cri,1.3,2007
hrv,4.1,1996
hrv,4.1,1997
hrv,2.9,1998
hrv,2.8,1999
hrv,2.2,2000
hrv,2.4,2001
hrv,2.3,2002
hrv,1.8,2003
hrv,1.3,2004
hrv,1.1,2005
hrv,1.1,2006
hrv,1.1,2007
cyp,0.5,1999
cyp,0.6,2000
cyp,1.1,2001
cyp,0.9,2002
cyp,1.1,2003
cyp,1.0,2004
cyp,1.2,2005
cyp,1.1,2006
cyp,0.9,2007
cze,0.2,1993
cze,0.3,1994
cze,0.3,1995
cze,0.2,1996
cze,0.2,1997
cze,0.2,1998
cze,0.2,1999
cze,0.2,2000
cze,0.2,2001
cze,0.1,2002
cze,0.3,2003
cze,0.3,2004
cze,0.3,2005
cze,0.2,2006
cze,0.2,2007
dnk,0.1,1983
dnk,0.3,1995
dnk,0.2,1996
dnk,0.2,1997
dnk,0.2,1998
dnk,0.1,1999
dnk,0.2,2000
dnk,0.2,2001
dnk,0.3,2002
dnk,0.3,2003
dnk,0.2,2004
dnk,0.2,2005
dnk,0.2,2006
dnk,0.3,2007
dma,3.0,1991
dma,0.8,1997
dma,1.3,1999
dma,1.2,2001
dom,6.2,1991
dom,5.8,1992
dom,5.8,1993
dom,4.6,1994
dom,4.3,1995
dom,4.9,1996
dom,4.0,1997
dom,2.2,1998
dom,1.9,1999
dom,2.0,2000
dom,1.4,2001
dom,1.4,2002
dom,1.6,2003
dom,1.9,2004
dom,2.8,2005
ecu,2.5,1988
ecu,2.3,1989
ecu,3.9,1990
ecu,3.5,1991
ecu,4.0,1992
ecu,3.8,1993
ecu,3.4,1994
ecu,3.5,1995
ecu,3.9,1996
ecu,2.4,1997
ecu,4.0,1998
ecu,3.0,1999
ecu,3.3,2000
ecu,4.4,2001
ecu,3.0,2002
ecu,3.7,2004
ecu,3.0,2005
ecu,4.4,2006
egy,9.6,1993
egy,8.8,1994
egy,9.3,1995
egy,8.8,1997
egy,9.6,1998
egy,8.9,1999
egy,8.2,2000
egy,7.6,2001
egy,8.4,2002
egy,9.0,2003
egy,9.4,2004
egy,8.5,2005
egy,8.6,2006
slv,7.4,1993
slv,7.9,1994
slv,8.9,1995
slv,10.2,1996
slv,8.7,1997
slv,10.5,1998
slv,8.2,1999
slv,8.3,2000
slv,11.0,2001
slv,9.5,2002
slv,8.4,2003
slv,7.7,2004
slv,9.5,2005
slv,8.8,2006
gnq,16.5,1983
eri,2.0,1996
est,0.6,1989
est,0.9,1990
est,1.1,1991
est,1.5,1992
est,2.3,1993
est,2.4,1994
est,0.9,1995
est,1.0,1996
est,0.6,1997
est,0.6,1998
est,0.6,1999
est,0.6,2000
est,0.8,2001
est,0.5,2002
est,0.3,2003
est,0.5,2004
est,0.3,2005
est,0.0,2006
est,0.0,2007
eth,34.3,1999
eth,5.2,2004
eth,34.6,2005
eth,7.8,2006
fji,12.3,2005
fin,2.7,1980
fin,2.6,1981
fin,2.4,1982
fin,1.8,1983
fin,1.7,1984
fin,1.4,1985
fin,1.5,1986
fin,1.4,1987
fin,1.2,1988
fin,1.7,1989
fin,1.7,1990
fin,1.5,1991
fin,1.6,1992
fin,1.6,1993
fin,1.6,1994
fin,1.6,1995
fin,1.3,1996
fin,1.0,1997
fin,0.8,1998
fin,0.7,1999
fin,0.6,2000
fin,0.6,2001
fin,0.6,2002
fin,0.4,2003
fin,0.5,2004
fin,0.6,2005
fin,0.5,2006
fin,0.6,2007
fra,0.0,1980
fra,0.0,1981
fra,0.0,1982
fra,0.0,1983
fra,0.0,1984
fra,0.0,1985
fra,0.0,1986
fra,0.0,1987
fra,0.0,1988
fra,0.0,1989
fra,0.0,1990
fra,0.0,1991
fra,0.0,1992
fra,0.0,1993
fra,0.0,1994
fra,0.0,1995
fra,0.0,1996
fra,0.0,1997
fra,0.0,1998
fra,0.0,1999
fra,0.0,2000
fra,0.0,2001
fra,0.0,2002
fra,0.5,2003
fra,0.5,2004
fra,0.4,2005
fra,0.5,2006
fra,0.3,2007
gab,2.0,1993
geo,23.2,1998
geo,21.5,1999
geo,22.7,2000
geo,23.2,2001
geo,20.1,2002
geo,19.9,2003
geo,18.8,2004
geo,19.0,2005
deu,0.8,1980
deu,0.7,1981
deu,0.7,1982
deu,0.7,1983
deu,0.4,1991
deu,0.4,1992
deu,0.4,1993
deu,0.4,1994
deu,0.4,1995
deu,0.4,1996
deu,0.4,1997
deu,0.4,1998
deu,0.4,1999
deu,0.4,2000
deu,0.5,2001
deu,0.5,2002
deu,0.5,2003
deu,0.5,2004
deu,0.5,2005
deu,0.4,2006
deu,0.4,2007
grc,3.8,1981
grc,3.9,1982
grc,4.9,1983
grc,4.9,1984
grc,4.9,1985
grc,5.0,1986
grc,4.7,1987
grc,4.8,1988
grc,5.1,1989
grc,4.9,1990
grc,4.8,1991
grc,4.7,1992
grc,5.1,1993
grc,5.1,1994
grc,5.3,1995
grc,5.1,1996
grc,5.1,1997
grc,5.5,1998
grc,5.1,1999
grc,5.1,2000
grc,4.6,2001
grc,4.3,2002
grc,4.4,2003
grc,3.2,2004
grc,3.3,2005
grc,3.7,2006
grc,3.7,2007
grd,1.1,1996
grd,0.7,1998
gtm,21.3,2002
guy,10.1,1992
hti,12.3,1990
hnd,11.3,1990
hnd,11.3,1991
hnd,9.7,1992
hnd,9.7,1994
hnd,10.2,1995
hnd,13.9,1996
hnd,12.4,1997
hnd,11.9,1998
hnd,12.2,1999
hnd,12.2,2001
hnd,12.9,2002
hnd,9.0,2003
hnd,13.7,2004
hnd,12.1,2005
hkg,0.2,1993
hkg,0.2,1994
hkg,0.1,1995
hkg,0.1,1996
hkg,0.1,1997
hkg,0.1,1998
hkg,0.1,1999
hkg,0.1,2000
hkg,0.1,2001
hkg,0.2,2002
hkg,0.2,2003
hkg,0.2,2004
hkg,0.2,2005
hkg,0.1,2006
hkg,0.1,2007
hun,0.7,1992
hun,0.6,1993
hun,0.6,1994
hun,0.7,1995
hun,0.7,1996
hun,0.7,1997
hun,0.5,1998
hun,0.5,1999
hun,0.4,2000
hun,0.4,2001
hun,0.3,2002
hun,0.4,2003
hun,0.2,2004
hun,0.3,2005
hun,0.3,2006
hun,0.3,2007
isl,2.1,1991
isl,2.4,1992
isl,2.7,1993
isl,1.2,1994
isl,0.8,1995
isl,0.1,1996
isl,0.4,1997
isl,0.3,1998
isl,0.4,1999
isl,0.2,2000
isl,0.4,2001
isl,0.2,2002
isl,0.0,2003
isl,0.0,2004
isl,0.1,2005
isl,0.2,2006
