body_mass_index_bmi_men_kgperm2,geo,time
25.11,blr,1996
25.14,blr,1997
25.17,blr,1998
25.21,blr,1999
25.25,blr,2000
25.32,blr,2001
25.4,blr,2002
25.48,blr,2003
25.58,blr,2004
25.71,blr,2005
25.86,blr,2006
26.01,blr,2007
26.16,blr,2008
25.1,bel,1980
25.12,bel,1981
25.16,bel,1982
25.19,bel,1983
25.22,bel,1984
25.25,bel,1985
25.29,bel,1986
25.32,bel,1987
25.38,bel,1988
25.43,bel,1989
25.49,bel,1990
25.56,bel,1991
25.64,bel,1992
25.71,bel,1993
25.78,bel,1994
25.84,bel,1995
25.91,bel,1996
25.99,bel,1997
26.05,bel,1998
26.12,bel,1999
26.18,bel,2000
26.24,bel,2001
26.31,bel,2002
26.37,bel,2003
26.45,bel,2004
26.52,bel,2005
26.6,bel,2006
26.68,bel,2007
26.76,bel,2008
24.54,blz,1980
24.63,blz,1981
24.72,blz,1982
24.76,blz,1983
24.82,blz,1984
24.86,blz,1985
24.9,blz,1986
24.96,blz,1987
25.02,blz,1988
25.08,blz,1989
25.16,blz,1990
25.24,blz,1991
25.35,blz,1992
25.45,blz,1993
25.54,blz,1994
25.64,blz,1995
25.73,blz,1996
25.81,blz,1997
25.89,blz,1998
25.98,blz,1999
26.08,blz,2000
26.19,blz,2001
26.31,blz,2002
26.44,blz,2003
26.56,blz,2004
26.68,blz,2005
26.8,blz,2006
26.91,blz,2007
27.02,blz,2008
20.81,ben,1980
20.84,ben,1981
20.88,ben,1982
20.91,ben,1983
20.96,ben,1984
21.01,ben,1985
21.05,ben,1986
21.08,ben,1987
21.13,ben,1988
21.17,ben,1989
21.21,ben,1990
21.26,ben,1991
21.3,ben,1992
21.35,ben,1993
21.4,ben,1994
21.46,ben,1995
21.52,ben,1996
21.59,ben,1997
21.65,ben,1998
21.72,ben,1999
21.8,ben,2000
21.87,ben,2001
21.95,ben,2002
22.03,ben,2003
22.1,ben,2004
22.18,ben,2005
22.25,ben,2006
22.33,ben,2007
22.42,ben,2008
25.08,bmu,1980
25.2,bmu,1981
25.31,bmu,1982
25.44,bmu,1983
25.56,bmu,1984
25.7,bmu,1985
25.82,bmu,1986
25.94,bmu,1987
26.07,bmu,1988
26.19,bmu,1989
26.3,bmu,1990
26.41,bmu,1991
26.53,bmu,1992
26.65,bmu,1993
26.76,bmu,1994
26.89,bmu,1995
27.01,bmu,1996
27.13,bmu,1997
27.24,bmu,1998
27.34,bmu,1999
27.45,bmu,2000
27.56,bmu,2001
27.66,bmu,2002
27.77,bmu,2003
27.87,bmu,2004
27.99,bmu,2005
28.12,bmu,2006
28.27,bmu,2007
28.42,bmu,2008
21.82,btn,1980
21.8,btn,1981
21.79,btn,1982
21.77,btn,1983
21.77,btn,1984
21.75,btn,1985
21.75,btn,1986
21.76,btn,1987
21.77,btn,1988
21.78,btn,1989
21.8,btn,1990
21.82,btn,1991
21.84,btn,1992
21.87,btn,1993
21.9,btn,1994
21.94,btn,1995
21.99,btn,1996
22.04,btn,1997
22.09,btn,1998
22.15,btn,1999
22.21,btn,2000
22.27,btn,2001
22.34,btn,2002
22.41,btn,2003
22.48,btn,2004
22.56,btn,2005
22.63,btn,2006
22.72,btn,2007
22.82,btn,2008
23.0,bol,1980
23.04,bol,1981
23.07,bol,1982
23.09,bol,1983
23.11,bol,1984
23.13,bol,1985
23.17,bol,1986
23.21,bol,1987
23.26,bol,1988
23.3,bol,1989
23.35,bol,1990
23.4,bol,1991
23.45,bol,1992
23.5,bol,1993
23.56,bol,1994
23.62,bol,1995
23.69,bol,1996
23.76,bol,1997
23.82,bol,1998
23.89,bol,1999
23.95,bol,2000
24.02,bol,2001
24.08,bol,2002
24.14,bol,2003
24.2,bol,2004
24.26,bol,2005
24.32,bol,2006
24.37,bol,2007
24.43,bol,2008
25.32,bih,1980
25.33,bih,1981
25.35,bih,1982
25.37,bih,1983
25.4,bih,1984
25.42,bih,1985
25.44,bih,1986
25.44,bih,1987
25.44,bih,1988
25.42,bih,1989
25.4,bih,1990
25.35,bih,1991
25.27,bih,1992
25.17,bih,1993
25.1,bih,1994
25.07,bih,1995
25.12,bih,1996
25.22,bih,1997
25.34,bih,1998
25.45,bih,1999
25.58,bih,2000
25.71,bih,2001
25.84,bih,2002
25.97,bih,2003
26.12,bih,2004
26.25,bih,2005
26.37,bih,2006
26.49,bih,2007
26.61,bih,2008
19.54,bwa,1980
19.58,bwa,1981
19.62,bwa,1982
19.67,bwa,1983
19.72,bwa,1984
19.78,bwa,1985
19.83,bwa,1986
19.9,bwa,1987
19.98,bwa,1988
20.08,bwa,1989
20.19,bwa,1990
20.3,bwa,1991
20.41,bwa,1992
20.51,bwa,1993
20.59,bwa,1994
20.67,bwa,1995
20.75,bwa,1996
20.83,bwa,1997
20.91,bwa,1998
20.99,bwa,1999
21.09,bwa,2000
21.2,bwa,2001
21.32,bwa,2002
21.44,bwa,2003
21.57,bwa,2004
21.7,bwa,2005
21.84,bwa,2006
21.99,bwa,2007
22.13,bwa,2008
22.64,bra,1980
22.73,bra,1981
22.82,bra,1982
22.9,bra,1983
22.98,bra,1984
23.07,bra,1985
23.17,bra,1986
23.28,bra,1987
23.38,bra,1988
23.5,bra,1989
23.6,bra,1990
23.71,bra,1991
23.83,bra,1992
23.93,bra,1993
24.04,bra,1994
24.15,bra,1995
24.26,bra,1996
24.38,bra,1997
24.49,bra,1998
24.61,bra,1999
24.73,bra,2000
24.85,bra,2001
24.97,bra,2002
25.09,bra,2003
25.22,bra,2004
25.35,bra,2005
25.49,bra,2006
25.64,bra,2007
25.79,bra,2008
23.74,vgb,1980
23.8,vgb,1981
23.85,vgb,1982
23.91,vgb,1983
23.97,vgb,1984
24.02,vgb,1985
24.07,vgb,1986
24.13,vgb,1987
24.2,vgb,1988
24.27,vgb,1989
24.37,vgb,1990
24.5,vgb,1991
24.65,vgb,1992
24.84,vgb,1993
25.04,vgb,1994
25.27,vgb,1995
25.49,vgb,1996
25.7,vgb,1997
25.9,vgb,1998
26.08,vgb,1999
26.26,vgb,2000
26.42,vgb,2001
26.56,vgb,2002
26.67,vgb,2003
26.79,vgb,2004
26.91,vgb,2005
27.03,vgb,2006
27.17,vgb,2007
27.31,vgb,2008
23.24,brn,1980
23.27,brn,1981
23.3,brn,1982
23.34,brn,1983
23.37,brn,1984
23.39,brn,1985
23.41,brn,1986
23.42,brn,1987
23.44,brn,1988
23.46,brn,1989
23.49,brn,1990
23.51,brn,1991
23.53,brn,1992
23.56,brn,1993
23.61,brn,1994
23.65,brn,1995
23.69,brn,1996
23.75,brn,1997
23.81,brn,1998
23.85,brn,1999
23.88,brn,2000
23.9,brn,2001
23.93,brn,2002
23.98,brn,2003
24.02,brn,2004
24.06,brn,2005
24.1,brn,2006
24.14,brn,2007
24.18,brn,2008
25.29,bgr,1980
25.34,bgr,1981
25.4,bgr,1982
25.45,bgr,1983
25.51,bgr,1984
25.56,bgr,1985
25.61,bgr,1986
25.67,bgr,1987
25.72,bgr,1988
25.77,bgr,1989
25.79,bgr,1990
25.79,bgr,1991
25.79,bgr,1992
25.78,bgr,1993
25.78,bgr,1994
25.78,bgr,1995
25.78,bgr,1996
25.77,bgr,1997
25.78,bgr,1998
25.8,bgr,1999
25.84,bgr,2000
25.9,bgr,2001
25.96,bgr,2002
26.03,bgr,2003
26.11,bgr,2004
26.21,bgr,2005
26.31,bgr,2006
26.42,bgr,2007
26.54,bgr,2008
20.03,bfa,1980
20.06,bfa,1981
20.09,bfa,1982
20.12,bfa,1983
20.14,bfa,1984
20.18,bfa,1985
20.22,bfa,1986
20.25,bfa,1987
20.29,bfa,1988
20.32,bfa,1989
20.34,bfa,1990
20.37,bfa,1991
20.4,bfa,1992
20.43,bfa,1993
20.46,bfa,1994
20.49,bfa,1995
20.53,bfa,1996
20.57,bfa,1997
20.61,bfa,1998
20.66,bfa,1999
20.71,bfa,2000
20.76,bfa,2001
20.82,bfa,2002
20.89,bfa,2003
20.95,bfa,2004
21.03,bfa,2005
21.11,bfa,2006
21.19,bfa,2007
21.27,bfa,2008
21.09,bdi,1980
21.11,bdi,1981
21.13,bdi,1982
21.13,bdi,1983
21.13,bdi,1984
21.15,bdi,1985
21.17,bdi,1986
21.2,bdi,1987
21.23,bdi,1988
21.25,bdi,1989
21.27,bdi,1990
21.31,bdi,1991
21.34,bdi,1992
21.35,bdi,1993
21.35,bdi,1994
21.34,bdi,1995
21.33,bdi,1996
21.32,bdi,1997
21.31,bdi,1998
21.31,bdi,1999
21.3,bdi,2000
21.3,bdi,2001
21.32,bdi,2002
21.34,bdi,2003
21.36,bdi,2004
21.39,bdi,2005
21.42,bdi,2006
21.46,bdi,2007
21.5,bdi,2008
19.7,khm,1980
19.71,khm,1981
19.72,khm,1982
19.73,khm,1983
19.75,khm,1984
19.77,khm,1985
19.79,khm,1986
19.81,khm,1987
19.84,khm,1988
19.86,khm,1989
19.88,khm,1990
19.91,khm,1991
19.94,khm,1992
19.97,khm,1993
20.0,khm,1994
20.04,khm,1995
20.08,khm,1996
20.13,khm,1997
20.16,khm,1998
20.21,khm,1999
20.26,khm,2000
20.31,khm,2001
20.36,khm,2002
20.42,khm,2003
20.48,khm,2004
20.56,khm,2005
20.64,khm,2006
20.72,khm,2007
20.8,khm,2008
21.79,cmr,1980
21.86,cmr,1981
21.95,cmr,1982
22.04,cmr,1983
22.12,cmr,1984
22.21,cmr,1985
22.3,cmr,1986
22.36,cmr,1987
22.39,cmr,1988
22.43,cmr,1989
22.46,cmr,1990
22.48,cmr,1991
22.51,cmr,1992
22.53,cmr,1993
22.56,cmr,1994
22.6,cmr,1995
22.64,cmr,1996
22.7,cmr,1997
22.77,cmr,1998
22.83,cmr,1999
22.91,cmr,2000
22.98,cmr,2001
23.07,cmr,2002
23.17,cmr,2003
23.27,cmr,2004
23.38,cmr,2005
23.47,cmr,2006
23.58,cmr,2007
23.68,cmr,2008
25.24,can,1980
25.33,can,1981
25.41,can,1982
25.49,can,1983
25.58,can,1984
25.66,can,1985
25.76,can,1986
25.85,can,1987
25.94,can,1988
26.04,can,1989
26.13,can,1990
26.22,can,1991
26.32,can,1992
26.41,can,1993
26.5,can,1994
26.59,can,1995
26.67,can,1996
26.75,can,1997
26.84,can,1998
26.92,can,1999
26.99,can,2000
27.06,can,2001
27.13,can,2002
27.19,can,2003
27.24,can,2004
27.3,can,2005
27.35,can,2006
27.4,can,2007
27.45,can,2008
20.66,cpv,1980
20.71,cpv,1981
20.77,cpv,1982
20.84,cpv,1983
20.92,cpv,1984
21.0,cpv,1985
21.08,cpv,1986
21.19,cpv,1987
21.3,cpv,1988
21.4,cpv,1989
21.49,cpv,1990
21.57,cpv,1991
21.66,cpv,1992
21.74,cpv,1993
21.83,cpv,1994
21.95,cpv,1995
22.04,cpv,1996
22.13,cpv,1997
22.24,cpv,1998
22.36,cpv,1999
22.47,cpv,2000
22.59,cpv,2001
22.71,cpv,2002
22.83,cpv,2003
22.95,cpv,2004
23.08,cpv,2005
23.22,cpv,2006
23.37,cpv,2007
23.52,cpv,2008
20.96,caf,1980
20.96,caf,1981
20.96,caf,1982
20.94,caf,1983
20.92,caf,1984
20.89,caf,1985
20.88,caf,1986
20.85,caf,1987
20.83,caf,1988
20.82,caf,1989
20.82,caf,1990
20.82,caf,1991
20.8,caf,1992
20.79,caf,1993
20.78,caf,1994
20.78,caf,1995
20.78,caf,1996
20.78,caf,1997
20.8,caf,1998
20.81,caf,1999
20.84,caf,2000
20.86,caf,2001
20.88,caf,2002
20.89,caf,2003
20.9,caf,2004
20.92,caf,2005
20.94,caf,2006
20.96,caf,2007
20.99,caf,2008
20.23,tcd,1980
20.23,tcd,1981
20.23,tcd,1982
20.25,tcd,1983
20.27,tcd,1984
20.32,tcd,1985
20.35,tcd,1986
20.38,tcd,1987
20.42,tcd,1988
20.47,tcd,1989
20.5,tcd,1990
20.55,tcd,1991
20.59,tcd,1992
20.61,tcd,1993
20.63,tcd,1994
20.67,tcd,1995
20.7,tcd,1996
20.74,tcd,1997
20.79,tcd,1998
20.83,tcd,1999
20.87,tcd,2000
20.91,tcd,2001
20.96,tcd,2002
21.03,tcd,2003
21.13,tcd,2004
21.23,tcd,2005
21.32,tcd,2006
21.4,tcd,2007
21.49,tcd,2008
24.48,chl,1980
24.56,chl,1981
24.62,chl,1982
24.68,chl,1983
24.74,chl,1984
24.8,chl,1985
24.85,chl,1986
24.9,chl,1987
24.96,chl,1988
25.04,chl,1989
25.12,chl,1990
25.21,chl,1991
25.32,chl,1992
25.44,chl,1993
25.55,chl,1994
25.66,chl,1995
25.78,chl,1996
25.89,chl,1997
25.99,chl,1998
26.08,chl,1999
26.18,chl,2000
26.27,chl,2001
26.37,chl,2002
26.47,chl,2003
26.57,chl,2004
26.68,chl,2005
26.79,chl,2006
26.9,chl,2007
27.02,chl,2008
21.58,chn,1980
21.58,chn,1981
21.6,chn,1982
21.61,chn,1983
21.64,chn,1984
21.68,chn,1985
21.72,chn,1986
21.76,chn,1987
21.81,chn,1988
21.86,chn,1989
21.9,chn,1990
21.95,chn,1991
22.01,chn,1992
22.07,chn,1993
22.15,chn,1994
22.24,chn,1995
22.31,chn,1996
22.39,chn,1997
22.45,chn,1998
22.5,chn,1999
22.54,chn,2000
22.58,chn,2001
22.62,chn,2002
22.66,chn,2003
22.7,chn,2004
22.75,chn,2005
22.8,chn,2006
22.86,chn,2007
22.92,chn,2008
22.07,col,1980
22.18,col,1981
22.27,col,1982
22.36,col,1983
22.45,col,1984
22.54,col,1985
22.63,col,1986
22.74,col,1987
22.84,col,1988
22.95,col,1989
23.06,col,1990
23.16,col,1991
23.28,col,1992
23.4,col,1993
23.51,col,1994
23.64,col,1995
23.75,col,1996
23.86,col,1997
23.96,col,1998
24.05,col,1999
24.14,col,2000
24.23,col,2001
24.32,col,2002
24.41,col,2003
24.5,col,2004
24.6,col,2005
24.71,col,2006
24.82,col,2007
24.94,col,2008
20.98,com,1980
21.01,com,1981
21.04,com,1982
21.08,com,1983
21.11,com,1984
21.14,com,1985
21.19,com,1986
21.25,com,1987
21.3,com,1988
21.36,com,1989
21.42,com,1990
21.48,com,1991
21.53,com,1992
21.57,com,1993
21.6,com,1994
21.64,com,1995
21.66,com,1996
21.69,com,1997
21.7,com,1998
21.72,com,1999
21.74,com,2000
21.76,com,2001
21.79,com,2002
21.83,com,2003
21.87,com,2004
21.91,com,2005
21.96,com,2006
22.01,com,2007
22.06,com,2008
20.75,cod,1980
20.74,cod,1981
20.72,cod,1982
20.71,cod,1983
20.7,cod,1984
20.69,cod,1985
20.69,cod,1986
20.68,cod,1987
20.68,cod,1988
20.67,cod,1989
20.67,cod,1990
20.65,cod,1991
20.62,cod,1992
20.56,cod,1993
20.49,cod,1994
20.4,cod,1995
20.31,cod,1996
20.22,cod,1997
20.14,cod,1998
20.06,cod,1999
19.97,cod,2000
19.9,cod,2001
19.84,cod,2002
19.81,cod,2003
19.79,cod,2004
19.79,cod,2005
19.8,cod,2006
19.83,cod,2007
19.87,cod,2008
20.64,cog,1980
20.69,cog,1981
20.77,cog,1982
20.83,cog,1983
20.9,cog,1984
20.96,cog,1985
21.01,cog,1986
21.05,cog,1987
21.09,cog,1988
21.12,cog,1989
21.15,cog,1990
21.17,cog,1991
21.19,cog,1992
21.2,cog,1993
21.22,cog,1994
21.24,cog,1995
21.27,cog,1996
21.3,cog,1997
21.33,cog,1998
21.35,cog,1999
21.38,cog,2000
21.42,cog,2001
21.47,cog,2002
21.52,cog,2003
21.57,cog,2004
21.64,cog,2005
21.72,cog,2006
21.8,cog,2007
21.87,cog,2008
26.2,cok,1980
26.43,cok,1981
26.67,cok,1982
26.91,cok,1983
27.16,cok,1984
27.4,cok,1985
27.64,cok,1986
27.87,cok,1987
28.09,cok,1988
28.31,cok,1989
28.53,cok,1990
28.74,cok,1991
28.96,cok,1992
29.18,cok,1993
29.4,cok,1994
29.61,cok,1995
29.82,cok,1996
30.03,cok,1997
30.23,cok,1998
30.45,cok,1999
30.68,cok,2000
30.92,cok,2001
31.16,cok,2002
31.41,cok,2003
31.67,cok,2004
31.92,cok,2005
32.17,cok,2006
32.42,cok,2007
32.67,cok,2008
23.69,cri,1980
23.77,cri,1981
23.83,cri,1982
23.88,cri,1983
23.95,cri,1984
24.02,cri,1985
24.1,cri,1986
24.18,cri,1987
24.27,cri,1988
24.37,cri,1989
24.49,cri,1990
24.6,cri,1991
24.73,cri,1992
24.85,cri,1993
24.96,cri,1994
25.05,cri,1995
25.15,cri,1996
25.24,cri,1997
25.34,cri,1998
25.46,cri,1999
25.57,cri,2000
25.68,cri,2001
25.78,cri,2002
25.88,cri,2003
25.99,cri,2004
26.11,cri,2005
26.23,cri,2006
26.36,cri,2007
26.48,cri,2008
21.13,civ,1980
21.18,civ,1981
21.23,civ,1982
21.27,civ,1983
21.31,civ,1984
21.35,civ,1985
21.39,civ,1986
21.44,civ,1987
21.48,civ,1988
21.53,civ,1989
21.57,civ,1990
21.6,civ,1991
21.64,civ,1992
21.68,civ,1993
21.71,civ,1994
21.75,civ,1995
21.8,civ,1996
21.86,civ,1997
21.92,civ,1998
21.98,civ,1999
22.04,civ,2000
22.09,civ,2001
22.15,civ,2002
22.22,civ,2003
22.28,civ,2004
22.35,civ,2005
22.42,civ,2006
22.49,civ,2007
22.56,civ,2008
25.29,hrv,1980
25.32,hrv,1981
25.35,hrv,1982
25.38,hrv,1983
25.41,hrv,1984
25.44,hrv,1985
25.47,hrv,1986
25.5,hrv,1987
25.53,hrv,1988
25.56,hrv,1989
25.59,hrv,1990
25.59,hrv,1991
25.57,hrv,1992
25.55,hrv,1993
25.55,hrv,1994
25.58,hrv,1995
25.62,hrv,1996
25.67,hrv,1997
25.72,hrv,1998
25.79,hrv,1999
25.86,hrv,2000
25.94,hrv,2001
26.03,hrv,2002
26.13,hrv,2003
26.22,hrv,2004
26.31,hrv,2005
26.4,hrv,2006
26.5,hrv,2007
26.6,hrv,2008
22.73,cub,1980
22.81,cub,1981
22.89,cub,1982
22.98,cub,1983
23.07,cub,1984
23.17,cub,1985
23.26,cub,1986
23.35,cub,1987
23.43,cub,1988
23.51,cub,1989
23.59,cub,1990
23.64,cub,1991
23.68,cub,1992
23.69,cub,1993
23.7,cub,1994
23.72,cub,1995
23.76,cub,1996
23.8,cub,1997
23.86,cub,1998
23.95,cub,1999
24.05,cub,2000
24.17,cub,2001
24.26,cub,2002
24.39,cub,2003
24.53,cub,2004
24.66,cub,2005
24.79,cub,2006
24.93,cub,2007
25.07,cub,2008
25.34,cyp,1980
25.37,cyp,1981
25.42,cyp,1982
25.48,cyp,1983
25.54,cyp,1984
