geo,oil_proven_reserves_per_person,time
gab,125.1,1990
gab,124.5,1991
gab,106.3,1992
gab,89.18,1993
gab,183.6,1994
gab,187.7,1995
gab,348.1,1996
gab,323.7,1997
gab,302.6,1998
gab,292.8,1999
gab,267.2,2000
gab,258.1,2001
gab,248.8,2002
gab,234.1,2003
gab,219.1,2004
gab,209.9,2005
gab,205.8,2006
gab,298.5,2007
gab,292.6,2008
ind,0.5538,1980
ind,0.6864,1981
ind,0.6752,1982
ind,0.6829,1983
ind,0.694,1984
ind,0.6795,1985
ind,0.82,1986
ind,0.7643,1987
ind,0.7563,1988
ind,0.7211,1989
ind,0.9044,1990
ind,0.9761,1991
ind,0.9245,1992
ind,0.8971,1993
ind,0.8724,1994
ind,0.8107,1995
ind,0.7937,1996
ind,0.8001,1997
ind,0.7546,1998
ind,0.6839,1999
ind,0.716,2000
ind,0.7347,2001
ind,0.7355,2002
ind,0.7447,2003
ind,0.7127,2004
ind,0.7473,2005
ind,0.7089,2006
ind,0.6706,2007
ind,0.7028,2008
idn,10.77,1980
idn,10.01,1981
idn,9.37,1982
idn,8.778,1983
idn,8.195,1984
idn,7.663,1985
idn,7.381,1986
idn,7.252,1987
idn,7.125,1988
idn,3.978,1989
idn,4.138,1990
idn,4.438,1991
idn,4.131,1992
idn,3.748,1993
idn,3.549,1994
idn,3.488,1995
idn,3.275,1996
idn,3.333,1997
idn,3.451,1998
idn,3.478,1999
idn,3.386,2000
idn,3.334,2001
idn,3.05,2002
idn,3.008,2003
idn,2.716,2004
idn,2.616,2005
idn,2.697,2006
idn,2.434,2007
idn,2.26,2008
irn,200.9,1980
irn,188.2,1981
irn,177.8,1982
irn,168.1,1983
irn,172.2,1984
irn,166.1,1985
irn,251.9,1986
irn,244.1,1987
irn,237.6,1988
irn,230.9,1989
irn,222.0,1990
irn,214.3,1991
irn,209.7,1992
irn,208.6,1993
irn,211.3,1994
irn,207.4,1995
irn,202.3,1996
irn,199.4,1997
irn,199.2,1998
irn,195.6,1999
irn,206.8,2000
irn,203.5,2001
irn,266.4,2002
irn,270.7,2003
irn,268.2,2004
irn,275.7,2005
irn,274.8,2006
irn,271.5,2007
irn,267.2,2008
irq,309.2,1980
irq,318.5,1981
irq,567.8,1982
irq,605.1,1983
irq,584.8,1984
irq,564.9,1985
irq,604.5,1986
irq,824.5,1987
irq,800.6,1988
irq,776.4,1989
irq,752.1,1990
irq,780.7,1991
irq,763.6,1992
irq,741.1,1993
irq,719.0,1994
irq,697.4,1995
irq,757.7,1996
irq,738.6,1997
irq,717.1,1998
irq,696.5,1999
irq,676.7,2000
irq,672.3,2001
irq,653.5,2002
irq,635.5,2003
irq,618.2,2004
irq,601.6,2005
irq,585.7,2006
irq,570.4,2007
irq,555.8,2008
ita,0.9144,1980
ita,0.9136,1981
ita,1.004,1982
ita,1.039,1983
ita,1.493,1984
ita,1.529,1985
ita,1.547,1986
ita,1.638,1987
ita,1.929,1988
ita,1.838,1989
ita,1.838,1990
ita,1.983,1991
ita,1.544,1992
ita,1.539,1993
ita,1.806,1994
ita,1.839,1995
ita,1.8,1996
ita,2.012,1997
ita,2.009,1998
ita,2.115,1999
ita,2.021,2000
ita,1.945,2001
ita,1.889,2002
ita,1.976,2003
ita,1.882,2004
ita,1.885,2005
ita,1.937,2006
ita,2.06,2007
ita,1.967,2008
kaz,223.8,1998
kaz,226.2,1999
kaz,227.0,2000
kaz,359.0,2001
kaz,358.4,2002
kaz,357.7,2003
kaz,356.9,2004
kaz,357.7,2005
kaz,356.6,2006
kaz,355.4,2007
kaz,354.1,2008
kwt,6764.0,1980
kwt,6451.0,1981
kwt,6116.0,1982
kwt,5836.0,1983
kwt,7723.0,1984
kwt,7278.0,1985
kwt,7117.0,1986
kwt,6816.0,1987
kwt,6534.0,1988
kwt,6441.0,1989
kwt,6178.0,1990
kwt,13800.0,1991
kwt,9282.0,1992
kwt,8871.0,1993
kwt,8484.0,1994
kwt,8121.0,1995
kwt,7775.0,1996
kwt,7456.0,1997
kwt,7170.0,1998
kwt,6909.0,1999
kwt,6669.0,2000
kwt,6446.0,2001
kwt,6234.0,2002
kwt,6185.0,2003
kwt,6133.0,2004
kwt,5928.0,2005
kwt,5725.0,2006
kwt,5526.0,2007
kwt,5331.0,2008
lby,904.6,1980
lby,962.1,1981
lby,904.9,1982
lby,852.7,1983
lby,806.2,1984
lby,790.5,1985
lby,840.6,1986
lby,818.4,1987
lby,794.7,1988
lby,772.3,1989
lby,751.2,1990
lby,731.3,1991
lby,712.5,1992
lby,694.8,1993
lby,678.3,1994
lby,864.5,1995
lby,858.6,1996
lby,845.4,1997
lby,825.5,1998
lby,805.8,1999
lby,959.9,2000
lby,937.0,2001
lby,914.7,2002
lby,970.5,2003
lby,947.7,2004
lby,980.9,2005
lby,958.5,2006
lby,986.5,2007
lby,964.7,2008
mys,17.84,1980
mys,22.21,1981
mys,24.27,1982
mys,23.7,1983
mys,26.1,1984
mys,30.71,1985
mys,30.2,1986
mys,27.76,1987
mys,27.55,1988
mys,29.28,1989
mys,27.74,1990
mys,28.18,1991
mys,37.9,1992
mys,36.09,1993
mys,36.98,1994
mys,36.17,1995
mys,33.76,1996
mys,33.15,1997
mys,30.33,1998
mys,32.12,1999
mys,28.35,2000
mys,27.35,2001
mys,27.33,2002
mys,28.59,2003
mys,29.92,2004
mys,29.91,2005
mys,29.96,2006
mys,30.0,2007
mys,29.48,2008
mex,94.24,1980
mex,111.1,1981
mex,108.5,1982
mex,106.2,1983
mex,102.5,1984
mex,98.78,1985
mex,95.43,1986
mex,92.12,1987
mex,88.42,1988
mex,85.05,1989
mex,82.4,1990
mex,80.31,1991
mex,79.3,1992
mex,77.17,1993
mex,74.33,1994
mex,71.66,1995
mex,70.04,1996
mex,68.02,1997
mex,30.33,1998
mex,29.76,1999
mex,27.55,2000
mex,25.28,2001
mex,22.89,2002
mex,21.1,2003
mex,19.24,2004
mex,17.56,2005
mex,16.31,2006
mex,15.29,2007
mex,14.72,2008
nga,33.23,1980
nga,31.78,1981
nga,31.28,1982
nga,30.44,1983
nga,30.07,1984
nga,29.19,1985
nga,27.62,1986
nga,26.73,1987
nga,26.04,1988
nga,25.34,1989
nga,26.35,1990
nga,30.0,1991
nga,30.67,1992
nga,29.87,1993
nga,29.1,1994
nga,28.14,1995
nga,27.43,1996
nga,26.75,1997
nga,28.19,1998
nga,35.45,1999
nga,34.61,2000
nga,36.71,2001
nga,39.08,2002
nga,39.16,2003
nga,38.92,2004
nga,38.37,2005
nga,37.47,2006
nga,36.59,2007
nga,35.73,2008
nor,121.6,1980
nor,131.3,1981
nor,127.3,1982
nor,126.6,1983
nor,162.4,1984
nor,182.4,1985
nor,200.1,1986
nor,213.8,1987
nor,236.6,1988
nor,244.2,1989
nor,265.3,1990
nor,280.8,1991
nor,309.0,1992
nor,301.0,1993
nor,303.3,1994
nor,336.5,1995
nor,362.4,1996
nor,372.8,1997
nor,358.9,1998
nor,333.7,1999
nor,345.3,2000
nor,350.3,2001
nor,314.2,2002
nor,303.9,2003
nor,289.9,2004
nor,288.0,2005
nor,252.9,2006
nor,240.8,2007
nor,220.3,2008
omn,288.4,1980
omn,324.2,1981
omn,356.5,1982
omn,350.2,1983
omn,373.7,1984
omn,374.4,1985
omn,358.1,1986
omn,351.3,1987
omn,342.0,1988
omn,341.9,1989
omn,334.9,1990
omn,321.9,1991
omn,337.6,1992
omn,342.9,1993
omn,337.9,1994
omn,332.8,1995
omn,327.7,1996
omn,322.5,1997
omn,311.6,1998
omn,320.1,1999
omn,314.9,2000
omn,306.9,2001
omn,286.8,2002
omn,270.7,2003
omn,261.8,2004
omn,253.2,2005
omn,245.0,2006
omn,237.1,2007
omn,229.7,2008
per,4.956,1980
per,6.776,1981
per,5.833,1982
per,5.129,1983
per,4.831,1984
per,4.152,1985
per,3.696,1986
per,3.245,1987
per,5.641,1988
per,5.485,1989
per,5.22,1990
per,5.103,1991
per,4.881,1992
per,4.762,1993
per,4.849,1994
per,4.622,1995
per,4.341,1996
per,4.18,1997
per,5.079,1998
per,4.749,1999
per,4.755,2000
per,5.065,2001
per,4.855,2002
per,4.668,2003
per,5.434,2004
per,5.267,2005
per,5.288,2006
per,5.335,2007
per,5.267,2008
qat,2120.0,1980
qat,1941.0,1981
qat,1852.0,1982
qat,1600.0,1983
qat,1950.0,1984
qat,1779.0,1985
qat,1637.0,1986
qat,1526.0,1987
qat,1428.0,1988
qat,1344.0,1989
qat,847.9,1990
qat,809.2,1991
qat,804.1,1992
qat,764.3,1993
qat,815.6,1994
qat,823.1,1995
qat,787.9,1996
qat,2557.0,1997
qat,2460.0,1998
qat,2557.0,1999
qat,2401.0,2000
qat,2991.0,2001
qat,2895.0,2002
qat,4607.0,2003
qat,4385.0,2004
qat,4246.0,2005
qat,4300.0,2006
qat,4125.0,2007
qat,4005.0,2008
rou,6.719,1980
rou,6.162,1981
rou,5.853,1982
rou,9.709,1983
rou,9.176,1984
rou,8.733,1985
rou,8.22,1986
rou,7.732,1987
rou,7.374,1988
rou,7.157,1989
rou,9.067,1990
rou,8.91,1991
rou,7.448,1992
rou,6.036,1993
rou,6.001,1994
rou,6.046,1995
rou,5.91,1996
rou,5.63,1997
rou,7.045,1998
rou,7.434,1999
rou,7.107,2000
rou,7.018,2001
rou,3.093,2002
rou,3.01,2003
rou,2.857,2004
rou,2.8,2005
rou,2.921,2006
rou,2.939,2007
rou,2.943,2008
rus,51.45,1998
rus,54.81,1999
rus,55.44,2000
rus,60.32,2001
rus,69.44,2002
rus,72.97,2003
rus,72.73,2004
rus,73.78,2005
rus,75.45,2006
rus,77.08,2007
rus,76.02,2008
sau,2292.0,1980
sau,2154.0,1981
sau,2006.0,1982
sau,1933.0,1983
sau,1858.0,1984
sau,1755.0,1985
sau,1654.0,1986
sau,1582.0,1987
sau,2283.0,1988
sau,2241.0,1989
sau,2211.0,1990
sau,2183.0,1991
