improved_sanitation_overall_access_percent,geo,time
99,gum,1995
99,gum,1996
99,gum,1997
99,gum,1998
99,gum,1999
99,gum,2000
99,gum,2001
99,gum,2002
99,gum,2003
99,gum,2004
99,gum,2005
99,gum,2006
99,gum,2007
99,gum,2008
99,gum,2009
99,gum,2010
62,gtm,1990
63,gtm,1991
64,gtm,1992
65,gtm,1993
66,gtm,1994
67,gtm,1995
67,gtm,1996
69,gtm,1997
70,gtm,1998
70,gtm,1999
71,gtm,2000
72,gtm,2001
73,gtm,2002
74,gtm,2003
75,gtm,2004
75,gtm,2005
76,gtm,2006
78,gtm,2007
78,gtm,2008
78,gtm,2009
78,gtm,2010
10,gin,1990
11,gin,1991
11,gin,1992
11,gin,1993
11,gin,1994
12,gin,1995
13,gin,1996
13,gin,1997
13,gin,1998
14,gin,1999
14,gin,2000
15,gin,2001
15,gin,2002
16,gin,2003
16,gin,2004
16,gin,2005
17,gin,2006
17,gin,2007
18,gin,2008
18,gin,2009
18,gin,2010
13,gnb,1994
13,gnb,1995
13,gnb,1996
13,gnb,1997
13,gnb,1998
13,gnb,1999
14,gnb,2000
14,gnb,2001
15,gnb,2002
16,gnb,2003
16,gnb,2004
17,gnb,2005
18,gnb,2006
18,gnb,2007
19,gnb,2008
19,gnb,2009
20,gnb,2010
78,guy,1994
78,guy,1995
78,guy,1996
78,guy,1997
78,guy,1998
79,guy,1999
79,guy,2000
80,guy,2001
80,guy,2002
81,guy,2003
81,guy,2004
81,guy,2005
82,guy,2006
82,guy,2007
83,guy,2008
83,guy,2009
84,guy,2010
26,hti,1990
26,hti,1991
27,hti,1992
27,hti,1993
26,hti,1994
25,hti,1995
24,hti,1996
23,hti,1997
23,hti,1998
22,hti,1999
22,hti,2000
21,hti,2001
21,hti,2002
20,hti,2003
19,hti,2004
19,hti,2005
18,hti,2006
18,hti,2007
17,hti,2008
17,hti,2009
17,hti,2010
50,hnd,1990
51,hnd,1991
53,hnd,1992
54,hnd,1993
56,hnd,1994
57,hnd,1995
59,hnd,1996
60,hnd,1997
62,hnd,1998
63,hnd,1999
64,hnd,2000
66,hnd,2001
68,hnd,2002
68,hnd,2003
70,hnd,2004
72,hnd,2005
73,hnd,2006
74,hnd,2007
76,hnd,2008
77,hnd,2009
77,hnd,2010
100,hun,1990
100,hun,1991
100,hun,1992
100,hun,1993
100,hun,1994
100,hun,1995
100,hun,1996
100,hun,1997
100,hun,1998
100,hun,1999
100,hun,2000
100,hun,2001
100,hun,2002
100,hun,2003
100,hun,2004
100,hun,2005
100,hun,2006
100,hun,2007
100,hun,2008
100,hun,2009
100,hun,2010
100,isl,1990
100,isl,1991
100,isl,1992
100,isl,1993
100,isl,1994
100,isl,1995
100,isl,1996
100,isl,1997
100,isl,1998
100,isl,1999
100,isl,2000
100,isl,2001
100,isl,2002
100,isl,2003
100,isl,2004
100,isl,2005
100,isl,2006
100,isl,2007
100,isl,2008
100,isl,2009
100,isl,2010
18,ind,1990
18,ind,1991
19,ind,1992
20,ind,1993
20,ind,1994
21,ind,1995
22,ind,1996
23,ind,1997
24,ind,1998
25,ind,1999
25,ind,2000
26,ind,2001
27,ind,2002
28,ind,2003
29,ind,2004
30,ind,2005
31,ind,2006
31,ind,2007
32,ind,2008
33,ind,2009
34,ind,2010
32,idn,1990
33,idn,1991
34,idn,1992
36,idn,1993
37,idn,1994
38,idn,1995
40,idn,1996
41,idn,1997
42,idn,1998
44,idn,1999
44,idn,2000
45,idn,2001
46,idn,2002
47,idn,2003
49,idn,2004
50,idn,2005
50,idn,2006
51,idn,2007
52,idn,2008
54,idn,2009
54,idn,2010
79,irn,1990
79,irn,1991
79,irn,1992
79,irn,1993
81,irn,1994
82,irn,1995
84,irn,1996
85,irn,1997
86,irn,1998
88,irn,1999
90,irn,2000
91,irn,2001
92,irn,2002
94,irn,2003
96,irn,2004
97,irn,2005
98,irn,2006
99,irn,2007
100,irn,2008
100,irn,2009
100,irn,2010
67,irq,1991
67,irq,1992
67,irq,1993
67,irq,1994
67,irq,1995
67,irq,1996
68,irq,1997
68,irq,1998
68,irq,1999
69,irq,2000
69,irq,2001
70,irq,2002
70,irq,2003
71,irq,2004
71,irq,2005
72,irq,2006
72,irq,2007
73,irq,2008
73,irq,2009
73,irq,2010
99,irl,1990
99,irl,1991
99,irl,1992
99,irl,1993
99,irl,1994
99,irl,1995
99,irl,1996
99,irl,1997
99,irl,1998
99,irl,1999
99,irl,2000
99,irl,2001
99,irl,2002
99,irl,2003
99,irl,2004
99,irl,2005
99,irl,2006
99,irl,2007
99,irl,2008
99,irl,2009
99,irl,2010
100,isr,1990
100,isr,1991
100,isr,1992
100,isr,1993
100,isr,1994
100,isr,1995
100,isr,1996
100,isr,1997
100,isr,1998
100,isr,1999
100,isr,2000
100,isr,2001
100,isr,2002
100,isr,2003
100,isr,2004
100,isr,2005
100,isr,2006
100,isr,2007
100,isr,2008
100,isr,2009
100,isr,2010
80,jam,1990
80,jam,1991
80,jam,1992
79,jam,1993
79,jam,1994
79,jam,1995
79,jam,1996
79,jam,1997
80,jam,1998
80,jam,1999
80,jam,2000
80,jam,2001
80,jam,2002
80,jam,2003
80,jam,2004
