geo,aged_55plus_unemployment_rate_percent,time
jpn,3.1,1983
jpn,3.3,1984
jpn,3.2,1985
jpn,3.3,1986
jpn,3.3,1987
jpn,2.9,1988
jpn,2.5,1989
jpn,2.2,1990
jpn,2.1,1991
jpn,2.1,1992
jpn,2.4,1993
jpn,2.9,1994
jpn,3.0,1995
jpn,3.4,1996
jpn,3.2,1997
jpn,4.1,1998
jpn,4.4,1999
jpn,4.5,2000
jpn,4.7,2001
jpn,4.8,2002
jpn,4.7,2003
jpn,3.8,2004
jpn,3.5,2005
kor,0.5,1992
kor,0.5,1993
kor,0.5,1994
kor,0.7,1995
kor,0.6,1996
kor,0.9,1997
kor,3.3,1998
kor,3.4,1999
kor,2.2,2000
kor,1.7,2001
kor,1.3,2002
kor,1.5,2003
kor,1.7,2004
kor,1.9,2005
lva,22.8,1996
lva,10.7,1997
lva,9.3,1998
lva,8.7,1999
lva,9.3,2000
lva,9.2,2001
lva,9.0,2002
lva,7.1,2003
lva,7.7,2004
lva,7.5,2005
ltu,5.6,1998
ltu,5.0,1999
ltu,9.5,2000
ltu,11.5,2001
ltu,10.1,2002
ltu,10.7,2003
ltu,9.8,2004
ltu,6.2,2005
nld,5.4,1987
nld,5.1,1988
nld,4.4,1989
nld,4.4,1990
nld,4.2,1991
nld,2.4,1992
nld,2.9,1993
nld,3.5,1994
nld,3.4,1995
nld,3.7,1996
nld,3.1,1997
nld,2.9,1998
nld,2.8,1999
nld,2.2,2000
nld,1.7,2001
nld,2.1,2002
nld,3.0,2003
nld,3.9,2004
nld,4.5,2005
nzl,1.5,1986
nzl,1.7,1987
nzl,2.5,1988
nzl,3.8,1989
nzl,4.2,1990
nzl,3.9,1991
nzl,5.1,1992
nzl,5.0,1993
nzl,4.3,1994
nzl,3.0,1995
nzl,3.3,1996
nzl,3.6,1997
nzl,4.1,1998
nzl,4.5,1999
nzl,4.2,2000
nzl,3.2,2001
nzl,3.0,2002
nzl,3.2,2003
nzl,2.2,2004
nzl,1.8,2005
nor,0.8,1981
nor,1.0,1982
nor,1.6,1983
nor,1.4,1984
nor,1.1,1985
nor,0.8,1986
nor,0.9,1987
nor,1.5,1988
nor,2.5,1989
nor,2.3,1990
nor,2.7,1991
nor,2.8,1992
nor,2.1,1993
nor,2.5,1994
nor,2.4,1995
nor,2.4,1996
nor,1.7,1997
nor,1.9,1998
nor,1.3,1999
nor,1.5,2000
nor,1.7,2001
nor,1.3,2002
nor,1.5,2003
nor,1.5,2004
nor,1.7,2005
phl,7.7,1986
phl,7.4,1987
phl,6.2,1988
phl,6.2,1989
phl,5.4,1990
phl,6.4,1991
phl,4.8,1992
phl,4.3,1993
phl,4.7,1994
phl,4.5,1995
phl,4.5,1996
phl,5.5,1997
phl,5.3,1998
phl,4.8,1999
phl,5.3,2000
phl,5.3,2001
phl,5.4,2002
phl,6.0,2003
phl,6.6,2004
phl,2.3,2005
pol,5.4,1993
pol,5.8,1994
pol,4.8,1995
pol,4.6,1996
pol,4.3,1997
pol,4.8,1998
pol,7.6,1999
pol,7.9,2000
pol,7.8,2001
pol,8.6,2002
pol,9.1,2003
pol,9.7,2004
pol,9.5,2005
prt,1.8,1983
prt,1.5,1984
prt,2.0,1985
prt,1.9,1986
prt,1.9,1987
prt,1.7,1988
prt,1.2,1989
prt,1.6,1990
prt,1.6,1991
prt,1.6,1992
prt,2.6,1993
prt,3.1,1994
prt,3.0,1995
prt,3.4,1996
prt,3.6,1997
prt,2.3,1998
prt,2.2,1999
prt,2.2,2000
prt,2.1,2001
prt,2.4,2002
prt,2.9,2003
prt,3.8,2004
prt,4.2,2005
rou,1.2,1994
rou,1.4,1995
rou,1.0,1996
rou,0.9,1997
rou,0.7,1998
rou,0.9,1999
rou,1.0,2000
rou,1.1,2001
rou,1.7,2002
rou,1.8,2003
rou,2.9,2004
rou,2.5,2005
sgp,1.5,1981
sgp,1.2,1982
sgp,1.3,1983
sgp,1.6,1984
sgp,2.3,1985
sgp,4.0,1986
sgp,2.7,1987
sgp,1.5,1988
sgp,0.9,1989
sgp,0.7,1990
sgp,0.9,1991
sgp,1.0,1992
sgp,1.3,1993
sgp,1.4,1994
sgp,1.4,1995
sgp,1.9,1996
sgp,1.6,1997
sgp,2.3,1998
sgp,3.7,1999
sgp,3.0,2001
sgp,4.5,2002
sgp,3.9,2003
sgp,4.4,2004
svk,6.7,1997
svk,7.6,1998
svk,9.6,1999
svk,12.4,2000
svk,12.1,2001
svk,15.1,2002
svk,13.1,2003
svk,15.1,2004
svn,4.8,1993
svn,4.2,1994
svn,2.8,1995
svn,3.0,1996
svn,2.7,1997
svn,2.4,1998
svn,2.6,1999
svn,4.2,2000
svn,3.9,2001
svn,1.3,2002
svn,2.8,2003
svn,2.2,2004
svn,3.1,2005
esp,5.5,1981
esp,6.2,1982
esp,6.6,1983
esp,8.9,1984
esp,9.6,1985
esp,10.5,1986
esp,9.3,1987
esp,8.3,1988
esp,8.2,1989
esp,7.6,1990
esp,7.9,1991
esp,8.9,1992
esp,10.7,1993
esp,11.7,1994
esp,11.5,1995
esp,11.0,1996
esp,10.9,1997
esp,9.9,1998
esp,9.3,1999
esp,9.0,2000
esp,6.1,2001
esp,6.9,2002
esp,6.7,2003
esp,6.8,2004
esp,5.9,2005
swe,2.0,1981
swe,3.0,1982
swe,4.0,1983
swe,4.7,1984
swe,4.0,1985
swe,3.4,1986
swe,2.1,1987
swe,1.7,1988
swe,1.4,1989
swe,1.5,1990
swe,2.2,1991
swe,3.3,1992
swe,5.5,1993
swe,6.8,1994
swe,7.8,1995
swe,8.2,1996
swe,7.9,1997
swe,6.6,1998
swe,6.6,1999
swe,6.1,2000
swe,5.0,2001
swe,4.7,2002
swe,4.8,2003
swe,4.9,2004
swe,4.5,2005
che,1.0,1991
che,1.9,1992
che,3.0,1993
che,3.3,1994
che,2.7,1995
che,2.9,1996
che,2.6,1997
che,2.7,1998
che,2.5,1999
che,2.5,2000
che,1.6,2001
che,1.7,2002
che,2.2,2003
che,2.8,2004
che,3.3,2005
tur,3.8,1989
tur,2.6,1990
tur,2.2,1991
tur,2.2,1992
tur,2.1,1993
tur,1.9,1994
tur,2.0,1995
tur,1.3,1996
tur,1.2,1997
tur,1.5,1998
tur,1.5,1999
tur,1.6,2000
tur,1.8,2001
tur,2.6,2002
tur,2.8,2003
tur,2.3,2004
tur,1.6,2005
gbr,3.2,2001
gbr,3.4,2002
gbr,3.2,2003
gbr,3.0,2004
gbr,2.6,2005
usa,3.6,1981
usa,5.0,1982
usa,5.3,1983
usa,4.5,1984
usa,4.1,1985
usa,3.9,1986
usa,3.3,1987
usa,3.1,1988
usa,3.1,1989
usa,3.3,1990
usa,3.9,1991
usa,4.8,1992
usa,4.3,1993
usa,4.1,1994
usa,3.7,1995
usa,3.4,1996
usa,3.0,1997
usa,2.7,1998
usa,2.8,1999
usa,2.6,2000
usa,3.0,2001
usa,3.8,2002
usa,4.1,2003
usa,3.7,2004
usa,3.4,2005
