geo,natural_gas_proven_reserves_per_person,time
nld,110.5,1993
nld,107.9,1994
nld,105.7,1995
nld,102.3,1996
nld,103.1,1997
nld,101.5,1998
nld,97.62,1999
nld,93.63,2000
nld,90.8,2001
nld,87.47,2002
nld,82.77,2003
nld,79.92,2004
nld,76.08,2005
nld,71.82,2006
nld,75.5,2007
nld,75.16,2008
nga,15.24,1980
nga,14.58,1981
nga,17.07,1982
nga,16.63,1983
nga,16.15,1984
nga,15.55,1985
nga,27.22,1986
nga,26.56,1987
nga,26.59,1988
nga,29.59,1989
nga,28.88,1990
nga,33.66,1991
nga,35.82,1992
nga,34.58,1993
nga,31.56,1994
nga,30.97,1995
nga,30.2,1996
nga,29.51,1997
nga,29.03,1998
nga,28.33,1999
nga,32.33,2000
nga,35.62,2001
nga,37.51,2002
nga,37.05,2003
nga,37.43,2004
nga,36.01,2005
nga,35.59,2006
nga,34.76,2007
nga,33.94,2008
nor,289.5,1980
nor,309.3,1981
nor,315.0,1982
nor,444.5,1983
nor,486.1,1984
nor,482.9,1985
nor,495.9,1986
nor,491.3,1987
nor,491.4,1988
nor,488.7,1989
nor,477.6,1990
nor,496.9,1991
nor,578.7,1992
nor,585.5,1993
nor,595.2,1994
nor,619.4,1995
nor,616.3,1996
nor,746.4,1997
nor,768.5,1998
nor,767.8,1999
nor,769.5,2000
nor,764.0,2001
nor,727.6,2002
nor,629.8,2003
nor,621.5,2004
nor,589.2,2005
nor,564.5,2006
nor,559.7,2007
nor,563.5,2008
omn,62.05,1980
omn,56.71,1981
omn,57.42,1982
omn,108.9,1983
omn,135.9,1984
omn,132.4,1985
omn,134.0,1986
omn,153.6,1987
omn,154.2,1988
omn,146.7,1989
omn,142.1,1990
omn,45.41,1991
omn,70.49,1992
omn,90.51,1993
omn,111.9,1994
omn,191.3,1995
omn,251.7,1996
omn,213.6,1997
omn,216.2,1998
omn,305.2,1999
omn,305.2,2000
omn,324.7,2001
omn,313.8,2002
omn,317.4,2003
omn,308.5,2004
omn,298.3,2005
omn,284.3,2006
omn,275.2,2007
omn,266.5,2008
pak,4.752,1980
pak,4.733,1981
pak,4.733,1982
pak,4.875,1983
pak,4.85,1984
pak,5.66,1985
pak,5.6,1986
pak,5.356,1987
pak,5.406,1988
pak,5.247,1989
pak,5.043,1990
pak,5.783,1991
pak,4.775,1992
pak,4.783,1993
pak,4.246,1994
pak,4.168,1995
pak,4.011,1996
pak,3.95,1997
pak,3.962,1998
pak,4.435,1999
pak,4.164,2000
pak,4.46,2001
pak,4.459,2002
pak,4.554,2003
pak,4.511,2004
pak,4.721,2005
pak,4.598,2006
pak,4.519,2007
pak,4.439,2008
png,4.263,1985
png,11.44,1986
png,21.81,1987
png,31.67,1988
png,54.53,1989
png,56.71,1990
png,92.69,1991
png,97.51,1992
png,119.5,1993
png,90.95,1994
png,88.66,1995
png,86.43,1996
png,84.27,1997
png,82.18,1998
png,80.15,1999
png,78.18,2000
png,76.29,2001
png,74.48,2002
png,72.74,2003
png,71.07,2004
png,69.46,2005
png,69.04,2006
png,67.55,2007
png,67.18,2008
per,1.665,1980
per,1.622,1981
per,1.341,1982
per,1.264,1983
per,1.189,1984
per,1.256,1985
per,2.504,1986
per,15.15,1987
per,14.84,1988
per,14.53,1989
per,14.18,1990
per,14.05,1991
per,13.08,1992
per,13.05,1993
per,13.09,1994
per,7.586,1995
per,7.443,1996
per,7.201,1997
per,8.831,1998
per,8.69,1999
per,8.557,2000
per,8.428,2001
per,8.304,2002
per,8.185,2003
per,10.62,2004
per,10.76,2005
per,10.54,2006
per,10.51,2007
per,10.37,2008
pol,2.631,1980
pol,2.507,1981
pol,2.41,1982
pol,2.313,1983
pol,2.219,1984
pol,2.321,1985
pol,3.96,1986
pol,3.887,1987
pol,4.064,1988
pol,3.887,1989
pol,3.754,1990
pol,3.6,1991
pol,3.706,1992
pol,3.626,1993
pol,3.619,1994
pol,3.567,1995
pol,3.471,1996
pol,3.609,1997
pol,3.282,1998
pol,3.398,1999
pol,2.771,2000
pol,2.678,2001
pol,2.703,2002
pol,2.565,2003
pol,2.543,2004
pol,2.474,2005
pol,2.639,2006
pol,2.57,2007
pol,2.571,2008
qat,10930.0,1980
qat,10500.0,1981
qat,11220.0,1982
qat,10780.0,1983
qat,12240.0,1984
qat,11580.0,1985
qat,10660.0,1986
qat,9937.0,1987
qat,9678.0,1988
qat,9106.0,1989
qat,8627.0,1990
qat,11470.0,1991
qat,11410.0,1992
qat,11420.0,1993
qat,10870.0,1994
qat,12480.0,1995
qat,11940.0,1996
qat,11460.0,1997
qat,14140.0,1998
qat,13960.0,1999
qat,17460.0,2000
qat,30170.0,2001
qat,29250.0,2002
qat,27920.0,2003
qat,27160.0,2004
qat,26730.0,2005
qat,25970.0,2006
qat,25260.0,2007
qat,24680.0,2008
rou,12.2,1980
rou,11.32,1981
rou,10.27,1982
rou,9.238,1983
rou,8.417,1984
rou,10.79,1985
rou,9.359,1986
rou,7.855,1987
rou,6.522,1988
rou,5.238,1989
rou,4.133,1990
rou,18.97,1991
rou,18.4,1992
rou,17.59,1993
rou,16.82,1994
rou,16.14,1995
rou,15.47,1996
rou,14.92,1997
rou,14.39,1998
rou,13.93,1999
rou,13.43,2000
rou,12.92,2001
rou,12.49,2002
rou,12.27,2003
rou,11.88,2004
rou,25.31,2005
rou,25.34,2006
rou,25.37,2007
rou,25.45,2008
rus,266.3,1997
rus,264.9,1998
rus,259.2,1999
rus,259.2,2000
rus,261.0,2001
rus,263.5,2002
rus,270.4,2003
rus,270.4,2004
rus,271.6,2005
rus,272.5,2006
rus,273.8,2007
rus,274.7,2008
sau,286.5,1980
sau,283.4,1981
sau,274.5,1982
sau,267.8,1983
sau,257.6,1984
sau,248.9,1985
sau,258.5,1986
sau,257.9,1987
sau,296.6,1988
sau,296.7,1989
sau,292.7,1990
sau,288.2,1991
sau,278.8,1992
sau,261.6,1993
sau,247.7,1994
sau,249.9,1995
sau,248.4,1996
sau,249.4,1997
sau,250.0,1998
sau,246.0,1999
sau,244.9,2000
sau,243.8,2001
sau,244.1,2002
sau,241.6,2003
sau,235.7,2004
sau,232.4,2005
sau,235.6,2006
sau,238.2,2007
sau,241.9,2008
syr,9.232,1980
syr,8.927,1981
syr,9.851,1982
syr,9.593,1983
syr,9.254,1984
syr,10.65,1985
syr,11.77,1986
syr,10.01,1987
syr,8.743,1988
syr,11.76,1989
syr,13.17,1990
syr,14.01,1991
syr,13.62,1992
syr,15.05,1993
syr,15.17,1994
syr,14.78,1995
syr,14.4,1996
syr,14.2,1997
syr,13.84,1998
syr,13.65,1999
syr,13.3,2000
syr,12.97,2001
syr,13.12,2002
syr,14.84,2003
syr,14.49,2004
syr,14.15,2005
syr,13.82,2006
syr,13.23,2007
syr,12.94,2008
tha,5.588,1980
tha,7.547,1981
tha,6.451,1982
tha,3.043,1983
tha,3.74,1984
tha,3.821,1985
tha,3.522,1986
tha,3.13,1987
tha,3.269,1988
tha,3.785,1989
tha,3.652,1990
tha,3.959,1991
tha,3.669,1992
tha,2.838,1993
tha,2.71,1994
tha,2.691,1995
tha,2.962,1996
tha,3.064,1997
tha,6.212,1998
tha,5.057,1999
tha,5.237,2000
tha,5.458,2001
tha,6.319,2002
tha,5.946,2003
tha,4.999,2004
tha,4.263,2005
tha,4.609,2006
tha,4.385,2007
tha,4.178,2008
tto,245.1,1980
tto,277.7,1981
tto,269.2,1982
tto,251.8,1983
tto,243.3,1984
tto,244.6,1985
tto,235.6,1986
tto,228.9,1987
tto,220.8,1988
tto,214.4,1989
tto,189.3,1990
tto,179.6,1991
tto,177.2,1992
tto,176.3,1993
tto,220.8,1994
tto,271.1,1995
tto,357.3,1996
tto,408.8,1997
tto,445.5,1998
tto,483.8,1999
tto,448.3,2000
tto,466.9,2001
tto,481.1,2002
tto,438.0,2003
tto,441.6,2004
tto,443.7,2005
tto,405.3,2006
tto,410.0,2007
tto,413.6,2008
tkm,553.5,1997
tkm,518.6,1998
tkm,492.3,1999
tkm,483.1,2000
tkm,474.2,2001
tkm,465.5,2002
tkm,457.1,2003
tkm,448.8,2004
tkm,440.8,2005
tkm,432.8,2006
tkm,425.0,2007
tkm,1367.0,2008
ukr,16.98,1997
ukr,18.35,1998
ukr,18.35,1999
ukr,18.45,2000
ukr,18.64,2001
ukr,18.81,2002
ukr,18.88,2003
ukr,19.11,2004
ukr,19.06,2005
ukr,19.18,2006
ukr,18.07,2007
ukr,17.99,2008
are,2132.0,1980
are,2069.0,1981
are,2223.0,1982
are,2085.0,1983
are,1945.0,1984
are,1804.0,1985
are,2844.0,1986
are,2877.0,1987
are,2771.0,1988
are,2681.0,1989
are,2594.0,1990
are,2605.0,1991
are,2546.0,1992
are,2491.0,1993
are,2856.0,1994
are,2423.0,1995
are,2350.0,1996
are,2421.0,1997
are,2354.0,1998
are,2315.0,1999
are,2277.0,2000
are,2265.0,2001
are,2228.0,2002
are,2190.0,2003
are,2169.0,2004
are,2147.0,2005
are,2227.0,2006
are,2192.0,2007
are,2158.0,2008
gbr,11.81,1980
gbr,10.6,1981
gbr,10.11,1982
gbr,11.37,1983
gbr,11.56,1984
gbr,10.3,1985
gbr,10.05,1986
gbr,10.17,1987
gbr,9.29,1988
gbr,8.792,1989
gbr,8.531,1990
gbr,8.428,1991
gbr,9.487,1992
gbr,9.771,1993
gbr,10.2,1994
gbr,10.78,1995
gbr,11.67,1996
gbr,11.71,1997
gbr,11.51,1998
gbr,19.2,1999
gbr,18.1,2000
gbr,16.58,2001
gbr,14.99,2002
gbr,13.55,2003
gbr,12.33,2004
gbr,7.162,2005
gbr,6.118,2006
gbr,5.079,2007
gbr,5.065,2008
usa,22.27,1980
usa,22.36,1981
usa,22.12,1982
usa,21.78,1983
usa,21.29,1984
usa,20.67,1985
usa,20.29,1986
usa,19.65,1987
usa,17.48,1988
usa,17.22,1989
usa,17.25,1990
usa,16.8,1991
usa,16.37,1992
usa,15.9,1993
usa,15.85,1994
usa,15.79,1995
usa,15.73,1996
usa,15.62,1997
usa,15.14,1998
usa,15.28,1999
usa,16.02,2000
usa,16.4,2001
usa,16.56,2002
usa,16.59,2003
usa,16.74,2004
usa,17.61,2005
usa,18.03,2006
usa,20.12,2007
usa,19.94,2008
uzb,60.4,1997
uzb,59.44,1998
uzb,58.5,1999
uzb,60.87,2000
uzb,59.9,2001
uzb,58.94,2002
uzb,58.31,2003
uzb,57.36,2004
uzb,56.12,2005
uzb,55.78,2006
uzb,51.45,2007
uzb,50.28,2008
ven,76.94,1980
ven,81.01,1981
ven,84.77,1982
ven,87.42,1983
ven,90.64,1984
ven,91.86,1985
ven,135.2,1986
ven,142.6,1987
ven,139.9,1988
ven,142.9,1989
ven,159.7,1990
ven,162.8,1991
ven,164.0,1992
ven,160.5,1993
ven,168.8,1994
ven,169.7,1995
ven,166.0,1996
ven,165.8,1997
ven,163.9,1998
ven,161.3,1999
ven,158.7,2000
ven,157.3,2001
ven,154.9,2002
ven,154.0,2003
ven,154.2,2004
ven,153.0,2005
ven,164.7,2006
ven,166.9,2007
ven,164.7,2008
vnm,0.2006,1990
vnm,0.1967,1991
vnm,1.364,1992
vnm,1.339,1993
vnm,1.663,1994
vnm,1.793,1995
vnm,2.054,1996
vnm,2.012,1997
vnm,1.985,1998
vnm,1.959,1999
vnm,1.935,2000
vnm,2.171,2001
vnm,2.558,2002
vnm,2.421,2003
vnm,2.395,2004
vnm,2.37,2005
vnm,2.346,2006
vnm,5.04,2007
vnm,5.821,2008
yem,1.408,1986
yem,9.065,1987
yem,12.11,1988
yem,14.87,1989
yem,17.76,1990
yem,27.67,1991
yem,28.88,1992
yem,27.81,1993
yem,26.82,1994
yem,25.74,1995
yem,28.13,1996
yem,27.24,1997
yem,26.36,1998
yem,25.5,1999
yem,24.66,2000
yem,23.85,2001
yem,23.05,2002
yem,22.28,2003
yem,21.53,2004
yem,20.8,2005
yem,20.34,2006
yem,19.77,2007
yem,19.18,2008
