armed_forces_personnel_percent_of_labor_force,geo,time
1.186,cri,1996
1.044,cri,1997
0.9908,cri,1998
0.9714,cri,1999
0.9629,cri,2000
1.276,cri,2001
1.469,cri,2002
0.9408,cri,2003
0.0,cri,2004
0.0,cri,2005
0.505,cri,2006
0.4864,cri,2007
0.4737,cri,2008
0.334,civ,1989
0.3206,civ,1990
0.308,civ,1991
0.2957,civ,1992
0.284,civ,1993
0.2731,civ,1994
0.263,civ,1995
0.2537,civ,1996
0.2455,civ,1997
0.2376,civ,1998
0.23,civ,1999
0.2447,civ,2004
0.2526,civ,2005
0.2401,civ,2007
0.2339,civ,2008
5.052,hrv,1992
3.795,hrv,1993
3.327,hrv,1994
7.13,hrv,1995
5.185,hrv,1996
4.785,hrv,1997
4.786,hrv,1998
4.975,hrv,1999
5.13,hrv,2000
3.486,hrv,2001
3.146,hrv,2002
1.579,hrv,2003
1.5,hrv,2004
1.551,hrv,2005
1.061,hrv,2006
1.053,hrv,2007
1.103,hrv,2008
4.045,cub,1985
6.8,cub,1989
6.693,cub,1990
6.599,cub,1991
3.839,cub,1992
3.804,cub,1993
3.017,cub,1994
2.652,cub,1995
2.528,cub,1996
1.672,cub,1997
1.667,cub,1998
1.927,cub,1999
1.778,cub,2000
1.522,cub,2001
1.52,cub,2002
1.521,cub,2003
1.572,cub,2004
1.585,cub,2005
1.574,cub,2006
1.537,cub,2007
1.495,cub,2008
3.538,cyp,1985
4.792,cyp,1989
3.312,cyp,1990
3.275,cyp,1991
3.249,cyp,1992
4.311,cyp,1995
4.182,cyp,1996
3.076,cyp,1997
3.06,cyp,1998
3.031,cyp,1999
2.986,cyp,2000
2.858,cyp,2001
2.625,cyp,2002
2.533,cyp,2003
2.699,cyp,2004
2.611,cyp,2005
2.558,cyp,2006
2.495,cyp,2007
2.455,cyp,2008
2.1,cze,1993
1.748,cze,1994
1.782,cze,1995
1.467,cze,1996
1.31,cze,1997
1.256,cze,1998
1.153,cze,1999
1.229,cze,2000
1.158,cze,2001
1.074,cze,2002
1.224,cze,2003
0.5281,cze,2004
