geo,males_aged_55plus_unemployment_rate_percent,time
hkg,6.5,2005
irl,5.9,1983
irl,7.3,1984
irl,8.1,1985
irl,6.9,1986
irl,9.0,1987
irl,8.4,1988
irl,7.9,1989
irl,7.0,1990
irl,6.9,1991
irl,6.8,1992
irl,7.0,1993
irl,7.4,1994
irl,6.1,1995
irl,6.0,1996
irl,5.3,1997
irl,4.4,1998
irl,3.4,1999
irl,2.1,2000
irl,2.2,2001
irl,2.1,2002
irl,2.1,2003
irl,2.5,2004
irl,2.5,2005
jpn,3.7,1981
jpn,3.8,1982
jpn,4.3,1983
jpn,4.3,1984
jpn,4.2,1985
jpn,4.4,1986
jpn,4.3,1987
jpn,3.6,1988
jpn,3.3,1989
jpn,2.9,1990
jpn,2.6,1991
jpn,2.6,1992
jpn,3.2,1993
jpn,3.7,1994
jpn,3.8,1995
jpn,4.2,1996
jpn,4.1,1997
jpn,5.1,1998
jpn,5.5,1999
jpn,5.6,2000
jpn,5.8,2001
jpn,5.8,2002
jpn,5.7,2003
jpn,4.6,2004
jpn,4.3,2005
kor,0.9,1992
kor,0.8,1993
kor,0.7,1994
kor,0.9,1995
kor,0.7,1996
kor,1.4,1997
kor,4.6,1998
kor,4.8,1999
kor,3.0,2000
kor,2.4,2001
kor,1.8,2002
kor,2.0,2003
kor,2.2,2004
kor,2.4,2005
lva,20.7,1996
lva,13.8,1997
lva,11.8,1998
lva,8.3,1999
lva,10.1,2000
lva,10.5,2001
lva,11.0,2002
lva,7.7,2003
lva,7.1,2004
lva,9.1,2005
ltu,5.9,1998
ltu,6.8,1999
ltu,12.0,2000
ltu,14.8,2001
ltu,12.4,2002
ltu,10.0,2003
ltu,8.9,2004
ltu,6.7,2005
nld,5.1,1987
nld,5.1,1988
nld,3.9,1989
nld,3.9,1990
nld,4.4,1991
nld,1.7,1992
nld,2.4,1993
nld,2.7,1994
nld,3.0,1995
nld,3.2,1996
nld,2.6,1997
nld,2.3,1998
nld,2.3,1999
nld,2.5,2000
nld,1.7,2001
nld,1.9,2002
nld,3.0,2003
nld,4.3,2004
nld,4.8,2005
nzl,1.3,1986
nzl,1.8,1987
nzl,2.5,1988
nzl,4.1,1989
nzl,4.4,1990
nzl,4.3,1991
nzl,5.6,1992
nzl,5.9,1993
nzl,4.9,1994
nzl,3.4,1995
nzl,3.7,1996
nzl,4.1,1997
nzl,4.3,1998
nzl,4.9,1999
nzl,4.8,2000
nzl,3.6,2001
nzl,3.0,2002
nzl,3.0,2003
nzl,2.1,2004
nzl,1.7,2005
nor,0.4,1981
nor,1.3,1982
nor,1.8,1983
nor,1.4,1984
nor,0.9,1985
nor,1.0,1986
nor,1.0,1987
nor,1.6,1988
nor,2.7,1989
nor,2.3,1990
nor,3.0,1991
nor,3.1,1992
nor,2.5,1993
nor,3.1,1994
nor,3.1,1995
nor,3.1,1996
nor,1.8,1997
nor,2.3,1998
nor,1.7,1999
nor,1.6,2000
nor,1.5,2001
nor,1.5,2002
nor,1.8,2003
nor,1.8,2004
nor,2.2,2005
phl,8.2,1986
phl,7.6,1987
phl,6.3,1988
phl,6.2,1989
phl,5.3,1990
phl,6.0,1991
phl,4.9,1992
phl,4.5,1993
phl,4.9,1994
phl,4.5,1995
phl,4.6,1996
phl,5.7,1997
phl,5.6,1998
phl,5.2,1999
phl,5.6,2000
phl,5.8,2001
phl,5.8,2002
phl,6.6,2003
phl,7.4,2004
phl,2.8,2005
pol,5.7,1993
pol,6.3,1994
pol,5.4,1995
pol,5.1,1996
pol,4.6,1997
pol,5.2,1998
pol,7.5,1999
pol,7.8,2000
pol,8.4,2001
pol,9.2,2002
pol,9.9,2003
pol,10.8,2004
pol,10.7,2005
prt,1.6,1983
prt,1.6,1984
prt,2.0,1985
prt,2.0,1986
prt,2.2,1987
prt,2.0,1988
prt,1.3,1989
prt,1.7,1990
prt,1.7,1991
prt,2.0,1992
prt,3.2,1993
prt,3.9,1994
prt,3.6,1995
prt,3.9,1996
prt,4.4,1997
prt,2.5,1998
prt,2.7,1999
prt,2.5,2000
prt,2.2,2001
prt,2.4,2002
prt,3.1,2003
prt,3.9,2004
prt,4.6,2005
rou,1.5,1994
rou,2.1,1995
rou,1.3,1996
rou,1.2,1997
rou,1.2,1998
rou,1.3,1999
rou,1.5,2000
rou,1.7,2001
rou,2.6,2002
rou,2.5,2003
rou,4.2,2004
rou,3.4,2005
sgp,1.5,1981
sgp,1.3,1982
sgp,1.4,1983
sgp,1.6,1984
sgp,2.7,1985
sgp,4.4,1986
sgp,2.9,1987
sgp,1.7,1988
sgp,1.0,1989
sgp,0.8,1990
sgp,0.9,1991
sgp,1.3,1992
sgp,1.5,1993
sgp,1.5,1994
sgp,1.6,1995
sgp,2.1,1996
sgp,1.8,1997
sgp,2.4,1998
sgp,3.7,1999
sgp,3.3,2001
sgp,4.8,2002
sgp,4.2,2003
sgp,4.7,2004
svk,7.0,1997
svk,7.6,1998
svk,10.2,1999
svk,13.3,2000
svk,12.5,2001
svk,15.3,2002
svk,14.1,2003
svk,15.3,2004
svn,5.4,1993
svn,4.4,1994
svn,2.3,1995
svn,2.4,1996
svn,2.4,1997
svn,2.0,1998
svn,4.1,1999
svn,6.5,2000
svn,2.1,2001
svn,1.9,2002
svn,2.3,2003
svn,3.4,2004
svn,4.7,2005
esp,6.7,1981
esp,7.5,1982
esp,8.1,1983
esp,10.7,1984
esp,11.3,1985
esp,12.2,1986
esp,10.4,1987
esp,9.1,1988
esp,9.0,1989
esp,8.0,1990
esp,8.4,1991
esp,9.3,1992
esp,11.7,1993
esp,12.6,1994
esp,11.9,1995
esp,10.9,1996
esp,10.4,1997
esp,9.2,1998
esp,8.9,1999
esp,8.2,2000
esp,5.4,2001
esp,5.8,2002
esp,5.7,2003
esp,5.8,2004
esp,5.2,2005
swe,2.1,1981
swe,3.0,1982
swe,3.9,1983
swe,4.2,1984
swe,3.5,1985
swe,3.0,1986
swe,2.2,1987
swe,1.9,1988
swe,1.3,1989
swe,1.3,1990
swe,2.3,1991
swe,3.7,1992
swe,6.9,1993
swe,8.2,1994
swe,9.0,1995
swe,9.3,1996
swe,9.2,1997
swe,7.9,1998
swe,7.4,1999
swe,6.8,2000
swe,5.4,2001
swe,5.3,2002
swe,6.0,2003
swe,5.8,2004
swe,5.4,2005
che,1.1,1991
che,1.7,1992
che,3.1,1993
che,3.7,1994
che,3.5,1995
che,2.9,1996
che,2.6,1997
che,3.4,1998
che,2.5,1999
che,2.5,2000
che,1.6,2001
che,1.9,2002
che,2.3,2003
che,2.8,2004
che,3.3,2005
tur,4.8,1989
tur,3.4,1990
tur,2.9,1991
tur,2.9,1992
tur,2.7,1993
tur,2.6,1994
tur,2.8,1995
tur,1.8,1996
tur,1.5,1997
tur,2.0,1998
tur,2.1,1999
tur,2.1,2000
tur,2.4,2001
tur,3.4,2002
tur,3.7,2003
tur,3.2,2004
tur,3.3,2005
gbr,4.2,2001
gbr,4.2,2002
gbr,4.1,2003
gbr,3.8,2004
gbr,3.2,2005
usa,3.5,1981
usa,5.1,1982
usa,5.6,1983
usa,4.6,1984
usa,4.1,1985
usa,4.1,1986
usa,3.5,1987
usa,3.3,1988
usa,3.2,1989
usa,3.6,1990
usa,4.4,1991
usa,5.2,1992
usa,4.7,1993
usa,4.3,1994
usa,3.7,1995
usa,3.3,1996
usa,3.1,1997
usa,2.8,1998
usa,2.8,1999
usa,2.6,2000
usa,3.2,2001
usa,4.1,2002
usa,4.4,2003
usa,3.9,2004
usa,3.3,2005
