geo,aged_15plus_labour_force_participation_rate_percent,time
cod,71.7,1998
cod,71.6,1999
cod,71.5,2000
cod,71.4,2001
cod,71.4,2002
cod,71.5,2003
cod,71.6,2004
cod,71.7,2005
cod,71.8,2006
cod,71.6,2007
cri,58.0,1980
cri,58.4,1981
cri,58.5,1982
cri,58.3,1983
cri,57.8,1984
cri,58.3,1985
cri,58.4,1986
cri,59.7,1987
cri,60.3,1988
cri,60.2,1989
cri,60.7,1990
cri,60.2,1991
cri,60.4,1992
cri,61.2,1993
cri,61.2,1994
cri,61.9,1995
cri,60.6,1996
cri,61.4,1997
cri,62.5,1998
cri,62.7,1999
cri,61.8,2000
cri,62.1,2001
cri,61.8,2002
cri,61.5,2003
cri,60.4,2004
cri,61.1,2005
cri,61.6,2006
cri,61.4,2007
civ,67.0,1980
civ,67.1,1981
civ,67.2,1982
civ,67.2,1983
civ,67.2,1984
civ,67.2,1985
civ,67.2,1986
civ,67.1,1987
civ,67.1,1988
civ,67.0,1989
civ,66.9,1990
civ,66.7,1991
civ,66.5,1992
civ,66.3,1993
civ,66.0,1994
civ,65.7,1995
civ,65.4,1996
civ,65.1,1997
civ,64.7,1998
civ,64.3,1999
civ,63.9,2000
civ,63.6,2001
civ,63.4,2002
civ,63.1,2003
civ,62.9,2004
civ,62.8,2005
civ,62.6,2006
civ,62.5,2007
hrv,64.7,1980
hrv,64.7,1981
hrv,64.6,1982
hrv,64.5,1983
hrv,64.4,1984
hrv,64.2,1985
hrv,64.0,1986
hrv,63.8,1987
hrv,63.6,1988
hrv,63.3,1989
hrv,63.0,1990
hrv,57.4,1991
hrv,56.9,1992
hrv,56.4,1993
hrv,55.9,1994
hrv,55.4,1995
hrv,55.0,1996
hrv,54.6,1997
hrv,54.3,1998
hrv,54.0,1999
hrv,53.7,2000
hrv,53.0,2001
hrv,53.1,2002
hrv,52.9,2003
hrv,52.9,2004
hrv,52.6,2005
hrv,52.3,2006
hrv,52.1,2007
cub,52.0,1980
cub,52.0,1981
cub,52.0,1982
cub,52.2,1983
cub,52.6,1984
cub,52.9,1985
cub,53.4,1986
cub,53.7,1987
cub,54.0,1988
cub,54.3,1989
cub,54.7,1990
cub,55.1,1991
cub,55.6,1992
cub,56.2,1993
cub,56.7,1994
cub,57.2,1995
cub,57.5,1996
cub,57.8,1997
cub,57.9,1998
cub,57.9,1999
cub,57.9,2000
cub,57.8,2001
cub,57.6,2002
cub,57.4,2003
cub,57.1,2004
cub,57.1,2005
cub,57.2,2006
cub,57.0,2007
cyp,61.0,1980
cyp,61.6,1981
cyp,61.7,1982
cyp,61.9,1983
cyp,62.2,1984
cyp,62.8,1985
cyp,62.9,1986
cyp,62.7,1987
cyp,63.4,1988
cyp,64.2,1989
cyp,64.2,1990
cyp,64.4,1991
cyp,62.1,1992
cyp,62.5,1993
cyp,62.6,1994
cyp,62.6,1995
cyp,62.3,1996
cyp,62.0,1997
cyp,61.7,1998
cyp,61.3,1999
cyp,60.9,2000
cyp,62.1,2001
cyp,60.8,2002
cyp,61.8,2003
cyp,61.7,2004
cyp,61.4,2005
cyp,61.4,2006
cyp,61.5,2007
cze,69.1,1980
cze,69.1,1981
cze,69.1,1982
cze,69.1,1983
cze,69.1,1984
cze,69.2,1985
cze,69.3,1986
cze,69.4,1987
cze,69.7,1988
cze,69.9,1989
cze,70.1,1990
cze,61.3,1991
cze,61.5,1992
cze,61.6,1993
cze,61.7,1994
cze,61.5,1995
cze,61.2,1996
cze,61.0,1997
cze,61.0,1998
cze,60.9,1999
cze,60.4,2000
cze,60.0,2001
cze,59.9,2002
cze,59.5,2003
cze,59.2,2004
cze,59.4,2005
cze,59.2,2006
cze,59.1,2007
dnk,65.7,1980
dnk,65.7,1981
dnk,65.4,1982
dnk,65.2,1983
dnk,66.1,1984
dnk,66.9,1985
