geo,colonandrectum_cancer_new_cases_per_100000_men,time
fin,24.52,1993
fin,25.02,1994
fin,26.24,1995
fin,25.41,1996
fin,25.7,1997
fin,25.5,2002
fra,40.8,2002
pyf,14.9,2002
gab,4.9,2002
gmb,1.3,2002
geo,10.7,2002
deu,45.5,2002
gha,5.1,2002
grc,19.4,2002
gum,15.3,2002
gtm,7.9,2002
gin,3.1,2002
gnb,5.1,2002
guy,16.5,2002
hti,11.3,2002
hnd,7.9,2002
hkg,33.81,1983
hkg,35.16,1984
hkg,35.87,1985
hkg,37.5,1986
hkg,35.27,1987
hkg,34.47,1988
hkg,34.74,1989
hkg,35.45,1990
hkg,35.31,1991
hkg,36.45,1992
hkg,35.82,1993
hkg,38.32,1994
hkg,39.21,1995
hkg,40.93,1996
hkg,38.86,1997
hun,56.6,2002
isl,13.12,1958
isl,19.63,1959
isl,17.8,1960
isl,10.4,1961
isl,12.14,1962
isl,15.43,1963
isl,23.4,1964
isl,23.59,1965
isl,18.56,1966
isl,14.17,1967
isl,19.27,1968
isl,17.07,1969
isl,21.88,1970
isl,19.41,1971
isl,23.29,1972
isl,14.12,1973
isl,25.82,1974
isl,16.52,1975
isl,23.6,1976
isl,18.44,1977
isl,23.48,1978
isl,20.63,1979
isl,28.46,1980
isl,28.4,1981
isl,24.33,1982
isl,27.33,1983
isl,31.48,1984
isl,25.52,1985
isl,26.48,1986
isl,26.93,1987
isl,30.74,1988
isl,31.1,1989
isl,23.51,1990
isl,17.15,1991
isl,23.84,1992
isl,20.68,1993
isl,23.96,1994
isl,27.89,1995
isl,31.7,1996
isl,35.19,1997
isl,34.0,2002
ind,4.7,2002
idn,11.9,2002
irn,8.3,2002
irq,5.3,2002
irl,43.1,2002
isr,41.9,2002
ita,39.3,2002
jam,14.3,2002
jpn,49.3,2002
jor,10.2,2002
kaz,9.2,2002
ken,7.4,2002
prk,24.7,2002
kor,24.7,2002
kwt,7.0,2002
kgz,5.0,2002
lao,7.4,2002
lva,24.2,2002
lbn,4.6,2002
lso,4.5,2002
lbr,4.8,2002
lby,4.9,2002
ltu,26.5,2002
lux,43.6,2002
mkd,27.6,2002
mdg,6.7,2002
mwi,2.6,2002
mys,19.3,2002
mli,5.1,2002
mlt,27.1,2002
mrt,5.1,2002
mus,12.1,2002
mex,7.9,2002
mda,26.5,2002
mng,4.4,2002
mar,5.8,2002
moz,1.2,2002
mmr,5.2,2002
nam,4.3,2002
npl,4.7,2002
nld,40.9,2002
nzl,49.93,1983
nzl,52.11,1984
nzl,49.52,1985
nzl,49.66,1986
nzl,50.13,1987
nzl,53.09,1988
nzl,49.83,1989
nzl,51.1,1990
nzl,49.05,1991
nzl,49.04,1992
nzl,51.0,1993
nzl,54.92,1994
nzl,53.0,1995
nzl,52.87,1996
nzl,48.59,1997
nzl,53.0,2002
nic,5.2,2002
ner,4.7,2002
nga,5.8,2002
nor,15.61,1953
nor,16.77,1954
nor,14.93,1955
nor,16.52,1956
nor,14.79,1957
nor,16.54,1958
nor,16.5,1959
nor,17.59,1960
nor,17.18,1961
nor,18.24,1962
nor,18.41,1963
nor,18.37,1964
nor,19.22,1965
nor,19.41,1966
nor,21.15,1967
nor,22.83,1968
nor,21.21,1969
nor,23.11,1970
nor,22.89,1971
nor,22.7,1972
nor,22.67,1973
nor,25.14,1974
nor,24.23,1975
nor,27.06,1976
nor,29.29,1977
nor,30.7,1978
nor,29.72,1979
nor,32.19,1980
nor,32.36,1981
nor,33.08,1982
nor,35.75,1983
nor,33.5,1984
nor,37.19,1985
nor,36.18,1986
nor,35.02,1987
nor,36.01,1988
nor,37.14,1989
nor,39.01,1990
nor,38.06,1991
nor,41.18,1992
nor,39.79,1993
nor,40.3,1994
nor,41.45,1995
nor,39.56,1996
nor,44.1,1997
nor,43.4,2002
omn,4.7,2002
pak,5.0,2002
pan,12.1,2002
png,7.8,2002
pry,10.3,2002
per,11.7,2002
phl,18.8,2002
pol,31.9,2002
prt,36.0,2002
pri,26.6,2002
qat,12.8,2002
rou,22.0,2002
rus,27.1,2002
rwa,3.5,2002
wsm,14.9,2002
sau,9.4,2002
sen,2.4,2002
scg,28.2,2002
sle,5.1,2002
sgp,35.1,2002
svk,20.95,1968
svk,21.85,1969
svk,21.2,1970
svk,19.06,1971
svk,21.21,1972
svk,21.75,1973
svk,25.06,1974
svk,22.6,1975
svk,23.96,1976
svk,24.66,1977
svk,24.57,1978
svk,25.42,1979
svk,25.99,1980
svk,27.49,1981
svk,29.22,1982
svk,32.35,1983
svk,31.9,1984
svk,33.43,1985
svk,35.39,1986
svk,37.58,1987
svk,40.47,1988
svk,39.37,1989
svk,36.8,1990
svk,43.51,1991
svk,42.59,1992
svk,41.51,1993
svk,45.35,1994
svk,42.64,1995
svk,49.6,1996
svk,49.97,1997
svk,54.5,2002
svn,13.27,1963
svn,13.6,1964
svn,14.37,1965
svn,14.02,1966
svn,18.88,1967
svn,18.05,1968
svn,17.55,1969
svn,17.66,1970
svn,15.95,1971
svn,20.28,1972
svn,18.75,1973
svn,15.81,1974
svn,20.15,1975
svn,21.32,1976
svn,20.85,1977
svn,23.41,1978
svn,22.77,1979
svn,21.84,1980
svn,26.21,1981
svn,22.43,1982
svn,24.6,1983
svn,26.09,1984
svn,25.77,1985
svn,26.75,1986
svn,29.57,1987
svn,30.86,1988
svn,31.07,1989
svn,32.55,1990
svn,34.32,1991
svn,36.98,1992
svn,36.38,1993
svn,38.07,1994
svn,37.25,1995
svn,38.55,1996
svn,40.17,1997
svn,43.8,2002
slb,10.5,2002
som,6.7,2002
zaf,12.3,2002
esp,36.8,2002
lka,5.0,2002
sdn,5.3,2002
sur,10.1,2002
swz,4.0,2002
swe,25.15,1958
swe,24.04,1959
swe,24.23,1960
swe,23.64,1961
swe,23.49,1962
swe,24.27,1963
swe,26.04,1964
swe,26.28,1965
swe,26.65,1966
swe,25.79,1967
swe,25.45,1968
swe,27.29,1969
swe,26.73,1970
swe,27.32,1971
swe,26.23,1972
swe,26.71,1973
swe,26.09,1974
swe,27.79,1975
swe,27.93,1976
swe,27.56,1977
swe,27.08,1978
swe,28.26,1979
swe,27.88,1980
swe,28.31,1981
swe,28.05,1982
swe,27.75,1983
swe,29.32,1984
swe,29.75,1985
swe,28.88,1986
swe,28.6,1987
swe,28.71,1988
swe,28.72,1989
swe,28.62,1990
swe,29.05,1991
swe,30.69,1992
swe,29.63,1993
swe,30.12,1994
swe,29.29,1995
swe,28.99,1996
swe,29.92,1997
swe,33.4,2002
che,42.7,2002
syr,18.0,2002
tjk,2.5,2002
tza,4.2,2002
tha,10.7,2002
tgo,5.1,2002
tto,14.8,2002
tun,6.3,2002
tur,9.1,2002
tkm,2.2,2002
uga,7.7,2002
ukr,27.5,2002
are,12.2,2002
gbr,39.2,2002
usa,44.6,2002
ury,39.6,2002
uzb,3.7,2002
vut,3.6,2002
ven,11.2,2002
vnm,11.8,2002
yem,9.1,2002
zmb,6.6,2002
zwe,7.2,2002
