geo,family_workers_percent_of_labour_force,time
can,0.5,1991
can,0.5,1992
can,0.6,1993
can,0.4,1994
can,0.4,1995
can,0.4,1996
can,0.5,1997
can,0.4,1998
can,0.3,1999
can,0.3,2000
can,0.2,2001
can,0.2,2002
can,0.2,2003
can,0.2,2004
can,0.2,2005
can,0.2,2006
can,0.2,2007
cpv,10.3,2000
tcd,28.3,1993
chl,2.6,1996
chl,2.4,1997
chl,2.4,1998
chl,2.3,1999
chl,2.3,2000
chl,2.0,2001
chl,2.1,2002
chl,2.0,2003
chl,2.2,2004
chl,2.0,2005
chl,1.9,2006
chl,1.6,2007
col,1.5,1992
col,1.3,1993
col,1.3,1994
col,0.9,1995
col,0.9,1996
col,1.2,1997
col,0.9,1998
col,1.6,1999
col,1.0,2000
col,5.9,2001
col,6.0,2002
col,6.0,2003
col,5.6,2004
col,5.2,2005
col,4.4,2006
col,4.4,2007
cri,5.7,1987
cri,4.9,1988
cri,4.5,1989
cri,5.1,1990
cri,4.4,1991
cri,3.6,1992
cri,3.6,1993
cri,3.4,1994
cri,3.7,1995
cri,3.2,1996
cri,3.1,1997
cri,3.3,1998
cri,3.0,1999
cri,2.6,2000
cri,2.9,2001
cri,3.1,2002
cri,2.6,2003
cri,2.4,2004
cri,2.3,2005
cri,2.2,2006
cri,1.8,2007
hrv,7.9,1996
hrv,7.5,1997
hrv,6.2,1998
hrv,5.7,1999
hrv,4.9,2000
hrv,4.8,2001
hrv,4.6,2002
hrv,3.8,2003
hrv,2.7,2004
hrv,2.4,2005
hrv,2.2,2006
hrv,2.3,2007
cyp,2.1,1999
cyp,3.0,2000
cyp,3.3,2001
cyp,3.2,2002
cyp,3.5,2003
cyp,3.1,2004
cyp,2.8,2005
cyp,2.2,2006
cyp,1.7,2007
cze,0.3,1993
cze,0.4,1994
cze,0.5,1995
cze,0.4,1996
cze,0.4,1997
cze,0.5,1998
cze,0.5,1999
cze,0.6,2000
cze,0.6,2001
cze,0.6,2002
cze,0.7,2003
cze,0.7,2004
cze,0.7,2005
cze,0.7,2006
cze,0.6,2007
dnk,2.8,1981
dnk,3.1,1983
dnk,2.6,1984
dnk,2.5,1985
dnk,2.2,1986
dnk,2.3,1987
dnk,2.2,1988
dnk,1.9,1989
dnk,2.1,1990
dnk,1.8,1991
dnk,1.9,1992
dnk,1.8,1993
dnk,1.4,1994
dnk,1.2,1995
dnk,1.0,1996
dnk,1.0,1997
dnk,1.0,1998
dnk,0.9,1999
dnk,0.9,2000
dnk,0.8,2001
dnk,0.8,2002
dnk,0.7,2003
dnk,0.8,2004
dnk,0.7,2005
dnk,0.6,2006
dnk,0.6,2007
dma,2.9,1991
dma,1.9,1997
dma,1.6,1999
dma,1.5,2001
dom,5.5,1991
dom,5.3,1992
dom,5.4,1993
dom,4.6,1994
dom,4.2,1995
dom,4.7,1996
dom,3.7,1997
dom,2.4,1998
dom,2.2,1999
dom,2.2,2000
dom,1.7,2001
dom,1.6,2002
dom,1.7,2003
dom,2.0,2004
dom,3.5,2005
ecu,4.1,1988
ecu,4.4,1989
ecu,6.5,1990
ecu,6.1,1991
ecu,7.0,1992
ecu,6.4,1993
ecu,6.3,1994
ecu,7.0,1995
ecu,6.5,1996
ecu,4.8,1997
ecu,6.7,1998
ecu,5.7,1999
ecu,6.0,2000
ecu,6.7,2001
ecu,5.2,2002
ecu,4.4,2003
ecu,6.6,2004
ecu,5.6,2005
ecu,7.1,2006
egy,14.2,1993
egy,13.8,1994
