geo,infectious_tb_treatment_dots_completed_percent,time
vut,90,2006
ven,68,1994
ven,74,1995
ven,80,1996
ven,72,1997
ven,81,1998
ven,82,1999
ven,76,2000
ven,80,2001
ven,82,2002
ven,82,2003
ven,81,2004
ven,83,2005
ven,82,2006
vnm,91,1994
vnm,91,1995
vnm,90,1996
vnm,85,1997
vnm,93,1998
vnm,92,1999
vnm,92,2000
vnm,93,2001
vnm,92,2002
vnm,92,2003
vnm,93,2004
vnm,92,2005
vnm,92,2006
wlf,100,2001
wlf,100,2002
wlf,100,2004
wlf,100,2006
pse,100,2002
pse,80,2003
pse,50,2004
pse,100,2005
pse,94,2006
yem,66,1995
yem,78,1996
yem,81,1997
yem,80,1998
yem,79,1999
yem,75,2000
yem,80,2001
yem,80,2002
yem,82,2003
yem,82,2004
yem,80,2005
yem,83,2006
zmb,75,2001
zmb,83,2002
zmb,75,2003
zmb,83,2004
zmb,84,2005
zmb,85,2006
zwe,70,1998
zwe,73,1999
zwe,69,2000
zwe,71,2001
zwe,67,2002
zwe,66,2003
zwe,54,2004
zwe,68,2005
zwe,60,2006
