mean_years_in_school_women_percent_men_25_to_34_years,geo,time
98.97,aus,1971
98.99,aus,1972
99.0,aus,1973
99.01,aus,1974
100.0,aus,1975
99.04,aus,1976
99.05,aus,1977
99.06,aus,1978
99.07,aus,1979
100.0,aus,1980
100.0,aus,1981
99.08,aus,1982
99.09,aus,1983
100.0,aus,1984
100.0,aus,1985
99.11,aus,1986
100.0,aus,1987
100.0,aus,1988
100.0,aus,1989
100.0,aus,1990
100.0,aus,1991
100.0,aus,1992
100.0,aus,1993
100.9,aus,1994
100.0,aus,1995
100.9,aus,1996
100.0,aus,1997
100.8,aus,1998
101.7,aus,1999
100.8,aus,2000
101.7,aus,2001
100.8,aus,2002
101.7,aus,2003
101.7,aus,2004
101.7,aus,2005
101.7,aus,2006
102.5,aus,2007
102.5,aus,2008
103.3,aus,2009
87.78,aut,1970
87.91,aut,1971
89.13,aut,1972
88.3,aut,1973
89.47,aut,1974
89.58,aut,1975
89.69,aut,1976
90.82,aut,1977
90.91,aut,1978
91.0,aut,1979
91.09,aut,1980
92.16,aut,1981
92.23,aut,1982
92.31,aut,1983
92.38,aut,1984
92.45,aut,1985
92.52,aut,1986
93.46,aut,1987
93.52,aut,1988
93.58,aut,1989
94.5,aut,1990
94.55,aut,1991
95.45,aut,1992
95.5,aut,1993
95.54,aut,1994
96.43,aut,1995
96.46,aut,1996
96.46,aut,1997
96.49,aut,1998
96.52,aut,1999
97.39,aut,2000
97.41,aut,2001
98.28,aut,2002
98.29,aut,2003
99.15,aut,2004
99.15,aut,2005
100.0,aut,2006
100.8,aut,2007
100.8,aut,2008
100.8,aut,2009
85.92,aze,1970
86.3,aze,1971
86.67,aze,1972
87.01,aze,1973
87.34,aze,1974
87.65,aze,1975
87.95,aze,1976
88.24,aze,1977
88.51,aze,1978
88.76,aze,1979
91.11,aze,1980
91.3,aze,1981
92.47,aze,1982
92.63,aze,1983
91.75,aze,1984
92.86,aze,1985
93.0,aze,1986
94.06,aze,1987
94.12,aze,1988
95.15,aze,1989
94.29,aze,1990
95.28,aze,1991
95.33,aze,1992
96.3,aze,1993
96.33,aze,1994
97.27,aze,1995
98.18,aze,1996
98.2,aze,1997
98.21,aze,1998
98.23,aze,1999
99.12,aze,2000
99.13,aze,2001
100.0,aze,2002
100.0,aze,2003
100.0,aze,2004
100.9,aze,2005
100.8,aze,2006
101.7,aze,2007
101.7,aze,2008
101.7,aze,2009
104.3,bhs,1970
104.2,bhs,1971
104.1,bhs,1972
105.4,bhs,1973
103.9,bhs,1974
103.8,bhs,1975
105.1,bhs,1976
105.0,bhs,1977
103.7,bhs,1978
104.8,bhs,1979
104.8,bhs,1980
104.7,bhs,1981
103.4,bhs,1982
104.6,bhs,1983
103.4,bhs,1984
104.4,bhs,1985
104.4,bhs,1986
104.3,bhs,1987
104.3,bhs,1988
104.3,bhs,1989
103.1,bhs,1990
104.1,bhs,1991
104.1,bhs,1992
104.0,bhs,1993
104.0,bhs,1994
105.0,bhs,1995
104.9,bhs,1996
104.9,bhs,1997
104.8,bhs,1998
105.7,bhs,1999
105.7,bhs,2000
105.6,bhs,2001
105.6,bhs,2002
105.5,bhs,2003
105.5,bhs,2004
106.3,bhs,2005
106.2,bhs,2006
107.1,bhs,2007
107.1,bhs,2008
107.0,bhs,2009
68.42,bhr,1970
70.0,bhr,1971
71.43,bhr,1972
71.11,bhr,1973
72.34,bhr,1974
73.47,bhr,1975
76.47,bhr,1976
77.36,bhr,1977
78.57,bhr,1978
79.31,bhr,1979
81.67,bhr,1980
83.87,bhr,1981
84.38,bhr,1982
86.36,bhr,1983
86.96,bhr,1984
90.0,bhr,1985
91.67,bhr,1986
91.89,bhr,1987
94.67,bhr,1988
94.81,bhr,1989
97.44,bhr,1990
97.5,bhr,1991
100.0,bhr,1992
100.0,bhr,1993
101.2,bhr,1994
103.5,bhr,1995
103.4,bhr,1996
104.5,bhr,1997
104.4,bhr,1998
105.5,bhr,1999
106.5,bhr,2000
107.5,bhr,2001
108.5,bhr,2002
109.5,bhr,2003
110.4,bhr,2004
110.2,bhr,2005
111.2,bhr,2006
112.1,bhr,2007
113.0,bhr,2008
112.9,bhr,2009
36.36,bgd,1970
39.13,bgd,1971
37.5,bgd,1972
40.0,bgd,1973
42.31,bgd,1974
40.74,bgd,1975
42.86,bgd,1976
43.33,bgd,1977
41.94,bgd,1978
43.75,bgd,1979
45.45,bgd,1980
47.06,bgd,1981
45.71,bgd,1982
47.22,bgd,1983
50.0,bgd,1984
51.35,bgd,1985
50.0,bgd,1986
51.28,bgd,1987
52.5,bgd,1988
53.66,bgd,1989
54.76,bgd,1990
57.14,bgd,1991
58.14,bgd,1992
59.09,bgd,1993
60.0,bgd,1994
60.87,bgd,1995
61.7,bgd,1996
62.5,bgd,1997
64.58,bgd,1998
65.31,bgd,1999
66.0,bgd,2000
66.67,bgd,2001
67.31,bgd,2002
71.15,bgd,2003
71.7,bgd,2004
72.22,bgd,2005
74.07,bgd,2006
74.55,bgd,2007
75.0,bgd,2008
78.57,bgd,2009
102.4,blr,1970
102.4,blr,1971
102.3,blr,1972
102.3,blr,1973
103.4,blr,1974
103.3,blr,1975
103.2,blr,1976
103.2,blr,1977
104.2,blr,1978
103.1,blr,1979
103.0,blr,1980
104.0,blr,1981
102.9,blr,1982
103.8,blr,1983
102.8,blr,1984
103.7,blr,1985
103.7,blr,1986
103.7,blr,1987
103.6,blr,1988
103.6,blr,1989
103.6,blr,1990
103.5,blr,1991
103.5,blr,1992
102.6,blr,1993
102.6,blr,1994
102.6,blr,1995
102.5,blr,1996
103.4,blr,1997
103.4,blr,1998
102.5,blr,1999
102.5,blr,2000
103.3,blr,2001
103.3,blr,2002
102.4,blr,2003
103.3,blr,2004
103.2,blr,2005
103.2,blr,2006
103.2,blr,2007
103.2,blr,2008
103.2,blr,2009
95.18,bel,1970
95.29,bel,1971
95.4,bel,1972
95.51,bel,1973
95.6,bel,1974
96.74,bel,1975
96.81,bel,1976
96.88,bel,1977
96.94,bel,1978
96.97,bel,1979
97.03,bel,1980
97.09,bel,1981
98.08,bel,1982
97.17,bel,1983
98.13,bel,1984
98.17,bel,1985
99.09,bel,1986
98.21,bel,1987
99.12,bel,1988
99.12,bel,1989
99.13,bel,1990
99.14,bel,1991
100.0,bel,1992
100.0,bel,1993
100.0,bel,1994
100.8,bel,1995
100.8,bel,1996
100.8,bel,1997
101.6,bel,1998
102.5,bel,1999
102.4,bel,2000
102.4,bel,2001
102.4,bel,2002
102.4,bel,2003
102.4,bel,2004
103.2,bel,2005
103.1,bel,2006
103.9,bel,2007
103.9,bel,2008
104.7,bel,2009
90.0,blz,1970
90.38,blz,1971
92.45,blz,1972
92.73,blz,1973
92.98,blz,1974
93.1,blz,1975
93.33,blz,1976
95.08,blz,1977
93.65,blz,1978
95.31,blz,1979
95.45,blz,1980
95.52,blz,1981
95.65,blz,1982
95.71,blz,1983
97.18,blz,1984
95.89,blz,1985
95.95,blz,1986
96.0,blz,1987
96.05,blz,1988
96.1,blz,1989
94.94,blz,1990
95.0,blz,1991
95.06,blz,1992
95.12,blz,1993
95.18,blz,1994
95.24,blz,1995
95.29,blz,1996
95.35,blz,1997
95.4,blz,1998
96.55,blz,1999
96.59,blz,2000
96.63,blz,2001
96.67,blz,2002
96.7,blz,2003
96.74,blz,2004
97.83,blz,2005
97.85,blz,2006
97.87,blz,2007
97.89,blz,2008
98.95,blz,2009
35.71,ben,1970
33.33,ben,1971
31.25,ben,1972
37.5,ben,1973
35.29,ben,1974
33.33,ben,1975
36.84,ben,1976
36.84,ben,1977
35.0,ben,1978
38.1,ben,1979
36.36,ben,1980
34.78,ben,1981
37.5,ben,1982
36.0,ben,1983
38.46,ben,1984
37.04,ben,1985
39.29,ben,1986
37.93,ben,1987
40.0,ben,1988
38.71,ben,1989
41.94,ben,1990
40.62,ben,1991
42.42,ben,1992
41.18,ben,1993
42.86,ben,1994
41.67,ben,1995
43.24,ben,1996
44.74,ben,1997
43.59,ben,1998
46.15,ben,1999
45.0,ben,2000
46.34,ben,2001
45.24,ben,2002
46.51,ben,2003
47.73,ben,2004
47.73,ben,2005
48.89,ben,2006
47.83,ben,2007
50.0,ben,2008
51.06,ben,2009
61.36,bol,1970
63.04,bol,1971
62.5,bol,1972
64.0,bol,1973
65.38,bol,1974
66.04,bol,1975
67.27,bol,1976
68.42,bol,1977
67.8,bol,1978
68.85,bol,1979
70.97,bol,1980
70.31,bol,1981
71.21,bol,1982
72.06,bol,1983
73.91,bol,1984
74.65,bol,1985
73.97,bol,1986
75.68,bol,1987
76.32,bol,1988
77.92,bol,1989
77.22,bol,1990
78.75,bol,1991
79.27,bol,1992
80.72,bol,1993
80.95,bol,1994
81.4,bol,1995
82.76,bol,1996
82.95,bol,1997
84.27,bol,1998
84.62,bol,1999
84.78,bol,2000
86.02,bol,2001
87.23,bol,2002
87.37,bol,2003
88.54,bol,2004
88.66,bol,2005
90.72,bol,2006
90.82,bol,2007
91.92,bol,2008
92.0,bol,2009
67.35,bih,1970
66.67,bih,1971
69.23,bih,1972
69.81,bih,1973
69.09,bih,1974
68.42,bih,1975
70.69,bih,1976
70.0,bih,1977
72.13,bih,1978
71.43,bih,1979
72.31,bih,1980
73.13,bih,1981
72.46,bih,1982
74.29,bih,1983
75.34,bih,1984
76.0,bih,1985
76.62,bih,1986
77.22,bih,1987
78.75,bih,1988
79.27,bih,1989
79.76,bih,1990
80.23,bih,1991
81.61,bih,1992
82.02,bih,1993
82.42,bih,1994
83.7,bih,1995
84.04,bih,1996
85.26,bih,1997
86.46,bih,1998
86.73,bih,1999
87.88,bih,2000
88.0,bih,2001
88.24,bih,2002
89.32,bih,2003
90.38,bih,2004
90.48,bih,2005
91.51,bih,2006
91.59,bih,2007
92.59,bih,2008
92.66,bih,2009
105.3,bwa,1970
105.0,bwa,1971
104.8,bwa,1972
104.5,bwa,1973
108.7,bwa,1974
108.3,bwa,1975
108.0,bwa,1976
111.5,bwa,1977
111.1,bwa,1978
110.7,bwa,1979
113.8,bwa,1980
113.3,bwa,1981
116.1,bwa,1982
118.8,bwa,1983
114.7,bwa,1984
117.1,bwa,1985
119.4,bwa,1986
115.8,bwa,1987
117.9,bwa,1988
120.0,bwa,1989
119.0,bwa,1990
118.6,bwa,1991
120.5,bwa,1992
122.2,bwa,1993
123.9,bwa,1994
122.9,bwa,1995
122.4,bwa,1996
124.0,bwa,1997
125.5,bwa,1998
124.5,bwa,1999
125.9,bwa,2000
125.5,bwa,2001
126.8,bwa,2002
128.1,bwa,2003
129.3,bwa,2004
128.8,bwa,2005
130.0,bwa,2006
133.3,bwa,2007
132.8,bwa,2008
136.1,bwa,2009
96.67,bra,1970
100.0,bra,1971
100.0,bra,1972
97.06,bra,1973
100.0,bra,1974
100.0,bra,1975
100.0,bra,1976
102.6,bra,1977
100.0,bra,1978
102.4,bra,1979
104.7,bra,1980
102.2,bra,1981
104.3,bra,1982
104.2,bra,1983
104.1,bra,1984
103.9,bra,1985
105.8,bra,1986
105.6,bra,1987
105.5,bra,1988
107.1,bra,1989
108.8,bra,1990
106.8,bra,1991
108.3,bra,1992
109.8,bra,1993
107.9,bra,1994
109.4,bra,1995
110.8,bra,1996
110.4,bra,1997
110.3,bra,1998
111.6,bra,1999
112.9,bra,2000
111.1,bra,2001
112.3,bra,2002
113.5,bra,2003
113.3,bra,2004
114.5,bra,2005
114.3,bra,2006
115.4,bra,2007
116.5,bra,2008
116.2,bra,2009
100.0,bgr,1970
100.0,bgr,1971
101.1,bgr,1972
101.1,bgr,1973
101.1,bgr,1974
102.2,bgr,1975
102.2,bgr,1976
102.1,bgr,1977
103.2,bgr,1978
104.2,bgr,1979
104.1,bgr,1980
105.1,bgr,1981
105.1,bgr,1982
105.0,bgr,1983
105.9,bgr,1984
105.9,bgr,1985
106.8,bgr,1986
106.7,bgr,1987
106.7,bgr,1988
106.6,bgr,1989
106.5,bgr,1990
106.5,bgr,1991
106.4,bgr,1992
106.4,bgr,1993
107.3,bgr,1994
107.2,bgr,1995
107.1,bgr,1996
107.1,bgr,1997
108.0,bgr,1998
107.9,bgr,1999
107.8,bgr,2000
108.7,bgr,2001
108.6,bgr,2002
108.5,bgr,2003
109.4,bgr,2004
108.5,bgr,2005
109.3,bgr,2006
109.2,bgr,2007
110.1,bgr,2008
110.0,bgr,2009
40.0,bfa,1970
33.33,bfa,1971
33.33,bfa,1972
33.33,bfa,1973
42.86,bfa,1974
42.86,bfa,1975
37.5,bfa,1976
37.5,bfa,1977
37.5,bfa,1978
44.44,bfa,1979
40.0,bfa,1980
40.0,bfa,1981
36.36,bfa,1982
45.45,bfa,1983
41.67,bfa,1984
41.67,bfa,1985
38.46,bfa,1986
42.86,bfa,1987
42.86,bfa,1988
40.0,bfa,1989
43.75,bfa,1990
43.75,bfa,1991
41.18,bfa,1992
47.06,bfa,1993
44.44,bfa,1994
42.11,bfa,1995
47.37,bfa,1996
45.0,bfa,1997
47.62,bfa,1998
47.62,bfa,1999
50.0,bfa,2000
47.83,bfa,2001
47.83,bfa,2002
50.0,bfa,2003
48.0,bfa,2004
52.0,bfa,2005
50.0,bfa,2006
51.85,bfa,2007
51.85,bfa,2008
53.57,bfa,2009
46.15,bdi,1970
42.86,bdi,1971
46.67,bdi,1972
43.75,bdi,1973
47.06,bdi,1974
47.06,bdi,1975
50.0,bdi,1976
47.37,bdi,1977
50.0,bdi,1978
47.62,bdi,1979
52.38,bdi,1980
50.0,bdi,1981
52.17,bdi,1982
54.17,bdi,1983
54.17,bdi,1984
56.0,bdi,1985
57.69,bdi,1986
55.56,bdi,1987
59.26,bdi,1988
60.71,bdi,1989
58.62,bdi,1990
60.0,bdi,1991
63.33,bdi,1992
64.52,bdi,1993
62.5,bdi,1994
63.64,bdi,1995
66.67,bdi,1996
67.65,bdi,1997
65.71,bdi,1998
66.67,bdi,1999
69.44,bdi,2000
70.27,bdi,2001
71.05,bdi,2002
69.23,bdi,2003
71.79,bdi,2004
72.5,bdi,2005
73.17,bdi,2006
75.61,bdi,2007
73.81,bdi,2008
76.19,bdi,2009
46.15,khm,1970
48.15,khm,1971
50.0,khm,1972
48.28,khm,1973
50.0,khm,1974
50.0,khm,1975
48.48,khm,1976
50.0,khm,1977
51.43,khm,1978
52.78,khm,1979
54.05,khm,1980
52.63,khm,1981
53.85,khm,1982
55.0,khm,1983
56.1,khm,1984
58.54,khm,1985
59.52,khm,1986
60.47,khm,1987
59.09,khm,1988
60.0,khm,1989
60.87,khm,1990
61.7,khm,1991
63.83,khm,1992
64.58,khm,1993
65.31,khm,1994
66.0,khm,1995
66.67,khm,1996
68.63,khm,1997
69.23,khm,1998
69.81,khm,1999
70.37,khm,2000
70.91,khm,2001
71.43,khm,2002
73.21,khm,2003
73.68,khm,2004
74.14,khm,2005
74.58,khm,2006
76.27,khm,2007
76.67,khm,2008
78.33,khm,2009
45.16,cmr,1970
45.45,cmr,1971
44.12,cmr,1972
44.44,cmr,1973
45.95,cmr,1974
47.37,cmr,1975
47.5,cmr,1976
48.78,cmr,1977
48.84,cmr,1978
51.11,cmr,1979
52.17,cmr,1980
52.08,cmr,1981
55.1,cmr,1982
56.86,cmr,1983
56.6,cmr,1984
59.26,cmr,1985
60.71,cmr,1986
61.4,cmr,1987
62.71,cmr,1988
63.33,cmr,1989
64.52,cmr,1990
65.08,cmr,1991
67.19,cmr,1992
66.67,cmr,1993
68.66,cmr,1994
69.12,cmr,1995
71.01,cmr,1996
71.43,cmr,1997
72.22,cmr,1998
72.6,cmr,1999
74.32,cmr,2000
74.67,cmr,2001
76.32,cmr,2002
76.62,cmr,2003
77.92,cmr,2004
78.21,cmr,2005
79.75,cmr,2006
80.0,cmr,2007
81.25,cmr,2008
81.48,cmr,2009
100.0,can,1970
99.02,can,1971
100.0,can,1972
100.0,can,1973
100.0,can,1974
100.0,can,1975
100.0,can,1976
100.0,can,1977
100.0,can,1978
100.8,can,1979
100.8,can,1980
100.8,can,1981
100.0,can,1982
100.8,can,1983
100.8,can,1984
100.8,can,1985
100.8,can,1986
100.8,can,1987
100.8,can,1988
100.8,can,1989
100.7,can,1990
100.7,can,1991
100.7,can,1992
101.5,can,1993
102.2,can,1994
101.4,can,1995
101.4,can,1996
101.4,can,1997
101.4,can,1998
102.1,can,1999
102.1,can,2000
102.1,can,2001
102.1,can,2002
102.1,can,2003
102.1,can,2004
102.1,can,2005
102.1,can,2006
102.1,can,2007
102.0,can,2008
102.0,can,2009
57.89,cpv,1970
60.0,cpv,1971
57.14,cpv,1972
59.09,cpv,1973
56.52,cpv,1974
58.33,cpv,1975
60.0,cpv,1976
61.54,cpv,1977
59.26,cpv,1978
60.71,cpv,1979
60.0,cpv,1980
61.29,cpv,1981
62.5,cpv,1982
63.64,cpv,1983
65.71,cpv,1984
66.67,cpv,1985
70.27,cpv,1986
69.23,cpv,1987
70.0,cpv,1988
73.17,cpv,1989
72.09,cpv,1990
75.0,cpv,1991
77.78,cpv,1992
78.26,cpv,1993
79.17,cpv,1994
79.59,cpv,1995
82.0,cpv,1996
82.35,cpv,1997
84.62,cpv,1998
84.91,cpv,1999
87.04,cpv,2000
85.71,cpv,2001
87.72,cpv,2002
87.93,cpv,2003
89.83,cpv,2004
91.53,cpv,2005
91.67,cpv,2006
93.44,cpv,2007
93.55,cpv,2008
93.65,cpv,2009
23.81,caf,1970
27.27,caf,1971
26.09,caf,1972
25.0,caf,1973
28.0,caf,1974
26.92,caf,1975
29.63,caf,1976
27.59,caf,1977
30.0,caf,1978
29.03,caf,1979
30.3,caf,1980
32.35,caf,1981
31.43,caf,1982
32.43,caf,1983
34.21,caf,1984
35.0,caf,1985
36.59,caf,1986
38.1,caf,1987
39.53,caf,1988
40.91,caf,1989
42.22,caf,1990
43.48,caf,1991
44.68,caf,1992
45.83,caf,1993
46.94,caf,1994
48.0,caf,1995
49.02,caf,1996
50.0,caf,1997
50.94,caf,1998
51.85,caf,1999
52.73,caf,2000
55.36,caf,2001
56.14,caf,2002
56.9,caf,2003
57.63,caf,2004
59.32,caf,2005
60.0,caf,2006
60.66,caf,2007
61.29,caf,2008
62.9,caf,2009
20.0,tcd,1970
20.0,tcd,1971
18.18,tcd,1972
18.18,tcd,1973
16.67,tcd,1974
16.67,tcd,1975
15.38,tcd,1976
14.29,tcd,1977
14.29,tcd,1978
20.0,tcd,1979
18.75,tcd,1980
18.75,tcd,1981
17.65,tcd,1982
22.22,tcd,1983
21.05,tcd,1984
20.0,tcd,1985
19.05,tcd,1986
23.81,tcd,1987
22.73,tcd,1988
21.74,tcd,1989
25.0,tcd,1990
24.0,tcd,1991
23.08,tcd,1992
25.93,tcd,1993
25.0,tcd,1994
28.57,tcd,1995
27.59,tcd,1996
26.67,tcd,1997
29.03,tcd,1998
28.12,tcd,1999
30.3,tcd,2000
29.41,tcd,2001
31.43,tcd,2002
30.56,tcd,2003
30.56,tcd,2004
32.43,tcd,2005
31.58,tcd,2006
33.33,tcd,2007
33.33,tcd,2008
35.0,tcd,2009
100.0,chl,1970
100.0,chl,1971
100.0,chl,1972
100.0,chl,1973
100.0,chl,1974
100.0,chl,1975
100.0,chl,1976
100.0,chl,1977
100.0,chl,1978
100.0,chl,1979
100.0,chl,1980
100.0,chl,1981
100.0,chl,1982
100.0,chl,1983
100.0,chl,1984
100.0,chl,1985
100.0,chl,1986
101.1,chl,1987
100.0,chl,1988
101.0,chl,1989
101.0,chl,1990
101.0,chl,1991
101.0,chl,1992
101.0,chl,1993
101.0,chl,1994
101.0,chl,1995
101.9,chl,1996
101.9,chl,1997
101.9,chl,1998
102.8,chl,1999
101.8,chl,2000
101.8,chl,2001
101.8,chl,2002
102.7,chl,2003
102.6,chl,2004
102.6,chl,2005
102.6,chl,2006
102.6,chl,2007
103.4,chl,2008
103.4,chl,2009
57.14,chn,1970
59.09,chn,1971
58.7,chn,1972
61.7,chn,1973
61.22,chn,1974
64.0,chn,1975
65.38,chn,1976
64.81,chn,1977
67.27,chn,1978
68.42,chn,1979
70.69,chn,1980
70.0,chn,1981
72.13,chn,1982
73.02,chn,1983
75.0,chn,1984
75.38,chn,1985
76.12,chn,1986
77.94,chn,1987
78.26,chn,1988
80.0,chn,1989
80.28,chn,1990
80.82,chn,1991
82.43,chn,1992
84.0,chn,1993
84.21,chn,1994
85.71,chn,1995
87.18,chn,1996
88.61,chn,1997
88.75,chn,1998
90.12,chn,1999
91.46,chn,2000
91.57,chn,2001
92.86,chn,2002
94.12,chn,2003
95.29,chn,2004
96.51,chn,2005
97.7,chn,2006
98.85,chn,2007
100.0,chn,2008
100.0,chn,2009
95.56,col,1970
95.74,col,1971
95.83,col,1972
94.0,col,1973
96.08,col,1974
96.15,col,1975
96.23,col,1976
96.36,col,1977
96.43,col,1978
96.49,col,1979
98.28,col,1980
98.31,col,1981
96.72,col,1982
96.77,col,1983
96.83,col,1984
98.44,col,1985
98.46,col,1986
98.48,col,1987
98.51,col,1988
98.53,col,1989
98.55,col,1990
100.0,col,1991
100.0,col,1992
100.0,col,1993
101.4,col,1994
101.4,col,1995
101.4,col,1996
101.3,col,1997
102.7,col,1998
102.6,col,1999
102.6,col,2000
102.6,col,2001
102.5,col,2002
103.8,col,2003
103.8,col,2004
103.7,col,2005
104.9,col,2006
104.9,col,2007
104.8,col,2008
106.0,col,2009
37.5,com,1970
35.29,com,1971
38.89,com,1972
36.84,com,1973
36.84,com,1974
40.0,com,1975
38.1,com,1976
40.91,com,1977
39.13,com,1978
41.67,com,1979
40.0,com,1980
42.31,com,1981
42.86,com,1982
44.83,com,1983
45.16,com,1984
46.88,com,1985
50.0,com,1986
50.0,com,1987
54.05,com,1988
53.85,com,1989
57.5,com,1990
57.14,com,1991
60.47,com,1992
60.0,com,1993
63.04,com,1994
64.58,com,1995
65.31,com,1996
66.67,com,1997
69.23,com,1998
68.52,com,1999
70.91,com,2000
73.21,com,2001
74.14,com,2002
74.58,com,2003
76.67,com,2004
77.42,com,2005
77.78,com,2006
79.69,com,2007
80.0,com,2008
81.82,com,2009
35.0,cod,1970
35.71,cod,1971
36.36,cod,1972
37.78,cod,1973
38.3,cod,1974
37.5,cod,1975
