geo,literacy_rate_youth_total_percent_of_people_ages_15_24,time
sgp,96.29,1980
sgp,98.97,1990
sgp,99.5,2000
sgp,99.75,2010
svn,99.76,1991
svn,99.83,2004
svn,99.85,2011
zaf,85.17,1980
zaf,93.91,1996
zaf,97.57,2007
zaf,98.78,2011
esp,98.64,1981
esp,99.55,1991
esp,99.54,2005
esp,99.57,2007
esp,99.56,2008
esp,99.6,2009
esp,99.59,2010
lka,91.04,1981
lka,95.59,2001
lka,97.48,2006
lka,97.98,2008
lka,98.16,2010
sdn,78.16,2000
sdn,87.29,2011
sur,94.88,2004
sur,99.42,2008
sur,98.38,2010
swz,75.45,1976
swz,83.75,1986
swz,91.86,2000
swz,93.74,2011
syr,74.28,1981
syr,95.19,2002
syr,92.45,2004
syr,95.28,2011
tjk,99.7,1989
tjk,99.85,2000
tjk,99.87,2011
tza,81.75,1988
tza,78.4,2002
tza,74.56,2010
tha,96.87,1980
tha,97.98,2000
tha,98.05,2005
tls,79.53,2010
tgo,74.44,2000
tgo,76.45,2006
tgo,81.74,2009
tgo,79.89,2011
ton,99.82,1976
ton,99.31,1996
ton,99.42,2006
tto,99.22,1980
tto,99.3,1990
tto,99.49,2004
tto,99.57,2011
tun,74.28,1984
tun,82.79,1994
tun,94.34,2004
tun,96.3,2007
tun,96.79,2008
tun,97.17,2010
tur,80.05,1975
tur,84.69,1980
tur,90.9,1985
tur,92.54,1990
tur,95.6,2004
tur,96.12,2005
tur,96.18,2006
tur,96.36,2007
tur,97.81,2009
tur,98.22,2010
tur,98.71,2011
tkm,99.81,1995
tkm,99.83,2011
uga,69.8,1991
uga,80.79,2002
uga,84.07,2006
uga,87.41,2010
ukr,99.8,2001
ukr,99.78,2011
are,63.05,1975
are,82.47,1985
are,95.01,2005
ury,98.3,1975
ury,98.63,1985
ury,98.58,1996
ury,98.71,2006
ury,98.76,2007
ury,98.97,2008
ury,99.05,2009
ury,98.78,2010
uzb,99.87,2000
uzb,99.94,2011
vut,71.83,1979
vut,86.25,1994
vut,91.99,2004
vut,94.6,2011
ven,93.11,1981
ven,95.44,1990
ven,97.2,2001
ven,98.4,2007
ven,98.53,2009
pse,97.05,1997
pse,98.94,2004
pse,99.09,2006
pse,99.06,2007
pse,99.15,2008
pse,99.23,2009
pse,99.24,2010
pse,99.31,2011
vnm,95.03,1979
vnm,93.73,1989
vnm,93.88,1999
vnm,94.84,2000
vnm,97.07,2011
yem,60.22,1994
yem,76.93,2004
yem,86.37,2011
zmb,66.38,1990
zmb,69.46,1999
zmb,69.09,2002
zmb,64.05,2007
zwe,89.02,1982
zwe,95.41,1992
zwe,90.93,2011
