geo,aged_25_54_labour_force_participation_rate_percent,time
btn,67.4,1983
btn,66.9,1984
btn,66.4,1985
btn,66.1,1986
btn,65.9,1987
btn,65.6,1988
btn,65.3,1989
btn,64.8,1990
btn,64.1,1991
btn,63.1,1992
btn,62.2,1993
btn,61.2,1994
btn,60.5,1995
btn,60.0,1996
btn,59.8,1997
btn,59.9,1998
btn,60.4,1999
btn,61.5,2000
btn,63.2,2001
btn,65.3,2002
btn,67.7,2003
btn,69.9,2004
btn,71.9,2005
btn,73.5,2006
btn,75.5,2007
bol,68.7,1980
bol,68.6,1981
bol,68.9,1982
bol,69.3,1983
bol,69.6,1984
bol,69.9,1985
bol,71.0,1986
bol,72.3,1987
bol,72.7,1988
bol,73.0,1989
bol,73.4,1990
bol,74.9,1991
bol,76.4,1992
bol,77.8,1993
bol,79.2,1994
bol,80.4,1995
bol,81.3,1996
bol,82.6,1997
bol,82.9,1998
bol,83.2,1999
bol,83.5,2000
bol,84.1,2001
bol,84.7,2002
bol,85.4,2003
bol,86.2,2004
bol,87.1,2005
bol,88.0,2006
bol,88.0,2007
bih,92.0,1980
bih,92.1,1981
bih,92.1,1982
bih,92.2,1983
bih,92.3,1984
bih,92.4,1985
bih,92.5,1986
bih,92.6,1987
bih,92.7,1988
bih,92.8,1989
bih,92.8,1990
bih,81.4,1991
bih,80.9,1992
bih,80.9,1993
bih,81.2,1994
bih,83.1,1995
bih,86.0,1996
bih,86.6,1997
bih,86.5,1998
bih,86.5,1999
bih,86.5,2000
bih,86.5,2001
bih,86.6,2002
bih,86.6,2003
bih,86.6,2004
bih,86.7,2005
bih,86.7,2006
bih,86.7,2007
bwa,68.2,1980
bwa,68.2,1981
bwa,68.5,1982
bwa,68.8,1983
bwa,69.1,1984
bwa,69.5,1985
bwa,69.8,1986
bwa,70.1,1987
bwa,70.5,1988
bwa,70.8,1989
bwa,71.1,1990
bwa,71.5,1991
bwa,72.0,1992
bwa,72.3,1993
bwa,72.5,1994
bwa,72.5,1995
bwa,72.3,1996
bwa,75.7,1997
bwa,77.9,1998
bwa,76.7,1999
bwa,75.3,2000
bwa,72.8,2001
bwa,73.3,2002
bwa,73.4,2003
bwa,73.6,2004
bwa,73.9,2005
bwa,74.1,2006
bwa,73.9,2007
bra,64.8,1980
bra,65.1,1981
bra,65.4,1982
bra,65.4,1983
bra,65.6,1984
bra,65.8,1985
bra,65.9,1986
bra,66.4,1987
bra,66.7,1988
bra,67.2,1989
bra,67.6,1990
bra,68.7,1991
bra,69.8,1992
bra,70.8,1993
bra,71.9,1994
bra,73.0,1995
bra,73.9,1996
bra,75.1,1997
bra,76.3,1998
bra,77.4,1999
bra,78.2,2000
bra,78.9,2001
bra,79.8,2002
bra,80.1,2003
bra,80.9,2004
bra,81.3,2005
bra,81.5,2006
bra,82.3,2007
brn,69.0,1980
brn,69.4,1981
brn,70.3,1982
brn,71.1,1983
brn,71.9,1984
brn,72.8,1985
brn,73.9,1986
brn,75.0,1987
brn,76.1,1988
brn,77.1,1989
brn,78.1,1990
brn,79.0,1991
brn,79.5,1992
brn,79.8,1993
brn,80.2,1994
brn,80.5,1995
brn,80.8,1996
brn,81.1,1997
brn,81.4,1998
brn,81.6,1999
brn,81.8,2000
brn,82.1,2001
brn,82.1,2002
brn,82.1,2003
brn,82.2,2004
brn,82.4,2005
brn,82.7,2006
brn,82.8,2007
bgr,94.4,1980
bgr,94.4,1981
bgr,94.3,1982
bgr,94.3,1983
bgr,94.2,1984
bgr,94.2,1985
bgr,93.9,1986
bgr,93.7,1987
bgr,93.5,1988
bgr,93.3,1989
bgr,93.2,1990
bgr,91.9,1991
bgr,91.7,1992
bgr,90.8,1993
bgr,89.6,1994
bgr,88.3,1995
bgr,86.8,1996
bgr,85.1,1997
bgr,83.2,1998
bgr,81.2,1999
bgr,78.9,2000
bgr,82.0,2001
bgr,81.1,2002
bgr,78.9,2003
bgr,79.6,2004
bgr,79.9,2005
bgr,81.9,2006
bgr,79.0,2007
bfa,88.6,1980
bfa,88.6,1981
bfa,88.7,1982
bfa,88.6,1983
bfa,88.5,1984
bfa,88.6,1985
bfa,89.0,1986
bfa,89.4,1987
bfa,89.8,1988
bfa,90.1,1989
bfa,90.4,1990
bfa,90.7,1991
bfa,90.6,1992
bfa,90.7,1993
bfa,90.7,1994
bfa,90.7,1995
bfa,90.9,1996
bfa,91.0,1997
bfa,90.9,1998
bfa,91.1,1999
bfa,91.1,2000
bfa,91.2,2001
bfa,91.3,2002
bfa,91.5,2003
bfa,91.6,2004
bfa,91.7,2005
bfa,91.9,2006
bfa,91.9,2007
bdi,95.5,1980
bdi,95.5,1981
bdi,95.6,1982
bdi,95.6,1983
bdi,95.7,1984
bdi,95.7,1985
bdi,95.7,1986
bdi,96.3,1987
bdi,96.7,1988
bdi,97.1,1989
bdi,97.3,1990
bdi,97.3,1991
bdi,97.2,1992
bdi,97.2,1993
bdi,97.2,1994
bdi,97.1,1995
bdi,97.0,1996
bdi,97.0,1997
bdi,97.0,1998
bdi,96.9,1999
bdi,96.9,2000
bdi,97.0,2001
bdi,97.0,2002
bdi,97.1,2003
bdi,97.1,2004
bdi,97.1,2005
bdi,97.2,2006
bdi,97.2,2007
khm,89.4,1980
khm,89.5,1981
khm,89.5,1982
khm,89.7,1983
khm,89.8,1984
khm,89.8,1985
khm,89.9,1986
khm,90.0,1987
khm,90.1,1988
khm,90.3,1989
khm,90.4,1990
khm,90.5,1991
khm,90.6,1992
khm,90.7,1993
khm,90.9,1994
khm,91.0,1995
khm,91.1,1996
khm,90.7,1997
khm,90.4,1998
khm,90.0,1999
khm,89.7,2000
khm,89.3,2001
khm,88.8,2002
khm,88.3,2003
khm,87.8,2004
khm,87.9,2005
khm,88.0,2006
khm,87.1,2007
cmr,79.0,1980
cmr,79.5,1981
cmr,79.4,1982
cmr,79.4,1983
cmr,79.2,1984
cmr,78.9,1985
cmr,78.9,1986
cmr,78.7,1987
cmr,78.3,1988
cmr,78.2,1989
cmr,77.9,1990
cmr,77.8,1991
cmr,77.6,1992
cmr,77.4,1993
cmr,77.3,1994
cmr,77.4,1995
cmr,77.6,1996
cmr,77.8,1997
cmr,78.0,1998
cmr,78.3,1999
cmr,78.5,2000
cmr,78.7,2001
cmr,78.8,2002
cmr,78.9,2003
cmr,79.0,2004
cmr,79.1,2005
cmr,79.3,2006
cmr,79.4,2007
can,77.4,1980
can,78.8,1981
can,78.7,1982
can,79.4,1983
can,80.1,1984
can,81.1,1985
can,82.0,1986
can,82.7,1987
can,83.4,1988
can,84.1,1989
can,84.3,1990
can,84.2,1991
can,83.4,1992
can,83.6,1993
can,83.4,1994
can,83.3,1995
can,83.4,1996
can,83.9,1997
can,84.3,1998
can,84.7,1999
can,84.8,2000
can,85.1,2001
can,85.9,2002
can,86.4,2003
can,86.6,2004
can,86.3,2005
can,86.2,2006
can,87.1,2007
cpv,65.2,1980
cpv,65.0,1981
cpv,65.0,1982
cpv,64.9,1983
cpv,64.9,1984
cpv,65.1,1985
cpv,65.4,1986
cpv,65.6,1987
cpv,66.0,1988
cpv,66.4,1989
cpv,66.7,1990
cpv,67.1,1991
cpv,67.6,1992
cpv,68.4,1993
cpv,69.1,1994
cpv,69.9,1995
cpv,70.4,1996
cpv,71.1,1997
cpv,71.7,1998
cpv,72.5,1999
cpv,73.1,2000
cpv,73.5,2001
cpv,73.9,2002
cpv,74.4,2003
cpv,74.6,2004
cpv,75.4,2005
cpv,75.9,2006
cpv,77.2,2007
caf,86.3,1980
caf,86.2,1981
caf,86.4,1982
caf,86.0,1983
caf,86.2,1984
caf,86.2,1985
caf,86.2,1986
caf,85.8,1987
caf,85.7,1988
caf,85.7,1989
caf,85.4,1990
caf,85.3,1991
caf,85.0,1992
