geo,income_share_of_poorest_20percent,time
est,9.99,1988
est,6.41,1993
est,8.0,1995
est,6.82,1998
est,6.57,2000
est,6.62,2002
est,6.82,2004
eth,8.56,1982
eth,7.17,1995
eth,9.16,2000
eth,9.28,2005
fin,9.62,2000
fra,7.18,1995
gab,6.07,2005
gmb,4.02,1998
gmb,4.79,2003
geo,6.1,1996
geo,5.96,1999
geo,5.6,2002
geo,5.36,2005
deu,8.521,2000
gha,6.97,1988
gha,6.99,1989
gha,6.69,1992
gha,5.56,1998
gha,5.24,2006
grc,6.746,2000
gtm,2.76,1987
gtm,2.15,1989
gtm,3.14,1998
gtm,3.37,2000
gtm,2.88,2002
gtm,3.44,2006
gin,3.09,1991
gin,6.4,1994
gin,5.75,2003
gnb,2.06,1991
gnb,5.15,1993
gnb,7.23,2002
guy,4.36,1993
guy,4.47,1998
hti,2.53,2001
hnd,2.82,1990
hnd,2.96,1992
hnd,3.09,1994
hnd,3.28,1997
hnd,3.32,1999
hnd,3.46,2003
hnd,2.4,2005
hnd,2.45,2006
hkg,5.259,1996
hun,11.42,1987
hun,10.32,1989
hun,9.72,1993
hun,9.91,1998
hun,9.49,1999
hun,9.55,2002
hun,8.57,2004
ind,8.08,2005
idn,7.15,2005
irn,4.51,1986
irn,5.15,1990
irn,5.45,1994
irn,5.09,1998
irn,6.41,2005
irl,7.443,2000
isr,5.707,2001
ita,6.496,2000
jam,5.37,1988
jam,5.77,1990
jam,6.75,1993
jam,6.36,1996
jam,5.39,1999
jam,4.58,2002
jam,5.16,2004
jpn,10.58,1993
jor,7.24,1987
jor,5.91,1992
jor,7.46,1997
jor,6.59,2003
jor,7.21,2006
kaz,9.48,1988
kaz,7.49,1993
kaz,6.71,1996
kaz,8.08,2001
kaz,7.15,2002
kaz,7.36,2003
ken,3.39,1992
ken,5.61,1994
ken,5.97,1997
ken,4.7,2005
kor,7.905,1998
kgz,10.58,1988
kgz,2.51,1993
kgz,7.16,1998
kgz,7.48,1999
kgz,8.35,2002
kgz,8.11,2004
lao,9.27,1992
lao,8.12,1997
lao,8.57,2002
lao,8.51,2003
lva,10.44,1988
lva,9.5,1993
lva,7.65,1996
lva,7.33,1998
lva,6.95,2002
lva,6.83,2004
lso,2.87,1987
lso,2.61,1993
lso,1.48,1995
lso,2.97,2003
lbr,6.44,2007
ltu,10.56,1988
ltu,7.98,1993
ltu,7.83,1996
ltu,8.22,1998
ltu,7.72,2002
ltu,6.79,2004
lux,8.432,2000
mkd,8.48,1998
mkd,6.73,2000
mkd,6.04,2002
mkd,6.08,2003
mdg,4.96,1980
mdg,5.12,1993
mdg,5.85,1999
mdg,4.94,2001
mdg,6.15,2005
mwi,4.84,1998
mwi,7.01,2004
mys,4.49,1984
mys,4.79,1987
mys,5.04,1989
mys,4.57,1992
mys,4.41,1995
mys,4.25,1997
mys,6.35,2004
mli,4.63,1994
mli,6.13,2001
mli,6.52,2006
mrt,4.22,1987
mrt,5.16,1993
mrt,6.39,1996
mrt,6.18,2000
mex,4.67,1984
mex,3.22,1989
mex,3.92,1992
