geo,government_share_of_total_health_spending_percent,time
kaz,52.34,1999
kaz,50.86,2000
kaz,56.55,2001
kaz,53.42,2002
kaz,54.45,2003
kaz,58.02,2004
kaz,61.93,2005
kaz,58.49,2006
kaz,52.16,2007
kaz,58.48,2008
kaz,59.21,2009
kaz,59.39,2010
ken,46.38,1995
ken,40.09,1996
ken,38.85,1997
ken,44.4,1998
ken,39.85,1999
ken,46.27,2000
ken,44.73,2001
ken,42.82,2002
ken,43.37,2003
ken,41.85,2004
ken,42.23,2005
ken,41.3,2006
ken,42.38,2007
ken,39.7,2008
ken,43.34,2009
ken,44.3,2010
kir,95.01,1995
kir,94.99,1996
kir,95.48,1997
kir,94.37,1998
kir,94.86,1999
kir,94.6,2000
kir,94.94,2001
kir,94.98,2002
kir,94.75,2003
kir,95.03,2004
kir,94.07,2005
kir,85.66,2006
kir,83.47,2007
kir,84.32,2008
kir,84.67,2009
kir,82.33,2010
kor,38.48,1995
kor,41.72,1996
kor,44.37,1997
kor,49.01,1998
kor,50.17,1999
kor,48.63,2000
kor,54.92,2001
kor,53.71,2002
kor,52.43,2003
kor,52.59,2004
kor,52.91,2005
kor,55.31,2006
kor,55.82,2007
kor,55.95,2008
kor,58.18,2009
kor,58.97,2010
kwt,81.87,1995
kwt,79.45,1996
kwt,79.88,1997
kwt,79.0,1998
kwt,79.38,1999
kwt,75.97,2000
kwt,81.38,2001
kwt,79.8,2002
kwt,80.23,2003
kwt,79.72,2004
kwt,79.8,2005
kwt,81.05,2006
kwt,78.68,2007
kwt,78.25,2008
kwt,85.44,2009
kwt,80.37,2010
kgz,57.62,1995
kgz,49.71,1996
kgz,51.77,1997
kgz,51.37,1998
kgz,48.48,1999
kgz,44.28,2000
kgz,41.14,2001
kgz,39.55,2002
kgz,37.89,2003
kgz,40.83,2004
kgz,40.89,2005
kgz,46.16,2006
kgz,49.15,2007
kgz,48.4,2008
kgz,53.04,2009
kgz,56.19,2010
lao,59.72,1995
lao,58.02,1996
lao,57.87,1997
lao,43.39,1998
lao,30.97,1999
lao,35.07,2000
lao,27.98,2001
lao,26.92,2002
lao,26.02,2003
lao,17.3,2004
lao,12.82,2005
lao,13.41,2006
lao,11.97,2007
lao,24.66,2008
lao,28.3,2009
lao,33.29,2010
lva,66.27,1995
lva,57.77,1996
lva,55.77,1997
lva,59.24,1998
lva,58.35,1999
lva,54.39,2000
lva,51.21,2001
lva,52.14,2002
lva,52.82,2003
lva,56.58,2004
lva,57.06,2005
lva,64.09,2006
lva,60.74,2007
lva,62.47,2008
lva,61.65,2009
lva,61.14,2010
lbn,28.32,1995
lbn,29.63,1996
lbn,30.24,1997
lbn,27.53,1998
lbn,29.07,1999
lbn,32.6,2000
lbn,37.33,2001
lbn,43.54,2002
lbn,40.56,2003
lbn,43.0,2004
lbn,45.63,2005
lbn,42.6,2006
lbn,41.62,2007
lbn,43.37,2008
lbn,41.91,2009
lbn,39.16,2010
lso,46.56,1995
lso,49.0,1996
lso,44.8,1997
lso,47.94,1998
lso,48.55,1999
lso,51.21,2000
lso,58.07,2001
lso,55.46,2002
lso,58.41,2003
lso,57.39,2004
lso,53.35,2005
lso,60.05,2006
lso,66.4,2007
lso,70.1,2008
lso,74.3,2009
lso,76.24,2010
lbr,27.83,1998
lbr,29.08,1999
lbr,26.44,2000
lbr,29.38,2001
lbr,21.54,2002
lbr,22.76,2003
lbr,25.87,2004
lbr,30.65,2005
lbr,27.81,2006
lbr,23.69,2007
lbr,33.0,2008
lbr,34.52,2009
lbr,32.54,2010
lby,49.59,1995
lby,48.77,1996
lby,45.09,1997
lby,52.02,1998
lby,50.2,1999
lby,57.21,2000
lby,64.59,2001
lby,64.76,2002
lby,63.54,2003
lby,63.05,2004
lby,61.78,2005
lby,61.05,2006
lby,65.88,2007
lby,70.32,2008
lby,66.12,2009
lby,68.78,2010
ltu,74.15,1995
ltu,70.4,1996
ltu,72.52,1997
ltu,75.95,1998
ltu,74.91,1999
ltu,69.71,2000
ltu,72.65,2001
ltu,74.92,2002
ltu,76.01,2003
ltu,67.55,2004
ltu,67.77,2005
ltu,69.51,2006
ltu,72.98,2007
ltu,72.4,2008
ltu,73.42,2009
ltu,73.49,2010
lux,92.44,1995
lux,92.81,1996
lux,92.48,1997
lux,92.42,1998
lux,89.79,1999
lux,85.07,2000
lux,84.25,2001
lux,85.53,2002
lux,84.22,2003
lux,84.81,2004
lux,84.92,2005
lux,85.13,2006
lux,84.12,2007
lux,84.05,2008
lux,84.02,2009
lux,84.41,2010
mkd,58.52,1995
mkd,58.64,1996
mkd,60.17,1997
mkd,63.99,1998
mkd,59.64,1999
mkd,57.5,2000
mkd,58.8,2001
mkd,58.79,2002
mkd,58.52,2003
mkd,59.52,2004
mkd,61.8,2005
mkd,65.08,2006
mkd,64.26,2007
mkd,68.19,2008
mkd,66.49,2009
mkd,63.75,2010
mdg,53.6,1995
mdg,59.14,1996
mdg,61.36,1997
mdg,60.34,1998
mdg,61.09,1999
mdg,66.49,2000
mdg,69.24,2001
mdg,67.13,2002
mdg,64.1,2003
mdg,65.38,2004
mdg,66.44,2005
mdg,66.97,2006
mdg,66.23,2007
mdg,68.7,2008
mdg,64.53,2009
mdg,60.28,2010
mwi,37.92,1995
mwi,27.09,1996
mwi,31.01,1997
mwi,33.74,1998
mwi,34.94,1999
mwi,45.84,2000
mwi,43.78,2001
mwi,60.39,2002
mwi,72.13,2003
mwi,73.14,2004
mwi,73.92,2005
mwi,68.89,2006
mwi,64.33,2007
mwi,62.44,2008
mwi,65.15,2009
mwi,60.18,2010
mys,60.19,1995
mys,61.57,1996
mys,59.26,1997
mys,59.23,1998
mys,58.95,1999
mys,58.96,2000
mys,61.01,2001
mys,59.81,2002
mys,61.66,2003
mys,57.0,2004
mys,52.03,2005
mys,55.85,2006
mys,54.7,2007
mys,55.2,2008
mys,55.71,2009
mys,55.51,2010
mdv,61.34,1995
mdv,57.0,1996
mdv,55.95,1997
mdv,55.61,1998
mdv,57.37,1999
mdv,58.49,2000
mdv,58.07,2001
mdv,58.07,2002
mdv,52.22,2003
mdv,56.3,2004
mdv,64.29,2005
mdv,65.16,2006
mdv,65.37,2007
mdv,69.38,2008
mdv,60.67,2009
mdv,60.49,2010
mli,52.26,1995
mli,39.58,1996
mli,36.12,1997
mli,34.45,1998
mli,30.08,1999
mli,32.89,2000
mli,44.93,2001
mli,40.19,2002
mli,44.11,2003
mli,49.23,2004
mli,46.51,2005
mli,48.2,2006
mli,48.02,2007
mli,46.5,2008
mli,47.24,2009
mli,46.58,2010
mlt,67.51,1995
mlt,68.42,1996
mlt,69.53,1997
mlt,70.3,1998
mlt,69.83,1999
mlt,72.47,2000
mlt,69.39,2001
mlt,69.6,2002
mlt,69.96,2003
mlt,68.41,2004
mlt,68.63,2005
mlt,69.29,2006
mlt,66.87,2007
mlt,64.89,2008
mlt,64.79,2009
mlt,65.48,2010
mhl,82.79,1995
mhl,85.63,1996
mhl,86.4,1997
mhl,85.36,1998
mhl,85.46,1999
mhl,87.96,2000
mhl,85.98,2001
mhl,85.08,2002
mhl,83.17,2003
mhl,83.47,2004
mhl,82.76,2005
mhl,83.57,2006
mhl,83.52,2007
mhl,82.1,2008
mhl,83.97,2009
mhl,83.23,2010
mrt,59.03,1995
mrt,48.86,1996
mrt,50.9,1997
mrt,59.55,1998
mrt,67.67,1999
mrt,66.5,2000
mrt,59.89,2001
mrt,66.61,2002
mrt,63.54,2003
mrt,65.13,2004
mrt,62.73,2005
mrt,62.15,2006
mrt,57.9,2007
mrt,51.56,2008
mrt,52.77,2009
mrt,53.11,2010
mus,54.69,1995
mus,54.07,1996
mus,54.23,1997
mus,54.73,1998
mus,54.02,1999
mus,52.05,2000
mus,51.84,2001
mus,51.48,2002
mus,54.24,2003
mus,54.73,2004
mus,47.66,2005
mus,41.86,2006
mus,36.13,2007
mus,33.89,2008
mus,37.13,2009
mus,41.7,2010
mex,42.13,1995
mex,41.41,1996
mex,44.71,1997
mex,46.02,1998
mex,47.81,1999
mex,46.56,2000
mex,44.81,2001
mex,43.83,2002
mex,44.17,2003
mex,45.16,2004
mex,45.03,2005
mex,45.22,2006
mex,45.4,2007
mex,46.98,2008
mex,48.34,2009
fsm,95.17,1995
fsm,94.54,1996
fsm,93.83,1997
fsm,93.06,1998
fsm,93.61,1999
fsm,93.85,2000
fsm,94.41,2001
fsm,93.94,2002
fsm,94.9,2003
fsm,95.33,2004
fsm,93.39,2005
fsm,92.54,2006
fsm,92.87,2007
fsm,90.37,2008
fsm,90.7,2009
fsm,91.16,2010
mda,64.24,1995
mda,65.34,1996
mda,64.26,1997
mda,56.23,1998
mda,49.29,1999
mda,48.55,2000
mda,45.09,2001
mda,50.1,2002
mda,47.61,2003
mda,49.29,2004
mda,45.62,2005
mda,44.41,2006
mda,45.2,2007
mda,47.23,2008
mda,48.52,2009
mda,45.79,2010
mco,89.54,1995
mco,89.54,1996
mco,89.23,1997
mco,88.12,1998
mco,87.56,1999
mco,87.1,2000
mco,87.4,2001
mco,87.18,2002
mco,88.12,2003
mco,88.05,2004
mco,88.19,2005
mco,87.97,2006
mco,87.33,2007
mco,87.71,2008
mco,87.97,2009
mco,88.05,2010
mng,79.48,1995
mng,83.44,1996
mng,82.18,1997
mng,83.12,1998
mng,82.45,1999
mng,81.89,2000
mng,84.23,2001
mng,78.61,2002
mng,79.33,2003
mng,85.82,2004
mng,78.92,2005
mng,72.11,2006
mng,65.98,2007
mng,56.57,2008
mng,54.85,2009
mng,55.09,2010
mne,71.01,1995
mne,70.85,1996
mne,71.14,1997
mne,71.02,1998
mne,70.48,1999
mne,69.06,2000
mne,70.49,2001
mne,68.6,2002
mne,72.97,2003
mne,71.92,2004
mne,69.22,2005
mne,68.05,2006
mne,69.23,2007
mne,70.41,2008
mne,71.29,2009
mne,67.17,2010
mar,32.23,1995
mar,31.87,1996
mar,27.98,1997
mar,29.22,1998
mar,28.84,1999
mar,29.42,2000
mar,32.17,2001
mar,25.97,2002
mar,26.56,2003
mar,27.41,2004
mar,28.37,2005
mar,32.76,2006
mar,36.31,2007
mar,36.87,2008
mar,38.75,2009
mar,37.96,2010
moz,67.14,1995
moz,60.88,1996
moz,64.87,1997
moz,65.19,1998
moz,68.81,1999
moz,72.38,2000
moz,72.49,2001
moz,75.17,2002
moz,72.84,2003
moz,69.68,2004
moz,74.46,2005
moz,72.84,2006
moz,73.26,2007
moz,71.27,2008
moz,73.05,2009
moz,71.74,2010
mmr,18.88,1995
mmr,15.75,1996
mmr,13.92,1997
mmr,10.09,1998
mmr,10.52,1999
mmr,13.44,2000
mmr,11.8,2001
mmr,15.24,2002
mmr,12.33,2003
mmr,13.51,2004
mmr,8.979,2005
mmr,14.38,2006
mmr,11.72,2007
mmr,11.03,2008
mmr,11.33,2009
mmr,12.18,2010
nam,70.99,1995
nam,72.36,1996
nam,71.35,1997
nam,72.44,1998
nam,73.33,1999
nam,68.92,2000
nam,56.26,2001
nam,58.01,2002
nam,57.06,2003
nam,49.55,2004
nam,48.91,2005
nam,43.46,2006
nam,54.38,2007
nam,54.57,2008
nam,54.97,2009
nam,58.38,2010
nru,78.35,1995
nru,81.91,1996
nru,83.31,1997
nru,85.97,1998
nru,83.02,1999
nru,81.48,2000
nru,80.66,2001
nru,79.91,2002
nru,74.92,2003
nru,81.2,2004
nru,75.73,2005
nru,77.29,2006
nru,83.37,2007
nru,74.58,2008
nru,68.49,2009
nru,68.51,2010
npl,17.29,1995
npl,17.42,1996
npl,20.62,1997
npl,23.02,1998
npl,19.56,1999
npl,21.72,2000
npl,28.58,2001
npl,28.16,2002
npl,26.54,2003
npl,29.14,2004
npl,31.38,2005
npl,37.33,2006
npl,33.52,2007
npl,37.12,2008
npl,38.1,2009
npl,34.59,2010
nld,71.04,1995
nld,66.18,1996
nld,67.82,1997
nld,64.15,1998
nld,62.71,1999
nld,63.08,2000
nld,62.81,2001
nld,62.46,2002
nld,61.17,2003
nld,59.83,2004
nld,60.5,2005
nld,75.63,2006
nld,75.2,2007
nld,75.3,2008
nld,79.04,2009
nld,79.23,2010
nzl,77.17,1995
nzl,76.68,1996
nzl,77.29,1997
nzl,77.03,1998
nzl,77.48,1999
nzl,78.02,2000
nzl,76.42,2001
nzl,77.9,2002
nzl,78.34,2003
nzl,79.63,2004
nzl,79.68,2005
nzl,80.07,2006
nzl,82.4,2007
nzl,82.84,2008
nzl,83.03,2009
nzl,83.22,2010
nic,64.4,1995
nic,59.21,1996
nic,48.91,1997
nic,49.27,1998
nic,45.79,1999
nic,53.46,2000
nic,53.92,2001
nic,52.41,2002
nic,56.61,2003
nic,55.33,2004
nic,56.46,2005
nic,54.85,2006
nic,54.85,2007
nic,54.85,2008
nic,54.8,2009
ner,39.87,1995
ner,37.48,1996
ner,43.89,1997
ner,43.75,1998
ner,43.7,1999
ner,43.81,2000
ner,48.65,2001
ner,48.94,2002
ner,46.35,2003
ner,47.17,2004
ner,49.99,2005
ner,52.5,2006
ner,49.64,2007
ner,51.83,2008
ner,50.28,2009
ner,50.88,2010
nga,25.55,1995
nga,20.76,1996
nga,23.51,1997
nga,26.14,1998
nga,29.12,1999
nga,33.46,2000
nga,31.35,2001
nga,25.58,2002
nga,22.4,2003
nga,32.69,2004
nga,29.17,2005
nga,33.98,2006
nga,39.57,2007
nga,41.17,2008
nga,35.06,2009
nga,37.89,2010
niu,98.39,1995
niu,98.67,1996
niu,98.47,1997
niu,98.35,1998
niu,98.59,1999
niu,98.45,2000
niu,99.64,2001
niu,98.6,2002
niu,98.91,2003
niu,99.15,2004
niu,99.05,2005
niu,99.22,2006
niu,99.24,2007
niu,99.26,2008
niu,99.3,2009
niu,99.3,2010
nor,80.29,1995
nor,80.9,1996
nor,81.31,1997
nor,82.19,1998
nor,82.56,1999
nor,82.5,2000
nor,83.56,2001
nor,83.48,2002
nor,83.71,2003
nor,83.56,2004
nor,83.5,2005
nor,83.78,2006
nor,84.1,2007
nor,84.29,2008
nor,84.1,2009
nor,83.9,2010
omn,83.96,1995
omn,83.94,1996
omn,82.97,1997
omn,81.56,1998
omn,81.66,1999
omn,81.75,2000
omn,82.06,2001
omn,83.51,2002
omn,82.89,2003
omn,81.92,2004
omn,82.35,2005
omn,80.59,2006
omn,80.16,2007
omn,76.39,2008
omn,78.78,2009
omn,80.13,2010
pak,25.68,1995
pak,27.12,1996
pak,25.05,1997
pak,20.13,1998
pak,19.04,1999
pak,21.25,2000
pak,20.48,2001
pak,28.17,2002
pak,23.33,2003
pak,24.67,2004
pak,25.56,2005
pak,29.99,2006
pak,30.68,2007
pak,33.48,2008
pak,34.84,2009
pak,38.48,2010
plw,77.01,1995
plw,79.03,1996
plw,78.37,1997
plw,71.58,1998
plw,70.1,1999
plw,66.29,2000
plw,80.37,2001
plw,80.84,2002
plw,83.78,2003
plw,81.64,2004
plw,79.43,2005
plw,80.83,2006
plw,78.44,2007
plw,77.27,2008
plw,77.95,2009
plw,77.31,2010
pan,67.96,1995
pan,64.44,1996
pan,68.47,1997
pan,66.71,1998
pan,66.28,1999
pan,68.07,2000
pan,67.08,2001
pan,69.05,2002
pan,66.37,2003
pan,70.35,2004
pan,69.56,2005
pan,67.43,2006
pan,64.2,2007
pan,69.13,2008
pan,74.77,2009
pan,75.1,2010
png,86.22,1995
png,86.02,1996
png,80.54,1997
png,83.14,1998
png,82.41,1999
png,81.74,2000
png,82.79,2001
png,79.73,2002
png,79.04,2003
png,80.54,2004
png,79.68,2005
png,77.64,2006
png,71.99,2007
png,75.48,2008
png,70.65,2009
png,71.55,2010
pry,35.96,1995
pry,41.71,1996
pry,39.22,1997
pry,44.88,1998
pry,44.61,1999
pry,39.88,2000
pry,34.86,2001
pry,33.19,2002
pry,33.11,2003
pry,34.8,2004
pry,37.95,2005
pry,41.07,2006
pry,40.45,2007
pry,40.92,2008
pry,39.01,2009
pry,36.41,2010
per,54.4,1995
per,54.71,1996
per,52.05,1997
per,56.01,1998
per,56.56,1999
per,58.7,2000
per,57.93,2001
per,57.62,2002
per,58.69,2003
per,58.8,2004
per,59.41,2005
per,56.3,2006
per,58.5,2007
per,62.3,2008
per,57.7,2009
per,54.02,2010
phl,39.53,1995
phl,40.98,1996
phl,43.05,1997
phl,42.93,1998
phl,44.2,1999
phl,47.57,2000
phl,44.17,2001
phl,40.01,2002
phl,40.23,2003
phl,39.81,2004
phl,39.23,2005
phl,35.38,2006
phl,34.77,2007
phl,32.38,2008
phl,35.12,2009
phl,35.34,2010
pol,72.89,1995
pol,73.39,1996
pol,71.96,1997
pol,65.38,1998
pol,71.13,1999
pol,70.03,2000
pol,71.9,2001
pol,71.16,2002
pol,69.91,2003
pol,68.58,2004
pol,69.3,2005
pol,69.9,2006
pol,70.84,2007
pol,72.24,2008
pol,72.32,2009
pol,72.62,2010
prt,62.62,1995
prt,65.25,1996
prt,65.69,1997
prt,67.11,1998
prt,67.56,1999
prt,66.02,2000
prt,66.12,2001
prt,67.84,2002
prt,67.97,2003
prt,67.12,2004
prt,67.07,2005
prt,66.11,2006
prt,65.74,2007
prt,65.09,2008
prt,67.84,2009
prt,68.15,2010
qat,62.64,1995
qat,66.94,1996
qat,68.69,1997
qat,66.6,1998
qat,67.19,1999
qat,68.8,2000
qat,72.22,2001
qat,72.27,2002
qat,82.1,2003
qat,81.75,2004
qat,81.34,2005
qat,80.68,2006
qat,80.16,2007
qat,79.47,2008
qat,78.42,2009
qat,77.45,2010
rou,68.69,1995
rou,64.58,1996
rou,69.82,1997
rou,61.89,1998
rou,65.49,1999
rou,67.69,2000
rou,65.89,2001
rou,66.67,2002
rou,84.8,2003
rou,75.07,2004
rou,80.85,2005
rou,79.86,2006
rou,82.29,2007
rou,82.05,2008
rou,78.98,2009
rou,78.11,2010
rus,73.88,1995
rus,71.44,1996
rus,70.79,1997
rus,65.09,1998
rus,61.86,1999
rus,59.88,2000
rus,58.66,2001
rus,58.95,2002
rus,58.81,2003
rus,59.58,2004
rus,61.98,2005
rus,63.23,2006
rus,64.18,2007
rus,64.31,2008
rus,63.35,2009
rus,62.08,2010
rwa,36.49,1995
rwa,40.3,1996
rwa,39.9,1997
rwa,48.36,1998
rwa,45.33,1999
rwa,39.17,2000
rwa,48.88,2001
rwa,52.27,2002
rwa,52.74,2003
rwa,53.57,2004
rwa,56.44,2005
rwa,46.46,2006
rwa,47.03,2007
rwa,47.39,2008
rwa,48.64,2009
rwa,50.07,2010
kna,59.35,1995
kna,58.5,1996
kna,58.2,1997
kna,59.8,1998
kna,56.82,1999
kna,60.41,2000
kna,59.66,2001
kna,57.32,2002
kna,56.48,2003
kna,53.39,2004
kna,54.64,2005
kna,57.72,2006
kna,52.97,2007
kna,48.87,2008
kna,49.1,2009
kna,60.57,2010
lca,64.12,1995
lca,64.48,1996
lca,60.69,1997
lca,61.82,1998
lca,61.59,1999
lca,61.91,2000
lca,61.66,2001
lca,59.46,2002
lca,54.54,2003
lca,56.5,2004
lca,52.62,2005
lca,48.67,2006
lca,47.53,2007
lca,51.08,2008
lca,62.97,2009
lca,60.5,2010
vct,84.79,1995
vct,84.62,1996
vct,82.59,1997
vct,81.07,1998
vct,83.31,1999
vct,82.17,2000
vct,80.88,2001
vct,82.17,2002
vct,82.06,2003
vct,81.18,2004
vct,80.85,2005
vct,81.97,2006
vct,82.13,2007
vct,84.8,2008
vct,84.32,2009
vct,86.45,2010
wsm,70.87,1995
wsm,74.44,1996
wsm,72.73,1997
wsm,75.06,1998
wsm,76.29,1999
wsm,76.75,2000
wsm,75.02,2001
wsm,80.0,2002
wsm,79.6,2003
wsm,81.94,2004
wsm,81.34,2005
wsm,84.96,2006
wsm,85.89,2007
wsm,85.76,2008
wsm,85.34,2009
wsm,87.66,2010
smr,86.66,1995
smr,86.42,1996
smr,85.2,1997
smr,85.37,1998
smr,86.01,1999
smr,85.97,2000
smr,86.02,2001
smr,89.19,2002
smr,85.75,2003
smr,86.56,2004
smr,85.72,2005
smr,85.37,2006
smr,85.57,2007
smr,85.17,2008
smr,85.36,2009
smr,85.36,2010
stp,32.19,1995
stp,24.01,1996
stp,31.23,1997
stp,34.64,1998
stp,40.56,1999
stp,38.08,2000
stp,36.9,2001
stp,36.44,2002
stp,51.15,2003
stp,46.57,2004
stp,52.91,2005
stp,46.27,2006
stp,44.21,2007
stp,42.97,2008
stp,40.13,2009
stp,38.26,2010
sau,52.07,1995
sau,54.6,1996
sau,57.34,1997
sau,58.21,1998
sau,67.94,1999
sau,71.65,2000
sau,72.14,2001
sau,71.91,2002
sau,71.98,2003
sau,71.66,2004
sau,72.76,2005
sau,73.3,2006
sau,70.76,2007
sau,64.6,2008
sau,62.39,2009
sau,62.86,2010
sen,32.53,1995
sen,36.34,1996
sen,34.94,1997
sen,35.3,1998
sen,37.0,1999
sen,36.82,2000
sen,37.16,2001
sen,38.52,2002
sen,38.74,2003
sen,37.47,2004
sen,55.34,2005
sen,57.2,2006
sen,56.09,2007
sen,54.15,2008
sen,54.47,2009
sen,55.49,2010
srb,70.93,1995
srb,70.93,1996
srb,71.85,1997
srb,70.1,1998
srb,70.04,1999
srb,69.99,2000
srb,68.47,2001
srb,72.65,2002
srb,70.94,2003
srb,68.85,2004
srb,66.0,2005
srb,63.0,2006
srb,61.37,2007
srb,61.98,2008
srb,61.86,2009
srb,61.87,2010
syc,85.15,1995
syc,87.61,1996
syc,86.25,1997
syc,84.24,1998
syc,84.0,1999
syc,82.7,2000
syc,85.14,2001
syc,87.14,2002
syc,89.9,2003
syc,91.97,2004
syc,93.2,2005
syc,93.42,2006
syc,92.06,2007
syc,92.49,2008
syc,92.72,2009
syc,91.87,2010
sle,9.414,1995
sle,9.057,1996
sle,11.23,1997
sle,9.351,1998
sle,11.48,1999
sle,13.25,2000
sle,14.26,2001
sle,14.51,2002
sle,29.06,2003
sle,10.69,2004
sle,12.58,2005
sle,11.51,2006
sle,7.236,2007
sle,9.547,2008
sle,10.51,2009
sle,11.33,2010
sgp,50.54,1995
sgp,48.99,1996
sgp,48.51,1997
sgp,54.15,1998
sgp,52.51,1999
sgp,51.35,2000
sgp,45.06,2001
sgp,37.24,2002
sgp,35.73,2003
sgp,30.69,2004
sgp,30.44,2005
sgp,30.07,2006
sgp,29.76,2007
sgp,31.91,2008
sgp,36.12,2009
sgp,36.3,2010
svk,88.52,1995
svk,88.68,1996
svk,91.68,1997
svk,91.59,1998
svk,89.64,1999
svk,89.39,2000
svk,89.29,2001
svk,89.06,2002
svk,88.32,2003
svk,73.77,2004
svk,74.4,2005
svk,68.32,2006
svk,66.85,2007
svk,67.76,2008
svk,65.69,2009
svk,65.85,2010
svn,77.7,1995
svn,76.18,1996
svn,75.03,1997
svn,75.52,1998
svn,75.66,1999
svn,74.01,2000
svn,73.29,2001
svn,73.37,2002
svn,71.88,2003
svn,73.11,2004
svn,72.15,2005
svn,72.27,2006
svn,72.26,2007
svn,73.44,2008
svn,73.41,2009
svn,73.66,2010
slb,92.81,1995
slb,92.21,1996
slb,92.8,1997
slb,92.88,1998
slb,93.17,1999
slb,94.57,2000
slb,95.87,2001
slb,95.81,2002
slb,91.97,2003
slb,91.67,2004
slb,94.09,2005
slb,92.75,2006
slb,92.4,2007
slb,91.16,2008
slb,93.53,2009
slb,93.39,2010
som,43.48,1995
som,44.44,1996
som,45.45,1997
som,46.11,1998
som,44.97,1999
som,44.79,2000
som,44.62,2001
zaf,39.3,1995
zaf,35.93,1996
zaf,38.79,1997
zaf,39.37,1998
zaf,39.31,1999
zaf,40.48,2000
zaf,39.47,2001
zaf,38.69,2002
zaf,39.46,2003
zaf,36.43,2004
zaf,38.3,2005
zaf,39.91,2006
zaf,40.83,2007
zaf,42.15,2008
zaf,43.77,2009
zaf,44.1,2010
esp,72.18,1995
esp,72.36,1996
esp,72.47,1997
esp,72.2,1998
esp,72.03,1999
esp,71.62,2000
esp,71.2,2001
esp,71.29,2002
esp,70.25,2003
esp,70.4,2004
esp,70.57,2005
esp,71.3,2006
esp,71.48,2007
esp,72.61,2008
esp,73.63,2009
esp,72.81,2010
lka,46.8,1995
lka,46.4,1996
lka,45.23,1997
lka,50.25,1998
lka,47.61,1999
lka,48.81,2000
lka,46.06,2001
lka,43.23,2002
lka,43.25,2003
lka,47.71,2004
lka,48.13,2005
lka,48.94,2006
lka,49.35,2007
lka,46.77,2008
lka,46.24,2009
lka,44.75,2010
sdn,13.48,1995
sdn,24.03,1996
sdn,22.4,1997
sdn,23.34,1998
sdn,19.71,1999
sdn,27.26,2000
sdn,27.63,2001
sdn,28.21,2002
sdn,29.69,2003
sdn,32.04,2004
sdn,34.37,2005
sdn,33.17,2006
sdn,33.22,2007
sdn,33.12,2008
sdn,27.52,2009
sdn,29.82,2010
sur,51.64,1995
sur,42.43,1996
sur,43.15,1997
sur,53.28,1998
sur,51.25,1999
sur,48.77,2000
sur,48.04,2001
sur,49.72,2002
sur,50.68,2003
sur,48.39,2004
sur,51.2,2005
sur,51.11,2006
sur,49.67,2007
sur,46.03,2008
sur,50.99,2009
sur,47.8,2010
swz,57.1,1995
swz,56.59,1996
swz,54.95,1997
swz,52.29,1998
swz,56.35,1999
swz,56.29,2000
swz,57.41,2001
swz,59.88,2002
swz,65.03,2003
swz,60.29,2004
swz,61.43,2005
swz,64.47,2006
swz,62.84,2007
swz,64.32,2008
swz,66.46,2009
swz,63.66,2010
swe,86.65,1995
swe,86.93,1996
swe,85.82,1997
swe,85.79,1998
swe,85.73,1999
swe,84.89,2000
swe,81.14,2001
swe,81.42,2002
swe,82.01,2003
swe,81.37,2004
swe,81.16,2005
swe,81.13,2006
swe,81.36,2007
swe,81.5,2008
swe,81.49,2009
swe,81.1,2010
che,53.56,1995
che,54.47,1996
che,54.95,1997
che,54.66,1998
che,55.14,1999
che,55.43,2000
che,56.93,2001
che,57.74,2002
che,58.35,2003
che,58.39,2004
che,59.46,2005
che,59.12,2006
che,59.27,2007
che,59.5,2008
che,59.72,2009
che,59.02,2010
syr,39.68,1995
syr,35.53,1996
syr,35.44,1997
syr,38.27,1998
syr,38.37,1999
syr,40.45,2000
syr,44.21,2001
syr,45.77,2002
syr,48.25,2003
syr,47.97,2004
syr,50.5,2005
syr,48.54,2006
syr,49.05,2007
syr,46.53,2008
syr,46.0,2009
syr,46.0,2010
tjk,41.47,1995
tjk,41.77,1996
tjk,44.07,1997
tjk,32.07,1998
tjk,26.84,1999
tjk,20.39,2000
tjk,20.71,2001
tjk,20.24,2002
tjk,20.41,2003
tjk,21.94,2004
tjk,23.65,2005
tjk,23.08,2006
tjk,22.16,2007
tjk,24.56,2008
tjk,24.94,2009
tjk,26.66,2010
tza,42.81,1995
tza,40.06,1996
tza,43.52,1997
tza,41.45,1998
tza,39.83,1999
tza,43.38,2000
tza,45.45,2001
tza,44.64,2002
tza,49.48,2003
tza,44.35,2004
tza,46.95,2005
tza,58.88,2006
tza,64.14,2007
tza,61.7,2008
tza,66.14,2009
tza,67.32,2010
tha,47.01,1995
tha,47.18,1996
tha,53.95,1997
tha,54.82,1998
tha,54.89,1999
tha,56.15,2000
tha,56.38,2001
tha,63.52,2002
tha,63.79,2003
tha,64.91,2004
tha,64.39,2005
tha,72.7,2006
tha,76.33,2007
tha,76.15,2008
tha,74.59,2009
tha,75.04,2010
tls,89.02,1995
tls,84.01,1996
tls,90.01,1997
tls,83.53,1998
tls,68.11,1999
tls,74.86,2000
tls,72.3,2001
tls,72.23,2002
tls,74.47,2003
tls,65.0,2004
tls,74.56,2005
tls,78.31,2006
tls,74.31,2007
tls,69.72,2008
tls,66.06,2009
tls,55.83,2010
tgo,34.64,1995
tgo,32.66,1996
tgo,29.6,1997
tgo,36.56,1998
tgo,31.4,1999
tgo,31.11,2000
tgo,23.72,2001
tgo,18.7,2002
tgo,24.45,2003
