geo,male_self_employed_percent_of_male_labour_force,time
ecu,36.4,1995
ecu,37.7,1996
ecu,37.9,1997
ecu,35.5,1998
ecu,36.2,1999
ecu,36.2,2000
ecu,33.2,2001
ecu,36.5,2002
ecu,34.1,2004
ecu,34.7,2005
ecu,32.5,2006
egy,33.1,1993
egy,33.0,1994
egy,32.6,1995
egy,30.2,1997
egy,30.8,1998
egy,30.7,1999
egy,31.3,2000
egy,31.6,2001
egy,33.2,2002
egy,32.8,2003
egy,32.3,2004
egy,29.3,2005
egy,27.7,2006
slv,29.6,1993
slv,33.3,1994
slv,30.6,1995
slv,29.3,1996
slv,30.4,1997
slv,27.1,1998
slv,27.4,1999
slv,31.0,2000
slv,27.9,2001
slv,30.2,2002
slv,28.4,2003
slv,26.8,2004
slv,28.7,2005
slv,25.9,2006
gnq,51.8,1983
eri,17.6,1996
est,1.4,1989
est,2.0,1990
est,3.2,1991
est,5.1,1992
est,7.0,1993
est,8.1,1994
est,7.9,1995
est,8.8,1996
est,9.5,1997
est,10.3,1998
est,10.4,1999
est,11.0,2000
est,10.2,2001
est,10.2,2002
est,11.5,2003
est,12.4,2004
est,10.9,2005
est,11.1,2006
est,12.3,2007
eth,55.7,1999
eth,40.9,2004
eth,55.8,2005
eth,41.8,2006
fji,27.6,2005
fin,16.0,1980
fin,15.9,1981
fin,16.0,1982
fin,16.9,1983
fin,16.3,1984
fin,15.8,1985
fin,16.3,1986
fin,17.3,1987
fin,17.6,1988
fra,17.3,1980
fra,17.1,1981
fra,16.7,1982
fra,16.6,1983
fra,16.5,1984
fra,16.3,1985
fra,16.2,1986
fra,16.0,1987
fra,15.7,1988
fra,15.3,1989
fra,14.8,1990
fra,14.5,1991
fra,14.0,1992
fra,13.7,1993
fra,13.3,1994
fra,12.9,1995
fra,12.6,1996
fra,12.3,1997
fra,11.8,1998
fra,11.5,1999
fra,11.1,2000
fra,10.8,2001
fra,10.5,2002
fra,13.6,2003
fra,12.9,2004
fra,13.3,2005
fra,13.8,2006
fra,13.6,2007
gab,35.4,1993
geo,33.0,1998
geo,34.6,1999
geo,38.9,2000
geo,41.1,2001
geo,44.7,2002
geo,46.2,2003
geo,48.1,2004
geo,46.4,2005
deu,11.0,1980
deu,11.1,1981
deu,11.2,1982
deu,11.3,1983
deu,12.3,1984
deu,12.2,1985
deu,12.0,1986
deu,11.8,1987
deu,10.9,1988
deu,10.8,1989
deu,12.1,1990
deu,10.3,1991
deu,10.6,1992
deu,11.0,1993
deu,11.6,1994
deu,11.7,1995
deu,12.0,1996
deu,12.5,1997
deu,12.7,1998
deu,12.6,1999
deu,12.7,2000
deu,12.7,2001
deu,12.9,2002
deu,13.4,2003
deu,13.9,2004
deu,14.2,2005
deu,14.0,2006
deu,13.8,2007
grc,46.1,1981
grc,45.8,1982
grc,44.9,1983
grc,44.0,1984
grc,44.1,1985
grc,44.2,1986
grc,43.8,1987
grc,43.8,1988
grc,42.8,1989
grc,42.6,1990
grc,42.9,1991
grc,43.5,1992
grc,42.7,1993
grc,42.5,1994
grc,42.2,1995
grc,41.8,1996
grc,41.7,1997
grc,39.3,1998
grc,38.7,1999
grc,38.6,2000
grc,37.5,2001
grc,37.1,2002
grc,36.6,2003
grc,36.2,2004
grc,35.9,2005
grc,35.3,2006
grc,35.3,2007
grd,16.8,1991
grd,26.4,1996
grd,23.9,1998
gtm,39.6,1994
gtm,33.2,1998
gtm,33.7,2000
gtm,37.1,2002
guy,37.7,1992
hti,68.9,1990
hnd,38.3,1990
hnd,43.0,1991
hnd,41.0,1992
hnd,41.5,1994
hnd,40.7,1995
hnd,40.9,1996
hnd,41.3,1997
hnd,39.9,1998
hnd,39.6,1999
hnd,43.7,2001
hnd,41.0,2002
hnd,42.6,2003
hnd,39.2,2004
hnd,39.2,2005
hkg,14.8,1993
hkg,14.1,1994
hkg,14.2,1995
hkg,14.5,1996
hkg,13.8,1997
hkg,14.0,1998
hkg,14.6,1999
hkg,14.4,2000
hkg,16.5,2001
hkg,17.8,2002
hkg,17.3,2003
hkg,16.8,2004
hkg,16.7,2005
hkg,16.9,2006
hkg,15.7,2007
hun,15.4,1992
hun,14.5,1993
hun,14.4,1994
hun,14.7,1995
hun,15.7,1996
hun,15.3,1997
hun,14.5,1998
hun,18.6,1999
hun,18.1,2000
hun,17.1,2001
hun,16.6,2002
hun,16.5,2003
hun,17.4,2004
hun,16.7,2005
hun,15.5,2006
hun,14.8,2007
isl,25.0,1991
isl,23.1,1992
isl,21.6,1993
isl,24.2,1994
isl,25.8,1995
isl,23.8,1996
isl,22.8,1997
isl,23.5,1998
isl,23.4,1999
isl,23.8,2000
isl,22.6,2001
isl,23.3,2002
isl,19.1,2003
isl,18.8,2004
isl,20.0,2005
isl,20.3,2006
isl,18.6,2007
idn,58.8,2002
idn,58.7,2003
idn,58.7,2004
idn,57.5,2005
idn,57.4,2006
idn,56.3,2007
irn,42.3,1996
irn,39.9,2005
irn,40.8,2007
irl,27.9,1985
irl,27.9,1986
irl,28.4,1987
irl,29.4,1988
irl,29.2,1989
irl,29.9,1990
irl,28.5,1991
irl,29.7,1992
irl,29.2,1993
irl,28.4,1994
irl,28.5,1995
irl,27.0,1996
irl,27.0,1997
irl,26.3,1998
irl,24.9,1999
irl,24.8,2000
irl,24.3,2001
irl,24.7,2002
irl,24.1,2003
irl,24.6,2004
irl,24.0,2005
irl,22.9,2006
irl,23.6,2007
gbm,20.3,2001
isr,19.1,1995
isr,19.8,1996
isr,19.5,1997
isr,19.3,1998
isr,19.2,1999
isr,18.1,2000
isr,17.4,2001
isr,17.4,2002
isr,17.8,2003
isr,17.0,2004
isr,17.2,2005
isr,17.0,2006
isr,16.5,2007
ita,26.7,1980
ita,27.3,1981
ita,27.4,1982
ita,28.1,1983
ita,28.8,1984
ita,28.5,1985
ita,28.7,1986
ita,29.0,1987
ita,28.8,1988
ita,29.0,1989
ita,28.8,1990
ita,28.7,1991
ita,29.0,1992
ita,27.7,1993
ita,27.9,1994
ita,28.6,1995
ita,28.9,1996
ita,28.7,1997
ita,28.6,1998
ita,28.6,1999
ita,28.7,2000
ita,28.3,2001
ita,28.0,2002
ita,27.8,2003
ita,28.5,2004
ita,28.0,2005
ita,27.5,2006
ita,27.2,2007
jam,45.2,1991
jam,44.9,1992
jam,43.7,1993
jam,43.5,1994
jam,42.3,1995
jam,42.4,1996
jam,43.0,1997
jam,43.8,1998
jam,43.2,1999
jam,43.4,2000
jam,42.9,2001
jam,42.3,2002
jam,42.5,2003
jam,41.5,2004
jam,40.7,2005
jam,41.7,2006
jpn,19.4,1980
jpn,19.2,1981
jpn,18.8,1982
jpn,18.3,1983
jpn,17.9,1984
jpn,17.9,1985
jpn,17.8,1986
jpn,17.8,1987
jpn,17.4,1988
jpn,16.9,1989
jpn,16.3,1990
jpn,15.7,1991
jpn,15.2,1992
jpn,14.7,1993
jpn,14.5,1994
jpn,14.3,1995
jpn,14.1,1996
jpn,14.1,1997
jpn,13.9,1998
jpn,14.0,1999
jpn,13.8,2000
jpn,13.4,2001
jpn,13.2,2002
jpn,13.1,2003
jpn,13.1,2004
jpn,13.0,2005
jpn,12.7,2006
jpn,12.5,2007
kaz,38.1,2001
kaz,35.7,2002
kaz,36.0,2003
kaz,34.9,2004
kor,40.6,1980
kor,40.5,1981
kor,40.8,1982
kor,40.3,1983
kor,38.2,1984
kor,37.6,1985
kor,37.1,1986
kor,36.0,1987
kor,36.0,1988
kor,35.3,1989
kor,34.4,1990
kor,34.3,1991
kor,34.5,1992
kor,34.5,1993
kor,34.0,1994
kor,33.5,1995
kor,33.4,1996
kor,33.9,1997
kor,35.3,1998
kor,34.9,1999
kor,33.8,2000
kor,34.2,2001
kor,34.0,2002
kor,33.9,2003
kor,33.1,2004
kor,32.8,2005
kor,32.0,2006
kor,31.1,2007
kgz,51.8,2002
kgz,43.6,2003
kgz,42.0,2004
kgz,41.8,2005
kgz,41.1,2006
lao,56.6,1995
lva,12.6,1996
lva,15.3,1997
lva,13.8,1998
lva,12.5,1999
lva,12.8,2000
lva,12.7,2001
lva,11.5,2002
lva,11.4,2003
lva,11.1,2004
lva,11.0,2005
lva,11.7,2006
lva,11.4,2007
lso,18.3,1987
lso,65.9,1997
lso,4.6,1999
ltu,21.5,1997
ltu,20.3,1998
ltu,19.4,1999
ltu,20.1,2000
ltu,20.6,2001
ltu,20.3,2002
ltu,20.8,2003
ltu,18.2,2004
ltu,17.1,2005
ltu,16.3,2006
ltu,15.2,2007
mac,13.6,1996
mac,12.2,1997
mac,12.5,1998
mac,14.1,1999
mac,14.9,2000
mac,13.5,2001
mac,13.9,2002
mac,13.9,2003
mac,15.0,2004
mac,13.7,2005
mac,11.7,2006
mac,11.3,2007
mdg,59.4,1993
mdg,51.6,2003
mwi,71.0,1987
mys,31.9,1991
mys,24.2,1995
mys,24.5,1996
mys,22.5,1997
mys,24.5,1998
mys,22.4,1999
mys,24.3,2000
mys,23.1,2001
mys,21.5,2002
mys,22.3,2003
mys,24.2,2004
mys,23.9,2005
mys,25.1,2006
mys,24.7,2007
mdv,43.0,1990
mdv,57.5,1995
mdv,69.4,2000
mli,32.5,1994
mli,66.4,2004
mlt,16.9,2001
mlt,17.8,2002
mlt,17.2,2003
mlt,17.4,2004
mlt,16.8,2005
mlt,17.2,2006
mlt,17.0,2007
mhl,25.7,1999
mus,16.2,1990
mus,19.6,1995
mus,20.2,2000
mus,21.2,2004
mus,20.4,2005
mus,20.3,2006
mus,21.2,2007
mex,29.0,1990
mex,36.2,1991
mex,36.6,1992
mex,34.1,1993
mex,34.4,1994
mex,32.6,1995
mex,31.8,1996
mex,32.2,1997
mex,31.1,1998
mex,31.0,1999
mex,30.4,2000
mex,31.0,2001
mex,30.8,2002
mex,30.7,2003
mex,30.6,2004
mex,30.4,2005
mex,29.6,2006
mex,29.4,2007
mng,46.1,2000
mng,44.1,2003
mne,21.1,2005
msr,19.4,1991
mar,35.7,1994
mar,31.3,1999
mar,34.2,2000
mar,35.4,2001
mar,36.6,2002
mar,37.5,2003
mar,37.6,2004
mar,37.6,2005
mar,36.1,2006
nam,18.5,1994
nam,18.9,1997
nam,27.5,2000
nam,15.0,2001
nam,20.4,2004
npl,60.5,2001
nld,12.5,1995
nld,12.6,1996
nld,12.9,1997
nld,13.0,1998
nld,12.3,1999
nld,13.0,2000
nld,13.6,2001
nld,14.2,2002
nld,14.9,2003
nld,15.2,2004
nld,15.8,2005
nld,15.7,2006
nld,16.2,2007
ant,11.9,1991
ant,10.6,1992
ant,9.9,1993
ant,11.2,1994
ant,11.0,1995
ant,11.3,1996
ant,9.4,1997
ant,11.9,1998
ant,13.2,2000
ncl,19.3,1996
nzl,16.8,1981
nzl,21.1,1986
nzl,21.4,1987
nzl,23.0,1988
nzl,23.8,1989
nzl,24.0,1990
nzl,24.5,1991
nzl,25.6,1992
nzl,25.6,1993
nzl,25.1,1994
nzl,24.7,1995
nzl,25.1,1996
nzl,24.3,1997
nzl,25.0,1998
nzl,25.7,1999
nzl,25.2,2000
nzl,24.2,2001
nzl,23.8,2002
nzl,24.0,2003
nzl,23.7,2004
nzl,22.5,2005
nzl,21.4,2006
nzl,20.4,2007
nic,37.3,1993
nic,33.9,1995
nic,35.6,1996
nic,32.3,1997
nic,33.0,1998
nic,34.7,1999
nic,35.5,2000
nic,37.0,2001
nic,37.3,2002
nic,38.8,2003
nic,37.9,2004
nic,36.3,2005
nic,37.9,2006
nor,14.2,1980
nor,14.2,1981
nor,14.6,1982
nor,14.7,1983
nor,14.5,1984
nor,14.1,1985
nor,13.8,1986
nor,13.1,1987
nor,13.2,1988
nor,13.4,1989
nor,13.0,1990
nor,12.8,1991
nor,12.8,1992
nor,12.5,1993
nor,12.0,1994
nor,11.5,1995
nor,10.6,1996
nor,10.5,1997
nor,10.4,1998
nor,9.8,1999
nor,9.3,2000
nor,9.0,2001
nor,9.3,2002
nor,9.7,2003
nor,9.8,2004
nor,9.8,2005
nor,11.3,2006
nor,10.7,2007
omn,13.5,1993
omn,13.5,1996
omn,11.6,2000
pak,47.4,1995
pak,47.4,1996
pak,48.0,1997
pak,47.3,1998
pak,47.3,1999
pak,47.3,2000
pak,47.3,2001
pak,43.3,2002
pak,43.3,2003
pak,42.4,2004
pak,42.4,2005
pak,40.8,2006
pak,40.8,2007
pan,35.1,1982
pan,32.5,1983
pan,34.0,1984
pan,36.0,1985
pan,34.6,1986
pan,34.0,1987
pan,39.2,1988
pan,39.1,1989
pan,37.5,1992
pan,35.9,1993
pan,33.8,1994
pan,34.2,1995
pan,34.4,1996
pan,36.5,1997
pan,35.1,1998
pan,35.5,1999
pan,36.7,2000
pan,36.4,2001
pan,37.0,2002
pan,37.4,2003
pan,36.3,2004
pan,36.3,2005
pan,34.4,2006
pan,31.8,2007
pry,30.7,1990
pry,30.6,1991
pry,30.9,1992
pry,29.6,1993
pry,34.4,1994
pry,36.3,1996
pry,45.0,1997
pry,42.8,1998
pry,40.6,1999
pry,43.5,2000
pry,41.8,2001
pry,43.1,2002
pry,44.4,2003
pry,40.2,2007
per,34.1,1990
per,36.5,1991
per,37.4,1992
per,35.1,1993
per,34.1,1994
per,35.1,1995
per,38.2,1996
per,40.8,1997
per,38.3,1998
per,41.3,1999
per,40.2,2000
per,42.2,2001
per,36.2,2002
per,38.7,2003
per,37.2,2004
per,37.8,2005
per,35.6,2006
per,36.9,2007
phl,39.8,1998
phl,39.4,1999
phl,40.5,2000
phl,40.0,2001
phl,41.4,2002
phl,40.2,2003
phl,39.4,2004
phl,40.4,2005
phl,39.6,2006
phl,39.9,2007
pol,25.7,1992
pol,26.8,1993
pol,27.5,1994
pol,26.8,1995
pol,26.4,1996
pol,25.9,1997
pol,25.5,1998
pol,26.1,1999
pol,25.9,2000
pol,25.9,2001
pol,26.2,2002
pol,25.7,2003
pol,24.9,2004
pol,24.1,2005
pol,23.4,2006
pol,22.7,2007
prt,24.8,1992
prt,25.3,1993
prt,26.7,1994
prt,27.8,1995
prt,28.2,1996
prt,28.2,1997
prt,27.2,1998
prt,26.2,1999
prt,25.5,2000
prt,26.9,2001
prt,26.9,2002
prt,26.9,2003
prt,26.5,2004
prt,25.5,2005
prt,24.5,2006
prt,25.0,2007
pri,19.7,1991
pri,19.4,1992
pri,19.4,1993
pri,20.1,1994
pri,19.8,1995
pri,19.4,1996
pri,19.2,1997
pri,18.4,1998
pri,19.7,1999
pri,19.6,2000
pri,18.6,2001
pri,19.8,2002
pri,19.2,2003
pri,19.4,2004
pri,19.7,2005
pri,20.3,2006
pri,20.5,2007
qat,1.4,1997
qat,1.3,2004
mda,26.9,1999
mda,30.8,2000
mda,34.3,2001
mda,35.7,2002
mda,35.8,2003
mda,36.3,2004
mda,37.4,2005
mda,33.2,2006
mda,35.1,2007
rou,18.7,1990
rou,21.7,1991
rou,25.0,1992
rou,24.4,1993
rou,23.5,1994
rou,26.4,1995
rou,25.2,1996
rou,26.0,1997
rou,27.5,1998
rou,29.4,1999
rou,31.2,2000
rou,32.0,2001
rou,28.9,2002
rou,29.0,2003
rou,26.5,2004
rou,27.8,2005
rou,27.0,2006
rou,27.5,2007
rus,10.0,1992
rus,7.5,1993
rus,7.7,1994
rus,7.7,1995
rus,7.0,1996
rus,5.4,1997
rus,5.3,1998
rus,10.8,1999
rus,10.3,2000
rus,8.4,2001
rus,8.0,2002
rus,7.9,2003
rus,8.1,2004
rus,8.1,2005
rus,8.1,2006
rus,7.9,2007
rwa,56.2,1996
kna,16.3,1991
kna,14.3,2001
lca,37.7,1993
lca,43.7,1994
lca,38.5,1995
lca,39.3,1996
lca,36.2,1997
lca,36.9,1998
lca,36.7,1999
lca,38.3,2000
vct,26.6,1991
smr,16.8,1995
smr,16.8,1996
smr,16.4,1997
smr,15.7,1998
smr,15.3,1999
smr,13.3,2001
smr,13.6,2002
smr,13.4,2003
smr,13.1,2004
smr,12.7,2005
smr,11.7,2006
smr,11.3,2007
stp,25.5,1991
sen,52.7,1991
srb,29.0,2004
srb,26.2,2005
srb,26.6,2006
srb,26.5,2007
syc,15.3,1987
sgp,18.0,1986
sgp,17.8,1987
sgp,17.5,1988
sgp,17.6,1989
sgp,16.8,1991
sgp,17.2,1992
sgp,17.7,1993
sgp,17.3,1994
sgp,14.0,1995
sgp,18.8,1996
sgp,17.3,1997
sgp,18.2,1998
sgp,19.2,1999
sgp,13.3,2000
sgp,19.1,2001
sgp,18.7,2002
sgp,18.4,2003
sgp,19.3,2004
sgp,18.4,2006
sgp,18.8,2007
svk,8.6,1994
svk,8.7,1995
svk,8.6,1996
svk,8.3,1997
svk,9.1,1998
svk,10.4,1999
svk,10.7,2000
svk,11.3,2001
svk,11.8,2002
svk,12.9,2003
svk,16.0,2004
svk,17.1,2005
svk,16.6,2006
svk,17.2,2007
svn,16.0,1993
svn,16.7,1994
svn,16.3,1995
svn,16.7,1996
svn,15.8,1997
svn,16.6,1998
svn,16.6,1999
svn,15.2,2000
svn,15.9,2001
svn,15.8,2002
svn,13.5,2003
svn,13.5,2004
svn,13.7,2005
svn,15.4,2006
svn,14.9,2007
zaf,17.4,2001
zaf,17.3,2002
zaf,17.1,2003
zaf,17.9,2004
zaf,16.0,2007
esp,23.9,1980
esp,23.9,1981
esp,24.0,1982
esp,24.4,1983
esp,25.5,1984
esp,25.3,1985
esp,24.4,1986
esp,24.2,1987
esp,24.2,1988
esp,23.5,1989
esp,22.9,1990
esp,22.6,1991
esp,23.3,1992
esp,23.9,1993
esp,24.4,1994
esp,23.8,1995
esp,23.9,1996
esp,23.4,1997
esp,22.6,1998
esp,21.7,1999
esp,20.9,2000
esp,20.7,2001
esp,20.2,2002
esp,19.6,2003
esp,19.5,2004
esp,19.5,2005
esp,19.7,2006
esp,19.8,2007
lka,36.2,1997
lka,37.3,1998
lka,36.2,1999
lka,36.9,2000
lka,36.5,2001
lka,37.0,2002
lka,38.2,2003
lka,36.6,2004
lka,36.8,2005
lka,39.5,2006
lka,38.4,2007
sur,17.6,1995
sur,20.7,1996
sur,22.5,1997
sur,19.6,1998
swz,15.3,1997
swe,10.3,1980
swe,10.3,1981
swe,10.5,1982
swe,10.2,1983
swe,10.0,1984
swe,9.4,1985
swe,8.2,1986
che,14.4,1991
che,14.2,1992
che,15.2,1993
che,14.8,1994
che,16.1,1995
che,17.6,1996
che,18.4,1997
che,17.7,1998
che,18.2,1999
che,18.6,2000
che,17.5,2001
che,17.3,2002
che,18.1,2003
che,17.3,2004
che,16.9,2005
che,16.5,2006
che,16.3,2007
syr,39.4,2001
tza,87.2,2001
tza,75.0,2006
tha,43.4,1987
tha,41.4,1988
tha,41.8,1989
tha,42.0,1990
tha,42.2,1991
tha,40.7,1992
tha,41.8,1993
tha,41.0,1994
tha,43.2,1995
tha,43.2,1996
tha,42.2,1997
tha,44.1,1998
tha,44.7,1999
tha,43.3,2000
tha,43.6,2001
tha,43.5,2002
tha,43.2,2003
tha,40.8,2004
tha,42.0,2005
tha,41.8,2006
tha,41.4,2007
mkd,18.0,1998
mkd,20.9,1999
mkd,19.1,2000
mkd,20.4,2001
mkd,22.1,2002
mkd,21.2,2003
mkd,21.4,2004
mkd,24.3,2005
mkd,24.4,2006
mkd,23.7,2007
ton,26.7,1996
tto,22.2,1987
tto,23.3,1988
tto,22.8,1989
tto,23.6,1990
tto,21.6,1991
tto,23.1,1992
tto,24.4,1993
tto,23.9,1994
tto,24.4,1995
tto,24.0,1996
tto,22.9,1997
tto,22.8,1998
tto,23.3,1999
tto,23.6,2000
tto,24.3,2001
tto,24.3,2002
tto,23.5,2003
tto,23.4,2004
tto,22.5,2005
tun,24.4,1989
tun,28.0,1994
tur,38.8,1988
tur,40.2,1989
tur,40.5,1990
tur,39.2,1991
tur,38.6,1992
tur,38.2,1993
tur,38.4,1994
tur,38.5,1995
tur,37.1,1996
tur,37.3,1997
tur,37.6,1998
tur,37.1,1999
tur,36.1,2000
tur,36.6,2001
tur,35.8,2002
tur,36.3,2003
tur,36.0,2004
tur,35.1,2005
tur,34.0,2006
tur,32.9,2007
tuv,4.2,2002
uga,60.0,2002
uga,67.5,2003
ukr,8.9,1995
ukr,9.2,1996
ukr,13.2,1997
ukr,15.4,1998
ukr,7.8,1999
ukr,8.6,2000
ukr,9.9,2001
ukr,10.3,2002
ukr,11.2,2003
ukr,16.1,2004
ukr,16.6,2005
ukr,17.6,2006
ukr,17.7,2007
are,3.3,2005
gbr,10.9,1980
gbr,11.9,1981
gbr,12.2,1982
gbr,12.5,1983
gbr,14.7,1984
gbr,14.8,1985
gbr,15.1,1986
gbr,16.3,1987
gbr,16.6,1988
gbr,17.9,1989
