alternative_gdp_per_capita_ppp_pwt_8_0,geo,time
11460.0,bel,1965
11740.0,bel,1966
12130.0,bel,1967
12590.0,bel,1968
13450.0,bel,1969
14250.0,bel,1970
14670.0,bel,1971
15570.0,bel,1972
16700.0,bel,1973
17210.0,bel,1974
16830.0,bel,1975
17880.0,bel,1976
18210.0,bel,1977
18890.0,bel,1978
19540.0,bel,1979
20260.0,bel,1980
18990.0,bel,1981
18400.0,bel,1982
17860.0,bel,1983
17900.0,bel,1984
17740.0,bel,1985
18680.0,bel,1986
19440.0,bel,1987
20960.0,bel,1988
22170.0,bel,1989
23040.0,bel,1990
23490.0,bel,1991
24230.0,bel,1992
24360.0,bel,1993
25270.0,bel,1994
26120.0,bel,1995
26170.0,bel,1996
27690.0,bel,1997
28590.0,bel,1998
29680.0,bel,1999
31590.0,bel,2000
31740.0,bel,2001
32460.0,bel,2002
31520.0,bel,2003
31760.0,bel,2004
31680.0,bel,2005
32450.0,bel,2006
33660.0,bel,2007
34300.0,bel,2008
33670.0,bel,2009
35220.0,bel,2010
35450.0,bel,2011
3510.0,blz,1970
3727.0,blz,1971
3831.0,blz,1972
3563.0,blz,1973
4223.0,blz,1974
4002.0,blz,1975
3383.0,blz,1976
3676.0,blz,1977
3716.0,blz,1978
3949.0,blz,1979
4489.0,blz,1980
3569.0,blz,1981
3583.0,blz,1982
3499.0,blz,1983
3475.0,blz,1984
3843.0,blz,1985
4145.0,blz,1986
4496.0,blz,1987
4656.0,blz,1988
4944.0,blz,1989
5485.0,blz,1990
5010.0,blz,1991
5191.0,blz,1992
5583.0,blz,1993
5964.0,blz,1994
6356.0,blz,1995
5712.0,blz,1996
5622.0,blz,1997
5729.0,blz,1998
5790.0,blz,1999
6154.0,blz,2000
6441.0,blz,2001
6724.0,blz,2002
6948.0,blz,2003
7005.0,blz,2004
7054.0,blz,2005
7131.0,blz,2006
7294.0,blz,2007
7052.0,blz,2008
7092.0,blz,2009
7313.0,blz,2010
7367.0,blz,2011
921.7,ben,1959
963.6,ben,1960
954.5,ben,1961
899.3,ben,1962
919.2,ben,1963
938.1,ben,1964
982.3,ben,1965
976.3,ben,1966
996.0,ben,1967
1063.0,ben,1968
1077.0,ben,1969
1154.0,ben,1970
1156.0,ben,1971
1206.0,ben,1972
1247.0,ben,1973
1254.0,ben,1974
1116.0,ben,1975
1105.0,ben,1976
1127.0,ben,1977
1080.0,ben,1978
1103.0,ben,1979
1175.0,ben,1980
1211.0,ben,1981
1238.0,ben,1982
1272.0,ben,1983
1365.0,ben,1984
1385.0,ben,1985
1321.0,ben,1986
1199.0,ben,1987
1163.0,ben,1988
1058.0,ben,1989
1045.0,ben,1990
1053.0,ben,1991
1035.0,ben,1992
1032.0,ben,1993
968.0,ben,1994
1026.0,ben,1995
1068.0,ben,1996
1097.0,ben,1997
1101.0,ben,1998
1136.0,ben,1999
1174.0,ben,2000
1174.0,ben,2001
1187.0,ben,2002
1222.0,ben,2003
1229.0,ben,2004
1206.0,ben,2005
1226.0,ben,2006
1233.0,ben,2007
1253.0,ben,2008
1241.0,ben,2009
1223.0,ben,2010
1232.0,ben,2011
18520.0,bmu,1970
18990.0,bmu,1971
19150.0,bmu,1972
19220.0,bmu,1973
19170.0,bmu,1974
19700.0,bmu,1975
21540.0,bmu,1976
21890.0,bmu,1977
22000.0,bmu,1978
22980.0,bmu,1979
23830.0,bmu,1980
23390.0,bmu,1981
23920.0,bmu,1982
24860.0,bmu,1983
24500.0,bmu,1984
25760.0,bmu,1985
27370.0,bmu,1986
28280.0,bmu,1987
28230.0,bmu,1988
28280.0,bmu,1989
27540.0,bmu,1990
27150.0,bmu,1991
26610.0,bmu,1992
27510.0,bmu,1993
27900.0,bmu,1994
29130.0,bmu,1995
30280.0,bmu,1996
30940.0,bmu,1997
31520.0,bmu,1998
32320.0,bmu,1999
33070.0,bmu,2000
36050.0,bmu,2001
36510.0,bmu,2002
37330.0,bmu,2003
37860.0,bmu,2004
38330.0,bmu,2005
40370.0,bmu,2006
41520.0,bmu,2007
41750.0,bmu,2008
39630.0,bmu,2009
38780.0,bmu,2010
38920.0,bmu,2011
1084.0,btn,1970
1073.0,btn,1971
1046.0,btn,1972
1023.0,btn,1973
1030.0,btn,1974
957.4,btn,1975
1010.0,btn,1976
1047.0,btn,1977
1087.0,btn,1978
1114.0,btn,1979
1098.0,btn,1980
1226.0,btn,1981
1261.0,btn,1982
1400.0,btn,1983
1385.0,btn,1984
1411.0,btn,1985
1486.0,btn,1986
1643.0,btn,1987
1599.0,btn,1988
1685.0,btn,1989
1784.0,btn,1990
1789.0,btn,1991
1859.0,btn,1992
2020.0,btn,1993
2150.0,btn,1994
2364.0,btn,1995
2485.0,btn,1996
2607.0,btn,1997
2675.0,btn,1998
2874.0,btn,1999
3048.0,btn,2000
3190.0,btn,2001
3505.0,btn,2002
3590.0,btn,2003
3707.0,btn,2004
3978.0,btn,2005
3782.0,btn,2006
4327.0,btn,2007
4406.0,btn,2008
4680.0,btn,2009
4797.0,btn,2010
4607.0,btn,2011
1583.0,bol,1950
1764.0,bol,1951
1711.0,bol,1952
1449.0,bol,1953
1460.0,bol,1954
1553.0,bol,1955
1408.0,bol,1956
1339.0,bol,1957
1327.0,bol,1958
1314.0,bol,1959
1360.0,bol,1960
1405.0,bol,1961
1413.0,bol,1962
1471.0,bol,1963
1555.0,bol,1964
1685.0,bol,1965
1741.0,bol,1966
1791.0,bol,1967
1569.0,bol,1968
1596.0,bol,1969
1629.0,bol,1970
1681.0,bol,1971
1669.0,bol,1972
1730.0,bol,1973
1961.0,bol,1974
1858.0,bol,1975
1934.0,bol,1976
1992.0,bol,1977
1895.0,bol,1978
1961.0,bol,1979
1972.0,bol,1980
2015.0,bol,1981
2004.0,bol,1982
1937.0,bol,1983
2031.0,bol,1984
2106.0,bol,1985
2008.0,bol,1986
2029.0,bol,1987
1854.0,bol,1988
1943.0,bol,1989
2030.0,bol,1990
2083.0,bol,1991
2126.0,bol,1992
2220.0,bol,1993
2387.0,bol,1994
2587.0,bol,1995
2785.0,bol,1996
2799.0,bol,1997
2816.0,bol,1998
2807.0,bol,1999
2814.0,bol,2000
2845.0,bol,2001
2893.0,bol,2002
3020.0,bol,2003
3205.0,bol,2004
3311.0,bol,2005
3549.0,bol,2006
3598.0,bol,2007
3795.0,bol,2008
3709.0,bol,2009
3970.0,bol,2010
4167.0,bol,2011
1139.0,bih,1990
1069.0,bih,1991
1068.0,bih,1992
1111.0,bih,1993
1307.0,bih,1994
1695.0,bih,1995
2496.0,bih,1996
3598.0,bih,1997
4637.0,bih,1998
5108.0,bih,1999
4940.0,bih,2000
4991.0,bih,2001
5141.0,bih,2002
5264.0,bih,2003
5392.0,bih,2004
5696.0,bih,2005
6311.0,bih,2006
6910.0,bih,2007
7368.0,bih,2008
7402.0,bih,2009
7577.0,bih,2010
7581.0,bih,2011
382.8,bwa,1960
402.8,bwa,1961
426.4,bwa,1962
442.3,bwa,1963
467.3,bwa,1964
436.4,bwa,1965
453.5,bwa,1966
513.6,bwa,1967
595.5,bwa,1968
589.9,bwa,1969
706.1,bwa,1970
854.0,bwa,1971
1029.0,bwa,1972
1216.0,bwa,1973
1288.0,bwa,1974
1349.0,bwa,1975
1455.0,bwa,1976
1530.0,bwa,1977
1555.0,bwa,1978
1721.0,bwa,1979
1988.0,bwa,1980
2115.0,bwa,1981
2055.0,bwa,1982
2171.0,bwa,1983
2464.0,bwa,1984
2929.0,bwa,1985
3545.0,bwa,1986
3871.0,bwa,1987
4413.0,bwa,1988
5558.0,bwa,1989
5717.0,bwa,1990
5903.0,bwa,1991
5846.0,bwa,1992
5973.0,bwa,1993
6223.0,bwa,1994
6601.0,bwa,1995
7362.0,bwa,1996
7546.0,bwa,1997
7783.0,bwa,1998
8659.0,bwa,1999
8129.0,bwa,2000
9424.0,bwa,2001
9396.0,bwa,2002
8849.0,bwa,2003
9688.0,bwa,2004
9093.0,bwa,2005
10500.0,bwa,2006
11150.0,bwa,2007
12880.0,bwa,2008
9755.0,bwa,2009
11420.0,bwa,2010
11810.0,bwa,2011
1411.0,bra,1950
1433.0,bra,1951
1523.0,bra,1952
1521.0,bra,1953
1610.0,bra,1954
1678.0,bra,1955
1686.0,bra,1956
1779.0,bra,1957
1826.0,bra,1958
1855.0,bra,1959
1982.0,bra,1960
2172.0,bra,1961
2245.0,bra,1962
2325.0,bra,1963
2378.0,bra,1964
2473.0,bra,1965
2503.0,bra,1966
2632.0,bra,1967
2818.0,bra,1968
2797.0,bra,1969
3116.0,bra,1970
3391.0,bra,1971
3715.0,bra,1972
4150.0,bra,1973
4290.0,bra,1974
4392.0,bra,1975
4706.0,bra,1976
4755.0,bra,1977
4789.0,bra,1978
4953.0,bra,1979
4880.0,bra,1980
4834.0,bra,1981
4851.0,bra,1982
4669.0,bra,1983
4839.0,bra,1984
4979.0,bra,1985
5512.0,bra,1986
5600.0,bra,1987
5594.0,bra,1988
5559.0,bra,1989
5297.0,bra,1990
5536.0,bra,1991
5662.0,bra,1992
5991.0,bra,1993
6623.0,bra,1994
7594.0,bra,1995
9020.0,bra,1996
8572.0,bra,1997
8067.0,bra,1998
7580.0,bra,1999
7528.0,bra,2000
7330.0,bra,2001
7302.0,bra,2002
7158.0,bra,2003
7424.0,bra,2004
7439.0,bra,2005
7719.0,bra,2006
8131.0,bra,2007
8526.0,bra,2008
8402.0,bra,2009
9002.0,bra,2010
9295.0,bra,2011
54550.0,brn,1970
56880.0,brn,1971
60290.0,brn,1972
64160.0,brn,1973
65400.0,brn,1974
66810.0,brn,1975
81930.0,brn,1976
87510.0,brn,1977
95100.0,brn,1978
113300.0,brn,1979
92360.0,brn,1980
81300.0,brn,1981
84720.0,brn,1982
77340.0,brn,1983
70770.0,brn,1984
68960.0,brn,1985
41940.0,brn,1986
45370.0,brn,1987
38170.0,brn,1988
41540.0,brn,1989
42990.0,brn,1990
40770.0,brn,1991
40930.0,brn,1992
37300.0,brn,1993
34300.0,brn,1994
32210.0,brn,1995
39610.0,brn,1996
35020.0,brn,1997
30010.0,brn,1998
33860.0,brn,1999
41300.0,brn,2000
39430.0,brn,2001
39700.0,brn,2002
42510.0,brn,2003
47670.0,brn,2004
55940.0,brn,2005
63610.0,brn,2006
60840.0,brn,2007
70710.0,brn,2008
53740.0,brn,2009
56900.0,brn,2010
67540.0,brn,2011
3024.0,bgr,1970
3213.0,bgr,1971
3439.0,bgr,1972
3700.0,bgr,1973
3958.0,bgr,1974
4287.0,bgr,1975
4555.0,bgr,1976
4814.0,bgr,1977
5069.0,bgr,1978
5425.0,bgr,1979
5642.0,bgr,1980
5942.0,bgr,1981
6209.0,bgr,1982
6524.0,bgr,1983
6678.0,bgr,1984
7018.0,bgr,1985
7215.0,bgr,1986
7627.0,bgr,1987
8376.0,bgr,1988
8185.0,bgr,1989
7646.0,bgr,1990
8844.0,bgr,1991
7484.0,bgr,1992
6903.0,bgr,1993
6962.0,bgr,1994
7096.0,bgr,1995
6338.0,bgr,1996
6014.0,bgr,1997
6600.0,bgr,1998
6890.0,bgr,1999
7372.0,bgr,2000
7670.0,bgr,2001
8233.0,bgr,2002
8441.0,bgr,2003
8841.0,bgr,2004
9007.0,bgr,2005
9805.0,bgr,2006
10850.0,bgr,2007
11830.0,bgr,2008
12010.0,bgr,2009
12560.0,bgr,2010
12910.0,bgr,2011
407.9,bfa,1959
449.6,bfa,1960
439.2,bfa,1961
471.7,bfa,1962
453.7,bfa,1963
473.9,bfa,1964
473.2,bfa,1965
472.9,bfa,1966
508.3,bfa,1967
521.5,bfa,1968
527.0,bfa,1969
503.8,bfa,1970
505.8,bfa,1971
570.9,bfa,1972
536.6,bfa,1973
560.5,bfa,1974
547.2,bfa,1975
538.9,bfa,1976
565.2,bfa,1977
610.7,bfa,1978
653.1,bfa,1979
628.0,bfa,1980
646.6,bfa,1981
627.9,bfa,1982
572.0,bfa,1983
565.4,bfa,1984
625.7,bfa,1985
646.9,bfa,1986
625.8,bfa,1987
648.6,bfa,1988
639.4,bfa,1989
624.8,bfa,1990
658.0,bfa,1991
636.4,bfa,1992
637.8,bfa,1993
598.8,bfa,1994
606.5,bfa,1995
651.6,bfa,1996
675.7,bfa,1997
716.7,bfa,1998
736.5,bfa,1999
721.1,bfa,2000
746.4,bfa,2001
760.4,bfa,2002
799.4,bfa,2003
814.4,bfa,2004
850.9,bfa,2005
874.8,bfa,2006
879.8,bfa,2007
907.8,bfa,2008
926.3,bfa,2009
1022.0,bfa,2010
1052.0,bfa,2011
470.1,bdi,1960
394.5,bdi,1961
419.5,bdi,1962
431.7,bdi,1963
437.0,bdi,1964
442.6,bdi,1965
436.7,bdi,1966
479.0,bdi,1967
470.3,bdi,1968
441.5,bdi,1969
558.0,bdi,1970
564.0,bdi,1971
502.7,bdi,1972
547.7,bdi,1973
541.8,bdi,1974
498.9,bdi,1975
589.3,bdi,1976
673.1,bdi,1977
615.2,bdi,1978
607.4,bdi,1979
602.0,bdi,1980
628.3,bdi,1981
575.3,bdi,1982
580.7,bdi,1983
586.2,bdi,1984
628.2,bdi,1985
655.1,bdi,1986
626.8,bdi,1987
