geo,natural_gas_production_total,time
brn,7736000,1985
brn,7756000,1986
brn,7738000,1987
brn,8040000,1988
brn,7879000,1989
brn,8033000,1990
brn,8154000,1991
brn,8777000,1992
brn,9293000,1993
brn,9352000,1994
brn,10580000,1995
brn,10490000,1996
brn,10500000,1997
brn,9694000,1998
brn,10100000,1999
brn,10170000,2000
brn,10260000,2001
brn,10310000,2002
brn,11120000,2003
brn,11010000,2004
brn,10810000,2005
brn,11310000,2006
brn,11030000,2007
brn,10920000,2008
can,51040000,1970
can,55800000,1971
can,63000000,1972
can,67500000,1973
can,66100000,1974
can,67520000,1975
can,68110000,1976
can,71550000,1977
can,69050000,1978
can,72810000,1979
can,67300000,1980
can,65030000,1981
can,68260000,1982
can,64210000,1983
can,70370000,1984
can,75800000,1985
can,71180000,1986
can,77340000,1987
can,89320000,1988
can,94890000,1989
can,97750000,1990
can,102900000,1991
can,113400000,1992
can,124800000,1993
can,135100000,1994
can,143800000,1995
can,149100000,1996
can,151700000,1997
can,156100000,1998
can,159100000,1999
can,164000000,2000
can,167800000,2001
can,169100000,2002
can,166200000,2003
can,165300000,2004
can,168700000,2005
can,169600000,2006
can,165700000,2007
can,157700000,2008
chn,2583000,1970
chn,3366000,1971
chn,4356000,1972
chn,5382000,1973
chn,6777000,1974
chn,7965000,1975
chn,9090000,1976
chn,10910000,1977
chn,12360000,1978
chn,13060000,1979
chn,12840000,1980
chn,11470000,1981
chn,10740000,1982
chn,10990000,1983
chn,11190000,1984
chn,11640000,1985
chn,12380000,1986
chn,12500000,1987
chn,12830000,1988
chn,13540000,1989
chn,13770000,1990
chn,13940000,1991
chn,14210000,1992
chn,15090000,1993
chn,15800000,1994
chn,16150000,1995
chn,18100000,1996
chn,20430000,1997
chn,20950000,1998
chn,22680000,1999
chn,24480000,2000
chn,27300000,2001
chn,29390000,2002
chn,31510000,2003
chn,37310000,2004
chn,44390000,2005
chn,52700000,2006
chn,62320000,2007
chn,68470000,2008
col,1168000,1970
col,1244000,1971
col,1505000,1972
col,1496000,1973
col,1518000,1974
col,1461000,1975
col,1534000,1976
col,1772000,1977
col,2256000,1978
col,2573000,1979
col,2850000,1980
col,3055000,1981
col,3221000,1982
col,3457000,1983
col,3493000,1984
col,3618000,1985
col,3708000,1986
col,3769000,1987
col,3868000,1988
col,3570000,1989
col,3715000,1990
col,3693000,1991
col,3636000,1992
col,3815000,1993
col,3739000,1994
col,3966000,1995
col,4234000,1996
col,5335000,1997
col,5637000,1998
col,4663000,1999
col,5332000,2000
col,5492000,2001
col,5548000,2002
col,5465000,2003
col,5715000,2004
col,6028000,2005
col,6325000,2006
col,6787000,2007
col,8152000,2008
dnk,209000,1984
dnk,1010000,1985
dnk,1713000,1986
dnk,2183000,1987
dnk,2156000,1988
dnk,2765000,1989
dnk,2823000,1990
dnk,3547000,1991
dnk,3695000,1992
dnk,4053000,1993
dnk,4392000,1994
dnk,4756000,1995
dnk,5779000,1996
dnk,7074000,1997
dnk,6809000,1998
dnk,6980000,1999
dnk,7338000,2000
dnk,7544000,2001
dnk,7544000,2002
dnk,7168000,2003
dnk,8487000,2004
dnk,9402000,2005
dnk,9373000,2006
dnk,8301000,2007
dnk,9082000,2008
egy,76500,1970
egy,76500,1971
egy,63900,1972
egy,51300,1973
egy,54000,1974
egy,342000,1976
egy,414000,1977
egy,666000,1978
egy,1008000,1979
egy,1962000,1980
egy,2196000,1981
egy,2403000,1982
egy,2817000,1983
egy,3618000,1984
egy,4437000,1985
egy,5112000,1986
egy,5652000,1987
egy,6228000,1988
egy,6966000,1989
egy,7263000,1990
egy,8172000,1991
egy,8838000,1992
egy,10160000,1993
egy,10890000,1994
egy,11250000,1995
egy,11970000,1996
egy,12240000,1997
egy,12600000,1998
egy,15120000,1999
egy,18900000,2000
egy,22680000,2001
egy,24570000,2002
egy,27090000,2003
egy,29700000,2004
egy,38250000,2005
egy,49230000,2006
egy,50120000,2007
egy,52980000,2008
deu,9944000,1970
deu,12420000,1971
deu,14830000,1972
deu,16670000,1973
deu,17490000,1974
deu,15920000,1975
deu,16770000,1976
deu,17010000,1977
deu,18190000,1978
deu,18240000,1979
deu,16670000,1980
deu,17230000,1981
deu,15460000,1982
deu,16530000,1983
deu,17380000,1984
deu,15680000,1985
deu,15020000,1986
deu,16660000,1987
deu,15020000,1988
deu,14160000,1989
deu,14330000,1990
deu,13230000,1991
deu,13430000,1992
deu,13360000,1993
deu,14010000,1994
deu,14460000,1995
deu,15660000,1996
deu,15390000,1997
deu,15040000,1998
deu,16060000,1999
deu,15190000,2000
deu,15330000,2001
deu,15290000,2002
deu,15920000,2003
deu,14730000,2004
deu,14220000,2005
deu,14050000,2006
deu,12870000,2007
deu,11720000,2008
ind,591800,1970
ind,627100,1971
ind,687800,1972
ind,686000,1973
ind,776500,1974
ind,994000,1975
ind,1208000,1976
ind,1290000,1977
ind,1440000,1978
ind,1791000,1979
ind,1060000,1980
ind,1850000,1981
ind,2425000,1982
ind,2885000,1983
ind,3305000,1984
ind,4042000,1985
ind,5648000,1986
ind,6506000,1987
ind,7621000,1988
ind,9061000,1989
ind,10840000,1990
ind,12070000,1991
ind,13500000,1992
ind,13710000,1993
ind,14830000,1994
ind,16900000,1995
ind,18450000,1996
ind,20060000,1997
ind,22010000,1998
ind,22560000,1999
ind,23720000,2000
ind,23780000,2001
ind,24830000,2002
ind,26580000,2003
ind,26310000,2004
ind,26660000,2005
ind,26360000,2006
ind,27060000,2007
ind,27520000,2008
idn,1115000,1970
idn,1128000,1971
idn,1106000,1972
idn,720000,1973
idn,1014000,1974
idn,2097000,1975
idn,2115000,1976
idn,5094000,1977
idn,9792000,1978
idn,14200000,1979
idn,16660000,1980
idn,16890000,1981
idn,17170000,1982
idn,19590000,1983
idn,26420000,1984
idn,29070000,1985
idn,30250000,1986
idn,32320000,1987
idn,35300000,1988
idn,37130000,1989
idn,39490000,1990
idn,43370000,1991
idn,45960000,1992
idn,47750000,1993
idn,54400000,1994
idn,54650000,1995
idn,57580000,1996
idn,59120000,1997
idn,58130000,1998
idn,63030000,1999
idn,58670000,2000
idn,56960000,2001
idn,62690000,2002
idn,65900000,2003
idn,63270000,2004
idn,64080000,2005
idn,63230000,2006
idn,60870000,2007
idn,62700000,2008
irn,11590000,1970
irn,12850000,1971
irn,14710000,1972
irn,16010000,1973
irn,18600000,1974
irn,18250000,1975
irn,18000000,1976
irn,16970000,1977
irn,15250000,1978
irn,16120000,1979
irn,6424000,1980
irn,5355000,1981
irn,6480000,1982
irn,9900000,1983
irn,12150000,1984
irn,13140000,1985
irn,13680000,1986
irn,14400000,1987
irn,18000000,1988
irn,19980000,1989
irn,20840000,1990
irn,23180000,1991
irn,22500000,1992
irn,24360000,1993
irn,28620000,1994
irn,31770000,1995
irn,35100000,1996
irn,42300000,1997
irn,45000000,1998
irn,50720000,1999
irn,54220000,2000
irn,59400000,2001
irn,67500000,2002
irn,73350000,2003
irn,76410000,2004
irn,93150000,2005
irn,97740000,2006
irn,100700000,2007
irn,104700000,2008
ita,10820000,1970
ita,11020000,1971
ita,11680000,1972
ita,12620000,1973
ita,12600000,1974
ita,12010000,1975
ita,12900000,1976
ita,11320000,1977
ita,11300000,1978
ita,11030000,1979
ita,10260000,1980
ita,11500000,1981
ita,11810000,1982
ita,10590000,1983
ita,11210000,1984
ita,11540000,1985
ita,12930000,1986
ita,13250000,1987
ita,13470000,1988
ita,13770000,1989
ita,14030000,1990
ita,14110000,1991
ita,14730000,1992
ita,15680000,1993
ita,16550000,1994
ita,16350000,1995
ita,16360000,1996
ita,15900000,1997
ita,15680000,1998
ita,14420000,1999
ita,13720000,2000
ita,12580000,2001
ita,12060000,2002
ita,11460000,2003
ita,10690000,2004
ita,9959000,2005
ita,9058000,2006
ita,8007000,2007
ita,7539000,2008
kaz,4447000,1985
kaz,4724000,1986
kaz,5131000,1987
kaz,5783000,1988
kaz,5457000,1989
kaz,5783000,1990
kaz,6434000,1991
kaz,6597000,1992
kaz,5457000,1993
kaz,3665000,1994
kaz,4805000,1995
kaz,5294000,1996
kaz,6609000,1997
kaz,6474000,1998
kaz,8101000,1999
kaz,9401000,2000
kaz,9456000,2001
kaz,9211000,2002
kaz,11300000,2003
kaz,18000000,2004
kaz,20340000,2005
kaz,21490000,2006
kaz,23800000,2007
kaz,27190000,2008
kwt,1833000,1970
kwt,1894000,1971
kwt,2238000,1972
kwt,2507000,1973
kwt,2638000,1974
kwt,2891000,1975
kwt,3478000,1976
kwt,3792000,1977
kwt,4249000,1978
kwt,5626000,1979
kwt,3664000,1980
kwt,4216000,1981
kwt,3308000,1982
kwt,3632000,1983
kwt,3938000,1984
kwt,3780000,1985
kwt,5157000,1986
kwt,4302000,1987
kwt,6156000,1988
kwt,7344000,1989
kwt,3771000,1990
kwt,450000,1991
kwt,2358000,1992
kwt,4878000,1993
kwt,5373000,1994
kwt,8350000,1995
kwt,8372000,1996
kwt,8343000,1997
kwt,8542000,1998
kwt,7776000,1999
kwt,8640000,2000
kwt,9450000,2001
kwt,8514000,2002
kwt,9918000,2003
kwt,10710000,2004
kwt,10980000,2005
kwt,11250000,2006
kwt,10890000,2007
kwt,11520000,2008
lby,1303000,1971
lby,2878000,1972
lby,3418000,1973
lby,3148000,1974
lby,4176000,1975
lby,4302000,1976
lby,4545000,1977
lby,4608000,1978
lby,6111000,1979
lby,4653000,1980
lby,3420000,1981
lby,3042000,1982
lby,3105000,1983
lby,3303000,1984
lby,4140000,1985
lby,5040000,1986
lby,4500000,1987
lby,4950000,1988
lby,6120000,1989
lby,5580000,1990
lby,5886000,1991
lby,6093000,1992
lby,5724000,1993
lby,5751000,1994
lby,5706000,1995
lby,5778000,1996
lby,5913000,1997
lby,5724000,1998
lby,4518000,1999
lby,5292000,2000
lby,5562000,2001
lby,5310000,2002
lby,4950000,2003
lby,7254000,2004
lby,10170000,2005
lby,11870000,2006
lby,13770000,2007
lby,14310000,2008
mys,214000,1983
mys,6775000,1984
mys,9234000,1985
mys,12560000,1986
mys,14030000,1987
mys,14800000,1988
mys,15740000,1989
mys,16040000,1990
mys,18330000,1991
mys,20500000,1992
mys,22440000,1993
mys,23520000,1994
mys,25990000,1995
mys,30280000,1996
mys,34770000,1997
mys,34620000,1998
mys,36760000,1999
mys,40730000,2000
mys,42250000,2001
mys,43500000,2002
mys,46630000,2003
mys,48490000,2004
mys,53950000,2005
mys,53710000,2006
mys,54740000,2007
mys,56290000,2008
mex,10120000,1970
mex,10020000,1971
mex,10440000,1972
mex,11350000,1973
mex,11900000,1974
mex,12090000,1975
mex,11880000,1976
mex,12590000,1977
mex,15760000,1978
mex,19140000,1979
mex,23140000,1980
mex,24910000,1981
mex,26620000,1982
mex,26800000,1983
mex,26370000,1984
mex,25620000,1985
mex,22780000,1986
mex,23150000,1987
mex,23460000,1988
mex,22520000,1989
mex,24410000,1990
mex,24750000,1991
mex,23960000,1992
mex,25840000,1993
mex,26670000,1994
mex,25890000,1995
mex,31500000,1996
mex,32080000,1997
mex,34530000,1998
mex,33390000,1999
mex,33990000,2000
mex,33670000,2001
mex,35020000,2002
mex,37040000,2003
mex,38420000,2004
mex,40520000,2005
mex,46420000,2006
mex,48630000,2007
mex,49410000,2008
mmr,151000,1974
mmr,162000,1975
mmr,225000,1976
mmr,207000,1977
mmr,243000,1978
mmr,243000,1979
mmr,315000,1980
mmr,378000,1981
mmr,405000,1982
mmr,540000,1983
mmr,576000,1984
mmr,828000,1985
mmr,963000,1986
mmr,1071000,1987
mmr,936000,1988
mmr,981000,1989
mmr,765000,1990
mmr,774000,1991
mmr,783000,1992
mmr,990000,1993
mmr,1287000,1994
mmr,1476000,1995
mmr,1440000,1996
mmr,1359000,1997
mmr,1584000,1998
mmr,1548000,1999
mmr,3060000,2000
mmr,6300000,2001
mmr,7560000,2002
mmr,8640000,2003
mmr,9180000,2004
mmr,10980000,2005
mmr,11340000,2006
mmr,12170000,2007
mmr,11160000,2008
nld,24010000,1970
nld,33180000,1971
nld,44240000,1972
nld,53780000,1973
nld,63760000,1974
nld,69070000,1975
nld,73800000,1976
nld,74050000,1977
nld,67780000,1978
nld,71090000,1979
nld,68740000,1980
nld,63830000,1981
nld,54570000,1982
nld,58110000,1983
nld,58830000,1984
nld,61600000,1985
nld,56310000,1986
nld,56430000,1987
nld,49800000,1988
nld,54440000,1989
nld,54930000,1990
nld,62060000,1991
nld,62470000,1992
nld,63720000,1993
nld,60190000,1994
nld,61010000,1995
nld,69060000,1996
nld,61110000,1997
nld,58290000,1998
nld,54200000,1999
nld,52280000,2000
nld,56180000,2001
nld,54270000,2002
nld,52250000,2003
nld,61610000,2004
nld,56290000,2005
nld,55410000,2006
nld,54490000,2007
nld,60770000,2008
nzl,100000,1970
nzl,127000,1971
nzl,230000,1972
nzl,267000,1973
nzl,312600,1974
nzl,343900,1975
nzl,807000,1976
nzl,1368000,1977
nzl,1283000,1978
nzl,857900,1979
nzl,793900,1980
nzl,968400,1981
nzl,1718000,1982
nzl,1860000,1983
nzl,2371000,1984
nzl,3036000,1985
nzl,3645000,1986
nzl,3510000,1987
nzl,3800000,1988
nzl,3908000,1989
nzl,3897000,1990
nzl,4228000,1991
nzl,4482000,1992
nzl,4371000,1993
nzl,4067000,1994
nzl,3856000,1995
nzl,4397000,1996
nzl,4712000,1997
nzl,4151000,1998
nzl,4810000,1999
nzl,5056000,2000
nzl,5321000,2001
nzl,5058000,2002
nzl,3858000,2003
nzl,3453000,2004
nzl,3203000,2005
nzl,3313000,2006
nzl,3650000,2007
nzl,3431000,2008
nga,100000,1970
nga,185000,1971
nga,248000,1972
nga,380000,1973
nga,355000,1974
nga,318000,1975
nga,590000,1976
nga,777000,1977
nga,941000,1978
nga,1240000,1979
nga,1499000,1980
nga,2208000,1981
nga,2300000,1982
nga,2607000,1983
nga,2508000,1984
nga,2376000,1985
nga,2771000,1986
nga,2744000,1987
nga,3299000,1988
nga,3820000,1989
nga,3637000,1990
nga,3548000,1991
nga,3840000,1992
nga,4376000,1993
nga,3997000,1994
nga,4350000,1995
nga,4893000,1996
nga,4593000,1997
nga,4618000,1998
nga,5440000,1999
nga,11280000,2000
nga,13410000,2001
nga,12780000,2002
nga,17280000,2003
nga,20520000,2004
nga,20160000,2005
nga,25590000,2006
nga,31510000,2007
nga,31520000,2008
nor,2390000,1977
nor,12780000,1978
nor,18600000,1979
nor,22580000,1980
nor,22460000,1981
nor,21560000,1982
nor,21250000,1983
nor,23370000,1984
nor,23570000,1985
nor,23480000,1986
nor,25340000,1987
nor,25500000,1988
nor,25860000,1989
nor,22930000,1990
nor,22520000,1991
nor,23250000,1992
nor,22320000,1993
nor,24160000,1994
nor,25030000,1995
nor,33670000,1996
nor,38660000,1997
nor,39770000,1998
nor,43630000,1999
nor,44770000,2000
nor,48510000,2001
nor,58950000,2002
nor,65810000,2003
nor,70620000,2004
nor,76470000,2005
nor,78850000,2006
nor,80700000,2007
nor,89310000,2008
omn,289000,1978
omn,486000,1979
omn,617000,1980
omn,727000,1981
omn,796000,1982
omn,988000,1983
omn,1242000,1984
omn,1581000,1985
omn,1849000,1986
omn,2071000,1987
omn,2084000,1988
omn,2163000,1989
omn,2337000,1990
omn,2370000,1991
omn,2590000,1992
omn,2486000,1993
omn,2603000,1994
omn,3646000,1995
omn,3942000,1996
omn,4484000,1997
omn,4656000,1998
omn,4907000,1999
omn,7803000,2000
omn,12570000,2001
omn,13500000,2002
omn,14850000,2003
omn,16650000,2004
omn,17810000,2005
omn,21330000,2006
omn,21640000,2007
omn,21640000,2008
pak,3137000,1970
pak,3128000,1971
pak,2899000,1972
pak,3302000,1973
pak,3653000,1974
pak,4104000,1975
pak,4185000,1976
pak,4572000,1977
pak,4698000,1978
pak,5292000,1979
pak,6462000,1980
pak,7047000,1981
pak,7686000,1982
pak,7578000,1983
pak,7776000,1984
pak,7938000,1985
pak,8514000,1986
pak,9117000,1987
pak,9666000,1988
pak,10300000,1989
pak,11010000,1990
pak,11890000,1991
pak,11660000,1992
pak,13430000,1993
pak,13690000,1994
pak,14040000,1995
pak,15260000,1996
pak,15210000,1997
pak,16020000,1998
pak,18270000,1999
pak,19350000,2000
pak,20430000,2001
pak,22150000,2002
pak,27400000,2003
pak,31010000,2004
pak,31950000,2005
pak,32510000,2006
pak,32810000,2007
pak,33750000,2008
pol,4402000,1970
pol,4540000,1971
pol,4803000,1972
pol,4870000,1973
pol,4715000,1974
pol,4851000,1975
pol,5283000,1976
pol,5560000,1977
pol,5964000,1978
pol,5348000,1979
pol,4543000,1980
pol,4037000,1981
pol,3724000,1982
pol,3638000,1983
pol,3996000,1984
pol,4134000,1985
pol,3752000,1986
pol,3769000,1987
pol,3740000,1988
pol,3463000,1989
pol,2377000,1990
pol,2658000,1991
pol,2537000,1992
pol,3271000,1993
pol,3068000,1994
pol,3138000,1995
pol,3243000,1996
pol,3204000,1997
pol,3248000,1998
pol,3102000,1999
pol,3306000,2000
pol,3491000,2001
pol,3568000,2002
pol,3611000,2003
pol,3926000,2004
pol,3884000,2005
pol,3880000,2006
pol,3897000,2007
pol,3650000,2008
qat,905000,1970
qat,905000,1971
qat,993000,1972
qat,1422000,1973
qat,1168000,1974
qat,1803000,1975
qat,985000,1976
qat,1396000,1977
qat,1331000,1978
qat,3926000,1979
qat,4267000,1980
qat,3891000,1981
qat,4550000,1982
qat,4712000,1983
qat,5337000,1984
qat,4914000,1985
qat,5220000,1986
qat,5049000,1987
qat,5274000,1988
qat,5580000,1989
qat,5670000,1990
qat,6867000,1991
qat,11360000,1992
qat,12150000,1993
qat,12150000,1994
qat,12150000,1995
qat,12330000,1996
qat,15660000,1997
qat,17620000,1998
qat,19840000,1999
qat,21330000,2000
qat,24300000,2001
qat,26550000,2002
qat,28260000,2003
qat,35250000,2004
qat,41220000,2005
qat,45630000,2006
qat,56880000,2007
qat,68960000,2008
rou,21000000,1970
rou,22440000,1971
rou,22960000,1972
rou,24300000,1973
rou,25080000,1974
rou,27250000,1975
rou,29720000,1976
rou,31480000,1977
rou,31690000,1978
rou,30280000,1979
rou,31270000,1980
rou,32910000,1981
rou,33280000,1982
rou,33020000,1983
rou,32780000,1984
rou,31340000,1985
rou,31710000,1986
rou,30140000,1987
rou,29520000,1988
rou,26460000,1989
rou,25500000,1990
rou,22010000,1991
rou,19600000,1992
rou,18530000,1993
rou,16810000,1994
rou,16240000,1995
rou,15520000,1996
rou,13470000,1997
rou,12630000,1998
rou,12620000,1999
rou,12380000,2000
rou,12210000,2001
rou,11900000,2002
rou,11730000,2003
rou,11510000,2004
rou,11160000,2005
rou,10750000,2006
rou,10370000,2007
rou,10370000,2008
rus,376300000,1985
rus,409700000,1986
rus,443300000,1987
rus,480400000,1988
rus,501600000,1989
rus,522100000,1990
rus,523700000,1991
rus,521600000,1992
rus,503300000,1993
rus,494600000,1994
rus,484900000,1995
rus,489900000,1996
rus,465000000,1997
rus,481400000,1998
rus,481100000,1999
rus,475800000,2000
rus,473600000,2001
rus,484900000,2002
rus,505200000,2003
rus,516000000,2004
rus,522100000,2005
rus,534400000,2006
rus,532800000,2007
rus,541500000,2008
sau,1455000,1970
sau,1214000,1971
sau,1376000,1972
sau,1620000,1973
sau,2050000,1974
sau,2439000,1975
sau,2633000,1976
sau,3705000,1977
sau,5109000,1978
sau,6273000,1979
sau,8752000,1980
sau,10200000,1981
sau,10820000,1982
sau,10560000,1983
sau,16380000,1984
sau,16920000,1985
sau,22680000,1986
sau,24120000,1987
sau,26190000,1988
sau,26820000,1989
sau,30170000,1990
sau,31650000,1991
sau,34420000,1992
sau,36040000,1993
sau,38490000,1994
sau,38640000,1995
sau,39970000,1996
sau,40810000,1997
sau,42140000,1998
sau,41580000,1999
sau,44830000,2000
sau,48320000,2001
sau,51030000,2002
sau,54050000,2003
sau,59110000,2004
sau,64120000,2005
sau,66150000,2006
sau,66960000,2007
sau,70290000,2008
syr,64000,1983
syr,109000,1984
syr,129000,1985
syr,326000,1986
syr,321000,1987
syr,759000,1988
syr,1243000,1989
syr,1369000,1990
syr,1597000,1991
syr,1652000,1992
syr,1635000,1993
syr,1773000,1994
syr,2235000,1995
syr,2382000,1996
syr,3694000,1997
syr,4780000,1998
syr,4893000,1999
syr,4942000,2000
syr,4529000,2001
syr,5509000,2002
syr,5550000,2003
syr,5752000,2004
syr,4942000,2005
syr,5104000,2006
syr,5063000,2007
syr,4933000,2008
tha,237000,1981
tha,1208000,1982
tha,1422000,1983
tha,2123000,1984
tha,2791000,1985
tha,3256000,1986
tha,4549000,1987
tha,5643000,1988
tha,5386000,1989
tha,5870000,1990
tha,7274000,1991
tha,7761000,1992
tha,8735000,1993
tha,9656000,1994
tha,10220000,1995
tha,11820000,1996
tha,14550000,1997
tha,15790000,1998
tha,17300000,1999
tha,18220000,2000
tha,17670000,2001
tha,18470000,2002
tha,19590000,2003
tha,20130000,2004
tha,21320000,2005
tha,21890000,2006
tha,23390000,2007
tha,25970000,2008
tto,1644000,1970
tto,1602000,1971
tto,1656000,1972
tto,1590000,1973
tto,1453000,1974
tto,1320000,1975
tto,1486000,1976
tto,1747000,1977
tto,2085000,1978
tto,2277000,1979
tto,2483000,1980
tto,2604000,1981
tto,3187000,1982
tto,3557000,1983
tto,3710000,1984
tto,3706000,1985
tto,3910000,1986
tto,4052000,1987
tto,4561000,1988
tto,4604000,1989
tto,4744000,1990
tto,5135000,1991
tto,5363000,1992
tto,5284000,1993
tto,5609000,1994
tto,5513000,1995
tto,6357000,1996
tto,6651000,1997
