geo,literacy_rate_adult_female_percent_of_females_ages_15_above,time
ecu,81.68,2007
ecu,81.45,2009
ecu,90.47,2010
ecu,90.22,2011
egy,22.44,1976
egy,31.4,1986
egy,43.6,1996
egy,59.36,2005
egy,57.81,2006
egy,63.52,2010
egy,64.64,2011
slv,71.28,1992
slv,78.36,2004
slv,81.0,2006
slv,79.66,2007
slv,81.36,2008
slv,81.82,2009
slv,82.31,2010
gnq,81.62,2000
gnq,91.08,2011
eri,40.22,2002
eri,59.04,2011
est,99.6,1989
est,99.76,2000
est,99.82,2011
eth,18.51,1994
eth,22.8,2004
eth,17.98,2005
eth,28.92,2007
gab,65.33,1993
gab,79.31,2004
gab,85.64,2011
gmb,25.06,2000
gmb,41.89,2011
geo,99.55,2002
geo,99.69,2011
gha,49.79,2000
gha,65.29,2010
grc,85.32,1981
grc,89.35,1991
grc,94.24,2001
grc,96.28,2011
gtm,57.29,1994
gtm,63.34,2002
gtm,71.08,2011
gin,9.743,1996
gin,18.24,2003
gin,12.19,2010
gnb,8.588,1979
gnb,27.49,2000
gnb,42.07,2011
guy,87.25,2009
hti,32.52,1982
hti,54.86,2003
hti,44.6,2006
hnd,80.22,2001
hnd,83.45,2007
hnd,84.73,2010
hnd,84.93,2011
hun,98.45,1980
hun,98.71,1994
hun,98.85,2004
hun,98.94,2011
ind,25.68,1981
ind,33.73,1991
ind,47.84,2001
ind,50.82,2006
idn,57.69,1980
idn,75.27,1990
idn,86.8,2004
idn,88.79,2006
idn,89.1,2008
idn,89.68,2009
idn,90.07,2011
irn,24.42,1976
irn,41.03,1986
irn,56.16,1991
irn,66.07,1996
irn,70.4,2002
irn,76.8,2005
irn,77.24,2006
irn,80.66,2008
irq,64.17,2000
irq,71.21,2011
isr,88.67,1983
ita,95.54,1981
ita,98.04,2001
ita,98.74,2011
jam,85.87,1999
jam,91.77,2011
jor,52.11,1979
jor,84.71,2003
jor,87.01,2005
jor,88.9,2007
jor,89.21,2010
jor,93.93,2011
kaz,96.14,1989
kaz,99.29,1999
kaz,99.68,2009
ken,77.89,2000
ken,66.86,2007
prk,100.0,2008
kwt,48.02,1975
kwt,59.11,1980
kwt,68.85,1985
kwt,74.15,1995
kwt,91.04,2005
kwt,90.83,2006
kwt,91.5,2007
kwt,91.79,2008
kgz,98.13,1999
kgz,98.98,2009
lao,47.9,1995
lao,58.46,2000
lao,60.9,2001
lao,63.23,2005
lva,99.2,1989
lva,99.71,2000
lva,99.8,2011
lbn,85.97,2007
lso,92.05,2000
lso,84.96,2009
lbr,19.3,1984
lbr,32.02,1994
lbr,47.88,2004
lbr,27.03,2007
lby,42.31,1984
lby,64.96,1994
lby,78.2,2004
lby,83.32,2011
ltu,97.78,1989
ltu,99.65,2001
ltu,99.72,2011
mac,86.22,1981
mac,87.77,2001
mac,90.72,2006
mac,93.73,2011
mkd,90.93,1994
mkd,94.06,2002
mkd,96.04,2011
mdg,65.28,2000
mdg,61.64,2009
mwi,33.52,1987
mwi,54.0,1998
mwi,51.25,2010
mys,61.25,1980
mys,77.28,1991
mys,85.35,2000
mys,90.75,2010
mdv,82.18,1977
mdv,92.36,1985
mdv,96.15,1990
mdv,96.44,1995
mdv,96.44,2000
mdv,98.43,2006
mli,5.735,1976
mli,11.89,1998
mli,15.9,2003
mli,18.19,2006
mli,20.29,2010
mli,24.57,2011
mlt,88.29,1985
mlt,89.24,1995
mlt,93.5,2005
mrt,43.42,2000
mrt,51.98,2011
mus,74.66,1990
mus,80.5,2000
mus,86.66,2011
mex,79.89,1980
mex,84.96,1990
mex,88.68,2000
mex,88.73,2002
mex,89.63,2004
mex,90.21,2005
mex,89.83,2006
mex,91.36,2007
mex,91.45,2008
mex,92.12,2009
mex,91.85,2010
mex,92.34,2011
mda,94.44,1989
mda,95.49,2000
mda,98.48,2011
mng,97.53,2000
mng,97.88,2011
mne,97.59,2011
mar,17.51,1982
mar,28.73,1994
mar,39.62,2004
mar,42.59,2008
mar,43.92,2009
mar,57.64,2011
moz,12.15,1980
moz,24.96,1997
moz,33.19,2003
moz,36.45,2009
mmr,71.63,1983
mmr,86.42,2000
mmr,90.37,2011
nam,73.99,1991
nam,83.49,2001
nam,78.35,2007
npl,9.153,1981
npl,17.38,1991
npl,34.89,2001
npl,46.71,2011
ant,95.01,1992
ant,96.53,2011
nic,76.6,2001
nic,77.92,2005
ner,9.399,2001
ner,15.08,2005
nga,43.73,1991
nga,43.32,2003
nga,41.39,2008
omn,73.53,2003
omn,80.87,2008
omn,81.8,2010
pak,14.77,1981
pak,29.04,1998
pak,35.37,2005
pak,39.61,2006
pak,40.08,2008
pak,40.31,2009
plw,90.5,1980
pan,88.05,1980
pan,88.21,1990
pan,91.25,2000
pan,93.49,2010
png,50.92,2000
png,59.4,2011
pry,75.85,1982
pry,88.56,1992
pry,93.45,2007
pry,92.49,2008
pry,93.14,2009
pry,92.93,2010
per,73.86,1981
per,81.66,1993
per,82.06,2004
per,82.45,2005
per,83.45,2006
per,84.65,2007
phl,82.76,1980
phl,93.18,1990
phl,92.65,2000
phl,93.56,2003
phl,95.83,2008
pol,98.25,1978
pol,99.12,1994
pol,99.42,2004
pol,99.58,2011
prt,74.61,1981
prt,84.66,1991
prt,93.96,2011
pri,85.85,1980
pri,89.73,1990
pri,90.96,2004
pri,90.91,2011
qat,72.46,1986
qat,80.89,1997
qat,88.61,2004
qat,90.44,2007
qat,92.66,2008
qat,92.91,2009
qat,95.4,2010
rou,94.98,1992
rou,96.27,2002
rou,97.15,2011
rus,96.76,1989
rus,99.23,2002
rus,99.65,2010
rwa,26.57,1978
rwa,59.75,2000
rwa,61.55,2010
wsm,97.42,1991
wsm,98.25,2004
wsm,98.62,2011
stp,42.36,1981
stp,61.92,1991
stp,77.95,2001
stp,60.08,2008
sau,57.28,1992
sau,69.29,2000
sau,76.34,2004
sau,82.24,2011
sen,17.86,1988
sen,29.25,2002
sen,32.99,2006
sen,38.67,2009
srb,96.87,2011
syc,85.49,1987
syc,88.59,1994
syc,92.26,2002
syc,92.26,2011
sle,24.16,2004
sle,32.63,2011
sgp,73.97,1980
sgp,83.03,1990
sgp,88.65,2000
sgp,93.77,2010
svn,99.45,1991
svn,99.62,2004
svn,99.67,2011
zaf,74.81,1980
zaf,80.93,1996
zaf,87.04,2007
zaf,92.18,2011
esp,89.94,1981
esp,95.05,1991
esp,96.93,2005
esp,97.26,2007
esp,96.89,2008
esp,96.93,2009
esp,97.0,2010
lka,82.02,1981
lka,89.14,2001
lka,89.09,2006
lka,89.07,2008
lka,89.96,2010
sdn,52.15,2000
sdn,63.16,2011
sur,87.2,2004
sur,93.77,2008
sur,94.0,2010
swz,53.67,1976
swz,65.22,1986
swz,80.33,2000
swz,87.33,2011
syr,37.06,1981
syr,74.24,2002
syr,73.63,2004
syr,77.75,2011
tjk,96.64,1989
tjk,99.22,2000
tjk,99.62,2011
tza,48.09,1988
tza,62.17,2002
tza,60.75,2010
tha,83.89,1980
tha,90.52,2000
tha,91.53,2005
tls,30.0,2001
tls,42.5,2007
tls,52.96,2010
tgo,38.45,2000
tgo,44.38,2006
tgo,43.61,2009
tgo,47.98,2011
ton,99.53,1976
ton,98.98,1996
ton,99.08,2006
tto,93.46,1980
tto,95.66,1990
tto,97.81,2004
tto,98.49,2011
tun,35.77,1984
tun,48.24,1994
tun,65.35,2004
tun,68.51,2007
tun,70.96,2008
tun,71.09,2010
tur,45.1,1975
tur,49.81,1980
tur,64.23,1985
tur,68.52,1990
tur,79.58,2004
tur,80.55,2005
tur,80.39,2006
tur,81.26,2007
tur,85.35,2009
tur,88.07,2010
tur,90.31,2011
tkm,98.26,1995
tkm,99.49,2011
uga,44.83,1991
uga,58.91,2002
uga,62.08,2006
uga,64.59,2010
ukr,99.17,2001
ukr,99.66,2011
are,38.12,1975
are,68.66,1985
are,91.47,2005
ury,94.3,1975
ury,95.88,1985
ury,97.27,1996
ury,98.08,2006
ury,98.24,2007
ury,98.46,2008
ury,98.61,2009
ury,98.49,2010
uzb,98.14,2000
uzb,99.23,2011
vut,47.78,1979
vut,65.45,1994
vut,76.05,2004
vut,81.55,2011
ven,83.0,1981
ven,89.0,1990
ven,92.72,2001
ven,94.93,2007
ven,95.35,2009
pse,79.73,1997
pse,87.95,2004
pse,89.76,2006
pse,90.47,2007
pse,90.9,2008
pse,91.7,2009
pse,92.17,2010
pse,92.62,2011
vnm,78.14,1979
vnm,82.83,1989
vnm,86.92,1999
vnm,86.61,2000
vnm,91.38,2011
yem,17.06,1994
yem,35.49,2004
yem,48.54,2011
zmb,57.36,1990
zmb,59.8,1999
zmb,61.84,2002
zmb,51.79,2007
zwe,71.85,1982
zwe,78.52,1992
zwe,80.07,2011
