geo,time,other_social_services_aid_given_percent_of_aid
nld,1989,13.05
nld,1990,14.38
nld,1991,15.22
nld,1992,12.55
nld,1993,10.12
nld,1994,14.72
nld,1995,12.38
nld,1996,7.645
nld,1997,6.915
nld,1998,6.017
nld,1999,7.531
nld,2000,13.17
nld,2001,10.27
nld,2002,8.365
nld,2003,8.364
nld,2004,3.339
nld,2005,3.924
nld,2006,2.069
nld,2007,1.322
nzl,1973,1.087
nzl,1974,2.453
nzl,1975,1.829
nzl,1976,0.338
nzl,1977,0.3065
nzl,1978,1.174
nzl,1979,2.346
nzl,1980,0.2543
nzl,1982,0.3956
nzl,1983,0.3571
nzl,1984,0.6999
nzl,1985,1.194
nzl,1987,0.2489
nzl,1988,0.898
nzl,1990,24.45
nzl,1991,1.486
nzl,1992,2.009
nzl,1993,2.189
nzl,1994,2.798
nzl,1995,2.801
nzl,1998,13.75
nzl,1999,5.766
nzl,2000,4.695
nzl,2001,2.617
nzl,2002,7.493
nzl,2003,12.85
nzl,2004,2.696
nzl,2005,3.535
nzl,2006,2.619
nzl,2007,1.849
nor,1967,45.08
nor,1968,49.98
nor,1970,52.24
nor,1973,3.796
nor,1974,2.49
nor,1975,5.722
nor,1976,5.469
nor,1977,0.9505
nor,1978,1.622
nor,1979,1.103
nor,1980,1.163
nor,1981,1.082
nor,1982,0.876
nor,1983,0.435
nor,1984,5.649
nor,1985,5.746
nor,1986,6.337
nor,1987,7.107
nor,1988,5.709
nor,1989,10.03
nor,1990,6.75
nor,1991,5.483
nor,1992,10.22
nor,1993,8.351
nor,1994,16.4
nor,1995,10.57
nor,1996,19.75
nor,1997,9.376
nor,1998,12.68
nor,1999,14.63
nor,2000,12.48
nor,2001,8.175
nor,2002,11.2
nor,2003,9.849
nor,2004,9.294
nor,2005,8.194
nor,2006,5.702
nor,2007,4.236
prt,1992,12.91
prt,1994,4.906
prt,1995,8.35
prt,1996,8.297
prt,1997,13.77
prt,1998,14.58
prt,1999,9.549
prt,2000,17.22
prt,2001,12.28
prt,2002,14.09
prt,2003,11.38
prt,2004,15.69
prt,2005,13.28
prt,2006,10.71
prt,2007,8.343
esp,1991,1.477
esp,1992,5.765
esp,1993,5.147
esp,1994,13.06
esp,1995,8.479
esp,1996,7.11
esp,1997,9.816
esp,1998,9.227
esp,1999,20.09
esp,2000,15.23
esp,2001,14.77
esp,2002,15.75
esp,2003,14.52
esp,2004,11.84
esp,2005,9.319
esp,2006,10.26
esp,2007,16.94
swe,1967,50.58
swe,1968,6.142
swe,1969,21.2
swe,1970,50.63
swe,1972,4.507
swe,1973,0.0959
swe,1974,0.2489
swe,1975,3.117
swe,1976,1.226
swe,1977,1.46
swe,1978,3.257
swe,1979,0.8711
swe,1980,0.34
swe,1981,2.579
swe,1982,1.389
swe,1983,6.27
swe,1984,0.9927
swe,1985,1.785
swe,1986,3.455
swe,1987,3.651
swe,1988,1.236
swe,1989,4.487
swe,1990,2.551
swe,1991,5.587
swe,1992,9.46
swe,1993,9.089
swe,1994,10.47
swe,1995,7.6
swe,1996,4.391
swe,1997,16.05
swe,1998,7.48
swe,1999,13.25
swe,2000,12.4
swe,2001,10.85
swe,2002,11.44
swe,2003,12.48
swe,2004,11.12
swe,2005,6.27
swe,2006,6.298
swe,2007,5.739
che,1967,40.43
che,1968,33.0
che,1969,22.95
che,1970,23.89
che,1972,20.9
che,1973,5.522
che,1974,6.701
che,1976,1.786
che,1977,1.572
che,1978,12.43
che,1979,1.826
che,1980,3.338
che,1981,1.768
che,1982,5.7
che,1983,3.574
che,1984,6.577
che,1985,4.645
che,1986,5.527
che,1987,6.253
che,1988,4.658
che,1989,3.494
che,1990,4.473
che,1991,4.923
che,1992,6.979
che,1993,17.46
che,1994,10.47
che,1995,7.632
che,1996,3.309
che,1998,2.497
che,1999,0.2102
che,2000,0.498
che,2001,0.5078
che,2002,0.5254
che,2003,2.537
