geo,hepb3_immunized_percent_of_one_year_olds,time
rwa,97,2009
rwa,97,2010
rwa,97,2011
kna,99,1998
kna,99,1999
kna,99,2000
kna,99,2001
kna,96,2002
kna,99,2003
kna,96,2004
kna,99,2005
kna,99,2006
kna,99,2007
kna,98,2008
kna,97,2009
kna,96,2010
kna,98,2011
lca,14,2002
lca,84,2003
lca,91,2004
lca,95,2005
lca,85,2006
lca,99,2007
lca,96,2008
lca,95,2009
lca,97,2010
lca,97,2011
vct,31,2003
vct,99,2004
vct,99,2005
vct,99,2006
vct,99,2007
vct,99,2008
vct,99,2009
vct,99,2010
vct,96,2011
wsm,18,1992
wsm,1,1993
wsm,94,1994
wsm,96,1995
wsm,98,1996
wsm,99,1997
wsm,99,1998
wsm,99,1999
wsm,96,2000
wsm,98,2001
wsm,98,2002
wsm,97,2003
wsm,70,2004
wsm,60,2005
wsm,56,2006
wsm,69,2007
wsm,38,2008
wsm,72,2009
wsm,87,2010
wsm,91,2011
smr,99,1991
smr,99,1992
smr,98,1993
smr,98,1994
smr,98,1995
smr,98,1996
smr,97,1997
smr,97,1999
smr,94,2000
smr,95,2001
smr,95,2002
smr,96,2003
smr,97,2004
smr,95,2005
smr,95,2006
smr,92,2007
smr,87,2008
smr,92,2009
smr,78,2010
smr,86,2011
stp,43,2003
stp,70,2004
stp,96,2005
stp,75,2006
stp,87,2007
stp,99,2008
stp,98,2009
stp,98,2010
stp,96,2011
sau,66,1990
sau,86,1991
sau,89,1992
sau,93,1993
sau,94,1994
sau,93,1995
sau,92,1996
sau,91,1997
sau,95,1998
sau,92,1999
sau,93,2000
sau,95,2001
sau,97,2002
sau,95,2003
sau,96,2004
sau,97,2005
sau,96,2006
sau,96,2007
sau,98,2008
sau,98,2009
sau,98,2010
sau,98,2011
sen,54,2004
sen,84,2005
sen,89,2006
sen,94,2007
sen,88,2008
sen,86,2009
sen,85,2010
sen,83,2011
srb,89,2004
srb,65,2005
srb,93,2006
srb,99,2007
srb,93,2008
srb,93,2009
srb,89,2010
srb,89,2011
syc,99,1995
syc,98,1996
syc,97,1997
syc,97,1998
syc,99,1999
syc,98,2000
syc,96,2001
syc,99,2002
syc,99,2003
syc,99,2004
syc,99,2005
syc,99,2006
syc,99,2007
syc,99,2008
syc,99,2009
syc,99,2010
syc,99,2011
sle,63,2007
sle,78,2008
sle,84,2009
sle,84,2010
sle,84,2011
sgp,74,1990
sgp,76,1991
sgp,78,1992
sgp,90,1993
sgp,94,1994
sgp,96,1995
sgp,96,1996
sgp,97,1997
sgp,96,1998
sgp,96,1999
sgp,97,2000
sgp,95,2001
sgp,95,2002
sgp,95,2003
sgp,94,2004
sgp,96,2005
sgp,94,2006
sgp,95,2007
sgp,96,2008
sgp,97,2009
sgp,96,2010
sgp,96,2011
svk,98,2000
svk,99,2001
svk,99,2002
svk,99,2003
svk,99,2004
svk,99,2005
svk,99,2006
svk,99,2007
svk,99,2008
svk,99,2009
svk,99,2010
svk,99,2011
slb,53,1993
slb,65,1994
slb,68,1995
slb,97,1996
slb,73,1997
slb,74,1998
slb,76,1999
slb,77,2000
slb,78,2001
slb,69,2002
slb,71,2003
slb,72,2004
slb,73,2005
slb,93,2006
slb,79,2007
slb,77,2008
slb,81,2009
slb,79,2010
slb,88,2011
zaf,74,1997
zaf,74,1998
zaf,73,1999
zaf,73,2000
zaf,72,2001
zaf,72,2002
zaf,71,2003
zaf,66,2004
zaf,74,2005
zaf,76,2006
zaf,74,2007
zaf,65,2008
zaf,70,2009
zaf,74,2010
zaf,76,2011
esp,82,1996
esp,84,1997
esp,81,1998
esp,80,1999
esp,77,2000
esp,83,2001
esp,82,2002
esp,81,2003
esp,78,2004
esp,81,2005
esp,81,2006
esp,96,2007
esp,97,2008
esp,96,2009
esp,97,2010
esp,97,2011
lka,32,2003
lka,62,2004
lka,99,2005
lka,98,2006
lka,98,2007
lka,98,2008
lka,97,2009
lka,99,2010
lka,99,2011
sdn,22,2005
sdn,60,2006
sdn,78,2007
sdn,78,2008
sdn,72,2009
sdn,75,2010
sdn,93,2011
sur,83,2005
sur,84,2006
sur,84,2007
sur,84,2008
sur,87,2009
sur,86,2010
sur,86,2011
swz,76,1996
swz,76,1997
swz,78,1998
swz,81,1999
swz,83,2000
swz,86,2001
swz,88,2002
swz,90,2003
swz,93,2004
swz,95,2005
swz,95,2006
swz,95,2007
swz,94,2008
swz,94,2009
swz,89,2010
swz,91,2011
syr,5,1992
syr,23,1993
syr,64,1994
syr,74,1995
syr,75,1996
syr,76,1997
syr,77,1998
syr,78,1999
syr,79,2000
syr,80,2001
syr,80,2002
syr,81,2003
syr,82,2004
syr,83,2005
syr,83,2006
syr,83,2007
syr,83,2008
syr,84,2009
syr,84,2010
syr,66,2011
tjk,39,2002
tjk,58,2003
tjk,81,2004
tjk,81,2005
tjk,88,2006
tjk,84,2007
tjk,86,2008
tjk,93,2009
tjk,93,2010
tjk,96,2011
tza,89,2002
tza,95,2003
tza,95,2004
tza,90,2005
tza,90,2006
tza,83,2007
tza,86,2008
tza,85,2009
tza,91,2010
tza,90,2011
tha,15,1992
tha,58,1993
tha,66,1994
tha,93,1995
tha,93,1996
tha,94,1997
tha,95,1998
tha,95,1999
tha,95,2000
tha,95,2001
tha,95,2002
tha,96,2003
tha,96,2004
tha,96,2005
tha,96,2006
tha,96,2007
tha,98,2008
tha,98,2009
tha,98,2010
tha,98,2011
tls,79,2008
tls,72,2009
tls,72,2010
tls,67,2011
tgo,24,2008
tgo,78,2009
tgo,81,2010
tgo,81,2011
ton,94,1990
ton,88,1991
ton,82,1992
ton,96,1993
ton,90,1994
ton,91,1995
ton,94,1996
ton,95,1997
ton,96,1998
ton,93,1999
ton,97,2000
ton,96,2001
ton,95,2002
ton,93,2003
ton,99,2004
ton,99,2005
ton,99,2006
ton,99,2007
ton,98,2008
ton,99,2009
ton,99,2010
ton,99,2011
tto,5,2002
tto,76,2003
tto,94,2004
tto,95,2005
tto,89,2006
tto,89,2007
tto,90,2008
tto,90,2009
tto,90,2010
tto,90,2011
tun,83,1996
tun,88,1997
tun,91,1998
tun,94,1999
tun,94,2000
tun,94,2001
tun,93,2002
tun,92,2003
tun,96,2004
tun,97,2005
tun,99,2006
tun,98,2007
tun,99,2008
tun,99,2009
tun,98,2010
tun,98,2011
tur,71,2000
tur,77,2001
tur,72,2002
tur,68,2003
tur,77,2004
tur,85,2005
tur,82,2006
tur,96,2007
tur,92,2008
tur,94,2009
tur,96,2010
tur,96,2011
tkm,96,2002
tkm,97,2003
tkm,96,2004
tkm,99,2005
tkm,98,2006
tkm,98,2007
tkm,96,2008
tkm,97,2009
tkm,96,2010
tkm,97,2011
tuv,17,1994
tuv,49,1995
tuv,86,1996
tuv,88,1997
tuv,96,1998
tuv,93,1999
tuv,81,2000
tuv,99,2001
tuv,99,2002
tuv,95,2003
tuv,98,2004
tuv,79,2005
tuv,97,2006
tuv,97,2007
tuv,99,2008
tuv,91,2009
tuv,89,2010
tuv,96,2011
uga,29,2002
uga,44,2003
uga,62,2004
uga,64,2005
uga,64,2006
uga,73,2007
uga,71,2008
uga,79,2009
uga,80,2010
uga,82,2011
ukr,4,2000
ukr,7,2001
ukr,48,2002
ukr,77,2003
ukr,98,2004
ukr,97,2005
ukr,96,2006
ukr,92,2007
ukr,84,2008
ukr,66,2009
ukr,48,2010
ukr,21,2011
are,90,1993
are,90,1994
are,90,1995
are,90,1996
are,90,1997
are,96,1998
are,92,1999
are,92,2000
are,92,2001
are,92,2002
are,92,2003
are,92,2004
are,92,2005
are,92,2006
are,92,2007
are,92,2008
are,93,2009
are,94,2010
are,94,2011
usa,16,1993
usa,42,1994
usa,68,1995
usa,82,1996
usa,84,1997
usa,87,1998
usa,88,1999
usa,90,2000
usa,89,2001
usa,88,2002
usa,92,2003
usa,92,2004
usa,92,2005
usa,92,2006
usa,92,2007
usa,91,2008
usa,91,2009
usa,91,2010
usa,91,2011
ury,93,1999
ury,92,2000
ury,94,2001
ury,95,2002
ury,91,2003
ury,94,2004
ury,96,2005
ury,95,2006
ury,94,2007
ury,94,2008
ury,95,2009
ury,95,2010
ury,95,2011
uzb,62,2002
uzb,99,2003
uzb,99,2004
uzb,99,2005
uzb,98,2006
uzb,99,2007
uzb,91,2008
uzb,98,2009
uzb,99,2010
uzb,99,2011
vut,46,1991
vut,82,1992
vut,82,1993
vut,69,1994
vut,66,1995
vut,69,1996
vut,75,1997
vut,73,1998
vut,71,1999
vut,70,2000
vut,68,2001
vut,66,2002
vut,64,2003
vut,63,2004
vut,61,2005
vut,59,2006
vut,59,2007
vut,59,2008
vut,59,2009
vut,59,2010
vut,59,2011
ven,5,2000
ven,53,2001
ven,60,2002
ven,72,2003
ven,82,2004
ven,88,2005
ven,71,2006
ven,62,2007
ven,53,2008
ven,84,2009
ven,78,2010
ven,78,2011
pse,93,1995
pse,91,1996
pse,99,1997
pse,91,1998
pse,90,1999
pse,94,2000
pse,92,2001
pse,91,2002
pse,97,2003
pse,95,2004
pse,99,2005
pse,96,2006
pse,98,2007
pse,95,2008
pse,96,2009
pse,97,2010
pse,98,2011
vnm,78,2003
vnm,94,2004
vnm,94,2005
vnm,93,2006
vnm,67,2007
vnm,87,2008
vnm,94,2009
vnm,88,2010
vnm,95,2011
yem,9,1999
yem,15,2000
yem,21,2001
yem,34,2002
yem,42,2003
yem,48,2004
yem,86,2005
yem,85,2006
yem,87,2007
yem,87,2008
yem,86,2009
yem,87,2010
yem,81,2011
zmb,82,2005
zmb,81,2006
zmb,80,2007
zmb,87,2008
zmb,94,2009
zmb,83,2010
zmb,81,2011
zwe,1,1995
zwe,9,1996
zwe,16,1997
zwe,24,1998
zwe,31,1999
zwe,79,2000
zwe,76,2001
zwe,73,2002
zwe,70,2003
zwe,68,2004
zwe,65,2005
zwe,68,2006
zwe,72,2007
zwe,75,2008
zwe,73,2009
zwe,83,2010
zwe,93,2011
