gnipercapita_ppp_current_international,geo,time
4160,bra,1985
4540,bra,1986
4780,bra,1987
4840,bra,1988
5590,bra,1989
5040,bra,1990
5230,bra,1991
5250,bra,1992
5500,bra,1993
5870,bra,1994
6190,bra,1995
6330,bra,1996
6550,bra,1997
6520,bra,1998
6470,bra,1999
6820,bra,2000
6920,bra,2001
7120,bra,2002
7280,bra,2003
7830,bra,2004
8270,bra,2005
8810,bra,2006
9570,bra,2007
10160,bra,2008
10180,bra,2009
11000,bra,2010
11500,bra,2011
35680,brn,1989
36400,brn,1990
37730,brn,1991
39240,brn,1992
39110,brn,1993
40050,brn,1994
41690,brn,1995
42530,brn,1996
41660,brn,1997
41000,brn,1998
41880,brn,1999
43010,brn,2000
44200,brn,2001
45670,brn,2002
47000,brn,2003
47580,brn,2004
48380,brn,2005
51120,brn,2006
51940,brn,2007
51020,brn,2008
49790,brn,2009
2730,bgr,1980
3140,bgr,1981
3410,bgr,1982
3660,bgr,1983
3930,bgr,1984
4150,bgr,1985
4410,bgr,1986
4790,bgr,1987
5450,bgr,1988
5480,bgr,1989
4990,bgr,1990
4650,bgr,1991
4880,bgr,1992
4940,bgr,1993
5140,bgr,1994
5360,bgr,1995
4440,bgr,1996
4690,bgr,1997
5350,bgr,1998
5590,bgr,1999
6070,bgr,2000
6770,bgr,2001
7740,bgr,2002
8350,bgr,2003
8980,bgr,2004
9840,bgr,2005
10800,bgr,2006
11420,bgr,2007
13230,bgr,2008
13250,bgr,2009
13510,bgr,2010
13980,bgr,2011
290,bfa,1980
320,bfa,1981
370,bfa,1982
370,bfa,1983
370,bfa,1984
410,bfa,1985
440,bfa,1986
440,bfa,1987
460,bfa,1988
480,bfa,1989
480,bfa,1990
530,bfa,1991
530,bfa,1992
540,bfa,1993
540,bfa,1994
570,bfa,1995
630,bfa,1996
670,bfa,1997
710,bfa,1998
750,bfa,1999
760,bfa,2000
800,bfa,2001
830,bfa,2002
890,bfa,2003
930,bfa,2004
1010,bfa,2005
1080,bfa,2006
1120,bfa,2007
1180,bfa,2008
1190,bfa,2009
1260,bfa,2010
1310,bfa,2011
290,bdi,1980
340,bdi,1981
350,bdi,1982
360,bdi,1983
360,bdi,1984
400,bdi,1985
410,bdi,1986
430,bdi,1987
450,bdi,1988
470,bdi,1989
490,bdi,1990
520,bdi,1991
530,bdi,1992
500,bdi,1993
480,bdi,1994
450,bdi,1995
410,bdi,1996
410,bdi,1997
440,bdi,1998
430,bdi,1999
450,bdi,2000
460,bdi,2001
480,bdi,2002
470,bdi,2003
490,bdi,2004
490,bdi,2005
520,bdi,2006
540,bdi,2007
560,bdi,2008
570,bdi,2009
580,bdi,2010
610,bdi,2011
650,khm,1995
670,khm,1996
720,khm,1997
740,khm,1998
820,khm,1999
890,khm,2000
960,khm,2001
1020,khm,2002
1120,khm,2003
1250,khm,2004
1440,khm,2005
1630,khm,2006
1830,khm,2007
1960,khm,2008
1970,khm,2009
2070,khm,2010
2260,khm,2011
800,cmr,1980
1070,cmr,1981
1240,cmr,1982
1340,cmr,1983
1490,cmr,1984
1620,cmr,1985
1750,cmr,1986
1710,cmr,1987
1600,cmr,1988
1560,cmr,1989
1440,cmr,1990
1360,cmr,1991
1320,cmr,1992
1270,cmr,1993
1230,cmr,1994
1260,cmr,1995
1320,cmr,1996
1380,cmr,1997
1450,cmr,1998
1510,cmr,1999
1540,cmr,2000
1640,cmr,2001
1670,cmr,2002
1770,cmr,2003
1870,cmr,2004
1930,cmr,2005
2040,cmr,2006
2150,cmr,2007
2190,cmr,2008
2220,cmr,2009
2260,cmr,2010
2360,cmr,2011
10730,can,1980
11920,can,1981
12120,can,1982
12880,can,1983
13980,can,1984
14960,can,1985
15460,can,1986
16430,can,1987
17590,can,1988
18370,can,1989
18800,can,1990
18850,can,1991
19170,can,1992
19870,can,1993
21020,can,1994
21900,can,1995
22470,can,1996
23640,can,1997
24630,can,1998
26140,can,1999
27670,can,2000
28440,can,2001
29150,can,2002
30500,can,2003
32110,can,2004
34380,can,2005
36500,can,2006
37860,can,2007
38490,can,2008
37260,can,2009
38370,can,2010
39730,can,2011
460,cpv,1980
560,cpv,1981
580,cpv,1982
630,cpv,1983
680,cpv,1984
750,cpv,1985
790,cpv,1986
850,cpv,1987
930,cpv,1988
1010,cpv,1989
1040,cpv,1990
1060,cpv,1991
1090,cpv,1992
1160,cpv,1993
1230,cpv,1994
1310,cpv,1995
1390,cpv,1996
1490,cpv,1997
1600,cpv,1998
1780,cpv,1999
1890,cpv,2000
2050,cpv,2001
2120,cpv,2002
2250,cpv,2003
2370,cpv,2004
2540,cpv,2005
2830,cpv,2006
3190,cpv,2007
3410,cpv,2008
3560,cpv,2009
3690,cpv,2010
4000,cpv,2011
460,caf,1980
480,caf,1981
520,caf,1982
480,caf,1983
530,caf,1984
560,caf,1985
580,caf,1986
550,caf,1987
560,caf,1988
580,caf,1989
580,caf,1990
590,caf,1991
550,caf,1992
550,caf,1993
560,caf,1994
610,caf,1995
580,caf,1996
610,caf,1997
630,caf,1998
660,caf,1999
670,caf,2000
680,caf,2001
670,caf,2002
630,caf,2003
640,caf,2004
670,caf,2005
710,caf,2006
740,caf,2007
750,caf,2008
760,caf,2009
780,caf,2010
810,caf,2011
310,tcd,1980
340,tcd,1981
370,tcd,1982
440,tcd,1983
440,tcd,1984
540,tcd,1985
520,tcd,1986
500,tcd,1987
580,tcd,1988
610,tcd,1989
590,tcd,1990
640,tcd,1991
690,tcd,1992
570,tcd,1993
610,tcd,1994
630,tcd,1995
630,tcd,1996
660,tcd,1997
700,tcd,1998
680,tcd,1999
660,tcd,2000
720,tcd,2001
760,tcd,2002
730,tcd,2003
990,tcd,2004
1110,tcd,2005
1110,tcd,2006
1150,tcd,2007
1100,tcd,2008
1260,tcd,2009
1360,tcd,2010
1370,tcd,2011
2250,chl,1980
2510,chl,1981
2260,chl,1982
2210,chl,1983
2390,chl,1984
2540,chl,1985
2750,chl,1986
3090,chl,1987
3410,chl,1988
3930,chl,1989
4270,chl,1990
4740,chl,1991
5470,chl,1992
5970,chl,1993
6330,chl,1994
7160,chl,1995
7770,chl,1996
8320,chl,1997
8640,chl,1998
8520,chl,1999
8910,chl,2000
9320,chl,2001
9510,chl,2002
9820,chl,2003
10350,chl,2004
11600,chl,2005
12080,chl,2006
13010,chl,2007
14200,chl,2008
14200,chl,2009
15040,chl,2010
16330,chl,2011
250,chn,1980
280,chn,1981
320,chn,1982
370,chn,1983
440,chn,1984
500,chn,1985
550,chn,1986
620,chn,1987
700,chn,1988
750,chn,1989
800,chn,1990
890,chn,1991
1020,chn,1992
1170,chn,1993
1340,chn,1994
1480,chn,1995
1640,chn,1996
1820,chn,1997
1960,chn,1998
2120,chn,1999
2340,chn,2000
2560,chn,2001
2840,chn,2002
3180,chn,2003
3590,chn,2004
4090,chn,2005
4750,chn,2006
5580,chn,2007
6230,chn,2008
6820,chn,2009
7530,chn,2010
8450,chn,2011
2510,col,1980
2730,col,1981
2810,col,1982
2890,col,1983
3010,col,1984
3110,col,1985
3320,col,1986
3510,col,1987
3720,col,1988
3870,col,1989
4180,col,1990
4360,col,1991
4600,col,1992
4770,col,1993
5140,col,1994
5440,col,1995
5520,col,1996
5720,col,1997
5750,col,1998
5500,col,1999
5740,col,2000
5850,col,2001
5980,col,2002
6200,col,2003
6600,col,2004
7030,col,2005
7640,col,2006
8260,col,2007
8580,col,2008
8710,col,2009
9020,col,2010
9640,col,2011
580,com,1980
630,com,1981
690,com,1982
720,com,1983
760,com,1984
770,com,1985
780,com,1986
800,com,1987
830,com,1988
820,com,1989
870,com,1990
830,com,1991
910,com,1992
930,com,1993
880,com,1994
910,com,1995
890,com,1996
920,com,1997
910,com,1998
920,com,1999
930,com,2000
960,com,2001
980,com,2002
1000,com,2003
1000,com,2004
1050,com,2005
1070,com,2006
1080,com,2007
1080,com,2008
1080,com,2009
1090,com,2010
1120,com,2011
210,cod,1982
390,cod,1983
400,cod,1984
490,cod,1985
450,cod,1986
450,cod,1987
430,cod,1988
460,cod,1989
420,cod,1990
380,cod,1991
330,cod,1992
290,cod,1993
260,cod,1994
250,cod,1995
270,cod,1996
250,cod,1997
250,cod,1998
230,cod,1999
210,cod,2000
210,cod,2001
220,cod,2002
230,cod,2003
240,cod,2004
260,cod,2005
280,cod,2006
290,cod,2007
290,cod,2008
310,cod,2009
330,cod,2010
350,cod,2011
1280,cog,1980
1660,cog,1981
2100,cog,1982
2200,cog,1983
2430,cog,1984
2390,cog,1985
2400,cog,1986
2410,cog,1987
2090,cog,1988
2140,cog,1989
2130,cog,1990
2210,cog,1991
2350,cog,1992
2290,cog,1993
2140,cog,1994
1500,cog,1995
1530,cog,1996
1880,cog,1997
2040,cog,1998
1810,cog,1999
1960,cog,2000
2010,cog,2001
2170,cog,2002
2210,cog,2003
2110,cog,2004
2240,cog,2005
2380,cog,2006
2440,cog,2007
2760,cog,2008
2870,cog,2009
3180,cog,2010
3280,cog,2011
2910,cri,1980
2820,cri,1981
2560,cri,1982
2890,cri,1983
3150,cri,1984
3220,cri,1985
3420,cri,1986
3660,cri,1987
3810,cri,1988
4030,cri,1989
4350,cri,1990
4540,cri,1991
4940,cri,1992
5300,cri,1993
5590,cri,1994
5770,cri,1995
5800,cri,1996
6060,cri,1997
6400,cri,1998
6280,cri,1999
6650,cri,2000
7000,cri,2001
7220,cri,2002
7660,cri,2003
8060,cri,2004
8690,cri,2005
9660,cri,2006
10600,cri,2007
11000,cri,2008
10780,cri,2009
11290,cri,2010
11950,cri,2011
1190,civ,1980
1270,civ,1981
1280,civ,1982
1190,civ,1983
1190,civ,1984
1190,civ,1985
1250,civ,1986
1210,civ,1987
1220,civ,1988
1190,civ,1989
1180,civ,1990
1200,civ,1991
1200,civ,1992
1180,civ,1993
1210,civ,1994
1300,civ,1995
1410,civ,1996
1500,civ,1997
1560,civ,1998
1560,civ,1999
1500,civ,2000
1520,civ,2001
1490,civ,2002
1490,civ,2003
1540,civ,2004
1590,civ,2005
1630,civ,2006
1670,civ,2007
1720,civ,2008
1770,civ,2009
1800,civ,2010
1730,civ,2011
9500,hrv,1990
8230,hrv,1991
7400,hrv,1992
6720,hrv,1993
7260,hrv,1994
7990,hrv,1995
8990,hrv,1996
9630,hrv,1997
10030,hrv,1998
9760,hrv,1999
10720,hrv,2000
11450,hrv,2001
12370,hrv,2002
12970,hrv,2003
14200,hrv,2004
14930,hrv,2005
16330,hrv,2006
18250,hrv,2007
19650,hrv,2008
19040,hrv,2009
18680,hrv,2010
19330,hrv,2011
5160,cyp,1980
5670,cyp,1981
6300,cyp,1982
6770,cyp,1983
7560,cyp,1984
8080,cyp,1985
8460,cyp,1986
9330,cyp,1987
10370,cyp,1988
11480,cyp,1989
12540,cyp,1990
12730,cyp,1991
13790,cyp,1992
13880,cyp,1993
14650,cyp,1994
15090,cyp,1995
15470,cyp,1996
15820,cyp,1997
18240,cyp,1998
17360,cyp,1999
18170,cyp,2000
19790,cyp,2001
20670,cyp,2002
21310,cyp,2003
22200,cyp,2004
23400,cyp,2005
25080,cyp,2006
26420,cyp,2007
