geo,poverty_percent_people_below_2_a_day,time
tcd,83.28,2003
chl,18.75,1987
chl,13.97,1990
chl,9.25,1992
chl,8.91,1994
chl,6.52,1996
chl,6.15,1998
chl,5.6,2000
chl,4.94,2003
chl,3.22,2006
chl,2.72,2009
chn,97.81,1981
chn,92.91,1984
chn,83.68,1987
chn,84.64,1990
chn,82.19,1992
chn,78.6,1993
chn,77.82,1994
chn,74.13,1995
chn,65.06,1996
chn,70.78,1997
chn,69.57,1998
chn,61.44,1999
chn,51.15,2002
chn,36.94,2005
chn,29.79,2008
col,26.92,1980
col,20.69,1988
col,18.19,1989
col,17.29,1991
col,14.02,1992
col,22.15,1996
col,27.19,1999
col,31.68,2000
col,31.42,2001
col,32.73,2002
col,32.71,2003
col,31.68,2004
col,23.54,2005
col,20.91,2006
col,17.66,2007
col,20.89,2008
col,18.46,2009
col,15.82,2010
com,64.98,2004
cod,95.15,2006
cog,74.4,2005
cri,35.7,1981
cri,20.95,1986
cri,17.59,1989
cri,15.27,1990
cri,18.96,1991
cri,15.13,1992
cri,12.39,1993
cri,10.54,1994
cri,11.24,1995
cri,12.89,1996
cri,10.04,1997
cri,8.13,1998
cri,10.25,1999
cri,10.87,2000
cri,11.02,2001
cri,10.86,2002
cri,10.24,2003
cri,9.67,2004
cri,8.08,2005
cri,8.09,2006
cri,4.98,2007
cri,4.99,2008
cri,5.97,2009
civ,23.9,1985
civ,24.62,1986
civ,27.38,1987
civ,35.11,1988
civ,43.51,1993
civ,47.95,1995
civ,49.16,1998
civ,46.78,2002
civ,46.34,2008
hrv,0.06,1988
hrv,0.11,1998
hrv,0.33,1999
hrv,0.14,2000
hrv,0.15,2001
hrv,0.09,2004
hrv,0.09,2008
cze,0.0,1988
cze,0.02,1993
cze,0.19,1996
dji,41.2,2002
dom,30.43,1986
dom,27.22,1989
dom,14.62,1992
dom,11.15,1996
dom,10.92,1997
dom,10.98,2000
dom,10.38,2001
dom,12.95,2002
dom,15.62,2003
dom,20.24,2004
dom,14.94,2005
dom,11.95,2006
dom,11.47,2007
dom,11.08,2008
dom,9.97,2009
dom,9.88,2010
ecu,23.03,1987
ecu,26.33,1994
ecu,20.39,1995
ecu,27.17,1998
ecu,39.24,1999
ecu,37.71,2000
ecu,23.58,2003
ecu,18.52,2005
ecu,13.73,2006
ecu,14.43,2007
ecu,13.02,2008
ecu,13.49,2009
ecu,10.59,2010
egy,27.64,1991
egy,26.31,1996
egy,19.37,2000
egy,18.46,2005
egy,15.43,2008
slv,24.74,1989
slv,29.3,1991
slv,19.55,1995
slv,21.69,1996
slv,26.56,1998
slv,22.68,1999
slv,23.02,2001
slv,23.7,2002
slv,21.94,2003
slv,19.21,2004
slv,20.49,2005
slv,13.78,2006
slv,13.4,2007
slv,14.03,2008
slv,16.94,2009
est,0.09,1988
est,2.81,1993
est,1.82,1995
est,0.75,1998
est,2.59,2000
est,2.46,2001
est,2.55,2002
est,2.6,2003
est,1.54,2004
eth,89.94,1982
eth,84.59,1995
eth,86.41,2000
eth,77.63,2005
fji,48.66,2003
fji,22.9,2009
gab,19.59,2005
gmb,81.23,1998
gmb,55.93,2003
geo,14.0,1996
geo,31.59,1997
geo,20.03,1998
geo,36.34,1999
geo,38.64,2000
geo,40.62,2001
geo,33.96,2002
geo,36.7,2003
geo,33.52,2005
geo,33.63,2006
geo,34.92,2007
geo,32.21,2008
gha,79.03,1988
gha,77.73,1989
gha,77.65,1992
gha,63.34,1998
gha,51.84,2006
gtm,70.17,1987
gtm,55.55,1989
gtm,30.06,1998
gtm,25.41,2000
gtm,39.56,2002
gtm,34.37,2003
gtm,39.19,2004
gtm,26.33,2006
gin,98.45,1991
gin,81.65,1994
gin,80.79,2003
gin,69.59,2007
gnb,58.49,1991
gnb,75.74,1993
gnb,77.96,2002
guy,17.08,1993
guy,18.02,1998
hti,77.51,2001
hnd,28.25,1986
hnd,58.9,1989
hnd,64.95,1990
hnd,53.65,1991
hnd,46.49,1992
hnd,43.07,1993
hnd,55.91,1994
hnd,45.77,1995
hnd,49.87,1996
hnd,37.38,1997
hnd,39.11,1998
hnd,40.57,1999
hnd,30.59,2001
hnd,41.59,2002
hnd,40.52,2003
hnd,39.31,2004
hnd,40.07,2005
hnd,34.98,2006
hnd,29.73,2007
hnd,32.61,2008
hnd,29.84,2009
hun,0.08,1987
hun,0.2,1989
hun,0.28,1993
hun,0.47,1998
hun,0.46,1999
hun,0.39,2000
hun,0.32,2001
hun,0.18,2002
hun,0.29,2004
