geo,sulfur_emissions_per_person_kg,time
atg,0.1299,1927
atg,0.1533,1928
atg,0.1621,1929
atg,0.1393,1930
atg,0.1233,1931
atg,0.08355,1932
atg,0.09937,1933
atg,0.1267,1934
atg,0.1309,1935
atg,0.1319,1936
atg,0.1769,1937
atg,0.1717,1938
atg,0.1673,1939
atg,0.1724,1940
atg,0.1941,1941
atg,0.1784,1942
atg,0.1946,1943
atg,0.2011,1944
atg,0.2091,1945
atg,0.2339,1946
atg,0.2136,1947
atg,0.217,1948
atg,0.2196,1949
atg,0.2744,1950
atg,1.809,1951
atg,0.2882,1952
atg,0.5303,1953
atg,0.27,1954
atg,0.573,1955
atg,1.102,1956
atg,1.615,1957
atg,2.121,1958
atg,2.629,1959
atg,3.131,1960
atg,3.574,1961
atg,3.998,1962
atg,4.403,1963
atg,4.838,1964
atg,5.262,1965
atg,5.62,1966
atg,16.55,1967
atg,34.26,1968
atg,31.66,1969
atg,51.1,1970
atg,57.14,1971
atg,59.48,1972
atg,49.24,1973
atg,31.3,1974
atg,13.62,1975
atg,6.771,1976
atg,13.66,1977
atg,13.36,1978
atg,14.87,1979
atg,16.54,1980
atg,16.83,1981
atg,16.1,1982
atg,15.69,1983
atg,17.25,1984
atg,18.1,1985
atg,22.16,1986
atg,23.04,1987
atg,22.8,1988
atg,24.04,1989
atg,24.05,1990
atg,23.5,1991
atg,23.17,1992
atg,23.41,1993
atg,24.08,1994
atg,22.88,1995
atg,24.05,1996
atg,24.44,1997
atg,24.08,1998
atg,24.53,1999
atg,24.2,2000
arg,0.004655,1850
arg,0.00301,1851
arg,0.005494,1852
arg,0.004803,1853
arg,0.005788,1854
arg,0.005445,1855
arg,0.00729,1856
arg,0.008133,1857
arg,0.008346,1858
arg,0.007687,1859
arg,0.0107,1860
arg,0.01029,1861
arg,0.01123,1862
arg,0.009781,1863
arg,0.01223,1864
arg,0.01182,1865
arg,0.009708,1866
arg,0.012,1867
arg,0.01139,1868
arg,0.01356,1869
arg,0.0118,1870
arg,0.01031,1871
arg,0.01205,1872
arg,0.01028,1873
arg,0.01114,1874
arg,0.01083,1875
arg,0.01124,1876
arg,0.009555,1877
arg,0.009984,1878
arg,0.009414,1879
arg,0.008255,1880
arg,0.0081,1881
arg,0.008659,1882
arg,0.006267,1883
arg,0.00809,1884
arg,0.007277,1885
arg,0.006614,1886
arg,0.005476,1887
arg,0.006519,1888
arg,0.005092,1889
arg,0.005438,1890
arg,0.004878,1891
arg,0.005358,1892
arg,0.00575,1893
arg,0.005786,1894
arg,0.00566,1895
arg,0.005556,1896
arg,0.005421,1897
arg,0.006352,1898
arg,0.006741,1899
arg,0.007143,1900
arg,0.008999,1901
arg,0.01733,1902
arg,0.02502,1903
arg,0.03211,1904
arg,0.03864,1905
arg,0.04463,1906
arg,0.05012,1907
arg,0.05514,1908
arg,0.05947,1909
arg,0.06434,1910
arg,0.06696,1911
arg,0.07623,1912
arg,0.08638,1913
arg,0.1078,1914
arg,0.1382,1915
arg,0.1826,1916
arg,0.2225,1917
arg,0.2379,1918
arg,0.2185,1919
arg,0.2698,1920
arg,0.3232,1921
arg,0.3968,1922
arg,0.4248,1923
arg,0.5281,1924
arg,0.7745,1925
arg,1.582,1926
arg,1.499,1927
arg,1.331,1928
arg,1.395,1929
arg,1.315,1930
arg,1.519,1931
arg,1.528,1932
arg,1.626,1933
arg,1.525,1934
arg,1.496,1935
arg,1.924,1936
arg,2.543,1937
arg,3.292,1938
arg,3.832,1939
arg,4.626,1940
arg,4.288,1941
arg,4.132,1942
arg,3.412,1943
arg,3.134,1944
arg,2.811,1945
arg,2.844,1946
arg,2.863,1947
arg,2.675,1948
arg,2.376,1949
arg,22.44,1950
arg,25.93,1951
arg,23.75,1952
arg,23.13,1953
arg,23.25,1954
arg,21.94,1955
arg,24.47,1956
arg,27.48,1957
arg,25.4,1958
arg,23.85,1959
arg,17.55,1960
arg,12.84,1961
arg,8.934,1962
arg,8.658,1963
arg,9.335,1964
arg,12.7,1965
