children_out_of_school_primary,geo,time
46060,bwa,2004
47010,bwa,2005
42420,bwa,2006
43190,bwa,2007
42290,bwa,2008
38190,bwa,2009
3218000,bra,1970
1039000,bra,1999
1011000,bra,2000
729500,bra,2001
942000,bra,2002
1130000,bra,2003
742000,bra,2004
594600,bra,2005
343,brn,1977
543,brn,1978
3747,brn,1979
4595,brn,1980
6530,brn,1981
7723,brn,1982
7891,brn,1983
8002,brn,1984
7479,brn,1986
2221,brn,1991
1260,brn,1992
699,brn,1993
678,brn,1994
331,brn,1995
1709,brn,2010
1867,brn,2011
24410,bgr,1996
19230,bgr,1997
7968,bgr,1998
6317,bgr,1999
7037,bgr,2000
6041,bgr,2001
9778,bgr,2002
9687,bgr,2003
9763,bgr,2004
16540,bgr,2005
17700,bgr,2006
8120,bgr,2007
3350,bgr,2008
1820,bgr,2009
1252,bgr,2010
808000,bfa,1971
824500,bfa,1972
932900,bfa,1977
957300,bfa,1978
981300,bfa,1979
1001000,bfa,1980
1014000,bfa,1981
1023000,bfa,1982
1040000,bfa,1983
1059000,bfa,1984
1070000,bfa,1985
1080000,bfa,1986
1096000,bfa,1987
1127000,bfa,1988
1159000,bfa,1989
1202000,bfa,1991
1222000,bfa,1992
1238000,bfa,1993
1250000,bfa,1994
1255000,bfa,1995
1286000,bfa,1998
1310000,bfa,1999
1320000,bfa,2000
1329000,bfa,2001
1364000,bfa,2002
1371000,bfa,2003
1346000,bfa,2004
1291000,bfa,2005
1238000,bfa,2006
1144000,bfa,2007
1028000,bfa,2008
983000,bfa,2009
1128000,bfa,2010
1022000,bfa,2011
477900,bdi,1973
527200,bdi,1978
537400,bdi,1980
535200,bdi,1981
522400,bdi,1982
491600,bdi,1983
469400,bdi,1984
448400,bdi,1985
437200,bdi,1986
409200,bdi,1987
398200,bdi,1988
452200,bdi,1993
687000,bdi,1999
618700,bdi,2000
521900,bdi,2001
533700,bdi,2002
493500,bdi,2003
474900,bdi,2004
434100,bdi,2005
217800,bdi,2006
120500,bdi,2007
387000,khm,1997
313800,khm,1998
274100,khm,1999
178600,khm,2000
74270,khm,2003
91070,khm,2006
61070,khm,2007
75260,khm,2008
72890,khm,2010
31050,khm,2011
411600,cmr,1971
436600,cmr,1972
470200,cmr,1973
509000,cmr,1974
448700,cmr,1975
443500,cmr,1976
475600,cmr,1977
477800,cmr,1978
485600,cmr,1979
502300,cmr,1980
531400,cmr,1988
573200,cmr,1990
621800,cmr,1991
218300,cmr,2008
176800,cmr,2009
189300,cmr,2010
187200,cmr,2011
95070,can,1982
102000,can,1983
114400,can,1984
117200,can,1985
109700,can,1986
108400,can,1987
109500,can,1988
105900,can,1989
107900,can,1990
51550,can,1991
58750,can,1992
97500,can,1993
110900,can,1994
137600,can,1995
115300,can,1996
34110,can,1998
5915,can,1999
4600,can,2000
5568,cpv,1981
6182,cpv,1982
8040,cpv,1983
5384,cpv,1984
4556,cpv,1985
4349,cpv,1986
4093,cpv,1987
1519,cpv,1988
547,cpv,1990
641,cpv,1994
832,cpv,1998
956,cpv,1999
467,cpv,2000
870,cpv,2001
891,cpv,2002
1053,cpv,2003
1155,cpv,2004
1913,cpv,2005
2822,cpv,2006
3696,cpv,2007
4503,cpv,2008
4543,cpv,2009
4235,cpv,2010
3949,cpv,2011
122,cym,1999
136400,caf,1971
133300,caf,1972
130900,caf,1973
156900,caf,1977
161600,caf,1978
158100,caf,1981
157000,caf,1982
155700,caf,1983
159000,caf,1986
208200,caf,1987
224600,caf,1988
230900,caf,1989
196400,caf,1990
222200,caf,1991
318000,caf,2005
321200,caf,2006
272200,caf,2007
214200,caf,2008
213100,caf,2009
198400,caf,2010
214400,caf,2011
469800,tcd,1975
489300,tcd,1977
609800,tcd,1988
730400,tcd,1996
683200,tcd,1997
633400,tcd,1998
622800,tcd,1999
613000,tcd,2000
607500,tcd,2001
570100,tcd,2002
561500,tcd,2003
556700,tcd,2011
75510,chl,2007
66770,chl,2008
94210,chl,2009
84730,chl,2010
3924000,chn,1987
161700,chn,1988
3106000,chn,1989
2760000,chn,1990
2578000,chn,1991
3736000,chn,1992
5428000,chn,1993
6460000,chn,1994
6630000,chn,1995
5603000,chn,1996
4299000,chn,1997
986400,col,1982
1095000,col,1984
1172000,col,1985
1275000,col,1986
1268000,col,1987
1286000,col,1988
1287000,col,1989
1174000,col,1991
858900,col,1992
841000,col,1993
823900,col,1994
709500,col,1995
517400,col,1996
254000,col,1998
182100,col,1999
139300,col,2000
218400,col,2001
172100,col,2002
161600,col,2005
205500,col,2006
255400,col,2007
277800,col,2008
301500,col,2009
374200,col,2010
435100,col,2011
12810,com,1983
17490,com,1986
23080,com,1987
33330,com,1994
28280,com,1999
22090,com,2000
22760,com,2007
1048000,cod,1971
1139000,cod,1972
1158000,cod,1975
1205000,cod,1979
1300000,cod,1983
1325000,cod,1984
2174000,cod,1988
2650000,cod,1991
2892000,cod,1992
3118000,cod,1993
3210000,cod,1994
2835000,cod,1995
5598000,cod,1999
35620,cog,1972
22790,cog,1974
16640,cog,1976
8010,cog,1978
7499,cog,1979
31410,cog,1980
35210,cog,1981
34440,cog,1982
33960,cog,1983
30680,cog,1984
253400,cog,2005
239200,cog,2006
56230,cog,2010
46620,cog,2011
47100,cri,1970
42680,cri,1972
37840,cri,1973
32030,cri,1975
24070,cri,1976
28000,cri,1978
33210,cri,1979
33580,cri,1980
32500,cri,1981
38940,cri,1982
50040,cri,1985
47790,cri,1986
48600,cri,1987
50910,cri,1989
53100,cri,1990
53070,cri,1991
47070,cri,1992
47370,cri,1993
53900,cri,1994
50720,cri,1995
43350,cri,1996
589800,civ,1977
1156000,civ,1991
1184000,civ,1992
1133000,civ,1996
1123000,civ,1997
1097000,civ,1999
1129000,civ,2000
1019000,civ,2001
1024000,civ,2002
1125000,civ,2003
1161000,civ,2009
34540,hrv,1998
16320,hrv,1999
16250,hrv,2000
15040,hrv,2001
13930,hrv,2002
13520,hrv,2003
1984,hrv,2005
1994,hrv,2006
2123,hrv,2007
2835,hrv,2008
12690,hrv,2009
7446,hrv,2010
96200,cub,1972
77740,cub,1973
65760,cub,1974
20780,cub,1979
30990,cub,1980
61110,cub,1981
74690,cub,1982
70730,cub,1983
85370,cub,1984
99410,cub,1985
88460,cub,1986
66970,cub,1987
65400,cub,1988
62860,cub,1989
66820,cub,1990
72110,cub,1991
54960,cub,1992
49920,cub,1993
29910,cub,1994
31820,cub,1995
11710,cub,1996
13150,cub,1997
15300,cub,1998
13250,cub,1999
19480,cub,2000
25130,cub,2001
30810,cub,2002
49130,cub,2003
47870,cub,2004
43330,cub,2005
34190,cub,2006
10160,cub,2007
4056,cub,2008
1702,cub,2009
1370,cub,2010
13420,cub,2011
1508,cyp,1993
1986,cyp,1994
2460,cyp,1995
2516,cyp,1996
2411,cyp,1997
1325,cyp,1999
1276,cyp,2000
1620,cyp,2001
973,cyp,2002
879,cyp,2003
783,cyp,2004
205,cyp,2005
280,cyp,2006
371,cyp,2007
571,cyp,2008
453,cyp,2009
497,cyp,2010
32650,cze,1994
38930,cze,1995
68920,cze,1996
72540,cze,1997
20550,dnk,1981
16700,dnk,1982
9009,dnk,1983
4765,dnk,1984
5532,dnk,1985
5855,dnk,1986
5093,dnk,1987
4570,dnk,1988
8845,dnk,1989
8991,dnk,1990
6745,dnk,1991
9336,dnk,1992
10690,dnk,1993
4963,dnk,1994
6305,dnk,1995
6821,dnk,1996
1605,dnk,1998
8231,dnk,1999
7343,dnk,2000
82,dnk,2001
277,dnk,2002
7688,dnk,2004
16560,dnk,2005
15140,dnk,2006
13380,dnk,2007
16010,dnk,2008
16520,dnk,2009
17000,dnk,2010
46780,dji,1985
47140,dji,1986
49830,dji,1987
53880,dji,1988
58490,dji,1989
62590,dji,1990
66470,dji,1991
68340,dji,1992
72550,dji,1993
72970,dji,1994
72960,dji,1995
74190,dji,1996
77460,dji,1997
83820,dji,1999
86830,dji,2000
86400,dji,2001
86650,dji,2002
85160,dji,2003
83200,dji,2004
80640,dji,2005
75860,dji,2006
71060,dji,2007
55500,dji,2008
56440,dji,2009
49530,dji,2011
224,dma,1975
1106,dma,1976
1186,dma,1977
2051,dma,1979
2120,dma,1980
2286,dma,1981
1708,dma,1982
155,dma,2000
275,dma,2001
194,dma,2002
204,dma,2003
130,dma,2004
375,dma,2005
481,dma,2006
456,dma,2007
256,dma,2008
124,dma,2009
275,dma,2010
209700,dom,1972
190800,dom,1999
181200,dom,2000
113100,dom,2002
129500,dom,2003
210600,dom,2004
189100,dom,2005
205600,dom,2006
128800,dom,2007
170500,dom,2008
56140,dom,2009
84670,dom,2010
96000,dom,2011
184000,ecu,1971
194100,ecu,1973
190900,ecu,1974
204400,ecu,1975
205100,ecu,1976
175100,ecu,1977
158900,ecu,1978
125700,ecu,1979
149500,ecu,1980
160000,ecu,1994
139400,ecu,1995
103900,ecu,1996
47930,ecu,1997
24970,ecu,1998
13520,ecu,1999
8291,ecu,2000
10930,ecu,2001
10290,ecu,2002
11490,ecu,2003
10410,ecu,2004
11080,ecu,2005
10060,ecu,2006
11820,ecu,2007
16320,ecu,2008
24350,ecu,2009
2410000,egy,1971
2430000,egy,1972
2483000,egy,1973
2609000,egy,1978
1008000,egy,1994
703700,egy,1997
673500,egy,1999
605900,egy,2000
506200,egy,2001
399300,egy,2002
303000,egy,2003
206500,egy,2004
267100,egy,2005
497000,egy,2006
225800,egy,2007
193100,egy,2009
644700,egy,2010
233000,slv,1970
216600,slv,1998
128100,slv,2001
108300,slv,2002
91320,slv,2003
62120,slv,2004
45410,slv,2005
45600,slv,2006
47570,slv,2007
47560,slv,2008
46490,slv,2009
38370,slv,2010
32850,slv,2011
9651,gnq,1994
18800,gnq,2000
16720,gnq,2001
18580,gnq,2002
20020,gnq,2003
41800,gnq,2008
42610,gnq,2009
42930,gnq,2010
41020,gnq,2011
361300,eri,1992
339400,eri,1994
339100,eri,1995
342200,eri,1996
347300,eri,1997
337600,eri,1999
320800,eri,2000
320600,eri,2001
303100,eri,2002
288300,eri,2003
283700,eri,2004
283900,eri,2005
295100,eri,2006
329600,eri,2007
358200,eri,2008
389000,eri,2009
417600,eri,2010
422100,eri,2011
17440,est,1995
13530,est,1996
2988,est,1998
2171,est,1999
865,est,2000
123,est,2001
205,est,2002
2190,est,2003
2443,est,2004
2200,est,2005
2366,est,2006
3072,est,2007
2656,est,2008
2769,est,2009
1972,est,2010
4609000,eth,1987
4708000,eth,1988
4952000,eth,1989
6757000,eth,1994
6774000,eth,1995
6636000,eth,1996
6481000,eth,1998
6509000,eth,1999
6343000,eth,2000
6108000,eth,2001
6084000,eth,2002
6167000,eth,2003
5940000,eth,2004
4613000,eth,2005
3947000,eth,2006
3160000,eth,2007
2261000,eth,2008
2209000,eth,2009
2390000,eth,2010
1703000,eth,2011
5840,fji,1998
6405,fji,1999
5990,fji,2000
2662,fji,2001
847,fji,2002
1340,fji,2003
852,fji,2004
1123,fji,2006
821,fji,2007
415,fji,2008
909,fji,2009
86780,fin,1972
11840,fin,1979
4363,fin,1993
4808,fin,1994
6045,fin,1995
5790,fin,1996
4384,fin,1997
1393,fin,1998
654,fin,1999
1073,fin,2000
1029,fin,2001
1525,fin,2002
4321,fin,2003
7982,fin,2004
9528,fin,2005
11570,fin,2006
9550,fin,2007
8436,fin,2008
8449,fin,2009
7860,fin,2010
114300,fra,1971
105600,fra,1972
94250,fra,1973
76640,fra,1974
104400,fra,1976
97240,fra,1977
26140,fra,1979
27470,fra,1980
64720,fra,1981
125000,fra,1982
214700,fra,1983
227500,fra,1985
120900,fra,1986
2433,fra,1987
4131,fra,1988
4161,fra,1989
3362,fra,1990
761,fra,1991
36990,fra,1992
86070,fra,1993
85960,fra,1994
44150,fra,1995
5453,fra,1996
13760,fra,1997
10000,fra,1999
12280,fra,2000
13220,fra,2001
14960,fra,2002
13440,fra,2003
17010,fra,2004
25560,fra,2005
28730,fra,2006
28410,fra,2007
31490,fra,2008
29540,fra,2009
30740,fra,2010
1182,pyf,1983
1168,pyf,1984
1514,pyf,1985
295,pyf,1989
132,pyf,1990
395,pyf,1993
982,pyf,1995
1222,pyf,1996
14520,gab,1997
47720,gmb,1971
51060,gmb,1972
53160,gmb,1973
55760,gmb,1974
57930,gmb,1975
59860,gmb,1976
56220,gmb,1977
53570,gmb,1978
53830,gmb,1979
52670,gmb,1980
47270,gmb,1981
46390,gmb,1982
45500,gmb,1983
46170,gmb,1984
46030,gmb,1985
49480,gmb,1986
81060,gmb,1990
95920,gmb,1992
94600,gmb,1993
85030,gmb,1996
60770,gmb,1999
66310,gmb,2000
65520,gmb,2001
71160,gmb,2002
65000,gmb,2003
66100,gmb,2004
73910,gmb,2005
65010,gmb,2006
66810,gmb,2007
78530,gmb,2008
70980,gmb,2009
85100,gmb,2010
86420,gmb,2011
56330,geo,1995
55740,geo,1996
50320,geo,1997
37830,geo,2004
33990,geo,2005
17560,geo,2006
14080,geo,2007
99,geo,2008
0,geo,2009
4182,geo,2011
579900,deu,1993
641000,deu,1994
657500,deu,1995
656600,deu,1996
645100,deu,1997
590600,deu,1998
5295,deu,1999
3679,deu,2000
3306,deu,2001
353,deu,2002
5472,deu,2003
3703,deu,2004
5760,deu,2005
9736,deu,2006
3705,deu,2007
8913,deu,2008
9530,deu,2009
7184,deu,2010
1138000,gha,1999
1052000,gha,2000
1231000,gha,2001
1174000,gha,2002
1114000,gha,2003
1272000,gha,2004
1058000,gha,2005
1078000,gha,2006
908300,gha,2007
730800,gha,2008
791000,gha,2009
567400,gha,2011
22720,grc,1971
21470,grc,1972
18400,grc,1973
13880,grc,1974
21240,grc,1975
28220,grc,1976
38540,grc,1977
45700,grc,1978
50350,grc,1979
56400,grc,1980
31160,grc,1981
20530,grc,1982
7225,grc,1983
4131,grc,1984
2633,grc,1985
8293,grc,1986
32830,grc,1987
31670,grc,1988
41490,grc,1989
45890,grc,1990
44900,grc,1991
55710,grc,1992
69440,grc,1993
75350,grc,1994
68870,grc,1995
78470,grc,1996
76360,grc,1997
29480,grc,1998
25470,grc,1999
15130,grc,2000
20270,grc,2001
10270,grc,2002
3127,grc,2003
2555,grc,2004
5038,grc,2005
7963,grc,2006
9588,grc,2007
6088,grc,2010
3798,grd,1972
382,grd,1977
194,grd,1978
244,grd,1979
659,grd,1980
1457,grd,1981
1974,grd,1982
1967,grd,1983
1555,grd,1984
2981,grd,2000
1567,grd,2001
180,grd,2003
215,grd,2004
928,grd,2007
577,grd,2008
345,grd,2009
462,grd,2010
443000,gtm,1970
448400,gtm,1971
457900,gtm,1972
473300,gtm,1974
473600,gtm,1975
485200,gtm,1978
492500,gtm,1979
483800,gtm,1980
462300,gtm,1981
513100,gtm,1982
481500,gtm,1983
446300,gtm,1997
289000,gtm,1999
244900,gtm,2000
267200,gtm,2001
209300,gtm,2002
169300,gtm,2003
127500,gtm,2004
101500,gtm,2005
75100,gtm,2006
59260,gtm,2007
69740,gtm,2008
31700,gtm,2009
45140,gtm,2010
515700,gin,1984
507200,gin,1985
536900,gin,1986
569300,gin,1987
578200,gin,1988
598800,gin,1989
630300,gin,1990
641200,gin,1991
759700,gin,1998
738600,gin,1999
703800,gin,2000
660200,gin,2001
561000,gin,2002
513900,gin,2003
470800,gin,2004
440500,gin,2005
404300,gin,2006
372400,gin,2007
387500,gin,2008
365300,gin,2009
354900,gin,2010
258800,gin,2011
69070,gnb,1981
74070,gnb,1982
92390,gnb,1984
91680,gnb,1985
90910,gnb,1987
87990,gnb,1988
92760,gnb,1999
93060,gnb,2000
56640,gnb,2010
21390,guy,1971
21400,guy,1972
17860,guy,1974
16580,guy,1976
7402,guy,1977
8545,guy,1979
6566,guy,1982
1414,guy,1991
2265,guy,1992
1955,guy,1993
3903,guy,1995
6790,guy,1996
1910,guy,2003
13680,guy,2008
21730,guy,2009
18640,guy,2010
19680,guy,2011
549400,hti,1980
544800,hti,1981
504000,hti,1982
474500,hti,1983
515100,hti,1984
480600,hti,1985
473300,hti,1986
577600,hti,1987
571200,hti,1997
160400,hnd,1978
142200,hnd,1979
140300,hnd,1980
74700,hnd,1982
64690,hnd,1983
58590,hnd,1984
63680,hnd,1986
95290,hnd,1991
89880,hnd,1993
114600,hnd,2000
45360,hnd,2004
85270,hnd,2005
41570,hnd,2006
74940,hnd,2007
43180,hnd,2008
38810,hnd,2009
45760,hnd,2010
29720,hnd,2011
86640,hkg,1971
78270,hkg,1972
78880,hkg,1973
71820,hkg,1974
65710,hkg,1975
64040,hkg,1976
60440,hkg,1977
59810,hkg,1978
52100,hkg,1979
26060,hkg,1980
24030,hkg,1981
25910,hkg,1982
22340,hkg,1983
18230,hkg,1984
16220,hkg,1985
38450,hkg,1995
34820,hkg,1996
35310,hkg,2001
32080,hkg,2002
25680,hkg,2003
18160,hkg,2004
17510,hkg,2005
15880,hkg,2006
15160,hkg,2007
15010,hkg,2008
11730,hkg,2009
5277,hkg,2010
8567,hkg,2011
55260,hun,1994
56680,hun,1995
111400,hun,1996
65370,hun,1997
17640,hun,1998
15180,hun,1999
12290,hun,2000
10660,hun,2001
9970,hun,2002
15420,hun,2003
17540,hun,2004
14910,hun,2005
13580,hun,2006
15180,hun,2007
10650,hun,2008
7733,hun,2009
7350,hun,2010
227,isl,1977
777,isl,1994
592,isl,1996
523,isl,1997
320,isl,1998
290,isl,1999
257,isl,2000
138,isl,2001
148,isl,2002
240,isl,2003
672,isl,2004
657,isl,2005
638,isl,2006
598,isl,2007
365,isl,2008
167,isl,2009
294,isl,2010
27990000,ind,1971
20010000,ind,2000
20310000,ind,2001
20700000,ind,2002
14750000,ind,2003
6184000,ind,2004
6854000,ind,2005
6315000,ind,2006
4867000,ind,2007
2278000,ind,2008
5981000,idn,1971
5911000,idn,1972
6277000,idn,1974
5938000,idn,1975
5461000,idn,1976
5071000,idn,1977
3697000,idn,1978
2814000,idn,1981
1228000,idn,1982
644800,idn,1983
798400,idn,1984
557700,idn,1985
731000,idn,1986
961100,idn,1987
731700,idn,1988
998300,idn,1989
1426000,idn,1990
1661000,idn,1991
1877000,idn,1992
2187000,idn,1993
2028000,idn,1994
2055000,idn,1995
2319000,idn,1996
2308000,idn,1997
1599000,idn,2000
1272000,idn,2001
1236000,idn,2002
1090000,idn,2003
948500,idn,2004
1277000,idn,2005
421000,idn,2006
510600,idn,2007
320800,idn,2008
399600,idn,2009
105700,idn,2010
1812000,irn,1971
903200,irn,1984
939400,irn,1985
927900,irn,1986
943400,irn,1987
923000,irn,1988
934100,irn,1989
471400,irn,1990
233400,irn,1992
497800,irn,1997
1157000,irn,1999
1182000,irn,2000
446700,irn,2002
462700,irn,2003
223200,irn,2004
205800,irn,2005
47050,irn,2006
23890,irn,2007
14420,irn,2009
16600,irn,2010
7808,irn,2011
687600,irq,1971
680000,irq,1972
670400,irq,1973
661700,irq,1974
701600,irq,1975
573000,irq,1976
574400,irq,1977
563000,irq,1978
242000,irq,1979
163500,irq,1980
185800,irq,1981
308800,irq,1983
352700,irq,1985
343900,irq,1986
299900,irq,1987
273200,irq,1988
309900,irq,1989
696200,irq,1993
844200,irq,1996
423300,irq,1999
481600,irq,2000
512100,irq,2001
310800,irq,2003
384800,irq,2004
501400,irq,2007
25060,irl,1971
27070,irl,1972
26220,irl,1973
30960,irl,1974
32720,irl,1975
33490,irl,1976
33970,irl,1977
33520,irl,1978
34390,irl,1979
35740,irl,1980
38930,irl,1981
42650,irl,1982
46010,irl,1983
47670,irl,1986
43890,irl,1987
39360,irl,1988
36910,irl,1989
34630,irl,1990
35620,irl,1991
37730,irl,1992
38870,irl,1993
39500,irl,1994
40250,irl,1995
39700,irl,1996
35170,irl,1997
1537,irl,1998
332,irl,1999
977,irl,2000
4061,irl,2001
444,irl,2002
18,irl,2003
700,irl,2004
863,irl,2005
433,irl,2006
658,irl,2007
1706,irl,2008
1923,irl,2009
1434,irl,2010
15170,isr,1999
13700,isr,2000
10830,isr,2001
13070,isr,2002
12690,isr,2003
15800,isr,2004
17230,isr,2005
21090,isr,2006
19910,isr,2007
20540,isr,2008
23160,isr,2009
20200,isr,2010
23630,ita,1973
102800,ita,1976
70400,ita,1979
98360,ita,1985
35630,ita,1995
12180,ita,1996
3607,ita,1997
3191,ita,1999
7179,ita,2000
9499,ita,2001
13210,ita,2002
15360,ita,2003
23690,ita,2004
18960,ita,2005
17370,ita,2006
14050,ita,2007
13400,ita,2008
16430,ita,2009
25060,ita,2010
24000,jam,1975
