geo,stomach_cancer_new_cases_per_100000_women,time
dnk,5.15,1990
dnk,4.69,1991
dnk,4.02,1992
dnk,3.81,1993
dnk,3.69,1994
dnk,3.46,1995
dnk,3.73,1996
dnk,3.5,1997
dnk,3.9,2002
dji,5.5,2002
dom,9.2,2002
ecu,27.0,2002
egy,2.0,2002
slv,21.1,2002
gnq,12.7,2002
eri,5.5,2002
est,27.33,1968
est,27.47,1969
est,25.4,1970
est,24.57,1971
est,24.37,1972
est,23.82,1973
est,23.48,1974
est,22.58,1975
est,21.23,1976
est,18.3,1977
est,21.98,1978
est,19.62,1979
est,18.16,1980
est,19.49,1981
est,18.72,1982
est,20.49,1983
est,18.4,1984
est,19.89,1985
est,16.76,1986
est,16.15,1987
est,17.03,1988
est,16.18,1989
est,16.31,1990
est,16.46,1991
est,16.96,1992
est,16.43,1993
est,15.71,1994
est,15.04,1995
est,14.93,1996
est,13.4,1997
est,15.2,2002
eth,5.1,2002
fji,7.6,2002
fin,39.59,1953
fin,37.18,1954
fin,36.45,1955
fin,33.3,1956
fin,32.4,1957
fin,31.92,1958
fin,30.99,1959
fin,28.97,1960
fin,27.27,1961
fin,25.3,1962
fin,23.45,1963
fin,23.6,1964
fin,21.85,1965
fin,21.4,1966
fin,19.2,1967
fin,19.11,1968
fin,17.61,1969
fin,18.12,1970
fin,16.51,1971
fin,17.17,1972
fin,14.61,1973
fin,14.72,1974
fin,13.21,1975
fin,13.84,1976
fin,13.16,1977
fin,13.19,1978
fin,13.52,1979
fin,12.53,1980
fin,12.51,1981
fin,11.78,1982
fin,12.09,1983
fin,11.39,1984
fin,10.43,1985
fin,10.28,1986
fin,10.37,1987
fin,10.14,1988
fin,8.81,1989
fin,8.58,1990
fin,8.73,1991
fin,8.34,1992
fin,7.59,1993
fin,7.5,1994
fin,6.57,1995
fin,7.2,1996
fin,6.15,1997
fin,6.0,2002
fra,4.1,2002
pyf,11.6,2002
gab,0.6,2002
gmb,2.1,2002
geo,9.1,2002
deu,8.8,2002
gha,3.6,2002
grc,5.9,2002
gum,4.4,2002
gtm,10.8,2002
gin,3.6,2002
gnb,3.6,2002
guy,8.8,2002
hti,7.0,2002
hnd,10.8,2002
hkg,11.69,1983
hkg,11.36,1984
hkg,11.55,1985
hkg,11.62,1986
hkg,9.81,1987
hkg,10.23,1988
hkg,10.33,1989
hkg,9.11,1990
hkg,9.52,1991
hkg,8.89,1992
hkg,8.57,1993
hkg,8.77,1994
hkg,8.01,1995
hkg,8.39,1996
hkg,7.93,1997
hun,9.5,2002
isl,32.06,1958
isl,29.64,1959
isl,37.14,1960
isl,36.25,1961
isl,25.25,1962
isl,19.81,1963
isl,21.69,1964
isl,17.54,1965
isl,23.45,1966
isl,18.5,1967
isl,19.68,1968
isl,18.96,1969
isl,12.26,1970
isl,14.31,1971
isl,19.53,1972
isl,14.34,1973
isl,15.14,1974
isl,17.08,1975
isl,17.18,1976
isl,16.61,1977
isl,16.43,1978
isl,9.54,1979
isl,8.22,1980
isl,11.48,1981
isl,14.29,1982
isl,14.44,1983
isl,10.05,1984
isl,8.84,1985
isl,7.87,1986
isl,9.23,1987
isl,10.63,1988
isl,14.68,1989
isl,7.7,1990
isl,13.49,1991
isl,11.0,1992
isl,6.56,1993
isl,7.75,1994
isl,5.43,1995
isl,3.17,1996
isl,10.24,1997
isl,6.6,2002
ind,2.8,2002
idn,2.1,2002
irn,11.1,2002
irq,3.8,2002
irl,5.9,2002
isr,6.9,2002
ita,9.7,2002
jam,11.6,2002
jpn,26.1,2002
jor,4.0,2002
kaz,18.4,2002
ken,8.2,2002
prk,26.8,2002
kor,26.8,2002
kwt,3.0,2002
kgz,17.9,2002
lao,1.9,2002
lva,11.1,2002
lbn,4.6,2002
lso,2.2,2002
lbr,2.0,2002
lby,2.4,2002
ltu,13.0,2002
lux,6.7,2002
mkd,12.2,2002
mdg,5.5,2002
mwi,0.8,2002
mys,6.2,2002
mli,19.5,2002
mlt,5.0,2002
mrt,3.6,2002
mus,6.7,2002
mex,9.5,2002
mda,8.9,2002
mng,23.3,2002
mar,3.1,2002
moz,1.3,2002
mmr,7.8,2002
nam,1.7,2002
npl,3.5,2002
nld,5.2,2002
nzl,6.65,1983
nzl,5.85,1984
nzl,6.63,1985
nzl,4.31,1986
nzl,5.66,1987
nzl,5.61,1988
nzl,5.25,1989
nzl,5.99,1990
nzl,4.32,1991
nzl,5.65,1992
nzl,4.2,1993
nzl,4.64,1994
nzl,4.21,1995
nzl,4.31,1996
nzl,4.58,1997
nzl,4.5,2002
nic,17.6,2002
ner,3.3,2002
nga,2.0,2002
nor,22.84,1953
nor,22.67,1954
nor,24.59,1955
nor,21.28,1956
nor,20.7,1957
nor,21.09,1958
nor,21.11,1959
nor,19.35,1960
nor,16.49,1961
nor,15.91,1962
nor,18.78,1963
nor,16.69,1964
nor,16.03,1965
nor,14.23,1966
nor,15.24,1967
nor,13.38,1968
nor,13.81,1969
nor,13.62,1970
nor,11.8,1971
nor,10.64,1972
nor,11.0,1973
nor,11.32,1974
nor,9.82,1975
nor,10.31,1976
nor,9.15,1977
nor,8.94,1978
nor,9.76,1979
nor,9.56,1980
nor,8.66,1981
nor,8.64,1982
nor,8.87,1983
nor,8.06,1984
nor,7.97,1985
nor,7.76,1986
nor,7.31,1987
nor,6.97,1988
nor,6.72,1989
nor,6.74,1990
nor,6.77,1991
nor,5.38,1992
nor,5.6,1993
nor,6.21,1994
nor,5.79,1995
nor,5.22,1996
nor,4.88,1997
nor,5.2,2002
omn,5.2,2002
pak,2.8,2002
pan,9.7,2002
png,3.0,2002
pry,10.5,2002
per,30.6,2002
phl,5.2,2002
pol,7.8,2002
prt,13.6,2002
pri,6.3,2002
qat,4.2,2002
rou,6.8,2002
rus,15.8,2002
rwa,13.0,2002
wsm,11.6,2002
sau,3.5,2002
