geo,salaried_workers_percent_of_labour_force,time
fin,85.1,1985
fin,85.1,1986
fin,84.6,1987
fin,84.8,1988
fin,83.4,1989
fin,83.8,1990
fin,83.8,1991
fin,83.4,1992
fin,83.0,1993
fin,82.8,1994
fin,83.3,1995
fin,83.5,1996
fin,84.1,1997
fin,84.8,1998
fin,85.2,1999
fin,85.6,2000
fin,86.3,2001
fin,86.4,2002
fin,86.4,2003
fin,86.5,2004
fin,86.7,2005
fin,86.3,2006
fin,86.7,2007
fra,83.7,1980
fra,83.9,1981
fra,84.3,1982
fra,84.5,1983
fra,84.7,1984
fra,85.0,1985
fra,85.3,1986
fra,85.5,1987
fra,85.8,1988
fra,86.3,1989
fra,86.8,1990
fra,87.3,1991
fra,87.9,1992
fra,88.3,1993
fra,88.7,1994
fra,89.2,1995
fra,89.6,1996
fra,89.9,1997
fra,90.2,1998
fra,90.5,1999
fra,90.8,2000
fra,91.1,2001
fra,91.2,2002
fra,88.6,2003
fra,89.3,2004
fra,89.1,2005
fra,88.8,2006
fra,89.2,2007
gab,45.2,1993
geo,43.2,1998
geo,42.2,1999
geo,37.2,2000
geo,34.9,2001
geo,35.4,2002
geo,34.1,2003
geo,33.7,2004
geo,34.4,2005
geo,34.6,2006
geo,36.7,2007
deu,88.1,1980
deu,88.2,1981
deu,88.2,1982
deu,88.2,1983
deu,87.2,1984
deu,88.0,1985
deu,88.2,1986
deu,88.4,1987
deu,88.6,1988
deu,88.9,1989
deu,89.1,1990
deu,90.5,1991
deu,90.2,1992
deu,89.9,1993
deu,89.5,1994
deu,89.4,1995
deu,89.5,1996
deu,89.1,1997
deu,88.9,1998
deu,89.3,1999
deu,89.2,2000
deu,88.9,2001
deu,88.9,2002
deu,88.6,2003
deu,88.1,2004
deu,87.7,2005
deu,87.9,2006
deu,88.1,2007
grc,49.7,1980
grc,48.1,1981
grc,49.1,1982
grc,48.4,1983
grc,49.1,1984
grc,49.3,1985
grc,49.3,1986
grc,49.9,1987
grc,50.5,1988
grc,51.4,1989
grc,52.4,1990
grc,53.2,1991
grc,52.6,1992
grc,53.2,1993
grc,53.2,1994
grc,53.9,1995
grc,54.3,1996
grc,54.8,1997
grc,56.4,1998
grc,57.9,1999
grc,58.0,2000
grc,60.1,2001
grc,60.7,2002
grc,61.0,2003
grc,63.4,2004
grc,63.6,2005
grc,63.6,2006
grc,64.1,2007
grd,78.4,1988
grd,77.7,1991
grd,71.9,1996
grd,71.3,1998
gtm,50.2,1994
gtm,51.3,1998
gtm,50.4,2000
gtm,28.9,2002
guy,52.4,1992
hti,18.9,1990
hnd,49.3,1990
hnd,47.1,1991
hnd,50.6,1992
hnd,50.4,1994
hnd,49.4,1995
hnd,46.1,1996
hnd,46.8,1997
hnd,48.0,1998
hnd,46.8,1999
hnd,45.5,2001
hnd,46.5,2002
hnd,47.0,2003
hnd,48.1,2004
hnd,49.9,2005
hkg,88.6,1993
hkg,89.1,1994
hkg,89.2,1995
hkg,89.2,1996
hkg,89.7,1997
hkg,89.7,1998
hkg,89.2,1999
hkg,89.5,2000
hkg,88.1,2001
hkg,87.1,2002
hkg,87.3,2003
hkg,87.5,2004
hkg,87.7,2005
hkg,87.8,2006
hkg,88.7,2007
hun,84.8,1992
hun,85.8,1993
hun,85.8,1994
hun,85.5,1995
hun,85.3,1996
hun,85.8,1997
hun,87.1,1998
hun,84.0,1999
hun,84.6,2000
hun,85.4,2001
hun,86.2,2002
hun,86.7,2003
hun,85.8,2004
hun,86.3,2005
hun,87.3,2006
hun,87.6,2007
isl,87.0,1980
isl,87.5,1981
isl,87.4,1982
isl,87.5,1983
isl,87.3,1984
isl,87.5,1985
isl,86.5,1986
isl,84.7,1987
isl,84.8,1988
isl,85.0,1989
isl,84.9,1990
isl,79.8,1991
isl,80.7,1992
isl,82.0,1993
isl,81.6,1994
isl,80.7,1995
isl,81.8,1996
isl,82.3,1997
isl,82.1,1998
isl,82.3,1999
isl,82.0,2000
isl,83.1,2001
isl,83.4,2002
isl,85.8,2003
isl,85.5,2004
isl,85.4,2005
isl,85.0,2006
isl,86.0,2007
idn,35.5,1997
idn,32.9,1998
idn,33.1,1999
idn,32.8,2000
idn,29.3,2001
idn,32.3,2002
idn,31.0,2003
idn,31.9,2004
idn,33.6,2005
idn,33.9,2006
idn,34.0,2007
irn,51.7,1996
irn,50.3,2005
irn,51.4,2007
irl,75.3,1980
irl,76.2,1981
irl,76.0,1982
irl,75.2,1983
irl,75.0,1984
irl,76.1,1985
irl,76.6,1986
irl,75.9,1987
irl,75.3,1988
irl,75.7,1989
irl,75.3,1990
irl,76.9,1991
irl,76.3,1992
irl,76.7,1993
irl,77.4,1994
irl,78.0,1995
irl,79.3,1996
irl,79.3,1997
irl,79.8,1998
irl,80.9,1999
irl,81.1,2000
irl,81.9,2001
irl,82.0,2002
irl,82.3,2003
irl,82.1,2004
irl,82.7,2005
irl,83.8,2006
irl,83.2,2007
gbm,85.4,2001
isr,84.6,1995
isr,84.2,1996
isr,84.7,1997
isr,85.0,1998
isr,84.9,1999
isr,85.8,2000
isr,86.5,2001
isr,86.5,2002
isr,86.2,2003
isr,86.8,2004
isr,86.9,2005
isr,86.8,2006
isr,87.3,2007
ita,71.4,1980
ita,71.2,1981
ita,71.3,1982
ita,70.6,1983
ita,69.8,1984
ita,70.3,1985
ita,70.1,1986
ita,70.2,1987
ita,70.6,1988
ita,70.9,1989
ita,71.3,1990
ita,71.4,1991
ita,71.4,1992
ita,71.6,1993
ita,71.5,1994
ita,71.2,1995
ita,71.2,1996
ita,71.4,1997
ita,71.5,1998
ita,71.9,1999
ita,72.0,2000
ita,72.3,2001
ita,72.7,2002
ita,72.9,2003
ita,71.9,2004
ita,73.3,2005
ita,73.6,2006
ita,73.9,2007
jam,56.2,1991
jam,56.4,1992
jam,58.2,1993
jam,58.5,1994
jam,59.4,1995
jam,59.4,1996
jam,59.2,1997
jam,59.0,1998
jam,58.9,1999
jam,59.0,2000
jam,59.4,2001
jam,61.3,2002
jam,61.0,2003
jam,61.1,2004
jam,62.0,2005
jam,61.2,2006
jpn,71.7,1980
jpn,72.3,1981
jpn,72.7,1982
jpn,73.4,1983
jpn,74.0,1984
jpn,74.3,1985
jpn,74.8,1986
jpn,74.9,1987
jpn,75.5,1988
jpn,76.3,1989
jpn,77.4,1990
jpn,78.5,1991
jpn,79.5,1992
jpn,80.7,1993
jpn,81.1,1994
jpn,81.5,1995
jpn,82.1,1996
jpn,82.2,1997
jpn,82.4,1998
jpn,82.5,1999
jpn,83.1,2000
jpn,83.7,2001
jpn,84.2,2002
jpn,84.5,2003
jpn,84.6,2004
jpn,84.8,2005
jpn,85.7,2006
jpn,86.1,2007
kaz,57.7,2001
kaz,60.1,2002
kaz,60.6,2003
kaz,62.2,2004
kor,47.2,1980
kor,47.1,1981
kor,47.6,1982
kor,49.4,1983
kor,52.9,1984
kor,54.1,1985
kor,54.4,1986
kor,56.2,1987
kor,57.0,1988
kor,59.2,1989
kor,60.5,1990
kor,61.1,1991
kor,61.0,1992
kor,61.0,1993
kor,61.9,1994
kor,62.6,1995
kor,62.8,1996
kor,62.7,1997
kor,61.0,1998
kor,61.7,1999
kor,63.1,2000
kor,63.3,2001
kor,64.0,2002
kor,65.1,2003
kor,66.0,2004
kor,66.4,2005
kor,67.2,2006
kor,68.2,2007
kgz,42.7,2002
kgz,46.7,2003
kgz,48.5,2004
kgz,48.8,2005
kgz,50.8,2006
lao,9.7,1995
lva,85.3,1996
lva,80.5,1997
lva,82.6,1998
lva,83.7,1999
lva,85.0,2000
lva,84.9,2001
lva,86.2,2002
lva,87.0,2003
lva,87.0,2004
lva,88.4,2005
lva,88.4,2006
lva,89.4,2007
lso,54.2,1987
lso,37.4,1997
lso,25.7,1999
ltu,78.1,1997
ltu,79.5,1998
ltu,79.9,1999
ltu,79.8,2000
ltu,80.7,2001
ltu,79.9,2002
ltu,79.6,2003
ltu,81.4,2004
ltu,83.1,2005
ltu,84.3,2006
ltu,86.3,2007
lux,86.5,1980
lux,87.3,1981
lux,87.6,1982
lux,87.7,1983
lux,87.8,1984
lux,88.5,1985
lux,89.0,1986
lux,89.4,1987
lux,89.9,1988
lux,90.4,1989
lux,90.9,1990
lux,91.4,1991
lux,91.5,1992
lux,91.7,1993
lux,91.6,1994
lux,91.6,1995
lux,91.7,1996
lux,91.8,1997
lux,92.1,1998
lux,92.3,1999
lux,92.6,2000
lux,93.0,2001
lux,93.1,2002
lux,93.2,2003
lux,93.3,2004
lux,93.5,2005
mac,89.3,1996
mac,90.4,1997
mac,90.3,1998
mac,89.1,1999
mac,88.2,2000
mac,89.3,2001
mac,89.5,2002
mac,89.1,2003
mac,88.4,2004
mac,89.6,2005
mac,90.7,2006
mac,91.3,2007
mdg,12.9,1993
mdg,15.0,2003
mdg,13.4,2005
mwi,16.1,1987
mys,66.2,1991
mys,72.6,1995
mys,72.3,1996
mys,74.5,1997
mys,73.4,1998
mys,74.7,1999
mys,74.3,2000
mys,75.4,2001
mys,76.7,2002
mys,76.2,2003
mys,74.6,2004
mys,75.5,2005
mys,74.3,2006
mys,74.2,2007
mdv,46.5,1990
mdv,36.6,1995
mdv,23.8,2000
mli,3.3,1994
mli,13.6,2004
mlt,85.4,2001
mlt,86.0,2002
mlt,85.1,2003
mlt,85.9,2004
mlt,86.2,2005
mlt,86.4,2006
mlt,86.2,2007
mhl,71.3,1999
mus,84.8,1990
mus,80.9,1995
mus,83.0,2000
mus,80.0,2004
mus,80.4,2005
mus,80.4,2006
mus,79.2,2007
mex,44.5,1980
mex,68.1,1990
mex,55.3,1991
mex,56.1,1992
mex,55.1,1993
mex,56.3,1994
mex,58.4,1995
mex,59.6,1996
mex,58.8,1997
mex,61.1,1998
mex,61.7,1999
mex,63.9,2000
mex,63.4,2001
mex,63.0,2002
mex,63.2,2003
mex,63.3,2004
mex,64.3,2005
mex,65.4,2006
mex,65.5,2007
mng,41.2,2000
mng,39.3,2003
mne,80.5,2005
msr,82.3,1991
mar,48.5,1994
mar,38.8,1999
mar,61.6,2000
mar,61.2,2001
mar,38.0,2002
mar,38.1,2003
mar,37.2,2004
mar,37.4,2005
mar,43.2,2006
nam,55.0,1994
nam,63.8,1997
nam,62.2,2000
nam,61.5,2001
nam,72.8,2004
npl,24.6,2001
nld,87.8,1980
nld,87.4,1981
nld,87.6,1982
nld,88.1,1983
nld,88.1,1984
nld,88.4,1985
nld,88.7,1986
nld,87.9,1987
nld,88.2,1988
nld,88.4,1989
nld,88.4,1990
nld,88.8,1991
nld,88.9,1992
nld,88.4,1993
nld,87.7,1994
nld,88.1,1995
nld,88.0,1996
nld,87.9,1997
nld,88.2,1998
nld,88.8,1999
nld,88.0,2000
nld,87.6,2001
nld,87.4,2002
nld,87.1,2003
nld,86.6,2004
nld,86.3,2005
nld,86.5,2006
nld,86.3,2007
ant,87.6,1991
ant,90.2,1992
ant,87.8,1993
ant,88.2,1994
ant,89.1,1995
ant,88.7,1996
ant,89.9,1997
ant,88.4,1998
ant,87.8,2000
ant,76.9,2002
ant,75.2,2003
ant,75.1,2004
ant,76.2,2005
ant,77.3,2006
ant,76.8,2007
ncl,83.8,1996
nzl,82.0,1980
nzl,86.0,1981
nzl,81.9,1986
nzl,81.8,1987
nzl,81.0,1988
nzl,80.3,1989
nzl,80.0,1990
nzl,79.1,1991
nzl,78.3,1992
nzl,78.4,1993
nzl,78.6,1994
nzl,78.8,1995
nzl,78.8,1996
nzl,79.9,1997
nzl,79.6,1998
nzl,78.8,1999
nzl,79.0,2000
nzl,80.1,2001
nzl,80.7,2002
nzl,80.7,2003
nzl,80.7,2004
nzl,81.4,2005
nzl,82.2,2006
nzl,82.6,2007
nic,54.7,1993
nic,59.8,1995
nic,59.7,1996
nic,61.1,1997
nic,59.9,1998
nic,60.0,1999
nic,51.5,2000
nic,59.6,2001
nic,58.4,2002
nic,47.2,2003
nic,48.7,2004
nic,49.6,2005
nic,50.5,2006
nor,85.7,1980
nor,86.2,1981
nor,86.3,1982
nor,86.8,1983
nor,86.7,1984
nor,87.8,1985
nor,87.3,1986
nor,88.4,1987
nor,88.1,1988
nor,88.2,1989
nor,88.7,1990
nor,89.2,1991
nor,89.4,1992
nor,89.6,1993
nor,90.0,1994
nor,90.4,1995
nor,91.4,1996
nor,91.7,1997
nor,91.5,1998
nor,92.2,1999
nor,92.5,2000
nor,92.5,2001
nor,92.7,2002
nor,92.5,2003
nor,92.5,2004
nor,92.0,2005
nor,91.5,2006
nor,92.0,2007
omn,85.8,1993
omn,86.6,1996
omn,87.8,2000
pak,34.1,1995
pak,34.1,1996
pak,36.4,1997
pak,35.2,1998
pak,35.2,1999
pak,35.6,2000
pak,35.6,2001
pak,39.9,2002
pak,39.9,2003
pak,37.9,2004
pak,37.9,2005
pak,37.3,2006
pak,37.4,2007
pan,65.6,1982
pan,69.0,1983
pan,67.6,1984
pan,65.7,1985
pan,67.0,1986
pan,65.9,1987
pan,60.1,1988
pan,61.6,1989
pan,62.6,1991
pan,65.1,1992
pan,66.9,1993
pan,68.7,1994
pan,67.5,1995
pan,67.2,1996
pan,66.2,1997
pan,66.9,1998
pan,66.8,1999
pan,66.7,2000
pan,66.5,2001
pan,65.3,2002
pan,64.9,2003
pan,65.8,2004
pan,65.0,2005
pan,66.2,2006
pan,69.1,2007
pry,68.1,1990
pry,67.9,1991
pry,68.5,1992
pry,68.5,1993
pry,61.9,1994
pry,58.1,1996
pry,46.4,1997
pry,45.8,1998
pry,46.4,1999
pry,45.8,2000
pry,44.9,2001
pry,44.0,2002
pry,45.1,2003
pry,48.1,2007
per,59.0,1990
per,59.0,1991
per,57.6,1992
per,59.0,1993
per,58.7,1994
per,58.6,1995
per,47.7,1996
per,44.5,1997
per,47.6,1998
per,45.7,1999
per,43.4,2000
per,43.7,2001
per,54.2,2002
per,51.2,2003
per,51.6,2004
per,51.9,2005
per,54.0,2006
per,53.9,2007
phl,49.9,1998
phl,50.5,1999
phl,49.8,2000
phl,49.0,2001
phl,48.3,2002
phl,50.9,2003
phl,51.7,2004
phl,50.4,2005
phl,50.6,2006
phl,51.1,2007
pol,74.6,1980
pol,74.3,1981
pol,73.1,1982
pol,73.2,1983
pol,73.5,1984
pol,73.5,1985
pol,74.0,1986
pol,74.4,1987
pol,74.6,1988
pol,74.9,1989
pol,72.8,1990
pol,70.0,1991
pol,69.8,1992
pol,68.8,1993
pol,69.1,1994
pol,70.3,1995
pol,70.5,1996
pol,71.7,1997
pol,72.8,1998
pol,73.1,1999
pol,72.6,2000
pol,72.0,2001
pol,71.9,2002
pol,72.7,2003
pol,73.3,2004
pol,74.2,2005
pol,75.6,2006
pol,76.5,2007
prt,67.6,1980
prt,67.7,1981
prt,69.6,1982
prt,68.8,1983
prt,67.5,1984
prt,67.7,1985
prt,68.7,1986
prt,67.8,1987
prt,69.0,1988
prt,69.9,1989
prt,70.6,1990
prt,69.4,1991
prt,74.7,1992
prt,74.0,1993
prt,72.6,1994
prt,72.3,1995
prt,71.7,1996
prt,71.4,1997
prt,71.4,1998
prt,72.4,1999
prt,72.8,2000
prt,72.6,2001
prt,73.0,2002
prt,73.1,2003
prt,73.9,2004
prt,74.5,2005
prt,75.6,2006
prt,75.5,2007
pri,84.6,1991
pri,85.0,1992
pri,85.2,1993
pri,84.9,1994
pri,84.9,1995
pri,85.3,1996
pri,85.3,1997
pri,86.0,1998
pri,85.4,1999
pri,85.5,2000
pri,86.1,2001
pri,85.1,2002
pri,85.6,2003
pri,85.5,2004
pri,85.4,2005
pri,84.8,2006
pri,84.6,2007
qat,98.7,1997
qat,98.8,2004
mda,66.8,1999
mda,62.8,2000
mda,60.0,2001
mda,59.3,2002
mda,64.0,2003
mda,63.9,2004
mda,63.0,2005
mda,67.0,2006
mda,66.7,2007
rou,75.1,1990
rou,69.4,1991
rou,63.4,1992
rou,63.5,1993
rou,63.0,1994
rou,60.7,1995
rou,62.4,1996
rou,61.1,1997
rou,59.7,1998
rou,57.8,1999
rou,56.1,2000
rou,55.7,2001
rou,61.7,2002
rou,62.5,2003
rou,65.9,2004
rou,64.7,2005
rou,66.2,2006
rou,66.3,2007
rus,92.0,1992
rus,93.5,1993
rus,93.2,1994
rus,93.2,1995
rus,93.7,1996
rus,95.3,1997
rus,95.4,1998
rus,89.1,1999
rus,89.9,2000
rus,91.9,2001
rus,92.2,2002
rus,92.6,2003
rus,92.4,2004
rus,92.2,2005
rus,92.4,2006
rus,92.7,2007
rwa,6.0,1996
kna,82.0,1991
kna,85.0,2001
lca,64.3,1993
lca,61.4,1994
lca,65.5,1995
lca,61.5,1996
lca,65.1,1997
lca,65.1,1998
lca,66.1,1999
lca,64.1,2000
vct,74.0,1991
smr,79.2,1995
smr,79.9,1996
smr,80.5,1997
smr,81.6,1998
smr,82.7,1999
smr,88.3,2001
smr,88.3,2002
smr,88.5,2003
smr,88.9,2004
smr,89.2,2005
smr,89.9,2006
smr,90.4,2007
stp,71.2,1991
sen,11.3,1991
srb,70.3,2004
srb,71.3,2005
srb,73.0,2006
srb,73.1,2007
syc,81.1,1987
sle,7.6,2004
sgp,84.4,1986
sgp,84.2,1987
sgp,85.4,1988
sgp,85.6,1989
sgp,86.6,1991
sgp,86.5,1992
sgp,86.4,1993
sgp,86.3,1994
sgp,88.5,1995
sgp,85.3,1996
sgp,86.1,1997
sgp,85.5,1998
sgp,84.4,1999
sgp,89.6,2000
sgp,84.6,2001
sgp,84.9,2002
sgp,85.1,2003
sgp,84.4,2004
sgp,84.9,2006
sgp,84.7,2007
svk,93.7,1994
svk,93.5,1995
svk,93.6,1996
svk,93.6,1997
svk,93.1,1998
svk,92.2,1999
svk,91.9,2000
svk,91.5,2001
svk,91.3,2002
svk,90.0,2003
svk,87.7,2004
svk,87.0,2005
svk,87.0,2006
svk,86.7,2007
svn,84.6,1993
svn,82.4,1994
svn,83.1,1995
svn,83.1,1996
svn,81.3,1997
svn,80.9,1998
svn,81.6,1999
svn,83.9,2000
svn,82.9,2001
svn,83.8,2002
svn,86.0,2003
svn,84.4,2004
svn,85.3,2005
svn,83.6,2006
svn,83.6,2007
zaf,80.9,2001
zaf,80.7,2002
zaf,81.8,2003
