geo,government_health_spending_of_total_gov_spending_percent,time
kaz,14.2,1998
kaz,9.885,1999
kaz,9.153,2000
kaz,8.412,2001
kaz,8.751,2002
kaz,8.743,2003
kaz,10.18,2004
kaz,9.328,2005
kaz,10.44,2006
kaz,7.382,2007
kaz,8.316,2008
kaz,11.28,2009
kaz,11.42,2010
ken,6.37,1995
ken,7.598,1996
ken,7.258,1997
ken,9.206,1998
ken,7.375,1999
ken,10.29,2000
ken,8.453,2001
ken,7.967,2002
ken,7.757,2003
ken,7.735,2004
ken,8.06,2005
ken,7.747,2006
ken,7.694,2007
ken,6.28,2008
ken,7.312,2009
ken,7.312,2010
kir,10.4,1995
kir,10.17,1996
kir,11.16,1997
kir,7.811,1998
kir,9.148,1999
kir,8.743,2000
kir,7.194,2001
kir,5.754,2002
kir,5.901,2003
kir,5.546,2004
kir,10.78,2005
kir,8.79,2006
kir,11.03,2007
kir,12.58,2008
kir,13.0,2009
kir,12.08,2010
kor,7.091,1995
kor,7.713,1996
kor,7.978,1997
kor,8.227,1998
kor,9.225,1999
kor,9.715,2000
kor,11.61,2001
kor,11.19,2002
kor,9.399,2003
kor,10.59,2004
kor,11.27,2005
kor,12.06,2006
kor,12.28,2007
kor,11.86,2008
kor,12.17,2009
kor,12.36,2010
kwt,5.959,1995
kwt,6.295,1996
kwt,6.987,1997
kwt,6.967,1998
kwt,6.609,1999
kwt,5.504,2000
kwt,9.862,2001
kwt,6.947,2002
kwt,7.504,2003
kwt,6.97,2004
kwt,7.092,2005
kwt,7.843,2006
kwt,5.307,2007
kwt,6.177,2008
kwt,5.629,2009
kwt,6.864,2010
kgz,13.86,1995
kgz,14.11,1996
kgz,13.14,1997
kgz,16.53,1998
kgz,15.65,1999
kgz,11.97,2000
kgz,11.87,2001
kgz,10.66,2002
kgz,10.21,2003
kgz,11.39,2004
kgz,11.92,2005
kgz,13.33,2006
kgz,12.79,2007
kgz,11.52,2008
kgz,11.67,2009
kgz,10.71,2010
lao,8.437,1995
lao,12.3,1996
lao,19.52,1997
lao,13.88,1998
lao,6.926,1999
lao,5.779,2000
lao,5.57,2001
lao,6.057,2002
lao,6.736,2003
lao,5.372,2004
lao,3.05,2005
lao,3.05,2006
lao,2.549,2007
lao,5.898,2008
lao,5.898,2009
lao,5.898,2010
lva,9.94,1995
lva,9.514,1996
lva,9.569,1997
lva,9.281,1998
lva,8.956,1999
lva,8.681,2000
lva,9.032,2001
lva,9.111,2002
lva,9.309,2003
lva,10.26,2004
lva,10.15,2005
lva,11.37,2006
lva,11.85,2007
lva,10.55,2008
lva,9.211,2009
lva,9.211,2010
lbn,9.802,1995
lbn,9.453,1996
lbn,9.168,1997
lbn,10.43,1998
lbn,9.381,1999
lbn,7.882,2000
lbn,10.44,2001
lbn,10.69,2002
lbn,9.537,2003
lbn,11.13,2004
lbn,11.87,2005
lbn,9.88,2006
lbn,10.51,2007
lbn,10.12,2008
lbn,9.532,2009
lbn,9.532,2010
lso,6.393,1995
lso,6.313,1996
lso,5.055,1997
lso,6.007,1998
lso,5.891,1999
lso,6.492,2000
lso,9.05,2001
lso,7.249,2002
lso,8.321,2003
lso,8.346,2004
lso,6.829,2005
lso,8.23,2006
lso,11.0,2007
lso,11.1,2008
lso,10.35,2009
lso,13.41,2010
lbr,8.862,1998
lbr,10.61,1999
lbr,8.971,2000
lbr,11.48,2001
lbr,7.173,2002
lbr,10.56,2003
lbr,11.95,2004
lbr,11.12,2005
lbr,15.2,2006
lbr,17.25,2007
lbr,17.21,2008
lbr,13.83,2009
lbr,11.1,2010
lby,5.547,1995
lby,5.547,1996
lby,5.547,1997
lby,5.547,1998
lby,5.547,1999
lby,5.999,2000
lby,5.748,2001
lby,8.091,2002
lby,6.49,2003
lby,5.502,2004
lby,5.457,2005
lby,5.339,2006
lby,5.502,2007
lby,5.502,2008
lby,5.502,2009
lby,5.457,2010
ltu,11.57,1995
ltu,10.81,1996
ltu,8.386,1997
ltu,11.5,1998
ltu,11.64,1999
ltu,11.58,2000
ltu,12.41,2001
ltu,13.86,2002
ltu,14.92,2003
ltu,11.54,2004
ltu,11.9,2005
ltu,12.87,2006
ltu,13.11,2007
ltu,12.85,2008
ltu,12.64,2009
ltu,12.64,2010
lux,12.97,1995
lux,12.75,1996
lux,12.73,1997
lux,12.76,1998
lux,13.35,1999
lux,16.92,2000
lux,16.35,2001
lux,17.02,2002
lux,15.45,2003
lux,16.34,2004
lux,16.24,2005
lux,17.1,2006
lux,16.54,2007
lux,15.42,2008
lux,15.44,2009
lux,15.44,2010
mkd,13.74,1995
mkd,14.33,1996
mkd,16.24,1997
mkd,19.04,1998
mkd,15.1,1999
mkd,14.76,2000
mkd,12.26,2001
mkd,13.45,2002
mkd,16.19,2003
mkd,16.05,2004
mkd,14.72,2005
mkd,15.44,2006
mkd,13.71,2007
mkd,13.63,2008
mkd,12.51,2009
mkd,12.94,2010
mdg,8.518,1995
mdg,10.5,1996
mdg,11.91,1997
mdg,10.24,1998
mdg,12.06,1999
mdg,15.55,2000
mdg,15.04,2001
mdg,13.17,2002
mdg,11.92,2003
mdg,11.64,2004
mdg,11.59,2005
mdg,12.45,2006
mdg,14.71,2007
mdg,14.57,2008
mdg,14.7,2009
mdg,14.7,2010
mwi,5.063,1995
mwi,5.063,1996
mwi,5.063,1997
mwi,5.185,1998
mwi,6.541,1999
mwi,8.98,2000
mwi,8.716,2001
mwi,12.96,2002
mwi,16.73,2003
mwi,21.02,2004
mwi,19.99,2005
mwi,20.03,2006
mwi,14.2,2007
mwi,14.2,2008
mwi,14.2,2009
mwi,14.2,2010
mys,7.895,1995
mys,7.971,1996
mys,7.56,1997
mys,8.062,1998
mys,8.022,1999
mys,8.011,2000
mys,7.834,2001
mys,8.019,2002
mys,9.568,2003
mys,8.873,2004
mys,7.743,2005
mys,8.798,2006
mys,8.299,2007
mys,7.941,2008
mys,8.43,2009
mys,9.207,2010
mdv,10.07,1995
mdv,11.22,1996
mdv,11.12,1997
mdv,10.91,1998
mdv,10.33,1999
mdv,11.32,2000
mdv,10.43,2001
mdv,10.17,2002
mdv,11.86,2003
mdv,13.82,2004
mdv,11.61,2005
mdv,11.38,2006
mdv,10.51,2007
mdv,12.22,2008
mdv,7.905,2009
mdv,8.577,2010
mli,12.06,1995
mli,13.57,1996
mli,11.38,1997
mli,9.602,1998
mli,7.885,1999
mli,8.89,2000
mli,11.93,2001
mli,10.1,2002
mli,10.7,2003
mli,13.0,2004
mli,11.36,2005
mli,11.64,2006
mli,11.39,2007
mli,12.22,2008
mli,10.02,2009
mli,10.58,2010
mlt,9.889,1995
mlt,9.994,1996
mlt,10.61,1997
mlt,10.78,1998
mlt,10.69,1999
mlt,12.05,2000
mlt,11.84,2001
mlt,13.26,2002
mlt,12.55,2003
mlt,13.4,2004
mlt,14.36,2005
mlt,14.5,2006
mlt,13.55,2007
mlt,12.31,2008
mlt,12.74,2009
mlt,13.2,2010
mhl,9.267,1995
mhl,19.42,1996
mhl,19.42,1997
mhl,19.42,1998
mhl,19.42,1999
mhl,21.15,2000
mhl,18.86,2001
mhl,17.33,2002
mhl,16.83,2003
mhl,16.72,2004
mhl,15.55,2005
mhl,16.63,2006
mhl,15.35,2007
mhl,15.73,2008
mhl,19.46,2009
mhl,16.99,2010
mrt,11.61,1995
mrt,7.57,1996
mrt,8.828,1997
mrt,12.12,1998
mrt,15.99,1999
mrt,12.84,2000
mrt,8.122,2001
mrt,10.5,2002
mrt,7.202,2003
mrt,9.807,2004
mrt,9.064,2005
mrt,7.779,2006
mrt,8.565,2007
mrt,7.303,2008
mrt,7.303,2009
mrt,7.303,2010
mus,8.987,1995
mus,8.507,1996
mus,7.743,1997
mus,9.933,1998
mus,8.213,1999
mus,8.708,2000
mus,10.85,2001
mus,9.341,2002
mus,8.817,2003
mus,9.742,2004
mus,9.383,2005
mus,8.817,2006
mus,8.855,2007
mus,7.947,2008
mus,8.324,2009
mus,9.816,2010
mex,15.05,1995
mex,13.29,1996
mex,14.15,1997
mex,15.8,1998
mex,17.28,1999
mex,16.62,2000
mex,16.6,2001
mex,15.68,2002
mex,15.54,2003
mex,17.41,2004
mex,16.5,2005
mex,15.91,2006
mex,15.5,2007
mex,14.96,2008
mex,11.91,2009
fsm,11.27,1995
fsm,11.3,1996
fsm,11.31,1997
fsm,8.953,1998
fsm,9.71,1999
fsm,10.92,2000
fsm,12.46,2001
fsm,12.5,2002
fsm,13.48,2003
fsm,13.96,2004
fsm,19.08,2005
fsm,18.27,2006
fsm,18.8,2007
fsm,19.8,2008
fsm,18.92,2009
fsm,20.02,2010
mda,13.07,1995
mda,15.06,1996
mda,12.16,1997
mda,9.622,1998
mda,7.934,1999
mda,9.546,2000
mda,10.93,2001
mda,11.8,2002
mda,11.98,2003
mda,11.91,2004
mda,11.28,2005
mda,11.75,2006
mda,11.73,2007
mda,12.97,2008
mda,13.39,2009
mda,13.11,2010
mco,14.26,1995
mco,13.03,1996
mco,14.84,1997
mco,14.68,1998
mco,12.51,1999
mco,14.24,2000
mco,13.81,2001
mco,14.58,2002
mco,17.72,2003
mco,16.65,2004
mco,16.26,2005
mco,15.56,2006
mco,15.01,2007
mco,15.8,2008
mco,18.52,2009
mco,18.82,2010
mng,10.69,1995
mng,12.68,1996
mng,9.936,1997
mng,8.778,1998
mng,9.951,1999
mng,10.71,2000
mng,10.87,2001
mng,10.7,2002
mng,10.08,2003
mng,10.31,2004
mng,10.56,2005
mng,8.34,2006
mng,8.535,2007
mng,8.581,2008
mng,8.835,2009
mng,8.045,2010
mne,16.87,1995
mne,16.87,1996
mne,16.87,1997
mne,16.87,1998
mne,16.87,1999
mne,16.87,2000
mne,16.87,2001
mne,16.87,2002
mne,17.75,2003
mne,16.89,2004
mne,14.35,2005
mne,13.59,2006
mne,13.59,2007
mne,13.59,2008
mne,13.59,2009
mne,13.59,2010
mar,3.779,1995
mar,4.413,1996
mar,3.891,1997
mar,4.16,1998
mar,4.131,1999
mar,3.976,2000
mar,4.428,2001
mar,5.035,2002
mar,5.044,2003
mar,5.139,2004
mar,4.735,2005
mar,5.93,2006
mar,6.903,2007
mar,6.543,2008
mar,7.248,2009
mar,6.594,2010
moz,14.05,1995
moz,14.05,1996
moz,13.65,1997
moz,15.03,1998
moz,16.13,1999
moz,16.99,2000
moz,14.75,2001
moz,15.53,2002
moz,14.98,2003
moz,13.85,2004
moz,18.24,2005
moz,15.19,2006
moz,12.78,2007
moz,10.5,2008
moz,12.19,2009
moz,12.19,2010
mmr,1.482,1995
mmr,1.237,1996
mmr,0.8892,1997
mmr,0.6601,1998
mmr,0.7789,1999
mmr,1.152,2000
mmr,0.9922,2001
mmr,1.466,2002
mmr,1.137,2003
mmr,1.248,2004
mmr,0.771,2005
mmr,1.198,2006
mmr,0.9263,2007
mmr,0.9115,2008
mmr,0.971,2009
mmr,0.971,2010
nam,12.1,1995
nam,12.79,1996
nam,13.46,1997
nam,13.42,1998
nam,13.29,1999
nam,13.13,2000
nam,10.27,2001
nam,11.09,2002
nam,11.34,2003
nam,10.72,2004
nam,12.53,2005
nam,11.06,2006
nam,13.14,2007
nam,12.13,2008
nam,12.13,2009
nam,12.13,2010
nru,5.918,1995
nru,5.435,1996
nru,10.0,1997
nru,15.0,1998
nru,12.37,1999
nru,11.19,2000
nru,14.0,2001
nru,18.21,2002
nru,23.81,2003
nru,28.57,2004
nru,18.52,2005
nru,18.52,2006
nru,18.52,2007
nru,9.336,2008
nru,9.247,2009
nru,9.759,2010
npl,4.582,1995
npl,4.51,1996
npl,5.786,1997
npl,6.5,1998
npl,5.735,1999
npl,6.478,2000
npl,8.334,2001
npl,8.906,2002
npl,9.451,2003
npl,12.16,2004
npl,12.71,2005
npl,14.96,2006
npl,11.33,2007
npl,12.45,2008
npl,11.05,2009
npl,8.964,2010
nld,10.48,1995
nld,10.99,1996
nld,11.34,1997
nld,11.08,1998
nld,11.02,1999
nld,11.36,2000
nld,11.49,2001
nld,11.99,2002
nld,12.69,2003
nld,12.94,2004
nld,13.28,2005
nld,16.15,2006
nld,16.08,2007
nld,16.11,2008
nld,18.37,2009
nld,18.45,2010
nzl,13.29,1995
nzl,13.34,1996
nzl,13.66,1997
nzl,14.54,1998
nzl,14.65,1999
nzl,15.56,2000
nzl,15.75,2001
nzl,17.03,2002
nzl,16.44,2003
nzl,16.97,2004
nzl,17.15,2005
nzl,18.0,2006
nzl,17.95,2007
nzl,18.37,2008
nzl,19.84,2009
nzl,20.13,2010
nic,21.52,1995
nic,18.19,1996
nic,13.66,1997
nic,15.04,1998
nic,11.22,1999
nic,13.12,2000
nic,15.56,2001
nic,18.77,2002
nic,20.2,2003
nic,19.22,2004
nic,18.6,2005
nic,17.13,2006
nic,18.82,2007
nic,18.11,2008
nic,18.1,2009
ner,8.991,1995
ner,9.266,1996
ner,9.896,1997
ner,9.331,1998
ner,8.588,1999
ner,8.432,2000
ner,10.1,2001
ner,9.886,2002
ner,9.386,2003
ner,8.968,2004
ner,14.78,2005
ner,16.08,2006
ner,11.48,2007
ner,11.91,2008
ner,11.13,2009
ner,11.13,2010
nga,7.051,1995
nga,7.051,1996
nga,7.051,1997
nga,7.051,1998
nga,5.403,1999
nga,4.22,2000
nga,3.201,2001
nga,3.113,2002
nga,5.114,2003
nga,7.834,2004
nga,6.413,2005
nga,7.059,2006
nga,9.193,2007
nga,7.745,2008
nga,5.94,2009
nga,4.406,2010
niu,7.936,1995
niu,5.531,1996
niu,6.503,1997
niu,5.796,1998
niu,7.056,1999
niu,6.517,2000
niu,30.57,2001
niu,9.684,2002
niu,13.06,2003
niu,12.41,2004
niu,11.29,2005
niu,14.88,2006
niu,14.62,2007
niu,14.97,2008
niu,15.82,2009
niu,15.81,2010
nor,14.4,1995
nor,14.51,1996
nor,14.58,1997
nor,15.49,1998
nor,16.15,1999
nor,16.42,2000
nor,16.67,2001
nor,17.37,2002
nor,17.4,2003
nor,17.75,2004
nor,18.04,2005
nor,17.9,2006
nor,18.16,2007
nor,17.91,2008
nor,17.44,2009
nor,17.44,2010
omn,6.89,1995
omn,7.693,1996
omn,7.263,1997
omn,7.277,1998
omn,7.616,1999
omn,7.073,2000
omn,6.613,2001
omn,6.995,2002
omn,6.859,2003
omn,6.092,2004
omn,6.051,2005
omn,5.405,2006
omn,5.416,2007
omn,4.914,2008
omn,5.762,2009
omn,6.19,2010
pak,2.622,1995
pak,2.808,1996
pak,2.704,1997
pak,2.354,1998
pak,2.367,1999
pak,2.35,2000
pak,2.325,2001
pak,2.862,2002
pak,2.644,2003
pak,2.854,2004
pak,2.909,2005
pak,3.285,2006
pak,3.108,2007
pak,3.094,2008
pak,3.332,2009
pak,3.625,2010
plw,13.94,1995
plw,14.51,1996
plw,14.38,1997
plw,14.16,1998
plw,13.23,1999
plw,12.05,2000
plw,13.01,2001
plw,12.57,2002
plw,12.65,2003
plw,13.81,2004
plw,15.88,2005
plw,14.49,2006
plw,14.26,2007
plw,14.26,2008
plw,14.26,2009
plw,14.26,2010
pan,16.14,1995
pan,14.53,1996
pan,21.0,1997
pan,19.65,1998
pan,18.86,1999
pan,21.32,2000
pan,10.64,2001
pan,10.91,2002
pan,10.37,2003
pan,11.49,2004
pan,12.69,2005
pan,12.64,2006
pan,11.58,2007
pan,13.54,2008
pan,14.7,2009
pan,15.11,2010
png,10.67,1995
png,11.5,1996
png,9.354,1997
png,11.58,1998
png,10.27,1999
png,9.888,2000
png,11.02,2001
png,11.39,2002
png,10.91,2003
png,10.03,2004
png,8.024,2005
png,7.336,2006
png,6.702,2007
png,7.05,2008
png,8.52,2009
png,8.147,2010
pry,11.84,1995
pry,14.93,1996
pry,13.8,1997
pry,16.16,1998
pry,16.93,1999
pry,17.7,2000
pry,16.05,2001
pry,14.11,2002
pry,13.56,2003
pry,13.65,2004
pry,11.76,2005
pry,11.76,2006
pry,11.17,2007
pry,12.61,2008
pry,10.37,2009
pry,11.49,2010
per,13.72,1995
per,13.93,1996
per,12.79,1997
per,14.06,1998
per,14.57,1999
per,14.93,2000
per,15.28,2001
per,16.01,2002
per,15.43,2003
per,15.38,2004
per,15.57,2005
per,15.8,2006
per,18.48,2007
per,20.78,2008
per,15.86,2009
per,14.28,2010
phl,7.423,1995
phl,7.799,1996
phl,8.04,1997
phl,7.912,1998
phl,7.852,1999
phl,8.424,2000
phl,7.208,2001
phl,5.941,2002
phl,7.076,2003
phl,7.36,2004
phl,8.083,2005
phl,7.332,2006
phl,7.091,2007
phl,6.585,2008
phl,7.141,2009
phl,7.553,2010
pol,8.365,1995
pol,8.455,1996
pol,8.685,1997
pol,8.708,1998
pol,9.549,1999
pol,9.412,2000
pol,9.617,2001
pol,10.19,2002
pol,9.768,2003
pol,9.982,2004
pol,9.912,2005
pol,9.881,2006
pol,10.8,2007
pol,11.71,2008
pol,11.94,2009
pol,11.94,2010
prt,11.35,1995
prt,12.11,1996
prt,12.44,1997
prt,12.68,1998
prt,13.11,1999
prt,14.96,2000
prt,14.45,2001
prt,14.95,2002
prt,15.16,2003
prt,15.15,2004
prt,15.23,2005
prt,14.95,2006
prt,14.81,2007
prt,14.6,2008
prt,14.6,2009
prt,14.6,2010
qat,5.107,1995
qat,5.016,1996
qat,5.016,1997
qat,5.016,1998
qat,5.016,1999
qat,5.016,2000
qat,5.984,2001
qat,6.119,2002
qat,10.99,2003
qat,9.717,2004
qat,8.223,2005
qat,7.218,2006
qat,6.655,2007
qat,6.652,2008
qat,6.418,2009
qat,5.546,2010
rou,7.033,1995
rou,7.144,1996
rou,9.622,1997
rou,7.968,1998
rou,8.575,1999
rou,9.146,2000
rou,9.791,2001
rou,10.78,2002
rou,13.52,2003
rou,12.22,2004
rou,13.23,2005
rou,11.46,2006
rou,11.28,2007
rou,11.36,2008
rou,10.84,2009
rou,10.84,2010
rus,9.03,1995
rus,8.749,1996
rus,12.98,1997
rus,13.61,1998
rus,11.79,1999
rus,12.67,2000
rus,12.37,2001
rus,11.22,2002
rus,11.02,2003
rus,11.28,2004
rus,11.75,2005
rus,10.77,2006
rus,10.21,2007
rus,9.171,2008
rus,8.533,2009
rus,8.036,2010
rwa,7.929,1995
rwa,8.277,1996
rwa,9.335,1997
rwa,13.45,1998
rwa,9.113,1999
rwa,8.172,2000
rwa,9.832,2001
rwa,9.084,2002
rwa,17.62,2003
rwa,14.62,2004
rwa,15.57,2005
rwa,22.45,2006
rwa,22.01,2007
rwa,21.9,2008
rwa,20.08,2009
rwa,20.08,2010
kna,9.95,1995
kna,9.052,1996
kna,10.19,1997
kna,10.12,1998
kna,9.579,1999
kna,9.589,2000
kna,9.522,2001
kna,7.991,2002
kna,6.278,2003
kna,5.574,2004
kna,5.471,2005
kna,6.872,2006
kna,6.501,2007
kna,5.732,2008
kna,5.442,2009
kna,8.203,2010
lca,11.3,1995
lca,13.01,1996
lca,11.57,1997
lca,10.67,1998
lca,11.08,1999
lca,11.72,2000
lca,12.17,2001
lca,11.44,2002
lca,9.73,2003
lca,9.704,2004
lca,9.545,2005
lca,10.87,2006
lca,11.1,2007
lca,11.47,2008
lca,14.77,2009
lca,12.82,2010
vct,13.09,1995
vct,12.07,1996
vct,9.169,1997
vct,8.529,1998
vct,8.493,1999
vct,10.76,2000
vct,10.08,2001
vct,10.75,2002
vct,11.0,2003
vct,9.816,2004
vct,8.42,2005
vct,9.387,2006
vct,9.325,2007
vct,11.51,2008
vct,11.51,2009
vct,7.774,2010
wsm,12.39,1995
wsm,15.7,1996
wsm,17.45,1997
wsm,16.89,1998
wsm,19.54,1999
wsm,21.36,2000
wsm,19.65,2001
wsm,19.5,2002
wsm,18.82,2003
wsm,18.27,2004
wsm,16.06,2005
wsm,16.98,2006
wsm,20.33,2007
wsm,18.62,2008
wsm,18.3,2009
wsm,23.44,2010
smr,17.84,1995
smr,18.41,1996
smr,18.45,1997
smr,19.42,1998
smr,20.62,1999
smr,20.44,2000
smr,20.22,2001
smr,18.13,2002
smr,14.95,2003
smr,14.71,2004
smr,14.4,2005
smr,13.79,2006
smr,13.64,2007
smr,13.64,2008
smr,13.64,2009
smr,13.64,2010
stp,7.858,1995
stp,8.145,1996
stp,8.34,1997
stp,8.219,1998
stp,8.654,1999
stp,8.991,2000
stp,7.051,2001
stp,9.138,2002
stp,13.31,2003
stp,10.03,2004
stp,13.21,2005
stp,13.21,2006
stp,13.21,2007
stp,13.21,2008
stp,13.21,2009
stp,13.21,2010
sau,4.733,1995
sau,4.822,1996
sau,4.894,1997
sau,5.597,1998
sau,9.204,1999
sau,9.164,2000
sau,8.76,2001
sau,9.357,2002
sau,9.068,2003
sau,8.716,2004
sau,8.804,2005
sau,9.479,2006
sau,8.383,2007
sau,7.082,2008
sau,6.396,2009
sau,7.019,2010
sen,7.105,1995
sen,7.724,1996
sen,8.031,1997
sen,7.806,1998
sen,8.383,1999
sen,8.528,2000
sen,8.079,2001
sen,9.688,2002
sen,9.681,2003
sen,9.077,2004
sen,12.41,2005
sen,12.1,2006
sen,11.79,2007
sen,11.88,2008
sen,11.57,2009
sen,11.56,2010
srb,13.46,1995
srb,13.46,1996
srb,13.46,1997
srb,13.46,1998
srb,13.46,1999
srb,13.46,2000
srb,13.46,2001
srb,13.46,2002
srb,13.65,2003
srb,13.45,2004
srb,14.23,2005
srb,12.95,2006
srb,13.83,2007
srb,14.08,2008
srb,13.92,2009
srb,14.08,2010
syc,8.379,1995
syc,7.816,1996
syc,8.487,1997
syc,7.501,1998
syc,7.769,1999
syc,7.293,2000
syc,8.332,2001
syc,6.772,2002
syc,12.17,2003
syc,10.22,2004
syc,8.952,2005
syc,7.788,2006
syc,7.717,2007
syc,7.709,2008
syc,9.032,2009
syc,9.115,2010
sle,8.272,1995
sle,8.905,1996
sle,8.85,1997
sle,8.882,1998
sle,8.776,1999
sle,7.426,2000
sle,7.231,2001
sle,7.534,2002
sle,8.442,2003
sle,5.961,2004
sle,7.551,2005
sle,6.767,2006
sle,5.262,2007
sle,6.352,2008
sle,6.352,2009
sle,6.352,2010
sgp,9.432,1995
sgp,6.896,1996
sgp,8.419,1997
sgp,8.686,1998
sgp,8.235,1999
sgp,6.213,2000
sgp,5.591,2001
sgp,5.627,2002
sgp,7.945,2003
sgp,6.524,2004
sgp,6.962,2005
sgp,6.634,2006
sgp,6.863,2007
sgp,6.908,2008
sgp,8.324,2009
sgp,8.016,2010
svk,11.04,1995
svk,10.62,1996
svk,10.84,1997
svk,11.31,1998
svk,10.72,1999
svk,9.427,2000
svk,11.05,2001
svk,11.13,2002
svk,12.8,2003
svk,14.12,2004
svk,13.8,2005
svk,13.75,2006
svk,15.15,2007
svk,15.57,2008
svk,14.48,2009
svk,14.48,2010
svn,11.07,1995
svn,13.18,1996
svn,13.08,1997
svn,13.0,1998
svn,12.78,1999
svn,13.15,2000
svn,13.27,2001
svn,13.69,2002
svn,13.38,2003
svn,13.33,2004
svn,13.39,2005
svn,13.41,2006
svn,13.25,2007
svn,13.88,2008
svn,13.83,2009
svn,13.83,2010
slb,14.81,1995
slb,14.35,1996
slb,17.62,1997
slb,15.18,1998
slb,17.27,1999
slb,20.75,2000
slb,34.41,2001
slb,19.91,2002
slb,20.61,2003
slb,23.93,2004
slb,29.82,2005
slb,25.2,2006
slb,20.14,2007
slb,15.49,2008
slb,23.69,2009
slb,23.09,2010
som,4.167,1995
som,4.167,1996
som,4.355,1997
som,4.375,1998
som,4.2,1999
som,4.216,2000
som,4.19,2001
zaf,9.546,1995
zaf,9.467,1996
zaf,9.285,1997
zaf,9.825,1998
zaf,10.73,1999
zaf,10.92,2000
zaf,11.16,2001
zaf,11.53,2002
zaf,11.17,2003
zaf,10.3,2004
zaf,10.41,2005
zaf,10.71,2006
zaf,11.06,2007
zaf,11.54,2008
zaf,11.42,2009
zaf,11.87,2010
esp,12.09,1995
esp,12.5,1996
esp,12.77,1997
esp,12.87,1998
esp,13.2,1999
esp,13.18,2000
esp,13.34,2001
esp,13.28,2002
esp,14.95,2003
esp,14.86,2004
esp,15.21,2005
esp,15.52,2006
esp,15.46,2007
esp,15.69,2008
esp,15.22,2009
esp,15.22,2010
lka,5.262,1995
lka,5.622,1996
lka,5.704,1997
lka,7.027,1998
lka,6.806,1999
lka,6.779,2000
lka,6.278,2001
lka,6.701,2002
lka,7.18,2003
lka,8.584,2004
lka,7.97,2005
lka,8.138,2006
lka,7.823,2007
lka,7.054,2008
lka,5.945,2009
lka,5.767,2010
sdn,11.55,1995
sdn,11.8,1996
sdn,11.86,1997
sdn,11.97,1998
sdn,8.867,1999
sdn,8.29,2000
sdn,8.038,2001
sdn,7.69,2002
sdn,7.173,2003
sdn,7.202,2004
sdn,5.737,2005
sdn,6.622,2006
sdn,7.708,2007
sdn,9.847,2008
sdn,9.888,2009
sdn,9.76,2010
sur,10.96,1995
sur,10.96,1996
sur,11.85,1997
sur,8.843,1998
sur,10.69,1999
sur,9.686,2000
sur,11.09,2001
sur,11.23,2002
sur,12.03,2003
sur,11.6,2004
sur,11.65,2005
sur,13.79,2006
sur,11.89,2007
sur,11.89,2008
sur,11.89,2009
sur,11.89,2010
swz,12.63,1995
swz,11.99,1996
swz,12.18,1997
swz,11.33,1998
swz,10.49,1999
swz,10.55,2000
swz,10.15,2001
swz,9.877,2002
swz,12.12,2003
swz,8.778,2004
swz,10.01,2005
swz,12.19,2006
swz,10.45,2007
swz,10.25,2008
swz,10.06,2009
swz,10.12,2010
swe,10.63,1995
swe,11.33,1996
swe,11.36,1997
swe,11.84,1998
swe,12.09,1999
swe,12.6,2000
swe,13.18,2001
swe,13.52,2002
swe,13.71,2003
swe,13.65,2004
swe,13.66,2005
swe,13.77,2006
swe,14.24,2007
swe,14.56,2008
swe,14.81,2009
swe,14.81,2010
che,14.65,1995
che,15.36,1996
che,15.4,1997
che,15.39,1998
che,16.4,1999
che,16.03,2000
che,17.33,2001
che,17.42,2002
che,18.05,2003
che,18.36,2004
che,18.92,2005
che,19.0,2006
che,19.47,2007
che,19.71,2008
che,19.91,2009
che,19.9,2010
syr,7.714,1995
syr,7.179,1996
syr,6.631,1997
syr,6.532,1998
syr,6.463,1999
syr,6.536,2000
syr,6.522,2001
syr,6.489,2002
syr,6.313,2003
syr,6.055,2004
syr,6.797,2005
syr,6.395,2006
syr,6.395,2007
syr,6.395,2008
syr,6.003,2009
syr,5.58,2010
tjk,7.418,1995
tjk,7.25,1996
tjk,8.484,1997
tjk,8.207,1998
tjk,6.986,1999
tjk,6.459,2000
tjk,6.412,2001
tjk,5.636,2002
tjk,5.61,2003
tjk,5.334,2004
tjk,5.877,2005
tjk,5.925,2006
tjk,4.341,2007
tjk,5.035,2008
tjk,5.405,2009
tjk,6.107,2010
tza,10.21,1995
tza,10.21,1996
tza,10.21,1997
tza,10.21,1998
tza,10.21,1999
tza,10.21,2000
tza,11.17,2001
tza,10.91,2002
tza,11.29,2003
tza,8.476,2004
tza,9.273,2005
tza,14.4,2006
tza,13.67,2007
tza,13.69,2008
tza,12.93,2009
tza,13.79,2010
tha,9.749,1995
tha,9.997,1996
tha,9.747,1997
tha,8.252,1998
tha,7.294,1999
tha,9.949,2000
tha,9.033,2001
tha,9.319,2002
tha,11.99,2003
tha,11.66,2004
tha,11.55,2005
tha,12.99,2006
tha,13.11,2007
tha,14.27,2008
tha,13.32,2009
tha,12.7,2010
tls,10.82,1995
tls,6.984,1996
tls,10.82,1997
tls,6.709,1998
tls,8.656,1999
tls,12.7,2000
tls,42.38,2001
tls,41.19,2002
tls,35.46,2003
tls,35.51,2004
tls,38.29,2005
tls,23.47,2006
tls,19.31,2007
tls,9.901,2008
tls,7.765,2009
tls,4.707,2010
tgo,8.482,1995
tgo,8.482,1996
tgo,8.482,1997
tgo,8.482,1998
tgo,8.482,1999
tgo,8.482,2000
tgo,8.482,2001
tgo,6.902,2002
