coal_consumption_total,geo,time
176000,bgd,1996
323000,bgd,1997
93000,bgd,1998
30000,bgd,1999
330000,bgd,2000
350000,bgd,2001
350000,bgd,2002
350000,bgd,2003
350000,bgd,2004
371000,bgd,2005
473000,bgd,2006
448000,bgd,2007
628000,bgd,2008
628000,bgd,2009
900000,bgd,2010
954600,bgd,2011
1058000,blr,1985
1196000,blr,1986
1288000,blr,1987
1334000,blr,1988
1334000,blr,1989
1150000,blr,1990
1058000,blr,1991
736000,blr,1992
598000,blr,1993
248000,blr,1994
253000,blr,1995
460000,blr,1996
552000,blr,1997
368000,blr,1998
87000,blr,1999
92000,blr,2000
103000,blr,2001
100000,blr,2002
92000,blr,2003
114000,blr,2004
97000,blr,2005
69000,blr,2006
30000,blr,2007
30000,blr,2008
30000,blr,2009
30000,blr,2010
30000,blr,2011
1735000,bra,1965
1880000,bra,1966
1943000,bra,1967
1912000,bra,1968
2134000,bra,1969
2358000,bra,1970
2424000,bra,1971
2439000,bra,1972
2415000,bra,1973
2517000,bra,1974
3018000,bra,1975
3449000,bra,1976
4196000,bra,1977
4602000,bra,1978
5076000,bra,1979
5517000,bra,1980
5688000,bra,1981
5934000,bra,1982
6646000,bra,1983
8303000,bra,1984
9881000,bra,1985
10070000,bra,1986
10120000,bra,1987
10040000,bra,1988
9907000,bra,1989
9533000,bra,1990
10230000,bra,1991
9896000,bra,1992
10270000,bra,1993
10320000,bra,1994
10800000,bra,1995
11340000,bra,1996
11500000,bra,1997
11350000,bra,1998
11900000,bra,1999
12510000,bra,2000
12220000,bra,2001
11450000,bra,2002
11770000,bra,2003
12770000,bra,2004
12660000,bra,2005
12540000,bra,2006
13360000,bra,2007
13480000,bra,2008
11260000,bra,2009
13930000,bra,2010
13860000,bra,2011
5996000,bgr,1965
6183000,bgr,1966
6714000,bgr,1967
7294000,bgr,1968
7333000,bgr,1969
8021000,bgr,1970
7917000,bgr,1971
8160000,bgr,1972
8223000,bgr,1973
8083000,bgr,1974
8474000,bgr,1975
7899000,bgr,1976
7867000,bgr,1977
8388000,bgr,1978
8649000,bgr,1979
9072000,bgr,1980
9212000,bgr,1981
9678000,bgr,1982
9641000,bgr,1983
9656000,bgr,1984
10080000,bgr,1985
10360000,bgr,1986
10350000,bgr,1987
9642000,bgr,1988
9841000,bgr,1989
8755000,bgr,1990
7547000,bgr,1991
7567000,bgr,1992
8134000,bgr,1993
7507000,bgr,1994
7564000,bgr,1995
7627000,bgr,1996
7743000,bgr,1997
7346000,bgr,1998
6383000,bgr,1999
6408000,bgr,2000
7104000,bgr,2001
6540000,bgr,2002
7218000,bgr,2003
7138000,bgr,2004
6833000,bgr,2005
6852000,bgr,2006
7664000,bgr,2007
7512000,bgr,2008
6362000,bgr,2009
6818000,bgr,2010
8440000,bgr,2011
15480000,can,1965
15170000,can,1966
15030000,can,1967
16330000,can,1968
15770000,can,1969
16930000,can,1970
16090000,can,1971
15180000,can,1972
15640000,can,1973
15890000,can,1974
15460000,can,1975
18300000,can,1976
23380000,can,1977
19230000,can,1978
18210000,can,1979
22170000,can,1980
22640000,can,1981
23920000,can,1982
25030000,can,1983
27880000,can,1984
26800000,can,1985
24840000,can,1986
26700000,can,1987
28670000,can,1988
28610000,can,1989
27140000,can,1990
26270000,can,1991
26760000,can,1992
23760000,can,1993
25190000,can,1994
25220000,can,1995
26250000,can,1996
27910000,can,1997
30760000,can,1998
30530000,can,1999
31790000,can,2000
33960000,can,2001
31580000,can,2002
27000000,can,2003
28450000,can,2004
33270000,can,2005
29130000,can,2006
29850000,can,2007
29900000,can,2008
25190000,can,2009
24010000,can,2010
21830000,can,2011
1165000,chl,1965
1200000,chl,1966
1200000,chl,1967
1200000,chl,1968
1200000,chl,1969
1283000,chl,1970
1239000,chl,1971
1024000,chl,1972
1112000,chl,1973
1054000,chl,1974
842000,chl,1975
850000,chl,1976
915000,chl,1977
892000,chl,1978
987000,chl,1979
1090000,chl,1980
1088000,chl,1981
725000,chl,1982
869000,chl,1983
1172000,chl,1984
1173000,chl,1985
1114000,chl,1986
1148000,chl,1987
1600000,chl,1988
2162000,chl,1989
2419000,chl,1990
1987000,chl,1991
1750000,chl,1992
1800000,chl,1993
2150000,chl,1994
2350000,chl,1995
3200000,chl,1996
4150000,chl,1997
3700000,chl,1998
3860000,chl,1999
2984000,chl,2000
2341000,chl,2001
2359000,chl,2002
2256000,chl,2003
2613000,chl,2004
2560000,chl,2005
3197000,chl,2006
3794000,chl,2007
4057000,chl,2008
3709000,chl,2009
4205000,chl,2010
5294000,chl,2011
112300000,chn,1965
120200000,chn,1966
106800000,chn,1967
106000000,chn,1968
128000000,chn,1969
162900000,chn,1970
187800000,chn,1971
198900000,chn,1972
201800000,chn,1973
199900000,chn,1974
225200000,chn,1975
231100000,chn,1976
254100000,chn,1977
281000000,chn,1978
290800000,chn,1979
304900000,chn,1980
302300000,chn,1981
320100000,chn,1982
343400000,chn,1983
374900000,chn,1984
399800000,chn,1985
422100000,chn,1986
455700000,chn,1987
486700000,chn,1988
508800000,chn,1989
507100000,chn,1990
524400000,chn,1991
540500000,chn,1992
572500000,chn,1993
612100000,chn,1994
665200000,chn,1995
670000000,chn,1996
677400000,chn,1997
674600000,chn,1998
706000000,chn,1999
709600000,chn,2000
720800000,chn,2001
760400000,chn,2002
900200000,chn,2003
1066000000,chn,2004
1186000000,chn,2005
1318000000,chn,2006
1393000000,chn,2007
1441000000,chn,2008
1579000000,chn,2009
1676000000,chn,2010
1839000000,chn,2011
2014000,col,1965
2014000,col,1966
2210000,col,1967
2013000,col,1968
2149000,col,1969
2243000,col,1970
1893000,col,1971
1827000,col,1972
2052000,col,1973
2302000,col,1974
1794000,col,1975
2081000,col,1976
2149000,col,1977
2166000,col,1978
2190000,col,1979
2260000,col,1980
2310000,col,1981
2555000,col,1982
2960000,col,1983
3020000,col,1984
2892000,col,1985
2882000,col,1986
3239000,col,1987
3147000,col,1988
3269000,col,1989
3547000,col,1990
3746000,col,1991
3646000,col,1992
3715000,col,1993
3559000,col,1994
3379000,col,1995
2890000,col,1996
3021000,col,1997
2811000,col,1998
2359000,col,1999
2703000,col,2000
2662000,col,2001
2189000,col,2002
2427000,col,2003
1998000,col,2004
2668000,col,2005
2436000,col,2006
2353000,col,2007
2778000,col,2008
3485000,col,2009
4007000,col,2010
4290000,col,2011
35330000,cze,1965
35220000,cze,1966
34060000,cze,1967
35260000,cze,1968
36650000,cze,1969
37100000,cze,1970
38650000,cze,1971
38100000,cze,1972
37280000,cze,1973
37140000,cze,1974
37940000,cze,1975
38680000,cze,1976
39510000,cze,1977
39670000,cze,1978
39680000,cze,1979
38450000,cze,1980
38300000,cze,1981
38590000,cze,1982
38380000,cze,1983
39100000,cze,1984
38250000,cze,1985
38080000,cze,1986
37630000,cze,1987
38070000,cze,1988
36610000,cze,1989
33470000,cze,1990
30410000,cze,1991
25370000,cze,1992
23670000,cze,1993
23190000,cze,1994
23450000,cze,1995
23640000,cze,1996
22770000,cze,1997
20500000,cze,1998
19010000,cze,1999
20960000,cze,2000
21180000,cze,2001
20600000,cze,2002
20750000,cze,2003
20890000,cze,2004
20410000,cze,2005
21060000,cze,2006
21240000,cze,2007
19860000,cze,2008
17380000,cze,2009
18150000,cze,2010
19170000,cze,2011
2087000,dnk,1965
2366000,dnk,1966
2202000,dnk,1967
2517000,dnk,1968
2186000,dnk,1969
2040000,dnk,1970
1365000,dnk,1971
1322000,dnk,1972
1820000,dnk,1973
2134000,dnk,1974
2486000,dnk,1975
2530000,dnk,1976
3345000,dnk,1977
3446000,dnk,1978
4187000,dnk,1979
5932000,dnk,1980
5398000,dnk,1981
5671000,dnk,1982
5433000,dnk,1983
6272000,dnk,1984
7120000,dnk,1985
7300000,dnk,1986
7151000,dnk,1987
6916000,dnk,1988
5521000,dnk,1989
6039000,dnk,1990
8351000,dnk,1991
6737000,dnk,1992
7201000,dnk,1993
7760000,dnk,1994
6550000,dnk,1995
8950000,dnk,1996
6710000,dnk,1997
5607000,dnk,1998
4728000,dnk,1999
4029000,dnk,2000
4188000,dnk,2001
4197000,dnk,2002
5684000,dnk,2003
4580000,dnk,2004
3686000,dnk,2005
5627000,dnk,2006
4724000,dnk,2007
4103000,dnk,2008
3990000,dnk,2009
3794000,dnk,2010
3211000,dnk,2011
403000,egy,1965
274000,egy,1966
422000,egy,1967
439000,egy,1968
474000,egy,1969
437000,egy,1970
351000,egy,1971
318000,egy,1972
300000,egy,1973
483000,egy,1974
562000,egy,1975
558000,egy,1976
608000,egy,1977
657000,egy,1978
748000,egy,1979
602000,egy,1980
777000,egy,1981
796000,egy,1982
750000,egy,1983
762000,egy,1984
803000,egy,1985
808000,egy,1986
864000,egy,1987
942000,egy,1988
982000,egy,1989
888000,egy,1990
971000,egy,1991
990000,egy,1992
1160000,egy,1993
1163000,egy,1994
1178000,egy,1995
1181000,egy,1996
1195000,egy,1997
1244000,egy,1998
1045000,egy,1999
1357000,egy,2000
1216000,egy,2001
1305000,egy,2002
1353000,egy,2003
1306000,egy,2004
1256000,egy,2005
1211000,egy,2006
1207000,egy,2007
1181000,egy,2008
1156000,egy,2009
881000,egy,2010
896600,egy,2011
2001000,fin,1965
1860000,fin,1966
1791000,fin,1967
2161000,fin,1968
2594000,fin,1969
2453000,fin,1970
2206000,fin,1971
1785000,fin,1972
2028000,fin,1973
2062000,fin,1974
1788000,fin,1975
2547000,fin,1976
2597000,fin,1977
3509000,fin,1978
3200000,fin,1979
3760000,fin,1980
1847000,fin,1981
1850000,fin,1982
2780000,fin,1983
2710000,fin,1984
3489000,fin,1985
2980000,fin,1986
3700000,fin,1987
3600000,fin,1988
3200000,fin,1989
3250000,fin,1990
3508000,fin,1991
3040000,fin,1992
3746000,fin,1993
4896000,fin,1994
4120000,fin,1995
5006000,fin,1996
4493000,fin,1997
3285000,fin,1998
3262000,fin,1999
3279000,fin,2000
3860000,fin,2001
4144000,fin,2002
5509000,fin,2003
5046000,fin,2004
2928000,fin,2005
4734000,fin,2006
4396000,fin,2007
3047000,fin,2008
3347000,fin,2009
4306000,fin,2010
3316000,fin,2011
45060000,fra,1965
41340000,fra,1966
41800000,fra,1967
40040000,fra,1968
39790000,fra,1969
37830000,fra,1970
33840000,fra,1971
29550000,fra,1972
29450000,fra,1973
30330000,fra,1974
26460000,fra,1975
30030000,fra,1976
29820000,fra,1977
30470000,fra,1978
28500000,fra,1979
27700000,fra,1980
25100000,fra,1981
28600000,fra,1982
25300000,fra,1983
25170000,fra,1984
22980000,fra,1985
19580000,fra,1986
17900000,fra,1987
17100000,fra,1988
19600000,fra,1989
19100000,fra,1990
20100000,fra,1991
17900000,fra,1992
14710000,fra,1993
13720000,fra,1994
14520000,fra,1995
15390000,fra,1996
13450000,fra,1997
16130000,fra,1998
14350000,fra,1999
13900000,fra,2000
12110000,fra,2001
12420000,fra,2002
13250000,fra,2003
12840000,fra,2004
13260000,fra,2005
12060000,fra,2006
12300000,fra,2007
11940000,fra,2008
9851000,fra,2009
10720000,fra,2010
9021000,fra,2011
163500000,deu,1965
152700000,deu,1966
147100000,deu,1967
149200000,deu,1968
153600000,deu,1969
151700000,deu,1970
144500000,deu,1971
140100000,deu,1972
141200000,deu,1973
139600000,deu,1974
128300000,deu,1975
134400000,deu,1976
130900000,deu,1977
132300000,deu,1978
139500000,deu,1979
139600000,deu,1980
141300000,deu,1981
140100000,deu,1982
141000000,deu,1983
147400000,deu,1984
147600000,deu,1985
143400000,deu,1986
141300000,deu,1987
140100000,deu,1988
138200000,deu,1989
129600000,deu,1990
113300000,deu,1991
104400000,deu,1992
97930000,deu,1993
95550000,deu,1994
90580000,deu,1995
89880000,deu,1996
86800000,deu,1997
84770000,deu,1998
80220000,deu,1999
84890000,deu,2000
84960000,deu,2001
84630000,deu,2002
87180000,deu,2003
85370000,deu,2004
82140000,deu,2005
83520000,deu,2006
85670000,deu,2007
80110000,deu,2008
71730000,deu,2009
76620000,deu,2010
77550000,deu,2011
2107000,grc,1965
2103000,grc,1966
2010000,grc,1967
2270000,grc,1968
2197000,grc,1969
2528000,grc,1970
3726000,grc,1971
3980000,grc,1972
4681000,grc,1973
4930000,grc,1974
6456000,grc,1975
7629000,grc,1976
8114000,grc,1977
7215000,grc,1978
3961000,grc,1979
3961000,grc,1980
3921000,grc,1981
3981000,grc,1982
4882000,grc,1983
5213000,grc,1984
6045000,grc,1985
5769000,grc,1986
6586000,grc,1987
7392000,grc,1988
7947000,grc,1989
8037000,grc,1990
7750000,grc,1991
8384000,grc,1992
7889000,grc,1993
8382000,grc,1994
8240000,grc,1995
7772000,grc,1996
7641000,grc,1997
8777000,grc,1998
9104000,grc,1999
9218000,grc,2000
9347000,grc,2001
9845000,grc,2002
9422000,grc,2003
9044000,grc,2004
8815000,grc,2005
8056000,grc,2006
8536000,grc,2007
8139000,grc,2008
8084000,grc,2009
7358000,grc,2010
7324000,grc,2011
123000,hkg,1965
106000,hkg,1966
85000,hkg,1967
61000,hkg,1968
30000,hkg,1969
30000,hkg,1970
30000,hkg,1971
30000,hkg,1972
30000,hkg,1973
30000,hkg,1974
30000,hkg,1975
30000,hkg,1976
30000,hkg,1977
30000,hkg,1978
30000,hkg,1979
30000,hkg,1980
30000,hkg,1981
895000,hkg,1982
2102000,hkg,1983
2744000,hkg,1984
3397000,hkg,1985
3931000,hkg,1986
4926000,hkg,1987
5699000,hkg,1988
6106000,hkg,1989
5492000,hkg,1990
5926000,hkg,1991
6282000,hkg,1992
7275000,hkg,1993
5197000,hkg,1994
5602000,hkg,1995
4163000,hkg,1996
3513000,hkg,1997
4367000,hkg,1998
3931000,hkg,1999
3725000,hkg,2000
4941000,hkg,2001
5362000,hkg,2002
6566000,hkg,2003
6575000,hkg,2004
6657000,hkg,2005
7013000,hkg,2006
7541000,hkg,2007
6977000,hkg,2008
7584000,hkg,2009
6349000,hkg,2010
7705000,hkg,2011
10910000,hun,1965
10460000,hun,1966
9077000,hun,1967
8959000,hun,1968
9093000,hun,1969
9241000,hun,1970
8945000,hun,1971
8693000,hun,1972
8738000,hun,1973
8334000,hun,1974
7940000,hun,1975
8045000,hun,1976
8183000,hun,1977
8175000,hun,1978
8238000,hun,1979
8078000,hun,1980
8117000,hun,1981
8463000,hun,1982
7956000,hun,1983
7742000,hun,1984
7604000,hun,1985
7515000,hun,1986
7511000,hun,1987
7087000,hun,1988
6348000,hun,1989
5587000,hun,1990
5792000,hun,1991
4611000,hun,1992
3970000,hun,1993
3613000,hun,1994
3557000,hun,1995
3695000,hun,1996
3730000,hun,1997
3373000,hun,1998
3442000,hun,1999
3246000,hun,2000
3420000,hun,2001
3106000,hun,2002
3351000,hun,2003
3069000,hun,2004
2682000,hun,2005
2869000,hun,2006
2895000,hun,2007
2839000,hun,2008
2492000,hun,2009
2642000,hun,2010
2729000,hun,2011
35550000,ind,1965
35460000,ind,1966
36050000,ind,1967
37300000,ind,1968
39630000,ind,1969
37560000,ind,1970
38080000,ind,1971
40210000,ind,1972
39680000,ind,1973
44790000,ind,1974
48140000,ind,1975
50130000,ind,1976
52480000,ind,1977
50790000,ind,1978
53950000,ind,1979
56710000,ind,1980
63250000,ind,1981
63060000,ind,1982
66160000,ind,1983
69460000,ind,1984
72540000,ind,1985
78010000,ind,1986
85920000,ind,1987
91660000,ind,1988
99960000,ind,1989
95460000,ind,1990
101800000,ind,1991
108200000,ind,1992
112500000,ind,1993
115800000,ind,1994
125000000,ind,1995
134400000,ind,1996
135900000,ind,1997
136100000,ind,1998
135800000,ind,1999
144200000,ind,2000
145200000,ind,2001
151800000,ind,2002
156800000,ind,2003
172300000,ind,2004
184400000,ind,2005
195400000,ind,2006
210300000,ind,2007
230400000,ind,2008
253800000,ind,2009
270800000,ind,2010
295600000,ind,2011
129000,idn,1965
158000,idn,1966
111000,idn,1967
83000,idn,1968
100000,idn,1969
87000,idn,1970
100000,idn,1971
100000,idn,1972
67000,idn,1973
73000,idn,1974
93000,idn,1975
93000,idn,1976
100000,idn,1977
133000,idn,1978
200000,idn,1979
253000,idn,1980
270000,idn,1981
255000,idn,1982
255000,idn,1983
267000,idn,1984
900000,idn,1985
1446000,idn,1986
2267000,idn,1987
2368000,idn,1988
3554000,idn,1989
3954000,idn,1990
4091000,idn,1991
4060000,idn,1992
4030000,idn,1993
4760000,idn,1994
5662000,idn,1995
6922000,idn,1996
8245000,idn,1997
9254000,idn,1998
11560000,idn,1999
13740000,idn,2000
16840000,idn,2001
17990000,idn,2002
24150000,idn,2003
22190000,idn,2004
25430000,idn,2005
30130000,idn,2006
37800000,idn,2007
30090000,idn,2008
34620000,idn,2009
41200000,idn,2010
43970000,idn,2011
211000,irn,1965
232000,irn,1966
256000,irn,1967
282000,irn,1968
311000,irn,1969
343000,irn,1970
378000,irn,1971
642000,irn,1972
705000,irn,1973
803000,irn,1974
690000,irn,1975
616000,irn,1976
618000,irn,1977
630000,irn,1978
599000,irn,1979
605000,irn,1980
479000,irn,1981
542000,irn,1982
542000,irn,1983
813000,irn,1984
852000,irn,1985
890000,irn,1986
907000,irn,1987
920000,irn,1988
945000,irn,1989
1071000,irn,1990
1134000,irn,1991
1200000,irn,1992
1250000,irn,1993
1300000,irn,1994
1361000,irn,1995
1150000,irn,1996
938000,irn,1997
985000,irn,1998
1034000,irn,1999
1066000,irn,2000
1060000,irn,2001
1143000,irn,2002
1107000,irn,2003
1035000,irn,2004
1199000,irn,2005
1236000,irn,2006
1311000,irn,2007
881000,irn,2008
973000,irn,2009
781000,irn,2010
762300,irn,2011
2231000,irl,1965
2518000,irl,1966
2626000,irl,1967
3104000,irl,1968
2934000,irl,1969
894000,irl,1970
732000,irl,1971
650000,irl,1972
843000,irl,1973
816000,irl,1974
475000,irl,1975
495000,irl,1976
532000,irl,1977
551000,irl,1978
828000,irl,1979
732000,irl,1980
853000,irl,1981
869000,irl,1982
1000000,irl,1983
985000,irl,1984
1054000,irl,1985
1534000,irl,1986
2163000,irl,1987
2186000,irl,1988
2249000,irl,1989
2085000,irl,1990
2044000,irl,1991
1876000,irl,1992
1856000,irl,1993
1733000,irl,1994
1777000,irl,1995
1925000,irl,1996
1804000,irl,1997
1870000,irl,1998
1591000,irl,1999
1815000,irl,2000
1879000,irl,2001
1751000,irl,2002
1746000,irl,2003
1802000,irl,2004
1886000,irl,2005
1633000,irl,2006
1601000,irl,2007
1422000,irl,2008
1154000,irl,2009
1240000,irl,2010
1264000,irl,2011
30000,isr,1980
30000,isr,1981
555000,isr,1982
1046000,isr,1983
1693000,isr,1984
1847000,isr,1985
2051000,isr,1986
2184000,isr,1987
2093000,isr,1988
2261000,isr,1989
2349000,isr,1990
2543000,isr,1991
3134000,isr,1992
3541000,isr,1993
3756000,isr,1994
4096000,isr,1995
4976000,isr,1996
5410000,isr,1997
5810000,isr,1998
5704000,isr,1999
6223000,isr,2000
7191000,isr,2001
7600000,isr,2002
7879000,isr,2003
7955000,isr,2004
7910000,isr,2005
7818000,isr,2006
7997000,isr,2007
7869000,isr,2008
7705000,isr,2009
7701000,isr,2010
7902000,isr,2011
8626000,ita,1965
8972000,ita,1966
9832000,ita,1967
9522000,ita,1968
9774000,ita,1969
9870000,ita,1970
9535000,ita,1971
8873000,ita,1972
9003000,ita,1973
9804000,ita,1974
9830000,ita,1975
9747000,ita,1976
9585000,ita,1977
9750000,ita,1978
10700000,ita,1979
12550000,ita,1980
12870000,ita,1981
14380000,ita,1982
13460000,ita,1983
15270000,ita,1984
15080000,ita,1985
14820000,ita,1986
14710000,ita,1987
13790000,ita,1988
14390000,ita,1989
14080000,ita,1990
13600000,ita,1991
12170000,ita,1992
10360000,ita,1993
11160000,ita,1994
11960000,ita,1995
11150000,ita,1996
10990000,ita,1997
11630000,ita,1998
11620000,ita,1999
12180000,ita,2000
13060000,ita,2001
13300000,ita,2002
13970000,ita,2003
15950000,ita,2004
15990000,ita,2005
16390000,ita,2006
16600000,ita,2007
16440000,ita,2008
12940000,ita,2009
14290000,ita,2010
15420000,ita,2011
43600000,jpn,1965
45540000,jpn,1966
50890000,jpn,1967
53940000,jpn,1968
58150000,jpn,1969
60200000,jpn,1970
53860000,jpn,1971
50460000,jpn,1972
53670000,jpn,1973
57340000,jpn,1974
54440000,jpn,1975
52530000,jpn,1976
52480000,jpn,1977
46470000,jpn,1978
50440000,jpn,1979
57600000,jpn,1980
63580000,jpn,1981
62000000,jpn,1982
63000000,jpn,1983
69890000,jpn,1984
73750000,jpn,1985
69550000,jpn,1986
69370000,jpn,1987
76210000,jpn,1988
75620000,jpn,1989
75960000,jpn,1990
79000000,jpn,1991
77990000,jpn,1992
79170000,jpn,1993
82030000,jpn,1994
86200000,jpn,1995
88280000,jpn,1996
89790000,jpn,1997
88450000,jpn,1998
91480000,jpn,1999
98870000,jpn,2000
103000000,jpn,2001
106600000,jpn,2002
112200000,jpn,2003
120800000,jpn,2004
121300000,jpn,2005
119100000,jpn,2006
125300000,jpn,2007
128700000,jpn,2008
108800000,jpn,2009
123700000,jpn,2010
117700000,jpn,2011
38130000,kaz,1985
40070000,kaz,1986
41630000,kaz,1987
43420000,kaz,1988
41450000,kaz,1989
40160000,kaz,1990
38180000,kaz,1991
39930000,kaz,1992
36430000,kaz,1993
34510000,kaz,1994
27490000,kaz,1995
25850000,kaz,1996
22450000,kaz,1997
22910000,kaz,1998
19830000,kaz,1999
23180000,kaz,2000
22460000,kaz,2001
22750000,kaz,2002
25180000,kaz,2003
26550000,kaz,2004
27210000,kaz,2005
29770000,kaz,2006
31690000,kaz,2007
33410000,kaz,2008
32590000,kaz,2009
31590000,kaz,2010
30180000,kaz,2011
4952000,kor,1965
5607000,kor,1966
5349000,kor,1967
5050000,kor,1968
5274000,kor,1969
5629000,kor,1970
5689000,kor,1971
5831000,kor,1972
7374000,kor,1973
7605000,kor,1974
8035000,kor,1975
8957000,kor,1976
9778000,kor,1977
9894000,kor,1978
11840000,kor,1979
13200000,kor,1980
15240000,kor,1981
15450000,kor,1982
16490000,kor,1983
19870000,kor,1984
22020000,kor,1985
23330000,kor,1986
23640000,kor,1987
25160000,kor,1988
24490000,kor,1989
24380000,kor,1990
24540000,kor,1991
23620000,kor,1992
25880000,kor,1993
26700000,kor,1994
28120000,kor,1995
32240000,kor,1996
34760000,kor,1997
36080000,kor,1998
38220000,kor,1999
43030000,kor,2000
45710000,kor,2001
49100000,kor,2002
51110000,kor,2003
53120000,kor,2004
54770000,kor,2005
54790000,kor,2006
59650000,kor,2007
66060000,kor,2008
68600000,kor,2009
75900000,kor,2010
79390000,kor,2011
598000,ltu,1985
690000,ltu,1986
690000,ltu,1987
690000,ltu,1988
644000,ltu,1989
598000,ltu,1990
598000,ltu,1991
460000,ltu,1992
30000,ltu,1993
69000,ltu,1994
51000,ltu,1995
92000,ltu,1996
115000,ltu,1997
104000,ltu,1998
115000,ltu,1999
78000,ltu,2000
78000,ltu,2001
126000,ltu,2002
155000,ltu,2003
158200,ltu,2004
171700,ltu,2005
238400,ltu,2006
227600,ltu,2007
194500,ltu,2008
145500,ltu,2009
191900,ltu,2010
204100,ltu,2011
30000,mys,1965
30000,mys,1966
30000,mys,1967
30000,mys,1968
30000,mys,1969
30000,mys,1970
30000,mys,1971
104000,mys,1972
99000,mys,1973
99000,mys,1974
30000,mys,1975
30000,mys,1976
30000,mys,1977
