geo,liver_cancer_new_cases_per_100000_women,time
isl,1.6,1978
isl,0.75,1979
isl,2.24,1980
isl,3.76,1981
isl,2.43,1982
isl,1.21,1983
isl,2.17,1984
isl,1.08,1985
isl,1.56,1986
isl,1.56,1987
isl,2.73,1988
isl,1.96,1989
isl,0.55,1990
isl,0.29,1991
isl,1.42,1993
isl,1.12,1994
isl,0.27,1995
isl,3.31,1996
isl,1.31,1997
isl,0.7,2002
ind,1.1,2002
idn,2.6,2002
irn,1.9,2002
irq,0.4,2002
irl,0.5,2002
isr,1.7,2002
ita,5.1,2002
jam,3.3,2002
jpn,7.6,2002
jor,1.4,2002
kaz,5.0,2002
ken,5.2,2002
prk,11.4,2002
kor,11.4,2002
kwt,1.6,2002
kgz,3.1,2002
lao,7.5,2002
lva,1.9,2002
lbn,0.7,2002
lso,5.3,2002
lbr,4.0,2002
lby,2.5,2002
ltu,1.8,2002
lux,1.3,2002
mkd,3.0,2002
mdg,8.6,2002
mwi,0.7,2002
mys,3.1,2002
mli,13.4,2002
mlt,1.0,2002
mrt,5.6,2002
mus,1.4,2002
mex,4.9,2002
mda,3.8,2002
mng,57.3,2002
mar,1.1,2002
moz,42.4,2002
mmr,3.7,2002
nam,1.8,2002
npl,1.4,2002
nld,0.6,2002
nzl,1.32,1983
nzl,0.99,1984
nzl,0.66,1985
nzl,0.8,1986
nzl,1.51,1987
nzl,1.26,1988
nzl,1.24,1989
nzl,0.76,1990
nzl,1.58,1991
nzl,1.06,1992
nzl,1.43,1993
nzl,1.27,1994
nzl,1.28,1995
nzl,1.77,1996
nzl,1.93,1997
nzl,1.3,2002
nic,7.7,2002
ner,8.6,2002
nga,3.0,2002
nor,0.28,1953
nor,0.28,1954
nor,0.57,1955
nor,0.42,1956
nor,0.43,1957
nor,0.52,1958
nor,0.37,1959
nor,0.46,1960
nor,0.65,1961
nor,0.55,1962
nor,0.89,1963
nor,0.46,1964
nor,0.3,1965
nor,0.4,1966
nor,0.45,1967
nor,0.92,1968
nor,0.52,1969
nor,0.75,1970
nor,0.94,1971
nor,1.14,1972
nor,0.76,1973
nor,0.89,1974
nor,0.59,1975
nor,0.8,1976
nor,0.82,1977
nor,0.87,1978
nor,0.94,1979
nor,1.04,1980
nor,1.04,1981
nor,0.98,1982
nor,0.85,1983
nor,1.15,1984
nor,1.35,1985
nor,1.07,1986
nor,0.7,1987
nor,0.85,1988
nor,1.02,1989
nor,1.12,1990
nor,1.01,1991
nor,1.3,1992
nor,1.18,1993
nor,1.0,1994
nor,0.64,1995
nor,0.67,1996
nor,0.84,1997
nor,1.2,2002
omn,3.0,2002
pak,3.6,2002
pan,2.6,2002
png,10.0,2002
pry,3.3,2002
per,7.2,2002
phl,6.6,2002
pol,2.6,2002
prt,1.8,2002
pri,2.6,2002
qat,8.9,2002
rou,3.9,2002
rus,2.1,2002
rwa,19.4,2002
wsm,4.0,2002
sau,5.6,2002
sen,13.8,2002
scg,3.0,2002
sle,5.6,2002
sgp,4.8,2002
svk,5.84,1968
svk,5.6,1969
svk,5.22,1970
svk,5.12,1971
svk,4.52,1972
svk,3.72,1973
svk,3.95,1974
svk,4.35,1975
svk,4.08,1976
svk,4.3,1977
svk,3.56,1978
svk,3.51,1979
svk,3.09,1980
svk,2.85,1981
svk,3.17,1982
svk,3.34,1983
svk,3.24,1984
svk,3.42,1985
svk,3.17,1986
svk,2.93,1987
svk,2.65,1988
svk,3.81,1989
svk,2.75,1990
svk,2.53,1991
svk,3.25,1992
svk,3.68,1993
svk,3.52,1994
svk,3.32,1995
svk,3.21,1996
svk,2.96,1997
svk,2.8,2002
svn,1.06,1963
svn,0.73,1964
svn,4.1,1965
svn,3.77,1966
svn,2.6,1967
svn,3.04,1968
svn,2.19,1969
svn,1.4,1970
svn,2.42,1971
svn,2.32,1972
svn,2.13,1973
svn,2.19,1974
svn,2.55,1975
svn,2.24,1976
svn,1.94,1977
svn,2.09,1978
svn,1.71,1979
svn,2.28,1980
svn,1.56,1981
svn,1.26,1982
svn,1.36,1983
svn,1.91,1984
svn,1.05,1985
svn,1.64,1986
svn,2.17,1987
svn,1.95,1988
svn,1.47,1989
svn,1.66,1990
svn,1.65,1991
svn,1.89,1992
svn,1.82,1993
svn,2.37,1994
svn,1.21,1995
svn,2.11,1996
svn,2.29,1997
svn,1.5,2002
slb,8.9,2002
som,8.6,2002
zaf,2.3,2002
esp,2.9,2002
lka,0.5,2002
sdn,2.4,2002
sur,1.4,2002
swz,5.0,2002
swe,0.99,1958
swe,1.31,1959
swe,1.41,1960
swe,1.39,1961
swe,1.23,1962
swe,1.5,1963
swe,1.87,1964
swe,1.9,1965
swe,1.73,1966
swe,1.98,1967
swe,1.81,1968
swe,2.31,1969
swe,2.0,1970
swe,2.52,1971
swe,2.52,1972
swe,2.41,1973
swe,2.68,1974
swe,2.44,1975
swe,2.85,1976
swe,2.44,1977
swe,2.82,1978
swe,2.69,1979
swe,2.39,1980
swe,2.63,1981
swe,2.65,1982
swe,2.52,1983
swe,2.76,1984
swe,2.79,1985
swe,2.59,1986
swe,2.48,1987
swe,2.58,1988
swe,2.77,1989
swe,2.74,1990
swe,2.45,1991
swe,2.47,1992
swe,2.57,1993
swe,2.6,1994
swe,2.15,1995
swe,2.19,1996
swe,2.18,1997
swe,2.0,2002
che,1.7,2002
syr,0.8,2002
tjk,1.9,2002
tza,2.2,2002
tha,17.2,2002
tgo,5.6,2002
tto,0.8,2002
tun,1.2,2002
tur,1.5,2002
tkm,2.4,2002
uga,5.1,2002
ukr,2.0,2002
are,0.6,2002
gbr,1.7,2002
usa,2.0,2002
ury,0.6,2002
uzb,2.1,2002
vut,6.8,2002
ven,3.1,2002
vnm,5.8,2002
yem,2.4,2002
zmb,9.4,2002
zwe,10.6,2002
