geo,aged_15_24_employment_rate_percent,time
glp,19.9,1995
glp,17.1,1996
glp,15.8,1997
glp,14.0,1998
glp,13.1,1999
glp,14.4,2000
glp,13.3,2001
glp,14.0,2002
glp,13.6,2003
glp,14.6,2004
glp,14.1,2005
glp,13.5,2006
glp,12.9,2007
gtm,51.8,1991
gtm,52.1,1992
gtm,51.8,1993
gtm,51.5,1994
gtm,50.8,1995
gtm,50.9,1996
gtm,49.6,1997
gtm,49.7,1998
gtm,50.0,1999
gtm,51.3,2000
gtm,52.2,2001
gtm,51.3,2002
gtm,52.4,2003
gtm,52.8,2004
gtm,53.6,2005
gtm,54.2,2006
gtm,53.1,2007
gin,75.3,1991
gin,75.4,1992
gin,75.5,1993
gin,75.5,1994
gin,75.4,1995
gin,75.2,1996
gin,75.0,1997
gin,74.8,1998
gin,74.6,1999
gin,74.4,2000
gin,74.2,2001
gin,74.0,2002
gin,73.8,2003
gin,73.7,2004
gin,73.4,2005
gin,73.3,2006
gin,72.9,2007
gnb,56.6,1991
gnb,56.9,1992
gnb,57.3,1993
gnb,57.7,1994
gnb,57.9,1995
gnb,58.0,1996
gnb,58.2,1997
gnb,58.6,1998
gnb,59.3,1999
gnb,59.5,2000
gnb,59.6,2001
gnb,60.0,2002
gnb,60.4,2003
gnb,60.7,2004
gnb,60.9,2005
gnb,61.1,2006
gnb,61.5,2007
guy,39.8,1991
guy,38.7,1992
guy,39.2,1993
guy,40.0,1994
guy,40.7,1995
guy,40.4,1996
guy,40.0,1997
guy,41.1,1998
guy,42.0,1999
guy,42.0,2000
guy,42.2,2001
guy,39.2,2002
guy,38.7,2003
guy,38.6,2004
guy,37.6,2005
guy,37.9,2006
guy,37.3,2007
hti,37.1,1991
hti,35.6,1992
hti,34.5,1993
hti,31.9,1994
hti,39.4,1995
hti,37.8,1996
hti,42.2,1997
hti,42.6,1998
hti,44.5,1999
hti,44.3,2000
hti,44.0,2001
hti,44.7,2002
hti,45.4,2003
hti,44.1,2004
hti,46.3,2005
hti,46.5,2006
hti,47.7,2007
hnd,48.6,1991
hnd,51.7,1992
hnd,51.8,1993
hnd,51.9,1994
hnd,51.7,1995
hnd,53.1,1996
hnd,54.5,1997
hnd,54.1,1998
hnd,55.5,1999
hnd,53.7,2000
hnd,51.7,2001
hnd,50.4,2002
hnd,47.5,2003
hnd,44.5,2004
hnd,44.2,2005
hnd,44.3,2006
hnd,43.1,2007
hkg,53.6,1991
hkg,52.2,1992
hkg,50.5,1993
hkg,49.0,1994
hkg,47.0,1995
hkg,47.0,1996
hkg,46.7,1997
hkg,43.9,1998
hkg,41.3,1999
hkg,41.9,2000
hkg,40.3,2001
hkg,39.0,2002
hkg,39.1,2003
hkg,40.2,2004
hkg,39.8,2005
hkg,39.1,2006
hkg,39.3,2007
hun,39.1,1991
hun,36.1,1992
hun,32.5,1993
hun,31.7,1994
hun,32.5,1995
hun,31.5,1996
hun,31.7,1997
hun,34.9,1998
hun,35.0,1999
hun,33.1,2000
hun,31.5,2001
hun,29.2,2002
hun,27.2,2003
hun,23.7,2004
hun,21.7,2005
hun,21.4,2006
hun,20.9,2007
isl,57.0,1991
isl,54.8,1992
isl,52.5,1993
isl,51.7,1994
isl,55.2,1995
isl,55.3,1996
isl,56.3,1997
isl,62.4,1998
isl,65.7,1999
isl,68.4,2000
isl,66.7,2001
isl,59.2,2002
isl,67.9,2003
isl,66.1,2004
isl,71.6,2005
isl,73.1,2006
isl,67.3,2007
ind,47.3,1991
ind,47.6,1992
ind,46.4,1993
ind,45.3,1994
ind,46.5,1995
ind,46.2,1996
ind,45.2,1997
ind,43.7,1998
ind,43.0,1999
ind,41.9,2000
ind,42.8,2001
ind,43.4,2002
ind,41.7,2003
ind,40.6,2004
ind,40.1,2005
ind,39.5,2006
ind,39.2,2007
idn,45.7,1991
idn,46.9,1992
idn,45.4,1993
idn,42.9,1994
idn,43.0,1995
idn,45.3,1996
idn,45.2,1997
idn,39.4,1998
idn,45.7,1999
idn,45.1,2000
idn,44.0,2001
idn,40.2,2002
idn,40.2,2003
idn,39.1,2004
idn,38.8,2005
idn,37.0,2006
idn,41.4,2007
irn,32.7,1991
irn,31.8,1992
irn,31.1,1993
irn,30.6,1994
irn,30.3,1995
irn,29.9,1996
irn,30.1,1997
irn,30.5,1998
irn,30.9,1999
irn,31.3,2000
irn,30.8,2001
irn,31.5,2002
irn,32.9,2003
irn,34.3,2004
irn,33.7,2005
irn,33.9,2006
irn,34.8,2007
irq,22.7,1991
irq,22.8,1992
irq,22.5,1993
irq,22.2,1994
irq,22.1,1995
irq,21.9,1996
irq,21.7,1997
irq,21.5,1998
irq,21.2,1999
irq,21.0,2000
irq,20.7,2001
irq,20.4,2002
irq,15.3,2003
irq,23.1,2004
irq,22.9,2005
irq,22.7,2006
irq,22.6,2007
irl,38.2,1991
irl,35.6,1992
irl,34.0,1993
irl,33.1,1994
irl,37.2,1995
irl,36.6,1996
irl,38.7,1997
irl,43.6,1998
irl,46.9,1999
irl,48.5,2000
irl,47.0,2001
irl,45.0,2002
irl,45.4,2003
irl,44.8,2004
irl,46.2,2005
irl,47.8,2006
irl,46.8,2007
isr,24.5,1991
isr,24.7,1992
isr,27.3,1993
isr,29.8,1994
isr,30.4,1995
isr,30.4,1996
isr,29.7,1997
isr,28.7,1998
isr,28.7,1999
isr,29.0,2000
isr,27.7,2001
isr,25.1,2002
isr,24.7,2003
isr,25.6,2004
isr,26.8,2005
isr,26.7,2006
isr,26.7,2007
ita,30.2,1991
ita,28.9,1992
ita,30.4,1993
ita,28.7,1994
ita,27.6,1995
ita,27.0,1996
ita,27.0,1997
ita,27.1,1998
ita,27.1,1999
