geo,ratio_of_girls_to_boys_in_primary_and_secondary_education_perc,time
bel,101.0,1992
bel,103.0,1993
bel,103.1,1994
bel,103.8,1995
bel,103.7,1996
bel,103.9,1999
bel,105.5,2000
bel,106.1,2001
bel,106.6,2002
bel,105.6,2003
bel,98.03,2004
bel,97.94,2005
bel,97.98,2006
bel,97.92,2007
bel,98.13,2008
bel,98.21,2009
bel,98.14,2010
blz,93.03,1986
blz,92.55,1987
blz,94.3,1991
blz,94.18,1994
blz,95.31,1995
blz,96.45,1999
blz,94.77,2000
blz,94.52,2001
blz,92.62,2002
blz,93.32,2003
blz,92.92,2004
ben,43.59,1971
ben,44.43,1973
ben,43.56,1974
ben,43.37,1975
ben,42.65,1977
ben,46.14,1985
ben,46.44,1986
ben,46.87,1987
ben,59.13,1999
ben,60.9,2000
ben,62.15,2001
ben,63.6,2002
ben,64.75,2003
ben,66.87,2004
ben,69.99,2005
ben,78.71,2011
bmu,106.4,1971
bmu,104.9,1972
bmu,102.2,1973
bmu,102.7,1974
bmu,101.4,1975
bmu,100.6,1976
bmu,101.0,1977
bmu,101.5,1978
bmu,98.05,1979
bmu,97.7,1980
bmu,104.1,2001
bmu,106.2,2002
bmu,108.0,2003
bmu,110.9,2004
bmu,108.9,2005
bmu,108.1,2006
bmu,108.4,2010
bmu,107.2,2011
btn,5.369,1970
btn,23.33,1971
btn,21.04,1972
btn,29.22,1974
btn,37.89,1977
btn,45.45,1983
btn,46.74,1984
btn,81.98,1998
btn,83.83,1999
btn,86.07,2000
btn,88.05,2001
btn,93.91,2005
btn,95.8,2006
btn,98.51,2008
btn,100.8,2009
btn,101.6,2010
btn,102.1,2011
bol,74.16,1971
bol,95.95,1998
bol,96.35,1999
bol,97.43,2000
bol,97.68,2001
bol,97.76,2002
bol,98.16,2003
bol,98.06,2006
bol,98.49,2007
bol,98.69,2008
bih,102.1,2007
bih,101.8,2008
bih,102.3,2009
bih,102.3,2010
bih,102.3,2011
bwa,110.7,1970
bwa,112.0,1971
bwa,113.3,1972
bwa,116.2,1973
bwa,118.6,1974
bwa,120.8,1975
bwa,122.0,1976
bwa,122.8,1977
bwa,122.4,1978
bwa,122.4,1979
bwa,120.6,1980
bwa,118.6,1981
bwa,115.2,1983
bwa,112.8,1984
bwa,111.0,1985
bwa,108.3,1986
bwa,107.1,1987
bwa,106.9,1988
bwa,107.0,1989
bwa,108.0,1990
bwa,108.7,1991
bwa,107.4,1992
bwa,105.7,1993
bwa,104.1,1994
bwa,103.5,1995
bwa,102.4,1998
bwa,102.2,1999
bwa,101.7,2000
bwa,101.4,2001
bwa,101.2,2002
bwa,101.2,2003
bwa,100.6,2004
bwa,100.7,2005
bwa,100.5,2006
bwa,99.98,2007
bwa,100.5,2008
bwa,99.82,2009
bra,100.4,1970
bra,99.79,1971
bra,99.93,1972
bra,100.9,1973
bra,102.4,1974
bra,102.9,1999
bra,102.8,2000
bra,102.9,2001
bra,102.9,2002
bra,103.1,2003
bra,101.9,2004
bra,102.9,2005
brn,94.21,1970
brn,93.51,1971
brn,94.26,1972
brn,95.0,1973
brn,95.3,1974
brn,95.89,1975
brn,97.49,1976
brn,99.27,1977
brn,99.88,1978
brn,100.6,1979
brn,99.38,1980
brn,100.7,1981
brn,101.3,1982
brn,101.5,1983
brn,101.1,1984
brn,100.3,1991
brn,102.2,1992
brn,102.8,1993
brn,101.9,1994
brn,101.0,1998
brn,100.6,1999
brn,100.5,2000
brn,100.5,2001
brn,100.5,2002
brn,101.5,2003
