broadband_subscribers_per_100_people,geo,time
0.005009,gin,2010
0.0,gnb,2001
0.0,gnb,2002
0.0,gnb,2003
0.0,gnb,2004
0.0,gnb,2005
0.0,gnb,2006
0.0,gnb,2007
0.0,gnb,2008
0.0,guy,2001
0.0,guy,2002
0.0,guy,2003
0.0,guy,2004
0.268,guy,2005
0.3149,guy,2007
0.6764,guy,2008
0.9061,guy,2009
1.483,guy,2010
0.0,hti,2001
0.0,hti,2002
0.0,hti,2003
0.0,hti,2004
0.0,hti,2005
0.0,hti,2006
0.0,hti,2007
0.0,hti,2008
0.0,hnd,2001
0.0,hnd,2002
0.0,hnd,2003
0.0,hnd,2004
0.0,hnd,2005
0.0,hnd,2006
0.0,hnd,2007
0.0,hnd,2008
1.0,hnd,2010
0.1681,hkg,1998
1.309,hkg,1999
6.668,hkg,2000
10.67,hkg,2001
15.41,hkg,2002
18.84,hkg,2003
22.37,hkg,2004
24.35,hkg,2005
26.2,hkg,2006
27.42,hkg,2007
27.74,hkg,2008
28.88,hkg,2009
29.87,hkg,2010
0.0,hun,1998
0.0333,hun,2000
0.3081,hun,2001
1.097,hun,2002
2.609,hun,2003
4.068,hun,2004
6.461,hun,2005
11.91,hun,2006
13.74,hun,2007
16.75,hun,2008
18.76,hun,2009
19.56,hun,2010
0.0,isl,1998
0.0292,isl,1999
0.8385,isl,2000
3.658,isl,2001
8.441,isl,2002
14.36,isl,2003
19.09,isl,2004
26.29,isl,2005
28.88,isl,2006
31.43,isl,2007
32.67,isl,2008
33.62,isl,2009
34.34,isl,2010
0.0,ind,1998
0.0,ind,1999
0.0,ind,2000
0.004667,ind,2001
0.00757,ind,2002
0.01269,ind,2003
0.02093,ind,2004
0.1182,ind,2005
0.1988,ind,2006
0.2666,ind,2007
0.4434,ind,2008
0.6413,ind,2009
0.8974,ind,2010
0.0,idn,1998
0.001874,idn,2000
0.006938,idn,2001
0.01749,idn,2002
0.02777,idn,2003
0.0378,idn,2004
0.0476,idn,2005
0.08454,idn,2006
0.335,idn,2007
0.4178,idn,2008
0.716,idn,2009
0.7922,idn,2010
0.0002694,irn,2000
0.0009968,irn,2001
0.02406,irn,2002
0.02748,irn,2003
0.1417,irn,2006
0.28,irn,2007
0.415,irn,2008
0.5469,irn,2009
0.6759,irn,2010
0.0,irq,2001
0.0,irq,2002
9.144e-05,irq,2006
0.0003346,irq,2007
0.0001789,irq,2008
0.0003892,irq,2009
0.0002404,irq,2010
0.0,irl,1998
0.0,irl,1999
0.0,irl,2000
0.0,irl,2001
0.2696,irl,2002
1.046,irl,2003
3.737,irl,2004
7.753,irl,2005
13.18,irl,2006
14.6,irl,2007
17.39,irl,2008
19.52,irl,2009
21.04,irl,2010
0.0,isr,1998
0.0,isr,1999
0.0,isr,2000
0.6812,isr,2001
3.526,isr,2002
9.464,isr,2003
14.39,isr,2004
17.74,isr,2005
20.15,isr,2006
21.29,isr,2007
23.04,isr,2008
24.71,isr,2009
24.46,isr,2010
