geo,time,sg_gini
bel,1801,62.40
ben,1801,48.00
bfa,1801,37.50
bgd,1801,41.80
bgr,1801,47.80
bhr,1801,45.00
bhs,1801,46.70
bih,1801,26.40
blr,1801,57.90
blz,1801,55.90
bol,1801,36.90
bra,1801,40.10
brb,1801,48.20
brn,1801,45.00
btn,1801,46.80
bwa,1801,35.60
caf,1801,45.20
can,1801,45.10
che,1801,41.70
chl,1801,47.10
chn,1801,44.20
civ,1801,38.10
cmr,1801,56.20
cod,1801,42.10
cog,1801,51.10
col,1801,58.90
com,1801,36.30
cpv,1801,50.50
cri,1801,49.90
cub,1801,36.50
cyp,1801,29.20
cze,1801,34.90
deu,1801,53.00
dji,1801,41.50
dnk,1801,61.00
dom,1801,40.20
dza,1801,57.70
ecu,1801,38.10
egy,1801,57.70
eri,1801,45.00
esp,1801,38.00
est,1801,48.90
eth,1801,47.50
fin,1801,50.60
fji,1801,47.60
fra,1801,59.00
fsm,1801,61.00
gab,1801,45.90
gbr,1801,59.30
geo,1801,29.70
gha,1801,58.40
gin,1801,32.70
gmb,1801,45.00
gnb,1801,49.80
gnq,1801,45.10
grc,1801,49.90
grd,1801,45.00
gtm,1801,35.30
guy,1801,38.20
hnd,1801,61.70
hti,1801,41.60
hun,1801,47.40
idn,1801,51.70
ind,1801,32.80
irl,1801,44.60
irn,1801,57.70
irq,1801,57.70
isl,1801,24.80
isr,1801,44.90
ita,1801,60.50
jam,1801,39.10
jor,1801,38.80
jpn,1801,53.20
kaz,1801,43.30
ken,1801,46.30
kgz,1801,46.00
khm,1801,38.60
kir,1801,45.00
kor,1801,32.10
kwt,1801,45.00
lao,1801,38.40
lbn,1801,57.70
lbr,1801,38.30
lby,1801,45.00
lca,1801,42.60
lka,1801,48.00
lso,1801,56.00
ltu,1801,48.90
lux,1801,25.90
lva,1801,48.90
mar,1801,57.70
mda,1801,47.80
mdg,1801,41.00
mdv,1801,41.10
mex,1801,40.10
mkd,1801,32.50
mli,1801,47.20
mlt,1801,30.20
mmr,1801,30.50
mne,1801,30.30
mng,1801,33.40
moz,1801,45.20
mrt,1801,49.50
mus,1801,38.00
mwi,1801,45.70
mys,1801,25.30
nam,1801,52.60
ner,1801,43.30
nga,1801,54.90
nic,1801,56.50
nld,1801,56.30
nor,1801,43.70
npl,1801,41.00
nzl,1801,38.20
omn,1801,45.00
pak,1801,28.70
pan,1801,58.70
per,1801,57.40
phl,1801,32.50
png,1801,25.80
pol,1801,34.50
prk,1801,45.10
prt,1801,55.10
pry,1801,55.90
pse,1801,34.10
qat,1801,45.00
rou,1801,47.80
rus,1801,57.90
rwa,1801,59.00
sau,1801,45.00
sdn,1801,33.80
sds,1801,33.78
sen,1801,45.90
sgp,1801,41.00
slb,1801,45.10
sle,1801,59.90
slv,1801,52.90
som,1801,50.90
srb,1801,32.50
stp,1801,50.80
sur,1801,32.30
svk,1801,34.90
svn,1801,27.70
swe,1801,67.50
swz,1801,60.50
syc,1801,46.00
syr,1801,57.70
tcd,1801,50.60
tgo,1801,37.80
tha,1801,47.40
tjk,1801,47.40
tkm,1801,41.40
tls,1801,30.60
ton,1801,45.00
tto,1801,44.80
tun,1801,57.70
tur,1801,57.70
tza,1801,37.60
uga,1801,41.00
ukr,1801,45.60
ury,1801,48.10
usa,1801,66.60
uzb,1801,44.40
vct,1801,45.00
ven,1801,43.30
vnm,1801,40.40
vut,1801,45.00
wsm,1801,45.00
yem,1801,57.70
zaf,1801,35.90
zmb,1801,39.90
zwe,1801,34.60
afg,1802,30.50
ago,1802,48.90
alb,1802,41.20
are,1802,45.00
arg,1802,47.10
arm,1802,29.10
atg,1802,45.00
aus,1802,41.30
aut,1802,53.40
aze,1802,32.00
bdi,1802,43.70
bel,1802,62.40
ben,1802,48.00
bfa,1802,37.50
bgd,1802,41.80
bgr,1802,47.80
bhr,1802,44.90
bhs,1802,46.70
bih,1802,26.60
blr,1802,57.90
blz,1802,55.80
bol,1802,36.90
bra,1802,40.10
brb,1802,48.20
brn,1802,45.00
btn,1802,46.90
bwa,1802,35.60
caf,1802,45.20
can,1802,45.10
che,1802,41.70
chl,1802,47.10
chn,1802,44.20
civ,1802,38.10
cmr,1802,56.20
cod,1802,42.10
cog,1802,51.10
col,1802,58.90
com,1802,36.30
cpv,1802,50.50
cri,1802,49.80
cub,1802,36.60
cyp,1802,29.30
cze,1802,34.90
deu,1802,53.00
dji,1802,41.60
dnk,1802,61.00
dom,1802,40.20
dza,1802,57.70
ecu,1802,38.20
egy,1802,57.70
eri,1802,45.10
esp,1802,38.00
est,1802,48.90
eth,1802,47.50
fin,1802,50.60
fji,1802,47.50
fra,1802,59.00
fsm,1802,60.80
gab,1802,45.90
gbr,1802,59.30
geo,1802,29.70
gha,1802,58.40
gin,1802,32.70
gmb,1802,45.00
gnb,1802,49.80
gnq,1802,45.20
grc,1802,49.90
grd,1802,45.00
gtm,1802,35.30
guy,1802,38.20
hnd,1802,61.50
hti,1802,41.60
hun,1802,47.40
idn,1802,51.70
ind,1802,32.80
irl,1802,44.60
irn,1802,57.70
irq,1802,57.70
isl,1802,25.00
isr,1802,44.90
ita,1802,60.50
jam,1802,39.10
jor,1802,38.90
jpn,1802,53.20
kaz,1802,43.30
ken,1802,46.30
kgz,1802,46.00
khm,1802,38.70
kir,1802,45.10
kor,1802,32.10
kwt,1802,45.00
lao,1802,38.40
lbn,1802,57.70
lbr,1802,38.30
lby,1802,44.90
lca,1802,42.60
lka,1802,48.00
lso,1802,55.90
ltu,1802,48.90
lux,1802,26.10
lva,1802,48.90
mar,1802,57.70
mda,1802,47.80
mdg,1802,41.00
mdv,1802,41.10
mex,1802,40.10
mkd,1802,32.50
mli,1802,47.20
mlt,1802,30.30
mmr,1802,30.50
mne,1802,30.40
mng,1802,33.50
moz,1802,45.20
mrt,1802,49.50
mus,1802,38.10
mwi,1802,45.70
mys,1802,25.30
nam,1802,52.60
ner,1802,43.30
nga,1802,54.90
nic,1802,56.40
nld,1802,56.30
nor,1802,43.70
npl,1802,41.00
nzl,1802,38.20
omn,1802,45.00
pak,1802,28.70
pan,1802,58.60
per,1802,57.40
phl,1802,32.50
png,1802,25.80
pol,1802,34.50
prk,1802,45.10
prt,1802,55.10
pry,1802,55.70
pse,1802,34.20
qat,1802,45.00
rou,1802,47.80
rus,1802,57.90
rwa,1802,59.00
sau,1802,45.00
sdn,1802,33.80
sds,1802,33.78
sen,1802,45.90
sgp,1802,41.00
slb,1802,45.10
sle,1802,59.80
slv,1802,52.80
som,1802,50.90
srb,1802,32.50
stp,1802,50.70
sur,1802,32.40
svk,1802,34.90
svn,1802,27.70
swe,1802,67.50
swz,1802,60.40
syc,1802,46.00
syr,1802,57.70
tcd,1802,50.60
tgo,1802,37.80
tha,1802,47.40
tjk,1802,47.40
tkm,1802,41.40
tls,1802,30.80
ton,1802,45.00
tto,1802,44.80
tun,1802,57.70
tur,1802,57.70
tza,1802,37.60
uga,1802,41.00
ukr,1802,45.60
ury,1802,48.10
usa,1802,66.60
uzb,1802,44.40
vct,1802,45.00
ven,1802,43.30
vnm,1802,40.40
vut,1802,45.10
wsm,1802,45.00
yem,1802,57.70
zaf,1802,35.90
zmb,1802,39.90
zwe,1802,34.60
afg,1803,30.50
ago,1803,48.90
alb,1803,41.20
are,1803,44.90
arg,1803,47.10
arm,1803,29.10
atg,1803,45.00
aus,1803,41.30
aut,1803,53.40
aze,1803,32.20
bdi,1803,43.70
bel,1803,62.40
ben,1803,48.00
bfa,1803,37.50
bgd,1803,41.80
bgr,1803,47.80
bhr,1803,44.90
bhs,1803,46.60
bih,1803,26.90
blr,1803,57.90
blz,1803,55.70
bol,1803,36.90
bra,1803,40.10
brb,1803,48.10
brn,1803,44.90
btn,1803,46.90
bwa,1803,35.60
caf,1803,45.20
can,1803,45.10
che,1803,41.70
chl,1803,47.10
chn,1803,44.20
civ,1803,38.10
cmr,1803,56.20
cod,1803,42.10
cog,1803,51.10
col,1803,58.90
com,1803,36.30
cpv,1803,50.40
cri,1803,49.80
cub,1803,36.60
cyp,1803,29.50
cze,1803,34.90
deu,1803,53.00
dji,1803,41.60
dnk,1803,61.00
dom,1803,40.30
dza,1803,57.70
ecu,1803,38.30
egy,1803,57.70
eri,1803,45.10
esp,1803,38.00
est,1803,48.90
eth,1803,47.50
fin,1803,50.60
fji,1803,47.50
fra,1803,59.00
fsm,1803,60.70
gab,1803,45.90
gbr,1803,59.30
geo,1803,29.70
gha,1803,58.40
gin,1803,32.70
gmb,1803,45.00
gnb,1803,49.80
gnq,1803,45.20
grc,1803,49.90
grd,1803,45.00
gtm,1803,35.30
guy,1803,38.20
hnd,1803,61.30
hti,1803,41.70
hun,1803,47.40
idn,1803,51.70
ind,1803,32.80
irl,1803,44.60
irn,1803,57.70
irq,1803,57.70
isl,1803,25.20
isr,1803,44.90
ita,1803,60.50
jam,1803,39.10
jor,1803,38.90
jpn,1803,53.20
kaz,1803,43.30
ken,1803,46.30
kgz,1803,46.00
khm,1803,38.80
kir,1803,45.10
kor,1803,32.10
kwt,1803,44.90
lao,1803,38.40
lbn,1803,57.70
lbr,1803,38.40
lby,1803,44.90
lca,1803,42.70
lka,1803,48.00
lso,1803,55.90
ltu,1803,48.90
lux,1803,26.30
lva,1803,48.90
mar,1803,57.70
mda,1803,47.80
mdg,1803,41.00
mdv,1803,41.20
mex,1803,40.10
mkd,1803,32.50
mli,1803,47.20
mlt,1803,30.50
mmr,1803,30.50
mne,1803,30.60
mng,1803,33.70
moz,1803,45.20
mrt,1803,49.50
mus,1803,38.10
mwi,1803,45.70
mys,1803,25.30
nam,1803,52.60
ner,1803,43.30
nga,1803,54.90
nic,1803,56.20
nld,1803,56.30
nor,1803,43.70
npl,1803,41.00
nzl,1803,38.20
omn,1803,45.00
pak,1803,28.70
pan,1803,58.40
per,1803,57.40
phl,1803,32.50
png,1803,25.80
pol,1803,34.50
prk,1803,45.20
prt,1803,55.10
pry,1803,55.60
pse,1803,34.30
qat,1803,44.90
rou,1803,47.80
rus,1803,57.90
rwa,1803,59.00
sau,1803,45.00
sdn,1803,33.80
sds,1803,33.78
sen,1803,45.90
sgp,1803,41.00
slb,1803,45.20
sle,1803,59.60
slv,1803,52.70
som,1803,50.90
srb,1803,32.50
stp,1803,50.70
sur,1803,32.50
svk,1803,34.90
svn,1803,27.70
swe,1803,67.50
swz,1803,60.20
syc,1803,46.00
syr,1803,57.70
tcd,1803,50.60
tgo,1803,37.80
tha,1803,47.40
tjk,1803,47.40
tkm,1803,41.40
tls,1803,31.00
ton,1803,45.10
tto,1803,44.80
tun,1803,57.70
tur,1803,57.70
tza,1803,37.60
uga,1803,41.00
ukr,1803,45.60
ury,1803,48.10
usa,1803,66.60
uzb,1803,44.40
vct,1803,45.00
ven,1803,43.30
vnm,1803,40.40
vut,1803,45.10
wsm,1803,44.90
yem,1803,57.70
zaf,1803,35.90
zmb,1803,39.90
zwe,1803,34.60
afg,1804,30.50
ago,1804,48.90
alb,1804,41.20
are,1804,44.90
arg,1804,47.10
arm,1804,29.10
atg,1804,45.00
aus,1804,41.30
aut,1804,53.40
aze,1804,32.30
bdi,1804,43.70
bel,1804,62.40
ben,1804,48.00
bfa,1804,37.50
bgd,1804,41.80
bgr,1804,47.80
bhr,1804,44.90
bhs,1804,46.60
bih,1804,27.10
blr,1804,57.90
blz,1804,55.60
bol,1804,36.90
bra,1804,40.10
brb,1804,48.10
brn,1804,44.90
btn,1804,46.90
bwa,1804,35.60
caf,1804,45.20
can,1804,45.10
che,1804,41.70
chl,1804,47.10
chn,1804,44.20
civ,1804,38.10
cmr,1804,56.20
cod,1804,42.10
cog,1804,51.10
col,1804,58.90
com,1804,36.30
cpv,1804,50.40
cri,1804,49.70
cub,1804,36.70
cyp,1804,29.60
cze,1804,34.90
deu,1804,53.00
dji,1804,41.70
dnk,1804,61.00
dom,1804,40.40
dza,1804,57.70
ecu,1804,38.40
egy,1804,57.70
eri,1804,45.20
esp,1804,38.00
est,1804,48.90
eth,1804,47.50
fin,1804,50.60
fji,1804,47.50
fra,1804,59.00
fsm,1804,60.60
gab,1804,45.90
gbr,1804,59.30
geo,1804,29.70
gha,1804,58.40
gin,1804,32.70
gmb,1804,45.10
gnb,1804,49.80
gnq,1804,45.30
grc,1804,49.90
grd,1804,45.00
gtm,1804,35.30
guy,1804,38.20
hnd,1804,61.10
hti,1804,41.70
hun,1804,47.40
idn,1804,51.70
ind,1804,32.80
irl,1804,44.60
irn,1804,57.70
irq,1804,57.70
isl,1804,25.40
isr,1804,44.90
ita,1804,60.50
jam,1804,39.10
jor,1804,39.00
jpn,1804,53.20
kaz,1804,43.30
ken,1804,46.30
kgz,1804,46.00
khm,1804,38.80
kir,1804,45.20
kor,1804,32.10
kwt,1804,44.90
lao,1804,38.40
lbn,1804,57.70
lbr,1804,38.50
lby,1804,44.90
lca,1804,42.70
lka,1804,48.00
lso,1804,55.80
ltu,1804,48.90
lux,1804,26.40
lva,1804,48.90
mar,1804,57.70
mda,1804,47.80
mdg,1804,41.00
mdv,1804,41.30
mex,1804,40.10
mkd,1804,32.50
mli,1804,47.20
mlt,1804,30.60
mmr,1804,30.50
mne,1804,30.70
mng,1804,33.90
moz,1804,45.20
mrt,1804,49.50
mus,1804,38.20
mwi,1804,45.70
mys,1804,25.30
nam,1804,52.60
ner,1804,43.30
nga,1804,54.90
nic,1804,56.10
nld,1804,56.30
nor,1804,43.70
npl,1804,41.00
nzl,1804,38.20
omn,1804,45.00
pak,1804,28.70
pan,1804,58.20
per,1804,57.40
phl,1804,32.50
png,1804,25.80
pol,1804,34.50
prk,1804,45.20
prt,1804,55.10
pry,1804,55.40
pse,1804,34.40
qat,1804,44.90
rou,1804,47.80
rus,1804,57.90
rwa,1804,59.00
sau,1804,45.10
sdn,1804,33.80
sds,1804,33.78
sen,1804,45.90
sgp,1804,41.00
slb,1804,45.30
sle,1804,59.50
slv,1804,52.60
som,1804,50.90
srb,1804,32.50
stp,1804,50.60
sur,1804,32.60
svk,1804,34.90
svn,1804,27.70
swe,1804,67.50
swz,1804,60.10
syc,1804,46.00
syr,1804,57.70
tcd,1804,50.60
tgo,1804,37.80
tha,1804,47.40
tjk,1804,47.40
tkm,1804,41.40
tls,1804,31.20
ton,1804,45.10
tto,1804,44.80
tun,1804,57.70
tur,1804,57.70
tza,1804,37.60
uga,1804,41.00
ukr,1804,45.60
ury,1804,48.10
usa,1804,66.60
uzb,1804,44.40
vct,1804,45.00
ven,1804,43.30
vnm,1804,40.40
vut,1804,45.10
wsm,1804,44.90
yem,1804,57.70
zaf,1804,35.90
zmb,1804,39.90
zwe,1804,34.60
afg,1805,30.50
ago,1805,48.90
alb,1805,41.20
are,1805,44.90
arg,1805,47.10
arm,1805,29.10
atg,1805,45.00
aus,1805,41.30
aut,1805,53.40
aze,1805,32.50
bdi,1805,43.70
bel,1805,62.40
ben,1805,48.00
bfa,1805,37.50
bgd,1805,41.80
bgr,1805,47.80
bhr,1805,44.80
bhs,1805,46.50
bih,1805,27.30
blr,1805,57.90
blz,1805,55.50
bol,1805,36.90
bra,1805,40.10
brb,1805,48.00
brn,1805,44.90
btn,1805,46.90
bwa,1805,35.60
caf,1805,45.20
can,1805,45.10
che,1805,41.70
chl,1805,47.10
chn,1805,44.20
civ,1805,38.10
cmr,1805,56.20
cod,1805,42.10
cog,1805,51.10
col,1805,58.90
com,1805,36.30
cpv,1805,50.40
cri,1805,49.60
cub,1805,36.70
cyp,1805,29.80
cze,1805,34.90
deu,1805,53.00
dji,1805,41.70
dnk,1805,61.00
dom,1805,40.40
dza,1805,57.70
ecu,1805,38.50
egy,1805,57.70
eri,1805,45.20
esp,1805,38.00
est,1805,48.90
eth,1805,47.50
fin,1805,50.60
fji,1805,47.50
fra,1805,59.00
fsm,1805,60.50
gab,1805,45.90
gbr,1805,59.30
geo,1805,29.70
gha,1805,58.40
gin,1805,32.70
gmb,1805,45.10
gnb,1805,49.80
gnq,1805,45.40
grc,1805,49.90
grd,1805,45.00
gtm,1805,35.30
guy,1805,38.20
hnd,1805,60.90
hti,1805,41.70
hun,1805,47.40
idn,1805,51.70
ind,1805,32.80
irl,1805,44.60
irn,1805,57.70
irq,1805,57.70
isl,1805,25.60
isr,1805,44.90
ita,1805,60.50
jam,1805,39.10
jor,1805,39.10
jpn,1805,53.20
kaz,1805,43.30
ken,1805,46.30
kgz,1805,46.00
khm,1805,38.90
kir,1805,45.20
kor,1805,32.10
kwt,1805,44.90
lao,1805,38.40
lbn,1805,57.70
lbr,1805,38.60
lby,1805,44.80
lca,1805,42.70
lka,1805,48.00
lso,1805,55.80
ltu,1805,48.90
lux,1805,26.60
lva,1805,48.90
mar,1805,57.70
mda,1805,47.80
mdg,1805,41.00
mdv,1805,41.30
mex,1805,40.10
mkd,1805,32.50
mli,1805,47.20
mlt,1805,30.80
mmr,1805,30.50
mne,1805,30.80
mng,1805,34.00
moz,1805,45.20
mrt,1805,49.40
mus,1805,38.30
mwi,1805,45.70
mys,1805,25.30
nam,1805,52.60
ner,1805,43.30
nga,1805,54.90
nic,1805,55.90
nld,1805,56.30
nor,1805,43.70
npl,1805,41.00
nzl,1805,38.20
omn,1805,45.00
pak,1805,28.70
pan,1805,58.00
per,1805,57.40
phl,1805,32.50
png,1805,25.80
pol,1805,34.50
prk,1805,45.30
prt,1805,55.10
pry,1805,55.30
pse,1805,34.60
qat,1805,44.90
rou,1805,47.80
rus,1805,57.90
rwa,1805,59.00
sau,1805,45.10
sdn,1805,33.80
sds,1805,33.78
sen,1805,45.90
sgp,1805,41.00
slb,1805,45.30
sle,1805,59.30
slv,1805,52.50
som,1805,50.90
srb,1805,32.50
stp,1805,50.60
sur,1805,32.70
svk,1805,34.90
svn,1805,27.70
swe,1805,67.50
swz,1805,60.00
syc,1805,46.00
syr,1805,57.70
tcd,1805,50.60
tgo,1805,37.80
tha,1805,47.40
tjk,1805,47.40
tkm,1805,41.40
tls,1805,31.40
ton,1805,45.10
tto,1805,44.80
tun,1805,57.70
tur,1805,57.70
tza,1805,37.60
uga,1805,41.00
ukr,1805,45.60
ury,1805,48.10
usa,1805,66.60
uzb,1805,44.40
vct,1805,45.00
ven,1805,43.40
vnm,1805,40.40
vut,1805,45.20
wsm,1805,44.90
yem,1805,57.70
zaf,1805,35.90
zmb,1805,39.90
zwe,1805,34.60
afg,1806,30.50
ago,1806,48.90
alb,1806,41.20
are,1806,44.90
arg,1806,47.10
arm,1806,29.10
atg,1806,45.00
aus,1806,41.30
aut,1806,53.40
aze,1806,32.60
bdi,1806,43.70
bel,1806,62.40
ben,1806,48.00
bfa,1806,37.50
bgd,1806,41.80
bgr,1806,47.80
bhr,1806,44.80
bhs,1806,46.50
bih,1806,27.50
blr,1806,57.90
blz,1806,55.40
bol,1806,36.90
bra,1806,40.10
brb,1806,48.00
brn,1806,44.90
btn,1806,46.90
bwa,1806,35.60
caf,1806,45.20
can,1806,45.10
che,1806,41.70
chl,1806,47.10
chn,1806,44.20
civ,1806,38.10
cmr,1806,56.20
cod,1806,42.10
cog,1806,51.10
col,1806,58.90
com,1806,36.30
cpv,1806,50.40
cri,1806,49.60
cub,1806,36.80
cyp,1806,29.90
cze,1806,34.90
deu,1806,53.00
dji,1806,41.80
dnk,1806,61.00
dom,1806,40.50
dza,1806,57.70
ecu,1806,38.60
egy,1806,57.70
eri,1806,45.30
esp,1806,38.00
est,1806,48.90
eth,1806,47.50
fin,1806,50.60
fji,1806,47.50
fra,1806,59.00
fsm,1806,60.30
gab,1806,45.90
gbr,1806,59.30
geo,1806,29.70
gha,1806,58.40
gin,1806,32.70
gmb,1806,45.10
gnb,1806,49.80
gnq,1806,45.50
grc,1806,49.90
grd,1806,45.00
gtm,1806,35.30
guy,1806,38.20
hnd,1806,60.70
hti,1806,41.80
hun,1806,47.40
idn,1806,51.70
ind,1806,32.80
irl,1806,44.60
irn,1806,57.70
irq,1806,57.70
isl,1806,25.80
isr,1806,44.90
ita,1806,60.50
jam,1806,39.10
jor,1806,39.10
jpn,1806,53.20
kaz,1806,43.30
ken,1806,46.30
kgz,1806,46.00
khm,1806,39.00
kir,1806,45.30
kor,1806,32.10
kwt,1806,44.90
lao,1806,38.40
lbn,1806,57.70
lbr,1806,38.70
lby,1806,44.80
lca,1806,42.80
lka,1806,48.00
lso,1806,55.70
ltu,1806,48.90
lux,1806,26.70
lva,1806,48.90
mar,1806,57.70
mda,1806,47.80
mdg,1806,41.00
mdv,1806,41.40
mex,1806,40.10
mkd,1806,32.50
mli,1806,47.20
mlt,1806,30.90
mmr,1806,30.50
mne,1806,31.00
mng,1806,34.20
moz,1806,45.20
mrt,1806,49.40
mus,1806,38.40
mwi,1806,45.70
mys,1806,25.30
nam,1806,52.60
ner,1806,43.30
nga,1806,54.90
nic,1806,55.80
nld,1806,56.30
nor,1806,43.70
npl,1806,41.00
nzl,1806,38.20
omn,1806,45.00
pak,1806,28.70
pan,1806,57.90
per,1806,57.40
phl,1806,32.50
png,1806,25.80
pol,1806,34.50
prk,1806,45.30
prt,1806,55.10
pry,1806,55.10
pse,1806,34.70
qat,1806,44.90
rou,1806,47.80
rus,1806,57.90
rwa,1806,59.00
sau,1806,45.10
sdn,1806,33.80
sds,1806,33.78
sen,1806,45.90
sgp,1806,41.00
slb,1806,45.40
sle,1806,59.10
slv,1806,52.40
som,1806,50.90
srb,1806,32.50
stp,1806,50.50
sur,1806,32.80
svk,1806,34.90
svn,1806,27.70
swe,1806,67.50
swz,1806,59.80
syc,1806,46.00
syr,1806,57.70
tcd,1806,50.60
tgo,1806,37.80
tha,1806,47.40
tjk,1806,47.40
tkm,1806,41.40
tls,1806,31.60
ton,1806,45.10
tto,1806,44.80
tun,1806,57.70
tur,1806,57.70
tza,1806,37.60
uga,1806,41.00
ukr,1806,45.60
ury,1806,48.10
usa,1806,66.60
uzb,1806,44.40
vct,1806,45.00
ven,1806,43.40
vnm,1806,40.40
vut,1806,45.20
wsm,1806,44.90
yem,1806,57.70
zaf,1806,35.90
zmb,1806,39.90
zwe,1806,34.60
afg,1807,30.50
ago,1807,48.90
alb,1807,41.20
are,1807,44.90
arg,1807,47.10
arm,1807,29.10
atg,1807,45.00
aus,1807,41.30
aut,1807,53.40
aze,1807,32.80
bdi,1807,43.70
bel,1807,62.40
ben,1807,48.00
bfa,1807,37.50
bgd,1807,41.80
bgr,1807,47.80
bhr,1807,44.80
bhs,1807,46.40
bih,1807,27.70
blr,1807,57.90
blz,1807,55.30
bol,1807,36.90
bra,1807,40.10
brb,1807,48.00
brn,1807,44.80
btn,1807,46.90
bwa,1807,35.60
caf,1807,45.20
can,1807,45.10
che,1807,41.70
chl,1807,47.10
chn,1807,44.20
civ,1807,38.10
cmr,1807,56.20
cod,1807,42.10
cog,1807,51.10
col,1807,58.90
com,1807,36.30
cpv,1807,50.30
cri,1807,49.50
cub,1807,36.90
cyp,1807,30.10
cze,1807,34.90
deu,1807,53.00
dji,1807,41.80
dnk,1807,61.00
dom,1807,40.60
dza,1807,57.70
ecu,1807,38.70
egy,1807,57.70
eri,1807,45.30
esp,1807,38.00
est,1807,48.90
eth,1807,47.50
fin,1807,50.60
fji,1807,47.50
fra,1807,59.00
fsm,1807,60.20
gab,1807,45.90
gbr,1807,59.30
geo,1807,29.70
gha,1807,58.40
gin,1807,32.70
gmb,1807,45.10
gnb,1807,49.80
gnq,1807,45.50
grc,1807,49.90
grd,1807,45.00
gtm,1807,35.30
guy,1807,38.20
hnd,1807,60.50
hti,1807,41.80
hun,1807,47.40
idn,1807,51.70
ind,1807,32.80
irl,1807,44.60
irn,1807,57.70
irq,1807,57.70
isl,1807,26.00
isr,1807,44.90
ita,1807,60.50
jam,1807,39.10
jor,1807,39.20
jpn,1807,53.20
kaz,1807,43.30
ken,1807,46.30
kgz,1807,46.00
