geo,time,sg_gdp_p_cap_const_ppp2011_dollar
uga,1801,464.00
ukr,1801,764.00
ury,1801,1758.00
usa,1801,2168.00
uzb,1801,502.00
vct,1801,838.00
ven,1801,682.00
vnm,1801,861.00
vut,1801,586.00
wsm,1801,1400.00
yem,1801,879.00
zaf,1801,1480.00
zmb,1801,665.00
zwe,1801,870.00
afg,1802,603.00
ago,1802,623.00
alb,1802,668.00
are,1802,1005.00
arg,1802,1508.00
arm,1802,514.00
atg,1802,757.00
aus,1802,818.00
aut,1802,1863.00
aze,1802,775.00
bdi,1802,419.00
bel,1802,2413.00
ben,1802,597.00
bfa,1802,480.00
bgd,1802,876.00
bgr,1802,1089.00
bhr,1802,1246.00
bhs,1802,1445.00
bih,1802,669.00
blr,1802,608.00
blz,1802,579.00
bol,1802,854.00
bra,1802,1109.00
brb,1802,914.00
brn,1802,1512.00
btn,1802,630.00
bwa,1802,397.00
caf,1802,424.00
can,1802,1330.00
che,1802,2702.00
chl,1802,1027.00
chn,1802,985.00
civ,1802,819.00
cmr,1802,626.00
cod,1802,489.00
cog,1802,578.00
col,1802,963.00
com,1802,697.00
cpv,1802,529.00
cri,1802,775.00
cub,1802,884.00
cyp,1802,854.00
cze,1802,1916.00
deu,1802,1663.00
dji,1802,757.00
dnk,1802,2020.00
dom,1802,667.00
dza,1802,717.00
ecu,1802,529.00
egy,1802,791.00
eri,1802,532.00
esp,1802,1518.00
est,1802,940.00
eth,1802,523.00
fin,1802,1248.00
fji,1802,785.00
fra,1802,1810.00
fsm,1802,518.00
gab,1802,390.00
gbr,1802,3450.00
geo,1802,543.00
gha,1802,697.00
gin,1802,450.00
gmb,1802,814.00
gnb,1802,777.00
gnq,1802,357.00
grc,1802,1376.00
grd,1802,959.00
gtm,1802,857.00
guy,1802,1214.00
hnd,1802,675.00
hti,1802,634.00
hun,1802,1250.00
idn,1802,995.00
ind,1802,1052.00
irl,1802,1447.00
irn,1802,977.00
irq,1802,970.00
isl,1802,927.00
isr,1802,880.00
ita,1802,2268.00
jam,1802,1171.00
jor,1802,977.00
jpn,1802,1053.00
kaz,1802,1142.00
ken,1802,859.00
kgz,1802,508.00
khm,1802,904.00
kir,1802,552.00
kor,1802,575.00
kwt,1802,1105.00
lao,1802,865.00
lbn,1802,1083.00
lbr,1802,797.00
lby,1802,1050.00
lca,1802,875.00
lka,1802,898.00
lso,1802,394.00
ltu,1802,1273.00
lux,1802,1453.00
lva,1802,753.00
mar,1802,715.00
mda,1802,621.00
mdg,1802,573.00
mdv,1802,843.00
mex,1802,1379.00
mkd,1802,690.00
mli,1802,603.00
mlt,1802,782.00
mmr,1802,840.00
mne,1802,1058.00
mng,1802,592.00
moz,1802,391.00
mrt,1802,528.00
mus,1802,940.00
mwi,1802,350.00
mys,1802,998.00
nam,1802,540.00
ner,1802,446.00
nga,1802,854.00
nic,1802,973.00
nld,1802,4391.00
nor,1802,1282.00
npl,1802,654.00
nzl,1802,659.00
omn,1802,916.00
pak,1802,1021.00
pan,1802,847.00
per,1802,1204.00
phl,1802,962.00
png,1802,546.00
pol,1802,1222.00
prk,1802,578.00
prt,1802,1685.00
pry,1802,835.00
pse,1802,1221.00
