basomrade,year,immigration_surplus_min_3_years_of_higher_education_aged_25_64_male
4122100_lowenstromska_sjukhuset,2000,0
4122100_lowenstromska_sjukhuset,2001,0
4122100_lowenstromska_sjukhuset,2002,0
4122100_lowenstromska_sjukhuset,2003,5
4122100_lowenstromska_sjukhuset,2004,-3
4122100_lowenstromska_sjukhuset,2005,3
4122100_lowenstromska_sjukhuset,2006,1
4122100_lowenstromska_sjukhuset,2007,-1
4122100_lowenstromska_sjukhuset,2008,2
4122100_lowenstromska_sjukhuset,2009,-3
4122100_lowenstromska_sjukhuset,2010,2
4122100_lowenstromska_sjukhuset,2011,3
4122100_lowenstromska_sjukhuset,2012,7
4122100_lowenstromska_sjukhuset,2013,-1
4122100_lowenstromska_sjukhuset,2014,5
4122210_norra_vilunda,2000,0
4122210_norra_vilunda,2001,-5
4122210_norra_vilunda,2002,1
4122210_norra_vilunda,2003,2
4122210_norra_vilunda,2004,1
4122210_norra_vilunda,2005,3
4122210_norra_vilunda,2006,5
4122210_norra_vilunda,2007,0
4122210_norra_vilunda,2008,-4
4122210_norra_vilunda,2009,2
4122210_norra_vilunda,2010,-2
4122210_norra_vilunda,2011,3
4122210_norra_vilunda,2012,-4
4122210_norra_vilunda,2013,-4
4122210_norra_vilunda,2014,-2
4122230_apoteksskogen,2000,4
4122230_apoteksskogen,2001,6
4122230_apoteksskogen,2002,-10
4122230_apoteksskogen,2003,1
4122230_apoteksskogen,2004,1
4122230_apoteksskogen,2005,-8
4122230_apoteksskogen,2006,5
4122230_apoteksskogen,2007,3
4122230_apoteksskogen,2008,4
4122230_apoteksskogen,2009,1
4122230_apoteksskogen,2010,-1
4122230_apoteksskogen,2011,2
4122230_apoteksskogen,2012,-10
4122230_apoteksskogen,2013,4
4122230_apoteksskogen,2014,1
4122240_vasbyskogen,2000,1
4122240_vasbyskogen,2001,1
4122240_vasbyskogen,2002,-4
4122240_vasbyskogen,2003,-9
4122240_vasbyskogen,2004,-7
4122240_vasbyskogen,2005,-2
4122240_vasbyskogen,2006,-9
4122240_vasbyskogen,2007,-6
4122240_vasbyskogen,2008,-9
4122240_vasbyskogen,2009,-1
4122240_vasbyskogen,2010,9
4122240_vasbyskogen,2011,-4
4122240_vasbyskogen,2012,-7
4122240_vasbyskogen,2013,3
4122240_vasbyskogen,2014,-7
4122310_korpkulla,2000,3
4122310_korpkulla,2001,-5
4122310_korpkulla,2002,14
4122310_korpkulla,2003,-4
4122310_korpkulla,2004,-9
4122310_korpkulla,2005,4
4122310_korpkulla,2006,0
4122310_korpkulla,2007,-1
4122310_korpkulla,2008,1
4122310_korpkulla,2009,-17
4122310_korpkulla,2010,2
4122310_korpkulla,2011,20
4122310_korpkulla,2012,-10
4122310_korpkulla,2013,2
4122310_korpkulla,2014,-9
4122340_vilunda,2000,2
4122340_vilunda,2001,-1
4122340_vilunda,2002,-4
4122340_vilunda,2003,-2
4122340_vilunda,2004,-3
4122340_vilunda,2005,0
4122340_vilunda,2006,-11
4122340_vilunda,2007,2
4122340_vilunda,2008,-2
4122340_vilunda,2009,-5
4122340_vilunda,2010,-4
4122340_vilunda,2011,3
4122340_vilunda,2012,2
4122340_vilunda,2013,-4
4122340_vilunda,2014,-8
4122420_norra_smedby,2000,-2
4122420_norra_smedby,2001,3
4122420_norra_smedby,2002,0
4122420_norra_smedby,2003,-2
4122420_norra_smedby,2004,-11
4122420_norra_smedby,2005,0
4122420_norra_smedby,2006,1
4122420_norra_smedby,2007,-1
4122420_norra_smedby,2008,-11
4122420_norra_smedby,2009,-7
4122420_norra_smedby,2010,7
4122420_norra_smedby,2011,-3
4122420_norra_smedby,2012,9
4122420_norra_smedby,2013,3
4122420_norra_smedby,2014,4
4122430_sodra_smedby,2000,3
4122430_sodra_smedby,2001,3
4122430_sodra_smedby,2002,1
4122430_sodra_smedby,2003,-3
4122430_sodra_smedby,2004,6
4122430_sodra_smedby,2005,-8
4122430_sodra_smedby,2006,4
4122430_sodra_smedby,2007,-3
4122430_sodra_smedby,2008,0
4122430_sodra_smedby,2009,-2
4122430_sodra_smedby,2010,0
4122430_sodra_smedby,2011,1
4122430_sodra_smedby,2012,-1
4122430_sodra_smedby,2013,2
4122430_sodra_smedby,2014,5
4122520_skalby,2000,-3
4122520_skalby,2001,0
4122520_skalby,2002,2
4122520_skalby,2003,-1
4122520_skalby,2004,-2
4122520_skalby,2005,-1
4122520_skalby,2006,-1
4122520_skalby,2007,4
4122520_skalby,2008,-1
4122520_skalby,2009,0
4122520_skalby,2010,9
4122520_skalby,2011,-3
4122520_skalby,2012,2
4122520_skalby,2013,0
4122520_skalby,2014,-3
4122530_carlslund,2000,-5
4122530_carlslund,2001,1
4122530_carlslund,2002,-4
4122530_carlslund,2003,-5
4122530_carlslund,2004,-3
4122530_carlslund,2005,2
4122530_carlslund,2006,12
4122530_carlslund,2007,1
4122530_carlslund,2008,1
4122530_carlslund,2009,-9
4122530_carlslund,2010,14
4122530_carlslund,2011,5
4122530_carlslund,2012,-2
4122530_carlslund,2013,10
4122530_carlslund,2014,8
4122540_brunnby,2000,3
4122540_brunnby,2001,-3
4122540_brunnby,2002,2
4122540_brunnby,2003,0
4122540_brunnby,2004,4
4122540_brunnby,2005,2
4122540_brunnby,2006,1
4122540_brunnby,2007,0
4122540_brunnby,2008,-6
4122540_brunnby,2009,-2
4122540_brunnby,2010,-1
4122540_brunnby,2011,0
4122540_brunnby,2012,2
4122540_brunnby,2013,-1
4122540_brunnby,2014,3
4122600_vastra_odenslunda,2000,-2
4122600_vastra_odenslunda,2001,2
4122600_vastra_odenslunda,2002,-5
4122600_vastra_odenslunda,2003,-2
4122600_vastra_odenslunda,2004,-3
4122600_vastra_odenslunda,2005,2
4122600_vastra_odenslunda,2006,3
4122600_vastra_odenslunda,2007,-1
4122600_vastra_odenslunda,2008,-2
4122600_vastra_odenslunda,2009,5
4122600_vastra_odenslunda,2010,-2
4122600_vastra_odenslunda,2011,-2
4122600_vastra_odenslunda,2012,2
4122600_vastra_odenslunda,2013,-1
4122600_vastra_odenslunda,2014,-4
4133110_sanda,2000,0
4133110_sanda,2001,0
4133110_sanda,2002,0
4133110_sanda,2003,-3
4133110_sanda,2004,0
4133110_sanda,2005,0
4133110_sanda,2006,0
4133110_sanda,2007,0
4133110_sanda,2008,15
4133110_sanda,2009,24
4133110_sanda,2010,3
4133110_sanda,2011,7
4133110_sanda,2012,5
4133110_sanda,2013,5
4133110_sanda,2014,1
4133120_ostra_odenslunda,2000,-3
4133120_ostra_odenslunda,2001,3
4133120_ostra_odenslunda,2002,-3
4133120_ostra_odenslunda,2003,5
4133120_ostra_odenslunda,2004,10
4133120_ostra_odenslunda,2005,7
4133120_ostra_odenslunda,2006,-1
4133120_ostra_odenslunda,2007,1
4133120_ostra_odenslunda,2008,-1
4133120_ostra_odenslunda,2009,-2
4133120_ostra_odenslunda,2010,1
4133120_ostra_odenslunda,2011,12
4133120_ostra_odenslunda,2012,9
4133120_ostra_odenslunda,2013,-1
4133120_ostra_odenslunda,2014,-2
4133200_frestaby,2000,2
4133200_frestaby,2001,0
4133200_frestaby,2002,3
4133200_frestaby,2003,-9
4133200_frestaby,2004,-3
4133200_frestaby,2005,0
4133200_frestaby,2006,0
4133200_frestaby,2007,5
4133200_frestaby,2008,6
4133200_frestaby,2009,-2
4133200_frestaby,2010,0
4133200_frestaby,2011,0
4133200_frestaby,2012,0
4133200_frestaby,2013,1
4133200_frestaby,2014,5
4133310_vastra_bollstanas,2000,-4
4133310_vastra_bollstanas,2001,-2
4133310_vastra_bollstanas,2002,0
4133310_vastra_bollstanas,2003,3
4133310_vastra_bollstanas,2004,6
4133310_vastra_bollstanas,2005,0
4133310_vastra_bollstanas,2006,-2
4133310_vastra_bollstanas,2007,2
4133310_vastra_bollstanas,2008,1
4133310_vastra_bollstanas,2009,2
4133310_vastra_bollstanas,2010,2
4133310_vastra_bollstanas,2011,0
4133310_vastra_bollstanas,2012,4
4133310_vastra_bollstanas,2013,-3
4133310_vastra_bollstanas,2014,1
4133330_ostra_bollstanas,2000,7
4133330_ostra_bollstanas,2001,-3
4133330_ostra_bollstanas,2002,9
4133330_ostra_bollstanas,2003,0
4133330_ostra_bollstanas,2004,5
4133330_ostra_bollstanas,2005,12
4133330_ostra_bollstanas,2006,-6
4133330_ostra_bollstanas,2007,7
4133330_ostra_bollstanas,2008,-3
4133330_ostra_bollstanas,2009,0
4133330_ostra_bollstanas,2010,7
4133330_ostra_bollstanas,2011,4
4133330_ostra_bollstanas,2012,3
4133330_ostra_bollstanas,2013,0
4133330_ostra_bollstanas,2014,12
4133350_sodra_bollstanas,2000,9
4133350_sodra_bollstanas,2001,3
4133350_sodra_bollstanas,2002,6
4133350_sodra_bollstanas,2003,-3
4133350_sodra_bollstanas,2004,1
4133350_sodra_bollstanas,2005,1
4133350_sodra_bollstanas,2006,4
4133350_sodra_bollstanas,2007,6
4133350_sodra_bollstanas,2008,-1
4133350_sodra_bollstanas,2009,-3
4133350_sodra_bollstanas,2010,5
4133350_sodra_bollstanas,2011,1
4133350_sodra_bollstanas,2012,3
4133350_sodra_bollstanas,2013,0
4133350_sodra_bollstanas,2014,5
4133910_fresta_norra_glesbygd,2000,3
4133910_fresta_norra_glesbygd,2001,3
4133910_fresta_norra_glesbygd,2002,0
4133910_fresta_norra_glesbygd,2003,4
4133910_fresta_norra_glesbygd,2004,-3
4133910_fresta_norra_glesbygd,2005,4
4133910_fresta_norra_glesbygd,2006,3
4133910_fresta_norra_glesbygd,2007,0
4133910_fresta_norra_glesbygd,2008,3
4133910_fresta_norra_glesbygd,2009,-3
4133910_fresta_norra_glesbygd,2010,2
4133910_fresta_norra_glesbygd,2011,1
4133910_fresta_norra_glesbygd,2012,0
4133910_fresta_norra_glesbygd,2013,0
4133910_fresta_norra_glesbygd,2014,3
4133920_fresta_sodra_glesbygd,2000,0
4133920_fresta_sodra_glesbygd,2001,3
4133920_fresta_sodra_glesbygd,2002,-3
4133920_fresta_sodra_glesbygd,2003,0
4133920_fresta_sodra_glesbygd,2004,3
4133920_fresta_sodra_glesbygd,2005,0
4133920_fresta_sodra_glesbygd,2006,-3
4133920_fresta_sodra_glesbygd,2007,4
4133920_fresta_sodra_glesbygd,2008,-3
4133920_fresta_sodra_glesbygd,2009,0
4133920_fresta_sodra_glesbygd,2010,-1
4133920_fresta_sodra_glesbygd,2011,0
4133920_fresta_sodra_glesbygd,2012,0
4133920_fresta_sodra_glesbygd,2013,0
4133920_fresta_sodra_glesbygd,2014,0
4210110_centrala_vallentuna,2000,-5
4210110_centrala_vallentuna,2001,1
4210110_centrala_vallentuna,2002,12
4210110_centrala_vallentuna,2003,7
4210110_centrala_vallentuna,2004,-8
4210110_centrala_vallentuna,2005,-1
4210110_centrala_vallentuna,2006,-1
4210110_centrala_vallentuna,2007,-5
4210110_centrala_vallentuna,2008,-2
4210110_centrala_vallentuna,2009,-5
4210110_centrala_vallentuna,2010,-8
4210110_centrala_vallentuna,2011,10
4210110_centrala_vallentuna,2012,-8
4210110_centrala_vallentuna,2013,9
4210110_centrala_vallentuna,2014,4
4210210_norra_vallentuna_tatort,2000,-4
4210210_norra_vallentuna_tatort,2001,6
4210210_norra_vallentuna_tatort,2002,-5
4210210_norra_vallentuna_tatort,2003,-5
4210210_norra_vallentuna_tatort,2004,0
4210210_norra_vallentuna_tatort,2005,7
4210210_norra_vallentuna_tatort,2006,-3
4210210_norra_vallentuna_tatort,2007,8
4210210_norra_vallentuna_tatort,2008,0
4210210_norra_vallentuna_tatort,2009,6
4210210_norra_vallentuna_tatort,2010,-8
4210210_norra_vallentuna_tatort,2011,3
4210210_norra_vallentuna_tatort,2012,-4
4210210_norra_vallentuna_tatort,2013,1
4210210_norra_vallentuna_tatort,2014,6
4210220_nv_a_vallentuna_tatort,2000,5
4210220_nv_a_vallentuna_tatort,2001,0
4210220_nv_a_vallentuna_tatort,2002,0
4210220_nv_a_vallentuna_tatort,2003,4
4210220_nv_a_vallentuna_tatort,2004,1
4210220_nv_a_vallentuna_tatort,2005,-3
4210220_nv_a_vallentuna_tatort,2006,1
4210220_nv_a_vallentuna_tatort,2007,28
4210220_nv_a_vallentuna_tatort,2008,6
4210220_nv_a_vallentuna_tatort,2009,14
4210220_nv_a_vallentuna_tatort,2010,18
4210220_nv_a_vallentuna_tatort,2011,11
4210220_nv_a_vallentuna_tatort,2012,5
4210220_nv_a_vallentuna_tatort,2013,5
4210220_nv_a_vallentuna_tatort,2014,3
4210320_ostra_ormsta,2000,2
4210320_ostra_ormsta,2001,10
4210320_ostra_ormsta,2002,-2
4210320_ostra_ormsta,2003,8
4210320_ostra_ormsta,2004,4
4210320_ostra_ormsta,2005,-2
4210320_ostra_ormsta,2006,-2
4210320_ostra_ormsta,2007,0
4210320_ostra_ormsta,2008,5
4210320_ostra_ormsta,2009,-3
4210320_ostra_ormsta,2010,-1
4210320_ostra_ormsta,2011,8
4210320_ostra_ormsta,2012,3
4210320_ostra_ormsta,2013,4
4210320_ostra_ormsta,2014,-1
4210330_vastra_ormsta,2000,2
4210330_vastra_ormsta,2001,-6
4210330_vastra_ormsta,2002,0
4210330_vastra_ormsta,2003,-4
4210330_vastra_ormsta,2004,2
4210330_vastra_ormsta,2005,2
4210330_vastra_ormsta,2006,4
4210330_vastra_ormsta,2007,-3
4210330_vastra_ormsta,2008,4
4210330_vastra_ormsta,2009,3
4210330_vastra_ormsta,2010,4
4210330_vastra_ormsta,2011,0
4210330_vastra_ormsta,2012,0
4210330_vastra_ormsta,2013,3
4210330_vastra_ormsta,2014,3
4210340_aby_bostadsomr,2000,3
4210340_aby_bostadsomr,2001,1
4210340_aby_bostadsomr,2002,3
4210340_aby_bostadsomr,2003,-3
4210340_aby_bostadsomr,2004,0
4210340_aby_bostadsomr,2005,0
4210340_aby_bostadsomr,2006,-2
4210340_aby_bostadsomr,2007,2
4210340_aby_bostadsomr,2008,-3
4210340_aby_bostadsomr,2009,-1
4210340_aby_bostadsomr,2010,16
4210340_aby_bostadsomr,2011,5
4210340_aby_bostadsomr,2012,1
4210340_aby_bostadsomr,2013,-2
4210340_aby_bostadsomr,2014,-4
4210410_vastra_ballsta,2000,26
4210410_vastra_ballsta,2001,4
4210410_vastra_ballsta,2002,11
4210410_vastra_ballsta,2003,4
4210410_vastra_ballsta,2004,-2
4210410_vastra_ballsta,2005,15
4210410_vastra_ballsta,2006,17
4210410_vastra_ballsta,2007,-4
4210410_vastra_ballsta,2008,-9
4210410_vastra_ballsta,2009,8
4210410_vastra_ballsta,2010,15
4210410_vastra_ballsta,2011,20
4210410_vastra_ballsta,2012,18
4210410_vastra_ballsta,2013,15
4210410_vastra_ballsta,2014,8
4210420_kragstalund,2000,-1
4210420_kragstalund,2001,-4
4210420_kragstalund,2002,3
4210420_kragstalund,2003,11
4210420_kragstalund,2004,21
4210420_kragstalund,2005,20
4210420_kragstalund,2006,19
4210420_kragstalund,2007,13
4210420_kragstalund,2008,0
4210420_kragstalund,2009,-1
4210420_kragstalund,2010,4
4210420_kragstalund,2011,2
4210420_kragstalund,2012,5
4210420_kragstalund,2013,0
4210420_kragstalund,2014,-6
4210430_ballstaberg,2000,7
4210430_ballstaberg,2001,5
4210430_ballstaberg,2002,12
4210430_ballstaberg,2003,9
4210430_ballstaberg,2004,23
4210430_ballstaberg,2005,9
4210430_ballstaberg,2006,12
4210430_ballstaberg,2007,9
4210430_ballstaberg,2008,20
4210430_ballstaberg,2009,15
4210430_ballstaberg,2010,4
4210430_ballstaberg,2011,9
4210430_ballstaberg,2012,5
4210430_ballstaberg,2013,-3
4210430_ballstaberg,2014,9
4210440_okand,2000,-2
4210440_okand,2001,-3
4210440_okand,2002,-1
4210440_okand,2003,1
4210440_okand,2004,4
4210440_okand,2005,-6
4210440_okand,2006,7
4210440_okand,2007,1
4210440_okand,2008,6
4210440_okand,2009,0
4210510_vallentuna_glesbygd_v,2000,3
4210510_vallentuna_glesbygd_v,2001,0
4210510_vallentuna_glesbygd_v,2002,4
4210510_vallentuna_glesbygd_v,2003,3
4210510_vallentuna_glesbygd_v,2004,0
4210510_vallentuna_glesbygd_v,2005,0
4210510_vallentuna_glesbygd_v,2006,-3
4210510_vallentuna_glesbygd_v,2007,-3
4210510_vallentuna_glesbygd_v,2008,5
4210510_vallentuna_glesbygd_v,2009,5
4210510_vallentuna_glesbygd_v,2010,0
4210510_vallentuna_glesbygd_v,2011,1
4210510_vallentuna_glesbygd_v,2012,3
4210510_vallentuna_glesbygd_v,2013,-6
4210510_vallentuna_glesbygd_v,2014,-2
4210530_vallentuna_glesbygd_no,2000,3
4210530_vallentuna_glesbygd_no,2001,0
4210530_vallentuna_glesbygd_no,2002,-3
4210530_vallentuna_glesbygd_no,2003,0
4210530_vallentuna_glesbygd_no,2004,-3
4210530_vallentuna_glesbygd_no,2005,0
4210530_vallentuna_glesbygd_no,2006,-3
4210530_vallentuna_glesbygd_no,2007,4
4210530_vallentuna_glesbygd_no,2008,-1
4210530_vallentuna_glesbygd_no,2009,4
4210530_vallentuna_glesbygd_no,2010,1
4210530_vallentuna_glesbygd_no,2011,0
4210530_vallentuna_glesbygd_no,2012,5
4210530_vallentuna_glesbygd_no,2013,2
4210530_vallentuna_glesbygd_no,2014,3
4210540_okand,2000,0
4210540_okand,2001,0
4210540_okand,2002,0
4210540_okand,2003,3
4210540_okand,2004,0
4210540_okand,2005,0
4210540_okand,2006,-3
4210540_okand,2007,-3
4210540_okand,2008,0
4210540_okand,2009,3
4220000_markims_forsamling,2000,0
4220000_markims_forsamling,2001,0
4220000_markims_forsamling,2002,0
4220000_markims_forsamling,2003,0
4220000_markims_forsamling,2004,0
4220000_markims_forsamling,2005,3
4220000_markims_forsamling,2006,3
4220000_markims_forsamling,2007,0
4220000_markims_forsamling,2008,0
4220000_markims_forsamling,2009,0
4220000_markims_forsamling,2010,0
4220000_markims_forsamling,2011,3
4220000_markims_forsamling,2012,-3
4220000_markims_forsamling,2013,0
4220000_markims_forsamling,2014,0
4230100_lindholmen,2000,1
4230100_lindholmen,2001,-3
4230100_lindholmen,2002,-3
4230100_lindholmen,2003,3
4230100_lindholmen,2004,-1
4230100_lindholmen,2005,1
4230100_lindholmen,2006,0
4230100_lindholmen,2007,-4
4230100_lindholmen,2008,0
4230100_lindholmen,2009,0
4230100_lindholmen,2010,5
4230100_lindholmen,2011,0
4230100_lindholmen,2012,-3
4230100_lindholmen,2013,-2
4230100_lindholmen,2014,2
4230500_okand,2000,0
4230500_okand,2001,-3
4230500_okand,2002,3
4230500_okand,2003,0
4230500_okand,2004,0
4230500_okand,2005,0
4230500_okand,2006,0
4230500_okand,2007,0
4230500_okand,2008,3
4230500_okand,2009,0
4240000_frosunda_forsamling,2000,0
4240000_frosunda_forsamling,2001,-3
4240000_frosunda_forsamling,2002,-3
4240000_frosunda_forsamling,2003,0
4240000_frosunda_forsamling,2004,3
4240000_frosunda_forsamling,2005,3
4240000_frosunda_forsamling,2006,0
4240000_frosunda_forsamling,2007,0
4240000_frosunda_forsamling,2008,-3
4240000_frosunda_forsamling,2009,3
4240000_frosunda_forsamling,2010,1
4240000_frosunda_forsamling,2011,0
4240000_frosunda_forsamling,2012,0
4240000_frosunda_forsamling,2013,-1
4240000_frosunda_forsamling,2014,1
4250100_karsta,2000,0
4250100_karsta,2001,3
4250100_karsta,2002,-3
4250100_karsta,2003,-3
4250100_karsta,2004,0
4250100_karsta,2005,0
4250100_karsta,2006,0
4250100_karsta,2007,-3
4250100_karsta,2008,3
4250100_karsta,2009,3
4250100_karsta,2010,1
4250100_karsta,2011,0
4250100_karsta,2012,0
4250100_karsta,2013,0
4250100_karsta,2014,0
4250200_ekskogen,2000,0
4250200_ekskogen,2001,0
4250200_ekskogen,2002,0
4250200_ekskogen,2003,-3
4250200_ekskogen,2004,0
4250200_ekskogen,2005,0
4250200_ekskogen,2006,0
4250200_ekskogen,2007,0
4250200_ekskogen,2008,0
4250200_ekskogen,2009,0
4250200_ekskogen,2010,1
4250200_ekskogen,2011,0
4250200_ekskogen,2012,0
4250200_ekskogen,2013,0
4250200_ekskogen,2014,0
4250500_karsta_glesbygd,2000,0
4250500_karsta_glesbygd,2001,3
4250500_karsta_glesbygd,2002,0
4250500_karsta_glesbygd,2003,-3
4250500_karsta_glesbygd,2004,0
4250500_karsta_glesbygd,2005,1
4250500_karsta_glesbygd,2006,0
4250500_karsta_glesbygd,2007,3
4250500_karsta_glesbygd,2008,1
4250500_karsta_glesbygd,2009,-4
4250500_karsta_glesbygd,2010,3
4250500_karsta_glesbygd,2011,3
4250500_karsta_glesbygd,2012,-3
4250500_karsta_glesbygd,2013,3
4250500_karsta_glesbygd,2014,4
4260500_vada_glesbygd,2000,3
4260500_vada_glesbygd,2001,0
4260500_vada_glesbygd,2002,0
4260500_vada_glesbygd,2003,0
4260500_vada_glesbygd,2004,0
4260500_vada_glesbygd,2005,3
4260500_vada_glesbygd,2006,3
4260500_vada_glesbygd,2007,-3
4260500_vada_glesbygd,2008,3
4260500_vada_glesbygd,2009,3
4260500_vada_glesbygd,2010,1
4260500_vada_glesbygd,2011,0
4260500_vada_glesbygd,2012,0
4260500_vada_glesbygd,2013,0
4260500_vada_glesbygd,2014,3
4270100_karby,2000,-2
4270100_karby,2001,3
4270100_karby,2002,-3
4270100_karby,2003,0
4270100_karby,2004,0
4270100_karby,2005,3
4270100_karby,2006,3
4270100_karby,2007,6
4270100_karby,2008,-3
4270100_karby,2009,3
4270100_karby,2010,0
4270100_karby,2011,-3
4270100_karby,2012,0
4270100_karby,2013,-4
4270100_karby,2014,4
4270200_brottby,2000,0
4270200_brottby,2001,3
4270200_brottby,2002,0
4270200_brottby,2003,0
4270200_brottby,2004,3
4270200_brottby,2005,0
4270200_brottby,2006,3
4270200_brottby,2007,0
4270200_brottby,2008,0
4270200_brottby,2009,0
4270200_brottby,2010,-1
4270200_brottby,2011,0
4270200_brottby,2012,3
4270200_brottby,2013,0
4270200_brottby,2014,3
4270501_ovr_osseby_garns_glesbygd,2000,8
4270501_ovr_osseby_garns_glesbygd,2001,-1
4270501_ovr_osseby_garns_glesbygd,2002,2
4270501_ovr_osseby_garns_glesbygd,2003,0
4270501_ovr_osseby_garns_glesbygd,2004,5
4270501_ovr_osseby_garns_glesbygd,2005,-1
4270501_ovr_osseby_garns_glesbygd,2006,2
4270501_ovr_osseby_garns_glesbygd,2007,6
4270501_ovr_osseby_garns_glesbygd,2008,2
4270501_ovr_osseby_garns_glesbygd,2009,1
4270501_ovr_osseby_garns_glesbygd,2010,2
4270501_ovr_osseby_garns_glesbygd,2011,-5
4270501_ovr_osseby_garns_glesbygd,2012,1
4270501_ovr_osseby_garns_glesbygd,2013,2
4270501_ovr_osseby_garns_glesbygd,2014,2
4270502_algeby_garns_ekskogen,2000,0
4270502_algeby_garns_ekskogen,2001,3
4270502_algeby_garns_ekskogen,2002,0
4270502_algeby_garns_ekskogen,2003,0
4270502_algeby_garns_ekskogen,2004,0
4270502_algeby_garns_ekskogen,2005,-3
4270502_algeby_garns_ekskogen,2006,0
4270502_algeby_garns_ekskogen,2007,0
4270502_algeby_garns_ekskogen,2008,0
4270502_algeby_garns_ekskogen,2009,-3
4270502_algeby_garns_ekskogen,2010,1
4270502_algeby_garns_ekskogen,2011,0
4270502_algeby_garns_ekskogen,2012,0
4270502_algeby_garns_ekskogen,2013,0
4270502_algeby_garns_ekskogen,2014,0
4280000_angarns_forsamling,2000,-3
4280000_angarns_forsamling,2001,3
4280000_angarns_forsamling,2002,3
4280000_angarns_forsamling,2003,0
4280000_angarns_forsamling,2004,0
4280000_angarns_forsamling,2005,0
4280000_angarns_forsamling,2006,-3
4280000_angarns_forsamling,2007,3
4280000_angarns_forsamling,2008,3
4280000_angarns_forsamling,2009,0
4280000_angarns_forsamling,2010,0
4280000_angarns_forsamling,2011,0
4280000_angarns_forsamling,2012,-3
4280000_angarns_forsamling,2013,0
4280000_angarns_forsamling,2014,3
4440110_ljustero,2000,6
4440110_ljustero,2001,5
4440110_ljustero,2002,2
4440110_ljustero,2003,6
4440110_ljustero,2004,-2
4440110_ljustero,2005,6
4440110_ljustero,2006,0
4440110_ljustero,2007,1
4440110_ljustero,2008,-2
4440110_ljustero,2009,2
4440110_ljustero,2010,-3
4440110_ljustero,2011,0
4440110_ljustero,2012,2
4440110_ljustero,2013,2
4440110_ljustero,2014,4
4440120_ingmarso_m_fl_oar,2000,3
4440120_ingmarso_m_fl_oar,2001,-3
4440120_ingmarso_m_fl_oar,2002,0
4440120_ingmarso_m_fl_oar,2003,0
4440120_ingmarso_m_fl_oar,2004,0
4440120_ingmarso_m_fl_oar,2005,3
4440120_ingmarso_m_fl_oar,2006,0
4440120_ingmarso_m_fl_oar,2007,0
4440120_ingmarso_m_fl_oar,2008,0
4440120_ingmarso_m_fl_oar,2009,0
4440120_ingmarso_m_fl_oar,2010,0
4440120_ingmarso_m_fl_oar,2011,3
4440120_ingmarso_m_fl_oar,2012,0
4440120_ingmarso_m_fl_oar,2013,0
4440120_ingmarso_m_fl_oar,2014,0
4440200_roslags_kulla_fd_forsaml,2000,3
