basomrade,year,mean_income_aged_lt_20
4111140_prastgardsmarken,2011,271879.53
4111140_prastgardsmarken,2012,276671.41
4111140_prastgardsmarken,2013,279573.73
4111140_prastgardsmarken,2014,285077.34
4111900_eds_glesbygd,2000,236962.12
4111900_eds_glesbygd,2001,253066.84
4111900_eds_glesbygd,2002,257048.51
4111900_eds_glesbygd,2003,261664.8
4111900_eds_glesbygd,2004,259006.68
4111900_eds_glesbygd,2005,274449.84
4111900_eds_glesbygd,2006,282479.29
4111900_eds_glesbygd,2007,290986.61
4111900_eds_glesbygd,2008,286663.61
4111900_eds_glesbygd,2009,293479.17
4111900_eds_glesbygd,2010,308761.9
4111900_eds_glesbygd,2011,318176.27
4111900_eds_glesbygd,2012,366953.42
4111900_eds_glesbygd,2013,349516.47
4111900_eds_glesbygd,2014,381968.42
4122100_lowenstromska_sjukhuset,2000,175919.22
4122100_lowenstromska_sjukhuset,2001,185900.53
4122100_lowenstromska_sjukhuset,2002,192802.89
4122100_lowenstromska_sjukhuset,2003,199491.97
4122100_lowenstromska_sjukhuset,2004,195568.14
4122100_lowenstromska_sjukhuset,2005,199052.09
4122100_lowenstromska_sjukhuset,2006,201888.47
4122100_lowenstromska_sjukhuset,2007,202273.75
4122100_lowenstromska_sjukhuset,2008,207935.78
4122100_lowenstromska_sjukhuset,2009,201128.34
4122100_lowenstromska_sjukhuset,2010,202400.54
4122100_lowenstromska_sjukhuset,2011,207973.88
4122100_lowenstromska_sjukhuset,2012,223689.43
4122100_lowenstromska_sjukhuset,2013,212199.16
4122100_lowenstromska_sjukhuset,2014,213306.85
4122210_norra_vilunda,2000,239035.01
4122210_norra_vilunda,2001,246062.45
4122210_norra_vilunda,2002,255469.28
4122210_norra_vilunda,2003,258510.19
4122210_norra_vilunda,2004,262536.17
4122210_norra_vilunda,2005,260040.62
4122210_norra_vilunda,2006,269661.67
4122210_norra_vilunda,2007,274741.42
4122210_norra_vilunda,2008,285686.03
4122210_norra_vilunda,2009,295474.3
4122210_norra_vilunda,2010,299627.28
4122210_norra_vilunda,2011,307646.11
4122210_norra_vilunda,2012,318136.45
4122210_norra_vilunda,2013,320439.93
4122210_norra_vilunda,2014,326910.31
4122230_apoteksskogen,2000,178888.41
4122230_apoteksskogen,2001,185539.62
4122230_apoteksskogen,2002,187734.91
4122230_apoteksskogen,2003,190865.2
4122230_apoteksskogen,2004,198682.02
4122230_apoteksskogen,2005,196371.22
4122230_apoteksskogen,2006,199973.84
4122230_apoteksskogen,2007,204424.7
4122230_apoteksskogen,2008,211072.23
4122230_apoteksskogen,2009,209780.14
4122230_apoteksskogen,2010,209851.99
4122230_apoteksskogen,2011,215464.05
4122230_apoteksskogen,2012,221433.49
4122230_apoteksskogen,2013,226248.66
4122230_apoteksskogen,2014,229915.26
4122240_vasbyskogen,2000,183445.19
4122240_vasbyskogen,2001,192105.7
4122240_vasbyskogen,2002,198840.27
4122240_vasbyskogen,2003,199653.27
4122240_vasbyskogen,2004,199613.18
4122240_vasbyskogen,2005,202462.63
4122240_vasbyskogen,2006,206062.44
4122240_vasbyskogen,2007,213628.45
4122240_vasbyskogen,2008,218691.78
4122240_vasbyskogen,2009,216435.01
4122240_vasbyskogen,2010,214195.99
4122240_vasbyskogen,2011,215125.01
4122240_vasbyskogen,2012,218825.4
4122240_vasbyskogen,2013,223773.9
4122240_vasbyskogen,2014,229815.12
4122310_korpkulla,2000,192567.76
4122310_korpkulla,2001,202217.91
4122310_korpkulla,2002,209467.26
4122310_korpkulla,2003,212888.07
4122310_korpkulla,2004,213772.4
4122310_korpkulla,2005,220672.07
4122310_korpkulla,2006,229047.94
4122310_korpkulla,2007,236938.12
4122310_korpkulla,2008,249034.37
4122310_korpkulla,2009,254737.34
4122310_korpkulla,2010,254759.54
4122310_korpkulla,2011,261389.95
4122310_korpkulla,2012,269658.99
4122310_korpkulla,2013,276477.79
4122310_korpkulla,2014,279987.85
4122340_vilunda,2000,142164.68
4122340_vilunda,2001,149721.34
4122340_vilunda,2002,154200.74
4122340_vilunda,2003,158658.17
4122340_vilunda,2004,158858.69
4122340_vilunda,2005,160029.69
4122340_vilunda,2006,162960.57
4122340_vilunda,2007,168666.64
4122340_vilunda,2008,173925.92
4122340_vilunda,2009,178867.48
4122340_vilunda,2010,177145.21
4122340_vilunda,2011,178453.35
4122340_vilunda,2012,180822.52
4122340_vilunda,2013,187755.7
4122340_vilunda,2014,188874.18
4122420_norra_smedby,2000,179624.87
4122420_norra_smedby,2001,187878.13
4122420_norra_smedby,2002,195787.27
4122420_norra_smedby,2003,199330.24
4122420_norra_smedby,2004,197644.38
4122420_norra_smedby,2005,197587.01
4122420_norra_smedby,2006,201603.73
4122420_norra_smedby,2007,206126.22
4122420_norra_smedby,2008,211433.84
4122420_norra_smedby,2009,216647.8
4122420_norra_smedby,2010,214741.61
4122420_norra_smedby,2011,219284.87
4122420_norra_smedby,2012,228700.69
4122420_norra_smedby,2013,229940.4
4122420_norra_smedby,2014,233007.45
4122430_sodra_smedby,2000,196588.24
4122430_sodra_smedby,2001,207175.7
4122430_sodra_smedby,2002,211899.69
4122430_sodra_smedby,2003,214080.95
4122430_sodra_smedby,2004,215102.52
4122430_sodra_smedby,2005,216250.14
4122430_sodra_smedby,2006,220567.89
4122430_sodra_smedby,2007,230865.66
4122430_sodra_smedby,2008,238146.69
4122430_sodra_smedby,2009,235253.64
4122430_sodra_smedby,2010,247619.64
4122430_sodra_smedby,2011,254619.97
4122430_sodra_smedby,2012,267717.91
4122430_sodra_smedby,2013,271097.21
4122430_sodra_smedby,2014,274969.93
4122520_skalby,2000,241416.75
4122520_skalby,2001,255994.34
4122520_skalby,2002,263170.93
4122520_skalby,2003,268435.3
4122520_skalby,2004,273703.66
4122520_skalby,2005,282045.89
4122520_skalby,2006,281537.36
4122520_skalby,2007,289911.44
4122520_skalby,2008,308199.39
4122520_skalby,2009,316670.32
4122520_skalby,2010,313896.94
4122520_skalby,2011,321345.84
4122520_skalby,2012,323731.1
4122520_skalby,2013,326908.9
4122520_skalby,2014,333181.7
4122530_carlslund,2000,184099.06
4122530_carlslund,2001,194305.52
4122530_carlslund,2002,194175.72
4122530_carlslund,2003,196119.03
4122530_carlslund,2004,195079.36
4122530_carlslund,2005,197530.96
4122530_carlslund,2006,204731.29
4122530_carlslund,2007,212029.09
4122530_carlslund,2008,223250.15
4122530_carlslund,2009,219290.32
4122530_carlslund,2010,217140.21
4122530_carlslund,2011,227768.9
4122530_carlslund,2012,237692.1
4122530_carlslund,2013,247115.81
4122530_carlslund,2014,257202.14
4122540_brunnby,2000,260617.98
4122540_brunnby,2001,275732.87
4122540_brunnby,2002,278533.4
4122540_brunnby,2003,291080.2
4122540_brunnby,2004,294614.32
4122540_brunnby,2005,313061.62
4122540_brunnby,2006,306314.36
4122540_brunnby,2007,320247.5
4122540_brunnby,2008,329570.47
4122540_brunnby,2009,333515.98
4122540_brunnby,2010,337099.18
4122540_brunnby,2011,352686.48
4122540_brunnby,2012,348294.82
4122540_brunnby,2013,342961.44
4122540_brunnby,2014,353728.07
4122600_vastra_odenslunda,2000,254385.15
4122600_vastra_odenslunda,2001,260452.61
4122600_vastra_odenslunda,2002,268307.29
4122600_vastra_odenslunda,2003,279240.99
4122600_vastra_odenslunda,2004,280639.35
4122600_vastra_odenslunda,2005,286642.18
4122600_vastra_odenslunda,2006,285996.82
4122600_vastra_odenslunda,2007,295422.39
4122600_vastra_odenslunda,2008,305152.48
4122600_vastra_odenslunda,2009,309434.11
4122600_vastra_odenslunda,2010,313552.86
4122600_vastra_odenslunda,2011,321933.77
4122600_vastra_odenslunda,2012,328245.85
4122600_vastra_odenslunda,2013,336933.25
4122600_vastra_odenslunda,2014,337278.97
4133110_sanda,2000,162777.97
4133110_sanda,2001,180856.41
4133110_sanda,2002,189293.69
4133110_sanda,2003,173545.95
4133110_sanda,2004,163925.22
4133110_sanda,2005,177909.08
4133110_sanda,2006,175037.74
4133110_sanda,2007,209561.13
4133110_sanda,2008,328186.95
4133110_sanda,2009,340781.67
4133110_sanda,2010,364000.95
4133110_sanda,2011,395603.27
4133110_sanda,2012,404745.68
4133110_sanda,2013,405773.83
4133110_sanda,2014,424399.03
4133120_ostra_odenslunda,2000,247579.91
4133120_ostra_odenslunda,2001,257077.46
4133120_ostra_odenslunda,2002,259149.84
4133120_ostra_odenslunda,2003,264523.04
4133120_ostra_odenslunda,2004,263458.83
4133120_ostra_odenslunda,2005,273825.04
4133120_ostra_odenslunda,2006,279560.96
4133120_ostra_odenslunda,2007,293209.55
4133120_ostra_odenslunda,2008,309543.54
4133120_ostra_odenslunda,2009,310568.37
4133120_ostra_odenslunda,2010,317530.4
4133120_ostra_odenslunda,2011,324956.57
4133120_ostra_odenslunda,2012,329313.89
4133120_ostra_odenslunda,2013,335050.14
4133120_ostra_odenslunda,2014,338459.42
4133200_frestaby,2000,253981.34
4133200_frestaby,2001,267912.08
4133200_frestaby,2002,279381.83
4133200_frestaby,2003,280672.98
4133200_frestaby,2004,288645.32
4133200_frestaby,2005,303109.72
4133200_frestaby,2006,309095.03
4133200_frestaby,2007,324592.74
4133200_frestaby,2008,337018.61
4133200_frestaby,2009,341737.01
4133200_frestaby,2010,340312.16
4133200_frestaby,2011,351779.05
4133200_frestaby,2012,355048.13
4133200_frestaby,2013,363486.74
4133200_frestaby,2014,367911.94
4133310_vastra_bollstanas,2000,271244.74
4133310_vastra_bollstanas,2001,285628.86
4133310_vastra_bollstanas,2002,292411.1
4133310_vastra_bollstanas,2003,306933.53
4133310_vastra_bollstanas,2004,310160.61
4133310_vastra_bollstanas,2005,318239.75
4133310_vastra_bollstanas,2006,327298.86
4133310_vastra_bollstanas,2007,338239.93
4133310_vastra_bollstanas,2008,344913.59
4133310_vastra_bollstanas,2009,342792.82
4133310_vastra_bollstanas,2010,346398.03
4133310_vastra_bollstanas,2011,348187.59
4133310_vastra_bollstanas,2012,357146.36
4133310_vastra_bollstanas,2013,363737.94
4133310_vastra_bollstanas,2014,370345.2
4133330_ostra_bollstanas,2000,262042.66
4133330_ostra_bollstanas,2001,275217.75
4133330_ostra_bollstanas,2002,282718.8
4133330_ostra_bollstanas,2003,288280.46
4133330_ostra_bollstanas,2004,300058.05
4133330_ostra_bollstanas,2005,308432.63
4133330_ostra_bollstanas,2006,320863.63
4133330_ostra_bollstanas,2007,334510.55
4133330_ostra_bollstanas,2008,347000.79
4133330_ostra_bollstanas,2009,345571.55
4133330_ostra_bollstanas,2010,352217.15
4133330_ostra_bollstanas,2011,356028.56
4133330_ostra_bollstanas,2012,362887.8
4133330_ostra_bollstanas,2013,368034.88
4133330_ostra_bollstanas,2014,376071.55
4133350_sodra_bollstanas,2000,263912.16
4133350_sodra_bollstanas,2001,283314.85
4133350_sodra_bollstanas,2002,286715.02
4133350_sodra_bollstanas,2003,300299.08
4133350_sodra_bollstanas,2004,300890.38
4133350_sodra_bollstanas,2005,314525.01
4133350_sodra_bollstanas,2006,329430.06
4133350_sodra_bollstanas,2007,349499.09
4133350_sodra_bollstanas,2008,362542.56
4133350_sodra_bollstanas,2009,363253.19
4133350_sodra_bollstanas,2010,376493.41
4133350_sodra_bollstanas,2011,395689.83
4133350_sodra_bollstanas,2012,403052.61
4133350_sodra_bollstanas,2013,409545.71
4133350_sodra_bollstanas,2014,411827.34
4133910_fresta_norra_glesbygd,2000,234524.41
4133910_fresta_norra_glesbygd,2001,251080.99
4133910_fresta_norra_glesbygd,2002,270031.63
4133910_fresta_norra_glesbygd,2003,289749.57
4133910_fresta_norra_glesbygd,2004,298744.57
4133910_fresta_norra_glesbygd,2005,302705.94
4133910_fresta_norra_glesbygd,2006,319588.79
4133910_fresta_norra_glesbygd,2007,347233.29
4133910_fresta_norra_glesbygd,2008,353278.37
4133910_fresta_norra_glesbygd,2009,352463.63
4133910_fresta_norra_glesbygd,2010,360099.15
4133910_fresta_norra_glesbygd,2011,384507.17
4133910_fresta_norra_glesbygd,2012,395036.4
4133910_fresta_norra_glesbygd,2013,397882.84
4133910_fresta_norra_glesbygd,2014,398061.29
4133920_fresta_sodra_glesbygd,2000,234670.88
4133920_fresta_sodra_glesbygd,2001,213917.64
4133920_fresta_sodra_glesbygd,2002,236379.36
4133920_fresta_sodra_glesbygd,2003,244428.1
4133920_fresta_sodra_glesbygd,2004,264606.47
4133920_fresta_sodra_glesbygd,2005,265453.77
4133920_fresta_sodra_glesbygd,2006,270868.1
4133920_fresta_sodra_glesbygd,2007,276255.52
4133920_fresta_sodra_glesbygd,2008,267612.91
4133920_fresta_sodra_glesbygd,2009,295644.3
4133920_fresta_sodra_glesbygd,2010,295099.9
4133920_fresta_sodra_glesbygd,2011,290790.66
4133920_fresta_sodra_glesbygd,2012,282082.09
4133920_fresta_sodra_glesbygd,2013,287414.22
4133920_fresta_sodra_glesbygd,2014,308556.92
4210110_centrala_vallentuna,2000,172408.91
4210110_centrala_vallentuna,2001,181302.54
4210110_centrala_vallentuna,2002,186390.74
4210110_centrala_vallentuna,2003,191845.27
4210110_centrala_vallentuna,2004,198518.19
4210110_centrala_vallentuna,2005,201794.65
4210110_centrala_vallentuna,2006,205359.6
4210110_centrala_vallentuna,2007,215179.83
4210110_centrala_vallentuna,2008,221110.33
4210110_centrala_vallentuna,2009,226714.65
4210110_centrala_vallentuna,2010,229201.5
4210110_centrala_vallentuna,2011,232549.19
4210110_centrala_vallentuna,2012,238677.16
4210110_centrala_vallentuna,2013,244168.42
4210110_centrala_vallentuna,2014,248118.75
4210210_norra_vallentuna_tatort,2000,224909.27
4210210_norra_vallentuna_tatort,2001,231400.02
4210210_norra_vallentuna_tatort,2002,237676.18
4210210_norra_vallentuna_tatort,2003,239108.21
4210210_norra_vallentuna_tatort,2004,241572.59
4210210_norra_vallentuna_tatort,2005,246311.85
4210210_norra_vallentuna_tatort,2006,255284.52
4210210_norra_vallentuna_tatort,2007,263979.1
4210210_norra_vallentuna_tatort,2008,272311.24
4210210_norra_vallentuna_tatort,2009,270646.32
4210210_norra_vallentuna_tatort,2010,268602.55
4210210_norra_vallentuna_tatort,2011,279246.05
4210210_norra_vallentuna_tatort,2012,286296.92
4210210_norra_vallentuna_tatort,2013,295735.88
4210210_norra_vallentuna_tatort,2014,299467.08
4210220_nv_a_vallentuna_tatort,2000,245905.73
4210220_nv_a_vallentuna_tatort,2001,264044.44
4210220_nv_a_vallentuna_tatort,2002,264576.06
4210220_nv_a_vallentuna_tatort,2003,277791.34
4210220_nv_a_vallentuna_tatort,2004,278791.98
4210220_nv_a_vallentuna_tatort,2005,290066.15
4210220_nv_a_vallentuna_tatort,2006,295679.08
4210220_nv_a_vallentuna_tatort,2007,311996.17
4210220_nv_a_vallentuna_tatort,2008,324216.23
4210220_nv_a_vallentuna_tatort,2009,331831.99
4210220_nv_a_vallentuna_tatort,2010,337302.46
4210220_nv_a_vallentuna_tatort,2011,349412.63
4210220_nv_a_vallentuna_tatort,2012,359274.54
4210220_nv_a_vallentuna_tatort,2013,365463.22
4210220_nv_a_vallentuna_tatort,2014,372873.99
4210320_ostra_ormsta,2000,240391.85
4210320_ostra_ormsta,2001,258804.74
4210320_ostra_ormsta,2002,268589.49
4210320_ostra_ormsta,2003,274321.34
4210320_ostra_ormsta,2004,280607.13
4210320_ostra_ormsta,2005,293756.51
4210320_ostra_ormsta,2006,304852.34
4210320_ostra_ormsta,2007,315447.37
4210320_ostra_ormsta,2008,331034.59
4210320_ostra_ormsta,2009,330806.48
4210320_ostra_ormsta,2010,337382.93
4210320_ostra_ormsta,2011,345438.77
4210320_ostra_ormsta,2012,356505.6
4210320_ostra_ormsta,2013,358398.96
4210320_ostra_ormsta,2014,366610.32
4210330_vastra_ormsta,2000,252823.2
4210330_vastra_ormsta,2001,263735.61
4210330_vastra_ormsta,2002,269711.42
4210330_vastra_ormsta,2003,276585.3
4210330_vastra_ormsta,2004,278583.24
4210330_vastra_ormsta,2005,286955.17
4210330_vastra_ormsta,2006,288211.77
4210330_vastra_ormsta,2007,301913.4
4210330_vastra_ormsta,2008,312959.16
4210330_vastra_ormsta,2009,314756.38
4210330_vastra_ormsta,2010,318814.01
4210330_vastra_ormsta,2011,321947.62
4210330_vastra_ormsta,2012,330638.83
4210330_vastra_ormsta,2013,340502.06
4210330_vastra_ormsta,2014,346135.88
4210340_aby_bostadsomr,2000,138571.67
4210340_aby_bostadsomr,2001,146702.42
4210340_aby_bostadsomr,2002,149384.3
4210340_aby_bostadsomr,2003,155829.57
4210340_aby_bostadsomr,2004,156549.26
4210340_aby_bostadsomr,2005,166258.84
4210340_aby_bostadsomr,2006,171982.01
4210340_aby_bostadsomr,2007,183428.99
4210340_aby_bostadsomr,2008,191442.64
4210340_aby_bostadsomr,2009,196819.62
4210340_aby_bostadsomr,2010,217196.15
4210340_aby_bostadsomr,2011,231533.54
4210340_aby_bostadsomr,2012,238296.77
4210340_aby_bostadsomr,2013,250048.2
4210340_aby_bostadsomr,2014,253810.62
4210410_vastra_ballsta,2000,278222.41
4210410_vastra_ballsta,2001,291102.68
4210410_vastra_ballsta,2002,299266.97
4210410_vastra_ballsta,2003,298814.73
4210410_vastra_ballsta,2004,303691.59
4210410_vastra_ballsta,2005,313733.43
4210410_vastra_ballsta,2006,328014.9
4210410_vastra_ballsta,2007,340727.24
4210410_vastra_ballsta,2008,353501.54
4210410_vastra_ballsta,2009,364084.11
4210410_vastra_ballsta,2010,363045.01
4210410_vastra_ballsta,2011,374724.56
4210410_vastra_ballsta,2012,392564.17
4210410_vastra_ballsta,2013,399858.01
4210410_vastra_ballsta,2014,412888.87
4210420_kragstalund,2000,227896.37
4210420_kragstalund,2001,239736.59
4210420_kragstalund,2002,240719.02
4210420_kragstalund,2003,252233.8
4210420_kragstalund,2004,262447.52
4210420_kragstalund,2005,270662.7
4210420_kragstalund,2006,285399.06
4210420_kragstalund,2007,302118.12
4210420_kragstalund,2008,315832.4
4210420_kragstalund,2009,320665.19
4210420_kragstalund,2010,326248.66
4210420_kragstalund,2011,333901.57
4210420_kragstalund,2012,345518.31
4210420_kragstalund,2013,351285.13
4210420_kragstalund,2014,361067.57
4210430_ballstaberg,2000,220001.4
4210430_ballstaberg,2001,236672.22
4210430_ballstaberg,2002,256465.66
4210430_ballstaberg,2003,261981.44
4210430_ballstaberg,2004,274457.08
4210430_ballstaberg,2005,287847.67
4210430_ballstaberg,2006,301797.5
4210430_ballstaberg,2007,318311.83
4210430_ballstaberg,2008,343438.86
4210430_ballstaberg,2009,345121.78
4210430_ballstaberg,2010,350589.26
4210430_ballstaberg,2011,359035.02
4210430_ballstaberg,2012,371693.53
4210430_ballstaberg,2013,379640.02
4210430_ballstaberg,2014,390493.95
4210440_okand,2000,261092.19
4210440_okand,2001,268843.68
4210440_okand,2002,280253.99
4210440_okand,2003,284835.08
4210440_okand,2004,290095.65
4210440_okand,2005,300562.04
4210440_okand,2006,308960.36
4210440_okand,2007,319606.88
4210440_okand,2008,329015.79
4210440_okand,2009,336071.22
4210510_vallentuna_glesbygd_v,2000,213499.33
4210510_vallentuna_glesbygd_v,2001,216291.43
4210510_vallentuna_glesbygd_v,2002,229905.51
4210510_vallentuna_glesbygd_v,2003,224961.68
4210510_vallentuna_glesbygd_v,2004,224925.49
4210510_vallentuna_glesbygd_v,2005,241743.27
4210510_vallentuna_glesbygd_v,2006,243425.98
4210510_vallentuna_glesbygd_v,2007,259933.39
4210510_vallentuna_glesbygd_v,2008,274012.67
4210510_vallentuna_glesbygd_v,2009,281719.73
4210510_vallentuna_glesbygd_v,2010,295653.74
4210510_vallentuna_glesbygd_v,2011,291997.03
4210510_vallentuna_glesbygd_v,2012,300632.04
4210510_vallentuna_glesbygd_v,2013,293360.25
4210510_vallentuna_glesbygd_v,2014,303016.45
4210530_vallentuna_glesbygd_no,2000,191646.7
4210530_vallentuna_glesbygd_no,2001,202657.83
4210530_vallentuna_glesbygd_no,2002,213639.17
4210530_vallentuna_glesbygd_no,2003,220717.72
4210530_vallentuna_glesbygd_no,2004,218521.51
4210530_vallentuna_glesbygd_no,2005,230088.25
4210530_vallentuna_glesbygd_no,2006,249158.73
4210530_vallentuna_glesbygd_no,2007,271749.48
4210530_vallentuna_glesbygd_no,2008,279409.52
4210530_vallentuna_glesbygd_no,2009,277830.99
4210530_vallentuna_glesbygd_no,2010,289412.21
4210530_vallentuna_glesbygd_no,2011,304605.18
4210530_vallentuna_glesbygd_no,2012,331477.26
4210530_vallentuna_glesbygd_no,2013,343165.59
4210530_vallentuna_glesbygd_no,2014,353944.34
4210540_okand,2000,169447.98
4210540_okand,2001,179399.45
4210540_okand,2002,188969.66
4210540_okand,2003,197293.85
4210540_okand,2004,206385.56
4210540_okand,2005,203690.42
4210540_okand,2006,229128.57
4210540_okand,2007,226961.86
4210540_okand,2008,247323.51
4210540_okand,2009,252370.99
4220000_markims_forsamling,2000,182088.13
4220000_markims_forsamling,2001,203469.79
4220000_markims_forsamling,2002,207529.49
4220000_markims_forsamling,2003,209246.27
4220000_markims_forsamling,2004,219027.01
4220000_markims_forsamling,2005,221361.77
4220000_markims_forsamling,2006,227105.69
4220000_markims_forsamling,2007,233498.89
4220000_markims_forsamling,2008,253997.86
4220000_markims_forsamling,2009,259786.32
4220000_markims_forsamling,2010,275823.28
4220000_markims_forsamling,2011,270692.7
4220000_markims_forsamling,2012,280797.16
4220000_markims_forsamling,2013,292208.27
4220000_markims_forsamling,2014,301201.32
4230100_lindholmen,2000,237316.8
4230100_lindholmen,2001,245728.03
4230100_lindholmen,2002,259058.53
4230100_lindholmen,2003,260913.75
4230100_lindholmen,2004,269026.71
4230100_lindholmen,2005,275030.65
4230100_lindholmen,2006,290501.25
4230100_lindholmen,2007,300695.09
4230100_lindholmen,2008,307143.27
4230100_lindholmen,2009,317261.55
4230100_lindholmen,2010,329700.03
4230100_lindholmen,2011,332908.14
4230100_lindholmen,2012,345346.74
4230100_lindholmen,2013,341840.09
4230100_lindholmen,2014,347113.77
4230500_okand,2000,194444.97
4230500_okand,2001,199936.6
4230500_okand,2002,209194.38
4230500_okand,2003,213327.31
4230500_okand,2004,230054.42
4230500_okand,2005,240935.2
4230500_okand,2006,244148.54
4230500_okand,2007,258247.13
4230500_okand,2008,276143.55
4230500_okand,2009,275954.41
4240000_frosunda_forsamling,2000,185744.13
4240000_frosunda_forsamling,2001,193959.49
4240000_frosunda_forsamling,2002,203984.53
4240000_frosunda_forsamling,2003,224987.05
4240000_frosunda_forsamling,2004,225365.24
4240000_frosunda_forsamling,2005,222037.39
4240000_frosunda_forsamling,2006,234520.54
4240000_frosunda_forsamling,2007,260938.11
4240000_frosunda_forsamling,2008,268503.07
4240000_frosunda_forsamling,2009,410525.86
4240000_frosunda_forsamling,2010,283878.5
4240000_frosunda_forsamling,2011,293080.63
4240000_frosunda_forsamling,2012,288482.01
4240000_frosunda_forsamling,2013,293429.57
4240000_frosunda_forsamling,2014,301619.76
4250100_karsta,2000,187377.92
4250100_karsta,2001,195349.1
4250100_karsta,2002,199150.27
4250100_karsta,2003,208370.34
4250100_karsta,2004,209361.01
4250100_karsta,2005,216270.09
4250100_karsta,2006,224656.18
4250100_karsta,2007,224922.37
4250100_karsta,2008,235885.88
4250100_karsta,2009,241131.19
4250100_karsta,2010,245057.83
4250100_karsta,2011,252800.88
4250100_karsta,2012,263772.62
4250100_karsta,2013,266942.48
4250100_karsta,2014,276768.11
4250200_ekskogen,2000,213283.49
4250200_ekskogen,2001,219616.33
4250200_ekskogen,2002,230483.43
4250200_ekskogen,2003,241360.25
4250200_ekskogen,2004,247363
4250200_ekskogen,2005,258671.61
4250200_ekskogen,2006,275787.02
4250200_ekskogen,2007,277336.5
4250200_ekskogen,2008,302337.26
4250200_ekskogen,2009,279673.58
4250200_ekskogen,2010,282378.4
4250200_ekskogen,2011,291366.39
4250200_ekskogen,2012,300505.45
4250200_ekskogen,2013,304294.34
4250200_ekskogen,2014,315299.34
4250500_karsta_glesbygd,2000,194142.21
4250500_karsta_glesbygd,2001,213714.6
4250500_karsta_glesbygd,2002,213238.68
4250500_karsta_glesbygd,2003,217734.07
4250500_karsta_glesbygd,2004,223190.58
4250500_karsta_glesbygd,2005,236224.45
4250500_karsta_glesbygd,2006,237018.3
4250500_karsta_glesbygd,2007,245417.35
4250500_karsta_glesbygd,2008,263337.96
4250500_karsta_glesbygd,2009,267648.84
4250500_karsta_glesbygd,2010,273754.16
4250500_karsta_glesbygd,2011,279928.78
4250500_karsta_glesbygd,2012,290214.58
4250500_karsta_glesbygd,2013,293042.16
4250500_karsta_glesbygd,2014,301408.18
4260500_vada_glesbygd,2000,207143.22
4260500_vada_glesbygd,2001,216058.6
4260500_vada_glesbygd,2002,213363.94
4260500_vada_glesbygd,2003,218849.38
4260500_vada_glesbygd,2004,224225.07
4260500_vada_glesbygd,2005,241617.13
4260500_vada_glesbygd,2006,230821.18
4260500_vada_glesbygd,2007,239608.59
4260500_vada_glesbygd,2008,257958.24
4260500_vada_glesbygd,2009,282535.53
4260500_vada_glesbygd,2010,272847.64
4260500_vada_glesbygd,2011,284651.69
4260500_vada_glesbygd,2012,296255.35
4260500_vada_glesbygd,2013,311942.62
4260500_vada_glesbygd,2014,299812.16
4270100_karby,2000,208438.82
4270100_karby,2001,224521.96
4270100_karby,2002,233164.95
4270100_karby,2003,243326.24
4270100_karby,2004,248483.68
4270100_karby,2005,247800.31
4270100_karby,2006,257898.65
4270100_karby,2007,265157.86
4270100_karby,2008,275248.76
4270100_karby,2009,279834.82
4270100_karby,2010,283752
4270100_karby,2011,298990.17
4270100_karby,2012,294047.93
