basomrade,year,cumulative_immigration_surplus_employed_aged_20_64_male
1120140_adolf_fredriks_kyrka,2013,6
1120140_adolf_fredriks_kyrka,2014,22
1120150_skandiahuset,2000,4
1120150_skandiahuset,2001,14
1120150_skandiahuset,2002,5
1120150_skandiahuset,2003,8
1120150_skandiahuset,2004,-2
1120150_skandiahuset,2005,16
1120150_skandiahuset,2006,17
1120150_skandiahuset,2007,14
1120150_skandiahuset,2008,11
1120150_skandiahuset,2009,10
1120150_skandiahuset,2010,6
1120150_skandiahuset,2011,6
1120150_skandiahuset,2012,5
1120150_skandiahuset,2013,4
1120150_skandiahuset,2014,-1
1120210_kungsstenen,2000,-7
1120210_kungsstenen,2001,9
1120210_kungsstenen,2002,8
1120210_kungsstenen,2003,14
1120210_kungsstenen,2004,42
1120210_kungsstenen,2005,48
1120210_kungsstenen,2006,55
1120210_kungsstenen,2007,59
1120210_kungsstenen,2008,82
1120210_kungsstenen,2009,113
1120210_kungsstenen,2010,110
1120210_kungsstenen,2011,102
1120210_kungsstenen,2012,87
1120210_kungsstenen,2013,86
1120210_kungsstenen,2014,78
1120220_saltmatargatan,2000,-7
1120220_saltmatargatan,2001,-9
1120220_saltmatargatan,2002,-11
1120220_saltmatargatan,2003,-6
1120220_saltmatargatan,2004,-6
1120220_saltmatargatan,2005,-9
1120220_saltmatargatan,2006,-9
1120220_saltmatargatan,2007,-6
1120220_saltmatargatan,2008,1
1120220_saltmatargatan,2009,8
1120220_saltmatargatan,2010,13
1120220_saltmatargatan,2011,7
1120220_saltmatargatan,2012,4
1120220_saltmatargatan,2013,2
1120220_saltmatargatan,2014,0
1120230_sjokatten,2000,6
1120230_sjokatten,2001,-10
1120230_sjokatten,2002,-10
1120230_sjokatten,2003,3
1120230_sjokatten,2004,8
1120230_sjokatten,2005,27
1120230_sjokatten,2006,47
1120230_sjokatten,2007,40
1120230_sjokatten,2008,46
1120230_sjokatten,2009,42
1120230_sjokatten,2010,62
1120230_sjokatten,2011,65
1120230_sjokatten,2012,79
1120230_sjokatten,2013,93
1120230_sjokatten,2014,95
1130110_atlasomradet,2000,23
1130110_atlasomradet,2001,41
1130110_atlasomradet,2002,33
1130110_atlasomradet,2003,22
1130110_atlasomradet,2004,46
1130110_atlasomradet,2005,70
1130110_atlasomradet,2006,58
1130110_atlasomradet,2007,78
1130110_atlasomradet,2008,86
1130110_atlasomradet,2009,70
1130110_atlasomradet,2010,51
1130110_atlasomradet,2011,68
1130110_atlasomradet,2012,47
1130110_atlasomradet,2013,63
1130110_atlasomradet,2014,90
1130120_gustav_vasa_kyrka,2000,25
1130120_gustav_vasa_kyrka,2001,22
1130120_gustav_vasa_kyrka,2002,39
1130120_gustav_vasa_kyrka,2003,43
1130120_gustav_vasa_kyrka,2004,71
1130120_gustav_vasa_kyrka,2005,89
1130120_gustav_vasa_kyrka,2006,107
1130120_gustav_vasa_kyrka,2007,100
1130120_gustav_vasa_kyrka,2008,91
1130120_gustav_vasa_kyrka,2009,102
1130120_gustav_vasa_kyrka,2010,114
1130120_gustav_vasa_kyrka,2011,127
1130120_gustav_vasa_kyrka,2012,136
1130120_gustav_vasa_kyrka,2013,125
1130120_gustav_vasa_kyrka,2014,118
1130130_observatoriegatan,2000,14
1130130_observatoriegatan,2001,7
1130130_observatoriegatan,2002,4
1130130_observatoriegatan,2003,19
1130130_observatoriegatan,2004,4
1130130_observatoriegatan,2005,7
1130130_observatoriegatan,2006,7
1130130_observatoriegatan,2007,24
1130130_observatoriegatan,2008,45
1130130_observatoriegatan,2009,20
1130130_observatoriegatan,2010,44
1130130_observatoriegatan,2011,49
1130130_observatoriegatan,2012,37
1130130_observatoriegatan,2013,60
1130130_observatoriegatan,2014,69
1130140_sabbatsberg,2000,4
1130140_sabbatsberg,2001,7
1130140_sabbatsberg,2002,-6
1130140_sabbatsberg,2003,-5
1130140_sabbatsberg,2004,-9
1130140_sabbatsberg,2005,-8
1130140_sabbatsberg,2006,2
1130140_sabbatsberg,2007,2
1130140_sabbatsberg,2008,66
1130140_sabbatsberg,2009,300
1130140_sabbatsberg,2010,301
1130140_sabbatsberg,2011,329
1130140_sabbatsberg,2012,333
1130140_sabbatsberg,2013,323
1130140_sabbatsberg,2014,330
1130150_polstjarnan,2000,4
1130150_polstjarnan,2001,3
1130150_polstjarnan,2002,6
1130150_polstjarnan,2003,15
1130150_polstjarnan,2004,31
1130150_polstjarnan,2005,26
1130150_polstjarnan,2006,26
1130150_polstjarnan,2007,27
1130150_polstjarnan,2008,20
1130150_polstjarnan,2009,22
1130150_polstjarnan,2010,44
1130150_polstjarnan,2011,38
1130150_polstjarnan,2012,41
1130150_polstjarnan,2013,32
1130150_polstjarnan,2014,45
1130170_betlehemskyrkan,2000,-6
1130170_betlehemskyrkan,2001,6
1130170_betlehemskyrkan,2002,11
1130170_betlehemskyrkan,2003,22
1130170_betlehemskyrkan,2004,3
1130170_betlehemskyrkan,2005,9
1130170_betlehemskyrkan,2006,8
1130170_betlehemskyrkan,2007,20
1130170_betlehemskyrkan,2008,38
1130170_betlehemskyrkan,2009,23
1130170_betlehemskyrkan,2010,18
1130170_betlehemskyrkan,2011,20
1130170_betlehemskyrkan,2012,16
1130170_betlehemskyrkan,2013,12
1130170_betlehemskyrkan,2014,36
1140110_norrtull,2000,-3
1140110_norrtull,2001,-2
1140110_norrtull,2002,1
1140110_norrtull,2003,-2
1140110_norrtull,2004,3
1140110_norrtull,2005,-1
1140110_norrtull,2006,-3
1140110_norrtull,2007,-8
1140110_norrtull,2008,-9
1140110_norrtull,2009,-8
1140110_norrtull,2010,-3
1140110_norrtull,2011,-1
1140110_norrtull,2012,-11
1140110_norrtull,2013,-9
1140110_norrtull,2014,-3
1140120_tre_liljor,2000,29
1140120_tre_liljor,2001,32
1140120_tre_liljor,2002,33
1140120_tre_liljor,2003,50
1140120_tre_liljor,2004,56
1140120_tre_liljor,2005,84
1140120_tre_liljor,2006,100
1140120_tre_liljor,2007,104
1140120_tre_liljor,2008,115
1140120_tre_liljor,2009,106
1140120_tre_liljor,2010,128
1140120_tre_liljor,2011,112
1140120_tre_liljor,2012,155
1140120_tre_liljor,2013,163
1140120_tre_liljor,2014,162
1140130_matteus_kyrka,2000,20
1140130_matteus_kyrka,2001,14
1140130_matteus_kyrka,2002,41
1140130_matteus_kyrka,2003,42
1140130_matteus_kyrka,2004,55
1140130_matteus_kyrka,2005,44
1140130_matteus_kyrka,2006,45
1140130_matteus_kyrka,2007,43
1140130_matteus_kyrka,2008,52
1140130_matteus_kyrka,2009,59
1140130_matteus_kyrka,2010,81
1140130_matteus_kyrka,2011,87
1140130_matteus_kyrka,2012,84
1140130_matteus_kyrka,2013,78
1140130_matteus_kyrka,2014,82
1140140_halsingehojden,2000,27
1140140_halsingehojden,2001,59
1140140_halsingehojden,2002,66
1140140_halsingehojden,2003,76
1140140_halsingehojden,2004,107
1140140_halsingehojden,2005,99
1140140_halsingehojden,2006,124
1140140_halsingehojden,2007,118
1140140_halsingehojden,2008,163
1140140_halsingehojden,2009,140
1140140_halsingehojden,2010,137
1140140_halsingehojden,2011,160
1140140_halsingehojden,2012,181
1140140_halsingehojden,2013,187
1140140_halsingehojden,2014,175
1140150_centralgaraget,2000,-7
1140150_centralgaraget,2001,4
1140150_centralgaraget,2002,-13
1140150_centralgaraget,2003,-3
1140150_centralgaraget,2004,14
1140150_centralgaraget,2005,25
1140150_centralgaraget,2006,29
1140150_centralgaraget,2007,34
1140150_centralgaraget,2008,66
1140150_centralgaraget,2009,56
1140150_centralgaraget,2010,68
1140150_centralgaraget,2011,65
1140150_centralgaraget,2012,69
1140150_centralgaraget,2013,79
1140150_centralgaraget,2014,86
1140210_okand,2000,2
1140210_okand,2001,-4
1140210_okand,2002,-14
1140210_okand,2003,-9
1140210_okand,2004,-3
1140210_okand,2005,9
1140210_okand,2006,6
1140210_okand,2007,5
1140210_okand,2008,11
1140210_okand,2009,12
1140212_norra_station_2,2010,-7
1140212_norra_station_2,2011,-1
1140212_norra_station_2,2012,1
1140212_norra_station_2,2013,-6
1140212_norra_station_2,2014,0
1140220_birkagarden,2000,-14
1140220_birkagarden,2001,-34
1140220_birkagarden,2002,-64
1140220_birkagarden,2003,-92
1140220_birkagarden,2004,-100
1140220_birkagarden,2005,-128
1140220_birkagarden,2006,-170
1140220_birkagarden,2007,-198
1140220_birkagarden,2008,-195
1140220_birkagarden,2009,-234
1140220_birkagarden,2010,-229
1140220_birkagarden,2011,-243
1140220_birkagarden,2012,-262
1140220_birkagarden,2013,-260
1140220_birkagarden,2014,-274
1140230_rorstrand,2000,30
1140230_rorstrand,2001,51
1140230_rorstrand,2002,73
1140230_rorstrand,2003,85
1140230_rorstrand,2004,56
1140230_rorstrand,2005,58
1140230_rorstrand,2006,38
1140230_rorstrand,2007,38
1140230_rorstrand,2008,116
1140230_rorstrand,2009,149
1140230_rorstrand,2010,143
1140230_rorstrand,2011,178
1140230_rorstrand,2012,184
1140230_rorstrand,2013,202
1140230_rorstrand,2014,179
1140240_rodaberget,2000,12
1140240_rodaberget,2001,38
1140240_rodaberget,2002,38
1140240_rodaberget,2003,39
1140240_rodaberget,2004,53
1140240_rodaberget,2005,53
1140240_rodaberget,2006,82
1140240_rodaberget,2007,112
1140240_rodaberget,2008,133
1140240_rodaberget,2009,96
1140240_rodaberget,2010,110
1140240_rodaberget,2011,81
1140240_rodaberget,2012,97
1140240_rodaberget,2013,101
1140240_rodaberget,2014,114
1140250_s_t_eriksplan,2000,31
1140250_s_t_eriksplan,2001,61
1140250_s_t_eriksplan,2002,50
1140250_s_t_eriksplan,2003,39
1140250_s_t_eriksplan,2004,46
1140250_s_t_eriksplan,2005,62
1140250_s_t_eriksplan,2006,47
1140250_s_t_eriksplan,2007,55
1140250_s_t_eriksplan,2008,66
1140250_s_t_eriksplan,2009,89
1140250_s_t_eriksplan,2010,89
1140250_s_t_eriksplan,2011,82
1140250_s_t_eriksplan,2012,69
1140250_s_t_eriksplan,2013,66
1140250_s_t_eriksplan,2014,63
1210110_roslagstull,2000,21
1210110_roslagstull,2001,41
1210110_roslagstull,2002,38
1210110_roslagstull,2003,56
1210110_roslagstull,2004,47
1210110_roslagstull,2005,60
1210110_roslagstull,2006,58
1210110_roslagstull,2007,61
1210110_roslagstull,2008,40
1210110_roslagstull,2009,75
1210110_roslagstull,2010,92
1210110_roslagstull,2011,109
1210110_roslagstull,2012,105
1210110_roslagstull,2013,94
1210110_roslagstull,2014,96
1210120_larkstaden,2000,19
1210120_larkstaden,2001,-11
1210120_larkstaden,2002,-26
1210120_larkstaden,2003,-31
1210120_larkstaden,2004,-24
1210120_larkstaden,2005,-16
1210120_larkstaden,2006,-10
1210120_larkstaden,2007,-28
1210120_larkstaden,2008,-20
1210120_larkstaden,2009,-2
1210120_larkstaden,2010,16
1210120_larkstaden,2011,18
1210120_larkstaden,2012,24
1210120_larkstaden,2013,4
1210120_larkstaden,2014,6
1210131_danderydsplan_v,2000,0
1210131_danderydsplan_v,2001,-10
1210131_danderydsplan_v,2002,-4
1210131_danderydsplan_v,2003,14
1210131_danderydsplan_v,2004,12
1210131_danderydsplan_v,2005,15
1210131_danderydsplan_v,2006,10
1210131_danderydsplan_v,2007,13
1210131_danderydsplan_v,2008,30
1210131_danderydsplan_v,2009,25
1210131_danderydsplan_v,2010,24
1210131_danderydsplan_v,2011,22
1210131_danderydsplan_v,2012,19
1210131_danderydsplan_v,2013,29
1210131_danderydsplan_v,2014,59
1210132_danderydsplan_o,2000,8
1210132_danderydsplan_o,2001,19
1210132_danderydsplan_o,2002,17
1210132_danderydsplan_o,2003,21
1210132_danderydsplan_o,2004,27
1210132_danderydsplan_o,2005,11
1210132_danderydsplan_o,2006,20
1210132_danderydsplan_o,2007,30
1210132_danderydsplan_o,2008,33
1210132_danderydsplan_o,2009,28
1210132_danderydsplan_o,2010,38
1210132_danderydsplan_o,2011,46
1210132_danderydsplan_o,2012,38
1210132_danderydsplan_o,2013,37
1210132_danderydsplan_o,2014,45
1210140_eriksberg,2000,21
1210140_eriksberg,2001,30
1210140_eriksberg,2002,50
1210140_eriksberg,2003,43
1210140_eriksberg,2004,32
1210140_eriksberg,2005,47
1210140_eriksberg,2006,70
1210140_eriksberg,2007,68
1210140_eriksberg,2008,82
1210140_eriksberg,2009,102
1210140_eriksberg,2010,103
1210140_eriksberg,2011,94
1210140_eriksberg,2012,95
1210140_eriksberg,2013,92
1210140_eriksberg,2014,93
1210151_stureplan_o,2000,-2
1210151_stureplan_o,2001,-3
1210151_stureplan_o,2002,-4
1210151_stureplan_o,2003,-7
1210151_stureplan_o,2004,-7
1210151_stureplan_o,2005,-12
1210151_stureplan_o,2006,-14
1210151_stureplan_o,2007,-10
1210151_stureplan_o,2008,-11
1210151_stureplan_o,2009,-8
1210151_stureplan_o,2010,-17
1210151_stureplan_o,2011,-19
1210151_stureplan_o,2012,-13
1210151_stureplan_o,2013,-20
1210151_stureplan_o,2014,-18
1210161_humlegarden_o,2000,7
1210161_humlegarden_o,2001,0
1210161_humlegarden_o,2002,-2
1210161_humlegarden_o,2003,-3
1210161_humlegarden_o,2004,9
1210161_humlegarden_o,2005,18
1210161_humlegarden_o,2006,6
1210161_humlegarden_o,2007,4
1210161_humlegarden_o,2008,11
1210161_humlegarden_o,2009,13
1210161_humlegarden_o,2010,5
1210161_humlegarden_o,2011,-6
1210161_humlegarden_o,2012,-7
1210161_humlegarden_o,2013,5
1210161_humlegarden_o,2014,3
1210171_stureparken_o,2000,5
1210171_stureparken_o,2001,-10
1210171_stureparken_o,2002,-5
1210171_stureparken_o,2003,-18
1210171_stureparken_o,2004,-14
1210171_stureparken_o,2005,-17
1210171_stureparken_o,2006,-15
1210171_stureparken_o,2007,-11
1210171_stureparken_o,2008,-7
1210171_stureparken_o,2009,7
1210171_stureparken_o,2010,10
1210171_stureparken_o,2011,14
1210171_stureparken_o,2012,17
1210171_stureparken_o,2013,12
1210171_stureparken_o,2014,14
1210172_stureparken_v,2000,4
1210172_stureparken_v,2001,3
1210172_stureparken_v,2002,3
1210172_stureparken_v,2003,-9
1210172_stureparken_v,2004,-6
1210172_stureparken_v,2005,-2
1210172_stureparken_v,2006,6
1210172_stureparken_v,2007,7
1210172_stureparken_v,2008,5
1210172_stureparken_v,2009,8
1210172_stureparken_v,2010,22
1210172_stureparken_v,2011,24
1210172_stureparken_v,2012,29
1210172_stureparken_v,2013,33
1210172_stureparken_v,2014,36
1210210_roslagstulls_sjukhus,2000,0
1210210_roslagstulls_sjukhus,2001,-20
1210210_roslagstulls_sjukhus,2002,-41
1210210_roslagstulls_sjukhus,2003,-59
1210210_roslagstulls_sjukhus,2004,-83
1210210_roslagstulls_sjukhus,2005,-86
1210210_roslagstulls_sjukhus,2006,-79
1210210_roslagstulls_sjukhus,2007,-70
1210210_roslagstulls_sjukhus,2008,-75
1210210_roslagstulls_sjukhus,2009,-80
1210210_roslagstulls_sjukhus,2010,-92
1210210_roslagstulls_sjukhus,2011,-112
1210210_roslagstulls_sjukhus,2012,-146
1210210_roslagstulls_sjukhus,2013,-170
1210210_roslagstulls_sjukhus,2014,-135
1210220_ostra_station,2000,-29
1210220_ostra_station,2001,-76
1210220_ostra_station,2002,-114
1210220_ostra_station,2003,-162
1210220_ostra_station,2004,-179
1210220_ostra_station,2005,-210
1210220_ostra_station,2006,-258
1210220_ostra_station,2007,-325
1210220_ostra_station,2008,-336
1210220_ostra_station,2009,-367
1210220_ostra_station,2010,-381
1210220_ostra_station,2011,-420
1210220_ostra_station,2012,-432
1210220_ostra_station,2013,-461
1210220_ostra_station,2014,-495
1210320_ekhagen,2000,-45
1210320_ekhagen,2001,-144
1210320_ekhagen,2002,-228
1210320_ekhagen,2003,-332
1210320_ekhagen,2004,-428
1210320_ekhagen,2005,-542
1210320_ekhagen,2006,-633
1210320_ekhagen,2007,-738
1210320_ekhagen,2008,-820
1210320_ekhagen,2009,-899
1210320_ekhagen,2010,-967
1210320_ekhagen,2011,-1058
1210320_ekhagen,2012,-1153
1210320_ekhagen,2013,-1228
1210320_ekhagen,2014,-1357
1210330_frescati,2000,-3
1210330_frescati,2001,4
1210330_frescati,2002,4
1210330_frescati,2003,1
1210330_frescati,2004,2
1210330_frescati,2005,-5
