basomrade,year,immigration_surplus
4122600_vastra_odenslunda,2011,-13
4122600_vastra_odenslunda,2012,6
4122600_vastra_odenslunda,2013,2
4122600_vastra_odenslunda,2014,11
4133110_sanda,2000,3
4133110_sanda,2001,-1
4133110_sanda,2002,-4
4133110_sanda,2003,-12
4133110_sanda,2004,44
4133110_sanda,2005,-15
4133110_sanda,2006,4
4133110_sanda,2007,-2
4133110_sanda,2008,99
4133110_sanda,2009,189
4133110_sanda,2010,51
4133110_sanda,2011,54
4133110_sanda,2012,83
4133110_sanda,2013,59
4133110_sanda,2014,36
4133120_ostra_odenslunda,2000,-19
4133120_ostra_odenslunda,2001,-14
4133120_ostra_odenslunda,2002,-16
4133120_ostra_odenslunda,2003,-2
4133120_ostra_odenslunda,2004,36
4133120_ostra_odenslunda,2005,73
4133120_ostra_odenslunda,2006,-48
4133120_ostra_odenslunda,2007,-14
4133120_ostra_odenslunda,2008,-9
4133120_ostra_odenslunda,2009,-10
4133120_ostra_odenslunda,2010,-48
4133120_ostra_odenslunda,2011,-7
4133120_ostra_odenslunda,2012,2
4133120_ostra_odenslunda,2013,-43
4133120_ostra_odenslunda,2014,-28
4133200_frestaby,2000,-23
4133200_frestaby,2001,-41
4133200_frestaby,2002,-10
4133200_frestaby,2003,-46
4133200_frestaby,2004,-29
4133200_frestaby,2005,2
4133200_frestaby,2006,22
4133200_frestaby,2007,83
4133200_frestaby,2008,-12
4133200_frestaby,2009,10
4133200_frestaby,2010,-20
4133200_frestaby,2011,-8
4133200_frestaby,2012,-33
4133200_frestaby,2013,0
4133200_frestaby,2014,42
4133310_vastra_bollstanas,2000,-61
4133310_vastra_bollstanas,2001,-33
4133310_vastra_bollstanas,2002,-36
4133310_vastra_bollstanas,2003,-47
4133310_vastra_bollstanas,2004,-4
4133310_vastra_bollstanas,2005,11
4133310_vastra_bollstanas,2006,-11
4133310_vastra_bollstanas,2007,12
4133310_vastra_bollstanas,2008,37
4133310_vastra_bollstanas,2009,-16
4133310_vastra_bollstanas,2010,14
4133310_vastra_bollstanas,2011,-5
4133310_vastra_bollstanas,2012,30
4133310_vastra_bollstanas,2013,-18
4133310_vastra_bollstanas,2014,1
4133330_ostra_bollstanas,2000,22
4133330_ostra_bollstanas,2001,-89
4133330_ostra_bollstanas,2002,20
4133330_ostra_bollstanas,2003,-37
4133330_ostra_bollstanas,2004,-23
4133330_ostra_bollstanas,2005,44
4133330_ostra_bollstanas,2006,29
4133330_ostra_bollstanas,2007,-70
4133330_ostra_bollstanas,2008,-54
4133330_ostra_bollstanas,2009,-29
4133330_ostra_bollstanas,2010,-10
4133330_ostra_bollstanas,2011,-10
4133330_ostra_bollstanas,2012,-58
4133330_ostra_bollstanas,2013,-23
4133330_ostra_bollstanas,2014,5
4133350_sodra_bollstanas,2000,50
4133350_sodra_bollstanas,2001,50
4133350_sodra_bollstanas,2002,-18
4133350_sodra_bollstanas,2003,-16
4133350_sodra_bollstanas,2004,19
4133350_sodra_bollstanas,2005,5
4133350_sodra_bollstanas,2006,3
4133350_sodra_bollstanas,2007,-13
4133350_sodra_bollstanas,2008,-23
4133350_sodra_bollstanas,2009,-47
4133350_sodra_bollstanas,2010,-19
4133350_sodra_bollstanas,2011,-29
4133350_sodra_bollstanas,2012,-30
4133350_sodra_bollstanas,2013,-5
4133350_sodra_bollstanas,2014,-16
4133910_fresta_norra_glesbygd,2000,7
4133910_fresta_norra_glesbygd,2001,10
4133910_fresta_norra_glesbygd,2002,44
4133910_fresta_norra_glesbygd,2003,41
4133910_fresta_norra_glesbygd,2004,1
4133910_fresta_norra_glesbygd,2005,11
4133910_fresta_norra_glesbygd,2006,10
4133910_fresta_norra_glesbygd,2007,-11
4133910_fresta_norra_glesbygd,2008,8
4133910_fresta_norra_glesbygd,2009,-15
4133910_fresta_norra_glesbygd,2010,-3
4133910_fresta_norra_glesbygd,2011,-1
4133910_fresta_norra_glesbygd,2012,2
4133910_fresta_norra_glesbygd,2013,-1
4133910_fresta_norra_glesbygd,2014,-5
4133920_fresta_sodra_glesbygd,2000,10
4133920_fresta_sodra_glesbygd,2001,-6
4133920_fresta_sodra_glesbygd,2002,-7
4133920_fresta_sodra_glesbygd,2003,-1
4133920_fresta_sodra_glesbygd,2004,15
4133920_fresta_sodra_glesbygd,2005,-3
4133920_fresta_sodra_glesbygd,2006,-6
4133920_fresta_sodra_glesbygd,2007,-2
4133920_fresta_sodra_glesbygd,2008,-7
4133920_fresta_sodra_glesbygd,2009,0
4133920_fresta_sodra_glesbygd,2010,-3
4133920_fresta_sodra_glesbygd,2011,8
4133920_fresta_sodra_glesbygd,2012,13
4133920_fresta_sodra_glesbygd,2013,-4
4133920_fresta_sodra_glesbygd,2014,-4
4210110_centrala_vallentuna,2000,17
4210110_centrala_vallentuna,2001,-2
4210110_centrala_vallentuna,2002,96
4210110_centrala_vallentuna,2003,38
4210110_centrala_vallentuna,2004,-17
4210110_centrala_vallentuna,2005,-20
4210110_centrala_vallentuna,2006,18
4210110_centrala_vallentuna,2007,18
4210110_centrala_vallentuna,2008,83
4210110_centrala_vallentuna,2009,-38
4210110_centrala_vallentuna,2010,54
4210110_centrala_vallentuna,2011,9
4210110_centrala_vallentuna,2012,78
4210110_centrala_vallentuna,2013,25
4210110_centrala_vallentuna,2014,25
4210210_norra_vallentuna_tatort,2000,-37
4210210_norra_vallentuna_tatort,2001,59
4210210_norra_vallentuna_tatort,2002,-73
4210210_norra_vallentuna_tatort,2003,-56
4210210_norra_vallentuna_tatort,2004,15
4210210_norra_vallentuna_tatort,2005,-18
4210210_norra_vallentuna_tatort,2006,-50
4210210_norra_vallentuna_tatort,2007,-34
4210210_norra_vallentuna_tatort,2008,-33
4210210_norra_vallentuna_tatort,2009,-26
4210210_norra_vallentuna_tatort,2010,6
4210210_norra_vallentuna_tatort,2011,-18
4210210_norra_vallentuna_tatort,2012,-43
4210210_norra_vallentuna_tatort,2013,-52
4210210_norra_vallentuna_tatort,2014,-11
4210220_nv_a_vallentuna_tatort,2000,73
4210220_nv_a_vallentuna_tatort,2001,7
4210220_nv_a_vallentuna_tatort,2002,-5
4210220_nv_a_vallentuna_tatort,2003,-1
4210220_nv_a_vallentuna_tatort,2004,25
4210220_nv_a_vallentuna_tatort,2005,-14
4210220_nv_a_vallentuna_tatort,2006,37
4210220_nv_a_vallentuna_tatort,2007,165
4210220_nv_a_vallentuna_tatort,2008,116
4210220_nv_a_vallentuna_tatort,2009,96
4210220_nv_a_vallentuna_tatort,2010,104
4210220_nv_a_vallentuna_tatort,2011,21
4210220_nv_a_vallentuna_tatort,2012,59
4210220_nv_a_vallentuna_tatort,2013,24
4210220_nv_a_vallentuna_tatort,2014,31
4210320_ostra_ormsta,2000,59
4210320_ostra_ormsta,2001,62
4210320_ostra_ormsta,2002,-30
4210320_ostra_ormsta,2003,-9
4210320_ostra_ormsta,2004,-18
4210320_ostra_ormsta,2005,-55
4210320_ostra_ormsta,2006,-35
4210320_ostra_ormsta,2007,-22
4210320_ostra_ormsta,2008,10
4210320_ostra_ormsta,2009,-17
4210320_ostra_ormsta,2010,14
4210320_ostra_ormsta,2011,10
4210320_ostra_ormsta,2012,-7
4210320_ostra_ormsta,2013,19
4210320_ostra_ormsta,2014,-11
4210330_vastra_ormsta,2000,3
4210330_vastra_ormsta,2001,-76
4210330_vastra_ormsta,2002,-21
4210330_vastra_ormsta,2003,-4
4210330_vastra_ormsta,2004,-28
4210330_vastra_ormsta,2005,-14
4210330_vastra_ormsta,2006,14
4210330_vastra_ormsta,2007,-41
4210330_vastra_ormsta,2008,11
4210330_vastra_ormsta,2009,-19
4210330_vastra_ormsta,2010,37
4210330_vastra_ormsta,2011,-18
4210330_vastra_ormsta,2012,-49
4210330_vastra_ormsta,2013,19
4210330_vastra_ormsta,2014,15
4210340_aby_bostadsomr,2000,42
4210340_aby_bostadsomr,2001,16
4210340_aby_bostadsomr,2002,-40
4210340_aby_bostadsomr,2003,-71
4210340_aby_bostadsomr,2004,23
4210340_aby_bostadsomr,2005,-18
4210340_aby_bostadsomr,2006,-45
4210340_aby_bostadsomr,2007,-21
4210340_aby_bostadsomr,2008,-21
4210340_aby_bostadsomr,2009,-26
4210340_aby_bostadsomr,2010,97
4210340_aby_bostadsomr,2011,33
4210340_aby_bostadsomr,2012,-12
4210340_aby_bostadsomr,2013,-14
4210340_aby_bostadsomr,2014,-8
4210410_vastra_ballsta,2000,131
4210410_vastra_ballsta,2001,1
4210410_vastra_ballsta,2002,53
4210410_vastra_ballsta,2003,49
4210410_vastra_ballsta,2004,-12
