basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_female
1140130_matteus_kyrka,2002,52
1140130_matteus_kyrka,2003,69
1140130_matteus_kyrka,2004,59
1140130_matteus_kyrka,2005,70
1140130_matteus_kyrka,2006,71
1140130_matteus_kyrka,2007,77
1140130_matteus_kyrka,2008,100
1140130_matteus_kyrka,2009,94
1140130_matteus_kyrka,2010,84
1140130_matteus_kyrka,2011,78
1140130_matteus_kyrka,2012,70
1140130_matteus_kyrka,2013,57
1140130_matteus_kyrka,2014,59
1140140_halsingehojden,2000,12
1140140_halsingehojden,2001,5
1140140_halsingehojden,2002,4
1140140_halsingehojden,2003,22
1140140_halsingehojden,2004,19
1140140_halsingehojden,2005,25
1140140_halsingehojden,2006,48
1140140_halsingehojden,2007,56
1140140_halsingehojden,2008,64
1140140_halsingehojden,2009,55
1140140_halsingehojden,2010,51
1140140_halsingehojden,2011,56
1140140_halsingehojden,2012,55
1140140_halsingehojden,2013,70
1140140_halsingehojden,2014,57
1140150_centralgaraget,2000,9
1140150_centralgaraget,2001,8
1140150_centralgaraget,2002,1
1140150_centralgaraget,2003,-3
1140150_centralgaraget,2004,1
1140150_centralgaraget,2005,15
1140150_centralgaraget,2006,8
1140150_centralgaraget,2007,0
1140150_centralgaraget,2008,28
1140150_centralgaraget,2009,27
1140150_centralgaraget,2010,22
1140150_centralgaraget,2011,8
1140150_centralgaraget,2012,3
1140150_centralgaraget,2013,9
1140150_centralgaraget,2014,7
1140210_okand,2000,-5
1140210_okand,2001,-5
1140210_okand,2002,-7
1140210_okand,2003,-7
1140210_okand,2004,-9
1140210_okand,2005,-11
1140210_okand,2006,-13
1140210_okand,2007,-12
1140210_okand,2008,-11
1140210_okand,2009,-18
1140212_norra_station_2,2010,-3
1140212_norra_station_2,2011,-7
1140212_norra_station_2,2012,-3
1140212_norra_station_2,2013,-6
1140212_norra_station_2,2014,-9
1140220_birkagarden,2000,-11
1140220_birkagarden,2001,-35
1140220_birkagarden,2002,-67
1140220_birkagarden,2003,-86
1140220_birkagarden,2004,-98
1140220_birkagarden,2005,-162
1140220_birkagarden,2006,-193
1140220_birkagarden,2007,-243
1140220_birkagarden,2008,-286
1140220_birkagarden,2009,-310
1140220_birkagarden,2010,-323
1140220_birkagarden,2011,-357
1140220_birkagarden,2012,-379
1140220_birkagarden,2013,-384
1140220_birkagarden,2014,-416
1140230_rorstrand,2000,-6
1140230_rorstrand,2001,3
1140230_rorstrand,2002,36
1140230_rorstrand,2003,56
1140230_rorstrand,2004,25
1140230_rorstrand,2005,43
1140230_rorstrand,2006,26
1140230_rorstrand,2007,3
1140230_rorstrand,2008,20
1140230_rorstrand,2009,15
1140230_rorstrand,2010,20
1140230_rorstrand,2011,30
1140230_rorstrand,2012,26
1140230_rorstrand,2013,18
1140230_rorstrand,2014,2
1140240_rodaberget,2000,19
1140240_rodaberget,2001,5
1140240_rodaberget,2002,8
1140240_rodaberget,2003,-14
1140240_rodaberget,2004,-22
1140240_rodaberget,2005,-4
1140240_rodaberget,2006,-25
1140240_rodaberget,2007,-28
1140240_rodaberget,2008,-30
1140240_rodaberget,2009,-37
1140240_rodaberget,2010,-39
1140240_rodaberget,2011,-61
1140240_rodaberget,2012,-90
1140240_rodaberget,2013,-94
1140240_rodaberget,2014,-94
1140250_s_t_eriksplan,2000,1
1140250_s_t_eriksplan,2001,9
1140250_s_t_eriksplan,2002,21
1140250_s_t_eriksplan,2003,11
1140250_s_t_eriksplan,2004,7
1140250_s_t_eriksplan,2005,15
1140250_s_t_eriksplan,2006,15
1140250_s_t_eriksplan,2007,-4
1140250_s_t_eriksplan,2008,-7
1140250_s_t_eriksplan,2009,4
1140250_s_t_eriksplan,2010,2
1140250_s_t_eriksplan,2011,-1
1140250_s_t_eriksplan,2012,-12
1140250_s_t_eriksplan,2013,-6
1140250_s_t_eriksplan,2014,-28
1210110_roslagstull,2000,19
1210110_roslagstull,2001,20
1210110_roslagstull,2002,10
1210110_roslagstull,2003,7
1210110_roslagstull,2004,-16
1210110_roslagstull,2005,-32
1210110_roslagstull,2006,-29
1210110_roslagstull,2007,-19
1210110_roslagstull,2008,-21
1210110_roslagstull,2009,-9
1210110_roslagstull,2010,2
1210110_roslagstull,2011,8
1210110_roslagstull,2012,9
1210110_roslagstull,2013,-27
1210110_roslagstull,2014,-17
1210120_larkstaden,2000,3
1210120_larkstaden,2001,1
1210120_larkstaden,2002,6
1210120_larkstaden,2003,4
1210120_larkstaden,2004,12
