basomrade,year,population_20xx_12_31_male
4133910_fresta_norra_glesbygd,2001,186
4133910_fresta_norra_glesbygd,2002,214
4133910_fresta_norra_glesbygd,2003,240
4133910_fresta_norra_glesbygd,2004,237
4133910_fresta_norra_glesbygd,2005,252
4133910_fresta_norra_glesbygd,2006,272
4133910_fresta_norra_glesbygd,2007,273
4133910_fresta_norra_glesbygd,2008,275
4133910_fresta_norra_glesbygd,2009,269
4133910_fresta_norra_glesbygd,2010,273
4133910_fresta_norra_glesbygd,2011,278
4133910_fresta_norra_glesbygd,2012,275
4133910_fresta_norra_glesbygd,2013,284
4133910_fresta_norra_glesbygd,2014,286
4133920_fresta_sodra_glesbygd,2000,73
4133920_fresta_sodra_glesbygd,2001,75
4133920_fresta_sodra_glesbygd,2002,69
4133920_fresta_sodra_glesbygd,2003,65
4133920_fresta_sodra_glesbygd,2004,68
4133920_fresta_sodra_glesbygd,2005,71
4133920_fresta_sodra_glesbygd,2006,69
4133920_fresta_sodra_glesbygd,2007,66
4133920_fresta_sodra_glesbygd,2008,62
4133920_fresta_sodra_glesbygd,2009,66
4133920_fresta_sodra_glesbygd,2010,70
4133920_fresta_sodra_glesbygd,2011,74
4133920_fresta_sodra_glesbygd,2012,80
4133920_fresta_sodra_glesbygd,2013,83
4133920_fresta_sodra_glesbygd,2014,87
4210110_centrala_vallentuna,2000,1430
4210110_centrala_vallentuna,2001,1422
4210110_centrala_vallentuna,2002,1481
4210110_centrala_vallentuna,2003,1504
4210110_centrala_vallentuna,2004,1515
4210110_centrala_vallentuna,2005,1486
4210110_centrala_vallentuna,2006,1479
4210110_centrala_vallentuna,2007,1501
4210110_centrala_vallentuna,2008,1515
4210110_centrala_vallentuna,2009,1519
4210110_centrala_vallentuna,2010,1523
4210110_centrala_vallentuna,2011,1539
4210110_centrala_vallentuna,2012,1569
4210110_centrala_vallentuna,2013,1555
4210110_centrala_vallentuna,2014,1551
4210210_norra_vallentuna_tatort,2000,1122
4210210_norra_vallentuna_tatort,2001,1166
4210210_norra_vallentuna_tatort,2002,1135
4210210_norra_vallentuna_tatort,2003,1098
4210210_norra_vallentuna_tatort,2004,1113
4210210_norra_vallentuna_tatort,2005,1120
4210210_norra_vallentuna_tatort,2006,1097
4210210_norra_vallentuna_tatort,2007,1087
4210210_norra_vallentuna_tatort,2008,1093
4210210_norra_vallentuna_tatort,2009,1109
4210210_norra_vallentuna_tatort,2010,1138
4210210_norra_vallentuna_tatort,2011,1131
4210210_norra_vallentuna_tatort,2012,1113
4210210_norra_vallentuna_tatort,2013,1108
4210210_norra_vallentuna_tatort,2014,1111
4210220_nv_a_vallentuna_tatort,2000,780
4210220_nv_a_vallentuna_tatort,2001,792
4210220_nv_a_vallentuna_tatort,2002,808
4210220_nv_a_vallentuna_tatort,2003,800
4210220_nv_a_vallentuna_tatort,2004,815
4210220_nv_a_vallentuna_tatort,2005,814
4210220_nv_a_vallentuna_tatort,2006,846
4210220_nv_a_vallentuna_tatort,2007,951
4210220_nv_a_vallentuna_tatort,2008,1016
4210220_nv_a_vallentuna_tatort,2009,1088
4210220_nv_a_vallentuna_tatort,2010,1157
4210220_nv_a_vallentuna_tatort,2011,1206
4210220_nv_a_vallentuna_tatort,2012,1247
4210220_nv_a_vallentuna_tatort,2013,1272
4210220_nv_a_vallentuna_tatort,2014,1287
4210320_ostra_ormsta,2000,905
4210320_ostra_ormsta,2001,933
4210320_ostra_ormsta,2002,934
4210320_ostra_ormsta,2003,956
4210320_ostra_ormsta,2004,971
4210320_ostra_ormsta,2005,959
4210320_ostra_ormsta,2006,942
4210320_ostra_ormsta,2007,940
4210320_ostra_ormsta,2008,953
4210320_ostra_ormsta,2009,945
4210320_ostra_ormsta,2010,959
4210320_ostra_ormsta,2011,981
4210320_ostra_ormsta,2012,993
4210320_ostra_ormsta,2013,1026
4210320_ostra_ormsta,2014,1027
4210330_vastra_ormsta,2000,867
4210330_vastra_ormsta,2001,823
4210330_vastra_ormsta,2002,835
4210330_vastra_ormsta,2003,844
4210330_vastra_ormsta,2004,838
4210330_vastra_ormsta,2005,835
4210330_vastra_ormsta,2006,842
4210330_vastra_ormsta,2007,828
4210330_vastra_ormsta,2008,844
4210330_vastra_ormsta,2009,845
4210330_vastra_ormsta,2010,871
4210330_vastra_ormsta,2011,854
4210330_vastra_ormsta,2012,852
4210330_vastra_ormsta,2013,857
4210330_vastra_ormsta,2014,884
4210340_aby_bostadsomr,2000,435
4210340_aby_bostadsomr,2001,461
4210340_aby_bostadsomr,2002,455
4210340_aby_bostadsomr,2003,419
4210340_aby_bostadsomr,2004,439
4210340_aby_bostadsomr,2005,433
4210340_aby_bostadsomr,2006,420
4210340_aby_bostadsomr,2007,418
4210340_aby_bostadsomr,2008,427
4210340_aby_bostadsomr,2009,410
4210340_aby_bostadsomr,2010,460
4210340_aby_bostadsomr,2011,489
4210340_aby_bostadsomr,2012,493
4210340_aby_bostadsomr,2013,490
4210340_aby_bostadsomr,2014,502
4210410_vastra_ballsta,2000,1148
4210410_vastra_ballsta,2001,1166
4210410_vastra_ballsta,2002,1207
4210410_vastra_ballsta,2003,1258
4210410_vastra_ballsta,2004,1284
4210410_vastra_ballsta,2005,1301
4210410_vastra_ballsta,2006,1341
4210410_vastra_ballsta,2007,1347
4210410_vastra_ballsta,2008,1342
4210410_vastra_ballsta,2009,1358
4210410_vastra_ballsta,2010,1449
4210410_vastra_ballsta,2011,1527
4210410_vastra_ballsta,2012,1559
4210410_vastra_ballsta,2013,1603
4210410_vastra_ballsta,2014,1633
4210420_kragstalund,2000,778
4210420_kragstalund,2001,767
4210420_kragstalund,2002,777
4210420_kragstalund,2003,831
4210420_kragstalund,2004,903
4210420_kragstalund,2005,1046
4210420_kragstalund,2006,1123
4210420_kragstalund,2007,1163
4210420_kragstalund,2008,1162
4210420_kragstalund,2009,1167
4210420_kragstalund,2010,1181
4210420_kragstalund,2011,1201
4210420_kragstalund,2012,1206
4210420_kragstalund,2013,1203
4210420_kragstalund,2014,1175
4210430_ballstaberg,2000,200
4210430_ballstaberg,2001,239
4210430_ballstaberg,2002,271
4210430_ballstaberg,2003,327
4210430_ballstaberg,2004,423
4210430_ballstaberg,2005,516
4210430_ballstaberg,2006,594
4210430_ballstaberg,2007,648
4210430_ballstaberg,2008,712
4210430_ballstaberg,2009,782
4210430_ballstaberg,2010,834
4210430_ballstaberg,2011,897
4210430_ballstaberg,2012,914
4210430_ballstaberg,2013,909
4210430_ballstaberg,2014,922
4210440_okand,2000,1279
4210440_okand,2001,1297
4210440_okand,2002,1277
4210440_okand,2003,1298
4210440_okand,2004,1317
4210440_okand,2005,1320
4210440_okand,2006,1331
4210440_okand,2007,1346
4210440_okand,2008,1361
4210440_okand,2009,1352
4210510_vallentuna_glesbygd_v,2000,298
4210510_vallentuna_glesbygd_v,2001,297
4210510_vallentuna_glesbygd_v,2002,300
4210510_vallentuna_glesbygd_v,2003,306
4210510_vallentuna_glesbygd_v,2004,317
4210510_vallentuna_glesbygd_v,2005,306
4210510_vallentuna_glesbygd_v,2006,312
4210510_vallentuna_glesbygd_v,2007,315
4210510_vallentuna_glesbygd_v,2008,316
4210510_vallentuna_glesbygd_v,2009,325
4210510_vallentuna_glesbygd_v,2010,317
4210510_vallentuna_glesbygd_v,2011,334
4210510_vallentuna_glesbygd_v,2012,356
4210510_vallentuna_glesbygd_v,2013,357
4210510_vallentuna_glesbygd_v,2014,366
4210530_vallentuna_glesbygd_no,2000,159
4210530_vallentuna_glesbygd_no,2001,161
4210530_vallentuna_glesbygd_no,2002,166
4210530_vallentuna_glesbygd_no,2003,166
4210530_vallentuna_glesbygd_no,2004,168
4210530_vallentuna_glesbygd_no,2005,172
4210530_vallentuna_glesbygd_no,2006,174
4210530_vallentuna_glesbygd_no,2007,199
4210530_vallentuna_glesbygd_no,2008,199
4210530_vallentuna_glesbygd_no,2009,220
4210530_vallentuna_glesbygd_no,2010,245
4210530_vallentuna_glesbygd_no,2011,263
4210530_vallentuna_glesbygd_no,2012,269
4210530_vallentuna_glesbygd_no,2013,292
4210530_vallentuna_glesbygd_no,2014,316
4210540_okand,2000,82
4210540_okand,2001,87
4210540_okand,2002,88
4210540_okand,2003,92
4210540_okand,2004,97
4210540_okand,2005,85
4210540_okand,2006,81
4210540_okand,2007,77
4210540_okand,2008,89
4210540_okand,2009,92
4220000_markims_forsamling,2000,162
4220000_markims_forsamling,2001,160
4220000_markims_forsamling,2002,160
4220000_markims_forsamling,2003,161
4220000_markims_forsamling,2004,161
4220000_markims_forsamling,2005,165
4220000_markims_forsamling,2006,161
4220000_markims_forsamling,2007,158
4220000_markims_forsamling,2008,157
4220000_markims_forsamling,2009,153
4220000_markims_forsamling,2010,153
4220000_markims_forsamling,2011,153
4220000_markims_forsamling,2012,157
4220000_markims_forsamling,2013,162
4220000_markims_forsamling,2014,160
4230100_lindholmen,2000,391
4230100_lindholmen,2001,395
4230100_lindholmen,2002,402
4230100_lindholmen,2003,402
4230100_lindholmen,2004,403
4230100_lindholmen,2005,409
4230100_lindholmen,2006,428
4230100_lindholmen,2007,431
4230100_lindholmen,2008,441
4230100_lindholmen,2009,434
4230100_lindholmen,2010,436
4230100_lindholmen,2011,435
4230100_lindholmen,2012,444
4230100_lindholmen,2013,445
4230100_lindholmen,2014,452
4230500_okand,2000,153
4230500_okand,2001,158
4230500_okand,2002,154
4230500_okand,2003,157
4230500_okand,2004,150
4230500_okand,2005,150
4230500_okand,2006,146
4230500_okand,2007,146
4230500_okand,2008,149
4230500_okand,2009,150
4240000_frosunda_forsamling,2000,309
4240000_frosunda_forsamling,2001,299
4240000_frosunda_forsamling,2002,298
4240000_frosunda_forsamling,2003,319
4240000_frosunda_forsamling,2004,323
4240000_frosunda_forsamling,2005,319
4240000_frosunda_forsamling,2006,319
4240000_frosunda_forsamling,2007,328
4240000_frosunda_forsamling,2008,332
4240000_frosunda_forsamling,2009,335
4240000_frosunda_forsamling,2010,342
4240000_frosunda_forsamling,2011,336
4240000_frosunda_forsamling,2012,346
4240000_frosunda_forsamling,2013,359
4240000_frosunda_forsamling,2014,370
4250100_karsta,2000,219
4250100_karsta,2001,216
4250100_karsta,2002,214
4250100_karsta,2003,214
4250100_karsta,2004,212
4250100_karsta,2005,215
4250100_karsta,2006,218
4250100_karsta,2007,214
4250100_karsta,2008,222
4250100_karsta,2009,232
4250100_karsta,2010,236
4250100_karsta,2011,244
4250100_karsta,2012,258
4250100_karsta,2013,243
4250100_karsta,2014,233
4250200_ekskogen,2000,106
4250200_ekskogen,2001,111
4250200_ekskogen,2002,112
4250200_ekskogen,2003,108
4250200_ekskogen,2004,102
4250200_ekskogen,2005,99
4250200_ekskogen,2006,95
4250200_ekskogen,2007,97
4250200_ekskogen,2008,94
4250200_ekskogen,2009,95
4250200_ekskogen,2010,94
4250200_ekskogen,2011,91
4250200_ekskogen,2012,89
4250200_ekskogen,2013,97
4250200_ekskogen,2014,95
4250500_karsta_glesbygd,2000,312
4250500_karsta_glesbygd,2001,330
4250500_karsta_glesbygd,2002,327
4250500_karsta_glesbygd,2003,330
4250500_karsta_glesbygd,2004,327
4250500_karsta_glesbygd,2005,328
4250500_karsta_glesbygd,2006,352
4250500_karsta_glesbygd,2007,362
4250500_karsta_glesbygd,2008,371
4250500_karsta_glesbygd,2009,373
4250500_karsta_glesbygd,2010,378
4250500_karsta_glesbygd,2011,383
4250500_karsta_glesbygd,2012,383
4250500_karsta_glesbygd,2013,395
4250500_karsta_glesbygd,2014,407
4260500_vada_glesbygd,2000,108
4260500_vada_glesbygd,2001,105
4260500_vada_glesbygd,2002,103
4260500_vada_glesbygd,2003,110
4260500_vada_glesbygd,2004,112
4260500_vada_glesbygd,2005,119
4260500_vada_glesbygd,2006,118
4260500_vada_glesbygd,2007,119
4260500_vada_glesbygd,2008,116
4260500_vada_glesbygd,2009,115
4260500_vada_glesbygd,2010,127
4260500_vada_glesbygd,2011,129
4260500_vada_glesbygd,2012,131
4260500_vada_glesbygd,2013,132
4260500_vada_glesbygd,2014,135
4270100_karby,2000,380
4270100_karby,2001,375
4270100_karby,2002,373
4270100_karby,2003,367
4270100_karby,2004,359
4270100_karby,2005,364
4270100_karby,2006,378
4270100_karby,2007,397
4270100_karby,2008,381
4270100_karby,2009,385
4270100_karby,2010,378
4270100_karby,2011,374
4270100_karby,2012,378
4270100_karby,2013,390
4270100_karby,2014,386
4270200_brottby,2000,93
4270200_brottby,2001,92
4270200_brottby,2002,92
4270200_brottby,2003,91
4270200_brottby,2004,94
4270200_brottby,2005,93
4270200_brottby,2006,94
4270200_brottby,2007,100
4270200_brottby,2008,100
4270200_brottby,2009,99
4270200_brottby,2010,98
4270200_brottby,2011,100
4270200_brottby,2012,102
4270200_brottby,2013,102
4270200_brottby,2014,103
4270501_ovr_osseby_garns_glesbygd,2000,501
4270501_ovr_osseby_garns_glesbygd,2001,514
4270501_ovr_osseby_garns_glesbygd,2002,536
4270501_ovr_osseby_garns_glesbygd,2003,547
4270501_ovr_osseby_garns_glesbygd,2004,567
4270501_ovr_osseby_garns_glesbygd,2005,563
4270501_ovr_osseby_garns_glesbygd,2006,565
4270501_ovr_osseby_garns_glesbygd,2007,562
4270501_ovr_osseby_garns_glesbygd,2008,598
4270501_ovr_osseby_garns_glesbygd,2009,616
4270501_ovr_osseby_garns_glesbygd,2010,628
4270501_ovr_osseby_garns_glesbygd,2011,621
4270501_ovr_osseby_garns_glesbygd,2012,633
4270501_ovr_osseby_garns_glesbygd,2013,640
4270501_ovr_osseby_garns_glesbygd,2014,645
4270502_algeby_garns_ekskogen,2000,130
4270502_algeby_garns_ekskogen,2001,139
4270502_algeby_garns_ekskogen,2002,142
4270502_algeby_garns_ekskogen,2003,146
4270502_algeby_garns_ekskogen,2004,150
4270502_algeby_garns_ekskogen,2005,152
4270502_algeby_garns_ekskogen,2006,155
4270502_algeby_garns_ekskogen,2007,168
4270502_algeby_garns_ekskogen,2008,170
4270502_algeby_garns_ekskogen,2009,166
4270502_algeby_garns_ekskogen,2010,160
4270502_algeby_garns_ekskogen,2011,161
4270502_algeby_garns_ekskogen,2012,169
4270502_algeby_garns_ekskogen,2013,171
4270502_algeby_garns_ekskogen,2014,188
4280000_angarns_forsamling,2000,170
4280000_angarns_forsamling,2001,179
4280000_angarns_forsamling,2002,188
4280000_angarns_forsamling,2003,183
4280000_angarns_forsamling,2004,186
4280000_angarns_forsamling,2005,193
4280000_angarns_forsamling,2006,193
4280000_angarns_forsamling,2007,200
4280000_angarns_forsamling,2008,207
4280000_angarns_forsamling,2009,212
4280000_angarns_forsamling,2010,214
4280000_angarns_forsamling,2011,222
4280000_angarns_forsamling,2012,218
4280000_angarns_forsamling,2013,226
4280000_angarns_forsamling,2014,232
4440110_ljustero,2000,779
4440110_ljustero,2001,783
4440110_ljustero,2002,801
4440110_ljustero,2003,818
4440110_ljustero,2004,825
4440110_ljustero,2005,827
4440110_ljustero,2006,832
4440110_ljustero,2007,820
4440110_ljustero,2008,811
4440110_ljustero,2009,826
4440110_ljustero,2010,820
4440110_ljustero,2011,818
4440110_ljustero,2012,810
4440110_ljustero,2013,812
4440110_ljustero,2014,809
4440120_ingmarso_m_fl_oar,2000,113
4440120_ingmarso_m_fl_oar,2001,111
4440120_ingmarso_m_fl_oar,2002,111
4440120_ingmarso_m_fl_oar,2003,122
4440120_ingmarso_m_fl_oar,2004,121
4440120_ingmarso_m_fl_oar,2005,127
4440120_ingmarso_m_fl_oar,2006,130
4440120_ingmarso_m_fl_oar,2007,128
4440120_ingmarso_m_fl_oar,2008,129
4440120_ingmarso_m_fl_oar,2009,127
4440120_ingmarso_m_fl_oar,2010,128
4440120_ingmarso_m_fl_oar,2011,129
4440120_ingmarso_m_fl_oar,2012,125
4440120_ingmarso_m_fl_oar,2013,119
4440120_ingmarso_m_fl_oar,2014,111
4440200_roslags_kulla_fd_forsaml,2000,285
4440200_roslags_kulla_fd_forsaml,2001,288
4440200_roslags_kulla_fd_forsaml,2002,297
4440200_roslags_kulla_fd_forsaml,2003,292
4440200_roslags_kulla_fd_forsaml,2004,296
