basomrade,year,cumulative_immigration_surplus_female
1110250_elverket,2007,-20
1110250_elverket,2008,-24
1110250_elverket,2009,-27
1110250_elverket,2010,-37
1110250_elverket,2011,-43
1110250_elverket,2012,-49
1110250_elverket,2013,-55
1110250_elverket,2014,-66
1120110_tegnerlunden,2000,-22
1120110_tegnerlunden,2001,-15
1120110_tegnerlunden,2002,11
1120110_tegnerlunden,2003,12
1120110_tegnerlunden,2004,3
1120110_tegnerlunden,2005,-7
1120110_tegnerlunden,2006,2
1120110_tegnerlunden,2007,10
1120110_tegnerlunden,2008,3
1120110_tegnerlunden,2009,-15
1120110_tegnerlunden,2010,-39
1120110_tegnerlunden,2011,-1
1120110_tegnerlunden,2012,-23
1120110_tegnerlunden,2013,-49
1120110_tegnerlunden,2014,-70
1120120_tandlakarhogskolan,2000,-5
1120120_tandlakarhogskolan,2001,-10
1120120_tandlakarhogskolan,2002,-7
1120120_tandlakarhogskolan,2003,-11
1120120_tandlakarhogskolan,2004,-3
1120120_tandlakarhogskolan,2005,-5
1120120_tandlakarhogskolan,2006,-5
1120120_tandlakarhogskolan,2007,-14
1120120_tandlakarhogskolan,2008,0
1120120_tandlakarhogskolan,2009,-8
1120120_tandlakarhogskolan,2010,-8
1120120_tandlakarhogskolan,2011,-17
1120120_tandlakarhogskolan,2012,2
1120120_tandlakarhogskolan,2013,4
1120120_tandlakarhogskolan,2014,12
1120131_norra_bantorget_o,2000,-14
1120131_norra_bantorget_o,2001,-16
1120131_norra_bantorget_o,2002,-26
1120131_norra_bantorget_o,2003,-25
1120131_norra_bantorget_o,2004,-33
1120131_norra_bantorget_o,2005,-30
1120131_norra_bantorget_o,2006,-38
1120131_norra_bantorget_o,2007,-39
1120131_norra_bantorget_o,2008,2
1120131_norra_bantorget_o,2009,33
1120131_norra_bantorget_o,2010,44
1120131_norra_bantorget_o,2011,44
1120131_norra_bantorget_o,2012,41
1120131_norra_bantorget_o,2013,26
1120131_norra_bantorget_o,2014,36
1120132_norra_bantorget_v,2010,18
1120132_norra_bantorget_v,2011,24
1120132_norra_bantorget_v,2012,28
1120132_norra_bantorget_v,2013,27
1120132_norra_bantorget_v,2014,21
1120140_adolf_fredriks_kyrka,2000,-5
1120140_adolf_fredriks_kyrka,2001,-14
1120140_adolf_fredriks_kyrka,2002,-13
1120140_adolf_fredriks_kyrka,2003,-10
1120140_adolf_fredriks_kyrka,2004,-14
1120140_adolf_fredriks_kyrka,2005,-15
1120140_adolf_fredriks_kyrka,2006,-24
1120140_adolf_fredriks_kyrka,2007,-28
1120140_adolf_fredriks_kyrka,2008,-18
1120140_adolf_fredriks_kyrka,2009,-20
1120140_adolf_fredriks_kyrka,2010,-17
1120140_adolf_fredriks_kyrka,2011,-25
1120140_adolf_fredriks_kyrka,2012,-60
1120140_adolf_fredriks_kyrka,2013,-60
1120140_adolf_fredriks_kyrka,2014,-34
1120150_skandiahuset,2000,10
1120150_skandiahuset,2001,6
1120150_skandiahuset,2002,-5
1120150_skandiahuset,2003,10
1120150_skandiahuset,2004,-7
1120150_skandiahuset,2005,-6
1120150_skandiahuset,2006,-8
1120150_skandiahuset,2007,2
1120150_skandiahuset,2008,-5
1120150_skandiahuset,2009,-2
1120150_skandiahuset,2010,11
1120150_skandiahuset,2011,12
1120150_skandiahuset,2012,10
1120150_skandiahuset,2013,10
1120150_skandiahuset,2014,-2
1120210_kungsstenen,2000,15
1120210_kungsstenen,2001,25
1120210_kungsstenen,2002,2
1120210_kungsstenen,2003,-2
1120210_kungsstenen,2004,4
1120210_kungsstenen,2005,-6
1120210_kungsstenen,2006,31
1120210_kungsstenen,2007,3
1120210_kungsstenen,2008,-2
1120210_kungsstenen,2009,24
1120210_kungsstenen,2010,21
1120210_kungsstenen,2011,17
1120210_kungsstenen,2012,-11
1120210_kungsstenen,2013,-37
1120210_kungsstenen,2014,-35
1120220_saltmatargatan,2000,7
1120220_saltmatargatan,2001,1
1120220_saltmatargatan,2002,-3
1120220_saltmatargatan,2003,-10
1120220_saltmatargatan,2004,-11
1120220_saltmatargatan,2005,-16
1120220_saltmatargatan,2006,-10
1120220_saltmatargatan,2007,-9
1120220_saltmatargatan,2008,-8
1120220_saltmatargatan,2009,-7
1120220_saltmatargatan,2010,-1
1120220_saltmatargatan,2011,-4
1120220_saltmatargatan,2012,0
1120220_saltmatargatan,2013,-2
1120220_saltmatargatan,2014,3
1120230_sjokatten,2000,6
1120230_sjokatten,2001,14
1120230_sjokatten,2002,12
1120230_sjokatten,2003,10
1120230_sjokatten,2004,3
1120230_sjokatten,2005,22
1120230_sjokatten,2006,51
1120230_sjokatten,2007,43
1120230_sjokatten,2008,37
1120230_sjokatten,2009,34
1120230_sjokatten,2010,35
1120230_sjokatten,2011,20
1120230_sjokatten,2012,11
1120230_sjokatten,2013,0
1120230_sjokatten,2014,-27
1130110_atlasomradet,2000,0
1130110_atlasomradet,2001,4
1130110_atlasomradet,2002,21
1130110_atlasomradet,2003,14
