basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64
1120210_kungsstenen,2013,12
1120210_kungsstenen,2014,-13
1120220_saltmatargatan,2000,2
1120220_saltmatargatan,2001,2
1120220_saltmatargatan,2002,4
1120220_saltmatargatan,2003,6
1120220_saltmatargatan,2004,6
1120220_saltmatargatan,2005,10
1120220_saltmatargatan,2006,18
1120220_saltmatargatan,2007,15
1120220_saltmatargatan,2008,25
1120220_saltmatargatan,2009,28
1120220_saltmatargatan,2010,28
1120220_saltmatargatan,2011,16
1120220_saltmatargatan,2012,16
1120220_saltmatargatan,2013,9
1120220_saltmatargatan,2014,8
1120230_sjokatten,2000,11
1120230_sjokatten,2001,11
1120230_sjokatten,2002,9
1120230_sjokatten,2003,10
1120230_sjokatten,2004,8
1120230_sjokatten,2005,29
1120230_sjokatten,2006,41
1120230_sjokatten,2007,41
1120230_sjokatten,2008,46
1120230_sjokatten,2009,47
1120230_sjokatten,2010,63
1120230_sjokatten,2011,57
1120230_sjokatten,2012,36
1120230_sjokatten,2013,22
1120230_sjokatten,2014,16
1130110_atlasomradet,2000,19
1130110_atlasomradet,2001,46
1130110_atlasomradet,2002,27
1130110_atlasomradet,2003,15
1130110_atlasomradet,2004,22
1130110_atlasomradet,2005,29
1130110_atlasomradet,2006,8
1130110_atlasomradet,2007,15
1130110_atlasomradet,2008,33
1130110_atlasomradet,2009,16
1130110_atlasomradet,2010,18
1130110_atlasomradet,2011,-21
1130110_atlasomradet,2012,-24
1130110_atlasomradet,2013,-22
1130110_atlasomradet,2014,-26
1130120_gustav_vasa_kyrka,2000,10
1130120_gustav_vasa_kyrka,2001,4
1130120_gustav_vasa_kyrka,2002,39
1130120_gustav_vasa_kyrka,2003,48
1130120_gustav_vasa_kyrka,2004,47
1130120_gustav_vasa_kyrka,2005,82
1130120_gustav_vasa_kyrka,2006,115
1130120_gustav_vasa_kyrka,2007,98
1130120_gustav_vasa_kyrka,2008,81
1130120_gustav_vasa_kyrka,2009,78
1130120_gustav_vasa_kyrka,2010,85
1130120_gustav_vasa_kyrka,2011,105
1130120_gustav_vasa_kyrka,2012,123
1130120_gustav_vasa_kyrka,2013,125
1130120_gustav_vasa_kyrka,2014,117
1130130_observatoriegatan,2000,23
1130130_observatoriegatan,2001,4
1130130_observatoriegatan,2002,16
1130130_observatoriegatan,2003,1
1130130_observatoriegatan,2004,33
1130130_observatoriegatan,2005,31
1130130_observatoriegatan,2006,25
1130130_observatoriegatan,2007,35
1130130_observatoriegatan,2008,40
1130130_observatoriegatan,2009,36
1130130_observatoriegatan,2010,53
1130130_observatoriegatan,2011,83
1130130_observatoriegatan,2012,55
1130130_observatoriegatan,2013,61
1130130_observatoriegatan,2014,80
1130140_sabbatsberg,2000,-5
1130140_sabbatsberg,2001,-20
1130140_sabbatsberg,2002,-15
1130140_sabbatsberg,2003,-17
1130140_sabbatsberg,2004,-21
1130140_sabbatsberg,2005,-18
1130140_sabbatsberg,2006,-19
1130140_sabbatsberg,2007,-11
1130140_sabbatsberg,2008,71
1130140_sabbatsberg,2009,317
1130140_sabbatsberg,2010,324
1130140_sabbatsberg,2011,339
1130140_sabbatsberg,2012,326
1130140_sabbatsberg,2013,314
1130140_sabbatsberg,2014,294
1130150_polstjarnan,2000,5
1130150_polstjarnan,2001,15
1130150_polstjarnan,2002,28
1130150_polstjarnan,2003,31
1130150_polstjarnan,2004,41
1130150_polstjarnan,2005,30
1130150_polstjarnan,2006,16
1130150_polstjarnan,2007,9
1130150_polstjarnan,2008,18
1130150_polstjarnan,2009,2
1130150_polstjarnan,2010,24
1130150_polstjarnan,2011,4
1130150_polstjarnan,2012,9
1130150_polstjarnan,2013,1
1130150_polstjarnan,2014,-14
1130170_betlehemskyrkan,2000,-11
1130170_betlehemskyrkan,2001,-3
1130170_betlehemskyrkan,2002,-4
1130170_betlehemskyrkan,2003,12
1130170_betlehemskyrkan,2004,-4
1130170_betlehemskyrkan,2005,2
1130170_betlehemskyrkan,2006,-3
1130170_betlehemskyrkan,2007,-4
1130170_betlehemskyrkan,2008,23
1130170_betlehemskyrkan,2009,-8
1130170_betlehemskyrkan,2010,-43
1130170_betlehemskyrkan,2011,-44
1130170_betlehemskyrkan,2012,-59
1130170_betlehemskyrkan,2013,-88
1130170_betlehemskyrkan,2014,-72
1140110_norrtull,2000,0
1140110_norrtull,2001,3
1140110_norrtull,2002,-3
1140110_norrtull,2003,-3
1140110_norrtull,2004,-2
1140110_norrtull,2005,-2
1140110_norrtull,2006,-2
1140110_norrtull,2007,-3
1140110_norrtull,2008,-8
1140110_norrtull,2009,-15
1140110_norrtull,2010,-10
1140110_norrtull,2011,-6
1140110_norrtull,2012,-18
1140110_norrtull,2013,-17
1140110_norrtull,2014,-11
1140120_tre_liljor,2000,34
1140120_tre_liljor,2001,56
1140120_tre_liljor,2002,51
1140120_tre_liljor,2003,84
1140120_tre_liljor,2004,89
1140120_tre_liljor,2005,98
1140120_tre_liljor,2006,135
1140120_tre_liljor,2007,152
1140120_tre_liljor,2008,125
1140120_tre_liljor,2009,131
1140120_tre_liljor,2010,126
1140120_tre_liljor,2011,122
1140120_tre_liljor,2012,146
1140120_tre_liljor,2013,132
1140120_tre_liljor,2014,130
1140130_matteus_kyrka,2000,20
1140130_matteus_kyrka,2001,50
1140130_matteus_kyrka,2002,109
1140130_matteus_kyrka,2003,131
1140130_matteus_kyrka,2004,130
1140130_matteus_kyrka,2005,133
1140130_matteus_kyrka,2006,120
1140130_matteus_kyrka,2007,144
1140130_matteus_kyrka,2008,165
1140130_matteus_kyrka,2009,159
1140130_matteus_kyrka,2010,156
1140130_matteus_kyrka,2011,153
1140130_matteus_kyrka,2012,136
1140130_matteus_kyrka,2013,124
1140130_matteus_kyrka,2014,149
1140140_halsingehojden,2000,31
1140140_halsingehojden,2001,30
1140140_halsingehojden,2002,33
1140140_halsingehojden,2003,54
1140140_halsingehojden,2004,73
1140140_halsingehojden,2005,82
1140140_halsingehojden,2006,137
1140140_halsingehojden,2007,142
1140140_halsingehojden,2008,174
1140140_halsingehojden,2009,167
1140140_halsingehojden,2010,164
1140140_halsingehojden,2011,184
1140140_halsingehojden,2012,199
1140140_halsingehojden,2013,208
1140140_halsingehojden,2014,178
1140150_centralgaraget,2000,1
1140150_centralgaraget,2001,8
1140150_centralgaraget,2002,-6
1140150_centralgaraget,2003,-5
1140150_centralgaraget,2004,2
1140150_centralgaraget,2005,21
1140150_centralgaraget,2006,6
1140150_centralgaraget,2007,4
