basomrade,year,cumulative_immigration_surplus_min_3_years_of_higher_education_aged_25_64_male
1120230_sjokatten,2005,19
1120230_sjokatten,2006,28
1120230_sjokatten,2007,28
1120230_sjokatten,2008,25
1120230_sjokatten,2009,31
1120230_sjokatten,2010,50
1120230_sjokatten,2011,44
1120230_sjokatten,2012,41
1120230_sjokatten,2013,34
1120230_sjokatten,2014,41
1130110_atlasomradet,2000,17
1130110_atlasomradet,2001,29
1130110_atlasomradet,2002,14
1130110_atlasomradet,2003,10
1130110_atlasomradet,2004,31
1130110_atlasomradet,2005,38
1130110_atlasomradet,2006,31
1130110_atlasomradet,2007,50
1130110_atlasomradet,2008,61
1130110_atlasomradet,2009,60
1130110_atlasomradet,2010,42
1130110_atlasomradet,2011,48
1130110_atlasomradet,2012,41
1130110_atlasomradet,2013,41
1130110_atlasomradet,2014,54
1130120_gustav_vasa_kyrka,2000,8
1130120_gustav_vasa_kyrka,2001,17
1130120_gustav_vasa_kyrka,2002,28
1130120_gustav_vasa_kyrka,2003,33
1130120_gustav_vasa_kyrka,2004,27
1130120_gustav_vasa_kyrka,2005,53
1130120_gustav_vasa_kyrka,2006,69
1130120_gustav_vasa_kyrka,2007,53
1130120_gustav_vasa_kyrka,2008,49
1130120_gustav_vasa_kyrka,2009,45
1130120_gustav_vasa_kyrka,2010,55
1130120_gustav_vasa_kyrka,2011,69
1130120_gustav_vasa_kyrka,2012,76
1130120_gustav_vasa_kyrka,2013,78
1130120_gustav_vasa_kyrka,2014,75
1130130_observatoriegatan,2000,4
1130130_observatoriegatan,2001,-9
1130130_observatoriegatan,2002,5
1130130_observatoriegatan,2003,-6
1130130_observatoriegatan,2004,3
1130130_observatoriegatan,2005,12
1130130_observatoriegatan,2006,10
1130130_observatoriegatan,2007,23
1130130_observatoriegatan,2008,42
1130130_observatoriegatan,2009,39
1130130_observatoriegatan,2010,47
1130130_observatoriegatan,2011,65
1130130_observatoriegatan,2012,59
1130130_observatoriegatan,2013,72
1130130_observatoriegatan,2014,79
1130140_sabbatsberg,2000,0
1130140_sabbatsberg,2001,-5
1130140_sabbatsberg,2002,-6
1130140_sabbatsberg,2003,-1
1130140_sabbatsberg,2004,-2
1130140_sabbatsberg,2005,4
1130140_sabbatsberg,2006,5
1130140_sabbatsberg,2007,10
1130140_sabbatsberg,2008,54
1130140_sabbatsberg,2009,169
1130140_sabbatsberg,2010,168
1130140_sabbatsberg,2011,179
1130140_sabbatsberg,2012,171
1130140_sabbatsberg,2013,164
1130140_sabbatsberg,2014,148
1130150_polstjarnan,2000,6
1130150_polstjarnan,2001,6
1130150_polstjarnan,2002,7
1130150_polstjarnan,2003,12
1130150_polstjarnan,2004,16
1130150_polstjarnan,2005,15
1130150_polstjarnan,2006,10
1130150_polstjarnan,2007,15
1130150_polstjarnan,2008,6
1130150_polstjarnan,2009,7
1130150_polstjarnan,2010,13
1130150_polstjarnan,2011,6
1130150_polstjarnan,2012,7
1130150_polstjarnan,2013,-7
1130150_polstjarnan,2014,-7
1130170_betlehemskyrkan,2000,0
1130170_betlehemskyrkan,2001,11
1130170_betlehemskyrkan,2002,13
1130170_betlehemskyrkan,2003,24
1130170_betlehemskyrkan,2004,14
1130170_betlehemskyrkan,2005,11
1130170_betlehemskyrkan,2006,12
1130170_betlehemskyrkan,2007,20
1130170_betlehemskyrkan,2008,31
1130170_betlehemskyrkan,2009,21
1130170_betlehemskyrkan,2010,12
1130170_betlehemskyrkan,2011,13
1130170_betlehemskyrkan,2012,6
1130170_betlehemskyrkan,2013,-5
1130170_betlehemskyrkan,2014,5
1140110_norrtull,2000,0
1140110_norrtull,2001,0
1140110_norrtull,2002,-3
1140110_norrtull,2003,-6
1140110_norrtull,2004,-6
1140110_norrtull,2005,-3
1140110_norrtull,2006,-6
1140110_norrtull,2007,-6
1140110_norrtull,2008,-6
1140110_norrtull,2009,-9
1140110_norrtull,2010,-5
1140110_norrtull,2011,-5
1140110_norrtull,2012,-12
1140110_norrtull,2013,-12
1140110_norrtull,2014,-11
1140120_tre_liljor,2000,28
1140120_tre_liljor,2001,34
1140120_tre_liljor,2002,43
1140120_tre_liljor,2003,79
1140120_tre_liljor,2004,72
1140120_tre_liljor,2005,76
1140120_tre_liljor,2006,92
1140120_tre_liljor,2007,120
1140120_tre_liljor,2008,120
1140120_tre_liljor,2009,103
1140120_tre_liljor,2010,96
1140120_tre_liljor,2011,91
1140120_tre_liljor,2012,109
1140120_tre_liljor,2013,104
1140120_tre_liljor,2014,117
1140130_matteus_kyrka,2000,13
1140130_matteus_kyrka,2001,24
1140130_matteus_kyrka,2002,57
1140130_matteus_kyrka,2003,62
1140130_matteus_kyrka,2004,71
1140130_matteus_kyrka,2005,63
1140130_matteus_kyrka,2006,49
1140130_matteus_kyrka,2007,67
1140130_matteus_kyrka,2008,65
1140130_matteus_kyrka,2009,65
1140130_matteus_kyrka,2010,72
1140130_matteus_kyrka,2011,75
1140130_matteus_kyrka,2012,66
1140130_matteus_kyrka,2013,67
1140130_matteus_kyrka,2014,90
1140140_halsingehojden,2000,19
1140140_halsingehojden,2001,25
1140140_halsingehojden,2002,29
1140140_halsingehojden,2003,32
1140140_halsingehojden,2004,54
1140140_halsingehojden,2005,57
1140140_halsingehojden,2006,89
1140140_halsingehojden,2007,86
1140140_halsingehojden,2008,110
1140140_halsingehojden,2009,112
1140140_halsingehojden,2010,113
1140140_halsingehojden,2011,128
1140140_halsingehojden,2012,144
1140140_halsingehojden,2013,138
1140140_halsingehojden,2014,121
1140150_centralgaraget,2000,-8
1140150_centralgaraget,2001,0
1140150_centralgaraget,2002,-7
1140150_centralgaraget,2003,-2
1140150_centralgaraget,2004,1
1140150_centralgaraget,2005,6
1140150_centralgaraget,2006,-2
1140150_centralgaraget,2007,4
1140150_centralgaraget,2008,28
1140150_centralgaraget,2009,27
1140150_centralgaraget,2010,22
1140150_centralgaraget,2011,13
1140150_centralgaraget,2012,14
1140150_centralgaraget,2013,18
1140150_centralgaraget,2014,30
1140210_okand,2000,6
1140210_okand,2001,5
1140210_okand,2002,2
1140210_okand,2003,-2
1140210_okand,2004,-6
1140210_okand,2005,4
1140210_okand,2006,-1
1140210_okand,2007,-2
1140210_okand,2008,-4
1140210_okand,2009,-8
1140212_norra_station_2,2010,-1
1140212_norra_station_2,2011,1
1140212_norra_station_2,2012,7
1140212_norra_station_2,2013,6
1140212_norra_station_2,2014,12
1140220_birkagarden,2000,-19
1140220_birkagarden,2001,-49
1140220_birkagarden,2002,-84
1140220_birkagarden,2003,-117
1140220_birkagarden,2004,-142
1140220_birkagarden,2005,-172
1140220_birkagarden,2006,-217
1140220_birkagarden,2007,-263
1140220_birkagarden,2008,-286
1140220_birkagarden,2009,-315
1140220_birkagarden,2010,-320
1140220_birkagarden,2011,-348
1140220_birkagarden,2012,-391
1140220_birkagarden,2013,-414
1140220_birkagarden,2014,-423
1140230_rorstrand,2000,9
1140230_rorstrand,2001,32
1140230_rorstrand,2002,53
1140230_rorstrand,2003,57
1140230_rorstrand,2004,68
1140230_rorstrand,2005,85
1140230_rorstrand,2006,84
1140230_rorstrand,2007,51
1140230_rorstrand,2008,81
1140230_rorstrand,2009,106
1140230_rorstrand,2010,96
1140230_rorstrand,2011,110
1140230_rorstrand,2012,117
1140230_rorstrand,2013,107
1140230_rorstrand,2014,91
1140240_rodaberget,2000,-5
1140240_rodaberget,2001,2
1140240_rodaberget,2002,1
1140240_rodaberget,2003,-6
1140240_rodaberget,2004,21
1140240_rodaberget,2005,10
1140240_rodaberget,2006,26
1140240_rodaberget,2007,25
1140240_rodaberget,2008,51
1140240_rodaberget,2009,12
1140240_rodaberget,2010,26
1140240_rodaberget,2011,-2
1140240_rodaberget,2012,4
1140240_rodaberget,2013,23
1140240_rodaberget,2014,18
1140250_s_t_eriksplan,2000,27
1140250_s_t_eriksplan,2001,48
1140250_s_t_eriksplan,2002,42
1140250_s_t_eriksplan,2003,42
1140250_s_t_eriksplan,2004,40
1140250_s_t_eriksplan,2005,34
1140250_s_t_eriksplan,2006,20
1140250_s_t_eriksplan,2007,24
1140250_s_t_eriksplan,2008,35
1140250_s_t_eriksplan,2009,41
1140250_s_t_eriksplan,2010,35
1140250_s_t_eriksplan,2011,28
1140250_s_t_eriksplan,2012,26
1140250_s_t_eriksplan,2013,18
1140250_s_t_eriksplan,2014,15
1210110_roslagstull,2000,15
1210110_roslagstull,2001,22
1210110_roslagstull,2002,26
1210110_roslagstull,2003,32
1210110_roslagstull,2004,27
1210110_roslagstull,2005,32
1210110_roslagstull,2006,23
1210110_roslagstull,2007,20
1210110_roslagstull,2008,3
1210110_roslagstull,2009,21
1210110_roslagstull,2010,44
1210110_roslagstull,2011,46
1210110_roslagstull,2012,56
1210110_roslagstull,2013,42
1210110_roslagstull,2014,39
1210120_larkstaden,2000,4
1210120_larkstaden,2001,-6
1210120_larkstaden,2002,-9
1210120_larkstaden,2003,-7
1210120_larkstaden,2004,2
1210120_larkstaden,2005,0
1210120_larkstaden,2006,11
1210120_larkstaden,2007,5
1210120_larkstaden,2008,13
1210120_larkstaden,2009,33
1210120_larkstaden,2010,43
1210120_larkstaden,2011,46
1210120_larkstaden,2012,42
1210120_larkstaden,2013,24
1210120_larkstaden,2014,27
1210131_danderydsplan_v,2000,6
1210131_danderydsplan_v,2001,5
1210131_danderydsplan_v,2002,15
1210131_danderydsplan_v,2003,39
1210131_danderydsplan_v,2004,40
1210131_danderydsplan_v,2005,36
1210131_danderydsplan_v,2006,29
1210131_danderydsplan_v,2007,27
1210131_danderydsplan_v,2008,35
1210131_danderydsplan_v,2009,36
1210131_danderydsplan_v,2010,34
1210131_danderydsplan_v,2011,28
1210131_danderydsplan_v,2012,34
1210131_danderydsplan_v,2013,37
1210131_danderydsplan_v,2014,57
1210132_danderydsplan_o,2000,10
1210132_danderydsplan_o,2001,12
1210132_danderydsplan_o,2002,14
1210132_danderydsplan_o,2003,12
1210132_danderydsplan_o,2004,18
1210132_danderydsplan_o,2005,8
1210132_danderydsplan_o,2006,15
1210132_danderydsplan_o,2007,18
1210132_danderydsplan_o,2008,21
1210132_danderydsplan_o,2009,13
1210132_danderydsplan_o,2010,23
1210132_danderydsplan_o,2011,27
1210132_danderydsplan_o,2012,26
1210132_danderydsplan_o,2013,30
1210132_danderydsplan_o,2014,34
1210140_eriksberg,2000,10
1210140_eriksberg,2001,27
1210140_eriksberg,2002,33
1210140_eriksberg,2003,30
1210140_eriksberg,2004,20
1210140_eriksberg,2005,34
1210140_eriksberg,2006,47
1210140_eriksberg,2007,50
1210140_eriksberg,2008,54
1210140_eriksberg,2009,60
1210140_eriksberg,2010,53
1210140_eriksberg,2011,50
1210140_eriksberg,2012,45
1210140_eriksberg,2013,46
1210140_eriksberg,2014,45
1210151_stureplan_o,2000,0
1210151_stureplan_o,2001,0
