basomrade,name,municipality,is--basomrade
4450220_smedby, Smedby,0117_osteraker,TRUE
4450230_hacksta, Hacksta,0117_osteraker,TRUE
4450240_skansta, Skånsta,0117_osteraker,TRUE
4450250_singo, Singö,0117_osteraker,TRUE
4450260_asatra, Åsätra,0117_osteraker,TRUE
4450310_margretelund, Margretelund,0117_osteraker,TRUE
4450320_trasatra, Tråsätra,0117_osteraker,TRUE
4450330_flaxenvik, Flaxenvik,0117_osteraker,TRUE
4450340_skargardsstad, Skärgårdsstad,0117_osteraker,TRUE
4451231_okand,Okänd,0117_osteraker,TRUE
4451240_norra_runo, Norra Runö,0117_osteraker,TRUE
4451250_svinninge, Svinninge,0117_osteraker,TRUE
4451410_rydbo, Rydbo,0117_osteraker,TRUE
4451420_svartgarn, Svartgarn,0117_osteraker,TRUE
4451430_ostra_ryds_glesbygd, Östra Ryds glesbygd,0117_osteraker,TRUE
5610200_mortnas, Mörtnäs,0120_varmdo,TRUE
5610500_okand,Okänd,0120_varmdo,TRUE
5611110_munkmora, Munkmora,0120_varmdo,TRUE
5611120_lugnet_flerbostadshus, Lugnet flerbostadshus,0120_varmdo,TRUE
5611130_lugnet_smahus, Lugnet småhus,0120_varmdo,TRUE
5611140_hojdhagen, Höjdhagen,0120_varmdo,TRUE
5611150_okand,Okänd,0120_varmdo,TRUE
5611160_osby_grind, Ösby Grind,0120_varmdo,TRUE
5611170_osbydalen, Ösbydalen,0120_varmdo,TRUE
5611190_holmviksskogen, Holmviksskogen,0120_varmdo,TRUE
5620100_brunn, Brunn,0120_varmdo,TRUE
5620510_okand,Okänd,0120_varmdo,TRUE
5620520_sydvastra_ingaro, Sydvästra Ingarö,0120_varmdo,TRUE
5620530_okand,Okänd,0120_varmdo,TRUE
5630110_hemmesta, Hemmesta,0120_varmdo,TRUE
5630120_fruvik, Fruvik,0120_varmdo,TRUE
5630130_hemmestahojden, Hemmestahöjden,0120_varmdo,TRUE
5630200_angsvik, Ängsvik,0120_varmdo,TRUE
5630300_skeppsdalsstrom, Skeppsdalsström,0120_varmdo,TRUE
5630400_kopparmora, Kopparmora,0120_varmdo,TRUE
5630510_okand,Okänd,0120_varmdo,TRUE
5630520_okand,Okänd,0120_varmdo,TRUE
5630600_varmdo_norra_skargard, Värmdö norra skärgård,0120_varmdo,TRUE
5640100_djurhamn, Djurhamn,0120_varmdo,TRUE
5640200_stavsnas, Stavsnäs,0120_varmdo,TRUE
5640510_stavsnas_glesbygd, Stavsnäs glesbygd,0120_varmdo,TRUE
5640520_djuro_glesbygd, Djurö glesbygd,0120_varmdo,TRUE
5640600_djuro_skargard, Djurö skärgård,0120_varmdo,TRUE
5650000_moja_forsamling, Möja församling,0120_varmdo,TRUE
5660000_namdo_forsamling, Nämdö församling,0120_varmdo,TRUE
3311110_staket, Stäket,0123_jarfalla,TRUE
3312220_vastra_kallhall, Västra Kallhäll,0123_jarfalla,TRUE
3312230_skogstorp, Skogstorp,0123_jarfalla,TRUE
3312240_norra_kallhall, Norra Kallhäll,0123_jarfalla,TRUE
3312250_bonas, Bonäs,0123_jarfalla,TRUE
3312260_termosvagen, Termosvägen,0123_jarfalla,TRUE
3312270_ladersatra, Lädersätra,0123_jarfalla,TRUE
3312300_molnsattra, Molnsättra,0123_jarfalla,TRUE
3324100_olovslund, Olovslund,0123_jarfalla,TRUE
3324200_berghem, Berghem,0123_jarfalla,TRUE
3324310_sodra_nibble, Södra Nibble,0123_jarfalla,TRUE
3324320_norra_nibble, Norra Nibble,0123_jarfalla,TRUE
3324410_tallbohov, Tallbohov,0123_jarfalla,TRUE
3324420_hammaren, Hammaren,0123_jarfalla,TRUE
3324430_jakobsbergs_centrum, Jakobsbergs centrum,0123_jarfalla,TRUE
3324500_vibblaby, Vibblaby,0123_jarfalla,TRUE
3335100_norra_viksjo, Norra Viksjö,0123_jarfalla,TRUE
3335210_ostra_viksjo, Östra Viksjö,0123_jarfalla,TRUE
3335220_viksjo_centrum, Viksjö centrum,0123_jarfalla,TRUE
3335310_ostra_lund, Östra Lund,0123_jarfalla,TRUE
3335320_vastra_lund, Västra Lund,0123_jarfalla,TRUE
3335410_ostra_sandvik, Östra Sandvik,0123_jarfalla,TRUE
3335420_sandvik, Sandvik,0123_jarfalla,TRUE
3335600_fjallen, Fjällen,0123_jarfalla,TRUE
3346110_skalby, Skälby,0123_jarfalla,TRUE
3346120_ormbacka, Ormbacka,0123_jarfalla,TRUE
3346200_skalby_gard, Skälby gård,0123_jarfalla,TRUE
3347300_jarfalla_kyrka, Järfälla kyrka,0123_jarfalla,TRUE
3347400_barkarby, Barkarby,0123_jarfalla,TRUE
3347500_barsbro, Barsbro,0123_jarfalla,TRUE
3210100_drottningholm, Drottningholm,0125_ekero,TRUE
3210500_lovo_glesbygd, Lovö glesbygd,0125_ekero,TRUE
3220101_tappstrom_narlunda, Tappström/Närlunda,0125_ekero,TRUE
3220102_ostra_narlunda, Östra Närlunda,0125_ekero,TRUE
3220103_ekero_centrum, Ekerö centrum,0125_ekero,TRUE
3220211_alvnas, Älvnäs,0125_ekero,TRUE
3220212_brunna, Brunna,0125_ekero,TRUE
3220230_knalleborg, Knalleborg,0125_ekero,TRUE
3220261_ostra_trakvista, Östra Träkvista,0125_ekero,TRUE
3220262_gallsta_o, Gällsta Ö,0125_ekero,TRUE
3220270_sandudden, Sandudden,0125_ekero,TRUE
3220500_ekero_glesbygd, Ekerö glesbygd,0125_ekero,TRUE
3230000_munso_forsamling, Munsö församling,0125_ekero,TRUE
3240000_adelso_forsamling, Adelsö församling,0125_ekero,TRUE
3250100_farentuna_fd_forsaml, Färentuna fd församl,0125_ekero,TRUE
3250201_hilleshogs_fd_forsaml, Hilleshögs fd församl,0125_ekero,TRUE
3250202_ricksattra, Ricksättra,0125_ekero,TRUE
3250310_stenhamra, Stenhamra,0125_ekero,TRUE
3250320_sanga_glesbygd, Sånga glesbygd,0125_ekero,TRUE
3250400_ska_fd_forsaml, Skå fd församl,0125_ekero,TRUE
5310420_skogsang_milsten, Skogsäng Milsten,0126_huddinge,TRUE
5310810_fullersta_gard, Fullersta Gård,0126_huddinge,TRUE
5310830_fridhem, Fridhem,0126_huddinge,TRUE
5310840_kallbrink_vistaberg, Källbrink Vistaberg,0126_huddinge,TRUE
5310850_vardkasen, Vårdkasen,0126_huddinge,TRUE
5310910_sjodalen_huddinge_c, Sjödalen - Huddinge C,0126_huddinge,TRUE
5310941_solgard, Solgård,0126_huddinge,TRUE
5310942_sorskogen, Sörskogen,0126_huddinge,TRUE
5310950_horningsnas_balingsnas, Hörningsnäs Balingsnäs,0126_huddinge,TRUE
5311010_stuvsta_kvarnberget, Stuvsta Kvarnberget,0126_huddinge,TRUE
5311030_segersminne, Segersminne,0126_huddinge,TRUE
5311041_stensangen_hogmora, Stensängen Högmora,0126_huddinge,TRUE
5311042_kynas, Kynäs,0126_huddinge,TRUE
5311110_glado_kvarn, Gladö Kvarn,0126_huddinge,TRUE
5311120_adran, Ådran,0126_huddinge,TRUE
5320110_trangsunds_centrum, Trångsunds centrum,0126_huddinge,TRUE
5320120_trangsunds_smahus, Trångsunds småhus,0126_huddinge,TRUE
5320310_vastra_skogas, Västra Skogås,0126_huddinge,TRUE
5320320_ostra_skogas, Östra Skogås,0126_huddinge,TRUE
5320410_lanna_drevviken, Länna Drevviken,0126_huddinge,TRUE
5320510_trangsunds_glesbygd, Trångsunds glesbygd,0126_huddinge,TRUE
5320520_vidja, Vidja,0126_huddinge,TRUE
5330110_varby_gard, Vårby Gård,0126_huddinge,TRUE
5330200_masmo, Masmo,0126_huddinge,TRUE
5330331_smista_juringe, Smista Juringe,0126_huddinge,TRUE
5330332_jakobslund, Jakobslund,0126_huddinge,TRUE
5330340_krakvik, Kråkvik,0126_huddinge,TRUE
5330410_utsalje, Utsälje,0126_huddinge,TRUE
5330430_snattringe_gard, Snättringe gård,0126_huddinge,TRUE
5340500_glomsta, Glömsta,0126_huddinge,TRUE
5340630_kasta, Kästa,0126_huddinge,TRUE
5340640_grantorp, Grantorp,0126_huddinge,TRUE
5340710_visattra, Visättra,0126_huddinge,TRUE
5110110_albyslatten, Albyslätten,0127_botkyrka,TRUE
5110120_albyberget, Albyberget,0127_botkyrka,TRUE
5110150_rotemannen, Rotemannen,0127_botkyrka,TRUE
5110160_alby_gard, Alby Gård,0127_botkyrka,TRUE
5110240_aspberget, Aspberget,0127_botkyrka,TRUE
5110260_ostra_eriksberg, Östra Eriksberg,0127_botkyrka,TRUE
5110270_vastra_eriksberg, Västra Eriksberg,0127_botkyrka,TRUE
5110280_tre_kallor, Tre källor,0127_botkyrka,TRUE
5110290_sturehov, Sturehov,0127_botkyrka,TRUE
5110311_krogarvagen_vardshusvagen, Krögarvägen-Värdshusvägen,0127_botkyrka,TRUE
5110312_forvagen, Forvägen,0127_botkyrka,TRUE
5110320_fittja_gard, Fittja Gård,0127_botkyrka,TRUE
5110410_sodra_hallunda, Södra Hallunda,0127_botkyrka,TRUE
5110420_slagsta, Slagsta,0127_botkyrka,TRUE
5110430_brunna, Brunna,0127_botkyrka,TRUE
5110450_sodra_norsborg, Södra Norsborg,0127_botkyrka,TRUE
5110460_tornbergsfaltet, Tornbergsfältet,0127_botkyrka,TRUE
5110480_nordostra_norsborg, Nordöstra Norsborg,0127_botkyrka,TRUE
5110490_nordvastra_norsborg, Nordvästra Norsborg,0127_botkyrka,TRUE
5120730_tumba_centrum, Tumba centrum,0127_botkyrka,TRUE
5120750_segersjo, Segersjö,0127_botkyrka,TRUE
5120780_tumba_villastad, Tumba villastad,0127_botkyrka,TRUE
5120790_skacklinge, Skäcklinge,0127_botkyrka,TRUE
5120810_storvreten, Storvreten,0127_botkyrka,TRUE
5120820_blockvagen, Blockvägen,0127_botkyrka,TRUE
5120830_grytstigen, Grytstigen,0127_botkyrka,TRUE
5120840_vedstigen, Vedstigen,0127_botkyrka,TRUE
5120910_tumba_bruk, Tumba Bruk,0127_botkyrka,TRUE
5120920_tumba_glesbygd, Tumba glesbygd,0127_botkyrka,TRUE
5120930_kommunalhuset, Kommunalhuset,0127_botkyrka,TRUE
5120940_tuna, Tuna,0127_botkyrka,TRUE
5120950_nackdala, Nackdala,0127_botkyrka,TRUE
5120970_loviseberg, Loviseberg,0127_botkyrka,TRUE
5130810_uttran, Uttran,0127_botkyrka,TRUE
5130820_varsta, Vårsta,0127_botkyrka,TRUE
5130830_grodinge_glesbygd, Grödinge glesbygd,0127_botkyrka,TRUE
5140110_tullinge_villastad, Tullinge villastad,0127_botkyrka,TRUE
5140620_tullingeberg, Tullingeberg,0127_botkyrka,TRUE
5140641_tullinge_parkhem, Tullinge parkhem,0127_botkyrka,TRUE
5140642_lanthem_n, Lanthem N,0127_botkyrka,TRUE
5140650_tullinge_centrum, Tullinge centrum,0127_botkyrka,TRUE
5140660_banslatt, Banslätt,0127_botkyrka,TRUE
5140690_okand,Okänd,0127_botkyrka,TRUE
5140711_tullinge_skog, Tullinge skog,0127_botkyrka,TRUE
5140712_lanthem_s, Lanthem S,0127_botkyrka,TRUE
5711010_soderby_garde, Söderby Gärde,0128_salem,TRUE
5711020_soderby_park, Söderby Park,0128_salem,TRUE
5711110_skyttorp, Skyttorp,0128_salem,TRUE
5711120_skogsang, Skogsäng,0128_salem,TRUE
5711130_soderby, Söderby,0128_salem,TRUE
5711200_salems_centrum, Salems centrum,0128_salem,TRUE
5712110_norra_ronninge, Norra Rönninge,0128_salem,TRUE
5712210_uttringe, Uttringe,0128_salem,TRUE
5712220_ostra_ronninge, Östra Rönninge,0128_salem,TRUE
5712300_ronninge_centrum, Rönninge Centrum,0128_salem,TRUE
5713000_salems_glesbygd, Salems glesbygd,0128_salem,TRUE
5211120_gudo, Gudö,0136_haninge,TRUE
5211131_sodra_vendelso, Södra Vendelsö,0136_haninge,TRUE
5211132_sagen, Sågen,0136_haninge,TRUE
5211140_norra_vendelso, Norra Vendelsö,0136_haninge,TRUE
5211150_dalen, Dalen,0136_haninge,TRUE
5211210_vendelsomalm, Vendelsömalm,0136_haninge,TRUE
5211220_eriksberg, Eriksberg,0136_haninge,TRUE
5211230_ramsdalen, Ramsdalen,0136_haninge,TRUE
5211320_brandbergens_industriomr, Brandbergens industriomr,0136_haninge,TRUE
5211330_brandbergen_flerbost_hus, Brandbergen flerbost-hus,0136_haninge,TRUE
5211340_brandbergen_smahus, Brandbergen småhus,0136_haninge,TRUE
5211430_kolartorp, Kolartorp,0136_haninge,TRUE
5211440_okand,Okänd,0136_haninge,TRUE
5211450_okand,Okänd,0136_haninge,TRUE
5211511_haninge_centrum, Haninge centrum,0136_haninge,TRUE
5211512_vastra_handen, Västra Handen,0136_haninge,TRUE
5211520_norra_handen, Norra Handen,0136_haninge,TRUE
5211540_valla, Valla,0136_haninge,TRUE
5211550_sodra_handen, Södra Handen,0136_haninge,TRUE
5211610_jordbro_flerbostadshus, Jordbro flerbostadshus,0136_haninge,TRUE
5211620_jordbro_smahus, Jordbro småhus,0136_haninge,TRUE
5211710_norrby, Norrby,0136_haninge,TRUE
5211800_norra_soderby, Norra Söderby,0136_haninge,TRUE
5211920_galo_sandemar, Gålö Sandemar,0136_haninge,TRUE
5211930_tyresta, Tyresta,0136_haninge,TRUE
5211940_osterhaninge_kyrka, Österhaninge kyrka,0136_haninge,TRUE
5211950_arsta_havsbad_o, Årsta Havsbad Ö,0136_haninge,TRUE
5222100_dalaro, Dalarö,0136_haninge,TRUE
5222500_smadalaro, Smådalarö,0136_haninge,TRUE
5233000_uto, Utö,0136_haninge,TRUE
5240000_orno_forsamling, Ornö församling,0136_haninge,TRUE
5255110_aby, Åby,0136_haninge,TRUE
5255121_jagartorp, Jägartorp,0136_haninge,TRUE
5255130_vasterhaninge_kyrka, Västerhaninge kyrka,0136_haninge,TRUE
5255140_ribby, Ribby,0136_haninge,TRUE
5255150_okand,Okänd,0136_haninge,TRUE
5255210_norra_tungelsta, Norra Tungelsta,0136_haninge,TRUE
5255220_sodra_tungelsta, Södra Tungelsta,0136_haninge,TRUE
5255910_vasterhaninge_glesbygd_n, Västerhaninge glesbygd N,0136_haninge,TRUE
5255920_vasterhaninge_glesbygd_s, Västerhaninge glesbygd S,0136_haninge,TRUE
5255930_arsta_havsbad_v_berga, Årsta Havsbad V - Berga,0136_haninge,TRUE
5260000_musko_forsamling, Muskö församling,0136_haninge,TRUE
5511000_vastra_trollbacken, Västra Trollbäcken,0138_tyreso,TRUE
5511120_centrala_trollbacken, Centrala Trollbäcken,0138_tyreso,TRUE
5511130_sodergarden, Södergården,0138_tyreso,TRUE
5511140_skalsatra, Skälsätra,0138_tyreso,TRUE
5511150_norra_hanviken, Norra Hanviken,0138_tyreso,TRUE
5511160_sodra_hanviken, Södra Hanviken,0138_tyreso,TRUE
5512010_norra_lindalen, Norra Lindalen,0138_tyreso,TRUE
5513010_tyreso_centrum, Tyresö Centrum,0138_tyreso,TRUE
5513020_simvagen, Simvägen,0138_tyreso,TRUE
5513110_granitvagen, Granitvägen,0138_tyreso,TRUE
5513120_pluggvagen, Pluggvägen,0138_tyreso,TRUE
5513140_mellanbergsvagen, Mellanbergsvägen,0138_tyreso,TRUE
5513150_granangsringen, Granängsringen,0138_tyreso,TRUE
5513160_vastra_farmarstigen, Västra Farmarstigen,0138_tyreso,TRUE
5513170_ostra_farmarstigen, Östra Farmarstigen,0138_tyreso,TRUE
5513210_ostra_bollmora, Östra Bollmora,0138_tyreso,TRUE
5513220_bondevagen, Bondevägen,0138_tyreso,TRUE
5513310_norra_bollmora, Norra Bollmora,0138_tyreso,TRUE
5513330_vastra_fardala, Västra Fårdala,0138_tyreso,TRUE
5513410_fardala, Fårdala,0138_tyreso,TRUE
5514000_krusboda, Krusboda,0138_tyreso,TRUE
5515010_oringe, Öringe,0138_tyreso,TRUE
5515120_okand,Okänd,0138_tyreso,TRUE
5515210_okand,Okänd,0138_tyreso,TRUE
5515220_okand,Okänd,0138_tyreso,TRUE
4010130_gamla_bro_tatort, Gamla Bro tätort,0139_upplands_bro,TRUE
4010140_bro_centrum, Bro centrum,0139_upplands_bro,TRUE
4010500_okand,Okänd,0139_upplands_bro,TRUE
4020000_lassa_forsamling, Låssa församling,0139_upplands_bro,TRUE
4050100_habo_tibble_kyrkby, Håbo-Tibble kyrkby,0139_upplands_bro,TRUE
4050200_mariedal_nashagen, Mariedal-Näshagen,0139_upplands_bro,TRUE
4050500_habo_tibble_glesbygd, Håbo-Tibble glesbygd,0139_upplands_bro,TRUE
4060000_hatuna_forsamling, Håtuna församling,0139_upplands_bro,TRUE
4070110_sodra_kungsangen, Södra Kungsängen,0139_upplands_bro,TRUE
4070120_norra_kungsangen, Norra Kungsängen,0139_upplands_bro,TRUE
4070130_tibblehojden, Tibblehöjden,0139_upplands_bro,TRUE
4070150_tibbleangen, Tibbleängen,0139_upplands_bro,TRUE
4070160_sylta, Sylta,0139_upplands_bro,TRUE
4070170_okand,Okänd,0139_upplands_bro,TRUE
4070210_brunna_tatort, Brunna tätort,0139_upplands_bro,TRUE
6410100_nykvarn, Nykvarn,0140_nykvarn,TRUE
6410500_turinge_glesbygd, Turinge glesbygd,0140_nykvarn,TRUE
6420000_taxinge_forsamling, Taxinge församling,0140_nykvarn,TRUE
3910110_vastra_nasbypark, Västra Näsbypark,0160_taby,TRUE
3910120_ornstigen, Örnstigen,0160_taby,TRUE
3910130_nasbyparks_centrum, Näsbyparks centrum,0160_taby,TRUE
3910140_nasby_slott, Näsby slott,0160_taby,TRUE
3910170_ostra_nasbypark, Östra Näsbypark,0160_taby,TRUE
3910190_lahall, Lahäll,0160_taby,TRUE
3910210_nasbydal, Näsbydal,0160_taby,TRUE
3910220_grindtorp, Grindtorp,0160_taby,TRUE
3910240_taby_centrum, Täby centrum,0160_taby,TRUE
3910270_marknadsvagen, Marknadsvägen,0160_taby,TRUE
3910280_akerbyvagen, Åkerbyvägen,0160_taby,TRUE
3910310_sodra_viggbyholm, Södra Viggbyholm,0160_taby,TRUE
3910320_viggbygardet, Viggbygärdet,0160_taby,TRUE
3910330_mellersta_viggbyholm, Mellersta Viggbyholm,0160_taby,TRUE
3910350_norra_viggbyholm, Norra Viggbyholm,0160_taby,TRUE
3910370_norra_hagernas, Norra Hägernäs,0160_taby,TRUE
3910380_sodra_hagernas, Södra Hägernäs,0160_taby,TRUE
3910480_norra_landsbygden, Norra landsbygden,0160_taby,TRUE
3910730_ella, Ella,0160_taby,TRUE
3910770_vastra_ensta, Västra Ensta,0160_taby,TRUE
3910780_ostra_ensta, Östra Ensta,0160_taby,TRUE
3910790_kullagrand, Kullagränd,0160_taby,TRUE
3910810_norra_ellagard, Norra Ellagård,0160_taby,TRUE
3910820_sodra_ellagard, Södra Ellagård,0160_taby,TRUE
3910830_ava, Åva,0160_taby,TRUE
3910840_vastra_ellagard, Västra Ellagård,0160_taby,TRUE
3910910_skarpang, Skarpäng,0160_taby,TRUE
3910920_gripsvall, Gripsvall,0160_taby,TRUE
3911010_ostra_roslags_nasby, Östra Roslags-Näsby,0160_taby,TRUE
3911020_vastra_roslags_nasby, Västra Roslags-Näsby,0160_taby,TRUE
3911510_lansen, Lansen,0160_taby,TRUE
3911520_sodra_gribbylund, Södra Gribbylund,0160_taby,TRUE
3911530_gribbylunds_centrum, Gribbylunds centrum,0160_taby,TRUE
3911540_norra_gribbylund, Norra Gribbylund,0160_taby,TRUE
3911550_sveavagen, Sveavägen,0160_taby,TRUE
3911610_ostra_vallabrink, Östra Vallabrink,0160_taby,TRUE
3911620_vastra_vallabrink, Västra Vallabrink,0160_taby,TRUE
3911660_visinge, Visinge,0160_taby,TRUE
3911670_vallatorp, Vallatorp,0160_taby,TRUE
3911680_erikslund, Erikslund,0160_taby,TRUE
3911740_s_a_midgards_industriomr, S:a Midgårds industriomr,0160_taby,TRUE
3911750_taby_kyrka, Täby Kyrka,0160_taby,TRUE
3911760_midgard, Midgård,0160_taby,TRUE
3911780_ostra_taby_kyrkby, Östra Täby Kyrkby,0160_taby,TRUE
3911790_runborg, Runborg,0160_taby,TRUE
3110110_ostra_enebyberg, Östra Enebyberg,0162_danderyd,TRUE
3110120_vastra_enebyberg, Västra Enebyberg,0162_danderyd,TRUE
3110260_satra, Sätra,0162_danderyd,TRUE
3110270_nora, Nora,0162_danderyd,TRUE
3110280_klingsta, Klingsta,0162_danderyd,TRUE
3110330_morbyskogen, Mörbyskogen,0162_danderyd,TRUE
3110340_kevinge, Kevinge,0162_danderyd,TRUE
3110350_morby_centrum, Mörby Centrum,0162_danderyd,TRUE
3110370_morbylund, Mörbylund,0162_danderyd,TRUE
3110430_norra_djursholm, Norra Djursholm,0162_danderyd,TRUE
3110440_sodra_djursholm, Södra Djursholm,0162_danderyd,TRUE
3110450_osby, Ösby,0162_danderyd,TRUE
3110460_ekeby, Ekeby,0162_danderyd,TRUE
3110510_norra_stocksund, Norra Stocksund,0162_danderyd,TRUE
3110530_inverness, Inverness,0162_danderyd,TRUE
3110540_sodra_stocksund, Södra Stocksund,0162_danderyd,TRUE
3110610_klockargarden, Klockargården,0162_danderyd,TRUE
3110620_berga, Berga,0162_danderyd,TRUE
3610120_gillberga, Gillberga,0163_sollentuna,TRUE
3610140_rotsunda, Rotsunda,0163_sollentuna,TRUE
3610170_rotebro_centrum, Rotebro centrum,0163_sollentuna,TRUE
3610180_rotsunda_gard, Rotsunda gård,0163_sollentuna,TRUE
3610210_vastra_viby, Västra Viby,0163_sollentuna,TRUE
3610230_ostra_viby, Östra Viby,0163_sollentuna,TRUE
3610310_vastra_norrviken, Västra Norrviken,0163_sollentuna,TRUE
3610330_ostra_norrviken, Östra Norrviken,0163_sollentuna,TRUE
3610400_vaxmora, Vaxmora,0163_sollentuna,TRUE
3610510_klasro, Klasro,0163_sollentuna,TRUE
3610530_haggviks_centrum, Häggviks centrum,0163_sollentuna,TRUE
3610540_skalby, Skälby,0163_sollentuna,TRUE
3610610_edsbergs_centrum, Edsbergs centrum,0163_sollentuna,TRUE
3610650_ovriga_edsberg, Övriga Edsberg,0163_sollentuna,TRUE
3610660_landsnora, Landsnora,0163_sollentuna,TRUE
3610670_vasjoomradet, Väsjöområdet,0163_sollentuna,TRUE
3610680_kvarnskogen, Kvarnskogen,0163_sollentuna,TRUE
3610730_turebergs_industriomr, Turebergs industriomr,0163_sollentuna,TRUE
3610750_fagelsangen, Fågelsången,0163_sollentuna,TRUE
3610760_tojnan, Töjnan,0163_sollentuna,TRUE
3610770_nytorp, Nytorp,0163_sollentuna,TRUE
3610780_skansen, Skansen,0163_sollentuna,TRUE
3610810_falkberget, Falkberget,0163_sollentuna,TRUE
3610830_sjoberg, Sjöberg,0163_sollentuna,TRUE
3610920_ostra_helenelund, Östra Helenelund,0163_sollentuna,TRUE
3610931_tegelhagen, Tegelhagen,0163_sollentuna,TRUE
3610940_helenelunds_centrum, Helenelunds centrum,0163_sollentuna,TRUE
3610951_vastra_helenelund, Västra Helenelund,0163_sollentuna,TRUE
3612710_bagarby, Bagarby,0163_sollentuna,TRUE
1010120_skeppsbron, Skeppsbron,0180_stockholm,TRUE
1010130_munkbron, Munkbron,0180_stockholm,TRUE
1010140_stortorget, Stortorget,0180_stockholm,TRUE
