basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_male
5411410_nacka_centrum,2005,0.25153
5411410_nacka_centrum,2006,0.22917
5411410_nacka_centrum,2007,0.22561
5411410_nacka_centrum,2008,0.25135
5411410_nacka_centrum,2009,0.24773
5411410_nacka_centrum,2010,0.26132
5411410_nacka_centrum,2011,0.2735
5411410_nacka_centrum,2012,0.2636
5411410_nacka_centrum,2013,0.25786
5411410_nacka_centrum,2014,0.26819
5411500_storangen,2000,0.44957
5411500_storangen,2001,0.45821
5411500_storangen,2002,0.45924
5411500_storangen,2003,0.44531
5411500_storangen,2004,0.45144
5411500_storangen,2005,0.44987
5411500_storangen,2006,0.46073
5411500_storangen,2007,0.44472
5411500_storangen,2008,0.46173
5411500_storangen,2009,0.485
5411500_storangen,2010,0.48619
5411500_storangen,2011,0.49307
5411500_storangen,2012,0.49036
5411500_storangen,2013,0.48889
5411500_storangen,2014,0.50287
5411600_duvnas_utskog,2000,0.36822
5411600_duvnas_utskog,2001,0.35094
5411600_duvnas_utskog,2002,0.36015
5411600_duvnas_utskog,2003,0.36905
5411600_duvnas_utskog,2004,0.37109
5411600_duvnas_utskog,2005,0.36614
5411600_duvnas_utskog,2006,0.39919
5411600_duvnas_utskog,2007,0.36434
5411600_duvnas_utskog,2008,0.37643
5411600_duvnas_utskog,2009,0.37698
5411600_duvnas_utskog,2010,0.37743
5411600_duvnas_utskog,2011,0.39405
5411600_duvnas_utskog,2012,0.40441
5411600_duvnas_utskog,2013,0.41176
5411600_duvnas_utskog,2014,0.4086
5411610_skuru,2000,0.39873
5411610_skuru,2001,0.39241
5411610_skuru,2002,0.40125
5411610_skuru,2003,0.39167
5411610_skuru,2004,0.38636
5411610_skuru,2005,0.40162
5411610_skuru,2006,0.40947
5411610_skuru,2007,0.42073
5411610_skuru,2008,0.42661
5411610_skuru,2009,0.41887
5411610_skuru,2010,0.4176
5411610_skuru,2011,0.41667
5411610_skuru,2012,0.42458
5411610_skuru,2013,0.42669
5411610_skuru,2014,0.43739
5411700_skogalund,2000,0.25714
5411700_skogalund,2001,0.27298
5411700_skogalund,2002,0.28291
5411700_skogalund,2003,0.29167
5411700_skogalund,2004,0.30919
5411700_skogalund,2005,0.33148
5411700_skogalund,2006,0.33983
5411700_skogalund,2007,0.34167
5411700_skogalund,2008,0.34444
5411700_skogalund,2009,0.33795
5411700_skogalund,2010,0.34426
5411700_skogalund,2011,0.34153
5411700_skogalund,2012,0.35
5411700_skogalund,2013,0.36695
5411700_skogalund,2014,0.3523
5411710_vastra_ektorp,2000,0.19928
5411710_vastra_ektorp,2001,0.20339
5411710_vastra_ektorp,2002,0.18728
5411710_vastra_ektorp,2003,0.19188
5411710_vastra_ektorp,2004,0.19273
5411710_vastra_ektorp,2005,0.17625
5411710_vastra_ektorp,2006,0.19922
5411710_vastra_ektorp,2007,0.21111
5411710_vastra_ektorp,2008,0.23256
5411710_vastra_ektorp,2009,0.2649
5411710_vastra_ektorp,2010,0.28025
5411710_vastra_ektorp,2011,0.29412
5411710_vastra_ektorp,2012,0.26471
5411710_vastra_ektorp,2013,0.25836
5411710_vastra_ektorp,2014,0.26168
5411720_ostra_ektorp,2000,0.22523
5411720_ostra_ektorp,2001,0.23556
5411720_ostra_ektorp,2002,0.21005
5411720_ostra_ektorp,2003,0.21333
5411720_ostra_ektorp,2004,0.23636
5411720_ostra_ektorp,2005,0.23182
5411720_ostra_ektorp,2006,0.23894
5411720_ostra_ektorp,2007,0.25
5411720_ostra_ektorp,2008,0.24123
5411720_ostra_ektorp,2009,0.23423
5411720_ostra_ektorp,2010,0.2541
5411720_ostra_ektorp,2011,0.2605
5411720_ostra_ektorp,2012,0.2716
5411720_ostra_ektorp,2013,0.25194
5411720_ostra_ektorp,2014,0.23574
5411740_saltangen,2000,0.30945
5411740_saltangen,2001,0.31046
5411740_saltangen,2002,0.32895
5411740_saltangen,2003,0.33548
5411740_saltangen,2004,0.325
5411740_saltangen,2005,0.3065
5411740_saltangen,2006,0.31003
5411740_saltangen,2007,0.31361
5411740_saltangen,2008,0.29882
5411740_saltangen,2009,0.32537
5411740_saltangen,2010,0.3194
5411740_saltangen,2011,0.32432
5411740_saltangen,2012,0.32249
5411740_saltangen,2013,0.32267
5411740_saltangen,2014,0.34006
5411800_duvnas,2000,0.55452
5411800_duvnas,2001,0.56487
5411800_duvnas,2002,0.5815
5411800_duvnas,2003,0.57984
5411800_duvnas,2004,0.58075
5411800_duvnas,2005,0.5897
5411800_duvnas,2006,0.59055
5411800_duvnas,2007,0.6
5411800_duvnas,2008,0.59306
5411800_duvnas,2009,0.60187
5411800_duvnas,2010,0.6
5411800_duvnas,2011,0.59968
5411800_duvnas,2012,0.60577
5411800_duvnas,2013,0.6045
5411800_duvnas,2014,0.61639
5411900_hasthagen,2000,0.38843
5411900_hasthagen,2001,0.42735
5411900_hasthagen,2002,0.44348
5411900_hasthagen,2003,0.45614
5411900_hasthagen,2004,0.49138
5411900_hasthagen,2005,0.51754
5411900_hasthagen,2006,0.51754
5411900_hasthagen,2007,0.51327
5411900_hasthagen,2008,0.53704
5411900_hasthagen,2009,0.51786
5411900_hasthagen,2010,0.50893
5411900_hasthagen,2011,0.5463
5411900_hasthagen,2012,0.53913
5411900_hasthagen,2013,0.57798
5411900_hasthagen,2014,0.56667
5413001_fisksatra_sm,2000,0.325
5413001_fisksatra_sm,2001,0.30923
5413001_fisksatra_sm,2002,0.33075
5413001_fisksatra_sm,2003,0.3515
5413001_fisksatra_sm,2004,0.35429
5413001_fisksatra_sm,2005,0.34571
5413001_fisksatra_sm,2006,0.3403
5413001_fisksatra_sm,2007,0.32845
5413001_fisksatra_sm,2008,0.3403
5413001_fisksatra_sm,2009,0.3465
5413001_fisksatra_sm,2010,0.32915
5413001_fisksatra_sm,2011,0.33962
5413001_fisksatra_sm,2012,0.35599
5413001_fisksatra_sm,2013,0.34106
5413001_fisksatra_sm,2014,0.34516
5413002_fisksatra_fh,2000,0.17832
5413002_fisksatra_fh,2001,0.18106
5413002_fisksatra_fh,2002,0.16998
5413002_fisksatra_fh,2003,0.16452
5413002_fisksatra_fh,2004,0.15669
5413002_fisksatra_fh,2005,0.17148
5413002_fisksatra_fh,2006,0.16987
5413002_fisksatra_fh,2007,0.17286
5413002_fisksatra_fh,2008,0.1635
5413002_fisksatra_fh,2009,0.16448
5413002_fisksatra_fh,2010,0.1578
5413002_fisksatra_fh,2011,0.16125
5413002_fisksatra_fh,2012,0.16693
5413002_fisksatra_fh,2013,0.16308
5413002_fisksatra_fh,2014,0.15981
5414001_erstavik,2000,0.32143
5414001_erstavik,2001,0.32258
5414001_erstavik,2002,0.36842
5414001_erstavik,2003,0.48649
5414001_erstavik,2004,0.48718
5414001_erstavik,2005,0.5122
5414001_erstavik,2006,0.46341
5414001_erstavik,2007,0.47727
5414001_erstavik,2008,0.5
5414001_erstavik,2009,0.51111
5414001_erstavik,2010,0.55263
5414001_erstavik,2011,0.53846
5414001_erstavik,2012,0.56098
5414001_erstavik,2013,0.47619
5414001_erstavik,2014,0.47619
5414100_kolarangen,2000,0.2714
5414100_kolarangen,2001,0.2852
5414100_kolarangen,2002,0.28494
5414100_kolarangen,2003,0.2789
5414100_kolarangen,2004,0.29795
5414100_kolarangen,2005,0.2987
5414100_kolarangen,2006,0.3283
5414100_kolarangen,2007,0.34417
5414100_kolarangen,2008,0.35465
5414100_kolarangen,2009,0.35375
5414100_kolarangen,2010,0.3604
5414100_kolarangen,2011,0.36791
5414100_kolarangen,2012,0.37154
5414100_kolarangen,2013,0.38845
5414100_kolarangen,2014,0.39489
5414200_alta_gard,2000,0.28812
5414200_alta_gard,2001,0.28947
5414200_alta_gard,2002,0.29314
5414200_alta_gard,2003,0.29312
5414200_alta_gard,2004,0.30275
5414200_alta_gard,2005,0.30849
5414200_alta_gard,2006,0.30823
5414200_alta_gard,2007,0.31486
5414200_alta_gard,2008,0.33094
5414200_alta_gard,2009,0.34307
5414200_alta_gard,2010,0.35049
5414200_alta_gard,2011,0.3733
5414200_alta_gard,2012,0.38481
5414200_alta_gard,2013,0.38209
5414200_alta_gard,2014,0.38972
5414300_stenso,2000,0.1213
5414300_stenso,2001,0.12462
5414300_stenso,2002,0.12711
5414300_stenso,2003,0.12226
5414300_stenso,2004,0.12638
5414300_stenso,2005,0.12698
5414300_stenso,2006,0.1248
5414300_stenso,2007,0.1312
5414300_stenso,2008,0.13
5414300_stenso,2009,0.1458
5414300_stenso,2010,0.1547
5414300_stenso,2011,0.17472
5414300_stenso,2012,0.17663
5414300_stenso,2013,0.18435
5414300_stenso,2014,0.18887
5414310_hedvigslund,2000,0.18314
5414310_hedvigslund,2001,0.21449
5414310_hedvigslund,2002,0.22063
5414310_hedvigslund,2003,0.23263
5414310_hedvigslund,2004,0.25937
5414310_hedvigslund,2005,0.24457
5414310_hedvigslund,2006,0.24586
5414310_hedvigslund,2007,0.26222
5414310_hedvigslund,2008,0.26067
5414310_hedvigslund,2009,0.29194
5414310_hedvigslund,2010,0.31098
5414310_hedvigslund,2011,0.31955
5414310_hedvigslund,2012,0.32981
