basomrade,year,population_20xx_12_31_female
4270502_algeby_garns_ekskogen,2005,111
4270502_algeby_garns_ekskogen,2006,111
4270502_algeby_garns_ekskogen,2007,115
4270502_algeby_garns_ekskogen,2008,122
4270502_algeby_garns_ekskogen,2009,114
4270502_algeby_garns_ekskogen,2010,111
4270502_algeby_garns_ekskogen,2011,119
4270502_algeby_garns_ekskogen,2012,123
4270502_algeby_garns_ekskogen,2013,129
4270502_algeby_garns_ekskogen,2014,142
4280000_angarns_forsamling,2000,160
4280000_angarns_forsamling,2001,163
4280000_angarns_forsamling,2002,163
4280000_angarns_forsamling,2003,159
4280000_angarns_forsamling,2004,168
4280000_angarns_forsamling,2005,172
4280000_angarns_forsamling,2006,181
4280000_angarns_forsamling,2007,193
4280000_angarns_forsamling,2008,194
4280000_angarns_forsamling,2009,206
4280000_angarns_forsamling,2010,200
4280000_angarns_forsamling,2011,209
4280000_angarns_forsamling,2012,211
4280000_angarns_forsamling,2013,214
4280000_angarns_forsamling,2014,213
4440110_ljustero,2000,674
4440110_ljustero,2001,684
4440110_ljustero,2002,699
4440110_ljustero,2003,710
4440110_ljustero,2004,718
4440110_ljustero,2005,713
4440110_ljustero,2006,732
4440110_ljustero,2007,749
4440110_ljustero,2008,757
4440110_ljustero,2009,741
4440110_ljustero,2010,715
4440110_ljustero,2011,724
4440110_ljustero,2012,705
4440110_ljustero,2013,714
4440110_ljustero,2014,721
4440120_ingmarso_m_fl_oar,2000,93
4440120_ingmarso_m_fl_oar,2001,94
4440120_ingmarso_m_fl_oar,2002,89
4440120_ingmarso_m_fl_oar,2003,94
4440120_ingmarso_m_fl_oar,2004,87
4440120_ingmarso_m_fl_oar,2005,88
4440120_ingmarso_m_fl_oar,2006,88
4440120_ingmarso_m_fl_oar,2007,93
4440120_ingmarso_m_fl_oar,2008,93
4440120_ingmarso_m_fl_oar,2009,94
4440120_ingmarso_m_fl_oar,2010,91
4440120_ingmarso_m_fl_oar,2011,93
4440120_ingmarso_m_fl_oar,2012,89
4440120_ingmarso_m_fl_oar,2013,82
4440120_ingmarso_m_fl_oar,2014,82
4440200_roslags_kulla_fd_forsaml,2000,230
4440200_roslags_kulla_fd_forsaml,2001,242
4440200_roslags_kulla_fd_forsaml,2002,247
4440200_roslags_kulla_fd_forsaml,2003,246
