basomrade,year,mean_income_aged_lt_20_male
4133920_fresta_sodra_glesbygd,2010,334372.22
4133920_fresta_sodra_glesbygd,2011,344794.32
4133920_fresta_sodra_glesbygd,2012,337116.57
4133920_fresta_sodra_glesbygd,2013,341545.37
4133920_fresta_sodra_glesbygd,2014,353065.62
4210110_centrala_vallentuna,2000,202923.35
4210110_centrala_vallentuna,2001,214801.34
4210110_centrala_vallentuna,2002,217100.14
4210110_centrala_vallentuna,2003,220840.02
4210110_centrala_vallentuna,2004,227665.54
4210110_centrala_vallentuna,2005,231904.07
4210110_centrala_vallentuna,2006,235397.41
4210110_centrala_vallentuna,2007,247135.01
4210110_centrala_vallentuna,2008,251606.54
4210110_centrala_vallentuna,2009,254824.39
4210110_centrala_vallentuna,2010,259992.1
4210110_centrala_vallentuna,2011,263594.92
4210110_centrala_vallentuna,2012,269102.47
4210110_centrala_vallentuna,2013,277075.52
4210110_centrala_vallentuna,2014,279008.78
4210210_norra_vallentuna_tatort,2000,274282.05
4210210_norra_vallentuna_tatort,2001,278791.07
4210210_norra_vallentuna_tatort,2002,286621.51
4210210_norra_vallentuna_tatort,2003,282223.96
4210210_norra_vallentuna_tatort,2004,288230.46
4210210_norra_vallentuna_tatort,2005,293305.72
4210210_norra_vallentuna_tatort,2006,304830.91
4210210_norra_vallentuna_tatort,2007,312901.57
4210210_norra_vallentuna_tatort,2008,318137.6
4210210_norra_vallentuna_tatort,2009,310290.03
4210210_norra_vallentuna_tatort,2010,307410.59
4210210_norra_vallentuna_tatort,2011,317866.95
4210210_norra_vallentuna_tatort,2012,325021.89
4210210_norra_vallentuna_tatort,2013,333346.16
4210210_norra_vallentuna_tatort,2014,341489.27
4210220_nv_a_vallentuna_tatort,2000,308909.31
4210220_nv_a_vallentuna_tatort,2001,325252.24
4210220_nv_a_vallentuna_tatort,2002,323331.12
4210220_nv_a_vallentuna_tatort,2003,339243.12
4210220_nv_a_vallentuna_tatort,2004,340551.54
4210220_nv_a_vallentuna_tatort,2005,351863.41
4210220_nv_a_vallentuna_tatort,2006,359454.47
4210220_nv_a_vallentuna_tatort,2007,377766.98
4210220_nv_a_vallentuna_tatort,2008,393331.1
4210220_nv_a_vallentuna_tatort,2009,404395.77
4210220_nv_a_vallentuna_tatort,2010,412686.71
4210220_nv_a_vallentuna_tatort,2011,426325.92
4210220_nv_a_vallentuna_tatort,2012,431131.44
4210220_nv_a_vallentuna_tatort,2013,435955.78
4210220_nv_a_vallentuna_tatort,2014,440989.47
4210320_ostra_ormsta,2000,300450.96
4210320_ostra_ormsta,2001,325107.63
4210320_ostra_ormsta,2002,334191.84
4210320_ostra_ormsta,2003,339236.19
4210320_ostra_ormsta,2004,343874.42
4210320_ostra_ormsta,2005,362494.87
4210320_ostra_ormsta,2006,377139.88
4210320_ostra_ormsta,2007,387976.98
4210320_ostra_ormsta,2008,411388.79
4210320_ostra_ormsta,2009,406412.8
4210320_ostra_ormsta,2010,413181.23
4210320_ostra_ormsta,2011,422404.71
4210320_ostra_ormsta,2012,433033.22
4210320_ostra_ormsta,2013,426944.71
4210320_ostra_ormsta,2014,430781.24
4210330_vastra_ormsta,2000,317212.33
4210330_vastra_ormsta,2001,334263.28
4210330_vastra_ormsta,2002,341553.71
4210330_vastra_ormsta,2003,347167.24
4210330_vastra_ormsta,2004,345279.87
4210330_vastra_ormsta,2005,357549.08
4210330_vastra_ormsta,2006,358142.96
4210330_vastra_ormsta,2007,371481.66
4210330_vastra_ormsta,2008,373945.4
4210330_vastra_ormsta,2009,375494.45
4210330_vastra_ormsta,2010,377446.38
4210330_vastra_ormsta,2011,377192.68
4210330_vastra_ormsta,2012,386032.1
4210330_vastra_ormsta,2013,390264.11
4210330_vastra_ormsta,2014,390970.03
4210340_aby_bostadsomr,2000,155153.1
