basomrade,year,cumulative_immigration_surplus_employed_aged_20_64_female
1130120_gustav_vasa_kyrka,2006,72
1130120_gustav_vasa_kyrka,2007,95
1130120_gustav_vasa_kyrka,2008,87
1130120_gustav_vasa_kyrka,2009,76
1130120_gustav_vasa_kyrka,2010,66
1130120_gustav_vasa_kyrka,2011,98
1130120_gustav_vasa_kyrka,2012,130
1130120_gustav_vasa_kyrka,2013,149
1130120_gustav_vasa_kyrka,2014,138
1130130_observatoriegatan,2000,42
1130130_observatoriegatan,2001,37
1130130_observatoriegatan,2002,30
1130130_observatoriegatan,2003,40
1130130_observatoriegatan,2004,37
1130130_observatoriegatan,2005,44
1130130_observatoriegatan,2006,54
1130130_observatoriegatan,2007,57
1130130_observatoriegatan,2008,65
1130130_observatoriegatan,2009,60
1130130_observatoriegatan,2010,83
1130130_observatoriegatan,2011,104
1130130_observatoriegatan,2012,96
1130130_observatoriegatan,2013,111
1130130_observatoriegatan,2014,119
1130140_sabbatsberg,2000,-7
1130140_sabbatsberg,2001,-25
1130140_sabbatsberg,2002,-24
1130140_sabbatsberg,2003,-37
1130140_sabbatsberg,2004,-42
1130140_sabbatsberg,2005,-48
1130140_sabbatsberg,2006,-60
1130140_sabbatsberg,2007,-55
1130140_sabbatsberg,2008,3
1130140_sabbatsberg,2009,234
1130140_sabbatsberg,2010,244
1130140_sabbatsberg,2011,252
1130140_sabbatsberg,2012,248
1130140_sabbatsberg,2013,245
1130140_sabbatsberg,2014,235
1130150_polstjarnan,2000,5
1130150_polstjarnan,2001,16
1130150_polstjarnan,2002,27
1130150_polstjarnan,2003,29
1130150_polstjarnan,2004,27
1130150_polstjarnan,2005,27
1130150_polstjarnan,2006,23
1130150_polstjarnan,2007,28
1130150_polstjarnan,2008,43
1130150_polstjarnan,2009,39
1130150_polstjarnan,2010,58
1130150_polstjarnan,2011,52
1130150_polstjarnan,2012,52
1130150_polstjarnan,2013,73
1130150_polstjarnan,2014,68
1130170_betlehemskyrkan,2000,-14
1130170_betlehemskyrkan,2001,-20
1130170_betlehemskyrkan,2002,-13
1130170_betlehemskyrkan,2003,-5
1130170_betlehemskyrkan,2004,-3
1130170_betlehemskyrkan,2005,-4
1130170_betlehemskyrkan,2006,-7
1130170_betlehemskyrkan,2007,-7
1130170_betlehemskyrkan,2008,7
1130170_betlehemskyrkan,2009,1
1130170_betlehemskyrkan,2010,-16
1130170_betlehemskyrkan,2011,-15
1130170_betlehemskyrkan,2012,-15
1130170_betlehemskyrkan,2013,-35
1130170_betlehemskyrkan,2014,-25
1140110_norrtull,2000,2
1140110_norrtull,2001,4
1140110_norrtull,2002,3
1140110_norrtull,2003,4
1140110_norrtull,2004,3
1140110_norrtull,2005,-1
1140110_norrtull,2006,9
1140110_norrtull,2007,9
1140110_norrtull,2008,6
1140110_norrtull,2009,4
1140110_norrtull,2010,4
1140110_norrtull,2011,8
1140110_norrtull,2012,-3
1140110_norrtull,2013,-3
1140110_norrtull,2014,4
1140120_tre_liljor,2000,18
1140120_tre_liljor,2001,22
1140120_tre_liljor,2002,24
1140120_tre_liljor,2003,23
1140120_tre_liljor,2004,50
1140120_tre_liljor,2005,69
1140120_tre_liljor,2006,66
1140120_tre_liljor,2007,57
1140120_tre_liljor,2008,61
1140120_tre_liljor,2009,83
1140120_tre_liljor,2010,98
1140120_tre_liljor,2011,89
1140120_tre_liljor,2012,126
1140120_tre_liljor,2013,105
1140120_tre_liljor,2014,97
1140130_matteus_kyrka,2000,35
1140130_matteus_kyrka,2001,34
1140130_matteus_kyrka,2002,42
1140130_matteus_kyrka,2003,81
1140130_matteus_kyrka,2004,81
1140130_matteus_kyrka,2005,98
1140130_matteus_kyrka,2006,93
1140130_matteus_kyrka,2007,96
1140130_matteus_kyrka,2008,118
1140130_matteus_kyrka,2009,130
1140130_matteus_kyrka,2010,115
1140130_matteus_kyrka,2011,106
1140130_matteus_kyrka,2012,126
1140130_matteus_kyrka,2013,125
1140130_matteus_kyrka,2014,133
1140140_halsingehojden,2000,13
1140140_halsingehojden,2001,24
1140140_halsingehojden,2002,31
1140140_halsingehojden,2003,60
1140140_halsingehojden,2004,40
1140140_halsingehojden,2005,40
1140140_halsingehojden,2006,56
1140140_halsingehojden,2007,76
1140140_halsingehojden,2008,72
1140140_halsingehojden,2009,57
1140140_halsingehojden,2010,56
1140140_halsingehojden,2011,76
1140140_halsingehojden,2012,72
1140140_halsingehojden,2013,91
1140140_halsingehojden,2014,78
1140150_centralgaraget,2000,-6
1140150_centralgaraget,2001,-7
1140150_centralgaraget,2002,-12
1140150_centralgaraget,2003,-23
1140150_centralgaraget,2004,-18
1140150_centralgaraget,2005,10
1140150_centralgaraget,2006,0
1140150_centralgaraget,2007,2
1140150_centralgaraget,2008,48
1140150_centralgaraget,2009,57
1140150_centralgaraget,2010,45
1140150_centralgaraget,2011,41
1140150_centralgaraget,2012,44
1140150_centralgaraget,2013,62
1140150_centralgaraget,2014,55
1140210_okand,2000,4
1140210_okand,2001,5
1140210_okand,2002,5
1140210_okand,2003,3
1140210_okand,2004,-3
1140210_okand,2005,-2
1140210_okand,2006,-8
1140210_okand,2007,-6
1140210_okand,2008,-9
1140210_okand,2009,-14
1140212_norra_station_2,2010,3
1140212_norra_station_2,2011,2
1140212_norra_station_2,2012,4
1140212_norra_station_2,2013,1
1140212_norra_station_2,2014,1
1140220_birkagarden,2000,-11
1140220_birkagarden,2001,-17
1140220_birkagarden,2002,-39
1140220_birkagarden,2003,-52
1140220_birkagarden,2004,-53
1140220_birkagarden,2005,-106
1140220_birkagarden,2006,-104
1140220_birkagarden,2007,-149
1140220_birkagarden,2008,-169
1140220_birkagarden,2009,-191
1140220_birkagarden,2010,-195
1140220_birkagarden,2011,-211
1140220_birkagarden,2012,-214
1140220_birkagarden,2013,-232
1140220_birkagarden,2014,-243
1140230_rorstrand,2000,-17
1140230_rorstrand,2001,-7
1140230_rorstrand,2002,41
1140230_rorstrand,2003,73
1140230_rorstrand,2004,48
1140230_rorstrand,2005,91
1140230_rorstrand,2006,93
1140230_rorstrand,2007,68
1140230_rorstrand,2008,133
1140230_rorstrand,2009,144
1140230_rorstrand,2010,168
1140230_rorstrand,2011,186
1140230_rorstrand,2012,186
1140230_rorstrand,2013,198
1140230_rorstrand,2014,192
1140240_rodaberget,2000,39
1140240_rodaberget,2001,25
1140240_rodaberget,2002,18
1140240_rodaberget,2003,4
1140240_rodaberget,2004,1
1140240_rodaberget,2005,34
1140240_rodaberget,2006,38
1140240_rodaberget,2007,30
1140240_rodaberget,2008,47
1140240_rodaberget,2009,83
1140240_rodaberget,2010,125
1140240_rodaberget,2011,93
1140240_rodaberget,2012,95
1140240_rodaberget,2013,121
1140240_rodaberget,2014,112
1140250_s_t_eriksplan,2000,1
1140250_s_t_eriksplan,2001,9
1140250_s_t_eriksplan,2002,14
1140250_s_t_eriksplan,2003,9
1140250_s_t_eriksplan,2004,10
1140250_s_t_eriksplan,2005,21
1140250_s_t_eriksplan,2006,30
1140250_s_t_eriksplan,2007,11
1140250_s_t_eriksplan,2008,2
1140250_s_t_eriksplan,2009,15
1140250_s_t_eriksplan,2010,5
