basomrade,year,higher_education_min_3_years_percent_of_population_aged_25_64_female
4122230_apoteksskogen,2002,0.10044
4122230_apoteksskogen,2003,0.10976
4122230_apoteksskogen,2004,0.11367
4122230_apoteksskogen,2005,0.11392
4122230_apoteksskogen,2006,0.11878
4122230_apoteksskogen,2007,0.11349
4122230_apoteksskogen,2008,0.11448
4122230_apoteksskogen,2009,0.12081
4122230_apoteksskogen,2010,0.1283
4122230_apoteksskogen,2011,0.14716
4122230_apoteksskogen,2012,0.15994
4122230_apoteksskogen,2013,0.18225
4122230_apoteksskogen,2014,0.19243
4122240_vasbyskogen,2000,0.14114
4122240_vasbyskogen,2001,0.1407
4122240_vasbyskogen,2002,0.14044
4122240_vasbyskogen,2003,0.14594
4122240_vasbyskogen,2004,0.13889
4122240_vasbyskogen,2005,0.16467
4122240_vasbyskogen,2006,0.16961
4122240_vasbyskogen,2007,0.16487
4122240_vasbyskogen,2008,0.16971
4122240_vasbyskogen,2009,0.17766
4122240_vasbyskogen,2010,0.17832
4122240_vasbyskogen,2011,0.17782
4122240_vasbyskogen,2012,0.16637
4122240_vasbyskogen,2013,0.17133
4122240_vasbyskogen,2014,0.17496
4122310_korpkulla,2000,0.16499
4122310_korpkulla,2001,0.17536
4122310_korpkulla,2002,0.19201
4122310_korpkulla,2003,0.20043
4122310_korpkulla,2004,0.19764
4122310_korpkulla,2005,0.2
4122310_korpkulla,2006,0.21699
4122310_korpkulla,2007,0.22604
4122310_korpkulla,2008,0.22348
4122310_korpkulla,2009,0.24236
4122310_korpkulla,2010,0.23601
4122310_korpkulla,2011,0.25743
4122310_korpkulla,2012,0.26279
4122310_korpkulla,2013,0.27401
4122310_korpkulla,2014,0.27216
4122340_vilunda,2000,0.10536
4122340_vilunda,2001,0.1068
4122340_vilunda,2002,0.11546
4122340_vilunda,2003,0.10297
4122340_vilunda,2004,0.10591
4122340_vilunda,2005,0.11828
4122340_vilunda,2006,0.09396
4122340_vilunda,2007,0.12444
4122340_vilunda,2008,0.1377
4122340_vilunda,2009,0.13699
4122340_vilunda,2010,0.1286
4122340_vilunda,2011,0.14634
4122340_vilunda,2012,0.1488
4122340_vilunda,2013,0.16228
4122340_vilunda,2014,0.16197
4122420_norra_smedby,2000,0.08632
4122420_norra_smedby,2001,0.09642
4122420_norra_smedby,2002,0.09677
4122420_norra_smedby,2003,0.09372
4122420_norra_smedby,2004,0.09238
4122420_norra_smedby,2005,0.10562
4122420_norra_smedby,2006,0.11057
4122420_norra_smedby,2007,0.12261
4122420_norra_smedby,2008,0.13039
4122420_norra_smedby,2009,0.13439
4122420_norra_smedby,2010,0.12984
4122420_norra_smedby,2011,0.15517
4122420_norra_smedby,2012,0.1606
4122420_norra_smedby,2013,0.16285
4122420_norra_smedby,2014,0.16393
4122430_sodra_smedby,2000,0.109
4122430_sodra_smedby,2001,0.10698
4122430_sodra_smedby,2002,0.12903
4122430_sodra_smedby,2003,0.13023
4122430_sodra_smedby,2004,0.1215
4122430_sodra_smedby,2005,0.1327
4122430_sodra_smedby,2006,0.15238
4122430_sodra_smedby,2007,0.13023
4122430_sodra_smedby,2008,0.13953
4122430_sodra_smedby,2009,0.13861
4122430_sodra_smedby,2010,0.14762
4122430_sodra_smedby,2011,0.1407
4122430_sodra_smedby,2012,0.1592
4122430_sodra_smedby,2013,0.18357
4122430_sodra_smedby,2014,0.21675
4122520_skalby,2000,0.21829
4122520_skalby,2001,0.22981
4122520_skalby,2002,0.22115
4122520_skalby,2003,0.19934
4122520_skalby,2004,0.20275
4122520_skalby,2005,0.20548
4122520_skalby,2006,0.20979
4122520_skalby,2007,0.19643
4122520_skalby,2008,0.2
4122520_skalby,2009,0.20703
4122520_skalby,2010,0.22628
4122520_skalby,2011,0.24028
4122520_skalby,2012,0.23466
4122520_skalby,2013,0.21642
4122520_skalby,2014,0.24254
4122530_carlslund,2000,0.1088
4122530_carlslund,2001,0.13426
4122530_carlslund,2002,0.12911
4122530_carlslund,2003,0.11611
4122530_carlslund,2004,0.12225
4122530_carlslund,2005,0.13268
4122530_carlslund,2006,0.13409
4122530_carlslund,2007,0.15385
4122530_carlslund,2008,0.15068
4122530_carlslund,2009,0.15281
4122530_carlslund,2010,0.17464
4122530_carlslund,2011,0.17739
4122530_carlslund,2012,0.16698
4122530_carlslund,2013,0.17496
4122530_carlslund,2014,0.1918
4122540_brunnby,2000,0.21132
4122540_brunnby,2001,0.20229
4122540_brunnby,2002,0.20152
4122540_brunnby,2003,0.19084
4122540_brunnby,2004,0.21912
4122540_brunnby,2005,0.22093
4122540_brunnby,2006,0.22901
4122540_brunnby,2007,0.24506
4122540_brunnby,2008,0.26336
4122540_brunnby,2009,0.25882
4122540_brunnby,2010,0.26908
4122540_brunnby,2011,0.27419
4122540_brunnby,2012,0.28916
4122540_brunnby,2013,0.272
4122540_brunnby,2014,0.28571
4122600_vastra_odenslunda,2000,0.17439
4122600_vastra_odenslunda,2001,0.18056
4122600_vastra_odenslunda,2002,0.1875
4122600_vastra_odenslunda,2003,0.18235
4122600_vastra_odenslunda,2004,0.2
4122600_vastra_odenslunda,2005,0.2029
4122600_vastra_odenslunda,2006,0.20354
4122600_vastra_odenslunda,2007,0.19453
4122600_vastra_odenslunda,2008,0.20242
4122600_vastra_odenslunda,2009,0.20433
4122600_vastra_odenslunda,2010,0.22291
4122600_vastra_odenslunda,2011,0.22571
4122600_vastra_odenslunda,2012,0.2236
4122600_vastra_odenslunda,2013,0.24127
4122600_vastra_odenslunda,2014,0.24611
4133110_sanda,2001,1
4133110_sanda,2003,0
4133110_sanda,2004,1
4133110_sanda,2005,0.5
4133110_sanda,2006,0
4133110_sanda,2007,0
4133110_sanda,2008,0.38235
4133110_sanda,2009,0.49438
4133110_sanda,2010,0.51429
4133110_sanda,2011,0.49219
4133110_sanda,2012,0.49689
4133110_sanda,2013,0.49419
4133110_sanda,2014,0.46809
4133120_ostra_odenslunda,2000,0.1411
4133120_ostra_odenslunda,2001,0.14021
4133120_ostra_odenslunda,2002,0.13559
4133120_ostra_odenslunda,2003,0.1465
4133120_ostra_odenslunda,2004,0.16331
4133120_ostra_odenslunda,2005,0.18023
4133120_ostra_odenslunda,2006,0.17949
4133120_ostra_odenslunda,2007,0.18738
4133120_ostra_odenslunda,2008,0.18563
4133120_ostra_odenslunda,2009,0.20792
4133120_ostra_odenslunda,2010,0.2198
4133120_ostra_odenslunda,2011,0.24805
4133120_ostra_odenslunda,2012,0.26112
4133120_ostra_odenslunda,2013,0.26892
4133120_ostra_odenslunda,2014,0.27856
4133200_frestaby,2000,0.17824
4133200_frestaby,2001,0.18336
4133200_frestaby,2002,0.18027
4133200_frestaby,2003,0.17949
4133200_frestaby,2004,0.18109
4133200_frestaby,2005,0.18036
4133200_frestaby,2006,0.1917
4133200_frestaby,2007,0.20151
4133200_frestaby,2008,0.22031
4133200_frestaby,2009,0.23699
4133200_frestaby,2010,0.24063
4133200_frestaby,2011,0.236
4133200_frestaby,2012,0.24842
4133200_frestaby,2013,0.26271
4133200_frestaby,2014,0.25311
4133310_vastra_bollstanas,2000,0.19713
4133310_vastra_bollstanas,2001,0.20083
4133310_vastra_bollstanas,2002,0.20042
4133310_vastra_bollstanas,2003,0.21336
4133310_vastra_bollstanas,2004,0.23851
4133310_vastra_bollstanas,2005,0.24123
4133310_vastra_bollstanas,2006,0.24194
4133310_vastra_bollstanas,2007,0.25404
4133310_vastra_bollstanas,2008,0.25761
4133310_vastra_bollstanas,2009,0.25366
4133310_vastra_bollstanas,2010,0.26683
4133310_vastra_bollstanas,2011,0.26
4133310_vastra_bollstanas,2012,0.28715
4133310_vastra_bollstanas,2013,0.28906
4133310_vastra_bollstanas,2014,0.31217
4133330_ostra_bollstanas,2000,0.17755
4133330_ostra_bollstanas,2001,0.18622
4133330_ostra_bollstanas,2002,0.1888
4133330_ostra_bollstanas,2003,0.2036
4133330_ostra_bollstanas,2004,0.20949
4133330_ostra_bollstanas,2005,0.22103
4133330_ostra_bollstanas,2006,0.2328
4133330_ostra_bollstanas,2007,0.2441
4133330_ostra_bollstanas,2008,0.25046
4133330_ostra_bollstanas,2009,0.25933
4133330_ostra_bollstanas,2010,0.27187
4133330_ostra_bollstanas,2011,0.28205
4133330_ostra_bollstanas,2012,0.29429
4133330_ostra_bollstanas,2013,0.29519
4133330_ostra_bollstanas,2014,0.30303
4133350_sodra_bollstanas,2000,0.19277
4133350_sodra_bollstanas,2001,0.21368
4133350_sodra_bollstanas,2002,0.23204
4133350_sodra_bollstanas,2003,0.24457
4133350_sodra_bollstanas,2004,0.25876
4133350_sodra_bollstanas,2005,0.24737
4133350_sodra_bollstanas,2006,0.25628
4133350_sodra_bollstanas,2007,0.28141
4133350_sodra_bollstanas,2008,0.28101
4133350_sodra_bollstanas,2009,0.28133
4133350_sodra_bollstanas,2010,0.29949
4133350_sodra_bollstanas,2011,0.31347
4133350_sodra_bollstanas,2012,0.32808
4133350_sodra_bollstanas,2013,0.34465
4133350_sodra_bollstanas,2014,0.34748
4133910_fresta_norra_glesbygd,2000,0.08911
4133910_fresta_norra_glesbygd,2001,0.13084
4133910_fresta_norra_glesbygd,2002,0.14407
4133910_fresta_norra_glesbygd,2003,0.17037
4133910_fresta_norra_glesbygd,2004,0.16667
4133910_fresta_norra_glesbygd,2005,0.16912
4133910_fresta_norra_glesbygd,2006,0.17857
4133910_fresta_norra_glesbygd,2007,0.20423
4133910_fresta_norra_glesbygd,2008,0.20423
4133910_fresta_norra_glesbygd,2009,0.20144
4133910_fresta_norra_glesbygd,2010,0.21898
4133910_fresta_norra_glesbygd,2011,0.23913
4133910_fresta_norra_glesbygd,2012,0.26087
4133910_fresta_norra_glesbygd,2013,0.24476
4133910_fresta_norra_glesbygd,2014,0.23944
4133920_fresta_sodra_glesbygd,2000,0.09302
4133920_fresta_sodra_glesbygd,2001,0.06977
4133920_fresta_sodra_glesbygd,2002,0.075
4133920_fresta_sodra_glesbygd,2003,0.1
4133920_fresta_sodra_glesbygd,2004,0.10417
4133920_fresta_sodra_glesbygd,2005,0.11111
4133920_fresta_sodra_glesbygd,2006,0.11628
4133920_fresta_sodra_glesbygd,2007,0.19565
4133920_fresta_sodra_glesbygd,2008,0.19149
4133920_fresta_sodra_glesbygd,2009,0.2093
4133920_fresta_sodra_glesbygd,2010,0.23077
4133920_fresta_sodra_glesbygd,2011,0.21951
4133920_fresta_sodra_glesbygd,2012,0.20408
4133920_fresta_sodra_glesbygd,2013,0.25
4133920_fresta_sodra_glesbygd,2014,0.26667
4210110_centrala_vallentuna,2000,0.12136
4210110_centrala_vallentuna,2001,0.12274
4210110_centrala_vallentuna,2002,0.12706
4210110_centrala_vallentuna,2003,0.14815
4210110_centrala_vallentuna,2004,0.15094
4210110_centrala_vallentuna,2005,0.16872
4210110_centrala_vallentuna,2006,0.18138
4210110_centrala_vallentuna,2007,0.18564
4210110_centrala_vallentuna,2008,0.18084
4210110_centrala_vallentuna,2009,0.17888
4210110_centrala_vallentuna,2010,0.18564
4210110_centrala_vallentuna,2011,0.19598
4210110_centrala_vallentuna,2012,0.18926
4210110_centrala_vallentuna,2013,0.19586
4210110_centrala_vallentuna,2014,0.19725
4210210_norra_vallentuna_tatort,2000,0.14403
4210210_norra_vallentuna_tatort,2001,0.14897
4210210_norra_vallentuna_tatort,2002,0.15498
4210210_norra_vallentuna_tatort,2003,0.16317
4210210_norra_vallentuna_tatort,2004,0.17857
4210210_norra_vallentuna_tatort,2005,0.1925
4210210_norra_vallentuna_tatort,2006,0.19275
4210210_norra_vallentuna_tatort,2007,0.21
4210210_norra_vallentuna_tatort,2008,0.21053
4210210_norra_vallentuna_tatort,2009,0.23199
4210210_norra_vallentuna_tatort,2010,0.21164
4210210_norra_vallentuna_tatort,2011,0.21016
4210210_norra_vallentuna_tatort,2012,0.20683
4210210_norra_vallentuna_tatort,2013,0.23234
4210210_norra_vallentuna_tatort,2014,0.2514
4210220_nv_a_vallentuna_tatort,2000,0.22066
4210220_nv_a_vallentuna_tatort,2001,0.21789
4210220_nv_a_vallentuna_tatort,2002,0.22685
4210220_nv_a_vallentuna_tatort,2003,0.23666
4210220_nv_a_vallentuna_tatort,2004,0.24256
4210220_nv_a_vallentuna_tatort,2005,0.23982
4210220_nv_a_vallentuna_tatort,2006,0.25386
4210220_nv_a_vallentuna_tatort,2007,0.28743
4210220_nv_a_vallentuna_tatort,2008,0.2919
4210220_nv_a_vallentuna_tatort,2009,0.30631
4210220_nv_a_vallentuna_tatort,2010,0.33566
4210220_nv_a_vallentuna_tatort,2011,0.34412
4210220_nv_a_vallentuna_tatort,2012,0.35372
4210220_nv_a_vallentuna_tatort,2013,0.36288
4210220_nv_a_vallentuna_tatort,2014,0.38399
4210320_ostra_ormsta,2000,0.18039
4210320_ostra_ormsta,2001,0.18284
4210320_ostra_ormsta,2002,0.1875
4210320_ostra_ormsta,2003,0.21321
4210320_ostra_ormsta,2004,0.20736
4210320_ostra_ormsta,2005,0.22157
4210320_ostra_ormsta,2006,0.22638
4210320_ostra_ormsta,2007,0.24152
4210320_ostra_ormsta,2008,0.25251
4210320_ostra_ormsta,2009,0.27328
4210320_ostra_ormsta,2010,0.2996
4210320_ostra_ormsta,2011,0.31683
4210320_ostra_ormsta,2012,0.31434
4210320_ostra_ormsta,2013,0.32039
4210320_ostra_ormsta,2014,0.32948
4210330_vastra_ormsta,2000,0.17391
4210330_vastra_ormsta,2001,0.17873
4210330_vastra_ormsta,2002,0.1959
4210330_vastra_ormsta,2003,0.19362
4210330_vastra_ormsta,2004,0.20843
4210330_vastra_ormsta,2005,0.22038
4210330_vastra_ormsta,2006,0.23404
4210330_vastra_ormsta,2007,0.25245
4210330_vastra_ormsta,2008,0.27543
4210330_vastra_ormsta,2009,0.27411
4210330_vastra_ormsta,2010,0.28293
4210330_vastra_ormsta,2011,0.28889
4210330_vastra_ormsta,2012,0.29737
4210330_vastra_ormsta,2013,0.31877
4210330_vastra_ormsta,2014,0.32061
4210340_aby_bostadsomr,2000,0.07826
4210340_aby_bostadsomr,2001,0.10213
4210340_aby_bostadsomr,2002,0.11814
4210340_aby_bostadsomr,2003,0.131
4210340_aby_bostadsomr,2004,0.12757
4210340_aby_bostadsomr,2005,0.12146
4210340_aby_bostadsomr,2006,0.12658
4210340_aby_bostadsomr,2007,0.1336
4210340_aby_bostadsomr,2008,0.13305
4210340_aby_bostadsomr,2009,0.13808
4210340_aby_bostadsomr,2010,0.16981
4210340_aby_bostadsomr,2011,0.19203
4210340_aby_bostadsomr,2012,0.21754
4210340_aby_bostadsomr,2013,0.2619
4210340_aby_bostadsomr,2014,0.26621
4210410_vastra_ballsta,2000,0.22222
4210410_vastra_ballsta,2001,0.23669
4210410_vastra_ballsta,2002,0.25575
4210410_vastra_ballsta,2003,0.27809
4210410_vastra_ballsta,2004,0.27738
4210410_vastra_ballsta,2005,0.31624
4210410_vastra_ballsta,2006,0.31241
4210410_vastra_ballsta,2007,0.30702
4210410_vastra_ballsta,2008,0.31373
4210410_vastra_ballsta,2009,0.33233
4210410_vastra_ballsta,2010,0.35085
4210410_vastra_ballsta,2011,0.39166
4210410_vastra_ballsta,2012,0.40707
4210410_vastra_ballsta,2013,0.4146
4210410_vastra_ballsta,2014,0.43243
4210420_kragstalund,2000,0.19955
4210420_kragstalund,2001,0.21267
4210420_kragstalund,2002,0.21758
4210420_kragstalund,2003,0.22874
4210420_kragstalund,2004,0.27273
4210420_kragstalund,2005,0.27201
4210420_kragstalund,2006,0.2853
4210420_kragstalund,2007,0.30084
4210420_kragstalund,2008,0.3
4210420_kragstalund,2009,0.30899
4210420_kragstalund,2010,0.31534
4210420_kragstalund,2011,0.32948
4210420_kragstalund,2012,0.34483
4210420_kragstalund,2013,0.34064
4210420_kragstalund,2014,0.34519
4210430_ballstaberg,2000,0.22481
4210430_ballstaberg,2001,0.25157
4210430_ballstaberg,2002,0.28646
4210430_ballstaberg,2003,0.26389
4210430_ballstaberg,2004,0.29964
4210430_ballstaberg,2005,0.32424
4210430_ballstaberg,2006,0.35043
4210430_ballstaberg,2007,0.35753
4210430_ballstaberg,2008,0.39552
4210430_ballstaberg,2009,0.40858
4210430_ballstaberg,2010,0.41099
4210430_ballstaberg,2011,0.43659
4210430_ballstaberg,2012,0.4557
4210430_ballstaberg,2013,0.44792
4210430_ballstaberg,2014,0.45214
4210440_okand,2000,0.23164
4210440_okand,2001,0.23603
4210440_okand,2002,0.23851
4210440_okand,2003,0.2301
4210440_okand,2004,0.22529
4210440_okand,2005,0.23529
4210440_okand,2006,0.24313
4210440_okand,2007,0.2637
4210440_okand,2008,0.27669
4210440_okand,2009,0.28097
4210510_vallentuna_glesbygd_v,2000,0.15646
4210510_vallentuna_glesbygd_v,2001,0.17333
4210510_vallentuna_glesbygd_v,2002,0.18421
4210510_vallentuna_glesbygd_v,2003,0.18301
4210510_vallentuna_glesbygd_v,2004,0.18519
4210510_vallentuna_glesbygd_v,2005,0.2
4210510_vallentuna_glesbygd_v,2006,0.19753
4210510_vallentuna_glesbygd_v,2007,0.21154
4210510_vallentuna_glesbygd_v,2008,0.20126
4210510_vallentuna_glesbygd_v,2009,0.25301
4210510_vallentuna_glesbygd_v,2010,0.25658
4210510_vallentuna_glesbygd_v,2011,0.28025
4210510_vallentuna_glesbygd_v,2012,0.28144
4210510_vallentuna_glesbygd_v,2013,0.27273
4210510_vallentuna_glesbygd_v,2014,0.22599
4210530_vallentuna_glesbygd_no,2000,0.12195
4210530_vallentuna_glesbygd_no,2001,0.13333
4210530_vallentuna_glesbygd_no,2002,0.11236
4210530_vallentuna_glesbygd_no,2003,0.09184
4210530_vallentuna_glesbygd_no,2004,0.10309
4210530_vallentuna_glesbygd_no,2005,0.12766
4210530_vallentuna_glesbygd_no,2006,0.15054
4210530_vallentuna_glesbygd_no,2007,0.18627
4210530_vallentuna_glesbygd_no,2008,0.18447
4210530_vallentuna_glesbygd_no,2009,0.21622
4210530_vallentuna_glesbygd_no,2010,0.21667
4210530_vallentuna_glesbygd_no,2011,0.23704
4210530_vallentuna_glesbygd_no,2012,0.24286
4210530_vallentuna_glesbygd_no,2013,0.27848
4210530_vallentuna_glesbygd_no,2014,0.26087
4210540_okand,2000,0.15
4210540_okand,2001,0.13636
4210540_okand,2002,0.11905
4210540_okand,2003,0.17778
4210540_okand,2004,0.17391
4210540_okand,2005,0.15385
4210540_okand,2006,0.16667
4210540_okand,2007,0.18421
4210540_okand,2008,0.21277
4210540_okand,2009,0.22917
4220000_markims_forsamling,2000,0.2
4220000_markims_forsamling,2001,0.19512
4220000_markims_forsamling,2002,0.2069
4220000_markims_forsamling,2003,0.21519
4220000_markims_forsamling,2004,0.25301
4220000_markims_forsamling,2005,0.2625
4220000_markims_forsamling,2006,0.2987
4220000_markims_forsamling,2007,0.32927
4220000_markims_forsamling,2008,0.35294
4220000_markims_forsamling,2009,0.31765
4220000_markims_forsamling,2010,0.32143
4220000_markims_forsamling,2011,0.31707
4220000_markims_forsamling,2012,0.31034
4220000_markims_forsamling,2013,0.34568
4220000_markims_forsamling,2014,0.34118
4230100_lindholmen,2000,0.20091
4230100_lindholmen,2001,0.21918
4230100_lindholmen,2002,0.22072
4230100_lindholmen,2003,0.24434
4230100_lindholmen,2004,0.25764
4230100_lindholmen,2005,0.28205
4230100_lindholmen,2006,0.28814
4230100_lindholmen,2007,0.29958
4230100_lindholmen,2008,0.29832
4230100_lindholmen,2009,0.30126
4230100_lindholmen,2010,0.30041
4230100_lindholmen,2011,0.31818
4230100_lindholmen,2012,0.31474
4230100_lindholmen,2013,0.32389
4230100_lindholmen,2014,0.33745
4230500_okand,2000,0.08861
4230500_okand,2001,0.07895
4230500_okand,2002,0.10811
4230500_okand,2003,0.09333
4230500_okand,2004,0.09589
4230500_okand,2005,0.12162
4230500_okand,2006,0.13514
4230500_okand,2007,0.2027
4230500_okand,2008,0.19481
4230500_okand,2009,0.23377
4240000_frosunda_forsamling,2000,0.14094
4240000_frosunda_forsamling,2001,0.16438
4240000_frosunda_forsamling,2002,0.1859
4240000_frosunda_forsamling,2003,0.19876
4240000_frosunda_forsamling,2004,0.18868
4240000_frosunda_forsamling,2005,0.2037
4240000_frosunda_forsamling,2006,0.21795
4240000_frosunda_forsamling,2007,0.21341
4240000_frosunda_forsamling,2008,0.20468
4240000_frosunda_forsamling,2009,0.22485
4240000_frosunda_forsamling,2010,0.22941
4240000_frosunda_forsamling,2011,0.22778
4240000_frosunda_forsamling,2012,0.23699
4240000_frosunda_forsamling,2013,0.26111
4240000_frosunda_forsamling,2014,0.25824
4250100_karsta,2000,0.15094
4250100_karsta,2001,0.13
4250100_karsta,2002,0.14
4250100_karsta,2003,0.11881
4250100_karsta,2004,0.14706
4250100_karsta,2005,0.15686
4250100_karsta,2006,0.17143
4250100_karsta,2007,0.14679
4250100_karsta,2008,0.15741
4250100_karsta,2009,0.15455
4250100_karsta,2010,0.19469
4250100_karsta,2011,0.2193
4250100_karsta,2012,0.20513
4250100_karsta,2013,0.20513
4250100_karsta,2014,0.19835
4250200_ekskogen,2000,0.11667
4250200_ekskogen,2001,0.13559
4250200_ekskogen,2002,0.12727
4250200_ekskogen,2003,0.14286
4250200_ekskogen,2004,0.12727
4250200_ekskogen,2005,0.11321
4250200_ekskogen,2006,0.13462
4250200_ekskogen,2007,0.16981
4250200_ekskogen,2008,0.18
4250200_ekskogen,2009,0.16667
4250200_ekskogen,2010,0.19608
4250200_ekskogen,2011,0.25
4250200_ekskogen,2012,0.28571
4250200_ekskogen,2013,0.25926
4250200_ekskogen,2014,0.26786
4250500_karsta_glesbygd,2000,0.11465
4250500_karsta_glesbygd,2001,0.11834
4250500_karsta_glesbygd,2002,0.1462
4250500_karsta_glesbygd,2003,0.15
4250500_karsta_glesbygd,2004,0.15385
4250500_karsta_glesbygd,2005,0.18135
4250500_karsta_glesbygd,2006,0.18325
4250500_karsta_glesbygd,2007,0.18974
4250500_karsta_glesbygd,2008,0.18274
4250500_karsta_glesbygd,2009,0.185
4250500_karsta_glesbygd,2010,0.19797
4250500_karsta_glesbygd,2011,0.22115
4250500_karsta_glesbygd,2012,0.24286
4250500_karsta_glesbygd,2013,0.25248
4250500_karsta_glesbygd,2014,0.25243
4260500_vada_glesbygd,2000,0.13725
4260500_vada_glesbygd,2001,0.13462
4260500_vada_glesbygd,2002,0.17308
4260500_vada_glesbygd,2003,0.15094
4260500_vada_glesbygd,2004,0.16071
4260500_vada_glesbygd,2005,0.18333
4260500_vada_glesbygd,2006,0.19672
4260500_vada_glesbygd,2007,0.16923
4260500_vada_glesbygd,2008,0.22581
4260500_vada_glesbygd,2009,0.2381
4260500_vada_glesbygd,2010,0.20968
4260500_vada_glesbygd,2011,0.22034
4260500_vada_glesbygd,2012,0.2
4260500_vada_glesbygd,2013,0.1875
4260500_vada_glesbygd,2014,0.20588
4270100_karby,2000,0.05742
4270100_karby,2001,0.08612
4270100_karby,2002,0.08955
4270100_karby,2003,0.08763
4270100_karby,2004,0.11224
4270100_karby,2005,0.11675
4270100_karby,2006,0.13402
4270100_karby,2007,0.15736
4270100_karby,2008,0.16
4270100_karby,2009,0.17021
4270100_karby,2010,0.19565
4270100_karby,2011,0.2043
4270100_karby,2012,0.2043
4270100_karby,2013,0.21053
4270100_karby,2014,0.21053
