basomrade,year,cumulative_immigration_surplus_male
1110111_brunnsgatan_n,2012,21
1110111_brunnsgatan_n,2013,11
1110111_brunnsgatan_n,2014,12
1110112_brunnsgatan_s,2000,7
1110112_brunnsgatan_s,2001,13
1110112_brunnsgatan_s,2002,9
1110112_brunnsgatan_s,2003,19
1110112_brunnsgatan_s,2004,14
1110112_brunnsgatan_s,2005,18
1110112_brunnsgatan_s,2006,26
1110112_brunnsgatan_s,2007,30
1110112_brunnsgatan_s,2008,27
1110112_brunnsgatan_s,2009,28
1110112_brunnsgatan_s,2010,39
1110112_brunnsgatan_s,2011,42
1110112_brunnsgatan_s,2012,55
1110112_brunnsgatan_s,2013,58
1110112_brunnsgatan_s,2014,67
1110120_johannes_kyrka,2000,-3
1110120_johannes_kyrka,2001,-15
1110120_johannes_kyrka,2002,2
1110120_johannes_kyrka,2003,-3
1110120_johannes_kyrka,2004,-4
1110120_johannes_kyrka,2005,-18
1110120_johannes_kyrka,2006,-22
1110120_johannes_kyrka,2007,-13
1110120_johannes_kyrka,2008,-18
1110120_johannes_kyrka,2009,-21
1110120_johannes_kyrka,2010,-28
1110120_johannes_kyrka,2011,-38
1110120_johannes_kyrka,2012,-33
1110120_johannes_kyrka,2013,-43
1110120_johannes_kyrka,2014,-53
1110210_wenner_gren_center,2000,-10
1110210_wenner_gren_center,2001,-10
1110210_wenner_gren_center,2002,-35
1110210_wenner_gren_center,2003,-37
1110210_wenner_gren_center,2004,-35
1110210_wenner_gren_center,2005,-41
1110210_wenner_gren_center,2006,-65
1110210_wenner_gren_center,2007,-85
1110210_wenner_gren_center,2008,-72
1110210_wenner_gren_center,2009,-87
1110210_wenner_gren_center,2010,-78
1110210_wenner_gren_center,2011,-79
1110210_wenner_gren_center,2012,-71
1110210_wenner_gren_center,2013,-60
1110210_wenner_gren_center,2014,-46
1110220_vanadislunden,2000,65
1110220_vanadislunden,2001,60
1110220_vanadislunden,2002,26
1110220_vanadislunden,2003,20
1110220_vanadislunden,2004,-16
1110220_vanadislunden,2005,-3
1110220_vanadislunden,2006,-62
1110220_vanadislunden,2007,-55
1110220_vanadislunden,2008,-53
1110220_vanadislunden,2009,-61
1110220_vanadislunden,2010,-94
1110220_vanadislunden,2011,-116
1110220_vanadislunden,2012,-136
1110220_vanadislunden,2013,-171
1110220_vanadislunden,2014,-180
1110230_surbrunnsomradet,2000,22
1110230_surbrunnsomradet,2001,6
1110230_surbrunnsomradet,2002,-28
1110230_surbrunnsomradet,2003,-36
1110230_surbrunnsomradet,2004,-41
1110230_surbrunnsomradet,2005,-51
1110230_surbrunnsomradet,2006,-62
1110230_surbrunnsomradet,2007,-52
1110230_surbrunnsomradet,2008,-41
1110230_surbrunnsomradet,2009,-49
1110230_surbrunnsomradet,2010,-45
1110230_surbrunnsomradet,2011,-40
1110230_surbrunnsomradet,2012,-63
1110230_surbrunnsomradet,2013,-42
1110230_surbrunnsomradet,2014,-56
1110240_norra_real,2000,-12
1110240_norra_real,2001,-8
1110240_norra_real,2002,-12
1110240_norra_real,2003,-25
1110240_norra_real,2004,-25
1110240_norra_real,2005,-23
1110240_norra_real,2006,-29
1110240_norra_real,2007,-51
1110240_norra_real,2008,-51
1110240_norra_real,2009,-66
1110240_norra_real,2010,-64
1110240_norra_real,2011,-85
1110240_norra_real,2012,-83
1110240_norra_real,2013,-87
1110240_norra_real,2014,-88
1110250_elverket,2000,2
1110250_elverket,2001,3
1110250_elverket,2002,-2
1110250_elverket,2003,-10
1110250_elverket,2004,-9
1110250_elverket,2005,-4
1110250_elverket,2006,-12
1110250_elverket,2007,-15
1110250_elverket,2008,-19
1110250_elverket,2009,-14
1110250_elverket,2010,-10
1110250_elverket,2011,-12
1110250_elverket,2012,-19
1110250_elverket,2013,-28
1110250_elverket,2014,-38
1120110_tegnerlunden,2000,1
1120110_tegnerlunden,2001,-1
1120110_tegnerlunden,2002,6
1120110_tegnerlunden,2003,9
1120110_tegnerlunden,2004,2
1120110_tegnerlunden,2005,7
1120110_tegnerlunden,2006,0
1120110_tegnerlunden,2007,-18
1120110_tegnerlunden,2008,-31
1120110_tegnerlunden,2009,-50
1120110_tegnerlunden,2010,-51
1120110_tegnerlunden,2011,-36
1120110_tegnerlunden,2012,-48
1120110_tegnerlunden,2013,-48
1120110_tegnerlunden,2014,-55
1120120_tandlakarhogskolan,2000,-3
1120120_tandlakarhogskolan,2001,-7
1120120_tandlakarhogskolan,2002,3
1120120_tandlakarhogskolan,2003,10
1120120_tandlakarhogskolan,2004,15
1120120_tandlakarhogskolan,2005,13
1120120_tandlakarhogskolan,2006,16
1120120_tandlakarhogskolan,2007,13
1120120_tandlakarhogskolan,2008,18
1120120_tandlakarhogskolan,2009,8
1120120_tandlakarhogskolan,2010,10
1120120_tandlakarhogskolan,2011,2
1120120_tandlakarhogskolan,2012,29
1120120_tandlakarhogskolan,2013,28
1120120_tandlakarhogskolan,2014,25
1120131_norra_bantorget_o,2000,-2
1120131_norra_bantorget_o,2001,5
1120131_norra_bantorget_o,2002,-3
1120131_norra_bantorget_o,2003,6
1120131_norra_bantorget_o,2004,1
1120131_norra_bantorget_o,2005,10
1120131_norra_bantorget_o,2006,19
1120131_norra_bantorget_o,2007,12
1120131_norra_bantorget_o,2008,80
1120131_norra_bantorget_o,2009,101
1120131_norra_bantorget_o,2010,107
1120131_norra_bantorget_o,2011,92
1120131_norra_bantorget_o,2012,96
1120131_norra_bantorget_o,2013,79
1120131_norra_bantorget_o,2014,87
1120132_norra_bantorget_v,2010,16
1120132_norra_bantorget_v,2011,19
1120132_norra_bantorget_v,2012,23
1120132_norra_bantorget_v,2013,23
1120132_norra_bantorget_v,2014,18
1120140_adolf_fredriks_kyrka,2000,10
1120140_adolf_fredriks_kyrka,2001,1
1120140_adolf_fredriks_kyrka,2002,2
1120140_adolf_fredriks_kyrka,2003,-6
1120140_adolf_fredriks_kyrka,2004,-24
1120140_adolf_fredriks_kyrka,2005,-22
1120140_adolf_fredriks_kyrka,2006,-23
1120140_adolf_fredriks_kyrka,2007,-22
1120140_adolf_fredriks_kyrka,2008,-28
1120140_adolf_fredriks_kyrka,2009,-33
1120140_adolf_fredriks_kyrka,2010,-32
1120140_adolf_fredriks_kyrka,2011,-47
1120140_adolf_fredriks_kyrka,2012,-50
1120140_adolf_fredriks_kyrka,2013,-48
1120140_adolf_fredriks_kyrka,2014,-25
1120150_skandiahuset,2000,4
1120150_skandiahuset,2001,15
1120150_skandiahuset,2002,6
1120150_skandiahuset,2003,11
1120150_skandiahuset,2004,-2
1120150_skandiahuset,2005,20
1120150_skandiahuset,2006,20
1120150_skandiahuset,2007,18
1120150_skandiahuset,2008,17
1120150_skandiahuset,2009,11
1120150_skandiahuset,2010,14
1120150_skandiahuset,2011,-6
1120150_skandiahuset,2012,0
1120150_skandiahuset,2013,-2
1120150_skandiahuset,2014,-14
1120210_kungsstenen,2000,-1
1120210_kungsstenen,2001,5
1120210_kungsstenen,2002,7
1120210_kungsstenen,2003,15
1120210_kungsstenen,2004,18
1120210_kungsstenen,2005,8
1120210_kungsstenen,2006,30
1120210_kungsstenen,2007,11
1120210_kungsstenen,2008,23
1120210_kungsstenen,2009,45
1120210_kungsstenen,2010,33
1120210_kungsstenen,2011,5
1120210_kungsstenen,2012,-15
1120210_kungsstenen,2013,-37
1120210_kungsstenen,2014,-47
1120220_saltmatargatan,2000,-5
1120220_saltmatargatan,2001,-11
1120220_saltmatargatan,2002,-10
1120220_saltmatargatan,2003,-6
1120220_saltmatargatan,2004,-1
1120220_saltmatargatan,2005,-6
1120220_saltmatargatan,2006,-12
1120220_saltmatargatan,2007,-8
1120220_saltmatargatan,2008,1
1120220_saltmatargatan,2009,12
1120220_saltmatargatan,2010,8
1120220_saltmatargatan,2011,1
1120220_saltmatargatan,2012,-4
1120220_saltmatargatan,2013,-6
1120220_saltmatargatan,2014,-10
1120230_sjokatten,2000,7
1120230_sjokatten,2001,-9
1120230_sjokatten,2002,-12
1120230_sjokatten,2003,-14
1120230_sjokatten,2004,-20
1120230_sjokatten,2005,-14
1120230_sjokatten,2006,7
1120230_sjokatten,2007,-3
1120230_sjokatten,2008,-5
1120230_sjokatten,2009,-19
1120230_sjokatten,2010,-4
1120230_sjokatten,2011,-2
1120230_sjokatten,2012,4
1120230_sjokatten,2013,4
1120230_sjokatten,2014,2
1130110_atlasomradet,2000,21
1130110_atlasomradet,2001,39
1130110_atlasomradet,2002,20
1130110_atlasomradet,2003,5
1130110_atlasomradet,2004,16
1130110_atlasomradet,2005,22
1130110_atlasomradet,2006,-3
1130110_atlasomradet,2007,-4
1130110_atlasomradet,2008,4
1130110_atlasomradet,2009,-12
1130110_atlasomradet,2010,-50
1130110_atlasomradet,2011,-41
1130110_atlasomradet,2012,-78
1130110_atlasomradet,2013,-75
1130110_atlasomradet,2014,-69
1130120_gustav_vasa_kyrka,2000,24
1130120_gustav_vasa_kyrka,2001,14
1130120_gustav_vasa_kyrka,2002,42
1130120_gustav_vasa_kyrka,2003,38
1130120_gustav_vasa_kyrka,2004,84
1130120_gustav_vasa_kyrka,2005,86
1130120_gustav_vasa_kyrka,2006,77
1130120_gustav_vasa_kyrka,2007,73
1130120_gustav_vasa_kyrka,2008,38
1130120_gustav_vasa_kyrka,2009,40
1130120_gustav_vasa_kyrka,2010,52
1130120_gustav_vasa_kyrka,2011,97
1130120_gustav_vasa_kyrka,2012,87
1130120_gustav_vasa_kyrka,2013,37
1130120_gustav_vasa_kyrka,2014,34
1130130_observatoriegatan,2000,7
1130130_observatoriegatan,2001,13
1130130_observatoriegatan,2002,0
1130130_observatoriegatan,2003,9
1130130_observatoriegatan,2004,-18
1130130_observatoriegatan,2005,-25
1130130_observatoriegatan,2006,-30
1130130_observatoriegatan,2007,-23
1130130_observatoriegatan,2008,-19
1130130_observatoriegatan,2009,-46
1130130_observatoriegatan,2010,-37
1130130_observatoriegatan,2011,-49
1130130_observatoriegatan,2012,-70
1130130_observatoriegatan,2013,-62
1130130_observatoriegatan,2014,-70
1130140_sabbatsberg,2000,15
1130140_sabbatsberg,2001,20
1130140_sabbatsberg,2002,12
1130140_sabbatsberg,2003,20
1130140_sabbatsberg,2004,9
1130140_sabbatsberg,2005,20
1130140_sabbatsberg,2006,40
1130140_sabbatsberg,2007,43
1130140_sabbatsberg,2008,140
1130140_sabbatsberg,2009,508
1130140_sabbatsberg,2010,517
1130140_sabbatsberg,2011,580
1130140_sabbatsberg,2012,572
1130140_sabbatsberg,2013,556
1130140_sabbatsberg,2014,538
1130150_polstjarnan,2000,13
1130150_polstjarnan,2001,0
1130150_polstjarnan,2002,-1
1130150_polstjarnan,2003,5
1130150_polstjarnan,2004,37
1130150_polstjarnan,2005,37
1130150_polstjarnan,2006,24
1130150_polstjarnan,2007,32
1130150_polstjarnan,2008,16
1130150_polstjarnan,2009,9
1130150_polstjarnan,2010,32
1130150_polstjarnan,2011,1
1130150_polstjarnan,2012,-7
1130150_polstjarnan,2013,-24
1130150_polstjarnan,2014,-25
1130170_betlehemskyrkan,2000,-15
1130170_betlehemskyrkan,2001,-8
1130170_betlehemskyrkan,2002,-5
1130170_betlehemskyrkan,2003,2
1130170_betlehemskyrkan,2004,-20
1130170_betlehemskyrkan,2005,-39
1130170_betlehemskyrkan,2006,-42
1130170_betlehemskyrkan,2007,-45
1130170_betlehemskyrkan,2008,-26
1130170_betlehemskyrkan,2009,-43
1130170_betlehemskyrkan,2010,-56
1130170_betlehemskyrkan,2011,-60
1130170_betlehemskyrkan,2012,-71
1130170_betlehemskyrkan,2013,-84
1130170_betlehemskyrkan,2014,-53
1140110_norrtull,2000,-1
1140110_norrtull,2001,1
1140110_norrtull,2002,1
1140110_norrtull,2003,1
1140110_norrtull,2004,11
1140110_norrtull,2005,12
1140110_norrtull,2006,8
1140110_norrtull,2007,3
1140110_norrtull,2008,3
1140110_norrtull,2009,8
1140110_norrtull,2010,13
1140110_norrtull,2011,14
1140110_norrtull,2012,1
1140110_norrtull,2013,-2
1140110_norrtull,2014,6
1140120_tre_liljor,2000,40
1140120_tre_liljor,2001,9
1140120_tre_liljor,2002,-29
1140120_tre_liljor,2003,-21
1140120_tre_liljor,2004,-21
1140120_tre_liljor,2005,12
1140120_tre_liljor,2006,8
1140120_tre_liljor,2007,8
1140120_tre_liljor,2008,-16
1140120_tre_liljor,2009,-27
1140120_tre_liljor,2010,-22
1140120_tre_liljor,2011,-37
1140120_tre_liljor,2012,-16
1140120_tre_liljor,2013,-34
1140120_tre_liljor,2014,-74
1140130_matteus_kyrka,2000,22
1140130_matteus_kyrka,2001,23
1140130_matteus_kyrka,2002,31
1140130_matteus_kyrka,2003,9
1140130_matteus_kyrka,2004,1
1140130_matteus_kyrka,2005,-27
1140130_matteus_kyrka,2006,-65
1140130_matteus_kyrka,2007,-121
1140130_matteus_kyrka,2008,-141
1140130_matteus_kyrka,2009,-164
1140130_matteus_kyrka,2010,-154
1140130_matteus_kyrka,2011,-166
1140130_matteus_kyrka,2012,-180
1140130_matteus_kyrka,2013,-228
1140130_matteus_kyrka,2014,-229
1140140_halsingehojden,2000,13
1140140_halsingehojden,2001,12
1140140_halsingehojden,2002,-7
1140140_halsingehojden,2003,-3
1140140_halsingehojden,2004,10
1140140_halsingehojden,2005,-41
1140140_halsingehojden,2006,-38
1140140_halsingehojden,2007,-79
1140140_halsingehojden,2008,-63
1140140_halsingehojden,2009,-105
1140140_halsingehojden,2010,-141
1140140_halsingehojden,2011,-137
1140140_halsingehojden,2012,-137
1140140_halsingehojden,2013,-124
1140140_halsingehojden,2014,-170
1140150_centralgaraget,2000,-14
1140150_centralgaraget,2001,-22
1140150_centralgaraget,2002,-24
1140150_centralgaraget,2003,-35
1140150_centralgaraget,2004,-16
1140150_centralgaraget,2005,-15
1140150_centralgaraget,2006,-29
1140150_centralgaraget,2007,-28
1140150_centralgaraget,2008,-6
1140150_centralgaraget,2009,8
1140150_centralgaraget,2010,24
1140150_centralgaraget,2011,5
1140150_centralgaraget,2012,-15
1140150_centralgaraget,2013,-21
1140150_centralgaraget,2014,-34
1140210_okand,2000,1
1140210_okand,2001,-3
1140210_okand,2002,-4
1140210_okand,2003,3
1140210_okand,2004,4
1140210_okand,2005,9
1140210_okand,2006,0
1140210_okand,2007,2
1140210_okand,2008,10
1140210_okand,2009,17
1140212_norra_station_2,2010,-8
1140212_norra_station_2,2011,-1
1140212_norra_station_2,2012,-1
1140212_norra_station_2,2013,-6
1140212_norra_station_2,2014,1
1140220_birkagarden,2000,10
1140220_birkagarden,2001,-1
1140220_birkagarden,2002,-19
1140220_birkagarden,2003,-32
1140220_birkagarden,2004,-36
1140220_birkagarden,2005,-35
1140220_birkagarden,2006,-47
1140220_birkagarden,2007,-65
1140220_birkagarden,2008,-38
1140220_birkagarden,2009,-56
1140220_birkagarden,2010,-43
1140220_birkagarden,2011,-42
1140220_birkagarden,2012,-63
1140220_birkagarden,2013,-31
1140220_birkagarden,2014,-22
1140230_rorstrand,2000,-8
1140230_rorstrand,2001,-17
1140230_rorstrand,2002,-15
1140230_rorstrand,2003,-40
1140230_rorstrand,2004,-130
1140230_rorstrand,2005,-182
1140230_rorstrand,2006,-237
1140230_rorstrand,2007,-311
1140230_rorstrand,2008,-268
1140230_rorstrand,2009,-311
1140230_rorstrand,2010,-358
1140230_rorstrand,2011,-387
1140230_rorstrand,2012,-431
1140230_rorstrand,2013,-490
1140230_rorstrand,2014,-577
1140240_rodaberget,2000,0
1140240_rodaberget,2001,16
1140240_rodaberget,2002,10
1140240_rodaberget,2003,13
1140240_rodaberget,2004,18
1140240_rodaberget,2005,11
1140240_rodaberget,2006,6
1140240_rodaberget,2007,19
1140240_rodaberget,2008,23
1140240_rodaberget,2009,-28
1140240_rodaberget,2010,-6
1140240_rodaberget,2011,-44
1140240_rodaberget,2012,-50
1140240_rodaberget,2013,-64
1140240_rodaberget,2014,-62
1140250_s_t_eriksplan,2000,24
1140250_s_t_eriksplan,2001,51
1140250_s_t_eriksplan,2002,22
1140250_s_t_eriksplan,2003,-3
1140250_s_t_eriksplan,2004,-20
1140250_s_t_eriksplan,2005,-17
1140250_s_t_eriksplan,2006,-40
1140250_s_t_eriksplan,2007,-36
1140250_s_t_eriksplan,2008,-35
1140250_s_t_eriksplan,2009,-8
1140250_s_t_eriksplan,2010,-24
1140250_s_t_eriksplan,2011,-39
1140250_s_t_eriksplan,2012,-57
1140250_s_t_eriksplan,2013,-75
1140250_s_t_eriksplan,2014,-96
1210110_roslagstull,2000,28
1210110_roslagstull,2001,45
1210110_roslagstull,2002,36
1210110_roslagstull,2003,30
1210110_roslagstull,2004,17
1210110_roslagstull,2005,11
1210110_roslagstull,2006,-30
1210110_roslagstull,2007,-31
1210110_roslagstull,2008,-83
1210110_roslagstull,2009,-6
1210110_roslagstull,2010,22
1210110_roslagstull,2011,28
1210110_roslagstull,2012,-3
1210110_roslagstull,2013,-62
1210110_roslagstull,2014,-68
1210120_larkstaden,2000,6
1210120_larkstaden,2001,-53
1210120_larkstaden,2002,-72
1210120_larkstaden,2003,-85
1210120_larkstaden,2004,-107
1210120_larkstaden,2005,-97
1210120_larkstaden,2006,-102
1210120_larkstaden,2007,-142
1210120_larkstaden,2008,-141
1210120_larkstaden,2009,-119
1210120_larkstaden,2010,-91
1210120_larkstaden,2011,-115
1210120_larkstaden,2012,-119
1210120_larkstaden,2013,-148
1210120_larkstaden,2014,-166
1210131_danderydsplan_v,2000,-6
1210131_danderydsplan_v,2001,-22
1210131_danderydsplan_v,2002,-15
1210131_danderydsplan_v,2003,12
1210131_danderydsplan_v,2004,10
1210131_danderydsplan_v,2005,14
1210131_danderydsplan_v,2006,-9
1210131_danderydsplan_v,2007,-21
1210131_danderydsplan_v,2008,-8
1210131_danderydsplan_v,2009,-17
1210131_danderydsplan_v,2010,-26
1210131_danderydsplan_v,2011,-32
1210131_danderydsplan_v,2012,-38
1210131_danderydsplan_v,2013,-19
1210131_danderydsplan_v,2014,33
1210132_danderydsplan_o,2000,11
1210132_danderydsplan_o,2001,33
1210132_danderydsplan_o,2002,38
1210132_danderydsplan_o,2003,30
1210132_danderydsplan_o,2004,42
1210132_danderydsplan_o,2005,13
1210132_danderydsplan_o,2006,16
1210132_danderydsplan_o,2007,19
1210132_danderydsplan_o,2008,25
1210132_danderydsplan_o,2009,25
1210132_danderydsplan_o,2010,21
1210132_danderydsplan_o,2011,38
1210132_danderydsplan_o,2012,25
1210132_danderydsplan_o,2013,27
1210132_danderydsplan_o,2014,30
1210140_eriksberg,2000,20
1210140_eriksberg,2001,19
1210140_eriksberg,2002,56
1210140_eriksberg,2003,46
1210140_eriksberg,2004,29
1210140_eriksberg,2005,28
1210140_eriksberg,2006,40
1210140_eriksberg,2007,16
1210140_eriksberg,2008,44
1210140_eriksberg,2009,67
1210140_eriksberg,2010,54
1210140_eriksberg,2011,30
1210140_eriksberg,2012,19
1210140_eriksberg,2013,0
1210140_eriksberg,2014,-1
1210151_stureplan_o,2000,-2
1210151_stureplan_o,2001,-3
1210151_stureplan_o,2002,-6
1210151_stureplan_o,2003,-9
1210151_stureplan_o,2004,-5
1210151_stureplan_o,2005,-12
1210151_stureplan_o,2006,-16
1210151_stureplan_o,2007,-11
1210151_stureplan_o,2008,-6
1210151_stureplan_o,2009,-1
1210151_stureplan_o,2010,-19
1210151_stureplan_o,2011,-19
1210151_stureplan_o,2012,-13
1210151_stureplan_o,2013,-23
1210151_stureplan_o,2014,-21
1210161_humlegarden_o,2000,1
1210161_humlegarden_o,2001,-10
1210161_humlegarden_o,2002,-14
1210161_humlegarden_o,2003,-26
1210161_humlegarden_o,2004,-14
1210161_humlegarden_o,2005,2
1210161_humlegarden_o,2006,-18
1210161_humlegarden_o,2007,-20
1210161_humlegarden_o,2008,-19
1210161_humlegarden_o,2009,-12
1210161_humlegarden_o,2010,-15
1210161_humlegarden_o,2011,-28
1210161_humlegarden_o,2012,-38
1210161_humlegarden_o,2013,-22
1210161_humlegarden_o,2014,-29
1210171_stureparken_o,2000,5
1210171_stureparken_o,2001,-9
1210171_stureparken_o,2002,-6
1210171_stureparken_o,2003,-20
1210171_stureparken_o,2004,-14
1210171_stureparken_o,2005,-15
1210171_stureparken_o,2006,-17
1210171_stureparken_o,2007,-10
1210171_stureparken_o,2008,-1
1210171_stureparken_o,2009,32
1210171_stureparken_o,2010,49
1210171_stureparken_o,2011,46
1210171_stureparken_o,2012,45
1210171_stureparken_o,2013,38
1210171_stureparken_o,2014,42
1210172_stureparken_v,2000,7
1210172_stureparken_v,2001,1
1210172_stureparken_v,2002,-5
1210172_stureparken_v,2003,-21
1210172_stureparken_v,2004,-7
1210172_stureparken_v,2005,-4
1210172_stureparken_v,2006,-3
1210172_stureparken_v,2007,-7
1210172_stureparken_v,2008,-12
1210172_stureparken_v,2009,1
1210172_stureparken_v,2010,20
1210172_stureparken_v,2011,35
1210172_stureparken_v,2012,27
1210172_stureparken_v,2013,33
1210172_stureparken_v,2014,42
1210210_roslagstulls_sjukhus,2000,-4
1210210_roslagstulls_sjukhus,2001,-26
1210210_roslagstulls_sjukhus,2002,-45
1210210_roslagstulls_sjukhus,2003,-74
1210210_roslagstulls_sjukhus,2004,-110
1210210_roslagstulls_sjukhus,2005,-105
1210210_roslagstulls_sjukhus,2006,-44
1210210_roslagstulls_sjukhus,2007,-17
1210210_roslagstulls_sjukhus,2008,-6
1210210_roslagstulls_sjukhus,2009,-6
1210210_roslagstulls_sjukhus,2010,-5
1210210_roslagstulls_sjukhus,2011,-5
1210210_roslagstulls_sjukhus,2012,-2
1210210_roslagstulls_sjukhus,2013,-6
1210210_roslagstulls_sjukhus,2014,42
1210220_ostra_station,2000,0
1210220_ostra_station,2001,-27
1210220_ostra_station,2002,-52
1210220_ostra_station,2003,-57
1210220_ostra_station,2004,-39
1210220_ostra_station,2005,-28
1210220_ostra_station,2006,-25
1210220_ostra_station,2007,-74
1210220_ostra_station,2008,-45
1210220_ostra_station,2009,-33
1210220_ostra_station,2010,-7
1210220_ostra_station,2011,-2
1210220_ostra_station,2012,31
1210220_ostra_station,2013,61
1210220_ostra_station,2014,37
1210320_ekhagen,2000,31
1210320_ekhagen,2001,-17
1210320_ekhagen,2002,-50
1210320_ekhagen,2003,-76
1210320_ekhagen,2004,-117
1210320_ekhagen,2005,-176
1210320_ekhagen,2006,-195
1210320_ekhagen,2007,-235
1210320_ekhagen,2008,-198
