basomrade,year,immigration_surplus_male
4210320_ostra_ormsta,2008,-2
4210320_ostra_ormsta,2009,-11
4210320_ostra_ormsta,2010,-2
4210320_ostra_ormsta,2011,12
4210320_ostra_ormsta,2012,-4
4210320_ostra_ormsta,2013,13
4210320_ostra_ormsta,2014,-13
4210330_vastra_ormsta,2000,2
4210330_vastra_ormsta,2001,-47
4210330_vastra_ormsta,2002,-4
4210330_vastra_ormsta,2003,0
4210330_vastra_ormsta,2004,-14
4210330_vastra_ormsta,2005,-7
4210330_vastra_ormsta,2006,4
4210330_vastra_ormsta,2007,-21
4210330_vastra_ormsta,2008,10
4210330_vastra_ormsta,2009,-5
4210330_vastra_ormsta,2010,22
4210330_vastra_ormsta,2011,-16
4210330_vastra_ormsta,2012,-9
4210330_vastra_ormsta,2013,7
4210330_vastra_ormsta,2014,17
4210340_aby_bostadsomr,2000,33
4210340_aby_bostadsomr,2001,11
4210340_aby_bostadsomr,2002,-12
4210340_aby_bostadsomr,2003,-42
4210340_aby_bostadsomr,2004,17
4210340_aby_bostadsomr,2005,-14
4210340_aby_bostadsomr,2006,-20
4210340_aby_bostadsomr,2007,-7
4210340_aby_bostadsomr,2008,-3
4210340_aby_bostadsomr,2009,-30
4210340_aby_bostadsomr,2010,42
4210340_aby_bostadsomr,2011,7
4210340_aby_bostadsomr,2012,-4
4210340_aby_bostadsomr,2013,-9
4210340_aby_bostadsomr,2014,-1
4210410_vastra_ballsta,2000,55
4210410_vastra_ballsta,2001,2
4210410_vastra_ballsta,2002,11
4210410_vastra_ballsta,2003,31
4210410_vastra_ballsta,2004,6
4210410_vastra_ballsta,2005,0
4210410_vastra_ballsta,2006,23
4210410_vastra_ballsta,2007,-22
4210410_vastra_ballsta,2008,-11
4210410_vastra_ballsta,2009,11
4210410_vastra_ballsta,2010,68
4210410_vastra_ballsta,2011,49
4210410_vastra_ballsta,2012,7
4210410_vastra_ballsta,2013,32
4210410_vastra_ballsta,2014,13
4210420_kragstalund,2000,-10
4210420_kragstalund,2001,-18
4210420_kragstalund,2002,-6
4210420_kragstalund,2003,46
4210420_kragstalund,2004,50
4210420_kragstalund,2005,124
4210420_kragstalund,2006,61
4210420_kragstalund,2007,21
4210420_kragstalund,2008,-25
4210420_kragstalund,2009,-18
4210420_kragstalund,2010,-11
4210420_kragstalund,2011,-8
4210420_kragstalund,2012,-12
4210420_kragstalund,2013,-25
4210420_kragstalund,2014,-40
4210430_ballstaberg,2000,43
4210430_ballstaberg,2001,37
4210430_ballstaberg,2002,28
4210430_ballstaberg,2003,38
4210430_ballstaberg,2004,81
4210430_ballstaberg,2005,68
4210430_ballstaberg,2006,57
4210430_ballstaberg,2007,31
4210430_ballstaberg,2008,47
4210430_ballstaberg,2009,60
4210430_ballstaberg,2010,7
4210430_ballstaberg,2011,44
4210430_ballstaberg,2012,4
4210430_ballstaberg,2013,-20
4210430_ballstaberg,2014,3
4210440_okand,2000,1
4210440_okand,2001,2
4210440_okand,2002,-24
4210440_okand,2003,-3
4210440_okand,2004,6
4210440_okand,2005,0
4210440_okand,2006,-12
4210440_okand,2007,-1
4210440_okand,2008,6
4210440_okand,2009,-11
4210510_vallentuna_glesbygd_v,2000,12
4210510_vallentuna_glesbygd_v,2001,3
4210510_vallentuna_glesbygd_v,2002,-3
4210510_vallentuna_glesbygd_v,2003,0
4210510_vallentuna_glesbygd_v,2004,6
4210510_vallentuna_glesbygd_v,2005,-11
4210510_vallentuna_glesbygd_v,2006,0
4210510_vallentuna_glesbygd_v,2007,-1
4210510_vallentuna_glesbygd_v,2008,-2
4210510_vallentuna_glesbygd_v,2009,6
4210510_vallentuna_glesbygd_v,2010,-10
4210510_vallentuna_glesbygd_v,2011,6
4210510_vallentuna_glesbygd_v,2012,12
4210510_vallentuna_glesbygd_v,2013,-1
4210510_vallentuna_glesbygd_v,2014,7
4210530_vallentuna_glesbygd_no,2000,0
4210530_vallentuna_glesbygd_no,2001,3
4210530_vallentuna_glesbygd_no,2002,3
4210530_vallentuna_glesbygd_no,2003,-3
4210530_vallentuna_glesbygd_no,2004,1
4210530_vallentuna_glesbygd_no,2005,4
4210530_vallentuna_glesbygd_no,2006,-1
4210530_vallentuna_glesbygd_no,2007,24
4210530_vallentuna_glesbygd_no,2008,-2
4210530_vallentuna_glesbygd_no,2009,19
4210530_vallentuna_glesbygd_no,2010,19
4210530_vallentuna_glesbygd_no,2011,15
4210530_vallentuna_glesbygd_no,2012,5
4210530_vallentuna_glesbygd_no,2013,15
4210530_vallentuna_glesbygd_no,2014,6
4210540_okand,2000,13
4210540_okand,2001,3
4210540_okand,2002,0
4210540_okand,2003,8
4210540_okand,2004,8
4210540_okand,2005,-11
4210540_okand,2006,-2
4210540_okand,2007,-6
4210540_okand,2008,12
4210540_okand,2009,1
4220000_markims_forsamling,2000,-1
4220000_markims_forsamling,2001,-4
4220000_markims_forsamling,2002,0
4220000_markims_forsamling,2003,-4
4220000_markims_forsamling,2004,-1
4220000_markims_forsamling,2005,2
4220000_markims_forsamling,2006,-4
4220000_markims_forsamling,2007,-2
4220000_markims_forsamling,2008,-3
4220000_markims_forsamling,2009,-4
4220000_markims_forsamling,2010,-1
4220000_markims_forsamling,2011,-1
4220000_markims_forsamling,2012,4
4220000_markims_forsamling,2013,2
4220000_markims_forsamling,2014,-2
4230100_lindholmen,2000,-6
4230100_lindholmen,2001,-2
4230100_lindholmen,2002,4
4230100_lindholmen,2003,2
4230100_lindholmen,2004,-6
4230100_lindholmen,2005,5
4230100_lindholmen,2006,13
4230100_lindholmen,2007,-2
4230100_lindholmen,2008,7
4230100_lindholmen,2009,-8
4230100_lindholmen,2010,0
4230100_lindholmen,2011,-6
4230100_lindholmen,2012,0
4230100_lindholmen,2013,-4
4230100_lindholmen,2014,2
4230500_okand,2000,3
4230500_okand,2001,4
4230500_okand,2002,-4
4230500_okand,2003,4
4230500_okand,2004,-7
4230500_okand,2005,0
4230500_okand,2006,-4
4230500_okand,2007,1
4230500_okand,2008,5
4230500_okand,2009,-2
4240000_frosunda_forsamling,2000,9
4240000_frosunda_forsamling,2001,-9
4240000_frosunda_forsamling,2002,0
4240000_frosunda_forsamling,2003,18
4240000_frosunda_forsamling,2004,0
4240000_frosunda_forsamling,2005,-2
4240000_frosunda_forsamling,2006,1
4240000_frosunda_forsamling,2007,11
4240000_frosunda_forsamling,2008,0
4240000_frosunda_forsamling,2009,3
4240000_frosunda_forsamling,2010,7
4240000_frosunda_forsamling,2011,-4
4240000_frosunda_forsamling,2012,10
4240000_frosunda_forsamling,2013,6
4240000_frosunda_forsamling,2014,7
