basomrade,year,cumulative_immigration_surplus_employed_aged_20_64
1010220_klara_kyrka,2009,53
1010220_klara_kyrka,2010,50
1010220_klara_kyrka,2011,43
1010220_klara_kyrka,2012,43
1010220_klara_kyrka,2013,40
1010220_klara_kyrka,2014,34
1010230_centralposten,2000,-7
1010230_centralposten,2001,-11
1010230_centralposten,2002,-3
1010230_centralposten,2003,68
1010230_centralposten,2004,71
1010230_centralposten,2005,85
1010230_centralposten,2006,88
1010230_centralposten,2007,84
1010230_centralposten,2008,86
1010230_centralposten,2009,88
1010230_centralposten,2010,93
1010230_centralposten,2011,98
1010230_centralposten,2012,111
1010230_centralposten,2013,117
1010230_centralposten,2014,110
1010240_oscarsteatern,2000,0
1010240_oscarsteatern,2001,-11
1010240_oscarsteatern,2002,-11
1010240_oscarsteatern,2003,-23
1010240_oscarsteatern,2004,-32
1010240_oscarsteatern,2005,-47
1010240_oscarsteatern,2006,-54
1010240_oscarsteatern,2007,-59
1010240_oscarsteatern,2008,-64
1010240_oscarsteatern,2009,-65
1010240_oscarsteatern,2010,-72
1010240_oscarsteatern,2011,-50
1010240_oscarsteatern,2012,-49
1010240_oscarsteatern,2013,-59
1010240_oscarsteatern,2014,-67
1010250_brunkeberg,2000,7
1010250_brunkeberg,2001,14
1010250_brunkeberg,2002,4
1010250_brunkeberg,2003,3
1010250_brunkeberg,2004,2
1010250_brunkeberg,2005,0
1010250_brunkeberg,2006,-2
1010250_brunkeberg,2007,-7
1010250_brunkeberg,2008,-6
1010250_brunkeberg,2009,-6
1010250_brunkeberg,2010,-3
1010250_brunkeberg,2011,-6
1010250_brunkeberg,2012,-7
1010250_brunkeberg,2013,-10
1010250_brunkeberg,2014,-6
1010290_oxtorget,2000,-1
1010290_oxtorget,2001,-12
1010290_oxtorget,2002,-5
1010290_oxtorget,2003,19
1010290_oxtorget,2004,23
1010290_oxtorget,2005,21
1010290_oxtorget,2006,21
1010290_oxtorget,2007,21
1010290_oxtorget,2008,17
1010290_oxtorget,2009,29
1010290_oxtorget,2010,23
1010290_oxtorget,2011,11
1010290_oxtorget,2012,14
1010290_oxtorget,2013,2
1010290_oxtorget,2014,4
1010310_norrlandsgatan,2000,1
1010310_norrlandsgatan,2001,1
1010310_norrlandsgatan,2002,32
1010310_norrlandsgatan,2003,38
1010310_norrlandsgatan,2004,45
1010310_norrlandsgatan,2005,38
1010310_norrlandsgatan,2006,47
1010310_norrlandsgatan,2007,53
1010310_norrlandsgatan,2008,53
1010310_norrlandsgatan,2009,49
1010310_norrlandsgatan,2010,59
1010310_norrlandsgatan,2011,60
1010310_norrlandsgatan,2012,75
1010310_norrlandsgatan,2013,89
1010310_norrlandsgatan,2014,98
1110111_brunnsgatan_n,2000,2
1110111_brunnsgatan_n,2001,-13
1110111_brunnsgatan_n,2002,10
1110111_brunnsgatan_n,2003,20
1110111_brunnsgatan_n,2004,13
1110111_brunnsgatan_n,2005,12
1110111_brunnsgatan_n,2006,9
1110111_brunnsgatan_n,2007,9
1110111_brunnsgatan_n,2008,8
1110111_brunnsgatan_n,2009,13
1110111_brunnsgatan_n,2010,37
1110111_brunnsgatan_n,2011,25
1110111_brunnsgatan_n,2012,24
1110111_brunnsgatan_n,2013,27
1110111_brunnsgatan_n,2014,35
1110112_brunnsgatan_s,2000,-4
1110112_brunnsgatan_s,2001,-6
1110112_brunnsgatan_s,2002,-18
1110112_brunnsgatan_s,2003,-24
1110112_brunnsgatan_s,2004,-45
1110112_brunnsgatan_s,2005,-36
1110112_brunnsgatan_s,2006,-28
1110112_brunnsgatan_s,2007,-33
1110112_brunnsgatan_s,2008,-30
1110112_brunnsgatan_s,2009,-34
1110112_brunnsgatan_s,2010,-35
1110112_brunnsgatan_s,2011,-28
1110112_brunnsgatan_s,2012,-18
1110112_brunnsgatan_s,2013,-13
1110112_brunnsgatan_s,2014,-6
1110120_johannes_kyrka,2000,7
1110120_johannes_kyrka,2001,-9
1110120_johannes_kyrka,2002,7
1110120_johannes_kyrka,2003,24
1110120_johannes_kyrka,2004,26
1110120_johannes_kyrka,2005,19
1110120_johannes_kyrka,2006,13
1110120_johannes_kyrka,2007,23
1110120_johannes_kyrka,2008,22
1110120_johannes_kyrka,2009,27
1110120_johannes_kyrka,2010,35
1110120_johannes_kyrka,2011,33
1110120_johannes_kyrka,2012,31
1110120_johannes_kyrka,2013,34
1110120_johannes_kyrka,2014,47
1110210_wenner_gren_center,2000,-18
1110210_wenner_gren_center,2001,-31
1110210_wenner_gren_center,2002,-53
1110210_wenner_gren_center,2003,-70
1110210_wenner_gren_center,2004,-84
1110210_wenner_gren_center,2005,-102
1110210_wenner_gren_center,2006,-116
1110210_wenner_gren_center,2007,-149
1110210_wenner_gren_center,2008,-154
1110210_wenner_gren_center,2009,-188
1110210_wenner_gren_center,2010,-183
1110210_wenner_gren_center,2011,-204
1110210_wenner_gren_center,2012,-195
1110210_wenner_gren_center,2013,-205
1110210_wenner_gren_center,2014,-192
1110220_vanadislunden,2000,89
1110220_vanadislunden,2001,145
1110220_vanadislunden,2002,135
1110220_vanadislunden,2003,183
1110220_vanadislunden,2004,163
1110220_vanadislunden,2005,174
1110220_vanadislunden,2006,141
1110220_vanadislunden,2007,136
1110220_vanadislunden,2008,183
1110220_vanadislunden,2009,215
1110220_vanadislunden,2010,205
1110220_vanadislunden,2011,212
1110220_vanadislunden,2012,186
1110220_vanadislunden,2013,183
1110220_vanadislunden,2014,183
1110230_surbrunnsomradet,2000,38
1110230_surbrunnsomradet,2001,40
1110230_surbrunnsomradet,2002,25
1110230_surbrunnsomradet,2003,42
1110230_surbrunnsomradet,2004,61
1110230_surbrunnsomradet,2005,48
1110230_surbrunnsomradet,2006,68
1110230_surbrunnsomradet,2007,94
1110230_surbrunnsomradet,2008,120
1110230_surbrunnsomradet,2009,95
1110230_surbrunnsomradet,2010,105
1110230_surbrunnsomradet,2011,136
1110230_surbrunnsomradet,2012,143
1110230_surbrunnsomradet,2013,197
1110230_surbrunnsomradet,2014,212
1110240_norra_real,2000,-5
1110240_norra_real,2001,3
1110240_norra_real,2002,7
1110240_norra_real,2003,18
1110240_norra_real,2004,48
1110240_norra_real,2005,43
1110240_norra_real,2006,47
1110240_norra_real,2007,21
1110240_norra_real,2008,15
1110240_norra_real,2009,23
1110240_norra_real,2010,36
1110240_norra_real,2011,17
1110240_norra_real,2012,28
1110240_norra_real,2013,43
1110240_norra_real,2014,51
1110250_elverket,2000,4
1110250_elverket,2001,10
1110250_elverket,2002,5
1110250_elverket,2003,-4
1110250_elverket,2004,1
1110250_elverket,2005,19
1110250_elverket,2006,15
1110250_elverket,2007,20
1110250_elverket,2008,14
1110250_elverket,2009,14
1110250_elverket,2010,15
1110250_elverket,2011,17
1110250_elverket,2012,17
1110250_elverket,2013,18
1110250_elverket,2014,10
1120110_tegnerlunden,2000,9
1120110_tegnerlunden,2001,16
1120110_tegnerlunden,2002,50
1120110_tegnerlunden,2003,72
1120110_tegnerlunden,2004,68
1120110_tegnerlunden,2005,68
1120110_tegnerlunden,2006,96
1120110_tegnerlunden,2007,106
1120110_tegnerlunden,2008,100
1120110_tegnerlunden,2009,88
1120110_tegnerlunden,2010,92
1120110_tegnerlunden,2011,130
1120110_tegnerlunden,2012,111
1120110_tegnerlunden,2013,107
1120110_tegnerlunden,2014,110
1120120_tandlakarhogskolan,2000,-5
1120120_tandlakarhogskolan,2001,-17
1120120_tandlakarhogskolan,2002,-14
1120120_tandlakarhogskolan,2003,-1
1120120_tandlakarhogskolan,2004,-2
1120120_tandlakarhogskolan,2005,-25
1120120_tandlakarhogskolan,2006,-21
1120120_tandlakarhogskolan,2007,-35
1120120_tandlakarhogskolan,2008,-28
1120120_tandlakarhogskolan,2009,-40
1120120_tandlakarhogskolan,2010,-58
1120120_tandlakarhogskolan,2011,-78
1120120_tandlakarhogskolan,2012,-46
1120120_tandlakarhogskolan,2013,-45
1120120_tandlakarhogskolan,2014,-51
1120131_norra_bantorget_o,2000,4
1120131_norra_bantorget_o,2001,5
1120131_norra_bantorget_o,2002,4
1120131_norra_bantorget_o,2003,14
1120131_norra_bantorget_o,2004,6
1120131_norra_bantorget_o,2005,20
1120131_norra_bantorget_o,2006,25
1120131_norra_bantorget_o,2007,26
1120131_norra_bantorget_o,2008,105
1120131_norra_bantorget_o,2009,145
1120131_norra_bantorget_o,2010,146
1120131_norra_bantorget_o,2011,139
1120131_norra_bantorget_o,2012,142
1120131_norra_bantorget_o,2013,118
1120131_norra_bantorget_o,2014,136
1120132_norra_bantorget_v,2010,30
1120132_norra_bantorget_v,2011,34
1120132_norra_bantorget_v,2012,36
1120132_norra_bantorget_v,2013,40
1120132_norra_bantorget_v,2014,39
1120140_adolf_fredriks_kyrka,2000,3
1120140_adolf_fredriks_kyrka,2001,-8
1120140_adolf_fredriks_kyrka,2002,3
1120140_adolf_fredriks_kyrka,2003,6
1120140_adolf_fredriks_kyrka,2004,4
1120140_adolf_fredriks_kyrka,2005,17
1120140_adolf_fredriks_kyrka,2006,19
1120140_adolf_fredriks_kyrka,2007,15
1120140_adolf_fredriks_kyrka,2008,17
1120140_adolf_fredriks_kyrka,2009,9
1120140_adolf_fredriks_kyrka,2010,24
1120140_adolf_fredriks_kyrka,2011,9
1120140_adolf_fredriks_kyrka,2012,-6
1120140_adolf_fredriks_kyrka,2013,8
1120140_adolf_fredriks_kyrka,2014,46
1120150_skandiahuset,2000,11
1120150_skandiahuset,2001,20
1120150_skandiahuset,2002,10
1120150_skandiahuset,2003,21
1120150_skandiahuset,2004,4
1120150_skandiahuset,2005,32
1120150_skandiahuset,2006,34
1120150_skandiahuset,2007,45
1120150_skandiahuset,2008,34
1120150_skandiahuset,2009,29
1120150_skandiahuset,2010,28
1120150_skandiahuset,2011,29
1120150_skandiahuset,2012,32
1120150_skandiahuset,2013,32
1120150_skandiahuset,2014,23
1120210_kungsstenen,2000,0
1120210_kungsstenen,2001,23
1120210_kungsstenen,2002,20
1120210_kungsstenen,2003,32
1120210_kungsstenen,2004,56
1120210_kungsstenen,2005,81
1120210_kungsstenen,2006,107
1120210_kungsstenen,2007,105
1120210_kungsstenen,2008,139
1120210_kungsstenen,2009,187
1120210_kungsstenen,2010,191
1120210_kungsstenen,2011,190
1120210_kungsstenen,2012,168
1120210_kungsstenen,2013,169
1120210_kungsstenen,2014,183
1120220_saltmatargatan,2000,-5
1120220_saltmatargatan,2001,-6
1120220_saltmatargatan,2002,-9
1120220_saltmatargatan,2003,-6
1120220_saltmatargatan,2004,-5
1120220_saltmatargatan,2005,-6
1120220_saltmatargatan,2006,-4
1120220_saltmatargatan,2007,1
1120220_saltmatargatan,2008,11
1120220_saltmatargatan,2009,19
1120220_saltmatargatan,2010,25
1120220_saltmatargatan,2011,14
1120220_saltmatargatan,2012,14
1120220_saltmatargatan,2013,17
1120220_saltmatargatan,2014,18
1120230_sjokatten,2000,4
1120230_sjokatten,2001,2
1120230_sjokatten,2002,4
1120230_sjokatten,2003,19
1120230_sjokatten,2004,13
1120230_sjokatten,2005,43
1120230_sjokatten,2006,80
1120230_sjokatten,2007,65
1120230_sjokatten,2008,83
1120230_sjokatten,2009,81
1120230_sjokatten,2010,111
1120230_sjokatten,2011,123
1120230_sjokatten,2012,131
1120230_sjokatten,2013,152
1120230_sjokatten,2014,149
1130110_atlasomradet,2000,41
1130110_atlasomradet,2001,84
1130110_atlasomradet,2002,99
1130110_atlasomradet,2003,71
1130110_atlasomradet,2004,63
1130110_atlasomradet,2005,88
1130110_atlasomradet,2006,77
1130110_atlasomradet,2007,89
1130110_atlasomradet,2008,102
1130110_atlasomradet,2009,76
1130110_atlasomradet,2010,72
1130110_atlasomradet,2011,61
1130110_atlasomradet,2012,64
1130110_atlasomradet,2013,101
1130110_atlasomradet,2014,133
1130120_gustav_vasa_kyrka,2000,50
1130120_gustav_vasa_kyrka,2001,19
1130120_gustav_vasa_kyrka,2002,44
1130120_gustav_vasa_kyrka,2003,59
1130120_gustav_vasa_kyrka,2004,114
1130120_gustav_vasa_kyrka,2005,158
1130120_gustav_vasa_kyrka,2006,179
1130120_gustav_vasa_kyrka,2007,195
1130120_gustav_vasa_kyrka,2008,178
1130120_gustav_vasa_kyrka,2009,178
1130120_gustav_vasa_kyrka,2010,180
1130120_gustav_vasa_kyrka,2011,225
1130120_gustav_vasa_kyrka,2012,266
1130120_gustav_vasa_kyrka,2013,274
1130120_gustav_vasa_kyrka,2014,256
1130130_observatoriegatan,2000,56
1130130_observatoriegatan,2001,44
1130130_observatoriegatan,2002,34
1130130_observatoriegatan,2003,59
1130130_observatoriegatan,2004,41
1130130_observatoriegatan,2005,51
1130130_observatoriegatan,2006,61
1130130_observatoriegatan,2007,81
1130130_observatoriegatan,2008,110
1130130_observatoriegatan,2009,80
1130130_observatoriegatan,2010,127
1130130_observatoriegatan,2011,153
1130130_observatoriegatan,2012,133
1130130_observatoriegatan,2013,171
1130130_observatoriegatan,2014,188
1130140_sabbatsberg,2000,-3
1130140_sabbatsberg,2001,-18
1130140_sabbatsberg,2002,-30
1130140_sabbatsberg,2003,-42
1130140_sabbatsberg,2004,-51
1130140_sabbatsberg,2005,-56
1130140_sabbatsberg,2006,-58
1130140_sabbatsberg,2007,-53
1130140_sabbatsberg,2008,69
1130140_sabbatsberg,2009,534
1130140_sabbatsberg,2010,545
1130140_sabbatsberg,2011,581
1130140_sabbatsberg,2012,581
1130140_sabbatsberg,2013,568
1130140_sabbatsberg,2014,565
1130150_polstjarnan,2000,9
1130150_polstjarnan,2001,19
1130150_polstjarnan,2002,33
1130150_polstjarnan,2003,44
1130150_polstjarnan,2004,58
1130150_polstjarnan,2005,53
1130150_polstjarnan,2006,49
1130150_polstjarnan,2007,55
1130150_polstjarnan,2008,63
1130150_polstjarnan,2009,61
1130150_polstjarnan,2010,102
1130150_polstjarnan,2011,90
1130150_polstjarnan,2012,93
1130150_polstjarnan,2013,105
1130150_polstjarnan,2014,113
1130170_betlehemskyrkan,2000,-20
1130170_betlehemskyrkan,2001,-14
1130170_betlehemskyrkan,2002,-2
1130170_betlehemskyrkan,2003,17
1130170_betlehemskyrkan,2004,0
1130170_betlehemskyrkan,2005,5
1130170_betlehemskyrkan,2006,1
1130170_betlehemskyrkan,2007,13
1130170_betlehemskyrkan,2008,45
1130170_betlehemskyrkan,2009,24
1130170_betlehemskyrkan,2010,2
1130170_betlehemskyrkan,2011,5
1130170_betlehemskyrkan,2012,1
1130170_betlehemskyrkan,2013,-23
1130170_betlehemskyrkan,2014,11
1140110_norrtull,2000,-1
1140110_norrtull,2001,2
1140110_norrtull,2002,4
1140110_norrtull,2003,2
1140110_norrtull,2004,6
1140110_norrtull,2005,-2
1140110_norrtull,2006,6
1140110_norrtull,2007,1
1140110_norrtull,2008,-3
1140110_norrtull,2009,-4
1140110_norrtull,2010,1
1140110_norrtull,2011,7
1140110_norrtull,2012,-14
1140110_norrtull,2013,-12
1140110_norrtull,2014,1
1140120_tre_liljor,2000,47
1140120_tre_liljor,2001,54
1140120_tre_liljor,2002,57
1140120_tre_liljor,2003,73
1140120_tre_liljor,2004,106
1140120_tre_liljor,2005,153
1140120_tre_liljor,2006,166
1140120_tre_liljor,2007,161
1140120_tre_liljor,2008,176
1140120_tre_liljor,2009,189
1140120_tre_liljor,2010,226
1140120_tre_liljor,2011,201
1140120_tre_liljor,2012,281
1140120_tre_liljor,2013,268
1140120_tre_liljor,2014,259
1140130_matteus_kyrka,2000,55
1140130_matteus_kyrka,2001,48
1140130_matteus_kyrka,2002,83
1140130_matteus_kyrka,2003,123
1140130_matteus_kyrka,2004,136
1140130_matteus_kyrka,2005,142
1140130_matteus_kyrka,2006,138
1140130_matteus_kyrka,2007,139
1140130_matteus_kyrka,2008,170
1140130_matteus_kyrka,2009,189
1140130_matteus_kyrka,2010,196
1140130_matteus_kyrka,2011,193
1140130_matteus_kyrka,2012,210
1140130_matteus_kyrka,2013,203
1140130_matteus_kyrka,2014,215
1140140_halsingehojden,2000,40
1140140_halsingehojden,2001,83
1140140_halsingehojden,2002,97
1140140_halsingehojden,2003,136
1140140_halsingehojden,2004,147
1140140_halsingehojden,2005,139
1140140_halsingehojden,2006,180
1140140_halsingehojden,2007,194
1140140_halsingehojden,2008,235
1140140_halsingehojden,2009,197
1140140_halsingehojden,2010,193
1140140_halsingehojden,2011,236
1140140_halsingehojden,2012,253
1140140_halsingehojden,2013,278
1140140_halsingehojden,2014,253
1140150_centralgaraget,2000,-13
1140150_centralgaraget,2001,-3
1140150_centralgaraget,2002,-25
1140150_centralgaraget,2003,-26
1140150_centralgaraget,2004,-4
1140150_centralgaraget,2005,35
1140150_centralgaraget,2006,29
1140150_centralgaraget,2007,36
1140150_centralgaraget,2008,114
1140150_centralgaraget,2009,113
1140150_centralgaraget,2010,113
1140150_centralgaraget,2011,106
1140150_centralgaraget,2012,113
1140150_centralgaraget,2013,141
1140150_centralgaraget,2014,141
1140210_okand,2000,6
1140210_okand,2001,1
1140210_okand,2002,-9
1140210_okand,2003,-6
1140210_okand,2004,-6
1140210_okand,2005,7
1140210_okand,2006,-2
1140210_okand,2007,-1
1140210_okand,2008,2
1140210_okand,2009,-2
1140212_norra_station_2,2010,-4
1140212_norra_station_2,2011,1
1140212_norra_station_2,2012,5
1140212_norra_station_2,2013,-5
1140212_norra_station_2,2014,1
1140220_birkagarden,2000,-25
1140220_birkagarden,2001,-51
1140220_birkagarden,2002,-103
1140220_birkagarden,2003,-144
1140220_birkagarden,2004,-153
1140220_birkagarden,2005,-234
1140220_birkagarden,2006,-274
1140220_birkagarden,2007,-347
1140220_birkagarden,2008,-364
1140220_birkagarden,2009,-425
1140220_birkagarden,2010,-424
1140220_birkagarden,2011,-454
1140220_birkagarden,2012,-476
1140220_birkagarden,2013,-492
1140220_birkagarden,2014,-517
1140230_rorstrand,2000,13
1140230_rorstrand,2001,44
1140230_rorstrand,2002,114
1140230_rorstrand,2003,158
1140230_rorstrand,2004,104
1140230_rorstrand,2005,149
1140230_rorstrand,2006,131
1140230_rorstrand,2007,106
1140230_rorstrand,2008,249
1140230_rorstrand,2009,293
1140230_rorstrand,2010,311
1140230_rorstrand,2011,364
1140230_rorstrand,2012,370
1140230_rorstrand,2013,400
1140230_rorstrand,2014,371
1140240_rodaberget,2000,51
1140240_rodaberget,2001,63
1140240_rodaberget,2002,56
1140240_rodaberget,2003,43
1140240_rodaberget,2004,54
1140240_rodaberget,2005,87
1140240_rodaberget,2006,120
1140240_rodaberget,2007,142
1140240_rodaberget,2008,180
1140240_rodaberget,2009,179
1140240_rodaberget,2010,235
1140240_rodaberget,2011,174
1140240_rodaberget,2012,192
1140240_rodaberget,2013,222
1140240_rodaberget,2014,226
1140250_s_t_eriksplan,2000,32
1140250_s_t_eriksplan,2001,70
1140250_s_t_eriksplan,2002,64
1140250_s_t_eriksplan,2003,48
1140250_s_t_eriksplan,2004,56
1140250_s_t_eriksplan,2005,83
1140250_s_t_eriksplan,2006,77
1140250_s_t_eriksplan,2007,66
1140250_s_t_eriksplan,2008,68
1140250_s_t_eriksplan,2009,104
1140250_s_t_eriksplan,2010,94
1140250_s_t_eriksplan,2011,111
1140250_s_t_eriksplan,2012,83
1140250_s_t_eriksplan,2013,97
1140250_s_t_eriksplan,2014,86
1210110_roslagstull,2000,45
1210110_roslagstull,2001,63
1210110_roslagstull,2002,44
1210110_roslagstull,2003,62
1210110_roslagstull,2004,53
1210110_roslagstull,2005,67
1210110_roslagstull,2006,51
1210110_roslagstull,2007,104
1210110_roslagstull,2008,69
1210110_roslagstull,2009,133
1210110_roslagstull,2010,168
1210110_roslagstull,2011,193
1210110_roslagstull,2012,184
1210110_roslagstull,2013,152
1210110_roslagstull,2014,178
1210120_larkstaden,2000,26
1210120_larkstaden,2001,-6
1210120_larkstaden,2002,-28
1210120_larkstaden,2003,-52
1210120_larkstaden,2004,-35
1210120_larkstaden,2005,1
1210120_larkstaden,2006,-4
1210120_larkstaden,2007,-41
1210120_larkstaden,2008,-17
1210120_larkstaden,2009,-6
1210120_larkstaden,2010,19
1210120_larkstaden,2011,14
1210120_larkstaden,2012,11
1210120_larkstaden,2013,-17
1210120_larkstaden,2014,-14
1210131_danderydsplan_v,2000,-7
1210131_danderydsplan_v,2001,-18
1210131_danderydsplan_v,2002,-5
1210131_danderydsplan_v,2003,26
1210131_danderydsplan_v,2004,15
1210131_danderydsplan_v,2005,23
1210131_danderydsplan_v,2006,18
1210131_danderydsplan_v,2007,21
1210131_danderydsplan_v,2008,54
1210131_danderydsplan_v,2009,50
1210131_danderydsplan_v,2010,46
1210131_danderydsplan_v,2011,37
1210131_danderydsplan_v,2012,30
1210131_danderydsplan_v,2013,44
1210131_danderydsplan_v,2014,104
1210132_danderydsplan_o,2000,27
1210132_danderydsplan_o,2001,38
1210132_danderydsplan_o,2002,25
1210132_danderydsplan_o,2003,35
1210132_danderydsplan_o,2004,54
1210132_danderydsplan_o,2005,29
1210132_danderydsplan_o,2006,39
1210132_danderydsplan_o,2007,60
1210132_danderydsplan_o,2008,70
1210132_danderydsplan_o,2009,64
1210132_danderydsplan_o,2010,67
1210132_danderydsplan_o,2011,95
1210132_danderydsplan_o,2012,100
1210132_danderydsplan_o,2013,94
1210132_danderydsplan_o,2014,111
1210140_eriksberg,2000,34
1210140_eriksberg,2001,40
1210140_eriksberg,2002,63
1210140_eriksberg,2003,54
1210140_eriksberg,2004,42
1210140_eriksberg,2005,65
1210140_eriksberg,2006,103
1210140_eriksberg,2007,97
1210140_eriksberg,2008,123
1210140_eriksberg,2009,169
1210140_eriksberg,2010,165
1210140_eriksberg,2011,164
1210140_eriksberg,2012,170
1210140_eriksberg,2013,159
1210140_eriksberg,2014,168
1210151_stureplan_o,2000,-4
1210151_stureplan_o,2001,-3
1210151_stureplan_o,2002,-3
1210151_stureplan_o,2003,-3
1210151_stureplan_o,2004,-8
1210151_stureplan_o,2005,-16
1210151_stureplan_o,2006,-23
1210151_stureplan_o,2007,-19
1210151_stureplan_o,2008,-22
1210151_stureplan_o,2009,-16
1210151_stureplan_o,2010,-26
1210151_stureplan_o,2011,-31
1210151_stureplan_o,2012,-24
1210151_stureplan_o,2013,-37
1210151_stureplan_o,2014,-33
1210161_humlegarden_o,2000,15
1210161_humlegarden_o,2001,9
1210161_humlegarden_o,2002,4
1210161_humlegarden_o,2003,-11
1210161_humlegarden_o,2004,5
1210161_humlegarden_o,2005,20
1210161_humlegarden_o,2006,8
1210161_humlegarden_o,2007,5
1210161_humlegarden_o,2008,10
1210161_humlegarden_o,2009,11
1210161_humlegarden_o,2010,-1
1210161_humlegarden_o,2011,-19
1210161_humlegarden_o,2012,-18
1210161_humlegarden_o,2013,6
1210161_humlegarden_o,2014,1
1210171_stureparken_o,2000,4
1210171_stureparken_o,2001,-11
1210171_stureparken_o,2002,-8
1210171_stureparken_o,2003,-20
1210171_stureparken_o,2004,-9
1210171_stureparken_o,2005,0
1210171_stureparken_o,2006,5
1210171_stureparken_o,2007,15
1210171_stureparken_o,2008,17
1210171_stureparken_o,2009,28
1210171_stureparken_o,2010,40
1210171_stureparken_o,2011,41
1210171_stureparken_o,2012,57
1210171_stureparken_o,2013,56
1210171_stureparken_o,2014,60
1210172_stureparken_v,2000,4
1210172_stureparken_v,2001,19
1210172_stureparken_v,2002,16
1210172_stureparken_v,2003,0
1210172_stureparken_v,2004,8
1210172_stureparken_v,2005,9
1210172_stureparken_v,2006,25
1210172_stureparken_v,2007,28
1210172_stureparken_v,2008,27
1210172_stureparken_v,2009,33
1210172_stureparken_v,2010,56
1210172_stureparken_v,2011,56
1210172_stureparken_v,2012,59
1210172_stureparken_v,2013,66
1210172_stureparken_v,2014,70
1210210_roslagstulls_sjukhus,2000,-2
1210210_roslagstulls_sjukhus,2001,-23
1210210_roslagstulls_sjukhus,2002,-48
1210210_roslagstulls_sjukhus,2003,-85
1210210_roslagstulls_sjukhus,2004,-111
1210210_roslagstulls_sjukhus,2005,-110
1210210_roslagstulls_sjukhus,2006,-95
1210210_roslagstulls_sjukhus,2007,-73
1210210_roslagstulls_sjukhus,2008,-92
1210210_roslagstulls_sjukhus,2009,-117
1210210_roslagstulls_sjukhus,2010,-137
1210210_roslagstulls_sjukhus,2011,-160
1210210_roslagstulls_sjukhus,2012,-206
1210210_roslagstulls_sjukhus,2013,-250
1210210_roslagstulls_sjukhus,2014,-195
1210220_ostra_station,2000,-29
1210220_ostra_station,2001,-92
1210220_ostra_station,2002,-153
1210220_ostra_station,2003,-256
1210220_ostra_station,2004,-299
1210220_ostra_station,2005,-345
1210220_ostra_station,2006,-423
1210220_ostra_station,2007,-510
1210220_ostra_station,2008,-546
1210220_ostra_station,2009,-604
1210220_ostra_station,2010,-645
1210220_ostra_station,2011,-722
1210220_ostra_station,2012,-762
1210220_ostra_station,2013,-771
1210220_ostra_station,2014,-840
1210320_ekhagen,2000,-79
1210320_ekhagen,2001,-212
1210320_ekhagen,2002,-369
1210320_ekhagen,2003,-543
1210320_ekhagen,2004,-749
1210320_ekhagen,2005,-909
1210320_ekhagen,2006,-1082
1210320_ekhagen,2007,-1274
1210320_ekhagen,2008,-1445
1210320_ekhagen,2009,-1618
1210320_ekhagen,2010,-1746
1210320_ekhagen,2011,-1915
1210320_ekhagen,2012,-2074
1210320_ekhagen,2013,-2223
1210320_ekhagen,2014,-2448
1210330_frescati,2000,-5
1210330_frescati,2001,11
1210330_frescati,2002,13
1210330_frescati,2003,2
1210330_frescati,2004,1
1210330_frescati,2005,-12
1210330_frescati,2006,-9
1210330_frescati,2007,-11
