basomrade,year,immigration_surplus_female
4122540_brunnby,2000,-6
4122540_brunnby,2001,6
4122540_brunnby,2002,12
4122540_brunnby,2003,-4
4122540_brunnby,2004,11
4122540_brunnby,2005,2
4122540_brunnby,2006,14
4122540_brunnby,2007,-18
4122540_brunnby,2008,10
4122540_brunnby,2009,-13
4122540_brunnby,2010,4
4122540_brunnby,2011,-15
4122540_brunnby,2012,2
4122540_brunnby,2013,-16
4122540_brunnby,2014,-15
4122600_vastra_odenslunda,2000,-4
4122600_vastra_odenslunda,2001,3
4122600_vastra_odenslunda,2002,-14
4122600_vastra_odenslunda,2003,-12
4122600_vastra_odenslunda,2004,11
4122600_vastra_odenslunda,2005,-10
4122600_vastra_odenslunda,2006,2
4122600_vastra_odenslunda,2007,14
4122600_vastra_odenslunda,2008,-11
4122600_vastra_odenslunda,2009,-11
4122600_vastra_odenslunda,2010,-13
4122600_vastra_odenslunda,2011,1
4122600_vastra_odenslunda,2012,5
4122600_vastra_odenslunda,2013,2
4122600_vastra_odenslunda,2014,-1
4133110_sanda,2000,-2
4133110_sanda,2001,0
4133110_sanda,2002,-2
4133110_sanda,2003,-4
4133110_sanda,2004,21
4133110_sanda,2005,-8
4133110_sanda,2006,0
4133110_sanda,2007,-3
4133110_sanda,2008,52
4133110_sanda,2009,93
4133110_sanda,2010,26
4133110_sanda,2011,25
4133110_sanda,2012,45
4133110_sanda,2013,30
4133110_sanda,2014,13
4133120_ostra_odenslunda,2000,-8
4133120_ostra_odenslunda,2001,-7
4133120_ostra_odenslunda,2002,-21
4133120_ostra_odenslunda,2003,-6
4133120_ostra_odenslunda,2004,21
4133120_ostra_odenslunda,2005,44
4133120_ostra_odenslunda,2006,-26
4133120_ostra_odenslunda,2007,-7
4133120_ostra_odenslunda,2008,-11
4133120_ostra_odenslunda,2009,6
4133120_ostra_odenslunda,2010,-30
4133120_ostra_odenslunda,2011,3
4133120_ostra_odenslunda,2012,-6
4133120_ostra_odenslunda,2013,-29
4133120_ostra_odenslunda,2014,-10
4133200_frestaby,2000,-18
4133200_frestaby,2001,-25
4133200_frestaby,2002,-6
4133200_frestaby,2003,-23
4133200_frestaby,2004,-8
4133200_frestaby,2005,-3
4133200_frestaby,2006,12
4133200_frestaby,2007,51
4133200_frestaby,2008,-14
4133200_frestaby,2009,-1
4133200_frestaby,2010,-6
4133200_frestaby,2011,5
4133200_frestaby,2012,-22
4133200_frestaby,2013,-4
4133200_frestaby,2014,11
4133310_vastra_bollstanas,2000,-21
4133310_vastra_bollstanas,2001,-17
4133310_vastra_bollstanas,2002,-16
4133310_vastra_bollstanas,2003,-26
4133310_vastra_bollstanas,2004,-1
4133310_vastra_bollstanas,2005,9
4133310_vastra_bollstanas,2006,-4
4133310_vastra_bollstanas,2007,1
4133310_vastra_bollstanas,2008,8
4133310_vastra_bollstanas,2009,-9
4133310_vastra_bollstanas,2010,5
4133310_vastra_bollstanas,2011,-11
4133310_vastra_bollstanas,2012,9
4133310_vastra_bollstanas,2013,-4
4133310_vastra_bollstanas,2014,1
4133330_ostra_bollstanas,2000,11
4133330_ostra_bollstanas,2001,-53
4133330_ostra_bollstanas,2002,14
4133330_ostra_bollstanas,2003,-6
4133330_ostra_bollstanas,2004,-10
4133330_ostra_bollstanas,2005,5
4133330_ostra_bollstanas,2006,21
4133330_ostra_bollstanas,2007,-47
4133330_ostra_bollstanas,2008,-20
4133330_ostra_bollstanas,2009,-12
4133330_ostra_bollstanas,2010,-2
4133330_ostra_bollstanas,2011,-3
4133330_ostra_bollstanas,2012,-34
4133330_ostra_bollstanas,2013,-13
4133330_ostra_bollstanas,2014,-14
4133350_sodra_bollstanas,2000,28
4133350_sodra_bollstanas,2001,21
4133350_sodra_bollstanas,2002,-5
4133350_sodra_bollstanas,2003,-12
4133350_sodra_bollstanas,2004,15
4133350_sodra_bollstanas,2005,0
4133350_sodra_bollstanas,2006,-3
4133350_sodra_bollstanas,2007,-8
4133350_sodra_bollstanas,2008,-13
4133350_sodra_bollstanas,2009,-18
4133350_sodra_bollstanas,2010,7
4133350_sodra_bollstanas,2011,-22
4133350_sodra_bollstanas,2012,-26
4133350_sodra_bollstanas,2013,-6
4133350_sodra_bollstanas,2014,-3
4133910_fresta_norra_glesbygd,2000,5
4133910_fresta_norra_glesbygd,2001,7
4133910_fresta_norra_glesbygd,2002,19
4133910_fresta_norra_glesbygd,2003,23
4133910_fresta_norra_glesbygd,2004,6
4133910_fresta_norra_glesbygd,2005,1
4133910_fresta_norra_glesbygd,2006,2
4133910_fresta_norra_glesbygd,2007,-5
4133910_fresta_norra_glesbygd,2008,8
4133910_fresta_norra_glesbygd,2009,-9
4133910_fresta_norra_glesbygd,2010,-6
4133910_fresta_norra_glesbygd,2011,-3
4133910_fresta_norra_glesbygd,2012,3
4133910_fresta_norra_glesbygd,2013,-4
4133910_fresta_norra_glesbygd,2014,-4
4133920_fresta_sodra_glesbygd,2000,6
4133920_fresta_sodra_glesbygd,2001,-2
4133920_fresta_sodra_glesbygd,2002,-1
4133920_fresta_sodra_glesbygd,2003,1
4133920_fresta_sodra_glesbygd,2004,13
4133920_fresta_sodra_glesbygd,2005,-4
4133920_fresta_sodra_glesbygd,2006,-4
4133920_fresta_sodra_glesbygd,2007,5
4133920_fresta_sodra_glesbygd,2008,-3
4133920_fresta_sodra_glesbygd,2009,-4
4133920_fresta_sodra_glesbygd,2010,-5
4133920_fresta_sodra_glesbygd,2011,5
4133920_fresta_sodra_glesbygd,2012,7
4133920_fresta_sodra_glesbygd,2013,-6
4133920_fresta_sodra_glesbygd,2014,-4
4210110_centrala_vallentuna,2000,27
4210110_centrala_vallentuna,2001,0
4210110_centrala_vallentuna,2002,42
4210110_centrala_vallentuna,2003,3
4210110_centrala_vallentuna,2004,-16
4210110_centrala_vallentuna,2005,7
4210110_centrala_vallentuna,2006,21
